Fips,Target
1001,1
1003,0
1005,1
1007,0
1009,0
1011,0
1013,1
1015,0
1017,0
1019,1
1021,1
1023,0
1025,0
1027,0
1029,0
1031,0
1033,0
1035,1
1037,1
1039,1
1041,1
1043,0
1045,0
1047,1
1049,0
1051,0
1053,1
1055,0
1057,0
1059,0
1061,1
1063,0
1065,0
1067,1
1069,0
1071,1
1073,0
1075,1
1077,1
1079,1
1081,1
1083,1
1085,0
1087,1
1089,0
1091,0
1093,0
1095,0
1097,0
1099,1
1101,1
1103,1
1105,1
1107,1
1109,0
1111,0
1113,0
1115,0
1117,0
1119,0
1121,1
1123,0
1125,1
1127,1
1129,0
1131,0
1133,0
4001,1
4003,0
4005,0
4007,0
4009,0
4011,0
4012,0
4013,1
4015,1
4017,0
4019,0
4021,0
4023,0
4025,0
4027,0
5001,0
5003,0
5005,0
5007,1
5009,1
5011,0
5013,0
5015,1
5017,0
5019,1
5021,0
5023,0
5025,0
5027,1
5029,1
5031,1
5033,0
5035,0
5037,0
5039,1
5041,0
5043,0
5045,1
5047,0
5049,1
5051,1
5053,0
5055,0
5057,1
5059,1
5061,0
5063,1
5065,1
5067,1
5069,0
5071,1
5073,0
5075,1
5077,1
5079,1
5081,1
5083,0
5085,1
5087,0
5089,0
5091,0
5093,0
5095,1
5097,1
5099,1
5101,0
5103,0
5105,1
5107,1
5109,0
5111,0
5113,0
5115,1
5117,0
5119,0
5121,0
5123,0
5125,1
5127,1
5129,1
5131,1
5133,1
5135,0
5137,1
5139,0
5141,0
5143,0
5145,1
5147,0
5149,1
6001,0
6003,0
6005,1
6007,1
6009,1
6011,0
6013,1
6015,0
6017,1
6019,0
6021,0
6023,0
6025,0
6027,0
6029,0
6031,1
6033,1
6035,0
6037,0
6039,0
6041,1
6043,1
6045,1
6047,0
6049,0
6051,0
6053,1
6055,0
6057,1
6059,1
6061,0
6063,0
6065,0
6067,0
6069,0
6071,0
6073,0
6075,0
6077,0
6079,1
6081,1
6083,1
6085,1
6087,0
6089,0
6091,0
6093,0
6095,1
6097,0
6099,0
6101,0
6103,0
6105,1
6107,0
6109,1
6111,0
6113,0
6115,1
8001,1
8003,0
8005,1
8007,0
8009,0
8011,0
8013,1
8014,0
8015,1
8017,0
8019,0
8021,0
8023,0
8025,0
8027,0
8029,0
8031,0
8033,1
8035,1
8037,0
8039,0
8041,0
8043,0
8045,0
8047,0
8049,0
8051,0
8053,0
8055,1
8057,1
8059,0
8061,0
8063,0
8065,1
8067,0
8069,1
8071,1
8073,1
8075,0
8077,1
8079,0
