Fips,target
1001,0
1011,0
1047,0
5039,0
19049,0
29059,0
48113,0
1051,0
16039,0
1063,0
5055,0
13133,0
17061,0
18055,0
19073,0
28041,0
29077,0
36039,0
37079,0
39057,0
42059,0
47059,0
51079,0
1065,0
48189,0
1085,0
13185,0
28087,0
1087,0
13193,0
17115,0
29121,0
37113,0
47111,0
1091,0
1101,0
5097,0
13209,0
17135,0
18107,0
19137,0
20125,0
21173,0
24031,0
28097,0
29139,0
36057,0
37123,0
39113,0
42091,0
47125,0
48339,0
51121,0
1105,0
5105,0
17145,0
18123,0
21193,0
28111,0
29157,0
39127,0
42099,0
47135,0
1119,0
12119,0
13261,0
45085,0
1003,0
13009,1
1013,0
19023,0
20015,0
21031,0
29023,0
31023,0
39017,0
42019,0
1023,0
28019,0
40023,0
1025,0
13059,0
19039,0
28023,0
51043,0
1035,0
1053,0
12033,0
1097,0
1099,0
5095,1
12087,0
13207,1
17133,1
18105,1
19135,1
21171,1
26115,0
28095,0
29137,0
36055,0
39111,1
42089,1
47123,0
54063,1
55081,0
1129,0
5143,0
8121,0
12133,0
13303,0
16087,0
17189,0
18175,0
19183,0
20201,0
21229,0
23029,0
24043,0
27163,0
28151,0
29221,0
31177,0
36115,0
37187,0
39167,0
40147,0
41067,0
42125,0
44009,0
47179,0
48477,0
49053,0
50023,0
51191,0
55131,0
1131,0
13315,0
1009,0
47009,0
1015,1
5013,1
12013,1
13037,1
17013,1
19025,1
26025,1
28013,1
45017,1
48057,0
54013,1
1019,0
13057,0
19035,0
20021,0
37039,0
40021,0
45021,0
48073,0
1029,0
5023,0
1043,0
1055,1
1071,0
5067,1
8057,0
12063,0
13157,1
17077,1
18071,1
19097,1
20085,1
21109,1
26075,1
27063,1
28059,0
29095,1
37099,1
39079,1
40065,1
41029,0
46071,0
47087,1
48239,1
54035,1
55053,0
1095,0
17123,0
18099,0
19127,0
20117,0
21157,0
27089,0
28093,0
40095,0
46091,0
47117,0
54051,0
1033,0
1059,0
5047,0
12037,0
13119,0
16041,0
17055,0
18047,0
19069,0
20059,0
21073,0
23007,0
25011,0
28037,0
29071,0
31061,0
36033,0
37069,0
39049,0
42055,0
47051,0
48159,0
50011,0
51067,0
53021,0
1077,0
28075,0
47097,0
1079,0
5075,0
17101,0
18093,0
21127,0
28077,0
29109,0
39087,0
42073,0
46081,0
47099,0
1083,1
48293,1
1089,1
5087,1
12079,1
13195,1
16065,1
17119,1
18095,1
19121,1
21151,1
28089,1
29123,1
30057,0
31119,1
36053,1
37115,1
39097,1
47113,1
48313,1
51113,1
1093,0
5089,0
12083,0
13197,0
17121,0
18097,0
19125,0
20115,0
21155,0
28091,0
29127,0
39101,0
41047,0
45067,0
47115,0
48315,0
54049,0
1103,0
8087,0
