Fips,Target
12133,0
12031,1
12007,0
12009,1
12019,1
12067,0
12069,1
12089,0
12103,1
12105,1
12111,1
12043,0
12051,0
12061,1
12063,0
12099,1
12109,1
12117,1
12086,1
12005,1
12035,1
12037,0
12045,0
12047,0
12077,0
12097,1
12119,1
12131,1
12039,0
12059,0
12065,0
12071,1
12083,1
12049,0
12021,1
12093,0
12095,1
12101,1
12041,0
12055,1
12121,0
12001,1
12027,0
12013,0
12015,1
12023,1
12029,0
12085,1
12107,0
12115,1
12125,0
12081,1
12017,1
12075,0
12003,0
12113,1
12127,1
12073,1
12011,1
12079,0
12087,1
12053,1
12057,1
12091,1
12123,0
12129,0
12033,1
