Fips,Target
21079,0
21089,0
21069,0
21037,1
21043,0
21063,0
21081,0
21111,1
21123,0
21141,0
21161,0
21167,0
21201,0
21207,0
21215,0
21229,0
21011,0
21007,0
21009,0
21021,0
21087,0
21091,0
21095,0
21159,0
21093,1
21137,0
21149,0
21171,0
21183,0
21197,0
21225,0
21233,0
21033,0
21035,0
21045,0
21047,1
21059,1
21085,0
21101,0
21103,0
21107,1
21109,0
21125,0
21157,0
21163,0
21173,0
21181,0
21185,0
21187,0
21203,0
21209,0
21227,1
21003,0
21017,0
21019,1
21029,0
21055,0
21067,1
21075,0
21115,0
21119,0
21165,0
21175,0
21177,0
21191,0
21193,1
21199,1
21237,0
21051,0
21001,0
21013,0
21025,0
21057,0
21083,0
21099,0
21129,0
21031,0
21223,0
21061,0
21097,0
21105,0
21023,0
21143,0
21179,0
21231,0
21135,0
21155,0
21221,0
21239,0
21015,1
21131,0
21113,0
21121,0
21127,0
21133,0
21139,0
21145,1
21195,1
21211,0
21235,0
21027,0
21071,0
21073,0
21117,1
21147,0
21151,1
21153,0
21169,0
21189,0
21205,0
21213,0
21217,0
21049,0
21219,0
21039,0
21041,0
21053,0
21065,0
21077,0
21005,0
