Fips,Target
39105,0
39159,1
39021,0
39163,0
39131,0
39125,0
39057,1
39061,1
39049,1
39087,0
39115,0
39101,1
39157,1
39169,1
39175,0
39015,0
39017,1
39043,1
39067,0
39083,1
39089,1
39139,1
39019,0
39063,1
39045,1
39025,1
39069,0
39039,0
39071,0
39133,1
39027,0
39047,0
39081,1
39137,0
39013,1
39127,0
39129,0
39091,0
39161,0
39119,1
39097,0
39153,1
39143,0
39149,0
39171,0
39167,1
39029,1
39011,0
39123,0
39037,0
39051,0
39065,0
39099,1
39079,0
39053,1
39077,1
39001,0
39145,1
39009,1
39103,1
39117,0
39095,1
39121,0
39135,0
39147,0
39151,1
39003,1
39031,0
39041,1
39033,1
39055,1
39059,0
39073,0
39085,1
39107,0
39141,1
39023,1
39035,1
39075,0
39093,1
39109,1
39111,0
39113,1
39155,1
39165,1
39173,1
39005,0
39007,1
