Fips,Target
5099,0
5021,0
5037,0
5039,0
5043,0
5027,0
5125,1
5121,0
5065,0
5141,0
5009,0
5063,1
5079,0
5083,0
5045,1
5053,0
5035,0
5047,0
5109,0
5069,1
5089,0
5097,0
5127,0
5129,0
5131,1
5059,0
5033,0
5007,1
5017,0
5071,0
5077,0
5041,0
5049,0
5087,0
5061,0
5051,1
5093,0
5117,0
5115,1
5139,1
5147,0
5023,0
5025,0
5067,0
5135,0
5137,0
5057,0
5031,1
5003,0
5143,1
5005,1
5055,0
5073,0
5105,0
5111,0
5107,0
5133,0
5149,0
5013,0
5019,0
5011,0
5095,0
5075,0
5113,0
5029,0
5103,0
5101,0
5081,0
5001,0
5085,0
5015,0
5123,0
5119,1
5091,0
5145,1
