Fips,Target
19011,0
19023,0
19061,1
19175,0
19071,0
19079,0
19177,0
19151,0
19173,0
19179,0
19025,0
19195,0
19159,0
19003,0
19001,0
19009,0
19037,0
19039,0
19051,0
19059,0
19093,0
19107,0
19103,1
19135,0
19171,0
19167,0
19069,0
19027,0
19073,0
19095,0
19031,0
19033,0
19067,0
19083,0
19115,0
19117,0
19119,0
19189,0
19147,0
19165,0
19007,0
19087,0
19191,0
19063,0
19081,0
19089,0
19099,0
19145,0
19157,0
19155,1
19127,1
19043,0
19015,0
19017,0
19021,0
19091,0
19077,0
19121,0
19197,0
19125,1
19183,0
19029,0
19035,0
19065,0
19085,0
19109,0
19129,0
19047,0
19057,0
19187,0
19169,0
19133,0
19139,1
19143,0
19153,1
19193,1
19013,1
19075,0
19097,0
19105,0
19111,0
19131,0
19137,0
19181,0
19161,0
19123,0
19149,1
19019,0
19041,0
19045,0
19053,0
19055,0
19101,0
19185,0
19005,0
19113,1
19163,1
19049,1
19141,0
