Fips,Target
31083,0
31185,0
31009,0
31019,0
31049,0
31037,0
31087,0
31143,0
31113,0
31141,0
31169,0
31013,0
31017,0
31011,0
31109,1
31161,0
31001,0
31129,0
31149,0
31063,0
31163,0
31093,0
31055,1
31147,0
31089,0
31065,0
31073,0
31151,0
31153,1
31173,0
31015,0
31031,0
31177,0
31053,0
31059,0
31069,0
31091,0
31123,0
31127,0
31171,0
31043,0
31181,0
31003,0
31029,0
31159,0
31023,0
31035,0
31041,0
31061,0
31067,0
31095,0
31099,0
31081,0
31101,0
31119,0
31135,0
31137,0
31155,0
31157,0
31179,0
31103,0
31105,0
31107,0
31111,0
31121,0
31139,0
31165,0
31021,0
31025,0
31039,0
31051,0
31057,0
31075,0
31077,0
31079,0
31085,0
31131,0
31145,0
31045,0
31027,0
31097,0
31033,0
31047,1
31071,0
31125,0
31133,0
31167,0
31175,0
31183,0
