Fips,Target
40001,0
40003,0
40005,0
40007,0
40009,0
40011,0
40013,0
40017,1
40015,0
40025,0
40019,0
40021,0
40023,0
40027,1
40029,0
40031,1
40033,0
40035,0
40037,0
40043,0
40039,0
40041,0
40045,0
40047,0
40051,0
40049,0
40053,0
40055,0
40057,0
40059,0
40061,0
40063,0
40065,0
40067,0
40069,0
40075,0
40071,0
40073,0
40077,0
40085,0
40079,0
40081,0
40083,0
40087,0
40091,0
40089,0
40093,0
40095,0
40097,0
40103,0
40099,0
40101,1
40105,0
40107,0
40109,1
40117,0
40111,0
40113,0
40115,0
40119,0
40121,0
40127,0
40123,0
40125,0
40129,0
40131,0
40141,0
40133,0
40135,0
40139,0
40143,1
40137,0
40151,0
40145,0
40147,1
40149,0
40153,0
