Fips,Target
28037,0
28027,0
28029,0
28061,0
28067,0
28147,0
28095,0
28051,0
28115,1
28005,0
28089,0
28013,0
28091,0
28141,0
28041,0
28153,0
28093,0
28119,0
28121,0
28109,0
28079,0
28077,0
28103,0
28099,0
28137,0
28151,0
28107,0
28111,0
28161,0
28017,0
28015,0
28039,0
28043,0
28063,0
28049,1
28101,0
28117,0
28139,0
28145,0
28125,0
28019,0
28045,0
28035,1
28143,1
28157,0
28021,0
28057,0
28071,0
28059,0
28087,0
28083,0
28047,1
28065,0
28085,0
28075,0
28123,1
28127,0
28159,0
28163,0
28007,0
28073,0
28081,0
28011,0
28113,0
28135,0
28009,0
28129,0
28131,0
28023,0
28149,0
28069,0
28097,0
28105,0
28133,0
28155,0
28025,0
28031,0
28003,0
28001,0
28033,1
28053,0
