Fips,Target
47177,0
47179,1
47007,0
47183,0
47005,0
47083,0
47013,0
47015,0
47067,0
47119,0
47047,0
47103,0
47073,0
47091,0
47051,0
47111,0
47127,0
47147,0
47009,1
47099,0
47021,0
47019,0
47057,0
47055,0
47097,0
47113,1
47137,0
47115,0
47133,0
47181,0
47165,1
47169,0
47059,0
47187,1
47003,0
47027,0
47035,0
47175,0
47157,1
47085,0
47025,0
47077,0
47081,0
47089,0
47155,1
47141,0
47153,0
47161,0
47017,0
47023,0
47037,1
47039,0
47087,0
47135,0
47011,1
47109,0
47145,0
47121,0
47075,0
47063,0
47129,0
47173,0
47071,0
47125,0
47043,0
47061,0
47123,0
47079,0
47029,0
47041,0
47033,0
47095,0
47093,1
47101,0
47117,0
47107,0
47143,0
47131,0
47167,0
47151,0
47001,1
47031,0
47045,0
47049,0
47053,0
47065,1
47069,0
47105,0
47139,0
47149,1
47159,0
47185,0
47189,0
47163,1
47171,0
