Feature,Feature_Name,Importance
Latitude-2019,Latitude-2019,0.006541756394065077
Latitude-2020,Latitude-2020,0.006535150703936969
Latitude-2017,Latitude-2017,0.006502225707527889
Latitude-2021,Latitude-2021,0.0064236968288807535
Latitude-2018,Latitude-2018,0.006171809624629689
Km2-2018,Km2-2018,0.005943752737273396
Pay-42-2017,Pay-Wholesale Trade-2017,0.005856224094325109
Km2-2020,Km2-2020,0.005826211077903957
Km2-2019,Km2-2019,0.005655060150634208
Longitude-2018,Longitude-2018,0.005527086425388076
Pay-42-2018,Pay-Wholesale Trade-2018,0.005441340280797673
Km2-2021,Km2-2021,0.005423640274219024
Pay-42-2021,Pay-Wholesale Trade-2021,0.005396970311423875
Longitude-2021,Longitude-2021,0.005392065711290412
Longitude-2020,Longitude-2020,0.005335208322388857
Longitude-2019,Longitude-2019,0.0053252262646473645
Longitude-2017,Longitude-2017,0.005279202961118168
Km2-2017,Km2-2017,0.005188251789867504
Emp-42-2017,Emp-Wholesale Trade-2017,0.005139340845180984
Emp-56-2017,Emp-Admin and Support and Waste Management-2017,0.0050509487028772655
Pay-62-2020,Pay-Health Care and Social Assistance-2020,0.005014553274311979
Emp-52-2017,Emp-Finance and Insurance-2017,0.004933974256454044
Emp-42-2018,Emp-Wholesale Trade-2018,0.004849608419438211
Emp-42-2021,Emp-Wholesale Trade-2021,0.004848667277602017
Pay-23-2019,Pay-Construction-2019,0.004839170217278271
Pay-42-2020,Pay-Wholesale Trade-2020,0.004833704853738985
Pay-54-2019,"Pay-Professional, Scientific, Technical Services-2019",0.00482418922904436
Emp-42-2020,Emp-Wholesale Trade-2020,0.004768840581663682
Pay-42-2019,Pay-Wholesale Trade-2019,0.004766899120280441
Pay-62-2021,Pay-Health Care and Social Assistance-2021,0.004743057215831778
Pay-23-2018,Pay-Construction-2018,0.004738570789831511
Pay-23-2020,Pay-Construction-2020,0.004737858557759311
Pay-53-2021,Pay-Real Estate and Rental and Leasing-2021,0.004702514999307688
Emp-23-2021,Emp-Construction-2021,0.004696837796561604
Pay-62-2018,Pay-Health Care and Social Assistance-2018,0.004689107245770184
Pay-23-2017,Pay-Construction-2017,0.004622077735440126
Emp-62-2020,Emp-Health Care and Social Assistance-2020,0.004579478024314259
Emp-42-2019,Emp-Wholesale Trade-2019,0.004577014476418342
Emp-62-2017,Emp-Health Care and Social Assistance-2017,0.0045605103210268625
Pay-52-2017,Pay-Finance and Insurance-2017,0.004554797133376638
Emp-23-2020,Emp-Construction-2020,0.004549697203376646
Pay-54-2021,"Pay-Professional, Scientific, Technical Services-2021",0.0045439396318020945
Emp-52-2019,Emp-Finance and Insurance-2019,0.0045240544770066065
Emp-62-2019,Emp-Health Care and Social Assistance-2019,0.004501255820502018
Pay-54-2020,"Pay-Professional, Scientific, Technical Services-2020",0.0044903906282349505
Pay-54-2017,"Pay-Professional, Scientific, Technical Services-2017",0.004481768710605007
Emp-52-2021,Emp-Finance and Insurance-2021,0.004478086046530795
Emp-23-2019,Emp-Construction-2019,0.004476884465553605
Pay-23-2021,Pay-Construction-2021,0.004469751918957015
Est-72-2020,Est-Accommodation and Food Services-2020,0.0044455173058678
Emp-62-2021,Emp-Health Care and Social Assistance-2021,0.004436580644577381
Emp-23-2017,Emp-Construction-2017,0.00443155519161327
Pay-11-2018,"Pay-Agriculture, Forestry, Fishing and Hunting-2018",0.004428731574761895
Pay-62-2019,Pay-Health Care and Social Assistance-2019,0.004426770378091369
Pay-52-2019,Pay-Finance and Insurance-2019,0.004399424496991955
Pay-54-2018,"Pay-Professional, Scientific, Technical Services-2018",0.004398488364254719
Pay-56-2017,Pay-Admin and Support and Waste Management-2017,0.0043949688802725805
Pay-72-2021,Pay-Accommodation and Food Services-2021,0.004364045925051121
Emp-52-2020,Emp-Finance and Insurance-2020,0.004353822811557374
Pay-72-2019,Pay-Accommodation and Food Services-2019,0.004350345292684256
Emp-23-2018,Emp-Construction-2018,0.004313038547753938
Emp-62-2018,Emp-Health Care and Social Assistance-2018,0.004308137177524772
Pay-51-2021,Pay-Information-2021,0.004305655850301204
Pay-53-2018,Pay-Real Estate and Rental and Leasing-2018,0.004287218792203036
Emp-53-2021,Emp-Real Estate and Rental and Leasing-2021,0.00428005171170239
Pay-53-2019,Pay-Real Estate and Rental and Leasing-2019,0.004266132508424396
Pay-72-2020,Pay-Accommodation and Food Services-2020,0.00424295512370941
Pay-52-2021,Pay-Finance and Insurance-2021,0.004232204405130629
Pay-11-2021,"Pay-Agriculture, Forestry, Fishing and Hunting-2021",0.004225487691671574
Emp-56-2018,Emp-Admin and Support and Waste Management-2018,0.004216768820663459
Pay-56-2018,Pay-Admin and Support and Waste Management-2018,0.004208406689897232
Emp-56-2020,Emp-Admin and Support and Waste Management-2020,0.004204059793478583
Pay-11-2020,"Pay-Agriculture, Forestry, Fishing and Hunting-2020",0.004202076878493612
Est-23-2021,Est-Construction-2021,0.004199435892157796
Emp-72-2019,Emp-Accommodation and Food Services-2019,0.004194435534953243
Emp-54-2019,"Emp-Professional, Scientific, Technical Services-2019",0.0041874935878140505
Pay-51-2020,Pay-Information-2020,0.004177140982051431
Pay-62-2017,Pay-Health Care and Social Assistance-2017,0.004172699106640432
Pay-52-2018,Pay-Finance and Insurance-2018,0.004172295595548697
