target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
0.0,1099,Monroe County,207.0,217.0,192.0,174.0,200.0,,,28.0,22.0,,57.0,49.0,49.0,51.0,46.0,162.0,181.0,200.0,210.0,202.0,169.0,161.0,177.0,188.0,177.0,67.0,66.0,64.0,57.0,56.0,153.0,158.0,155.0,149.0,143.0,42.0,45.0,38.0,45.0,48.0,39.0,40.0,42.0,38.0,40.0,,,,,,57.0,68.0,79.0,77.0,92.0,0.0,71.0,,60.0,55.0,717.0,723.0,748.0,739.0,693.0,,,,,,406.0,303.0,325.0,359.0,295.0,227.0,234.0,234.0,180.0,182.0,,,,,,29.0,31.0,33.0,28.0,31.0,,,3.0,3.0,,7.0,6.0,6.0,6.0,6.0,15.0,16.0,17.0,18.0,17.0,19.0,19.0,19.0,18.0,18.0,9.0,10.0,10.0,10.0,9.0,33.0,34.0,37.0,35.0,33.0,12.0,13.0,13.0,14.0,14.0,16.0,18.0,15.0,17.0,18.0,,,,,,10.0,13.0,13.0,13.0,14.0,3.0,3.0,,3.0,3.0,30.0,29.0,30.0,31.0,28.0,,,,,,26.0,22.0,22.0,28.0,32.0,47.0,47.0,48.0,49.0,50.0,,,,,,2679.89,2679.87,2679.64,2679.3,2679.87,38.27,38.27,38.27,38.27,38.27,-90.18,-90.18,-90.18,-90.18,-90.18,9904.0,9965.0,8957.0,9271.0,11228.0,,,3225.0,2620.0,,3526.0,3760.0,3927.0,4025.0,4037.0,7483.0,7515.0,9088.0,8896.0,9463.0,8564.0,8919.0,10247.0,10084.0,10688.0,2799.0,2786.0,2735.0,2488.0,2634.0,7168.0,6854.0,7040.0,6908.0,7351.0,1533.0,1640.0,1450.0,1439.0,1690.0,1538.0,1551.0,1645.0,1477.0,1725.0,,,,,,1632.0,1902.0,2293.0,2496.0,3249.0,0.0,1109.0,,1108.0,1177.0,24670.0,26113.0,26465.0,27217.0,27886.0,,,,,,4616.0,4268.0,4418.0,4581.0,4325.0,4546.0,4729.0,4951.0,5286.0,5764.0,,,,,,0.0,0.0,0.0,0.0,0.0,22.0,22,21,21,20.0,0.0,0.0,0.0,0.0,0.0
0.0,1079,Lawrence County,,,,,,,,,,,0.0,124.0,126.0,124.0,128.0,204.0,218.0,296.0,264.0,269.0,122.0,100.0,100.0,93.0,94.0,23.0,26.0,28.0,24.0,21.0,111.0,116.0,109.0,110.0,105.0,14.0,27.0,31.0,26.0,24.0,147.0,127.0,131.0,217.0,216.0,,,,,,47.0,63.0,61.0,77.0,63.0,,,,,,777.0,750.0,791.0,628.0,594.0,6.0,15.0,,,,481.0,459.0,536.0,533.0,503.0,215.0,231.0,231.0,244.0,213.0,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,32.0,32.0,32.0,36.0,35.0,17.0,15.0,15.0,15.0,15.0,7.0,7.0,8.0,8.0,7.0,26.0,26.0,26.0,27.0,25.0,7.0,9.0,10.0,9.0,8.0,32.0,31.0,32.0,31.0,31.0,,,,,,14.0,15.0,15.0,14.0,10.0,,,,,,34.0,34.0,33.0,34.0,34.0,3.0,3.0,,,,40.0,40.0,44.0,41.0,43.0,66.0,62.0,63.0,63.0,58.0,,,,,,1856.9,1856.91,1856.9,1857.52,1856.91,41.0,41.0,41.0,41.0,41.0,-80.35,-80.35,-80.35,-80.35,-80.35,,,,,,,,,,,0.0,10690.0,10886.0,11923.0,12351.0,9167.0,11416.0,13624.0,12755.0,14335.0,3424.0,3340.0,3431.0,3592.0,4175.0,851.0,968.0,1029.0,1020.0,949.0,5151.0,4778.0,5107.0,5680.0,5194.0,390.0,714.0,702.0,574.0,554.0,7486.0,7879.0,8032.0,13638.0,14171.0,,,,,,1783.0,1933.0,1951.0,2752.0,1780.0,,,,,,21406.0,21371.0,20594.0,19708.0,21115.0,107.0,125.0,,,,6496.0,6791.0,7723.0,7186.0,7916.0,4618.0,5220.0,5673.0,5749.0,6080.0,,,,,,0.0,0.0,0.0,0.0,0.0,33.0,33,33,33,33.0,0.0,0.0,0.0,0.0,0.0
1.0,1081,Lee County,79.0,83.0,43.0,70.0,75.0,,,54.0,54.0,59.0,241.0,244.0,238.0,240.0,247.0,2382.0,2618.0,2750.0,2636.0,2847.0,1090.0,1264.0,1192.0,1125.0,1072.0,866.0,796.0,733.0,654.0,628.0,1103.0,993.0,955.0,1074.0,1080.0,602.0,694.0,794.0,787.0,794.0,1350.0,1604.0,1781.0,1810.0,1834.0,99.0,523.0,129.0,91.0,81.0,3863.0,3506.0,3801.0,3842.0,4145.0,383.0,374.0,374.0,342.0,288.0,6647.0,6654.0,6842.0,6756.0,6791.0,539.0,597.0,618.0,570.0,546.0,8155.0,8348.0,8253.0,7943.0,7199.0,1967.0,2028.0,2158.0,2087.0,2049.0,,,,1.0,,15.0,13.0,13.0,14.0,13.0,,,3.0,4.0,4.0,8.0,10.0,10.0,11.0,11.0,244.0,250.0,261.0,256.0,276.0,92.0,93.0,100.0,95.0,95.0,38.0,40.0,46.0,47.0,51.0,172.0,188.0,191.0,187.0,190.0,155.0,161.0,167.0,183.0,193.0,256.0,272.0,277.0,285.0,294.0,8.0,9.0,9.0,11.0,12.0,170.0,171.0,172.0,190.0,206.0,32.0,30.0,31.0,30.0,32.0,263.0,258.0,259.0,263.0,285.0,24.0,23.0,25.0,30.0,31.0,366.0,388.0,392.0,372.0,396.0,274.0,279.0,286.0,284.0,293.0,,,,4.0,,1594.94,1595.03,1595.03,1595.12,1595.03,30.3,30.3,30.3,30.3,30.3,-96.96,-96.96,-96.96,-96.96,-96.96,2847.0,2200.0,1637.0,2080.0,2346.0,,,3680.0,3717.0,3922.0,20008.0,21092.0,22647.0,23813.0,24277.0,119789.0,135611.0,140657.0,152835.0,166031.0,50058.0,69616.0,59103.0,59455.0,61825.0,37219.0,35558.0,34261.0,29084.0,35303.0,60031.0,58607.0,61151.0,73060.0,76092.0,21081.0,28083.0,33707.0,33425.0,33767.0,57064.0,79149.0,90023.0,89962.0,90064.0,3188.0,13402.0,5535.0,6015.0,7042.0,88868.0,93929.0,94442.0,100615.0,109308.0,8900.0,9211.0,9196.0,7571.0,7245.0,269478.0,279631.0,290666.0,296007.0,310672.0,7757.0,7982.0,8648.0,8483.0,10246.0,114371.0,118538.0,124777.0,105701.0,127331.0,41863.0,45475.0,53836.0,55924.0,66250.0,,,,96.0,,0.45,0.42,0.51,0.45,0.57,157.0,159,161,163,172.0,2.36,2.17,2.11,2.68,2.67
1.0,1093,Marion County,71.0,68.0,63.0,56.0,54.0,,,,,,,,,,,189.0,68.0,64.0,57.0,59.0,240.0,215.0,484.0,657.0,737.0,49.0,43.0,56.0,50.0,51.0,421.0,451.0,411.0,409.0,422.0,15.0,14.0,15.0,19.0,25.0,80.0,78.0,78.0,77.0,69.0,0.0,60.0,58.0,77.0,57.0,420.0,424.0,430.0,482.0,597.0,14.0,10.0,11.0,,,947.0,1038.0,1241.0,1246.0,1210.0,13.0,9.0,7.0,9.0,8.0,728.0,718.0,734.0,658.0,691.0,250.0,245.0,256.0,210.0,249.0,,,,,,10.0,11.0,12.0,11.0,11.0,,,,,,,,,,,17.0,14.0,16.0,13.0,16.0,27.0,24.0,26.0,23.0,25.0,9.0,8.0,9.0,9.0,9.0,49.0,46.0,45.0,44.0,45.0,9.0,9.0,9.0,9.0,9.0,25.0,26.0,24.0,23.0,25.0,3.0,3.0,3.0,3.0,3.0,15.0,14.0,12.0,14.0,12.0,3.0,3.0,3.0,,,89.0,87.0,81.0,76.0,80.0,6.0,7.0,3.0,4.0,3.0,55.0,58.0,57.0,54.0,53.0,59.0,58.0,58.0,56.0,58.0,,,,,,1925.6,1925.59,1925.55,1925.66,1925.59,32.79,32.79,32.79,32.79,32.79,-94.34,-94.34,-94.34,-94.34,-94.34,2339.0,2349.0,2305.0,1978.0,1794.0,,,,,,,,,,,2960.0,2516.0,2207.0,2423.0,2084.0,10558.0,9862.0,17815.0,26083.0,33966.0,2136.0,1534.0,1810.0,1780.0,1875.0,17047.0,18827.0,17658.0,19837.0,20895.0,525.0,564.0,598.0,555.0,1038.0,2204.0,2402.0,2418.0,2609.0,2197.0,0.0,1133.0,1285.0,1197.0,1336.0,9998.0,9588.0,8927.0,9363.0,4374.0,49.0,46.0,48.0,,,37222.0,44695.0,48281.0,46361.0,50794.0,300.0,231.0,184.0,229.0,215.0,8705.0,8750.0,9866.0,9727.0,10714.0,5346.0,5654.0,5508.0,5832.0,7251.0,,,,,,0.0,0.0,0.0,0.0,0.0,30.0,30,30,30,29.0,0.0,0.0,0.0,0.0,0.0
0.0,1107,Pickens County,89.0,95.0,92.0,79.0,70.0,,,,,,,,,,,278.0,305.0,337.0,336.0,287.0,47.0,41.0,39.0,39.0,45.0,22.0,20.0,18.0,17.0,17.0,141.0,148.0,144.0,138.0,146.0,,,7.0,8.0,,105.0,95.0,96.0,79.0,49.0,0.0,4.0,,,,,,,12.0,16.0,,,,,,554.0,550.0,564.0,536.0,552.0,10.0,9.0,7.0,8.0,8.0,163.0,149.0,204.0,157.0,142.0,117.0,103.0,100.0,90.0,86.0,,,,11.0,,20.0,22.0,21.0,21.0,18.0,,,,,,,,,,,21.0,19.0,20.0,19.0,23.0,8.0,6.0,7.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,22.0,21.0,20.0,20.0,20.0,,,3.0,3.0,,14.0,14.0,12.0,9.0,9.0,3.0,3.0,,,,,,,3.0,3.0,,,,,,25.0,24.0,26.0,26.0,28.0,5.0,5.0,5.0,6.0,6.0,12.0,12.0,12.0,14.0,14.0,29.0,28.0,29.0,26.0,27.0,,,,3.0,,2304.08,2304.1,2304.1,2304.99,2304.15,34.46,34.46,34.46,34.46,34.46,-84.47,-84.47,-84.47,-84.47,-84.47,3138.0,3257.0,3369.0,3171.0,3431.0,,,,,,,,,,,14079.0,15578.0,17887.0,16333.0,16519.0,1617.0,1364.0,1396.0,2037.0,2466.0,697.0,780.0,750.0,999.0,812.0,6084.0,5532.0,5982.0,6790.0,6376.0,,,122.0,177.0,,3476.0,3315.0,3182.0,2719.0,2463.0,0.0,112.0,,,,,,,157.0,163.0,,,,,,16691.0,17692.0,19143.0,20593.0,20424.0,75.0,73.0,84.0,91.0,85.0,2148.0,2248.0,2958.0,2447.0,2503.0,1534.0,1595.0,1500.0,1404.0,1330.0,,,,23.0,,0.0,0.0,0.0,0.0,0.0,20.0,20,20,20,19.0,0.0,0.0,0.0,0.0,0.0
0.0,1119,Sumter County,40.0,40.0,31.0,30.0,29.0,,,,,,,,,,,0.0,346.0,368.0,314.0,318.0,163.0,125.0,129.0,126.0,126.0,16.0,17.0,18.0,18.0,17.0,82.0,61.0,59.0,63.0,51.0,22.0,22.0,12.0,8.0,6.0,15.0,15.0,14.0,16.0,15.0,,,,,,165.0,166.0,168.0,165.0,165.0,,,,,,325.0,311.0,334.0,359.0,359.0,11.0,9.0,11.0,13.0,10.0,344.0,316.0,319.0,250.0,200.0,75.0,67.0,66.0,60.0,62.0,,,,,,5.0,5.0,4.0,4.0,3.0,,,,,,,,,,,9.0,10.0,11.0,10.0,9.0,12.0,12.0,10.0,11.0,12.0,5.0,5.0,5.0,6.0,6.0,14.0,12.0,14.0,13.0,13.0,7.0,7.0,6.0,4.0,3.0,6.0,6.0,6.0,6.0,7.0,,,,,,9.0,9.0,9.0,9.0,9.0,,,,,,19.0,17.0,17.0,18.0,18.0,5.0,5.0,5.0,5.0,4.0,22.0,22.0,22.0,22.0,19.0,17.0,18.0,18.0,20.0,18.0,,,,,,2364.6,2364.62,2364.62,2365.64,2364.6,28.67,28.67,28.67,28.67,28.67,-82.08,-82.08,-82.08,-82.08,-82.08,1842.0,1413.0,1236.0,1249.0,1134.0,,,,,,,,,,,0.0,30220.0,29210.0,25583.0,26128.0,5280.0,4901.0,5507.0,5529.0,5893.0,1009.0,1053.0,1022.0,1188.0,1193.0,4163.0,2532.0,2670.0,2613.0,2504.0,750.0,713.0,618.0,581.0,680.0,419.0,392.0,359.0,325.0,320.0,,,,,,9163.0,9411.0,9636.0,9925.0,10059.0,,,,,,9003.0,9399.0,10121.0,13173.0,11542.0,238.0,194.0,159.0,192.0,196.0,3872.0,3874.0,4031.0,2896.0,3351.0,1530.0,1224.0,1328.0,1307.0,1426.0,,,,,,0.0,0.0,0.0,0.0,0.0,13.0,13,13,13,12.0,0.0,0.0,0.0,0.0,0.0
1.0,1073,Jefferson County,127.0,138.0,169.0,175.0,255.0,690.0,796.0,1238.0,1309.0,940.0,0.0,6538.0,6632.0,6307.0,5628.0,17241.0,18475.0,19549.0,19396.0,18846.0,17712.0,16558.0,16646.0,16917.0,16436.0,8801.0,8706.0,9097.0,8804.0,8106.0,21940.0,21311.0,21434.0,21570.0,22498.0,5861.0,5907.0,5855.0,6095.0,5920.0,16247.0,16180.0,16561.0,17194.0,17081.0,6623.0,7440.0,7141.0,7282.0,7449.0,24809.0,24971.0,25679.0,26771.0,25911.0,6950.0,6852.0,6110.0,6212.0,5538.0,55350.0,67738.0,62932.0,69660.0,59804.0,5143.0,6072.0,6664.0,6435.0,4653.0,31838.0,32219.0,31971.0,31913.0,27731.0,19245.0,20759.0,20336.0,20283.0,18011.0,29.0,20.0,52.0,25.0,34.0,12.0,14.0,12.0,9.0,8.0,21.0,25.0,26.0,22.0,23.0,41.0,50.0,50.0,51.0,50.0,1070.0,1073.0,1078.0,1105.0,1143.0,1049.0,1032.0,1021.0,999.0,993.0,295.0,310.0,320.0,301.0,338.0,1292.0,1279.0,1282.0,1290.0,1278.0,766.0,783.0,810.0,834.0,882.0,1904.0,1913.0,1937.0,1963.0,1987.0,178.0,173.0,160.0,158.0,161.0,749.0,730.0,743.0,753.0,792.0,171.0,176.0,179.0,181.0,183.0,1767.0,1765.0,1772.0,1758.0,1854.0,204.0,232.0,235.0,246.0,240.0,1481.0,1502.0,1505.0,1495.0,1518.0,1809.0,1792.0,1785.0,1785.0,1817.0,12.0,14.0,16.0,17.0,22.0,2910.7,2911.37,2911.42,2911.61,2911.58,29.83,29.83,29.83,29.83,29.83,-94.17,-94.17,-94.17,-94.17,-94.17,3414.0,5012.0,7556.0,6185.0,8379.0,56935.0,67425.0,115313.0,102819.0,95515.0,0.0,767021.0,795084.0,806893.0,787406.0,1141666.0,1232338.0,1328059.0,1344208.0,1369623.0,1146437.0,1120608.0,1128709.0,1158445.0,1276093.0,627612.0,599742.0,622424.0,656453.0,685631.0,1832531.0,1974463.0,2174029.0,2406264.0,2538738.0,328610.0,327616.0,350636.0,413792.0,432755.0,1198393.0,1260637.0,1316305.0,1361440.0,1466510.0,776497.0,856330.0,805854.0,761554.0,883019.0,736958.0,791633.0,800179.0,814102.0,941204.0,227320.0,218492.0,192540.0,189384.0,195921.0,3285080.0,3883232.0,3854762.0,3839739.0,3967328.0,103605.0,120447.0,129297.0,108985.0,123326.0,550061.0,575925.0,592149.0,511200.0,593691.0,633258.0,730659.0,779888.0,751688.0,759428.0,616.0,690.0,1181.0,933.0,1223.0,1.88,1.83,2.02,2.29,2.1,659.0,660,660,659,673.0,2.48,2.4,2.4,2.43,2.52
1.0,1023,Choctaw County,245.0,254.0,278.0,301.0,296.0,,,,,,,,,,,190.0,223.0,277.0,264.0,254.0,38.0,36.0,37.0,39.0,41.0,27.0,27.0,26.0,26.0,17.0,67.0,71.0,74.0,73.0,76.0,11.0,15.0,15.0,6.0,9.0,52.0,48.0,51.0,43.0,53.0,,,,,,12.0,6.0,11.0,12.0,14.0,,,,,,372.0,390.0,378.0,268.0,261.0,,,,,6.0,147.0,180.0,145.0,125.0,108.0,135.0,122.0,110.0,97.0,104.0,,,,,,22.0,20.0,21.0,20.0,19.0,,,,,,,,,,,15.0,14.0,15.0,12.0,18.0,5.0,5.0,5.0,4.0,4.0,6.0,7.0,6.0,6.0,4.0,16.0,15.0,15.0,15.0,15.0,5.0,5.0,5.0,4.0,4.0,20.0,19.0,20.0,17.0,16.0,,,,,,5.0,4.0,5.0,5.0,4.0,,,,,,24.0,23.0,22.0,21.0,18.0,,,,,3.0,19.0,21.0,19.0,20.0,19.0,41.0,44.0,42.0,38.0,41.0,,,,,,2385.51,2385.5,2385.5,2385.13,2385.5,33.36,33.36,33.36,33.36,33.36,-89.24,-89.24,-89.24,-89.24,-89.24,11634.0,13335.0,13724.0,14868.0,15791.0,,,,,,,,,,,8559.0,9897.0,12803.0,11798.0,12952.0,1173.0,1237.0,1297.0,1587.0,1531.0,1249.0,1333.0,1243.0,1347.0,456.0,3383.0,2898.0,3397.0,3598.0,3574.0,173.0,201.0,188.0,194.0,216.0,1377.0,1309.0,1493.0,1439.0,1755.0,,,,,,291.0,111.0,222.0,350.0,232.0,,,,,,13638.0,15327.0,12839.0,10503.0,11166.0,,,,,132.0,2040.0,1962.0,1934.0,1559.0,1595.0,3224.0,2926.0,2701.0,2658.0,2771.0,,,,,,0.0,0.0,0.0,0.0,0.0,13.0,13,13,13,13.0,0.0,0.0,0.0,0.0,0.0
1.0,1059,Franklin County,66.0,67.0,75.0,49.0,50.0,43.0,38.0,39.0,42.0,44.0,0.0,,,,,252.0,237.0,228.0,224.0,252.0,89.0,144.0,154.0,159.0,167.0,44.0,49.0,45.0,43.0,33.0,393.0,390.0,391.0,409.0,400.0,37.0,47.0,67.0,37.0,39.0,128.0,149.0,165.0,139.0,140.0,66.0,65.0,68.0,354.0,409.0,0.0,96.0,131.0,179.0,274.0,,,,,,1059.0,983.0,929.0,1023.0,1022.0,17.0,14.0,14.0,12.0,15.0,675.0,736.0,709.0,671.0,620.0,255.0,270.0,291.0,214.0,232.0,,,,2.0,,13.0,13.0,12.0,10.0,12.0,3.0,3.0,3.0,4.0,3.0,3.0,,,,,37.0,36.0,38.0,45.0,49.0,17.0,18.0,18.0,19.0,20.0,9.0,9.0,9.0,8.0,7.0,55.0,52.0,55.0,55.0,53.0,19.0,20.0,20.0,19.0,21.0,25.0,29.0,26.0,25.0,24.0,7.0,6.0,5.0,5.0,5.0,7.0,8.0,8.0,8.0,10.0,,,,,,48.0,43.0,44.0,46.0,48.0,6.0,6.0,5.0,5.0,5.0,42.0,44.0,39.0,41.0,41.0,58.0,59.0,60.0,60.0,61.0,,,,3.0,,1675.09,1675.09,1675.09,1674.33,1675.09,33.2,33.2,33.2,33.2,33.2,-95.22,-95.22,-95.22,-95.22,-95.22,2128.0,2203.0,2435.0,2533.0,2638.0,1807.0,1841.0,2013.0,2177.0,2344.0,0.0,,,,,9327.0,9547.0,9434.0,9665.0,9125.0,3995.0,4699.0,5283.0,5145.0,5963.0,1605.0,1787.0,1734.0,1905.0,1577.0,13980.0,13949.0,15679.0,16543.0,17405.0,914.0,1015.0,868.0,774.0,916.0,5078.0,5520.0,5382.0,5155.0,5261.0,5014.0,5654.0,5683.0,18083.0,24360.0,0.0,3355.0,5680.0,6800.0,10605.0,,,,,,35952.0,35154.0,35801.0,37247.0,39946.0,274.0,274.0,265.0,235.0,289.0,8010.0,8526.0,8788.0,8462.0,9134.0,5792.0,5902.0,6395.0,5987.0,6716.0,,,,30.0,,0.0,0.0,0.0,0.0,0.0,32.0,32,31,32,32.0,0.0,0.0,0.0,0.0,0.0
0.0,1091,Marengo County,227.0,222.0,215.0,195.0,190.0,,,,,,0.0,166.0,166.0,156.0,146.0,308.0,352.0,397.0,388.0,371.0,90.0,109.0,87.0,88.0,84.0,41.0,44.0,50.0,45.0,38.0,216.0,213.0,215.0,210.0,202.0,95.0,81.0,89.0,50.0,48.0,86.0,78.0,80.0,79.0,82.0,,,,,,462.0,475.0,505.0,582.0,719.0,0.0,42.0,35.0,,,1189.0,1058.0,1030.0,1024.0,872.0,30.0,31.0,38.0,28.0,36.0,486.0,458.0,507.0,491.0,443.0,258.0,253.0,252.0,270.0,222.0,,,,,,19.0,20.0,18.0,17.0,18.0,,,,,,4.0,5.0,5.0,5.0,5.0,29.0,28.0,30.0,32.0,33.0,16.0,17.0,19.0,17.0,16.0,8.0,8.0,8.0,8.0,11.0,32.0,33.0,35.0,36.0,35.0,9.0,10.0,10.0,9.0,8.0,16.0,18.0,16.0,16.0,16.0,,,,,,15.0,14.0,13.0,14.0,16.0,3.0,3.0,3.0,,,56.0,52.0,52.0,48.0,45.0,8.0,7.0,6.0,6.0,6.0,40.0,41.0,38.0,36.0,35.0,58.0,58.0,57.0,53.0,52.0,,,,,,2544.89,2544.97,2544.84,2544.82,2544.95,32.2,32.2,32.2,32.2,32.2,-87.76,-87.76,-87.76,-87.76,-87.76,9862.0,9790.0,10380.0,10108.0,10479.0,,,,,,0.0,16062.0,16502.0,16786.0,16627.0,13496.0,15329.0,18926.0,17613.0,19125.0,4587.0,4052.0,4270.0,4060.0,4475.0,1881.0,2182.0,2722.0,2560.0,2657.0,11010.0,11128.0,11292.0,11675.0,12030.0,3109.0,3071.0,2837.0,2955.0,3644.0,3195.0,2490.0,3129.0,3385.0,3014.0,,,,,,15862.0,16631.0,19163.0,24020.0,31991.0,0.0,683.0,411.0,,,37496.0,33138.0,33466.0,36286.0,34523.0,856.0,901.0,894.0,816.0,768.0,6043.0,6180.0,7092.0,6861.0,6767.0,4525.0,5322.0,6636.0,6164.0,8159.0,,,,,,0.0,0.0,0.0,0.0,0.0,20.0,20,19,19,19.0,0.0,0.0,0.0,0.0,0.0
