target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,12133,Washington County,80.0,75.0,73.0,77.0,73.0,,,,,,,,21.0,26.0,23.0,335,325,349,355,385,153.0,160.0,157.0,163.0,157.0,33.0,50.0,58.0,50.0,36.0,96,89.0,81.0,78.0,88.0,12.0,17.0,16.0,17.0,25.0,296.0,303.0,493,303,266,,,,,,91.0,112.0,214.0,453.0,342.0,,34.0,49.0,47.0,38.0,787,760,701,781,738,96.0,97.0,90.0,94.0,87.0,437,391,527.0,525.0,484.0,276,285,263,254,296,,,,,,8.0,6.0,7.0,6.0,7.0,,,,,,,,3.0,3.0,3.0,56,59,72,69,75,14.0,13.0,11.0,11.0,11.0,10.0,13.0,12.0,10.0,11.0,20,23.0,20.0,22.0,22.0,8.0,13.0,15.0,15.0,19.0,31.0,35.0,35,36,34,,,,,,14.0,17.0,21.0,18.0,20.0,,3.0,4.0,6.0,3.0,45,42,38,40,42,6.0,6.0,7.0,6.0,8.0,37,39,35.0,36.0,36.0,50,50,48,48,53,,,,,,1595.57,1595.34,1595.65,1595.26,1595.37,30.22,30.22,30.22,30.22,30.22,-96.39,-96.39,-96.39,-96.39,-96.39,3337.0,3400.0,3542.0,3942.0,3998.0,,,,,,,,1868.0,2020.0,1878.0,10924,11099,13852,14009,14935,7205.0,7357.0,8409.0,7848.0,8480.0,1287.0,2351.0,2657.0,2354.0,1513.0,4264,3884.0,3570.0,3588.0,4600.0,461.0,509.0,543.0,475.0,602.0,14788.0,15606.0,20854,16206,16131,,,,,,1197.0,1939.0,7084.0,9228.0,12791.0,,460.0,1003.0,901.0,902.0,26076,26108,26666,32129,33197,3595.0,3110.0,3333.0,2878.0,2929.0,5852,5472,6821.0,6818.0,7450.0,4610,4656,4834,4851,5554,,,,,,0.0,0.0,0.0,0.0,0.0,24,25,25,25,25,0.0,0.0,0.0,0.0,0.0
1.0,12031,Duval County,77.0,77.0,82.0,92.0,105.0,93.0,29.0,26.0,28.0,33.0,279.0,262.0,258.0,269.0,289.0,27031,29396,29872,31722,30595,22083.0,23146.0,23763.0,25677.0,25931.0,10832.0,10788.0,10826.0,11339.0,11930.0,46514,41927.0,42477.0,45960.0,47590.0,8309.0,8489.0,8165.0,7933.0,8046.0,27515.0,28836.0,29110,33439,34145,13709.0,13784.0,12186.0,11688.0,12539.0,41217.0,43798.0,42506.0,39467.0,39694.0,7887.0,8736.0,7989.0,9324.0,9663.0,65598,62956,65881,67545,67935,7069.0,7686.0,8087.0,7689.0,6900.0,47696,48333,47223.0,46581.0,42745.0,18116,18720,18875,18229,17276,19.0,24.0,53.0,56.0,37.0,21.0,22.0,22.0,26.0,24.0,10.0,8.0,8.0,9.0,7.0,16.0,15.0,13.0,15.0,15.0,2552,2671,2803,2855,2955,1240.0,1226.0,1209.0,1216.0,1216.0,450.0,453.0,444.0,444.0,436.0,1612,1619.0,1595.0,1582.0,1577.0,1459.0,1489.0,1523.0,1603.0,1728.0,3291.0,3295.0,3322,3365,3420,210.0,201.0,199.0,203.0,209.0,1695.0,1724.0,1748.0,1790.0,1845.0,362.0,364.0,361.0,401.0,393.0,2835,2853,2899,2981,3150,334.0,369.0,378.0,353.0,363.0,2183,2187,2203.0,2200.0,2237.0,2387,2378,2431,2506,2541,20.0,27.0,33.0,43.0,32.0,2200.24,2200.25,2200.27,2195.06,2200.28,27.67,27.67,27.67,27.67,27.67,-98.51,-98.51,-98.51,-98.51,-98.51,2894.0,3338.0,3372.0,3888.0,4490.0,3206.0,844.0,2985.0,3343.0,5748.0,30995.0,30701.0,31344.0,34101.0,35642.0,1489190,1612516,1740353,1857211,1935582,1285965.0,1390285.0,1442272.0,1481555.0,1657635.0,1008916.0,1110339.0,1206997.0,1262978.0,1481646.0,3631319,3490981.0,3746525.0,3990754.0,4468315.0,509447.0,474336.0,480440.0,488698.0,533751.0,1845425.0,2100317.0,2187930,2304993,2565407,1119803.0,1171867.0,1109656.0,1082687.0,1287807.0,1435816.0,1542997.0,1515020.0,1511877.0,1659640.0,283789.0,318043.0,321093.0,346553.0,383424.0,3285559,3252803,3384081,3607463,3969251,396596.0,469374.0,448061.0,380685.0,473646.0,799659,833459,859481.0,762868.0,919247.0,552557,593703,608810,579464,635796,445.0,534.0,748.0,1580.0,1703.0,7.2,7.73,7.08,8.42,8.66,912,924,936,949,983,2.23,2.22,2.32,2.29,2.36
1.0,12007,Bradford County,18.0,16.0,20.0,21.0,25.0,,,,,,,,,,,188,226,245,233,250,53.0,44.0,41.0,28.0,37.0,37.0,26.0,37.0,35.0,36.0,105,105.0,102.0,105.0,124.0,41.0,42.0,29.0,23.0,26.0,95.0,88.0,92,93,98,,,,,,97.0,87.0,102.0,124.0,156.0,0.0,35.0,,46.0,45.0,840,819,797,746,676,31.0,26.0,20.0,15.0,18.0,706,716,664.0,565.0,632.0,269,277,287,244,226,,,,,,6.0,6.0,6.0,5.0,7.0,,,,,,,,,,,36,43,41,44,43,14.0,13.0,12.0,10.0,13.0,7.0,7.0,7.0,8.0,10.0,23,21.0,19.0,20.0,21.0,19.0,18.0,14.0,13.0,14.0,32.0,28.0,31,31,30,,,,,,25.0,23.0,27.0,25.0,28.0,3.0,3.0,,3.0,3.0,40,41,40,40,37,10.0,6.0,7.0,6.0,5.0,41,42,41.0,39.0,43.0,58,61,60,64,66,,,,,,778.28,778.3,778.3,778.24,778.47,41.77,41.77,41.77,41.77,41.77,-76.53,-76.53,-76.53,-76.53,-76.53,419.0,656.0,831.0,924.0,1186.0,,,,,,,,,,,7644,8859,10271,10515,12846,2045.0,1681.0,1166.0,860.0,1500.0,1119.0,1032.0,1232.0,1144.0,1369.0,4267,4116.0,4275.0,4800.0,5238.0,1124.0,740.0,486.0,491.0,737.0,3227.0,2922.0,3193,3303,3510,,,,,,3734.0,2898.0,3545.0,3310.0,7319.0,0.0,706.0,,943.0,987.0,28876,28673,27339,20894,20933,212.0,361.0,282.0,248.0,255.0,9272,10023,9907.0,8908.0,10678.0,5450,5487,5777,5408,5864,,,,,,0.0,0.0,0.0,0.0,0.0,27,27,27,28,28,0.0,0.0,0.0,0.0,0.0
0.0,12009,Brevard County,25.0,27.0,28.0,34.0,17.0,8.0,15.0,11.0,19.0,33.0,356.0,373.0,363.0,360.0,371.0,11249,11431,11689,12622,12742,4324.0,4568.0,4399.0,4527.0,4583.0,3845.0,3747.0,3496.0,3262.0,2668.0,4741,4760.0,4903.0,5178.0,5296.0,2741.0,2890.0,2953.0,2991.0,3038.0,18667.0,19376.0,19615,21218,21817,2845.0,2799.0,3870.0,3532.0,3421.0,12460.0,12471.0,12961.0,13011.0,16067.0,5142.0,5225.0,5402.0,5695.0,5279.0,31612,31007,32969,31839,30959,3579.0,3444.0,3455.0,3331.0,2509.0,23189,24310,24090.0,24604.0,23379.0,8336,8681,8679,8715,8284,12.0,11.0,6.0,23.0,11.0,13.0,13.0,13.0,15.0,12.0,5.0,6.0,6.0,6.0,5.0,19.0,21.0,24.0,25.0,27.0,1600,1668,1681,1668,1729,537.0,530.0,520.0,501.0,506.0,235.0,241.0,239.0,241.0,238.0,730,753.0,758.0,765.0,756.0,844.0,888.0,918.0,973.0,1024.0,1933.0,1929.0,1936,1982,2040,44.0,45.0,44.0,42.0,43.0,993.0,995.0,1027.0,1021.0,1090.0,168.0,180.0,179.0,186.0,199.0,1603,1644,1640,1658,1744,200.0,201.0,208.0,216.0,207.0,1190,1206,1211.0,1222.0,1254.0,1354,1370,1358,1358,1400,10.0,14.0,10.0,17.0,10.0,3353.84,3353.62,3353.92,3352.98,3353.88,28.21,28.21,28.21,28.21,28.21,-80.8,-80.8,-80.8,-80.8,-80.8,644.0,787.0,893.0,1069.0,751.0,424.0,642.0,733.0,1435.0,1863.0,37575.0,40290.0,41343.0,41502.0,40786.0,480069,521743,565388,629662,655184,237169.0,248205.0,252227.0,255328.0,267755.0,266695.0,250425.0,237018.0,235136.0,226508.0,307827,301746.0,324170.0,350099.0,385980.0,103614.0,111153.0,114027.0,115354.0,134137.0,1437183.0,1526304.0,1600848,1813806,1871736,237529.0,236581.0,400227.0,367025.0,380906.0,411229.0,419889.0,480563.0,499911.0,613115.0,148560.0,155259.0,160207.0,171080.0,158534.0,1374241,1464855,1556272,1518780,1608028,94232.0,88889.0,92798.0,66354.0,81690.0,391833,424043,445768.0,411453.0,509023.0,231589,257298,256771,262070,285903,219.0,551.0,109.0,437.0,131.0,1.84,2.17,2.07,2.55,2.74,568,577,586,594,602,2.0,1.95,1.99,2.09,2.08
0.0,12019,Clay County,68.0,65.0,64.0,80.0,109.0,,,,,,0.0,325.0,340.0,340.0,331.0,2925,3258,3319,3350,3648,712.0,801.0,959.0,1054.0,1011.0,842.0,1149.0,922.0,882.0,801.0,1078,986.0,999.0,1271.0,1119.0,913.0,772.0,707.0,621.0,620.0,3180.0,3238.0,2290,2242,2541,260.0,257.0,159.0,170.0,149.0,3330.0,3785.0,4013.0,4353.0,4807.0,671.0,713.0,745.0,638.0,614.0,9220,9189,9009,9894,9425,997.0,1307.0,1153.0,1156.0,1024.0,6243,6380,6396.0,6373.0,6373.0,2224,2235,2240,2106,2145,,,1.0,3.0,5.0,15.0,15.0,12.0,15.0,17.0,,,,,,4.0,4.0,5.0,5.0,5.0,530,553,572,574,620,99.0,98.0,93.0,104.0,105.0,54.0,59.0,60.0,56.0,58.0,191,184.0,185.0,180.0,194.0,223.0,229.0,231.0,252.0,288.0,427.0,429.0,436,441,465,19.0,19.0,16.0,15.0,14.0,244.0,241.0,253.0,269.0,268.0,62.0,57.0,56.0,58.0,55.0,516,511,525,547,563,42.0,48.0,49.0,47.0,48.0,291,303,307.0,317.0,319.0,420,421,424,431,432,,,5.0,4.0,6.0,1666.74,1666.75,1666.7,1666.85,1666.51,33.69,33.69,33.69,33.69,33.69,-98.21,-98.21,-98.21,-98.21,-98.21,2702.0,2611.0,2436.0,3685.0,5118.0,,,,,,0.0,26948.0,28462.0,29291.0,28930.0,111631,123600,133286,143124,164730,33189.0,40721.0,49975.0,53598.0,57398.0,40204.0,44887.0,47930.0,46510.0,45545.0,45356,41550.0,47523.0,63886.0,63413.0,29660.0,26818.0,27292.0,24025.0,27871.0,158519.0,159656.0,132040,146620,160271,14660.0,15011.0,12440.0,11805.0,11498.0,127424.0,148343.0,160659.0,148227.0,197992.0,19090.0,20642.0,19992.0,19357.0,20680.0,439508,460244,459159,482525,525707,23358.0,22096.0,21928.0,19968.0,22343.0,95422,103266,107278.0,103072.0,125234.0,52425,56265,58593,58309,64058,,,26.0,190.0,152.0,0.36,0.36,0.46,1.02,0.95,203,207,211,215,216,1.98,2.2,2.09,2.04,1.94
1.0,12067,Lafayette County,,,9.0,,,,,,,,,,,,,34,25,27,30,38,75.0,77.0,73.0,78.0,78.0,,,,,,54,16.0,19.0,19.0,22.0,,,,,,36.0,20.0,26,22,32,,,,,,0.0,8.0,,,,,,,,,131,125,136,138,120,,,,,,43,48,55.0,63.0,55.0,57,59,28,39,44,,,,,,,,3.0,,,,,,,,,,,,,10,9,9,10,8,7.0,7.0,7.0,7.0,7.0,,,,,,5,5.0,5.0,5.0,6.0,,,,,,8.0,7.0,6,6,7,,,,,,3.0,3.0,,,,,,,,,10,10,10,10,10,,,,,,8,6,8.0,7.0,8.0,16,16,17,16,17,,,,,,1418.65,1418.65,1418.68,1418.96,1418.64,30.0,30.0,30.0,30.0,30.0,-83.22,-83.22,-83.22,-83.22,-83.22,,,75.0,,,,,,,,,,,,,819,769,968,1016,1196,3576.0,3748.0,3759.0,4185.0,4471.0,,,,,,1960,583.0,578.0,649.0,799.0,,,,,,666.0,588.0,610,702,773,,,,,,0.0,218.0,,,,,,,,,3348,3380,3392,3571,3587,,,,,,638,641,777.0,791.0,752.0,848,1127,808,803,910,,,,,,0.0,0.0,0.0,0.0,0.0,9,9,9,9,8,0.0,0.0,0.0,0.0,0.0
1.0,12069,Lake County,86.0,116.0,77.0,78.0,71.0,95.0,95.0,94.0,104.0,111.0,140.0,145.0,150.0,154.0,150.0,7252,7571,8006,8998,9061,1648.0,1722.0,1803.0,1992.0,1933.0,2504.0,2482.0,2441.0,2247.0,765.0,2121,2209.0,2063.0,2228.0,2105.0,2155.0,2223.0,2251.0,2082.0,2294.0,2346.0,2255.0,2258,2369,2532,301.0,671.0,665.0,737.0,365.0,4190.0,4337.0,4420.0,4862.0,4591.0,1751.0,1824.0,1530.0,1538.0,1595.0,19403,18632,19396,19404,19840,1448.0,1381.0,1400.0,1295.0,1215.0,10894,12154,12362.0,12429.0,11746.0,5052,4982,5140,5050,4986,4.0,4.0,6.0,5.0,4.0,20.0,21.0,18.0,16.0,19.0,9.0,9.0,8.0,10.0,9.0,18.0,16.0,17.0,17.0,19.0,963,1033,1068,1113,1163,263.0,271.0,264.0,273.0,278.0,111.0,115.0,114.0,125.0,122.0,393,391.0,401.0,409.0,419.0,480.0,513.0,527.0,545.0,577.0,669.0,704.0,697,734,789,18.0,16.0,17.0,17.0,14.0,528.0,535.0,563.0,589.0,666.0,97.0,104.0,106.0,107.0,115.0,939,952,945,965,1018,128.0,134.0,133.0,136.0,144.0,547,563,575.0,596.0,649.0,717,729,726,761,770,4.0,8.0,7.0,11.0,9.0,2995.58,2995.63,2995.64,2995.52,2995.27,39.05,39.05,39.05,39.05,39.05,-122.78,-122.78,-122.78,-122.78,-122.78,3091.0,3481.0,2669.0,2794.0,2742.0,5432.0,5562.0,5537.0,6474.0,6849.0,11913.0,12115.0,12418.0,12859.0,13127.0,321769,359133,399295,463860,473826,73346.0,75479.0,81597.0,92643.0,108479.0,127496.0,130711.0,122267.0,126379.0,46933.0,121010,127465.0,121255.0,131711.0,136801.0,71751.0,72898.0,73678.0,67745.0,98274.0,104780.0,104141.0,104893,119769,136128,13007.0,35961.0,36957.0,40464.0,16582.0,121174.0,130241.0,139532.0,154398.0,176146.0,58245.0,57812.0,51116.0,51446.0,55021.0,844515,825963,895806,897031,991994,26926.0,25479.0,26848.0,24434.0,29836.0,185736,230039,243463.0,212837.0,240649.0,128919,128703,139261,139453,153896,44.0,59.0,103.0,107.0,94.0,0.15,0.19,0.16,0.5,0.33,326,335,346,356,375,1.72,1.76,1.91,2.4,2.83
1.0,12089,Nassau County,369.0,301.0,281.0,302.0,133.0,,,,,,123.0,107.0,114.0,134.0,136.0,905,1050,1062,1031,1144,316.0,307.0,287.0,284.0,341.0,127.0,134.0,143.0,138.0,122.0,393,453.0,436.0,471.0,434.0,298.0,384.0,499.0,546.0,543.0,616.0,666.0,665,687,714,129.0,260.0,275.0,272.0,258.0,649.0,754.0,737.0,739.0,789.0,187.0,193.0,192.0,170.0,175.0,2490,2482,2826,2929,3025,558.0,597.0,616.0,633.0,646.0,4840,4819,5164.0,5079.0,4664.0,925,1100,1144,1219,1236,,,1.0,,,25.0,24.0,23.0,20.0,19.0,,,,,,7.0,8.0,8.0,8.0,8.0,233,237,248,252,264,43.0,43.0,38.0,37.0,39.0,20.0,23.0,29.0,26.0,27.0,84,84.0,90.0,93.0,90.0,117.0,116.0,142.0,151.0,159.0,208.0,214.0,218,221,232,7.0,6.0,5.0,5.0,5.0,120.0,115.0,108.0,111.0,120.0,21.0,22.0,24.0,23.0,25.0,187,193,196,212,227,44.0,48.0,49.0,48.0,48.0,174,174,179.0,174.0,190.0,200,204,206,205,212,,,4.0,,,1735.43,1735.43,1735.43,1734.99,1736.22,40.74,40.74,40.74,40.74,40.74,-73.56,-73.56,-73.56,-73.56,-73.56,21253.0,25874.0,22116.0,23924.0,10040.0,,,,,,11077.0,12528.0,12702.0,13857.0,10595.0,33292,39050,43187,42700,48925,14037.0,14367.0,14285.0,14698.0,16881.0,6191.0,6843.0,6193.0,6358.0,8840.0,23844,32999.0,32332.0,34334.0,30902.0,14185.0,13749.0,22037.0,23670.0,29316.0,33620.0,33428.0,34822,37550,40975,14694.0,37376.0,41093.0,39771.0,36867.0,22445.0,23862.0,24279.0,26052.0,29376.0,4479.0,4605.0,4881.0,5121.0,5756.0,99579,110724,114263,134538,142526,13398.0,14338.0,15956.0,16596.0,18285.0,109948,116536,121355.0,109820.0,121102.0,28717,31848,33997,38171,40781,,,82.0,,,0.0,0.05,0.05,0.07,0.07,78,81,83,86,88,0.0,1.57,1.51,1.73,1.93
0.0,12103,Pinellas County,52.0,58.0,53.0,52.0,66.0,4.0,3.0,,2.0,,0.0,1278.0,1272.0,1279.0,1268.0,18065,19897,20583,22128,21844,13235.0,13251.0,13930.0,12837.0,13169.0,9549.0,10145.0,11315.0,10672.0,10761.0,25469,28012.0,28480.0,30347.0,28433.0,9428.0,9176.0,9417.0,8122.0,8334.0,31698.0,32480.0,28941,30751,32597,12177.0,12077.0,11582.0,11803.0,10565.0,26467.0,26721.0,26960.0,27063.0,24175.0,6452.0,6515.0,7039.0,7190.0,6959.0,73585,73375,73881,77582,73563,6761.0,7551.0,7772.0,8420.0,7123.0,46781,49340,49789.0,49399.0,44775.0,18199,18110,18028,18079,17200,63.0,99.0,39.0,49.0,32.0,23.0,26.0,24.0,26.0,28.0,3.0,3.0,,3.0,,58.0,46.0,44.0,45.0,47.0,2370,2438,2522,2540,2666,1350.0,1321.0,1289.0,1263.0,1276.0,463.0,463.0,489.0,495.0,505.0,1896,1910.0,1959.0,1933.0,1989.0,1896.0,1983.0,2042.0,2124.0,2255.0,4228.0,4279.0,4371,4587,4868,176.0,162.0,148.0,146.0,148.0,1853.0,1830.0,1848.0,1896.0,1966.0,377.0,379.0,395.0,391.0,402.0,3512,3527,3582,3656,3797,465.0,496.0,521.0,531.0,561.0,2293,2360,2385.0,2375.0,2474.0,2587,2575,2582,2633,2649,19.0,33.0,46.0,39.0,31.0,850.77,850.48,850.62,843.84,849.73,27.88,27.88,27.88,27.88,27.88,-82.73,-82.73,-82.73,-82.73,-82.73,1733.0,2218.0,1947.0,2023.0,2415.0,183.0,135.0,,113.0,,0.0,128719.0,133519.0,135771.0,135575.0,870281,979903,1070713,1164332,1205093,763002.0,781191.0,907931.0,873702.0,899894.0,605289.0,764080.0,872561.0,845855.0,814445.0,2130124,2265485.0,2414820.0,2724160.0,2961960.0,383419.0,365403.0,399616.0,368657.0,422932.0,1957513.0,2049757.0,1986536,2116158,2385826,1040730.0,1185079.0,1150993.0,1068021.0,1054180.0,1040823.0,1010135.0,1064273.0,1056684.0,1096693.0,232346.0,263269.0,319236.0,319595.0,420308.0,3696711,3816883,4065751,4156336,4339744,268034.0,285820.0,283602.0,230313.0,263913.0,881872,962550,1022562.0,913560.0,1108024.0,464007,481997,511402,504258,556276,12625.0,4139.0,1593.0,2289.0,1779.0,33.9,34.77,34.96,33.96,33.22,950,958,965,971,958,2.39,2.4,2.41,2.5,2.47
1.0,12105,Polk County,549.0,396.0,339.0,367.0,322.0,721.0,878.0,859.0,832.0,842.0,492.0,587.0,430.0,417.0,404.0,10919,11762,11776,12018,12479,9956.0,9865.0,10107.0,9929.0,9643.0,2093.0,2323.0,2501.0,2462.0,2384.0,11263,11664.0,11374.0,10930.0,10702.0,3296.0,3533.0,3466.0,3363.0,4205.0,6199.0,6519.0,6505,7115,7345,6801.0,7411.0,7508.0,7804.0,11743.0,11289.0,12528.0,13450.0,13948.0,12988.0,4724.0,5199.0,5015.0,4869.0,4829.0,28729,28788,29740,30981,30087,3485.0,3444.0,3726.0,3428.0,3148.0,17895,19268,19559.0,20302.0,19094.0,7089,7333,7471,7999,7951,23.0,17.0,13.0,36.0,18.0,44.0,42.0,37.0,39.0,39.0,19.0,19.0,19.0,18.0,19.0,35.0,28.0,26.0,25.0,27.0,1311,1428,1447,1505,1631,618.0,613.0,611.0,623.0,626.0,155.0,167.0,170.0,185.0,188.0,684,691.0,693.0,691.0,683.0,714.0,735.0,765.0,803.0,871.0,1095.0,1116.0,1126,1147,1205,69.0,63.0,61.0,64.0,58.0,806.0,821.0,809.0,843.0,940.0,137.0,145.0,159.0,159.0,182.0,1147,1172,1205,1242,1287,148.0,149.0,150.0,153.0,155.0,887,907,931.0,953.0,1004.0,1138,1176,1177,1211,1270,8.0,19.0,14.0,18.0,19.0,5206.84,5206.82,5206.82,5207.34,5206.76,30.76,30.76,30.76,30.76,30.76,-94.82,-94.82,-94.82,-94.82,-94.82,11684.0,9231.0,8655.0,10001.0,13958.0,68120.0,80258.0,78197.0,74257.0,77963.0,53865.0,52326.0,48372.0,49500.0,47722.0,517171,551774,557108,597507,619812,510825.0,525429.0,561640.0,554092.0,576434.0,92386.0,96558.0,106079.0,109110.0,125074.0,700517,744076.0,745952.0,818402.0,820907.0,131620.0,149127.0,143857.0,145435.0,186496.0,302121.0,331789.0,336804,403776,430796,367605.0,426013.0,481178.0,625252.0,848377.0,351102.0,367327.0,396671.0,421821.0,427567.0,140014.0,164749.0,184074.0,162797.0,168708.0,1334165,1370135,1442692,1553734,1635971,64875.0,67288.0,73880.0,55342.0,68358.0,281101,306164,315489.0,304379.0,364188.0,192497,206010,218799,234669,260098,309.0,277.0,604.0,1468.0,570.0,0.62,0.75,0.6,1.09,0.96,652,669,686,706,713,1.98,1.96,2.09,2.08,2.13
