target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
0.0,19011,Benton County,40.0,37.0,40.0,46.0,51.0,,,,,,,,,,,288,290,295,287,258,437,436,440,478.0,455.0,75.0,81.0,62.0,80.0,71.0,198,186,188,185,180,29.0,28.0,22.0,22.0,27.0,72,93,81,75,77,,,,,,126.0,139.0,104.0,117.0,116.0,0.0,32.0,29.0,31.0,28.0,825,812,827,828,804,38.0,24.0,39.0,52.0,50.0,279,259,261,283,296,246,230,215,225,208,,,,,,6.0,5.0,4.0,4.0,5.0,,,,,,,,,,,72,72,71,68,70,37,37,35,36.0,34.0,14.0,14.0,11.0,11.0,11.0,44,44,43,40,38,13.0,14.0,13.0,12.0,12.0,28,28,28,24,24,,,,,,28.0,25.0,22.0,20.0,20.0,4.0,5.0,3.0,3.0,3.0,55,54,62,59,57,7.0,7.0,8.0,8.0,8.0,33,30,26,27,32,71,72,68,68,67,,,,,,1860.91,1860.63,1860.6,1860.63,1860.6,45.72,45.72,45.72,45.72,45.72,-94.05,-94.05,-94.05,-94.05,-94.05,1850.0,1870.0,1855.0,2821.0,2224.0,,,,,,,,,,,16556,15858,15463,15553,16138,21612,23118,23582,24634.0,26069.0,2986.0,3002.0,2853.0,3273.0,3347.0,10514,10307,10681,11234,11278,597.0,563.0,530.0,644.0,636.0,2674,2784,3035,3029,3309,,,,,,3693.0,3920.0,4256.0,3794.0,4220.0,0.0,678.0,558.0,696.0,747.0,27165,26767,29766,31608,31737,772.0,730.0,926.0,770.0,787.0,3309,3481,3411,3527,4136,5185,5228,5078,5176,4866,,,,,,0.0,0.0,0.0,0.0,0.0,26,26,26,26,26,0.0,0.0,0.0,0.0,0.0
1.0,19023,Butler County,18.0,18.0,10.0,6.0,9.0,,,,,,,,,,,85,97,83,100,115,189,154,158,155.0,138.0,0.0,12.0,13.0,12.0,16.0,133,144,142,135,121,,,,,,45,50,45,49,50,,,,,,13.0,15.0,17.0,16.0,16.0,,,,,,503,474,472,504,442,4.0,3.0,0.0,15.0,12.0,125,116,128,124,92,141,127,124,108,125,,,,,,5.0,5.0,4.0,5.0,6.0,,,,,,,,,,,36,37,35,40,41,29,24,22,21.0,20.0,4.0,3.0,3.0,3.0,3.0,32,32,28,28,24,,,,,,19,20,17,17,16,,,,,,11.0,13.0,12.0,15.0,13.0,,,,,,29,30,31,33,30,5.0,5.0,5.0,6.0,7.0,19,20,19,19,19,50,51,52,51,55,,,,,,1506.74,1506.74,1506.72,1506.71,1506.73,40.92,40.92,40.92,40.92,40.92,-79.93,-79.93,-79.93,-79.93,-79.93,739.0,843.0,557.0,354.0,500.0,,,,,,,,,,,4223,4052,4250,4968,5184,9224,7873,7698,8073.0,7315.0,0.0,558.0,591.0,610.0,734.0,5859,6023,6209,6494,6113,,,,,,1367,1322,1326,1473,1418,,,,,,456.0,526.0,618.0,680.0,729.0,,,,,,12399,12758,12698,12853,13269,160.0,177.0,162.0,213.0,232.0,829,920,916,904,878,3460,3057,2974,3006,3445,,,,,,0.0,0.0,0.0,0.0,0.0,15,15,15,15,14,0.0,0.0,0.0,0.0,0.0
1.0,19025,Calhoun County,,,,,,,,,,,,,,,20.0,86,68,78,71,83,224,228,255,271.0,215.0,9.0,10.0,10.0,9.0,10.0,107,118,108,115,101,0.0,19.0,12.0,13.0,11.0,39,46,38,42,60,,,,,,13.0,13.0,13.0,15.0,12.0,,,,8.0,,646,628,651,605,568,12.0,30.0,16.0,17.0,18.0,107,108,94,74,89,170,128,120,117,137,,,,,,,,,,,,,,,,,,,,3.0,30,30,31,32,30,22,21,22,22.0,22.0,4.0,4.0,4.0,4.0,4.0,23,23,22,22,20,3.0,5.0,4.0,5.0,4.0,13,12,12,10,12,,,,,,7.0,8.0,7.0,7.0,7.0,,,,3.0,,31,33,33,32,32,4.0,5.0,5.0,6.0,6.0,14,16,14,11,13,38,37,35,37,37,,,,,,1482.18,1482.1,1482.16,1482.01,1482.1,28.5,28.5,28.5,28.5,28.5,-96.67,-96.67,-96.67,-96.67,-96.67,,,,,,,,,,,,,,,1709.0,3370,3192,3548,3868,4081,10879,12352,13935,15371.0,12753.0,440.0,495.0,487.0,501.0,583.0,4870,4723,4960,5247,5306,0.0,572.0,643.0,719.0,708.0,1492,1420,2032,1499,2501,,,,,,260.0,290.0,337.0,394.0,362.0,,,,71.0,,21952,22934,22501,23643,24017,194.0,295.0,302.0,382.0,408.0,964,981,1143,1200,1506,3207,2649,2894,3078,2989,,,,,,0.0,0.0,0.0,0.0,0.0,10,10,10,10,10,0.0,0.0,0.0,0.0,0.0
1.0,19061,Dubuque County,92.0,91.0,88.0,94.0,74.0,,,,,,0.0,87.0,96.0,80.0,81.0,2065,2033,2086,2220,1975,2718,2531,2397,2474.0,2445.0,1715.0,1476.0,1504.0,1290.0,910.0,3609,4052,4008,4320,3903,405.0,465.0,436.0,380.0,354.0,2130,1771,1767,1700,1407,1044.0,1045.0,1142.0,737.0,727.0,2299.0,2343.0,2435.0,2483.0,2573.0,2546.0,2682.0,2562.0,2717.0,2566.0,7880,8381,8466,8464,8169,1787.0,1487.0,1355.0,1251.0,922.0,4508,4964,4407,4475,3973,2404,2277,2300,2093,1996,,,,,2.0,17.0,19.0,17.0,16.0,14.0,,,,,,4.0,4.0,4.0,4.0,4.0,299,305,299,291,295,165,161,155,155.0,158.0,55.0,57.0,52.0,56.0,54.0,206,201,197,201,192,121.0,119.0,124.0,121.0,141.0,183,176,179,183,185,28.0,27.0,28.0,25.0,25.0,125.0,128.0,134.0,145.0,148.0,39.0,39.0,37.0,35.0,38.0,282,288,283,284,298,58.0,60.0,57.0,54.0,53.0,250,249,246,247,240,271,270,271,258,258,,,,,3.0,1596.75,1596.82,1596.75,1596.72,1596.47,42.47,42.47,42.47,42.47,42.47,-90.87,-90.87,-90.87,-90.87,-90.87,3017.0,3281.0,3324.0,3515.0,3481.0,,,,,,0.0,8196.0,9243.0,8700.0,8669.0,124804,132137,139491,144429,145173,139956,141867,129833,131847.0,146193.0,133162.0,110306.0,100059.0,77900.0,58845.0,229953,246447,236266,298578,307935,14637.0,14729.0,15288.0,14857.0,15296.0,118873,102210,112396,104406,94196,99170.0,114014.0,122409.0,66597.0,85510.0,75186.0,74336.0,77335.0,81203.0,92136.0,64009.0,65266.0,66419.0,90242.0,86870.0,378629,412937,422722,407964,435483,35557.0,26377.0,26442.0,21803.0,23672.0,65016,79877,77394,70494,79630,59171,58261,59836,57824,59944,,,,,229.0,0.78,0.79,0.73,0.7,0.74,97,97,97,97,99,2.53,2.57,2.58,2.54,2.59
1.0,19071,Fremont County,,,,,,,,,,,,,,,,26,20,25,76,97,138,156,154,127.0,126.0,18.0,18.0,8.0,8.0,,72,63,56,63,62,7.0,9.0,7.0,,,41,46,41,41,47,,,,,,42.0,8.0,5.0,7.0,58.0,,,,,,298,295,284,292,225,,,,,,199,187,192,162,199,37,35,27,26,28,,,,,,,,,,,,,,,,,,,,,17,18,21,25,24,16,17,17,17.0,17.0,4.0,4.0,3.0,3.0,,17,16,16,16,16,4.0,6.0,5.0,,,9,11,11,11,10,,,,,,5.0,5.0,4.0,5.0,5.0,,,,,,16,14,13,13,11,,,,,,19,18,20,19,17,14,12,12,11,13,,,,,,1338.22,1338.19,1338.19,1338.29,1338.26,40.73,40.73,40.73,40.73,40.73,-95.59,-95.59,-95.59,-95.59,-95.59,,,,,,,,,,,,,,,,931,1006,1825,6081,4920,7076,8852,7304,6878.0,6702.0,723.0,702.0,334.0,359.0,,2998,3011,3065,3401,3603,125.0,157.0,169.0,,,1557,1604,1598,1733,1800,,,,,,849.0,158.0,152.0,2574.0,2586.0,,,,,,10082,10270,10766,11468,6824,,,,,,2616,2930,2576,2758,3625,376,354,298,263,403,,,,,,0.0,0.0,0.0,0.0,0.0,7,7,7,7,7,0.0,0.0,0.0,0.0,0.0
1.0,19079,Hamilton County,,,,,,,,,,,26.0,,,,,213,218,233,237,223,998,975,927,947.0,885.0,114.0,117.0,99.0,111.0,102.0,185,198,189,192,192,20.0,20.0,20.0,20.0,21.0,72,76,64,68,69,,,,,,128.0,191.0,166.0,162.0,129.0,0.0,26.0,26.0,36.0,24.0,710,699,692,661,631,13.0,11.0,13.0,18.0,16.0,237,246,239,213,214,228,212,219,198,196,,,,,,,,,,,,,,,,3.0,,,,,42,44,48,49,52,34,34,33,32.0,33.0,12.0,12.0,12.0,12.0,12.0,21,23,24,25,22,9.0,11.0,12.0,10.0,10.0,21,20,18,17,14,,,,,,24.0,23.0,22.0,20.0,19.0,3.0,3.0,4.0,4.0,3.0,37,34,33,32,27,6.0,6.0,6.0,5.0,7.0,26,26,24,24,20,53,55,54,53,53,,,,,,1495.56,1495.63,1495.61,1495.73,1495.65,31.64,31.64,31.64,31.64,31.64,-97.97,-97.97,-97.97,-97.97,-97.97,,,,,,,,,,,1948.0,,,,,9377,9995,10118,10691,11709,52668,53251,54401,54007.0,56416.0,4817.0,4503.0,4353.0,4536.0,4454.0,13241,13740,13604,14461,16320,406.0,404.0,493.0,688.0,899.0,5040,5361,5103,6038,6222,,,,,,5132.0,5645.0,5260.0,4849.0,4575.0,0.0,777.0,806.0,764.0,725.0,29990,26194,25956,26673,27423,580.0,486.0,571.0,453.0,521.0,2932,3178,2819,2470,2991,5983,5752,5914,5738,6055,,,,,,0.05,0.05,0.05,0.05,0.05,15,15,15,15,15,2.27,2.15,2.1,2.26,2.23
1.0,19151,Pocahontas County,,,,,,,,,,,,,,,,58,55,55,53,57,264,250,263,335.0,402.0,49.0,48.0,42.0,41.0,39.0,89,89,94,94,100,,,,,3.0,47,47,43,35,34,,,,,,0.0,9.0,4.0,5.0,8.0,,,,,,269,233,282,254,257,22.0,23.0,20.0,21.0,20.0,102,90,70,72,85,59,61,55,57,69,,,,,,,,,,,,,,,,,,,,,21,22,23,21,21,17,18,18,17.0,17.0,4.0,5.0,4.0,4.0,4.0,21,21,24,23,23,,,,,3.0,15,16,14,13,13,,,,,,3.0,4.0,4.0,4.0,3.0,,,,,,18,19,21,18,19,6.0,6.0,6.0,6.0,6.0,13,13,12,11,10,24,21,20,22,21,,,,,,1498.4,1498.4,1498.41,1498.39,1498.41,42.73,42.73,42.73,42.73,42.73,-94.65,-94.65,-94.65,-94.65,-94.65,,,,,,,,,,,,,,,,2177,2263,2593,2757,2554,11699,10639,11594,15903.0,19843.0,1547.0,1559.0,1535.0,1653.0,1778.0,4337,4414,4634,4867,5065,,,,,10.0,1189,2053,1157,1170,1002,,,,,,0.0,181.0,144.0,137.0,132.0,,,,,,9656,8777,9377,8959,9704,205.0,204.0,198.0,173.0,200.0,1016,867,863,733,885,949,893,950,1097,1385,,,,,,0.0,0.0,0.0,0.0,0.0,7,7,7,7,7,0.0,0.0,0.0,0.0,0.0
1.0,19173,Taylor County,,,,,,,,,,,,,,,,151,107,101,65,48,80,67,38,39.0,65.0,,,,,,38,34,28,38,38,12.0,10.0,13.0,14.0,7.0,27,26,53,22,40,,,,,,7.0,7.0,18.0,11.0,9.0,,,,,,258,288,286,170,151,,,,,,38,63,49,46,46,58,66,66,67,66,,,,,,,,,,,,,,,,,,,,,20,22,22,21,20,9,8,6,7.0,9.0,,,,,,11,10,11,11,10,5.0,5.0,6.0,5.0,5.0,8,11,9,8,8,,,,,,4.0,4.0,4.0,4.0,3.0,,,,,,14,15,14,11,11,,,,,,5,6,7,6,7,25,23,21,21,23,,,,,,1384.86,1385.02,1384.99,1385.0,1384.87,32.28,32.28,32.28,32.28,32.28,-99.88,-99.88,-99.88,-99.88,-99.88,,,,,,,,,,,,,,,,9560,7720,12241,3037,1685,3106,2670,2114,2262.0,3541.0,,,,,,1786,1660,1403,1738,1865,337.0,314.0,339.0,368.0,351.0,726,2671,2179,797,2938,,,,,,410.0,323.0,408.0,273.0,289.0,,,,,,6283,8381,7851,4142,4023,,,,,,450,548,467,410,517,1755,1879,2082,2148,2172,,,,,,0.0,0.0,0.0,0.0,0.0,6,6,6,6,6,0.0,0.0,0.0,0.0,0.0
1.0,19175,Union County,,,,,,,,,,,94.0,95.0,90.0,91.0,92.0,123,107,98,124,131,274,261,300,251.0,254.0,85.0,91.0,85.0,95.0,83.0,167,153,114,143,169,15.0,13.0,12.0,10.0,6.0,67,69,66,57,62,82.0,70.0,59.0,,,326.0,397.0,357.0,328.0,292.0,56.0,46.0,43.0,44.0,38.0,884,958,1001,919,915,63.0,69.0,64.0,48.0,35.0,432,459,367,320,302,189,187,172,159,144,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,4.0,39,36,33,35,37,19,19,17,18.0,17.0,8.0,8.0,9.0,9.0,8.0,27,27,28,25,26,8.0,8.0,8.0,7.0,6.0,18,18,17,17,18,3.0,3.0,3.0,,,13.0,14.0,13.0,15.0,11.0,5.0,5.0,5.0,5.0,6.0,41,43,43,40,40,7.0,6.0,4.0,4.0,4.0,29,28,25,26,26,36,39,37,36,38,,,,,,1102.69,1102.67,1102.7,1102.75,1102.71,37.46,37.46,37.46,37.46,37.46,-89.25,-89.25,-89.25,-89.25,-89.25,,,,,,,,,,,7323.0,7498.0,7371.0,7533.0,7786.0,4524,4847,5915,6441,6767,13736,14399,14700,13709.0,15172.0,2700.0,2820.0,2913.0,3221.0,2929.0,9014,8018,7359,8788,8383,264.0,279.0,219.0,201.0,192.0,2436,2363,2279,2241,2386,2588.0,2018.0,1888.0,,,10663.0,10940.0,10827.0,11003.0,9159.0,999.0,955.0,1079.0,1016.0,1037.0,36397,37999,41377,44375,48260,459.0,502.0,424.0,346.0,408.0,4597,4609,4030,3666,4635,6702,6153,5637,5284,6357,,,,,,0.03,0.08,0.08,0.0,0.03,12,12,12,12,12,2.37,1.74,1.79,0.0,1.52
1.0,19177,Van Buren County,,,,,,0.0,16.0,8.0,8.0,,,,,,,62,47,36,36,40,50,73,71,75.0,85.0,18.0,15.0,16.0,16.0,,57,60,54,44,45,5.0,,,4.0,6.0,31,34,36,38,36,,,,,,7.0,7.0,5.0,5.0,5.0,,,,,,279,290,270,256,209,,,,,,71,57,56,58,57,18,20,20,23,22,,,,,,,,,,,4.0,4.0,5.0,3.0,,,,,,,19,15,16,14,16,8,10,9,8.0,8.0,3.0,3.0,3.0,3.0,,11,11,11,11,11,3.0,,,3.0,3.0,7,8,9,8,6,,,,,,5.0,5.0,4.0,6.0,5.0,,,,,,12,12,13,12,10,,,,,,12,12,10,9,8,15,14,13,14,13,,,,,,1270.69,1270.68,1270.68,1270.74,1270.77,40.75,40.75,40.75,40.75,40.75,-91.97,-91.97,-91.97,-91.97,-91.97,,,,,,0.0,805.0,533.0,664.0,,,,,,,2030,1633,1561,1606,1601,1294,1624,1676,2106.0,2371.0,903.0,918.0,871.0,812.0,,2728,2633,2479,2408,2383,66.0,,,134.0,146.0,1213,1223,1235,1319,1375,,,,,,201.0,201.0,172.0,197.0,264.0,,,,,,10341,10398,10278,10194,9855,,,,,,744,681,831,622,840,643,564,601,637,643,,,,,,0.0,0.0,0.0,0.0,0.0,7,7,7,7,7,0.0,0.0,0.0,0.0,0.0
