target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,21079,Garrard County,,,,,,,,,,,,,,,,259.0,268.0,281.0,261.0,282.0,27.0,18.0,17.0,15.0,12.0,35.0,27.0,30.0,36.0,40.0,56.0,55.0,58.0,60.0,59.0,7.0,6.0,9.0,9.0,12.0,36.0,37.0,33.0,24.0,17.0,,,,,,86.0,179.0,205.0,130.0,213.0,,,,,,285.0,263.0,261.0,237,241,,,,,,115.0,119.0,93.0,99.0,114.0,90,81,76.0,78.0,71.0,,,,,,,,,,,,,,,,,,,,,43.0,45.0,47.0,53.0,46.0,4.0,4.0,4.0,3.0,3.0,7.0,7.0,7.0,7.0,8.0,12.0,12.0,12.0,15.0,15.0,5.0,5.0,7.0,8.0,8.0,18.0,15.0,16.0,13.0,13.0,,,,,,16.0,16.0,15.0,14.0,17.0,,,,,,25.0,23.0,23.0,22,22,,,,,,14.0,16.0,14.0,13.0,16.0,22,20,19.0,20.0,22.0,,,,,,605.89,605.88,605.89,605.89,605.87,37.64,37.64,37.64,37.64,37.64,-84.54,-84.54,-84.54,-84.54,-84.54,,,,,,,,,,,,,,,,10421.0,12374.0,12386.0,12952.0,13573.0,697.0,696.0,606.0,598.0,581.0,1760.0,1871.0,1876.0,1873.0,2315.0,1868.0,1952.0,2318.0,2398.0,2591.0,95.0,150.0,238.0,215.0,297.0,1101.0,972.0,874.0,570.0,431.0,,,,,,7050.0,7356.0,8209.0,7248.0,8593.0,,,,,,8503.0,8203.0,7933.0,7954,9326,,,,,,1289.0,1304.0,1221.0,1241.0,1950.0,2535,2111,1969.0,1912.0,2042.0,,,,,,0.0,0.0,0.0,0.0,0.0,17,17,17,18,17,0.0,0.0,0.0,0.0,0.0
1.0,21089,Greenup County,,,,,,,,,,,,,,,,254.0,255.0,256.0,238.0,269.0,0.0,22.0,28.0,29.0,28.0,21.0,48.0,47.0,45.0,23.0,213.0,225.0,223.0,224.0,201.0,36.0,28.0,29.0,26.0,26.0,136.0,140.0,151.0,155.0,158.0,0.0,90.0,53.0,,,423.0,491.0,469.0,454.0,426.0,21.0,23.0,25.0,50.0,45.0,1035.0,1056.0,953.0,1134,1009,52.0,58.0,53.0,54.0,61.0,775.0,848.0,717.0,800.0,698.0,222,247,244.0,239.0,252.0,,,,,,,,,,,,,,,,,,,,,36.0,38.0,36.0,41.0,45.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,4.0,38.0,40.0,40.0,40.0,38.0,13.0,15.0,14.0,13.0,11.0,26.0,23.0,25.0,25.0,26.0,7.0,7.0,4.0,,,28.0,28.0,30.0,28.0,31.0,4.0,4.0,5.0,5.0,7.0,78.0,77.0,76.0,73,63,6.0,6.0,5.0,5.0,6.0,45.0,45.0,38.0,39.0,41.0,53,54,54.0,54.0,60.0,,,,,,917.91,917.85,917.9,917.9,917.86,38.51,38.51,38.51,38.51,38.51,-82.92,-82.92,-82.92,-82.92,-82.92,,,,,,,,,,,,,,,,12421.0,11194.0,11062.0,11276.0,11820.0,0.0,828.0,951.0,953.0,917.0,1378.0,2406.0,2104.0,2167.0,1558.0,8918.0,9514.0,10957.0,11315.0,10801.0,860.0,790.0,796.0,712.0,722.0,5553.0,4864.0,4998.0,5519.0,5530.0,0.0,10944.0,3633.0,,,13406.0,15064.0,15286.0,14059.0,17589.0,220.0,221.0,263.0,324.0,344.0,38425.0,41364.0,37811.0,38715,36988,1540.0,1481.0,1510.0,1361.0,1469.0,11847.0,12675.0,12000.0,10206.0,11120.0,4377,4910,5049.0,5076.0,5609.0,,,,,,0.0,0.1,0.0,0.1,0.0,36,36,36,35,36,0.0,1.51,0.0,1.73,0.0
1.0,21069,Fleming County,,,,,,,,,,,0.0,66.0,67.0,70.0,71.0,129.0,155.0,129.0,103.0,141.0,72.0,71.0,86.0,91.0,93.0,0.0,13.0,13.0,12.0,13.0,111.0,111.0,110.0,110.0,107.0,9.0,12.0,17.0,19.0,21.0,40.0,40.0,36.0,35.0,34.0,,,,,,,,7.0,8.0,9.0,,,,,17.0,516.0,457.0,445.0,419,398,4.0,8.0,5.0,7.0,5.0,166.0,154.0,191.0,166.0,150.0,77,85,87.0,77.0,72.0,,,,,2.0,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,24.0,23.0,23.0,24.0,24.0,10.0,9.0,10.0,10.0,9.0,4.0,5.0,4.0,4.0,3.0,19.0,19.0,20.0,19.0,18.0,8.0,9.0,11.0,11.0,10.0,14.0,13.0,13.0,11.0,11.0,,,,,,,,3.0,4.0,6.0,,,,,3.0,17.0,17.0,17.0,19,19,3.0,3.0,4.0,4.0,3.0,7.0,9.0,9.0,7.0,7.0,29,31,28.0,30.0,25.0,,,,,3.0,909.91,909.92,909.93,909.9,909.93,38.37,38.37,38.37,38.37,38.37,-83.68,-83.68,-83.68,-83.68,-83.68,,,,,,,,,,,0.0,4326.0,4570.0,5088.0,5246.0,5932.0,6448.0,6229.0,8590.0,10405.0,2077.0,1896.0,2657.0,2912.0,2877.0,0.0,874.0,864.0,781.0,670.0,4198.0,4872.0,5224.0,4804.0,5990.0,124.0,252.0,479.0,494.0,504.0,1045.0,1095.0,983.0,910.0,1059.0,,,,,,,,131.0,269.0,279.0,,,,,672.0,17271.0,15381.0,15570.0,15931,15220,76.0,72.0,75.0,69.0,85.0,2463.0,2582.0,2655.0,2188.0,2304.0,1809,2015,2178.0,2255.0,2547.0,,,,,16.0,0.0,0.0,0.0,0.0,0.0,15,14,15,15,15,0.0,0.0,0.0,0.0,0.0
0.0,21037,Campbell County,,,,,,,,,,,,,,,,1586.0,1577.0,1707.0,1633.0,1642.0,878.0,973.0,1151.0,1123.0,1331.0,343.0,394.0,471.0,420.0,418.0,506.0,480.0,473.0,503.0,532.0,654.0,637.0,459.0,461.0,460.0,1098.0,1040.0,1133.0,1211.0,1276.0,651.0,848.0,786.0,776.0,744.0,966.0,839.0,1134.0,1151.0,1330.0,214.0,242.0,471.0,264.0,447.0,3524.0,3604.0,3411.0,3343,3183,981.0,1015.0,956.0,721.0,517.0,4844.0,4817.0,4754.0,4666.0,4064.0,1349,1308,1350.0,1263.0,1017.0,,2.0,,,1.0,,,,,,,,,,,,,,,,193.0,197.0,198.0,193.0,196.0,60.0,62.0,63.0,58.0,59.0,32.0,33.0,32.0,32.0,36.0,95.0,88.0,98.0,100.0,102.0,81.0,85.0,78.0,76.0,90.0,164.0,162.0,161.0,151.0,158.0,8.0,8.0,7.0,6.0,9.0,74.0,73.0,78.0,78.0,80.0,21.0,22.0,22.0,21.0,20.0,171.0,167.0,169.0,168,164,34.0,34.0,34.0,32.0,30.0,222.0,226.0,223.0,229.0,239.0,172,180,175.0,173.0,179.0,,3.0,,,4.0,413.63,413.63,413.63,413.64,413.63,38.93,38.93,38.93,38.93,38.93,-84.37,-84.37,-84.37,-84.37,-84.37,,,,,,,,,,,,,,,,85172.0,90740.0,99327.0,98576.0,104498.0,49562.0,57120.0,64900.0,70921.0,66705.0,13761.0,15971.0,17278.0,19099.0,21501.0,26417.0,26634.0,26708.0,29769.0,33568.0,46377.0,47648.0,42370.0,40938.0,43533.0,55018.0,62099.0,69238.0,76083.0,91426.0,65539.0,113379.0,113526.0,104858.0,95599.0,45521.0,31880.0,54247.0,57455.0,77429.0,5382.0,6032.0,10181.0,6218.0,10623.0,146968.0,150992.0,147168.0,158678,161964,15464.0,15425.0,15828.0,11092.0,12676.0,69338.0,71875.0,73859.0,65131.0,75851.0,41011,43606,47042.0,45809.0,32680.0,,55.0,,,141.0,2.45,2.65,2.27,2.59,2.83,92,92,93,94,93,3.55,3.44,3.5,3.13,2.99
1.0,21043,Carter County,12.0,,6.0,,,79.0,59.0,61.0,47.0,48.0,,,,,,156.0,186.0,175.0,202.0,281.0,268.0,268.0,271.0,234.0,249.0,343.0,410.0,456.0,468.0,634.0,173.0,192.0,179.0,183.0,176.0,36.0,40.0,35.0,32.0,25.0,117.0,105.0,101.0,103.0,109.0,,,,,,83.0,103.0,122.0,135.0,119.0,0.0,387.0,386.0,394.0,346.0,601.0,581.0,504.0,622,577,13.0,14.0,17.0,15.0,13.0,724.0,706.0,652.0,669.0,638.0,141,141,142.0,163.0,159.0,,,,,,4.0,,3.0,,,4.0,4.0,5.0,4.0,4.0,,,,,,35.0,34.0,37.0,34.0,36.0,10.0,11.0,11.0,11.0,14.0,11.0,12.0,12.0,13.0,13.0,25.0,27.0,26.0,25.0,26.0,18.0,17.0,16.0,14.0,13.0,25.0,26.0,20.0,24.0,25.0,,,,,,12.0,13.0,14.0,16.0,14.0,3.0,3.0,3.0,3.0,3.0,36.0,38.0,37.0,36,33,3.0,3.0,3.0,5.0,5.0,41.0,38.0,40.0,38.0,36.0,44,43,46.0,46.0,49.0,,,,,,1067.4,1067.45,1067.39,1067.41,1067.4,34.23,34.23,34.23,34.23,34.23,-97.28,-97.28,-97.28,-97.28,-97.28,274.0,,253.0,,,1679.0,2515.0,2499.0,2488.0,2701.0,,,,,,6935.0,6854.0,11197.0,11999.0,12142.0,7022.0,8081.0,8584.0,7767.0,8420.0,14069.0,16644.0,16830.0,24730.0,23107.0,6905.0,6841.0,7012.0,6834.0,6724.0,1249.0,1249.0,1269.0,1039.0,989.0,2951.0,2943.0,2790.0,3162.0,3269.0,,,,,,2275.0,2431.0,2551.0,3237.0,3315.0,0.0,3841.0,4016.0,4113.0,4386.0,16335.0,17691.0,15125.0,18575,17165,250.0,256.0,266.0,325.0,340.0,9134.0,9141.0,8478.0,8366.0,9672.0,3212,2958,3208.0,3488.0,3865.0,,,,,,0.0,0.0,0.0,0.0,0.0,27,27,27,27,27,0.0,0.0,0.0,0.0,0.0
0.0,21063,Elliott County,,,,,,,,,,,,,,,,25.0,12.0,21.0,24.0,18.0,,,,,,,,,,,12.0,14.0,14.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,174.0,172.0,85.0,149,131,,,,,,58.0,46.0,47.0,58.0,52.0,7,1,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,4.0,4.0,3.0,,,,,,,,,,,4.0,4.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,9.0,9,9,,,,,,7.0,4.0,5.0,6.0,4.0,4,3,,,,,,,,,609.57,609.58,609.57,609.55,609.58,38.12,38.12,38.12,38.12,38.12,-83.07,-83.07,-83.07,-83.07,-83.07,,,,,,,,,,,,,,,,645.0,490.0,631.0,709.0,565.0,,,,,,,,,,,429.0,462.0,449.0,534.0,529.0,,,,,,,,,,,,,,,,,,,,,,,,,,5291.0,5563.0,3691.0,4844,5376,,,,,,770.0,718.0,720.0,579.0,516.0,84,33,,,,,,,,,0.0,0.0,0.0,0.0,0.0,8,8,8,7,7,0.0,0.0,0.0,0.0,0.0
1.0,21081,Grant County,,,,,,,,,,,,,,,,75.0,68.0,94.0,115.0,138.0,188.0,190.0,174.0,160.0,44.0,22.0,26.0,,,18.0,73.0,71.0,72.0,65.0,68.0,32.0,29.0,35.0,31.0,42.0,71.0,87.0,69.0,79.0,68.0,,,,,,107.0,109.0,114.0,76.0,74.0,,,,,,514.0,477.0,511.0,493,483,17.0,16.0,15.0,11.0,39.0,772.0,728.0,819.0,865.0,862.0,154,172,151.0,156.0,147.0,,,,,,,,,,,,,,,,,,,,,38.0,38.0,43.0,44.0,48.0,11.0,11.0,12.0,12.0,10.0,5.0,5.0,,,4.0,19.0,18.0,17.0,16.0,15.0,19.0,19.0,18.0,19.0,18.0,29.0,28.0,22.0,21.0,21.0,,,,,,15.0,14.0,13.0,13.0,11.0,,,,,,39.0,37.0,40.0,39,39,5.0,5.0,4.0,4.0,5.0,41.0,39.0,43.0,45.0,46.0,43,42,37.0,43.0,46.0,,,,,,675.43,675.44,675.44,675.45,675.44,45.94,45.94,45.94,45.94,45.94,-96.03,-96.03,-96.03,-96.03,-96.03,,,,,,,,,,,,,,,,2547.0,2566.0,3806.0,5235.0,6637.0,7800.0,7085.0,7104.0,4856.0,2415.0,1337.0,1617.0,,,1411.0,2988.0,2703.0,2872.0,2822.0,2837.0,836.0,1145.0,1238.0,1344.0,1669.0,2820.0,2971.0,2967.0,2821.0,2843.0,,,,,,4747.0,4308.0,4855.0,3482.0,3614.0,,,,,,22565.0,23694.0,25469.0,25708,28163,352.0,348.0,363.0,335.0,431.0,12067.0,12519.0,12342.0,12902.0,15453.0,3506,3877,3515.0,3673.0,3769.0,,,,,,0.0,0.0,0.0,0.0,0.0,25,25,25,25,25,0.0,0.0,0.0,0.0,0.0
0.0,21111,Jefferson County,21.0,32.0,34.0,23.0,17.0,0.0,85.0,95.0,105.0,118.0,0.0,2141.0,2045.0,1882.0,1908.0,17987.0,18790.0,18214.0,18647.0,18056.0,19630.0,21067.0,20525.0,19524.0,19157.0,9386.0,10607.0,10047.0,8928.0,8273.0,30922.0,29541.0,30418.0,31057.0,30613.0,5714.0,5760.0,5767.0,5800.0,5410.0,23959.0,23448.0,23470.0,24941.0,24606.0,22556.0,24204.0,25480.0,24067.0,25766.0,25293.0,29091.0,27052.0,27696.0,26611.0,8581.0,8859.0,8995.0,8733.0,9039.0,65181.0,67175.0,66109.0,68991,67339,5623.0,6020.0,6611.0,6468.0,5075.0,44541.0,46564.0,44744.0,43498.0,35685.0,19967,19697,20317.0,19617.0,17582.0,27.0,9.0,18.0,21.0,10.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,27.0,35.0,34.0,30.0,31.0,1429.0,1426.0,1395.0,1419.0,1429.0,1125.0,1077.0,1039.0,1005.0,982.0,399.0,392.0,397.0,397.0,393.0,1498.0,1486.0,1615.0,1582.0,1539.0,1041.0,1098.0,1129.0,1133.0,1196.0,2201.0,2230.0,2242.0,2273.0,2277.0,268.0,271.0,260.0,243.0,251.0,1120.0,1109.0,1097.0,1131.0,1163.0,242.0,249.0,251.0,237.0,247.0,2474.0,2516.0,2520.0,2587,2690,342.0,333.0,343.0,335.0,325.0,1826.0,1819.0,1843.0,1798.0,1832.0,1857,1866,1859.0,1843.0,1877.0,10.0,17.0,13.0,15.0,11.0,1031.58,1029.84,1029.84,1029.84,1029.8,29.83,29.83,29.83,29.83,29.83,-94.17,-94.17,-94.17,-94.17,-94.17,609.0,770.0,648.0,1436.0,984.0,0.0,6884.0,7985.0,8458.0,16330.0,0.0,234441.0,217798.0,224018.0,221675.0,974779.0,1030840.0,1072960.0,1114405.0,1134774.0,1224771.0,1311692.0,1380547.0,1348414.0,1430364.0,565242.0,627858.0,635806.0,599473.0,614450.0,2541232.0,2726901.0,2780842.0,2922475.0,2967008.0,289312.0,301471.0,323071.0,307550.0,332708.0,1474306.0,1492351.0,1572665.0,1656425.0,1866609.0,1894318.0,2055511.0,2186626.0,2218892.0,2396414.0,817207.0,913104.0,884249.0,915628.0,1023225.0,297641.0,317177.0,284359.0,273949.0,338938.0,3374828.0,3618802.0,3628120.0,3853331,4211832,163774.0,175430.0,181882.0,156029.0,184859.0,748517.0,811086.0,828204.0,679873.0,784063.0,583380,620349,654485.0,600569.0,636245.0,122.0,181.0,165.0,696.0,574.0,17.1,17.47,16.73,17.44,17.58,764,767,767,768,780,2.55,2.52,2.54,2.53,2.54
1.0,21123,Larue County,,,,,,,,,,,,,,,,167.0,161.0,150.0,162.0,171.0,14.0,14.0,10.0,7.0,9.0,,,,,6.0,220.0,343.0,363.0,411.0,420.0,,,,,,42.0,42.0,39.0,44.0,35.0,,,,,,18.0,25.0,9.0,8.0,12.0,,,,,,366.0,319.0,318.0,304,256,7.0,20.0,15.0,6.0,7.0,124.0,141.0,149.0,151.0,158.0,142,130,134.0,131.0,148.0,,,,,,,,,,,,,,,,,,,,,36.0,34.0,30.0,27.0,29.0,4.0,3.0,3.0,4.0,4.0,,,,,3.0,14.0,15.0,15.0,14.0,16.0,,,,,,15.0,15.0,14.0,14.0,14.0,,,,,,7.0,6.0,7.0,7.0,6.0,,,,,,20.0,20.0,21.0,22,20,3.0,4.0,4.0,3.0,3.0,11.0,11.0,13.0,13.0,12.0,39,38,35.0,32.0,32.0,,,,,,682.85,682.85,682.86,682.85,682.87,37.53,37.53,37.53,37.53,37.53,-85.7,-85.7,-85.7,-85.7,-85.7,,,,,,,,,,,,,,,,7693.0,7545.0,7492.0,8264.0,9228.0,534.0,464.0,276.0,284.0,269.0,,,,,123.0,12933.0,18238.0,21456.0,40384.0,38071.0,,,,,,1149.0,1134.0,1109.0,1171.0,1075.0,,,,,,762.0,182.0,324.0,371.0,328.0,,,,,,9357.0,9904.0,10153.0,10054,11014,143.0,166.0,142.0,84.0,150.0,1616.0,1818.0,2148.0,2009.0,1831.0,2712,2614,2934.0,3017.0,3263.0,,,,,,0.0,0.0,0.0,0.0,0.0,14,14,14,14,15,0.0,0.0,0.0,0.0,0.0
1.0,21141,Logan County,,25.0,19.0,22.0,22.0,,,,,,8.0,9.0,8.0,8.0,10.0,350.0,326.0,362.0,265.0,316.0,215.0,210.0,210.0,184.0,179.0,61.0,62.0,56.0,61.0,55.0,207.0,198.0,195.0,171.0,181.0,32.0,27.0,32.0,33.0,24.0,174.0,170.0,155.0,157.0,152.0,,,,,,140.0,316.0,349.0,280.0,289.0,42.0,52.0,53.0,54.0,46.0,731.0,610.0,779.0,675,616,15.0,,,,,592.0,576.0,608.0,518.0,581.0,256,258,251.0,257.0,231.0,,,,,,,3.0,3.0,3.0,3.0,,,,,,3.0,3.0,3.0,3.0,3.0,46.0,48.0,48.0,47.0,43.0,28.0,27.0,25.0,21.0,22.0,7.0,7.0,7.0,7.0,8.0,33.0,36.0,34.0,32.0,31.0,13.0,11.0,12.0,11.0,12.0,29.0,31.0,28.0,28.0,24.0,,,,,,12.0,13.0,14.0,15.0,17.0,6.0,7.0,7.0,6.0,5.0,52.0,47.0,48.0,45,45,3.0,,,,,32.0,36.0,38.0,32.0,35.0,74,74,71.0,70.0,71.0,,,,,,1442.94,1442.94,1442.94,1442.67,1442.94,40.11,40.11,40.11,40.11,40.11,-89.38,-89.38,-89.38,-89.38,-89.38,,819.0,969.0,1453.0,1483.0,,,,,,417.0,363.0,366.0,378.0,390.0,12004.0,12450.0,12049.0,13166.0,11710.0,9455.0,9694.0,10278.0,9616.0,9687.0,2779.0,2701.0,2820.0,2964.0,2929.0,9158.0,8907.0,8617.0,7899.0,9688.0,1005.0,740.0,837.0,886.0,846.0,7278.0,6804.0,6434.0,6744.0,7108.0,,,,,,2066.0,5580.0,4589.0,4382.0,5264.0,378.0,450.0,525.0,440.0,517.0,24337.0,26889.0,30604.0,22871,24930,355.0,,,,,6814.0,7456.0,7493.0,6188.0,8716.0,5724,6450,6286.0,6349.0,6521.0,,,,,,0.0,0.0,0.0,0.0,0.0,27,27,27,27,27,0.0,0.0,0.0,0.0,0.0
