target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,27071,Koochiching County,172.0,170.0,153.0,152.0,141.0,,,,,,19.0,19.0,22.0,11.0,12.0,179,159,226,185,162,74,78,70,48,55,67.0,64.0,81.0,70.0,64.0,119,215,171,128,113,24.0,26.0,23.0,32.0,25.0,63,60,58,63,53,,,,,,88.0,100.0,98.0,88.0,98.0,,,18.0,23.0,21.0,730,740,726,735,692,33.0,34.0,29.0,29.0,32.0,473,471,505,482,429,136,135,118,137,126,,,,,,22.0,22.0,21.0,21.0,21.0,,,,,,4.0,4.0,4.0,3.0,3.0,30,31,30,27,31,10,10,9,8,9,6.0,7.0,7.0,7.0,7.0,17,18,18,17,18,10.0,10.0,11.0,10.0,9.0,22,20,21,19,20,,,,,,10.0,11.0,11.0,11.0,11.0,,,3.0,3.0,3.0,50,53,53,53,51,13.0,12.0,11.0,12.0,13.0,41,46,45,38,40,36,36,35,36,36,,,,,,8169.57,8169.97,8169.65,8170.58,8170.96,48.22,48.22,48.22,48.22,48.22,-93.77,-93.77,-93.77,-93.77,-93.77,5759.0,5903.0,5480.0,5435.0,5121.0,,,,,,1933.0,1943.0,1959.0,1169.0,1203.0,10882,13245,15689,14389,15820,2648,2519,2578,2509,2506,1972.0,1800.0,1695.0,1596.0,1593.0,5859,10566,7501,6363,6542,1189.0,1266.0,1390.0,1721.0,1565.0,2262,2080,2091,2157,1903,,,,,,1704.0,2037.0,1918.0,1742.0,1804.0,,,269.0,284.0,265.0,25024,25589,27078,28272,29847,670.0,641.0,592.0,655.0,714.0,8059,8754,8737,7368,8978,1917,1933,1992,1938,2181,,,,,,0.01,0.01,0.01,0.0,0.01,13,13,13,12,12,2.06,1.88,1.82,1.53,1.54
0.0,27093,Meeker County,,,,,,,,,,,,,,,,401,404,455,534,489,179,172,200,205,215,29.0,30.0,30.0,32.0,44.0,193,187,180,192,195,36.0,30.0,22.0,30.0,20.0,103,86,96,102,106,72.0,75.0,77.0,72.0,75.0,169.0,165.0,144.0,232.0,147.0,,,28.0,,21.0,1506,1464,1334,1237,1242,51.0,28.0,34.0,30.0,15.0,443,442,413,391,348,366,301,281,274,382,,,,,,,,,,,,,,,,,,,,,90,86,90,97,99,23,21,19,21,22,6.0,6.0,7.0,6.0,6.0,33,30,31,35,31,17.0,15.0,12.0,12.0,14.0,26,28,26,28,30,3.0,3.0,3.0,3.0,3.0,26.0,26.0,30.0,34.0,39.0,,,3.0,,3.0,59,60,60,58,58,11.0,11.0,11.0,11.0,12.0,42,40,37,34,33,72,72,72,68,72,,,,,,1669.89,1669.83,1669.84,1669.55,1669.3,45.12,45.12,45.12,45.12,45.12,-94.52,-94.52,-94.52,-94.52,-94.52,,,,,,,,,,,,,,,,24790,25997,29589,33059,33422,8263,9224,9912,11479,12755,861.0,950.0,1285.0,841.0,1483.0,10974,10761,11588,12525,13914,1238.0,1371.0,1102.0,1126.0,960.0,4149,4198,4358,4356,5301,6991.0,7380.0,7301.0,7266.0,7328.0,5521.0,5870.0,5956.0,8678.0,6128.0,,,142.0,,187.0,46577,49301,45658,41460,43399,833.0,855.0,827.0,532.0,565.0,5032,5542,5453,4678,6080,5809,5775,5662,5815,12176,,,,,,0.0,0.0,0.0,0.0,0.0,23,23,23,23,23,0.0,0.0,0.0,0.0,0.0
1.0,27097,Morrison County,34.0,33.0,26.0,36.0,31.0,14.0,11.0,13.0,10.0,10.0,0.0,56.0,53.0,51.0,49.0,369,423,303,396,469,226,229,272,249,348,176.0,199.0,229.0,227.0,212.0,252,248,235,251,251,63.0,52.0,71.0,57.0,60.0,158,168,157,174,171,,,,,,162.0,207.0,207.0,209.0,256.0,192.0,177.0,178.0,79.0,71.0,1672,1607,1592,1841,1687,78.0,77.0,84.0,88.0,81.0,993,1028,945,915,889,639,632,612,593,578,,,,,,9.0,8.0,7.0,8.0,8.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,115,123,118,121,130,22,24,23,23,24,11.0,13.0,12.0,12.0,16.0,48,48,48,48,48,15.0,13.0,14.0,14.0,13.0,36,33,33,33,34,,,,,,52.0,57.0,62.0,65.0,69.0,7.0,6.0,6.0,5.0,6.0,83,91,96,95,99,21.0,21.0,22.0,21.0,21.0,93,98,92,93,91,125,124,123,119,128,,,,,,2987.55,2987.6,2987.55,2987.45,2987.62,45.99,45.99,45.99,45.99,45.99,-94.26,-94.26,-94.26,-94.26,-94.26,1335.0,1198.0,931.0,1038.0,1059.0,1257.0,1459.0,1464.0,1489.0,1501.0,0.0,5779.0,5588.0,5325.0,5323.0,28510,24659,22621,25646,39654,10078,11152,11522,11541,17791,12524.0,13122.0,16733.0,15815.0,22665.0,13305,12675,12551,14409,17570,1277.0,1567.0,1708.0,1620.0,1785.0,7959,7439,7498,8253,8139,,,,,,6698.0,9401.0,10590.0,13651.0,13007.0,9279.0,9101.0,12035.0,1799.0,1818.0,58702,59089,61181,73491,72728,1605.0,1681.0,1834.0,1850.0,2006.0,17613,16924,14968,13000,15411,13641,13838,14032,13480,14848,,,,,,0.0,0.0,0.0,0.0,0.0,33,33,33,33,34,0.0,0.0,0.0,0.0,0.0
0.0,27113,Pennington County,32.0,30.0,25.0,5.0,2.0,,,,,,,,,,,130,146,131,137,122,3447,3510,3815,3687,4466,70.0,69.0,68.0,66.0,60.0,150,153,158,164,162,33.0,29.0,29.0,28.0,20.0,350,349,108,84,87,48.0,46.0,30.0,,,80.0,78.0,37.0,32.0,34.0,,,,,,1089,1207,1164,1156,1112,61.0,55.0,63.0,65.0,45.0,903,843,837,772,732,335,329,307,317,305,,,,,,4.0,4.0,5.0,5.0,4.0,,,,,,,,,,,40,38,34,32,31,20,23,20,20,20,5.0,5.0,5.0,4.0,5.0,25,23,22,22,23,13.0,14.0,15.0,13.0,13.0,20,18,18,18,18,3.0,3.0,3.0,,,10.0,11.0,10.0,7.0,9.0,,,,,,43,42,46,45,44,10.0,11.0,11.0,11.0,14.0,31,27,25,26,27,53,50,49,52,52,,,,,,1600.73,1600.83,1600.61,1600.93,1600.75,48.05,48.05,48.05,48.05,48.05,-96.08,-96.08,-96.08,-96.08,-96.08,1351.0,1270.0,1299.0,653.0,262.0,,,,,,,,,,,7407,7781,8007,8809,8529,190276,216014,214899,208040,292557,2860.0,2686.0,2684.0,2848.0,2868.0,9112,9099,8526,9038,11416,1066.0,1154.0,1122.0,1134.0,616.0,20329,20607,4855,4706,4984,8409.0,4192.0,2958.0,,,1378.0,1424.0,1138.0,1018.0,1331.0,,,,,,48561,58954,60747,61506,65323,504.0,589.0,609.0,1217.0,1030.0,14310,14624,14418,13888,13761,5669,5729,6044,5802,6418,,,,,,0.03,0.03,0.03,0.03,0.03,14,14,14,14,14,1.76,1.7,1.76,1.75,1.81
0.0,27131,Rice County,0.0,7.0,,,3.0,,,,,,0.0,39.0,41.0,41.0,44.0,1198,1167,1244,1347,1205,1197,1189,1360,1357,1347,182.0,207.0,198.0,146.0,120.0,454,438,396,401,395,233.0,246.0,242.0,240.0,222.0,524,498,527,489,480,530.0,444.0,476.0,507.0,397.0,511.0,507.0,590.0,625.0,555.0,5324.0,5450.0,5168.0,5099.0,4749.0,3342,3287,3481,3447,3318,345.0,339.0,300.0,311.0,211.0,2076,2087,2095,2036,1864,973,956,935,903,845,10.0,,,,,3.0,3.0,,,3.0,,,,,,3.0,4.0,4.0,4.0,4.0,235,233,233,237,244,64,58,54,51,47,21.0,18.0,17.0,15.0,16.0,71,70,71,72,76,63.0,63.0,60.0,64.0,65.0,127,123,116,125,125,5.0,4.0,4.0,4.0,4.0,82.0,72.0,73.0,76.0,74.0,25.0,25.0,26.0,29.0,29.0,175,176,180,176,180,30.0,29.0,32.0,32.0,29.0,128,127,135,133,138,184,181,178,168,176,4.0,,,,,1336.5,1336.5,1336.49,1336.33,1336.51,44.34,44.34,44.34,44.34,44.34,-93.29,-93.29,-93.29,-93.29,-93.29,0.0,138.0,,,68.0,,,,,,0.0,3726.0,3835.0,4054.0,4207.0,72292,74659,81123,81104,82545,74727,79244,84213,84728,88595,11005.0,11004.0,10972.0,4267.0,5004.0,30061,29574,27971,29554,32764,8083.0,8115.0,8847.0,8937.0,8344.0,27900,27681,28414,29180,29269,35073.0,24331.0,36924.0,31473.0,36296.0,16836.0,16538.0,18223.0,19971.0,21244.0,128872.0,132670.0,137967.0,133585.0,141113.0,114879,119944,126824,126871,136844,5665.0,5596.0,5734.0,4114.0,5177.0,33052,35238,37981,29227,36593,22335,22791,22491,20771,22911,71.0,,,,,0.24,0.2,0.2,0.43,0.41,65,66,66,67,67,2.13,2.05,1.84,2.03,2.21
1.0,27147,Steele County,15.0,43.0,35.0,33.0,32.0,,,,,,,,,,,658,677,656,658,650,706,536,514,429,508,976.0,1009.0,926.0,803.0,786.0,2221,2228,2304,2314,2305,317.0,306.0,282.0,287.0,272.0,215,208,319,303,313,268.0,259.0,242.0,201.0,270.0,548.0,800.0,936.0,896.0,960.0,106.0,96.0,103.0,90.0,73.0,2675,2628,2672,2545,2548,148.0,145.0,135.0,150.0,141.0,1629,1385,1299,1291,1185,832,788,728,738,681,,,,1.0,,4.0,6.0,4.0,4.0,3.0,,,,,,,,,,,96,99,104,105,103,46,43,43,43,43,21.0,22.0,22.0,24.0,25.0,70,71,71,71,69,27.0,28.0,28.0,25.0,25.0,50,52,50,50,48,7.0,7.0,7.0,5.0,5.0,39.0,37.0,37.0,43.0,47.0,8.0,9.0,8.0,8.0,9.0,135,130,137,136,139,20.0,19.0,19.0,18.0,20.0,83,82,82,80,84,123,128,125,123,123,,,,3.0,,1119.67,1119.67,1119.67,1119.71,1119.68,44.01,44.01,44.01,44.01,44.01,-93.22,-93.22,-93.22,-93.22,-93.22,1169.0,2710.0,2198.0,2370.0,2562.0,,,,,,,,,,,35597,36101,36820,39134,38976,35891,28997,27655,26784,24426,41151.0,43984.0,42368.0,37617.0,42705.0,240629,257968,265507,281247,327132,5731.0,5706.0,5385.0,5148.0,5038.0,7144,7879,15500,16794,15829,18983.0,15592.0,17620.0,14130.0,20576.0,10535.0,13319.0,17814.0,18268.0,22807.0,1905.0,1956.0,1939.0,1772.0,1953.0,108979,108305,106540,109576,116382,2726.0,2835.0,3115.0,2477.0,3113.0,21789,20739,20492,16948,19551,19900,19647,19626,18164,19694,,,,20.0,,0.2,0.23,0.16,0.18,0.26,37,37,37,37,37,1.65,1.72,2.03,2.02,1.99
1.0,27167,Wilkin County,40.0,40.0,44.0,42.0,41.0,,,,,,,,,,,74,66,76,69,82,144,143,152,141,126,,,,,,64,64,65,66,70,7.0,10.0,5.0,6.0,6.0,0,446,466,477,465,,,,,,5.0,5.0,,4.0,5.0,,,,,,416,386,372,351,431,,,,,,90,82,84,91,51,79,81,86,83,91,,,,,,5.0,3.0,4.0,4.0,4.0,,,,,,,,,,,18,16,16,17,18,12,12,12,11,10,,,,,,14,15,15,15,15,7.0,7.0,6.0,6.0,5.0,6,5,4,3,3,,,,,,3.0,3.0,,3.0,3.0,,,,,,22,22,20,17,20,,,,,,8,7,8,7,6,18,19,19,18,20,,,,,,1945.49,1945.49,1945.43,1945.61,1945.53,46.33,46.33,46.33,46.33,46.33,-96.46,-96.46,-96.46,-96.46,-96.46,1663.0,1662.0,1697.0,1728.0,1780.0,,,,,,,,,,,3175,3337,3409,4084,4015,9456,10220,10366,9642,11181,,,,,,3396,4002,4073,4934,5061,938.0,201.0,215.0,104.0,66.0,0,12763,14245,14306,17755,,,,,,276.0,269.0,,287.0,326.0,,,,,,17090,17144,17165,17773,19299,,,,,,1090,967,1137,1199,1205,1835,1840,1963,1937,2048,,,,,,0.0,0.0,0.0,0.0,0.0,6,6,6,6,6,0.0,0.0,0.0,0.0,0.0
1.0,27125,Red Lake County,,,,,,,,,,,,,,,,41,57,51,44,33,21,26,22,25,23,,,,,,60,56,45,47,41,,,,,,24,20,21,19,17,,,,,,,,,,33.0,,,,,,99,106,95,134,123,,,,,,62,44,41,45,41,38,38,30,26,27,,,,,,,,,,,,,,,,,,,,,15,14,13,15,14,6,5,5,5,5,,,,,,8,7,5,5,5,,,,,,5,5,5,5,5,,,,,,,,,,3.0,,,,,,5,5,5,5,5,,,,,,11,11,11,12,14,11,11,12,8,9,,,,,,1120.3,1120.3,1120.46,1120.4,1120.29,47.86,47.86,47.86,47.86,47.86,-96.1,-96.1,-96.1,-96.1,-96.1,,,,,,,,,,,,,,,,2234,2022,2029,2080,2032,1166,1238,840,940,1006,,,,,,2635,2539,1263,2233,1959,,,,,,538,543,576,598,593,,,,,,,,,,359.0,,,,,,2173,2356,2560,2732,2837,,,,,,573,512,572,455,623,428,331,306,191,236,,,,,,0.0,0.0,0.0,0.0,0.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
1.0,27001,Aitkin County,16.0,16.0,19.0,22.0,22.0,,,,,,,,,,,157,153,178,176,186,162,164,173,153,139,22.0,11.0,8.0,9.0,56.0,93,93,95,96,88,5.0,8.0,13.0,15.0,9.0,41,37,33,32,37,,,,,,60.0,55.0,57.0,57.0,56.0,,,,,,926,962,908,987,948,25.0,21.0,25.0,24.0,24.0,478,476,523,471,477,189,187,187,166,164,,,,,1.0,5.0,5.0,6.0,6.0,6.0,,,,,,,,,,,60,61,61,62,67,13,12,12,11,11,6.0,5.0,5.0,6.0,6.0,21,18,18,19,18,10.0,11.0,10.0,15.0,12.0,15,15,15,16,17,,,,,,21.0,20.0,23.0,23.0,21.0,,,,,,36,39,40,39,42,10.0,11.0,9.0,9.0,9.0,53,53,51,49,52,43,43,41,44,43,,,,,3.0,5168.11,5168.02,5168.11,5168.07,5166.67,46.57,46.57,46.57,46.57,46.57,-93.38,-93.38,-93.38,-93.38,-93.38,688.0,640.0,759.0,922.0,1136.0,,,,,,,,,,,7922,9014,9594,10064,11261,6022,6980,7775,6225,7290,544.0,376.0,393.0,332.0,8033.0,3561,3680,3665,4308,4458,398.0,510.0,589.0,719.0,741.0,1434,1354,1418,1473,1491,,,,,,2797.0,2619.0,2609.0,2782.0,3134.0,,,,,,37240,38317,40069,43530,45895,650.0,822.0,803.0,693.0,905.0,7939,8263,9224,6857,10644,3116,3307,3364,3230,3588,,,,,87.0,0.0,0.0,0.0,0.0,0.0,16,16,16,16,16,0.0,0.0,0.0,0.0,0.0
1.0,27027,Clay County,26.0,20.0,20.0,15.0,11.0,,,23.0,37.0,48.0,,,,,,918,929,937,976,1049,1130,1119,1177,1144,1157,99.0,104.0,101.0,97.0,84.0,438,475,498,524,506,168.0,174.0,152.0,173.0,169.0,600,515,659,636,652,199.0,156.0,165.0,191.0,202.0,449.0,632.0,502.0,456.0,479.0,0.0,2173.0,2182.0,2046.0,1559.0,4535,4484,4551,4424,4243,164.0,159.0,158.0,130.0,158.0,1799,1843,1924,1789,1574,936,917,918,933,874,,,,7.0,,8.0,5.0,7.0,8.0,8.0,,,6.0,6.0,7.0,,,,,,194,201,205,206,206,73,70,73,67,66,13.0,15.0,15.0,14.0,13.0,93,91,95,91,85,45.0,47.0,44.0,44.0,55.0,97,95,90,87,83,7.0,7.0,6.0,8.0,7.0,55.0,54.0,57.0,55.0,56.0,8.0,8.0,8.0,9.0,8.0,182,183,186,168,175,25.0,27.0,26.0,29.0,33.0,100,101,98,97,100,163,169,168,163,161,,,,3.0,,2726.59,2726.57,2726.62,2726.55,2726.7,33.69,33.69,33.69,33.69,33.69,-98.21,-98.21,-98.21,-98.21,-98.21,868.0,821.0,917.0,884.0,879.0,,,1910.0,1590.0,2281.0,,,,,,55480,58803,62636,70103,76860,62895,66729,71053,70875,74244,4621.0,4596.0,4862.0,4882.0,4630.0,23033,25163,25947,31263,29931,4591.0,4834.0,4601.0,5867.0,6418.0,26930,27265,31098,32297,36304,21705.0,19185.0,19665.0,21495.0,23498.0,21668.0,23360.0,23344.0,26348.0,26011.0,0.0,42502.0,43489.0,38740.0,39591.0,142833,151408,162761,143636,152315,3110.0,3146.0,3155.0,3014.0,3963.0,27512,27236,27545,24503,27385,22504,22767,23672,23949,26937,,,,68.0,,0.34,0.34,0.34,0.4,0.35,62,63,63,64,65,2.18,2.19,2.11,2.17,2.21
