target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,30017,Custer County,3.0,10.0,3.0,,,,12.0,11.0,13.0,11.0,,,,,,223.0,293.0,183.0,241.0,259.0,198.0,190.0,183.0,166.0,149.0,102.0,98.0,94.0,93.0,79.0,282.0,281.0,290.0,288.0,284.0,42.0,34.0,38.0,40.0,33.0,95.0,117.0,97.0,92.0,85.0,,,,,,177.0,136.0,133.0,159.0,148.0,,,,,,920.0,800.0,796.0,761.0,738.0,129.0,113.0,122.0,124.0,120.0,587.0,562.0,549.0,582.0,661.0,172.0,169.0,177.0,192.0,192.0,,,,,,3.0,5.0,3.0,,,,3.0,3.0,4.0,3.0,,,,,,47.0,52.0,46.0,43.0,47.0,23.0,22.0,21.0,20.0,21.0,8.0,8.0,8.0,8.0,8.0,27.0,27.0,28.0,27.0,30.0,17.0,16.0,16.0,17.0,16.0,33.0,38.0,35.0,30.0,28.0,,,,,,15.0,13.0,15.0,18.0,18.0,,,,,,49.0,46.0,48.0,52.0,56.0,19.0,20.0,20.0,20.0,19.0,40.0,42.0,43.0,43.0,46.0,28.0,27.0,30.0,28.0,30.0,,,,,,9823.85,9824.03,9824.35,9824.33,9824.03,38.11,38.11,38.11,38.11,38.11,-105.35,-105.35,-105.35,-105.35,-105.35,146.0,193.0,144.0,,,,590.0,627.0,722.0,779.0,,,,,,13998.0,13324.0,14787.0,15297.0,14704.0,7522.0,6808.0,6790.0,6849.0,5550.0,3121.0,2941.0,2967.0,3056.0,2921.0,16740.0,17339.0,18150.0,19272.0,19709.0,980.0,1014.0,1059.0,1061.0,1496.0,2940.0,3428.0,4766.0,3597.0,3551.0,,,,,,4480.0,4856.0,4856.0,4880.0,5139.0,,,,,,33880.0,29484.0,35809.0,35802.0,39506.0,1785.0,2071.0,2220.0,1892.0,2119.0,9385.0,9877.0,10007.0,9500.0,12494.0,4768.0,5372.0,5541.0,5479.0,5679.0,,,,,,0.02,0.01,0.02,0.02,0.02,12,12,12,12,12,1.84,2.0,1.84,1.93,1.95
1.0,30041,Hill County,,3.0,,,2.0,3.0,3.0,4.0,,4.0,0.0,210.0,202.0,192.0,188.0,277.0,257.0,256.0,246.0,264.0,259.0,259.0,227.0,233.0,227.0,275.0,107.0,75.0,77.0,206.0,198.0,224.0,221.0,244.0,232.0,88.0,79.0,77.0,74.0,66.0,162.0,154.0,141.0,137.0,126.0,,,,,,72.0,70.0,66.0,68.0,69.0,159.0,146.0,155.0,145.0,166.0,1496.0,1364.0,1338.0,1309.0,1317.0,81.0,73.0,83.0,70.0,79.0,818.0,725.0,716.0,694.0,692.0,204.0,193.0,187.0,185.0,194.0,,,,,,,3.0,,,3.0,4.0,3.0,3.0,,3.0,6.0,6.0,6.0,6.0,7.0,64.0,62.0,63.0,59.0,64.0,28.0,25.0,26.0,26.0,26.0,11.0,9.0,7.0,7.0,9.0,35.0,40.0,43.0,40.0,38.0,27.0,27.0,25.0,27.0,22.0,25.0,25.0,25.0,24.0,21.0,,,,,,22.0,22.0,20.0,19.0,16.0,3.0,3.0,4.0,4.0,4.0,56.0,57.0,57.0,56.0,59.0,21.0,24.0,23.0,20.0,21.0,53.0,56.0,55.0,52.0,50.0,51.0,51.0,48.0,44.0,43.0,,,,,,7553.64,7553.64,7554.14,7554.25,7553.64,31.96,31.96,31.96,31.96,31.96,-97.09,-97.09,-97.09,-97.09,-97.09,,134.0,,,117.0,114.0,94.0,93.0,,95.0,0.0,15524.0,15611.0,15900.0,15570.0,13267.0,13331.0,13687.0,15177.0,16656.0,12571.0,12859.0,11425.0,11770.0,12001.0,13797.0,2603.0,2124.0,2107.0,10890.0,10340.0,11438.0,12825.0,14378.0,14655.0,1931.0,1924.0,1723.0,2050.0,2029.0,7187.0,6611.0,6417.0,6444.0,6509.0,,,,,,2160.0,2161.0,2138.0,2275.0,2440.0,4936.0,5102.0,5603.0,5987.0,7013.0,54109.0,50820.0,53224.0,55861.0,55954.0,1032.0,1422.0,1456.0,1374.0,1608.0,13904.0,11198.0,10890.0,10116.0,12003.0,4614.0,4551.0,4506.0,4577.0,4878.0,,,,,,0.02,0.01,0.01,0.01,0.01,16,16,16,16,16,2.24,2.28,2.64,2.7,2.78
1.0,30015,Chouteau County,27.0,28.0,25.0,29.0,21.0,,,,,,,,,,,27.0,24.0,17.0,19.0,20.0,105.0,100.0,102.0,93.0,89.0,0.0,,,3.0,4.0,36.0,54.0,55.0,56.0,43.0,3.0,3.0,6.0,1.0,11.0,12.0,7.0,11.0,11.0,12.0,,,,,,,,3.0,,,,,,,,229.0,208.0,223.0,196.0,191.0,11.0,8.0,9.0,14.0,15.0,79.0,89.0,89.0,88.0,68.0,28.0,27.0,34.0,21.0,20.0,,,,,,8.0,7.0,8.0,7.0,7.0,,,,,,,,,,,11.0,14.0,11.0,10.0,11.0,16.0,15.0,14.0,14.0,13.0,3.0,,,3.0,3.0,15.0,16.0,17.0,17.0,14.0,5.0,5.0,4.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,3.0,,,,,,,,10.0,9.0,10.0,10.0,11.0,8.0,8.0,7.0,7.0,7.0,15.0,16.0,16.0,14.0,17.0,14.0,13.0,15.0,9.0,11.0,,,,,,10351.65,10351.64,10352.03,10350.67,10351.79,47.88,47.88,47.88,47.88,47.88,-110.37,-110.37,-110.37,-110.37,-110.37,2685.0,2450.0,1955.0,2501.0,2595.0,,,,,,,,,,,897.0,761.0,687.0,695.0,848.0,5593.0,4903.0,4666.0,4896.0,5152.0,0.0,,,90.0,80.0,1616.0,2284.0,2385.0,2612.0,2397.0,82.0,212.0,149.0,153.0,282.0,308.0,294.0,282.0,314.0,302.0,,,,,,,,60.0,,,,,,,,6015.0,6013.0,6139.0,6219.0,6757.0,275.0,300.0,320.0,342.0,385.0,1130.0,1225.0,1261.0,982.0,1173.0,316.0,340.0,328.0,243.0,278.0,,,,,,0.0,0.0,0.0,0.0,0.0,6,6,6,6,6,0.0,0.0,0.0,0.0,0.0
1.0,30075,Powder River County,,,,,,,,,,25.0,,,,,,35.0,34.0,25.0,33.0,27.0,0.0,28.0,,,,,,,,,,,,,,,,,,,14.0,16.0,14.0,12.0,20.0,,,,,,,,,,,,,,,,,,,6.0,9.0,5.0,4.0,5.0,5.0,6.0,43.0,36.0,35.0,38.0,39.0,33.0,27.0,22.0,23.0,25.0,,,,,,,,,,,,,,,3.0,,,,,,19.0,18.0,20.0,17.0,16.0,4.0,3.0,,,,,,,,,,,,,,,,,,,5.0,6.0,5.0,7.0,8.0,,,,,,,,,,,,,,,,,,,3.0,4.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,,,,,,8541.74,8543.93,8543.93,8543.59,8543.93,45.37,45.37,45.37,45.37,45.37,-105.6,-105.6,-105.6,-105.6,-105.6,,,,,,,,,,2696.0,,,,,,695.0,679.0,821.0,815.0,756.0,0.0,529.0,,,,,,,,,,,,,,,,,,,775.0,758.0,680.0,743.0,844.0,,,,,,,,,,,,,,,,,,,95.0,154.0,234.0,212.0,403.0,379.0,373.0,513.0,454.0,475.0,428.0,524.0,1063.0,680.0,624.0,538.0,611.0,,,,,,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0
1.0,30053,Lincoln County,119.0,123.0,124.0,87.0,104.0,14.0,9.0,7.0,7.0,,,,,,,223.0,282.0,275.0,307.0,336.0,27.0,29.0,39.0,40.0,32.0,114.0,99.0,99.0,97.0,110.0,148.0,128.0,126.0,125.0,128.0,48.0,48.0,52.0,51.0,52.0,89.0,88.0,89.0,82.0,69.0,,,,,,64.0,63.0,80.0,78.0,91.0,62.0,73.0,75.0,75.0,73.0,1215.0,1035.0,1035.0,1009.0,1023.0,136.0,124.0,133.0,114.0,113.0,582.0,560.0,513.0,499.0,538.0,187.0,181.0,191.0,185.0,176.0,,,,,,37.0,35.0,36.0,35.0,34.0,4.0,3.0,4.0,3.0,,,,,,,88.0,91.0,92.0,103.0,116.0,11.0,12.0,13.0,14.0,13.0,19.0,19.0,19.0,20.0,23.0,22.0,21.0,21.0,20.0,20.0,24.0,23.0,24.0,26.0,30.0,37.0,38.0,36.0,32.0,35.0,,,,,,28.0,30.0,33.0,33.0,33.0,7.0,7.0,7.0,7.0,6.0,56.0,54.0,55.0,56.0,58.0,18.0,16.0,18.0,20.0,19.0,68.0,72.0,64.0,63.0,70.0,55.0,56.0,54.0,54.0,54.0,,,,,,9520.36,9519.4,9519.36,9519.05,9519.28,35.49,35.49,35.49,35.49,35.49,-81.21,-81.21,-81.21,-81.21,-81.21,5055.0,6192.0,5684.0,5373.0,6404.0,883.0,761.0,486.0,281.0,,,,,,,10743.0,12375.0,14357.0,14558.0,18303.0,921.0,1048.0,1348.0,1104.0,893.0,5138.0,4468.0,4296.0,4899.0,5214.0,5681.0,5307.0,5497.0,5629.0,6102.0,1043.0,1224.0,1226.0,1645.0,1616.0,2862.0,2660.0,2425.0,2484.0,2496.0,,,,,,2388.0,3759.0,2821.0,3107.0,2871.0,2326.0,2522.0,2796.0,3008.0,3338.0,36730.0,33679.0,34054.0,35717.0,39739.0,2069.0,2426.0,2635.0,2441.0,2520.0,10216.0,9135.0,8638.0,7358.0,9896.0,3600.0,3744.0,3559.0,3382.0,3926.0,,,,,,0.01,0.01,0.01,0.01,0.0,19,19,20,20,20,1.64,1.67,1.75,1.74,0.0
1.0,30067,Park County,23.0,21.0,23.0,19.0,14.0,,,,,,34.0,30.0,30.0,28.0,32.0,322.0,361.0,360.0,396.0,462.0,60.0,55.0,66.0,77.0,76.0,77.0,78.0,122.0,84.0,78.0,153.0,159.0,164.0,155.0,167.0,39.0,52.0,43.0,36.0,43.0,159.0,172.0,193.0,191.0,206.0,10.0,14.0,13.0,12.0,11.0,42.0,113.0,91.0,116.0,88.0,44.0,37.0,42.0,30.0,31.0,868.0,935.0,858.0,874.0,895.0,122.0,131.0,122.0,173.0,172.0,1242.0,1234.0,1200.0,1190.0,1028.0,369.0,383.0,458.0,402.0,388.0,,1.0,,3.0,,13.0,12.0,11.0,10.0,10.0,,,,,,5.0,5.0,5.0,5.0,5.0,119.0,122.0,128.0,135.0,136.0,16.0,19.0,17.0,18.0,16.0,17.0,15.0,14.0,15.0,17.0,26.0,26.0,26.0,26.0,25.0,37.0,48.0,52.0,54.0,59.0,74.0,77.0,81.0,82.0,82.0,3.0,4.0,3.0,3.0,3.0,32.0,34.0,41.0,47.0,53.0,10.0,10.0,11.0,13.0,11.0,60.0,60.0,58.0,54.0,62.0,53.0,56.0,58.0,55.0,61.0,123.0,131.0,136.0,135.0,154.0,69.0,70.0,67.0,69.0,68.0,,3.0,,3.0,,7285.26,7285.78,7286.28,7286.36,7286.51,39.11,39.11,39.11,39.11,39.11,-105.76,-105.76,-105.76,-105.76,-105.76,1259.0,1237.0,921.0,982.0,870.0,,,,,,2452.0,2391.0,2549.0,2792.0,3006.0,13608.0,15945.0,16974.0,19762.0,23942.0,2764.0,2753.0,3255.0,3821.0,5084.0,2447.0,2517.0,2750.0,2913.0,2818.0,8566.0,9431.0,9503.0,10541.0,12052.0,1471.0,1777.0,2030.0,2016.0,3191.0,7059.0,7197.0,9623.0,9824.0,10996.0,589.0,1488.0,1408.0,1368.0,1456.0,1589.0,5653.0,4463.0,4871.0,5402.0,1356.0,1503.0,1520.0,820.0,994.0,40004.0,38832.0,39713.0,42499.0,46313.0,3886.0,4322.0,5225.0,4785.0,6670.0,31787.0,30409.0,32634.0,26963.0,34527.0,9736.0,10424.0,11020.0,10601.0,11624.0,,39.0,,84.0,,0.01,0.01,0.01,0.01,0.01,16,16,16,17,17,1.98,1.97,2.06,1.95,1.76
1.0,30085,Roosevelt County,,,,,,16.0,10.0,16.0,53.0,51.0,0.0,17.0,36.0,34.0,36.0,32.0,37.0,32.0,39.0,29.0,108.0,79.0,86.0,94.0,85.0,45.0,44.0,51.0,51.0,33.0,80.0,85.0,88.0,83.0,85.0,12.0,16.0,16.0,20.0,23.0,25.0,27.0,23.0,19.0,16.0,,,,,,37.0,35.0,36.0,28.0,39.0,,,,,,0.0,472.0,393.0,411.0,419.0,63.0,75.0,63.0,70.0,73.0,210.0,204.0,201.0,221.0,239.0,87.0,81.0,79.0,80.0,67.0,,,,,,,,,,,7.0,8.0,9.0,9.0,8.0,4.0,5.0,5.0,5.0,5.0,18.0,16.0,15.0,16.0,15.0,14.0,13.0,13.0,13.0,15.0,6.0,5.0,6.0,6.0,5.0,15.0,15.0,15.0,15.0,14.0,5.0,5.0,7.0,9.0,9.0,12.0,12.0,11.0,8.0,8.0,,,,,,8.0,7.0,7.0,9.0,9.0,,,,,,13.0,15.0,13.0,12.0,12.0,8.0,8.0,9.0,9.0,10.0,27.0,25.0,26.0,28.0,27.0,20.0,16.0,21.0,20.0,18.0,,,,,,6136.67,6137.18,6137.22,6137.01,6137.2,48.31,48.31,48.31,48.31,48.31,-104.97,-104.97,-104.97,-104.97,-104.97,,,,,,947.0,1017.0,1262.0,3698.0,3654.0,0.0,1860.0,2495.0,2532.0,2557.0,1125.0,1209.0,1348.0,1761.0,1691.0,6243.0,4928.0,4721.0,6010.0,6407.0,815.0,1109.0,1315.0,934.0,754.0,2689.0,3177.0,3690.0,3381.0,3611.0,448.0,742.0,959.0,500.0,523.0,622.0,832.0,805.0,633.0,573.0,,,,,,842.0,820.0,844.0,879.0,1241.0,,,,,,0.0,19951.0,19521.0,20568.0,20103.0,1429.0,1576.0,1649.0,1617.0,1818.0,3065.0,3223.0,3201.0,3448.0,3183.0,1360.0,1297.0,1730.0,1775.0,1797.0,,,,,,0.01,0.01,0.01,0.01,0.01,11,11,11,11,11,2.03,2.49,2.55,2.76,2.8
1.0,30005,Blaine County,,,,,,,,,,,,,,,,23.0,35.0,26.0,29.0,33.0,49.0,36.0,59.0,55.0,50.0,,,,,,36.0,40.0,40.0,42.0,47.0,,,,,,29.0,37.0,36.0,32.0,31.0,,,,,,0.0,134.0,179.0,116.0,122.0,,,,,,271.0,274.0,250.0,250.0,231.0,28.0,27.0,30.0,30.0,28.0,37.0,44.0,33.0,32.0,30.0,68.0,59.0,50.0,37.0,52.0,,,,,,,,,,,,,,,,,,,,,12.0,11.0,11.0,14.0,15.0,11.0,11.0,12.0,11.0,11.0,,,,,,9.0,7.0,7.0,7.0,7.0,,,,,,13.0,11.0,11.0,10.0,10.0,,,,,,3.0,3.0,3.0,3.0,3.0,,,,,,16.0,16.0,14.0,15.0,15.0,6.0,6.0,6.0,5.0,5.0,10.0,10.0,8.0,9.0,8.0,16.0,17.0,14.0,15.0,16.0,,,,,,10978.18,10978.18,10977.32,10978.2,10978.16,41.92,41.92,41.92,41.92,41.92,-99.98,-99.98,-99.98,-99.98,-99.98,,,,,,,,,,,,,,,,1101.0,1129.0,1097.0,1120.0,1351.0,1932.0,2009.0,2441.0,2533.0,2817.0,,,,,,1841.0,1940.0,2132.0,2263.0,2372.0,,,,,,2000.0,1932.0,2234.0,2413.0,2585.0,,,,,,0.0,4975.0,8034.0,5955.0,7389.0,,,,,,19075.0,19651.0,19330.0,19858.0,20201.0,653.0,768.0,797.0,570.0,838.0,434.0,428.0,388.0,401.0,409.0,1275.0,1086.0,861.0,890.0,1097.0,,,,,,0.0,0.0,0.0,0.0,0.0,7,7,7,7,7,0.0,0.0,0.0,0.0,0.0
1.0,30051,Liberty County,21.0,27.0,30.0,4.0,,,,,,,,,,,,9.0,14.0,12.0,9.0,12.0,51.0,33.0,34.0,38.0,38.0,,,,,,13.0,20.0,15.0,16.0,15.0,0.0,10.0,9.0,2.0,,8.0,12.0,9.0,6.0,4.0,,,,,,,,,3.0,,,,,,,0.0,122.0,121.0,108.0,110.0,6.0,6.0,5.0,6.0,5.0,35.0,39.0,33.0,24.0,24.0,20.0,19.0,21.0,19.0,18.0,,,,,,3.0,3.0,4.0,3.0,,,,,,,,,,,,6.0,6.0,5.0,6.0,8.0,9.0,8.0,7.0,8.0,8.0,,,,,,5.0,6.0,5.0,6.0,6.0,3.0,3.0,3.0,3.0,,4.0,4.0,4.0,4.0,4.0,,,,,,,,,3.0,,,,,,,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,7.0,7.0,7.0,8.0,,,,,,3747.57,3747.57,3747.57,3747.86,3747.57,30.09,30.09,30.09,30.09,30.09,-94.79,-94.79,-94.79,-94.79,-94.79,1060.0,1136.0,900.0,82.0,,,,,,,,,,,,273.0,257.0,265.0,350.0,367.0,1844.0,1580.0,1577.0,1894.0,1959.0,,,,,,531.0,767.0,860.0,682.0,691.0,0.0,147.0,143.0,86.0,,184.0,296.0,261.0,67.0,49.0,,,,,,,,,143.0,,,,,,,0.0,3570.0,3745.0,3998.0,4568.0,41.0,41.0,46.0,28.0,35.0,270.0,267.0,235.0,199.0,248.0,214.0,218.0,226.0,243.0,261.0,,,,,,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0
0.0,30097,Sweet Grass County,,,,9.0,9.0,,,,,,,,,,,96.0,90.0,98.0,88.0,98.0,2.0,6.0,5.0,,,13.0,16.0,13.0,7.0,10.0,38.0,40.0,38.0,37.0,41.0,8.0,7.0,9.0,5.0,5.0,27.0,27.0,23.0,18.0,24.0,,,,,,12.0,6.0,10.0,7.0,7.0,,,,,,117.0,109.0,109.0,116.0,121.0,17.0,18.0,20.0,25.0,28.0,155.0,169.0,148.0,145.0,175.0,33.0,42.0,50.0,49.0,44.0,,,,,,,,,3.0,3.0,,,,,,,,,,,34.0,36.0,40.0,37.0,37.0,3.0,3.0,3.0,,,4.0,4.0,3.0,3.0,3.0,7.0,6.0,6.0,6.0,6.0,8.0,8.0,9.0,10.0,9.0,14.0,13.0,12.0,12.0,12.0,,,,,,7.0,6.0,8.0,7.0,6.0,,,,,,7.0,7.0,7.0,7.0,9.0,8.0,8.0,8.0,9.0,9.0,21.0,21.0,19.0,20.0,22.0,16.0,18.0,17.0,20.0,18.0,,,,,,4824.13,4824.13,4824.14,4823.77,4823.66,45.87,45.87,45.87,45.87,45.87,-109.95,-109.95,-109.95,-109.95,-109.95,,,,257.0,302.0,,,,,,,,,,,3484.0,3460.0,3303.0,3452.0,4236.0,183.0,192.0,146.0,,,222.0,213.0,222.0,168.0,254.0,1472.0,1552.0,1640.0,1839.0,1879.0,295.0,286.0,335.0,389.0,780.0,782.0,793.0,780.0,817.0,875.0,,,,,,193.0,208.0,215.0,293.0,237.0,,,,,,2976.0,3041.0,3546.0,3674.0,3929.0,346.0,432.0,485.0,467.0,590.0,2662.0,3027.0,3048.0,3029.0,3553.0,825.0,960.0,1018.0,1088.0,1178.0,,,,,,0.0,0.0,0.0,0.0,0.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
