target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,37079,Greene County,,,,14.0,14.0,,,,,,,,,,,244,253,238,222,211,34.0,46.0,37.0,46.0,36.0,,,,,,44,54,52,44,35,9.0,9.0,6.0,8.0,9.0,51.0,44.0,50.0,47.0,48.0,,,,,,82.0,83.0,120.0,143.0,105.0,,,,,,598,564,567,502,533,,,,44.0,39.0,243,264,274,312,283,118,98,111,136,150,,,,,,,,,3.0,3.0,,,,,,,,,,,34,34,33,34,39,6.0,6.0,6.0,6.0,6.0,,,,,,11,13,13,12,12,7.0,5.0,5.0,5.0,5.0,8.0,9.0,9.0,9.0,9.0,,,,,,17.0,16.0,19.0,18.0,23.0,,,,,,38,38,45,41,45,,,,4.0,4.0,19,16,18,18,17,38,34,36,37,40,,,,,,692.06,692.03,692.05,692.06,692.05,39.36,39.36,39.36,39.36,39.36,-90.39,-90.39,-90.39,-90.39,-90.39,,,,782.0,679.0,,,,,,,,,,,9717,10633,10220,9388,10596,1268.0,1361.0,1159.0,1348.0,1403.0,,,,,,2278,2739,2282,1923,2720,329.0,141.0,150.0,161.0,187.0,2232.0,2087.0,2470.0,3009.0,3093.0,,,,,,3064.0,3335.0,4227.0,4906.0,5123.0,,,,,,17167,16648,16932,16228,18159,,,,580.0,659.0,3201,3170,3465,3395,4118,2693,2189,2732,3650,4211,,,,,,0.04,0.04,0.04,0.0,0.0,21.0,21,21,21,21,3.88,3.9,3.87,0.0,0.0
1.0,37121,Mitchell County,4.0,4.0,7.0,6.0,,0.0,225.0,701.0,690.0,659.0,25.0,16.0,17.0,17.0,16.0,246,262,263,293,230,23.0,20.0,27.0,29.0,35.0,17.0,19.0,21.0,19.0,22.0,85,85,95,93,92,78.0,81.0,84.0,86.0,78.0,63.0,71.0,66.0,64.0,66.0,37.0,19.0,18.0,16.0,15.0,61.0,66.0,33.0,34.0,46.0,0.0,112.0,94.0,,,818,789,889,769,972,,,,5.0,8.0,474,369,396,372,347,165,194,179,181,177,,,,,,3.0,3.0,3.0,4.0,,5.0,6.0,10.0,9.0,9.0,5.0,3.0,3.0,3.0,3.0,44,41,39,41,38,9.0,10.0,11.0,10.0,11.0,6.0,6.0,6.0,6.0,6.0,21,20,21,21,21,14.0,15.0,14.0,14.0,14.0,17.0,17.0,19.0,22.0,20.0,3.0,3.0,3.0,3.0,3.0,15.0,11.0,11.0,8.0,11.0,4.0,4.0,4.0,,,39,38,41,51,57,,,,4.0,5.0,38,36,31,31,33,58,56,55,51,56,,,,,,574.78,574.78,574.78,574.92,574.79,32.29,32.29,32.29,32.29,32.29,-100.92,-100.92,-100.92,-100.92,-100.92,87.0,89.0,138.0,141.0,,0.0,32734.0,55519.0,55962.0,51801.0,1879.0,1498.0,1549.0,1563.0,1552.0,9916,10280,11109,9960,10427,1019.0,1125.0,1385.0,1672.0,1768.0,673.0,911.0,784.0,749.0,833.0,4115,4251,4244,4447,4494,2001.0,2149.0,2198.0,2312.0,1962.0,1941.0,2056.0,2226.0,2368.0,2606.0,853.0,704.0,723.0,655.0,686.0,1890.0,1216.0,1138.0,1201.0,1672.0,0.0,2777.0,3133.0,,,29056,30240,29309,34397,36543,,,,210.0,277.0,7457,6529,6894,6181,7506,3050,3350,3463,3286,3848,,,,,,0.0,0.0,0.0,0.0,0.0,15.0,15,15,15,15,0.0,0.0,0.0,0.0,0.0
1.0,37041,Chowan County,66.0,64.0,65.0,60.0,55.0,,,,,,,,,,,175,151,169,168,146,203.0,223.0,190.0,143.0,134.0,65.0,67.0,69.0,64.0,64.0,99,88,78,80,98,30.0,38.0,32.0,35.0,26.0,135.0,136.0,133.0,136.0,150.0,,,,,,61.0,54.0,51.0,55.0,56.0,,,,,,1001,1181,1043,976,1083,19.0,22.0,14.0,10.0,17.0,424,389,382,410,401,196,208,227,208,185,,5.0,,1.0,,9.0,9.0,9.0,7.0,7.0,,,,,,,,,,,35,31,37,36,33,19.0,19.0,20.0,18.0,19.0,9.0,9.0,9.0,9.0,10.0,18,18,17,19,20,12.0,12.0,13.0,14.0,12.0,19.0,22.0,21.0,22.0,25.0,,,,,,10.0,10.0,11.0,10.0,10.0,,,,,,57,66,65,66,62,5.0,6.0,6.0,5.0,4.0,28,27,30,28,30,36,37,34,34,35,,3.0,,3.0,,458.06,458.06,458.05,458.02,458.03,36.08,36.08,36.08,36.08,36.08,-76.63,-76.63,-76.63,-76.63,-76.63,3196.0,3037.0,3075.0,2595.0,2536.0,,,,,,,,,,,6191,6528,6550,6154,6195,9348.0,9476.0,9710.0,7328.0,7476.0,2805.0,2706.0,2776.0,2711.0,2966.0,6610,5537,5552,5693,6760,812.0,769.0,787.0,985.0,774.0,7379.0,8576.0,8347.0,8926.0,9957.0,,,,,,2028.0,2211.0,2165.0,2310.0,2445.0,,,,,,40934,44023,42763,43219,43896,305.0,324.0,227.0,233.0,320.0,5176,5231,5060,5651,6926,4115,4237,4312,4204,4227,,49.0,,9.0,,0.0,0.0,0.0,0.0,0.0,14.0,14,14,14,14,0.0,0.0,0.0,0.0,0.0
1.0,37005,Alleghany County,,,7.0,,,,,,,,,,,,,152,129,139,154,146,6.0,4.0,10.0,10.0,5.0,23.0,25.0,25.0,21.0,18.0,68,80,83,73,74,14.0,15.0,19.0,17.0,19.0,45.0,66.0,54.0,48.0,45.0,0.0,10.0,,,,43.0,29.0,30.0,28.0,37.0,,,,,,415,377,379,343,335,109.0,116.0,119.0,85.0,89.0,242,290,258,253,221,99,78,77,79,80,,,,,1.0,,,3.0,,,,,,,,,,,,,45,44,47,44,48,3.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,13,13,13,14,12,8.0,9.0,11.0,12.0,13.0,18.0,16.0,14.0,13.0,15.0,3.0,3.0,,,,8.0,10.0,7.0,9.0,10.0,,,,,,27,27,27,25,27,9.0,9.0,9.0,7.0,7.0,25,28,27,28,27,23,23,23,24,28,,,,,3.0,610.92,610.89,610.9,611.97,611.97,36.5,36.5,36.5,36.5,36.5,-81.13,-81.13,-81.13,-81.13,-81.13,,,225.0,,,,,,,,,,,,,3806,4012,3967,4285,4357,431.0,337.0,206.0,429.0,360.0,734.0,723.0,710.0,733.0,759.0,3320,4478,3617,3853,3925,372.0,359.0,413.0,424.0,557.0,1458.0,1785.0,1739.0,1722.0,1903.0,0.0,637.0,,,,658.0,602.0,538.0,654.0,914.0,,,,,,12365,11617,11901,11315,11992,4283.0,4544.0,4508.0,4547.0,5122.0,4318,4323,4533,3826,4466,1763,1658,1680,1607,1871,,,,,56.0,0.0,0.0,0.0,0.0,0.0,11.0,11,11,11,11,0.0,0.0,0.0,0.0,0.0
0.0,37027,Caldwell County,,,,,,18.0,17.0,16.0,17.0,15.0,0.0,118.0,121.0,127.0,122.0,742,754,754,724,718,2149.0,1857.0,2127.0,2177.0,2252.0,113.0,195.0,203.0,226.0,211.0,352,359,348,351,354,128.0,130.0,121.0,112.0,110.0,376.0,368.0,421.0,372.0,384.0,187.0,231.0,194.0,186.0,191.0,647.0,830.0,812.0,814.0,878.0,42.0,41.0,57.0,61.0,52.0,3277,3394,3357,3397,4770,158.0,169.0,166.0,161.0,192.0,2198,2022,1987,2001,1905,953,1781,907,918,854,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,118,123,125,124,117,72.0,68.0,63.0,61.0,54.0,17.0,18.0,19.0,20.0,20.0,77,74,74,72,72,54.0,54.0,55.0,55.0,54.0,83.0,81.0,78.0,83.0,87.0,12.0,11.0,9.0,7.0,8.0,50.0,58.0,59.0,66.0,69.0,8.0,7.0,8.0,9.0,9.0,131,133,133,130,136,21.0,22.0,23.0,22.0,21.0,120,122,120,120,123,181,182,186,188,184,,,,,,1229.12,1229.1,1229.12,1229.22,1229.14,29.83,29.83,29.83,29.83,29.83,-97.6,-97.6,-97.6,-97.6,-97.6,,,,,,923.0,919.0,980.0,928.0,798.0,0.0,11436.0,11787.0,13061.0,13043.0,28550,30398,31340,28084,30922,109610.0,98264.0,106812.0,124691.0,131576.0,5237.0,23120.0,23923.0,26838.0,33927.0,18801,17678,18133,19572,21249,3633.0,3913.0,3766.0,3840.0,4119.0,14216.0,15901.0,17388.0,16711.0,19966.0,7947.0,12792.0,14545.0,10463.0,12439.0,18486.0,24379.0,27845.0,25844.0,27240.0,586.0,617.0,666.0,721.0,896.0,109687,116346,125140,129094,232137,2467.0,2746.0,2822.0,2594.0,5797.0,27090,27878,27822,26890,29862,22226,35218,23550,23722,29894,,,,,,0.0,0.04,0.04,0.04,0.04,82.0,82,82,82,81,0.0,2.09,1.63,1.65,1.64
1.0,37035,Catawba County,10.0,11.0,15.0,9.0,,0.0,24.0,24.0,24.0,25.0,0.0,399.0,404.0,380.0,378.0,2357,2541,2593,2737,2835,5669.0,5711.0,5838.0,6140.0,5827.0,1622.0,621.0,590.0,546.0,601.0,1243,2128,1788,1829,1490,693.0,866.0,1068.0,1085.0,1018.0,2301.0,2356.0,2394.0,2551.0,2438.0,1659.0,1695.0,1532.0,1715.0,1870.0,4868.0,4518.0,3913.0,3464.0,3275.0,1452.0,1471.0,1423.0,1387.0,1125.0,12213,12083,12829,13335,12530,921.0,895.0,901.0,877.0,785.0,7400,7739,8016,7886,6690,2830,2797,2775,2860,2741,,8.0,8.0,5.0,6.0,4.0,4.0,5.0,3.0,,4.0,3.0,3.0,4.0,4.0,21.0,16.0,16.0,16.0,16.0,331,335,342,354,380,275.0,273.0,270.0,272.0,266.0,64.0,58.0,50.0,51.0,51.0,240,232,238,242,232,197.0,201.0,214.0,223.0,229.0,334.0,326.0,333.0,332.0,327.0,22.0,24.0,24.0,24.0,20.0,182.0,190.0,194.0,191.0,193.0,37.0,39.0,37.0,38.0,35.0,415,419,414,409,415,52.0,54.0,53.0,55.0,59.0,361,361,372,379,364,440,436,446,455,469,,5.0,4.0,3.0,4.0,1077.44,1077.45,1077.45,1077.49,1077.45,35.67,35.67,35.67,35.67,35.67,-81.21,-81.21,-81.21,-81.21,-81.21,301.0,291.0,386.0,321.0,,0.0,1423.0,1673.0,1702.0,1953.0,0.0,35492.0,37334.0,36982.0,36992.0,103418,116494,128205,137216,150046,391548.0,367752.0,381509.0,382594.0,410461.0,77065.0,26157.0,24604.0,24212.0,57889.0,69569,99380,96526,103801,113306,27760.0,33830.0,37355.0,37773.0,39049.0,124163.0,137488.0,154881.0,154225.0,161691.0,157232.0,214679.0,217097.0,215021.0,237229.0,129055.0,119502.0,117111.0,104364.0,117164.0,30081.0,30883.0,32541.0,32166.0,32429.0,554328,547616,583867,601573,630983,16721.0,16089.0,16498.0,14968.0,16760.0,111500,117917,124006,108676,123741,67080,70138,72127,74045,81878,,113.0,348.0,87.0,159.0,0.0,0.08,0.08,0.0,0.0,156.0,157,158,159,160,0.0,1.99,1.66,0.0,0.0
1.0,37045,Cleveland County,20.0,7.0,,,,,,,,,0.0,117.0,117.0,112.0,120.0,1063,1182,1237,1324,1289,1211.0,1373.0,1278.0,1164.0,1135.0,186.0,186.0,171.0,162.0,127.0,490,468,458,432,429,311.0,309.0,231.0,223.0,213.0,948.0,1028.0,996.0,861.0,829.0,121.0,115.0,118.0,117.0,33.0,1268.0,1444.0,1380.0,1453.0,1474.0,1533.0,1462.0,1403.0,1452.0,1363.0,5429,5353,5185,5231,4768,330.0,378.0,403.0,346.0,496.0,2967,2952,3146,3115,2856,1532,1581,1458,1454,1421,0.0,2.0,2.0,4.0,4.0,4.0,3.0,,,,,,,,,9.0,6.0,6.0,6.0,7.0,160,161,170,173,182,76.0,77.0,78.0,78.0,77.0,18.0,21.0,23.0,20.0,21.0,100,92,92,87,90,85.0,86.0,88.0,90.0,99.0,122.0,116.0,117.0,118.0,125.0,7.0,7.0,6.0,6.0,5.0,89.0,90.0,95.0,90.0,89.0,11.0,11.0,15.0,13.0,15.0,241,234,236,234,231,19.0,22.0,24.0,24.0,28.0,158,161,173,171,179,287,285,285,291,289,3.0,4.0,5.0,7.0,4.0,1213.0,1213.05,1213.05,1212.99,1213.06,35.33,35.33,35.33,35.33,35.33,-81.55,-81.55,-81.55,-81.55,-81.55,918.0,264.0,,,,,,,,,0.0,12985.0,13498.0,13518.0,13864.0,45387,52071,58661,60068,63312,45852.0,49521.0,46761.0,42697.0,48005.0,9173.0,8829.0,8522.0,7894.0,7618.0,24886,24269,23898,25034,27720,8140.0,8477.0,8630.0,8342.0,9423.0,50210.0,50165.0,46290.0,43833.0,44511.0,10156.0,10261.0,11576.0,11530.0,1291.0,40757.0,44688.0,44717.0,44122.0,44737.0,34127.0,33123.0,33297.0,33434.0,34000.0,238067,240361,257946,281035,321377,3934.0,4711.0,5235.0,3571.0,8972.0,38682,41388,44394,41421,46622,37036,38750,36910,34760,37133,0.0,31.0,41.0,115.0,33.0,0.0,0.07,0.0,0.0,0.0,97.0,97,97,98,99,0.0,1.53,0.0,0.0,0.0
0.0,37049,Craven County,137.0,121.0,113.0,108.0,100.0,45.0,36.0,40.0,46.0,44.0,0.0,111.0,114.0,110.0,108.0,1081,1102,1219,1196,1202,727.0,806.0,794.0,784.0,828.0,389.0,331.0,357.0,348.0,263.0,615,644,613,653,625,325.0,349.0,359.0,373.0,388.0,1588.0,1598.0,1725.0,1670.0,1680.0,115.0,128.0,125.0,109.0,97.0,1644.0,1590.0,1496.0,1493.0,1267.0,268.0,283.0,268.0,263.0,287.0,6807,6874,6673,6968,7012,378.0,409.0,400.0,417.0,367.0,3824,3870,4262,4064,4044,1247,1270,1325,1299,1288,,,3.0,2.0,,25.0,22.0,22.0,20.0,19.0,4.0,3.0,3.0,4.0,5.0,8.0,6.0,6.0,6.0,6.0,176,182,185,191,193,67.0,69.0,69.0,66.0,67.0,33.0,35.0,34.0,33.0,30.0,117,120,114,115,114,117.0,113.0,118.0,123.0,126.0,217.0,217.0,211.0,216.0,217.0,7.0,7.0,8.0,7.0,7.0,106.0,105.0,109.0,112.0,113.0,28.0,30.0,30.0,30.0,33.0,265,265,263,268,266,35.0,31.0,35.0,34.0,35.0,205,208,214,213,216,244,236,251,253,254,,,4.0,4.0,,1891.96,1891.98,1891.99,1891.94,1891.97,35.08,35.08,35.08,35.08,35.08,-77.04,-77.04,-77.04,-77.04,-77.04,6699.0,5592.0,5448.0,5520.0,5325.0,2011.0,1992.0,2280.0,2576.0,2982.0,0.0,10371.0,10769.0,10900.0,10842.0,49618,51991,57695,58981,61598,34823.0,36358.0,37625.0,38656.0,42850.0,16896.0,14151.0,16105.0,13691.0,13567.0,39124,42789,40405,43557,49690,11042.0,12146.0,13770.0,13782.0,14574.0,100648.0,97969.0,103096.0,110233.0,109489.0,6280.0,7120.0,6674.0,6336.0,6825.0,50271.0,50990.0,48914.0,49494.0,48380.0,6434.0,7070.0,7603.0,7856.0,9561.0,336480,349932,366254,392948,395664,5843.0,6302.0,7459.0,7226.0,7596.0,55209,59131,62937,59407,69573,28427,30129,32251,32524,35107,,,256.0,253.0,,0.04,0.07,0.07,0.01,0.01,103.0,103,102,102,101,2.61,2.34,1.84,2.61,4.89
0.0,37065,Edgecombe County,3.0,5.0,2.0,,4.0,,,,,,0.0,70.0,71.0,71.0,72.0,441,468,462,449,477,369.0,370.0,456.0,547.0,605.0,0.0,319.0,283.0,136.0,107.0,144,134,164,156,145,109.0,118.0,138.0,168.0,158.0,128.0,149.0,144.0,150.0,163.0,,,191.0,,,201.0,266.0,278.0,301.0,216.0,0.0,189.0,202.0,194.0,168.0,2387,2558,2505,2428,2244,41.0,42.0,26.0,30.0,36.0,1004,935,1046,1037,1008,330,307,299,289,333,,,,,,4.0,4.0,3.0,,3.0,,,,,,4.0,4.0,4.0,4.0,4.0,74,71,76,69,70,22.0,20.0,21.0,24.0,23.0,22.0,22.0,25.0,32.0,30.0,35,32,33,29,32,31.0,32.0,34.0,33.0,31.0,40.0,43.0,42.0,41.0,40.0,,,3.0,,,35.0,34.0,35.0,38.0,36.0,4.0,5.0,5.0,5.0,3.0,94,102,98,98,93,9.0,9.0,6.0,5.0,6.0,57,53,57,52,55,97,94,94,97,102,,,,,,1312.86,1312.83,1312.86,1312.79,1312.77,35.92,35.92,35.92,35.92,35.92,-77.6,-77.6,-77.6,-77.6,-77.6,241.0,250.0,105.0,,116.0,,,,,,0.0,5988.0,6263.0,6368.0,6547.0,16561,17397,19072,20844,20866,19023.0,20103.0,23530.0,30846.0,31453.0,0.0,15978.0,13336.0,8609.0,5791.0,5696,6966,7516,7082,8485,3459.0,4196.0,4887.0,6629.0,6719.0,4342.0,4680.0,4792.0,5800.0,5894.0,,,9351.0,,,9560.0,11261.0,11289.0,10997.0,10601.0,0.0,4677.0,5058.0,5100.0,3930.0,71923,81335,80889,84121,82090,437.0,399.0,363.0,355.0,541.0,12435,12161,14386,13889,15934,6124,6095,6483,6841,9377,,,,,,0.09,0.07,0.07,0.17,0.0,54.0,53,53,52,50,1.51,1.65,1.64,1.6,0.0
1.0,37077,Granville County,30.0,29.0,23.0,30.0,23.0,,,,,,0.0,9.0,8.0,10.0,13.0,848,890,876,936,893,883.0,492.0,510.0,468.0,540.0,45.0,40.0,28.0,36.0,32.0,137,232,246,245,129,105.0,120.0,131.0,134.0,114.0,244.0,255.0,256.0,211.0,288.0,,,,20.0,19.0,941.0,993.0,627.0,1003.0,941.0,0.0,173.0,192.0,195.0,210.0,2384,4277,4300,4180,4181,35.0,25.0,26.0,44.0,42.0,1161,1206,1189,1187,1097,432,451,439,424,452,,,,,,6.0,6.0,5.0,5.0,5.0,,,,,,4.0,3.0,3.0,3.0,3.0,130,132,139,136,140,38.0,35.0,34.0,29.0,32.0,10.0,11.0,8.0,7.0,7.0,36,36,33,33,27,40.0,41.0,41.0,47.0,48.0,68.0,67.0,69.0,69.0,78.0,,,,3.0,3.0,50.0,45.0,50.0,52.0,56.0,4.0,4.0,5.0,4.0,4.0,103,108,106,99,99,8.0,7.0,11.0,12.0,13.0,66,70,71,68,69,108,112,111,108,110,,,,,,1392.07,1392.05,1392.03,1392.09,1392.08,36.32,36.32,36.32,36.32,36.32,-78.66,-78.66,-78.66,-78.66,-78.66,1125.0,1013.0,1025.0,1095.0,1174.0,,,,,,0.0,1020.0,1059.0,1090.0,1110.0,38948,42648,42576,45937,49182,40124.0,30733.0,30697.0,29956.0,36840.0,1799.0,1845.0,1531.0,1561.0,1652.0,7918,12926,14652,14858,8793,3348.0,3434.0,3453.0,3546.0,4082.0,10924.0,10416.0,11352.0,8703.0,11121.0,,,,2127.0,6031.0,22686.0,25273.0,20666.0,25788.0,27418.0,0.0,5879.0,6999.0,7956.0,9484.0,82546,173039,177912,182237,193372,446.0,405.0,561.0,454.0,899.0,14234,15217,16151,16246,17620,11135,11107,10716,10104,11820,,,,,,0.0,0.0,0.0,0.0,0.0,59.0,59,59,60,61,0.0,0.0,0.0,0.0,0.0
