target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
0.0,33005,Cheshire County,19,25,19,17,20,31.0,34.0,32.0,26.0,,43.0,51.0,52.0,52.0,42.0,1382,1494,1592,1613,1671,960,993,1027,1002,993,425,552,562,592,569,1250,1272,1205,1115,1183,234,203,225,219,191,640,650,665,614,619,1523,1108,1197.0,1069.0,1037.0,924,1109,1269,810,619,1033,1060,1102,1092,1189,3818,4027,3943,4121,4036,436,498,552,628,448,2618,2682,2822,2636,2100,1234,1234,1205,1163,1024,,,,8.0,7.0,11,8,7,7,7,5.0,5.0,4.0,3.0,,4.0,5.0,5.0,5.0,5.0,242,234,253,257,290,66,68,64,64,62,36,38,36,39,37,96,94,92,91,93,72,72,79,75,76,150,154,150,136,141,13,12,14.0,12.0,14.0,104,111,109,106,104,32,33,33,33,32,165,161,165,163,164,47,44,47,45,47,186,188,194,186,182,184,188,176,175,191,,,,5.0,6.0,1888.02,1888.32,1888.33,1888.31,1888.02,42.95,42.95,42.95,42.95,42.95,-72.28,-72.28,-72.28,-72.28,-72.28,555,549,580,671,695,3346.0,3348.0,3623.0,588.0,,4490.0,5524.0,5288.0,6163.0,4889.0,78881,85428,97389,100498,114448,48824,55528,59111,55315,58372,27069,50179,62175,65415,68018,85698,87755,86334,81990,87433,9289,8826,9797,9384,10086,36035,39299,39575,37648,40655,132342,123797,127609.0,127502.0,105104.0,38265,36383,38162,27625,28082,33510,34188,36267,35365,35414,171876,176734,191135,204064,214554,8143,9312,13016,12600,14388,49721,55979,59157,50631,52384,34604,36643,38041,34566,39262,,,,95.0,203.0,0.21,0.21,0.21,0.12,0.12,76,76,76,76,76,2.59,2.65,2.63,3.1,3.01
0.0,33013,Merrimack County,87,79,89,93,89,61.0,101.0,100.0,63.0,70.0,308.0,359.0,361.0,358.0,257.0,3473,3562,3614,3572,3491,3803,3622,3585,3455,3335,783,761,762,726,678,3260,3767,3172,3074,2586,1063,1078,1159,1209,1263,2886,2765,2788,2957,2955,640,667,630.0,712.0,738.0,2481,2466,2418,2278,2457,5714,3902,3418,4141,3150,12914,12891,12848,12651,11920,1776,1789,1898,1874,1627,5543,5972,6029,6098,4917,2720,2790,2822,2829,2660,,11.0,,0.0,1.0,20,18,17,18,19,9.0,8.0,8.0,8.0,8.0,15.0,18.0,18.0,19.0,19.0,484,495,495,503,541,176,173,175,166,167,68,67,69,69,74,213,205,222,225,216,140,139,148,150,149,389,381,377,380,389,20,20,20.0,19.0,18.0,253,251,250,254,280,76,78,82,82,87,425,424,426,414,423,79,79,82,77,82,329,333,339,333,337,505,519,536,531,537,,6.0,,4.0,4.0,2472.95,2472.99,2472.99,2473.05,2473.17,43.33,43.33,43.33,43.33,43.33,-71.69,-71.69,-71.69,-71.69,-71.69,3973,4089,4396,4919,4227,5222.0,5883.0,6150.0,5760.0,4224.0,30475.0,38979.0,39203.0,44571.0,32631.0,236494,245743,250858,248239,260763,223298,221024,226062,229135,243878,45745,42775,44210,41271,41670,245259,292938,260948,264452,240479,62925,69301,77627,89682,108667,208449,211833,216015,248757,254871,53284,52508,58153.0,63816.0,90020.0,112129,107424,113083,119058,133566,224240,133320,143579,146659,136599,635726,649707,661289,679978,705774,30348,29513,34158,29037,32525,107619,121446,128229,109791,123920,104340,110720,114330,115962,124323,,111.0,,13.0,21.0,0.15,0.15,0.15,0.17,0.17,148,149,150,151,153,3.23,3.08,2.95,2.85,2.91
1.0,33009,Grafton County,109,145,123,121,119,24.0,18.0,16.0,20.0,17.0,290.0,279.0,330.0,326.0,475.0,1243,1215,1270,1266,1352,732,817,805,725,756,1065,1032,975,980,839,957,961,895,829,806,519,525,546,545,577,1786,1653,1699,1727,1729,176,182,174.0,121.0,166.0,944,1051,1156,1123,1184,8916,8780,9155,9368,8098,12073,12259,12572,13023,13344,1722,1813,1850,1782,1392,5288,5453,5565,5315,4268,1410,1450,1448,1283,1185,21.0,20.0,15.0,15.0,12.0,26,27,26,24,23,6.0,5.0,4.0,4.0,4.0,18.0,18.0,19.0,19.0,19.0,246,240,259,257,284,93,91,90,90,92,71,69,73,72,66,153,151,152,147,146,155,147,147,137,148,226,231,234,226,220,11,11,11.0,10.0,12.0,153,164,169,170,171,69,68,72,64,62,285,285,286,275,269,70,78,77,77,84,422,419,420,416,415,262,260,252,260,261,7.0,8.0,9.0,7.0,6.0,4530.86,4530.68,4530.86,4531.18,4531.26,43.97,43.97,43.97,43.97,43.97,-71.87,-71.87,-71.87,-71.87,-71.87,10404,13931,10695,11276,10686,1495.0,1580.0,1695.0,1753.0,1856.0,25026.0,25066.0,27101.0,24295.0,48275.0,63096,67559,75959,72878,80980,48940,49396,50622,55016,53878,82040,83248,96976,90434,90717,128550,132794,101891,99941,117739,20891,22500,22172,24082,28228,154551,158431,169643,175028,181728,14466,16185,13715.0,15266.0,23812.0,39865,46221,52547,51569,54740,429272,421952,445739,459802,461959,843563,890988,965782,1030693,1071068,30784,33209,35936,30699,34292,115361,122219,129871,113626,134125,39045,41195,42820,39348,42895,688.0,545.0,539.0,553.0,538.0,0.03,0.01,0.01,0.05,0.05,89,90,90,90,91,2.2,1.75,1.92,2.0,1.92
0.0,33015,Rockingham County,37,31,40,23,27,18.0,17.0,17.0,22.0,15.0,1299.0,1310.0,1317.0,1166.0,1068.0,8458,9073,9367,10006,10151,7895,8418,8634,8176,8242,4407,4592,4268,4569,4398,7159,7567,7275,7240,7134,1521,1693,1791,1845,1757,9554,9507,9940,9765,9115,2003,2192,2013.0,2287.0,1757.0,9308,9240,8762,8720,8203,3492,3466,3693,3620,3157,16579,16304,16895,17350,17056,3050,3335,3561,3762,2821,15015,16097,16588,16422,13337,5126,5262,5327,5361,4706,10.0,9.0,12.0,17.0,8.0,10,10,11,8,12,4.0,5.0,4.0,5.0,5.0,27.0,29.0,29.0,28.0,25.0,1132,1153,1165,1177,1213,580,562,564,531,549,170,170,173,178,165,511,524,522,527,525,348,339,342,340,354,1011,1008,1014,1038,1054,70,67,68.0,70.0,64.0,670,652,647,660,697,148,153,155,158,148,894,889,901,911,929,229,242,250,232,225,908,929,937,937,941,902,899,910,896,907,10.0,14.0,12.0,13.0,10.0,1882.09,1881.97,1881.97,1882.0,1881.9,36.39,36.39,36.39,36.39,36.39,-79.74,-79.74,-79.74,-79.74,-79.74,1464,1583,1192,434,1537,1660.0,1672.0,1301.0,1537.0,1378.0,141277.0,166216.0,150290.0,149717.0,134488.0,593726,651366,695790,730496,765562,652404,753027,836017,788996,828612,319153,331259,342895,368864,402584,683084,700622,717080,788304,803926,80224,86209,92384,91786,104968,667212,711612,721103,749833,798356,244093,267502,276861.0,253536.0,253741.0,476278,463054,466554,436278,472297,128828,134074,140669,144118,139303,826357,854920,911984,938667,1025196,78497,89299,95272,81047,91987,322589,357170,380562,321087,387594,163017,173352,186766,178377,190105,273.0,450.0,409.0,495.0,252.0,0.24,0.29,0.45,0.29,0.32,302,305,306,308,313,2.38,2.25,2.13,2.38,2.36
1.0,33001,Belknap County,14,12,9,11,11,26.0,29.0,30.0,33.0,32.0,135.0,135.0,132.0,136.0,96.0,1302,1326,1312,1394,1422,445,460,475,455,494,302,230,277,218,171,630,629,580,575,563,271,260,265,340,309,615,626,627,629,633,50,49,58.0,58.0,46.0,831,828,730,679,610,487,470,471,499,447,4273,3931,4222,4232,3995,380,420,455,434,341,3092,3131,3256,3033,2640,811,822,829,868,730,,,2.0,,,6,5,5,5,4,6.0,6.0,6.0,6.0,5.0,8.0,8.0,8.0,8.0,7.0,226,229,229,254,267,59,58,58,58,66,28,26,26,23,24,78,75,76,75,69,80,80,77,77,78,128,123,127,137,137,4,4,4.0,4.0,4.0,103,102,104,111,119,19,19,22,22,19,159,152,156,152,144,53,51,53,50,53,250,247,250,237,250,199,202,206,211,206,,,3.0,,,1217.23,1217.19,1217.2,1217.12,1217.13,43.52,43.52,43.52,43.52,43.52,-71.45,-71.45,-71.45,-71.45,-71.45,421,338,379,418,440,1890.0,2015.0,2288.0,2543.0,2695.0,12940.0,13671.0,14260.0,14637.0,10149.0,84822,90121,92887,101131,109400,29645,30985,32086,33346,46480,14077,10231,11955,11029,11189,41557,40264,34991,40223,43125,10651,11620,11580,12402,15450,39861,36264,37251,42440,47014,2903,2908,4009.0,3817.0,2363.0,23637,23843,23860,23489,23631,17563,18531,19457,19462,19248,194879,186219,209564,193009,185555,13820,14755,17251,14572,17240,71742,74661,78047,64460,79864,22660,23757,24461,22986,25169,,,29.0,,,0.05,0.1,0.17,0.1,0.1,60,61,61,61,63,2.82,2.69,2.17,2.52,2.71
0.0,33019,Sullivan County,79,86,87,80,83,,,,,,53.0,50.0,53.0,43.0,48.0,495,491,450,461,510,583,680,610,632,630,78,85,103,108,78,373,388,397,347,340,287,322,285,322,291,259,268,256,245,254,88,145,132.0,128.0,111.0,543,507,439,417,467,285,261,275,293,272,1191,1182,1213,1241,1210,33,41,41,41,34,803,799,824,770,682,483,486,492,479,441,,,,,,8,7,7,7,7,,,,,,6.0,6.0,7.0,6.0,6.0,107,111,114,113,126,41,41,39,37,41,15,16,16,17,14,36,37,33,33,34,35,36,35,36,37,51,58,54,52,58,3,3,3.0,3.0,3.0,48,54,58,64,65,15,15,16,16,16,90,82,87,86,88,17,20,19,15,16,72,68,66,66,67,102,100,96,88,89,,,,,,1430.46,1430.34,1430.16,1430.22,1430.44,41.44,41.44,41.44,41.44,41.44,-76.51,-76.51,-76.51,-76.51,-76.51,2711,2966,3205,4205,4482,,,,,,4840.0,4457.0,4632.0,3904.0,5286.0,20984,22517,23634,25218,29603,57482,79633,75723,86407,90891,3186,3193,5179,5125,5105,19039,19782,20182,19806,24537,11930,12117,12578,12901,12777,14360,17872,18552,18304,20868,6102,7195,5883.0,6370.0,7010.0,15498,14524,12648,11933,14271,10094,10188,10624,10740,10903,48201,47177,48890,51505,54499,1408,1397,1628,1327,1794,15106,16759,17013,14874,18111,16781,16989,16230,16418,16689,,,,,,0.06,0.06,0.06,0.06,0.06,43,43,43,43,43,3.22,3.26,3.11,3.14,3.35
1.0,33011,Hillsborough County,51,61,55,61,83,51.0,41.0,25.0,44.0,35.0,940.0,947.0,958.0,929.0,818.0,8609,9045,9260,9591,9658,7772,7326,6928,6907,6773,8317,8145,8062,7956,6264,9203,9426,9356,9529,9889,2681,2894,3001,3092,2866,11521,14912,15703,15980,15576,4185,3846,3706.0,3643.0,3393.0,9829,10111,9822,9758,9458,5298,6796,7308,7276,6706,31197,31696,32464,32864,30198,3145,3124,3711,3647,3072,16641,17221,17372,16830,14838,7807,7655,7776,7804,7181,24.0,1.0,5.0,6.0,5.0,20,22,24,26,26,9.0,7.0,6.0,6.0,6.0,25.0,28.0,28.0,28.0,19.0,1159,1192,1253,1274,1338,571,564,558,547,533,246,250,238,233,224,632,633,637,643,631,450,442,452,451,447,1267,1244,1229,1226,1208,76,68,61.0,61.0,65.0,699,710,700,699,719,208,211,207,200,209,1159,1150,1152,1132,1128,190,199,197,201,195,916,944,928,932,938,1079,1074,1090,1089,1088,4.0,6.0,7.0,7.0,11.0,2311.06,2311.05,2311.04,2311.04,2311.03,27.92,27.92,27.92,27.92,27.92,-82.35,-82.35,-82.35,-82.35,-82.35,3323,2940,3365,3585,4066,1931.0,1655.0,1485.0,1643.0,3747.0,82650.0,87116.0,90371.0,95171.0,80036.0,580515,609309,658938,669227,750569,649634,588687,545605,553901,627264,761363,759326,776866,803110,782825,911969,989885,965116,1002517,1423853,134882,145470,147173,152428,159653,1043044,1505428,1583582,1684165,1892301,309288,332018,317138.0,301454.0,310277.0,414740,424040,423823,426509,497894,166281,273976,292952,304419,300227,1614433,1640777,1776391,1818765,1871788,89793,93412,85684,80670,99697,305552,331324,350044,308282,374816,265447,268843,292675,277172,301610,91.0,91.0,127.0,172.0,324.0,1.78,1.84,1.95,1.75,1.57,406,411,413,415,421,3.71,3.72,3.74,3.88,4.1
1.0,33017,Strafford County,32,23,25,26,27,16.0,16.0,17.0,17.0,16.0,,,,,,1411,1499,1526,1562,1690,1129,1289,1294,1273,1128,512,509,511,443,536,3629,3739,3719,3676,3276,347,335,342,352,335,1579,1363,1330,1327,1385,516,472,451.0,568.0,563.0,2160,2069,2068,2020,1620,1065,1078,1037,834,784,7564,7764,7635,7713,7386,633,624,626,773,709,4293,4369,4363,4567,4053,1737,1702,1762,1795,1556,0.0,4.0,4.0,6.0,6.0,11,9,6,7,9,4.0,3.0,3.0,3.0,3.0,,,,,,284,296,312,306,332,93,87,87,89,93,43,45,45,47,45,134,127,129,130,127,103,107,110,112,102,222,215,219,221,225,14,16,16.0,16.0,16.0,165,174,181,182,183,37,39,43,45,45,312,320,318,331,326,44,42,41,40,44,301,297,293,300,292,277,274,279,285,289,3.0,4.0,3.0,4.0,4.0,990.55,990.7,990.68,990.68,990.68,43.33,43.33,43.33,43.33,43.33,-71.04,-71.04,-71.04,-71.04,-71.04,787,737,742,767,816,2370.0,2020.0,2211.0,2983.0,3062.0,,,,,,78636,82733,88034,95557,108340,68681,87805,86176,79483,81259,28464,31637,26887,28315,43500,345471,326545,358890,369175,341272,12433,13593,13229,15684,16446,97305,84787,87354,97743,106834,32797,30928,30651.0,37268.0,38496.0,79513,67726,72279,75605,77739,50987,46736,44865,27090,33012,389746,401961,401560,441391,461368,12108,12781,13203,13677,15664,75674,80409,83546,74411,93272,51767,51890,54060,51531,55979,0.0,219.0,236.0,307.0,312.0,0.48,0.48,0.58,1.07,0.47,127,128,129,130,131,3.05,3.08,2.93,2.33,2.75
1.0,33007,Coos County,140,145,170,166,157,,,,,,89.0,114.0,116.0,117.0,91.0,202,214,220,229,258,226,226,217,210,215,78,73,75,64,66,258,258,250,257,231,77,76,85,98,105,131,108,107,210,201,43,33,39.0,40.0,30.0,176,182,141,135,152,97,109,122,131,111,2177,2112,2160,2141,2116,129,117,159,160,222,2057,1980,1970,1968,1835,376,356,366,385,310,,,,,,23,19,20,24,21,,,,,,12.0,11.0,10.0,9.0,7.0,67,68,66,68,74,23,25,25,22,24,15,15,16,16,16,39,37,37,34,33,27,28,29,30,29,31,32,32,31,31,4,4,4.0,4.0,4.0,37,38,37,38,42,11,12,11,11,11,101,97,96,94,94,28,32,31,27,24,112,116,120,115,112,78,79,80,77,78,,,,,,4741.69,4741.69,4741.69,4740.74,4740.73,43.22,43.22,43.22,43.22,43.22,-124.11,-124.11,-124.11,-124.11,-124.11,5509,5917,7578,7558,7468,,,,,,8784.0,9851.0,9766.0,9613.0,8897.0,10583,11491,11270,12725,12510,9988,11345,11248,12575,14373,3912,3808,3799,3538,3716,13308,14566,14881,15759,15315,6011,7683,6825,7665,6924,5738,4878,5249,9925,8951,3167,3275,3314.0,4088.0,4149.0,7386,6492,5282,5377,8170,4268,4547,4757,4274,4495,92348,96075,100518,101917,108670,6227,6212,6069,4822,7463,39031,40344,41572,40608,42266,11461,11394,12278,11464,12446,,,,,,0.02,0.01,0.02,0.01,0.01,32,32,32,31,31,2.23,2.63,2.33,3.22,2.83
0.0,33003,Carroll County,51,45,50,45,42,,,,13.0,22.0,53.0,60.0,70.0,52.0,36.0,1067,1105,1087,1076,1128,307,235,246,235,230,271,253,222,258,271,357,383,361,369,360,329,338,362,353,279,483,499,514,520,530,0,57,,,,873,646,650,694,603,391,386,358,366,313,2615,2491,2586,2622,2556,756,712,419,399,382,4145,4258,4698,4507,3673,627,678,644,656,593,,4.0,3.0,4.0,4.0,13,11,11,10,10,,,,3.0,3.0,6.0,7.0,7.0,7.0,6.0,225,224,232,241,266,44,41,45,42,40,35,38,34,35,34,58,60,58,55,56,92,89,91,87,90,128,121,125,126,134,3,4,,,,107,116,116,113,116,26,25,22,22,21,153,148,136,140,135,62,59,59,59,63,297,300,307,294,307,158,166,158,162,152,,4.0,3.0,4.0,5.0,2573.8,2573.78,2573.8,2573.8,2573.76,42.06,42.06,42.06,42.06,42.06,-89.96,-89.96,-89.96,-89.96,-89.96,2002,2181,2307,2127,1737,,,,773.0,867.0,4170.0,4989.0,4814.0,5193.0,3206.0,58809,59112,63028,66113,69812,16740,12883,12414,12971,14698,11764,11344,11518,11670,16714,20357,23978,21328,24372,28213,12152,13008,13431,14929,12120,33533,32879,30444,31371,36661,0,2628,,,,28291,26598,28176,33193,33584,12983,13384,13710,13368,14402,110169,111964,118482,129831,129275,20886,20139,19168,15857,18675,99655,103825,110687,91532,112151,18606,20701,21224,20133,22234,,81.0,100.0,166.0,188.0,0.0,0.0,0.0,0.0,0.0,48,48,48,48,50,0.0,0.0,0.0,0.0,0.0
