target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,39105,Meigs County,,,,,,62.0,80.0,65.0,93.0,60.0,,28.0,28.0,25.0,,153,179,224,204,203,91.0,82,66.0,59,42,12.0,9.0,9.0,,,146,135,132,132,116,20,16,18,28,,57,65,64,66,78,,,,,,75,74,75,69,91,,,,,,572,575,653,622,535,,1.0,4.0,4.0,3.0,428,451,457,402,383,167,165,171,179,162,,,,,,,,,,,9.0,9.0,8.0,9.0,10.0,,3.0,3.0,3.0,,29,34,32,35,36,5.0,5,6.0,6,6,3.0,3.0,3.0,,,13,13,13,11,11,8,4,4,3,,13,13,16,17,18,,,,,,15,16,17,15,17,,,,,,45,44,44,42,40,,3.0,3.0,3.0,3.0,31,31,32,30,30,57,53,56,56,60,,,,,,1121.2,1121.36,1121.36,1121.51,1121.43,39.11,39.11,39.11,39.11,39.11,-82.04,-82.04,-82.04,-82.04,-82.04,,,,,,3367.0,2962.0,3042.0,2475.0,2952.0,,2611.0,2750.0,1882.0,,8462,8514,11029,9402,10770,2650.0,2377,1576.0,1790,1365,418.0,374.0,367.0,,,5771,5292,5358,5084,5155,557,545,648,772,,1678,1692,2067,1856,2820,,,,,,2232,2558,2535,1948,3669,,,,,,16236,17374,18525,18666,18532,,22.0,42.0,42.0,26.0,6047,6416,6534,5840,6124,2880,2789,3248,3228,3046,,,,,,0.06,0.0,0.0,0.0,0.0,23.0,23,23,23,22,1.58,0.0,0.0,0.0,0.0
0.0,39159,Union County,,,3.0,,,,,,,,93.0,95.0,88.0,80.0,89.0,1035,1092,1237,1278,1429,1109.0,1317,1144.0,1188,1222,72.0,147.0,188.0,137.0,118.0,406,424,426,436,427,164,173,198,176,175.0,4560,4446,4321,4577,4268,0.0,1760.0,1402.0,1365.0,1424.0,1749,1834,1287,1378,1375,186.0,195.0,229.0,259.0,226.0,1851,2028,1886,1902,1807,254.0,236.0,261.0,265.0,214.0,1639,1650,1663,1713,1518,668,668,723,728,681,,,,,,,,3.0,,,,,,,,3.0,3.0,3.0,3.0,4.0,109,109,111,118,129,84.0,83,82.0,81,80,18.0,20.0,19.0,20.0,18.0,63,67,64,62,62,47,49,46,52,56.0,101,111,113,114,119,5.0,6.0,5.0,5.0,4.0,82,75,73,79,90,9.0,14.0,14.0,13.0,12.0,83,79,82,82,86,21.0,20.0,20.0,18.0,17.0,79,85,85,80,86,128,131,133,136,134,,,,,,1131.44,1131.41,1131.41,1131.57,1131.54,37.46,37.46,37.46,37.46,37.46,-89.25,-89.25,-89.25,-89.25,-89.25,,,65.0,,,,,,,,8464.0,8712.0,7865.0,7321.0,8251.0,66823,70617,80799,87903,99160,78034.0,89196,80687.0,84137,93352,3231.0,5746.0,6221.0,6469.0,6547.0,18574,19995,19803,22299,24899,6240,6494,7064,7774,9127.0,322601,299527,288562,341613,355191,0.0,206170.0,170890.0,164024.0,162038.0,59846,61009,51525,53185,56266,3300.0,3750.0,3903.0,3972.0,4252.0,85267,89829,93547,98168,102169,3610.0,3903.0,4485.0,4303.0,4474.0,25271,25559,28353,26169,28924,18911,20190,21697,21383,22739,,,,,,0.18,0.18,0.18,0.31,0.31,55.0,56,57,58,62,2.28,2.38,2.43,2.11,2.19
0.0,39021,Champaign County,,10.0,3.0,8.0,8.0,,,,,,,,,,,215,240,226,223,214,197.0,309,303.0,227,255,58.0,47.0,41.0,41.0,53.0,193,188,193,179,163,59,63,54,60,66.0,262,233,250,269,255,1117.0,552.0,94.0,102.0,98.0,729,733,789,921,624,0.0,126.0,65.0,218.0,13.0,1007,783,879,778,452,246.0,262.0,223.0,207.0,197.0,637,678,619,615,587,370,372,383,363,334,,,,,,,3.0,3.0,3.0,4.0,,,,,,,,,,,54,53,54,51,55,25.0,24,22.0,23,22,9.0,10.0,10.0,9.0,9.0,38,37,36,32,30,24,23,24,23,25.0,40,41,44,44,39,5.0,5.0,4.0,4.0,4.0,28,24,23,29,32,3.0,4.0,5.0,5.0,4.0,47,45,49,45,43,13.0,12.0,14.0,17.0,15.0,50,50,49,50,54,88,91,97,92,92,,,,,,1113.15,1113.05,1113.13,1113.18,1113.02,40.13,40.13,40.13,40.13,40.13,-88.2,-88.2,-88.2,-88.2,-88.2,,149.0,143.0,169.0,187.0,,,,,,,,,,,9411,10226,9259,8489,9044,8349.0,13864,13064.0,10904,12808,2314.0,2124.0,2066.0,2270.0,2549.0,9288,8993,9139,9054,9909,2302,2361,2802,2929,2691.0,15196,16616,17935,18110,19322,7493.0,7676.0,8454.0,7924.0,7870.0,32028,28672,36296,43079,30778,0.0,5062.0,2817.0,3848.0,189.0,34326,29417,31113,29010,17162,2412.0,2525.0,2937.0,3265.0,3866.0,8344,9040,9037,8049,9591,6914,7176,8279,8084,8620,,,,,,0.09,0.09,0.09,0.09,0.09,39.0,39,39,39,39,2.07,2.24,2.23,2.3,2.27
0.0,39131,Pike County,18.0,18.0,14.0,10.0,9.0,0.0,36.0,,,,115.0,105.0,103.0,79.0,88.0,288,239,358,443,381,117.0,122,122.0,140,150,40.0,45.0,34.0,34.0,34.0,228,256,233,230,193,82,77,68,69,71.0,1927,1935,1833,1827,1840,,,,,,476,663,494,366,358,,,,,71.0,1584,1598,1457,1339,1211,0.0,46.0,,,25.0,558,609,621,582,526,149,170,173,188,170,,,,,,5.0,3.0,4.0,3.0,4.0,3.0,3.0,,,,4.0,4.0,4.0,4.0,4.0,32,33,34,36,34,12.0,12,13.0,15,15,6.0,6.0,5.0,5.0,4.0,32,34,32,29,27,10,10,11,11,10.0,24,24,26,26,25,,,,,,18,15,15,13,19,,,,,3.0,56,53,55,52,49,3.0,3.0,,,3.0,40,40,39,34,36,40,41,44,44,46,,,,,,1149.46,1149.46,1149.47,1149.58,1149.46,39.61,39.61,39.61,39.61,39.61,-90.85,-90.85,-90.85,-90.85,-90.85,399.0,360.0,379.0,136.0,279.0,0.0,2083.0,,,,9565.0,9316.0,9133.0,9107.0,9567.0,14700,13446,23083,24987,22955,5286.0,5190,5933.0,7350,8795,1255.0,1337.0,1165.0,1089.0,1196.0,9117,10156,10045,9674,9900,2290,2522,2627,2694,2870.0,151824,139424,128716,157971,128841,,,,,,36912,34508,28407,18232,19207,,,,,2581.0,52208,54528,55093,53222,54122,0.0,408.0,,,403.0,7620,8208,8238,7788,8375,2545,2728,2954,2927,3038,,,,,,0.0,0.0,0.0,0.0,0.05,28.0,28,28,28,27,0.0,0.0,0.0,0.0,1.53
0.0,39125,Paulding County,,,,,,,,,,,0.0,40.0,40.0,41.0,41.0,90,71,105,92,93,175.0,150,145.0,150,131,25.0,26.0,26.0,25.0,28.0,97,90,94,93,92,10,21,19,25,18.0,70,67,66,66,67,,,,,,109,28,32,79,84,,,,,,555,539,496,495,469,,,,,,260,254,254,266,241,138,136,144,135,146,,,2.0,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,25,24,25,25,27,15.0,13,13.0,13,12,4.0,5.0,5.0,5.0,5.0,23,21,20,21,20,5,7,7,7,7.0,13,14,13,13,13,,,,,,9,8,8,8,10,,,,,,28,27,25,26,26,,,,,,30,32,29,29,29,40,39,43,43,45,,,3.0,,,1084.78,1084.78,1084.78,1084.77,1084.78,33.89,33.89,33.89,33.89,33.89,-84.86,-84.86,-84.86,-84.86,-84.86,,,,,,,,,,,0.0,2704.0,2913.0,3054.0,3404.0,2940,3089,4384,4086,4795,8191.0,7243,7244.0,7266,7671,838.0,842.0,887.0,855.0,899.0,4155,4278,3755,4046,4978,280,381,395,240,296.0,1647,1735,1780,1894,1924,,,,,,8558,818,945,1777,2075,,,,,,14860,14974,15308,16315,16433,,,,,,2805,3052,3041,2844,3418,2383,2409,2569,2574,3130,,,54.0,,,0.0,0.0,0.0,0.06,0.0,19.0,19,19,19,19,0.0,0.0,0.0,1.54,0.0
0.0,39057,Greene County,,,,,,0.0,29.0,30.0,30.0,30.0,105.0,137.0,133.0,107.0,88.0,1418,1556,1613,1663,1671,774.0,929,890.0,892,742,870.0,708.0,762.0,729.0,754.0,1533,1596,1493,1520,1589,447,406,411,468,489.0,11201,11602,12158,12404,13574,249.0,241.0,298.0,280.0,317.0,1793,1812,1607,1322,1105,3160.0,2796.0,3313.0,3063.0,3056.0,7146,8147,8216,8262,7695,603.0,635.0,612.0,808.0,746.0,8492,8797,8616,8338,7650,2456,2442,2534,2471,2353,2.0,5.0,5.0,7.0,,,,,,,4.0,4.0,3.0,3.0,3.0,5.0,5.0,6.0,4.0,4.0,218,218,221,225,233,87.0,94,95.0,90,85,48.0,49.0,52.0,54.0,57.0,202,204,196,194,195,125,124,124,137,149.0,495,489,478,488,507,14.0,14.0,14.0,15.0,13.0,159,163,174,173,163,61.0,61.0,55.0,56.0,45.0,393,404,401,413,408,40.0,37.0,38.0,41.0,46.0,346,350,356,346,366,342,335,344,345,342,3.0,8.0,4.0,6.0,,1078.13,1078.15,1078.15,1077.89,1077.91,39.36,39.36,39.36,39.36,39.36,-90.39,-90.39,-90.39,-90.39,-90.39,,,,,,0.0,1626.0,1583.0,1609.0,1839.0,10176.0,8868.0,8128.0,9194.0,7556.0,75880,82193,88354,95719,100738,43054.0,50661,51339.0,48132,45090,41631.0,42680.0,46597.0,46224.0,55023.0,108465,118881,115621,126586,137720,14497,14403,15012,17558,18857.0,902744,981345,1077166,1174067,1324155,15098.0,15186.0,16972.0,15369.0,20914.0,66504,65530,60315,48697,49553,75090.0,74995.0,76447.0,75423.0,79487.0,304144,388708,406985,401930,414648,12946.0,15726.0,16069.0,13725.0,19371.0,127159,134824,140979,118542,142687,59189,62136,65740,63018,69167,39.0,179.0,295.0,506.0,,1.06,1.33,1.29,0.92,0.98,165.0,166,167,168,167,2.31,2.32,2.42,2.4,2.5
1.0,39061,Hamilton County,6.0,10.0,7.0,10.0,,95.0,89.0,88.0,91.0,85.0,0.0,2028.0,1841.0,1735.0,1638.0,20615,20438,20555,20338,21055,27307.0,26329,26062.0,25889,25379,14218.0,14559.0,14181.0,14509.0,12824.0,35196,34747,35049,34095,32190,6905,6827,7091,7570,7713.0,39988,40185,41322,40877,38789,25754.0,28803.0,28082.0,27030.0,51433.0,31809,37858,37105,35220,33863,11822.0,11773.0,11462.0,11803.0,11233.0,86724,88197,89665,91158,91439,10644.0,11467.0,13140.0,13147.0,9639.0,45264,45906,47476,46888,40384,18220,18614,20435,20177,18341,11.0,24.0,29.0,25.0,5.0,5.0,7.0,4.0,4.0,,10.0,11.0,10.0,9.0,10.0,95.0,65.0,67.0,66.0,65.0,1378,1384,1367,1368,1390,1326.0,1287,1265.0,1239,1211,438.0,423.0,420.0,410.0,397.0,1539,1525,1567,1514,1480,1058,1075,1075,1103,1119.0,2522,2510,2493,2481,2472,290.0,277.0,268.0,262.0,285.0,1189,1154,1162,1169,1193,330.0,336.0,331.0,341.0,333.0,2401,2390,2426,2456,2544,336.0,330.0,335.0,337.0,339.0,2015,2010,2008,1986,2019,2011,2025,2037,2027,2042,9.0,21.0,23.0,19.0,13.0,1068.64,1068.66,1068.65,1068.69,1068.71,31.64,31.64,31.64,31.64,31.64,-97.97,-97.97,-97.97,-97.97,-97.97,100.0,733.0,246.0,276.0,,4702.0,5157.0,5644.0,5908.0,5928.0,0.0,204360.0,180535.0,180316.0,171586.0,1254927,1286948,1346421,1346065,1503217,1764638.0,1778725,1825052.0,1888534,1961961,1269564.0,1297187.0,1289052.0,1397184.0,1363513.0,3256186,3369904,3584521,3784159,3895851,404300,416191,447861,490967,516646.0,3098824,3433768,3669034,3662844,3722909,3263409.0,3505303.0,3620137.0,3379690.0,3759971.0,1255371,1374601,1461275,1493376,1634642,425819.0,425959.0,439385.0,443592.0,453490.0,4641411,4905540,5072119,5252965,5845490,614706.0,660973.0,728436.0,605032.0,710622.0,765447,804947,844673,715292,848082,560492,591751,678100,641816,675795,355.0,1248.0,626.0,753.0,1166.0,15.03,15.54,15.87,15.89,15.51,809.0,812,814,816,827,2.75,2.76,2.76,2.86,2.93
0.0,39049,Franklin County,52.0,45.0,51.0,109.0,90.0,172.0,185.0,162.0,160.0,139.0,5535.0,6583.0,5946.0,6324.0,6039.0,24428,26727,26738,27980,27432,31251.0,32274,33636.0,31560,30691,17872.0,17568.0,15533.0,16639.0,14774.0,58056,60219,55503,55091,57658,11535,12378,12606,13719,13584.0,43056,44446,47489,45950,44447,32005.0,27926.0,28942.0,29269.0,27831.0,50253,51950,49746,47627,43682,13442.0,13306.0,13281.0,13592.0,12801.0,114312,128941,134570,135517,128592,11082.0,12171.0,11818.0,11489.0,8067.0,64843,65560,65476,65434,55774,26670,27420,27288,27231,24859,10.0,112.0,20.0,37.0,22.0,6.0,7.0,8.0,9.0,6.0,16.0,14.0,12.0,12.0,12.0,63.0,94.0,101.0,111.0,112.0,1591,1661,1722,1743,1800,1434.0,1417,1417.0,1404,1418,606.0,609.0,612.0,598.0,634.0,2001,2014,2004,1976,1973,1576,1641,1665,1751,1887.0,3721,3739,3757,3767,3792,339.0,333.0,323.0,335.0,326.0,1549,1568,1602,1626,1686,433.0,439.0,435.0,470.0,478.0,3771,3980,4017,4064,4121,424.0,427.0,436.0,442.0,447.0,2960,2997,3080,3066,3179,2593,2641,2642,2652,2669,11.0,23.0,20.0,24.0,24.0,1407.98,1407.98,1407.98,1408.02,1408.0,33.2,33.2,33.2,33.2,33.2,-95.22,-95.22,-95.22,-95.22,-95.22,1082.0,1157.0,1405.0,4769.0,2482.0,9634.0,9663.0,11926.0,11554.0,10799.0,708851.0,792719.0,800543.0,940618.0,911566.0,1649233,1811783,1975343,2023606,2127939,2113942.0,2235415,2323303.0,2061643,2128112,1261980.0,1263439.0,1228015.0,1407529.0,1394681.0,4580224,4972659,4964496,5261073,5419175,609691,662873,687150,738472,858082.0,3084579,3369261,3642529,3579081,3940250,2886303.0,2667277.0,2804186.0,2769955.0,2936826.0,1926445,2004598,1937142,1780654,1935528,413318.0,427182.0,438511.0,469737.0,489980.0,5391727,6106817,6259031,6840273,6877582,334141.0,352209.0,361963.0,322085.0,354183.0,1117499,1166208,1239929,1060490,1256398,942479,997481,1008340,999074,1107238,130.0,992.0,712.0,1269.0,953.0,20.63,20.49,20.69,21.91,22.57,1254.0,1275,1290,1305,1314,3.11,3.15,3.15,3.19,3.15
1.0,39087,Lawrence County,,,,,,,,,,,84.0,117.0,112.0,128.0,141.0,866,940,1080,858,841,253.0,259,209.0,207,192,93.0,94.0,87.0,89.0,92.0,272,293,276,243,230,217,220,214,235,208.0,214,198,194,209,212,48.0,46.0,49.0,53.0,58.0,405,377,369,377,438,62.0,59.0,52.0,73.0,92.0,2799,2550,2614,2736,2509,28.0,26.0,28.0,20.0,45.0,1246,1271,1171,1383,1291,383,429,424,396,376,,,,,,,,,,,,,,,,7.0,7.0,9.0,9.0,9.0,76,76,73,74,77,33.0,31,29.0,28,26,9.0,9.0,9.0,9.0,8.0,56,56,56,54,52,34,31,33,33,32.0,41,39,36,39,36,5.0,5.0,5.0,5.0,6.0,39,41,41,40,44,5.0,6.0,6.0,7.0,6.0,120,119,119,120,124,9.0,12.0,9.0,7.0,8.0,62,62,67,65,69,96,96,95,95,93,,,,,,1184.66,1184.66,1184.66,1184.67,1184.66,41.0,41.0,41.0,41.0,41.0,-80.35,-80.35,-80.35,-80.35,-80.35,,,,,,,,,,,5957.0,11112.0,11078.0,11716.0,13576.0,55500,62328,71027,58997,65312,11085.0,10283,10031.0,9578,10246,4629.0,4641.0,4744.0,5907.0,4324.0,9783,10383,10094,9303,9978,6655,6878,7155,7588,7595.0,6616,6631,6898,7761,7681,4799.0,4780.0,4922.0,4994.0,5220.0,14676,13565,13738,14997,21130,831.0,843.0,828.0,962.0,1427.0,62766,64986,65850,81660,82844,333.0,332.0,372.0,256.0,524.0,17452,18247,18927,19650,22747,8398,8725,9368,9672,10459,,,,,,0.15,0.15,0.15,0.12,0.12,61.0,61,60,60,59,2.38,2.46,2.21,2.19,2.21
0.0,39101,Marion County,,,,,,0.0,9.0,,,,76.0,80.0,72.0,72.0,91.0,463,474,472,454,466,503.0,507,439.0,446,429,469.0,470.0,425.0,332.0,130.0,430,360,344,359,336,144,141,144,136,143.0,263,271,276,279,265,123.0,124.0,164.0,183.0,161.0,1411,1390,1335,1267,1157,163.0,156.0,148.0,163.0,175.0,4407,4834,4939,5232,4293,111.0,116.0,116.0,114.0,107.0,2263,2241,2272,2232,1965,926,904,887,850,797,,,,,,,,,,,3.0,3.0,,,,7.0,7.0,7.0,7.0,7.0,72,71,69,64,68,42.0,43,34.0,35,33,24.0,24.0,23.0,23.0,20.0,73,72,75,68,65,40,37,37,43,46.0,59,60,60,58,55,6.0,6.0,8.0,7.0,7.0,55,51,52,54,58,8.0,8.0,7.0,8.0,8.0,190,186,178,180,150,24.0,20.0,17.0,16.0,18.0,104,100,100,102,108,151,146,148,151,156,,,,,,1046.66,1046.69,1046.86,1046.75,1046.83,32.79,32.79,32.79,32.79,32.79,-94.34,-94.34,-94.34,-94.34,-94.34,,,,,,0.0,412.0,,,,7117.0,8076.0,7499.0,7896.0,8980.0,24551,24116,24298,25910,26934,26409.0,26171,25199.0,26948,26832,17683.0,18010.0,15845.0,14412.0,7306.0,18887,19722,22293,20395,21639,3811,4452,4231,3816,5088.0,10288,10388,10843,11075,11615,8894.0,9587.0,13323.0,13134.0,16428.0,37120,38359,39325,38833,36898,5461.0,5038.0,4911.0,5475.0,5813.0,196328,209836,203371,249283,223705,1927.0,2076.0,2079.0,1731.0,2130.0,28843,30678,31347,28247,35164,16627,17243,17386,17204,18571,,,,,,0.79,0.76,0.71,0.78,0.73,65.0,65,65,65,66,2.09,2.18,2.16,2.32,2.38
