target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,4019,Pima County,222.0,221.0,219.0,227.0,219.0,2440.0,2361.0,2420.0,2467.0,2514.0,1898,2012,2079,2078,2068,19185,20743,22021,22685,21593,7279,7242,7459.0,7338,7141,8130,8941,7517,7057,5645,12482,13114,13284.0,13025.0,13152.0,6389,6525,6684,6756,6253,17073,17629,17635,19064,17839,3761.0,3867.0,3412.0,3614.0,3757.0,27512,27049,28802,25280,24404,6128.0,5825.0,6763.0,7259.0,7385.0,61872,62494,63841,65722,63789,6781.0,7842.0,7777.0,7511.0,5787.0,45127,45364,46323,45463,38476,14404,14463,14591,14402,13534,22.0,50.0,17.0,23.0,21.0,25.0,22.0,22.0,23.0,24.0,35.0,37.0,33.0,33.0,32.0,25,28,29,30,27,1657,1682,1720,1737,1798,744,737,740.0,723,727,324,338,339,340,336,1248,1256,1266.0,1244.0,1257.0,1341,1362,1409,1450,1524,2587,2594,2600,2630,2649,149.0,145.0,136.0,127.0,129.0,1169,1197,1197,1206,1232,361.0,360.0,359.0,354.0,356.0,2873,2832,2860,2867,2912,323.0,337.0,343.0,340.0,336.0,1855,1888,1898,1856,1859,1856,1819,1873,1891,1972,17.0,24.0,18.0,24.0,28.0,23796.19,23796.27,23801.24,23801.32,23801.3,32.11,32.11,32.11,32.11,32.11,-111.65,-111.65,-111.65,-111.65,-111.65,6890.0,7224.0,7141.0,8305.0,7227.0,148913.0,162507.0,162837.0,159146.0,195407.0,175024,189384,200236,209497,206761,923007,1018477,1156502,1248154,1239799,367562,377172,413384.0,394712,418352,492712,552439,521558,489382,499202,733635,824841,850152.0,919159.0,1031319.0,242921,249107,260704,272405,289772,1077294,1133499,1157518,1198328,1218705,213018.0,220326.0,227818.0,213571.0,223240.0,722606,793016,842265,772065,795271,198008.0,209284.0,246709.0,273466.0,322680.0,3028430,3114324,3338810,3438284,3569524,141393.0,166148.0,171193.0,153554.0,164161.0,834765,867367,929269,797120,913535,391865,403953,427474,418590,469494,653.0,712.0,284.0,664.0,913.0,0.74,0.75,0.74,0.84,0.84,1007,1020,1027,1038,1035,2.56,2.57,2.58,2.74,2.71
1.0,4013,Maricopa County,437.0,541.0,624.0,632.0,721.0,794.0,880.0,982.0,832.0,922.0,7348,7310,7342,7363,7620,110221,119374,129048,134661,138393,73419,75355,77192.0,75985,73757,41207,43955,45482,44018,39452,139357,148252,148446.0,150719.0,154044.0,37476,43297,41360,42949,42626,115194,118878,124185,128519,128648,54082.0,56291.0,52800.0,56518.0,56430.0,129308,137120,143725,134015,132396,46567.0,47519.0,50331.0,53491.0,52636.0,241406,248494,252407,260733,264433,34713.0,36925.0,39959.0,41036.0,32843.0,193628,204012,207957,208364,184739,62509,64538,66714,67325,63408,169.0,177.0,242.0,230.0,243.0,94.0,99.0,91.0,97.0,98.0,66.0,60.0,62.0,66.0,67.0,84,99,99,101,102,7670,7911,8178,8458,8950,4635,4640,4622.0,4548,4609,1698,1734,1773,1799,1815,6996,6955,6935.0,7081.0,7226.0,6912,7209,7565,8066,8731,13242,13466,13784,14239,14743,762.0,754.0,734.0,746.0,713.0,6020,5998,6064,6144,6434,1520.0,1590.0,1584.0,1624.0,1668.0,12407,12695,13090,13443,14004,1328.0,1425.0,1504.0,1526.0,1548.0,7966,8180,8408,8445,8719,7207,7291,7462,7679,8044,89.0,130.0,123.0,177.0,125.0,23889.3,23889.0,23889.76,23893.48,23891.94,33.35,33.35,33.35,33.35,33.35,-112.49,-112.49,-112.49,-112.49,-112.49,18430.0,19606.0,23719.0,22425.0,30296.0,59822.0,68822.0,64974.0,64434.0,68990.0,831921,846766,839131,882284,912528,6266768,6982843,7756906,8429992,9254264,4933030,5164840,5651409.0,5620888,6124872,2876370,3110993,3503374,3438548,3624624,10390951,11252739,11901250.0,13196391.0,14230949.0,2092967,2530118,2383507,2508239,3331767,8873793,9696771,10579469,10993762,11830799,4079118.0,4808482.0,4462801.0,4675875.0,5090683.0,4808840,5177709,5501115,5512229,6040355,1850024.0,1943417.0,2093334.0,2202921.0,2308997.0,12296282,12969053,13480834,14091802,15215004,1328155.0,1478596.0,1631756.0,1389755.0,1507898.0,3873669,4216817,4474458,3907907,4746945,2164385,2353173,2449143,2459774,2658318,6209.0,5641.0,4836.0,11678.0,8445.0,4.19,4.27,4.29,4.54,4.49,4156,4254,4329,4413,4367,3.04,3.08,3.1,3.1,3.04
1.0,4007,Gila County,,,,,,1527.0,1417.0,1484.0,1490.0,1689.0,84,69,70,68,70,731,1005,1038,638,685,140,150,124.0,120,125,125,137,128,120,88,164,166,182.0,170.0,176.0,142,150,151,148,155,245,239,251,254,281,,,,,,169,186,106,120,95,131.0,128.0,128.0,113.0,121.0,2020,2096,2142,2144,1984,619.0,576.0,588.0,596.0,574.0,1996,2022,2007,1964,1850,339,326,323,297,316,,,,,,,,,,,10.0,10.0,11.0,8.0,9.0,8,6,6,6,6,127,123,126,120,137,20,19,16.0,14,14,24,23,20,20,22,47,48,47.0,48.0,48.0,67,67,75,78,82,80,87,87,86,94,,,,,,32,31,34,39,34,12.0,11.0,11.0,9.0,9.0,146,145,151,140,144,16.0,16.0,16.0,21.0,20.0,138,142,133,133,139,93,89,88,89,95,,,,,,12421.79,12421.85,12421.78,12419.25,12419.35,33.74,33.74,33.74,33.74,33.74,-110.68,-110.68,-110.68,-110.68,-110.68,,,,,,97106.0,103629.0,108600.0,110021.0,133350.0,8366,6936,7125,7118,7379,30711,54316,54985,29645,33882,7681,8092,7058.0,8152,9581,3979,4015,3689,3486,3362,7811,8821,8710.0,9373.0,10181.0,5853,6458,6399,6778,6050,9593,9947,9935,10524,12857,,,,,,4985,4270,3533,3624,3237,3253.0,3426.0,3559.0,3428.0,3781.0,100128,100557,108757,108489,104920,15111.0,15144.0,16803.0,16978.0,18425.0,36420,38787,39784,39278,46663,7665,7225,7235,7551,8339,,,,,,0.0,0.0,0.0,0.01,0.01,53,53,54,54,53,2.09,1.79,1.89,1.5,1.54
1.0,4009,Graham County,0.0,170.0,167.0,161.0,,,,,,,0,50,48,50,49,340,365,410,464,463,262,236,245.0,231,240,96,98,68,59,48,102,116,117.0,122.0,121.0,68,61,69,77,70,496,434,492,513,521,,,,,,98,87,93,93,73,62.0,65.0,51.0,50.0,62.0,2012,2016,2094,2315,2428,41.0,60.0,59.0,53.0,51.0,974,1043,1023,1065,1086,275,308,311,329,334,,,,,,4.0,4.0,5.0,4.0,,,,,,,4,5,5,5,5,57,58,59,59,67,21,19,20.0,18,21,10,11,10,10,9,24,24,26.0,27.0,29.0,21,23,20,21,18,28,28,25,25,27,,,,,,17,16,16,16,13,7.0,8.0,7.0,7.0,7.0,73,80,82,87,89,9.0,8.0,10.0,10.0,10.0,57,59,58,60,62,44,45,48,51,52,,,,,,12017.94,12018.82,12018.55,12019.93,12018.68,35.36,35.36,35.36,35.36,35.36,-83.83,-83.83,-83.83,-83.83,-83.83,0.0,911.0,919.0,963.0,,,,,,,0,3407,3751,4170,3843,13835,15699,18784,20005,22227,12965,11258,12319.0,12252,12666,3240,3434,2423,2314,2165,5159,5614,5460.0,5853.0,6369.0,1983,1757,2609,2585,2604,14440,14926,17899,18839,18928,,,,,,2569,2869,3245,3383,2993,1196.0,1213.0,1174.0,1247.0,1317.0,88255,100163,108231,124209,131000,530.0,780.0,885.0,766.0,1007.0,12799,13917,14976,16333,18340,10956,12343,13064,13520,14329,,,,,,0.02,0.02,0.02,0.02,0.02,38,38,38,38,38,2.02,2.19,2.05,2.08,2.13
0.0,4023,Santa Cruz County,170.0,121.0,124.0,182.0,115.0,,,79.0,,13.0,74,72,70,55,56,278,283,276,238,227,2318,2326,2369.0,2403,2500,76,85,82,86,74,203,187,185.0,182.0,154.0,126,148,114,101,129,191,182,188,186,193,,,,,,397,266,291,292,294,101.0,92.0,101.0,97.0,90.0,1701,1710,1608,1688,1649,49.0,49.0,51.0,47.0,32.0,1406,1446,1365,1267,1219,312,325,309,318,302,0.0,,,,,11.0,11.0,10.0,10.0,10.0,,,3.0,,3.0,6,6,6,6,6,55,58,58,59,60,222,213,210.0,205,200,12,13,14,14,15,40,39,36.0,36.0,37.0,44,44,41,41,44,60,59,56,55,53,,,,,,27,25,26,28,27,10.0,10.0,11.0,10.0,10.0,73,75,72,70,74,14.0,16.0,15.0,14.0,11.0,96,91,100,91,90,68,71,69,65,62,3.0,,,,,3206.7,3206.77,3204.7,3204.89,3204.82,37.05,37.05,37.05,37.05,37.05,-121.99,-121.99,-121.99,-121.99,-121.99,2203.0,2610.0,2444.0,1806.0,1564.0,,,8859.0,,610.0,4958,5360,5560,4287,4286,10977,10146,9127,8887,9541,113046,116169,126002.0,133967,134325,2690,3149,2872,2985,3183,8543,8499,7102.0,6977.0,7184.0,3908,4303,3877,3634,4860,7638,7644,8000,10397,8511,,,,,,6810,6120,6803,6307,6533,2375.0,2499.0,2797.0,2866.0,3107.0,85218,84464,89289,100582,100950,862.0,1082.0,1082.0,859.0,876.0,23965,25029,25117,21183,26176,7266,7992,8194,8434,9085,0.0,,,,,0.08,0.08,0.08,0.08,0.05,46,47,46,47,47,1.93,1.91,1.79,1.73,1.73
1.0,4003,Cochise County,51.0,50.0,46.0,46.0,45.0,52.0,40.0,17.0,114.0,62.0,651,636,625,622,601,1093,1292,1697,1694,1728,403,432,418.0,420,438,324,339,344,320,297,472,501,487.0,479.0,454.0,406,362,357,375,412,3400,3306,3025,3272,3179,120.0,116.0,123.0,87.0,82.0,1546,1474,2150,1691,1639,666.0,674.0,665.0,659.0,398.0,4782,4745,5066,4905,4639,235.0,224.0,235.0,245.0,212.0,3585,3886,3932,3539,3750,1105,1056,1048,1028,971,,6.0,,,,6.0,6.0,6.0,7.0,6.0,8.0,8.0,4.0,6.0,7.0,21,21,21,20,21,182,187,194,197,204,49,45,45.0,44,45,38,40,44,44,41,102,111,111.0,106.0,97.0,106,96,99,107,117,225,213,206,204,189,7.0,5.0,6.0,6.0,5.0,93,93,91,93,87,30.0,33.0,32.0,32.0,24.0,285,276,290,277,275,30.0,30.0,31.0,31.0,33.0,259,257,250,242,258,242,233,236,235,233,,4.0,,,,16106.86,16106.89,16106.96,16105.46,16106.96,31.85,31.85,31.85,31.85,31.85,-109.82,-109.82,-109.82,-109.82,-109.82,1837.0,2001.0,2043.0,2212.0,2091.0,2607.0,1432.0,1090.0,6298.0,2256.0,49262,51028,52755,57261,51661,44526,53082,78899,87715,89529,16084,17700,18219.0,19271,21995,13965,14630,15123,14380,14337,22129,24767,24052.0,27491.0,34690.0,10896,10679,11944,13874,17394,232111,229937,218411,230312,234495,4946.0,5558.0,4857.0,3658.0,3533.0,42713,40450,59121,63377,67042,30735.0,33312.0,26035.0,27564.0,14922.0,183135,188781,206677,200682,213189,4236.0,4507.0,4608.0,4021.0,4491.0,55952,64744,66213,59392,73621,23747,23665,24658,24401,26848,,124.0,,,,0.03,0.04,0.04,0.06,0.06,127,126,126,126,125,2.21,2.25,2.31,1.9,2.0
0.0,4015,Mohave County,,,,,,89.0,111.0,144.0,176.0,212.0,366,337,347,373,375,2984,3213,3434,3574,3850,1033,1291,1294.0,1240,1268,686,662,596,549,440,1090,996,1112.0,1000.0,884.0,752,673,661,661,677,1019,1190,1257,1305,1360,243.0,189.0,483.0,178.0,100.0,1706,1710,1724,1651,1518,587.0,593.0,557.0,555.0,547.0,8759,8791,8916,8967,8879,464.0,562.0,655.0,641.0,675.0,6751,6778,7280,7151,6878,1812,1818,1945,1984,1933,5.0,,6.0,15.0,10.0,,,,,,11.0,9.0,9.0,10.0,10.0,27,28,28,28,25,493,528,543,562,610,113,119,117.0,122,129,57,58,59,59,54,188,180,187.0,189.0,198.0,238,251,261,269,277,236,239,246,257,259,7.0,7.0,7.0,7.0,8.0,203,202,206,209,230,23.0,23.0,27.0,26.0,25.0,499,485,500,496,492,42.0,40.0,42.0,46.0,48.0,403,402,404,403,429,359,371,378,382,392,3.0,,4.0,5.0,4.0,34867.35,34867.38,34867.37,34864.8,34864.81,35.72,35.72,35.72,35.72,35.72,-113.83,-113.83,-113.83,-113.83,-113.83,,,,,,5046.0,7444.0,9274.0,12328.0,15041.0,26945,23906,26772,29419,29637,106128,119522,134024,147778,177903,61880,54309,56855.0,59525,64279,23871,23243,22236,19333,19754,54129,56558,66375.0,61773.0,67795.0,20471,21376,22195,24561,28539,42525,51360,54650,64515,74219,15339.0,11250.0,13263.0,11542.0,10286.0,49498,51683,53870,49726,54134,18410.0,19797.0,18314.0,17970.0,18759.0,412222,435152,454372,461883,472191,10942.0,13875.0,14667.0,13644.0,17838.0,111761,115608,132679,130050,157018,43946,48033,51572,54631,61270,76.0,,229.0,309.0,141.0,0.03,0.02,0.02,0.03,0.03,205,206,208,211,211,1.95,2.02,2.07,2.09,2.06
0.0,4001,Apache County,11.0,23.0,13.0,8.0,11.0,120.0,145.0,98.0,92.0,42.0,0,463,424,448,417,108,144,143,200,153,50,58,59.0,56,46,84,83,71,66,62,74,77,78.0,72.0,78.0,36,45,28,25,44,118,82,68,76,83,,,,,,112,125,121,130,106,279.0,287.0,260.0,268.0,246.0,2369,2387,2390,2429,2304,1.0,1.0,7.0,9.0,12.0,879,939,906,860,711,180,205,188,172,170,,,,,,6.0,7.0,4.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0,7,7,7,7,6,29,35,29,31,28,13,13,13.0,12,12,9,9,9,9,9,13,13,15.0,15.0,15.0,13,14,16,13,12,28,28,30,28,35,,,,,,17,16,15,15,15,8.0,8.0,8.0,7.0,6.0,72,71,74,72,69,3.0,4.0,4.0,4.0,3.0,58,59,59,60,58,47,44,37,36,36,,,,,,29057.03,29057.07,29057.33,29058.03,29057.99,35.21,35.21,35.21,35.21,35.21,-109.48,-109.48,-109.48,-109.48,-109.48,754.0,531.0,365.0,443.0,454.0,7071.0,7500.0,5762.0,4026.0,4445.0,0,42765,43728,43326,44251,3417,4936,4466,4940,5071,1702,2097,2273.0,2337,2357,3836,3832,3579,3138,3570,2249,2736,2695.0,2914.0,2519.0,728,715,661,739,934,4113,2419,2405,2715,3214,,,,,,4290,5431,4620,4693,5141,8516.0,8998.0,9893.0,10675.0,11584.0,113664,117648,124694,131371,131676,79.0,95.0,183.0,184.0,326.0,15054,16404,16014,12821,15802,4218,4770,4439,4481,4827,,,,,,0.0,0.0,0.0,0.0,0.0,72,72,72,72,66,0.0,0.0,0.0,0.0,0.0
1.0,4005,Coconino County,25.0,25.0,23.0,20.0,37.0,29.0,33.0,28.0,37.0,23.0,225,233,224,212,220,2389,2469,2613,2802,2992,921,920,958.0,923,894,945,1009,978,970,1101,835,972,925.0,875.0,936.0,869,919,884,894,839,1611,1841,1800,1795,1725,540.0,523.0,453.0,452.0,414.0,1524,1569,1660,1635,1443,699.0,736.0,759.0,779.0,660.0,9237,9551,9660,9441,9101,2094.0,1894.0,1968.0,1653.0,1434.0,14973,15982,16469,15455,12277,1849,1850,1979,2092,1949,4.0,3.0,,2.0,,10.0,9.0,11.0,10.0,13.0,6.0,7.0,6.0,6.0,6.0,18,17,17,17,17,353,351,353,355,377,107,100,91.0,92,94,51,56,53,53,54,162,161,162.0,156.0,157.0,222,232,241,256,281,355,361,353,352,369,12.0,11.0,9.0,9.0,8.0,169,174,176,189,192,38.0,40.0,42.0,44.0,46.0,424,427,422,426,419,111.0,117.0,118.0,111.0,117.0,600,609,601,598,610,333,335,340,353,356,4.0,7.0,,3.0,,48335.59,48335.13,48337.66,48334.55,48336.64,35.94,35.94,35.94,35.94,35.94,-111.69,-111.69,-111.69,-111.69,-111.69,1009.0,1230.0,1068.0,1261.0,1461.0,3837.0,3956.0,3272.0,3219.0,3786.0,19567,19306,19233,20110,20573,98387,107637,118356,128683,149700,44179,45981,48132.0,49261,49052,42065,50468,53804,52442,75538,54416,62354,65353.0,66595.0,78387.0,30925,48996,34976,34788,42776,77471,85574,90860,91471,103853,38310.0,40688.0,39877.0,42261.0,40804.0,45121,45926,50398,48253,53147,21246.0,22492.0,23592.0,23618.0,23503.0,487861,518065,538368,546295,546192,48925.0,49136.0,53792.0,48831.0,55770.0,329640,358412,384594,305984,363704,51939,54418,61192,63690,70154,57.0,97.0,,34.0,,0.03,0.03,0.03,0.03,0.03,139,140,141,142,145,3.12,2.91,3.37,3.19,3.13
1.0,4025,Yavapai County,61.0,61.0,65.0,140.0,129.0,967.0,862.0,892.0,909.0,1123.0,317,302,312,299,301,4739,5379,5470,5665,5933,1453,1573,1580.0,1619,1526,940,844,730,686,613,1173,1193,1136.0,1154.0,1122.0,1049,1139,1029,1141,1177,2010,1926,1918,2030,2157,340.0,284.0,265.0,358.0,371.0,2326,2194,2131,2253,2264,2327.0,2465.0,2593.0,2472.0,1957.0,13935,13972,13859,13577,13600,1192.0,1134.0,1176.0,1097.0,971.0,9828,10672,10287,10334,9761,2587,2778,2838,2839,2865,5.0,22.0,4.0,4.0,22.0,9.0,10.0,9.0,9.0,10.0,18.0,19.0,20.0,19.0,19.0,29,29,31,28,28,802,824,837,868,936,159,165,168.0,160,159,87,94,83,85,88,310,295,290.0,292.0,299.0,407,433,441,487,530,571,566,569,602,600,19.0,20.0,20.0,18.0,18.0,336,337,323,339,358,89.0,86.0,94.0,89.0,90.0,791,800,793,786,810,99.0,107.0,110.0,110.0,110.0,578,584,565,575,592,530,511,515,515,524,4.0,8.0,8.0,9.0,5.0,21050.57,21051.04,21048.71,21048.55,21048.38,34.57,34.57,34.57,34.57,34.57,-112.55,-112.55,-112.55,-112.55,-112.55,1526.0,1513.0,1854.0,3602.0,3327.0,51190.0,54153.0,57490.0,59032.0,92486.0,23886,24254,24029,25036,24941,204047,228208,248438,276788,296581,75372,77694,77842.0,84328,90904,32984,33433,27419,26819,25233,66350,69597,71032.0,75639.0,81223.0,42380,43576,43545,48083,57393,89861,85922,91308,99073,111956,14620.0,14204.0,14455.0,17324.0,21296.0,64272,66074,68458,74487,83988,69690.0,69967.0,75273.0,80228.0,82353.0,594451,621314,638935,663382,690290,23244.0,22345.0,24709.0,21026.0,28223.0,195907,224741,232136,217229,263160,69520,80878,84912,87735,97624,113.0,431.0,112.0,219.0,480.0,0.03,0.05,0.06,0.04,0.05,221,225,228,232,234,2.17,1.96,1.94,2.05,2.07
