target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,8095,Phillips County,11.0,12.0,14.0,23.0,27.0,,,,,,,,,,,32.0,26.0,26.0,49.0,32.0,96.0,216.0,230.0,198.0,186.0,34.0,27.0,30.0,30.0,28.0,56.0,61.0,59.0,59.0,60.0,,,,2.0,4.0,20.0,15.0,27.0,39.0,45.0,,,,,,,,,,,,,,,,282.0,289.0,292.0,303.0,293.0,,,,,,104.0,76.0,79.0,71.0,65.0,47.0,42.0,44.0,33.0,49.0,,,,,,3.0,3.0,3.0,3.0,5.0,,,,,,,,,,,15.0,13.0,15.0,12.0,13.0,13.0,13.0,13.0,13.0,12.0,5.0,4.0,5.0,5.0,6.0,12.0,14.0,13.0,13.0,13.0,,,,4.0,3.0,10.0,9.0,10.0,12.0,12.0,,,,,,,,,,,,,,,,9.0,9.0,10.0,10.0,11.0,,,,,,15.0,14.0,14.0,11.0,10.0,19.0,18.0,17.0,15.0,20.0,,,,,,1781.94,1781.91,1781.91,1781.81,1781.91,40.59,40.59,40.59,40.59,40.59,-102.37,-102.37,-102.37,-102.37,-102.37,418.0,614.0,623.0,1065.0,1354.0,,,,,,,,,,,1020.0,876.0,871.0,1446.0,1103.0,5115.0,8879.0,8829.0,9244.0,9808.0,1422.0,983.0,1092.0,1308.0,1043.0,2529.0,2833.0,3008.0,3079.0,2958.0,,,,351.0,42.0,853.0,791.0,1152.0,1895.0,2205.0,,,,,,,,,,,,,,,,12493.0,13949.0,15031.0,15545.0,16769.0,,,,,,1060.0,1018.0,1172.0,1074.0,1112.0,997.0,993.0,1025.0,850.0,1105.0,,,,,,0.0,0.0,0.03,0.0,0.0,4,4,4,4,4,0.0,0.0,1.63,0.0,0.0
1.0,8007,Archuleta County,5.0,4.0,2.0,3.0,2.0,,,,,,0.0,,21.0,20.0,21.0,247.0,331.0,321.0,363.0,361.0,18.0,20.0,14.0,13.0,13.0,81.0,47.0,45.0,44.0,36.0,97.0,85.0,87.0,88.0,87.0,186.0,181.0,184.0,164.0,169.0,99.0,111.0,110.0,120.0,137.0,,,,,,148.0,155.0,152.0,132.0,134.0,31.0,30.0,42.0,42.0,39.0,293.0,537.0,576.0,607.0,605.0,446.0,447.0,472.0,448.0,319.0,715.0,696.0,585.0,626.0,837.0,190.0,210.0,223.0,217.0,205.0,,,,,,4.0,4.0,4.0,4.0,5.0,,,,,,3.0,,3.0,3.0,3.0,96.0,95.0,94.0,95.0,103.0,7.0,7.0,5.0,4.0,5.0,14.0,11.0,8.0,9.0,10.0,20.0,21.0,22.0,21.0,23.0,40.0,40.0,42.0,42.0,52.0,44.0,44.0,48.0,47.0,44.0,,,,,,26.0,26.0,26.0,27.0,27.0,4.0,4.0,4.0,3.0,5.0,35.0,30.0,30.0,31.0,29.0,18.0,18.0,16.0,16.0,21.0,53.0,55.0,63.0,58.0,66.0,43.0,40.0,42.0,46.0,44.0,,,,,,3509.36,3509.36,3509.36,3510.45,3509.4,37.2,37.2,37.2,37.2,37.2,-107.08,-107.08,-107.08,-107.08,-107.08,428.0,411.0,371.0,476.0,460.0,,,,,,0.0,,2103.0,2167.0,2149.0,10788.0,14095.0,14323.0,14485.0,15810.0,1087.0,744.0,666.0,1058.0,832.0,2989.0,1722.0,1607.0,1532.0,1296.0,4851.0,4825.0,4861.0,5301.0,5727.0,6964.0,6502.0,6474.0,6043.0,8522.0,4730.0,4798.0,4849.0,5820.0,6214.0,,,,,,3135.0,4036.0,4720.0,4885.0,5772.0,275.0,459.0,688.0,832.0,1075.0,8282.0,25871.0,27845.0,29407.0,30957.0,6199.0,6969.0,7183.0,6611.0,7602.0,14411.0,13549.0,13276.0,14944.0,23205.0,5339.0,5717.0,6084.0,5948.0,6297.0,,,,,,0.0,0.0,0.0,0.0,0.0,13,13,13,14,13,0.0,0.0,0.0,0.0,0.0
1.0,8031,Denver County,132.0,145.0,127.0,238.0,295.0,3743.0,4510.0,5313.0,5618.0,4328.0,3343.0,3080.0,2517.0,2303.0,2433.0,18638.0,19856.0,19770.0,19734.0,18241.0,23545.0,24241.0,24498.0,23392.0,21863.0,15971.0,16899.0,18146.0,17752.0,18162.0,25346.0,26388.0,27428.0,29136.0,28499.0,11130.0,11785.0,11849.0,13074.0,12577.0,44482.0,47017.0,49355.0,53629.0,55750.0,18153.0,18014.0,19791.0,18960.0,14407.0,44680.0,44362.0,43829.0,41086.0,39598.0,17453.0,17839.0,18194.0,18458.0,17042.0,55805.0,56722.0,56741.0,57766.0,59008.0,11330.0,11900.0,12264.0,12724.0,7167.0,56221.0,58298.0,58853.0,58033.0,40545.0,20106.0,19733.0,19695.0,19720.0,16569.0,24.0,37.0,60.0,49.0,13.0,9.0,10.0,9.0,11.0,13.0,235.0,237.0,243.0,222.0,205.0,30.0,34.0,32.0,37.0,40.0,1502.0,1557.0,1580.0,1587.0,1620.0,1356.0,1341.0,1347.0,1278.0,1275.0,663.0,689.0,726.0,738.0,745.0,1661.0,1654.0,1713.0,1728.0,1763.0,2005.0,2104.0,2181.0,2291.0,2399.0,5017.0,5153.0,5291.0,5380.0,5490.0,292.0,289.0,288.0,284.0,286.0,1347.0,1331.0,1370.0,1369.0,1354.0,460.0,469.0,466.0,479.0,527.0,2329.0,2397.0,2412.0,2512.0,2609.0,474.0,489.0,498.0,486.0,531.0,2344.0,2364.0,2447.0,2411.0,2433.0,2246.0,2239.0,2266.0,2299.0,2273.0,16.0,35.0,24.0,40.0,22.0,401.26,401.24,401.27,400.66,400.7,39.74,39.74,39.74,39.74,39.74,-104.98,-104.98,-104.98,-104.98,-104.98,3671.0,3711.0,4243.0,6460.0,7906.0,597127.0,711889.0,888478.0,875372.0,735992.0,283797.0,270263.0,293824.0,296606.0,342106.0,1249574.0,1269940.0,1379743.0,1340582.0,1412384.0,1619613.0,1672348.0,1753130.0,1612743.0,1805187.0,1833077.0,1842163.0,2127097.0,2176418.0,3242491.0,3158648.0,3355661.0,3756257.0,4022527.0,4179753.0,749534.0,826470.0,825224.0,872744.0,1050611.0,4586117.0,4835507.0,5328703.0,5928956.0,7171301.0,2369353.0,2484748.0,2888643.0,3010401.0,2427217.0,1525866.0,1520672.0,1581316.0,1522980.0,1752371.0,583283.0,614896.0,676428.0,736230.0,834961.0,3225408.0,3326589.0,3461061.0,3569756.0,3983452.0,671451.0,747982.0,790031.0,582099.0,705379.0,1349925.0,1460337.0,1570061.0,1132467.0,1456933.0,723999.0,746865.0,785802.0,741082.0,800316.0,760.0,2142.0,3450.0,2938.0,973.0,45.78,45.62,47.32,49.28,48.32,678,693,706,716,707,3.79,3.86,3.89,4.1,4.13
1.0,8061,Kiowa County,,,,,,,,,,,,,,,,,,,,,15.0,13.0,14.0,15.0,13.0,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,95.0,114.0,126.0,115.0,,,,,,0.0,24.0,20.0,25.0,,8.0,10.0,4.0,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.0,4.0,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,4.0,4.0,4.0,,,,,,3.0,3.0,3.0,4.0,,4.0,3.0,3.0,3.0,3.0,,,,,,4624.36,4624.58,4624.3,4624.05,4623.95,37.55,37.55,37.55,37.55,37.55,-99.3,-99.3,-99.3,-99.3,-99.3,,,,,,,,,,,,,,,,,,,,,808.0,796.0,922.0,689.0,793.0,,,,,,,,,,3079.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3532.0,3691.0,4295.0,4389.0,,,,,,0.0,523.0,608.0,921.0,,95.0,103.0,104.0,124.0,159.0,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0
0.0,8055,Huerfano County,,,,,,,,,,,,,,,,52.0,58.0,69.0,139.0,61.0,8.0,5.0,5.0,3.0,3.0,19.0,25.0,26.0,25.0,29.0,19.0,19.0,19.0,17.0,20.0,23.0,22.0,34.0,39.0,23.0,39.0,38.0,43.0,28.0,37.0,,,,,,,,,,,,,,,20.0,453.0,431.0,395.0,398.0,403.0,10.0,7.0,6.0,4.0,14.0,172.0,151.0,137.0,162.0,149.0,33.0,38.0,24.0,28.0,33.0,,,,,,,,,,,,,,,,,,,,,19.0,19.0,20.0,23.0,18.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,6.0,7.0,8.0,8.0,6.0,10.0,11.0,8.0,12.0,10.0,13.0,14.0,13.0,11.0,13.0,,,,,,,,,,,,,,,3.0,15.0,15.0,14.0,11.0,13.0,5.0,6.0,5.0,5.0,6.0,22.0,22.0,23.0,23.0,25.0,12.0,10.0,10.0,11.0,12.0,,,,,,4126.63,4126.62,4126.57,4126.55,4126.57,37.7,37.7,37.7,37.7,37.7,-105.02,-105.02,-105.02,-105.02,-105.02,,,,,,,,,,,,,,,,2517.0,2643.0,5428.0,7258.0,3371.0,82.0,76.0,92.0,80.0,116.0,645.0,872.0,856.0,961.0,1064.0,613.0,685.0,611.0,682.0,669.0,448.0,702.0,1063.0,1948.0,1109.0,1709.0,1754.0,1913.0,1696.0,1798.0,,,,,,,,,,,,,,,567.0,17103.0,17884.0,17551.0,17974.0,19116.0,367.0,338.0,229.0,168.0,162.0,2755.0,2699.0,2937.0,2954.0,3476.0,668.0,631.0,546.0,609.0,615.0,,,,,,0.0,0.0,0.0,0.0,0.0,6,7,7,7,7,0.0,0.0,0.0,0.0,0.0
1.0,8009,Baca County,5.0,6.0,4.0,6.0,4.0,0.0,,,,,,,,,,29.0,25.0,27.0,31.0,29.0,50.0,49.0,52.0,58.0,54.0,,,,,,22.0,23.0,21.0,19.0,18.0,5.0,,4.0,,3.0,12.0,18.0,6.0,9.0,8.0,,,,,,,,,,7.0,,,,,,0.0,213.0,226.0,240.0,234.0,,,,,,25.0,31.0,26.0,21.0,18.0,22.0,30.0,20.0,23.0,22.0,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,6.0,6.0,7.0,11.0,7.0,13.0,15.0,15.0,15.0,14.0,,,,,,5.0,5.0,4.0,5.0,5.0,3.0,,3.0,,3.0,4.0,4.0,3.0,3.0,3.0,,,,,,,,,,3.0,,,,,,5.0,4.0,7.0,5.0,4.0,,,,,,4.0,6.0,4.0,4.0,3.0,12.0,12.0,11.0,12.0,13.0,,,,,,6622.28,6622.26,6622.28,6623.04,6623.73,37.31,37.31,37.31,37.31,37.31,-102.58,-102.58,-102.58,-102.58,-102.58,146.0,128.0,140.0,128.0,42.0,0.0,,,,,,,,,,904.0,927.0,942.0,1267.0,1014.0,2153.0,2354.0,2296.0,2587.0,2427.0,,,,,,822.0,809.0,800.0,842.0,794.0,26.0,,26.0,,29.0,455.0,716.0,154.0,212.0,239.0,,,,,,,,,,165.0,,,,,,0.0,8145.0,8545.0,9642.0,9498.0,,,,,,244.0,344.0,300.0,245.0,249.0,430.0,534.0,372.0,397.0,434.0,,,,,,0.0,0.0,0.0,0.0,0.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
1.0,8015,Chaffee County,2.0,,,4.0,,,,,,,69.0,65.0,67.0,68.0,69.0,594.0,684.0,636.0,701.0,692.0,138.0,124.0,121.0,166.0,167.0,90.0,88.0,94.0,82.0,77.0,266.0,205.0,209.0,211.0,224.0,164.0,169.0,186.0,215.0,234.0,204.0,209.0,228.0,214.0,245.0,,,,,,112.0,115.0,89.0,88.0,103.0,89.0,73.0,117.0,133.0,143.0,1002.0,1032.0,1007.0,977.0,918.0,443.0,410.0,477.0,485.0,507.0,1394.0,1425.0,1336.0,1359.0,1263.0,277.0,271.0,266.0,275.0,253.0,,,,,,4.0,,,3.0,,,,,,,3.0,3.0,3.0,3.0,3.0,155.0,164.0,161.0,159.0,187.0,20.0,24.0,21.0,21.0,21.0,13.0,14.0,13.0,14.0,16.0,44.0,45.0,46.0,49.0,47.0,82.0,87.0,87.0,85.0,96.0,105.0,103.0,112.0,105.0,113.0,,,,,,34.0,36.0,32.0,30.0,33.0,10.0,10.0,12.0,10.0,14.0,77.0,79.0,75.0,78.0,81.0,33.0,33.0,36.0,37.0,36.0,113.0,122.0,131.0,125.0,130.0,73.0,81.0,75.0,75.0,77.0,,,,,,2629.68,2629.39,2629.77,2629.54,2629.38,38.74,38.74,38.74,38.74,38.74,-106.18,-106.18,-106.18,-106.18,-106.18,322.0,,,349.0,,,,,,,5470.0,5871.0,6006.0,6166.0,6514.0,32930.0,35818.0,28228.0,38317.0,45072.0,4383.0,4450.0,3977.0,7132.0,7135.0,2882.0,2843.0,2804.0,2774.0,2828.0,16987.0,11216.0,12037.0,13100.0,16442.0,4873.0,6694.0,7119.0,7972.0,10422.0,8534.0,9492.0,9851.0,10958.0,12333.0,,,,,,2728.0,2710.0,2792.0,3367.0,3831.0,1698.0,1796.0,2122.0,2250.0,2914.0,48295.0,49340.0,48596.0,50683.0,53755.0,8422.0,8482.0,9312.0,8659.0,11083.0,30259.0,31479.0,32967.0,30479.0,39744.0,7300.0,7530.0,8176.0,8458.0,8850.0,,,,,,0.03,0.03,0.03,0.0,0.0,19,19,20,20,19,1.55,1.64,1.62,0.0,0.0
1.0,8047,Gilpin County,,,,,,,,,,,,,,,,43.0,40.0,37.0,54.0,65.0,,,3.0,7.0,7.0,,2.0,4.0,3.0,,,,,,,12.0,12.0,11.0,8.0,10.0,32.0,40.0,49.0,20.0,24.0,,,,,,19.0,25.0,31.0,22.0,32.0,,,,,,17.0,19.0,20.0,,22.0,1844.0,1890.0,2054.0,1539.0,2063.0,2771.0,2523.0,2493.0,2169.0,1566.0,61.0,50.0,42.0,41.0,28.0,,,,,,,,,,,,,,,,,,,,,16.0,19.0,20.0,22.0,25.0,,,3.0,3.0,4.0,,3.0,3.0,3.0,,,,,,,7.0,7.0,7.0,6.0,5.0,21.0,21.0,19.0,21.0,21.0,,,,,,12.0,12.0,13.0,11.0,10.0,,,,,,4.0,4.0,3.0,,5.0,19.0,18.0,22.0,21.0,18.0,13.0,13.0,13.0,12.0,14.0,10.0,10.0,10.0,9.0,8.0,,,,,,389.2,389.21,389.58,389.61,389.58,39.86,39.86,39.86,39.86,39.86,-105.5,-105.5,-105.5,-105.5,-105.5,,,,,,,,,,,,,,,,1691.0,1702.0,1907.0,2503.0,2956.0,,,70.0,244.0,294.0,,83.0,76.0,23.0,,,,,,,629.0,685.0,615.0,696.0,784.0,1980.0,2236.0,2302.0,2477.0,1741.0,,,,,,1956.0,861.0,984.0,1193.0,1665.0,,,,,,547.0,517.0,515.0,,492.0,68454.0,67865.0,76144.0,51462.0,91182.0,103816.0,107169.0,94539.0,76520.0,74841.0,1108.0,1075.0,1093.0,606.0,832.0,,,,,,0.0,0.0,0.0,0.0,0.0,6,6,6,6,6,0.0,0.0,0.0,0.0,0.0
1.0,8063,Kit Carson County,34.0,33.0,35.0,34.0,37.0,39.0,28.0,32.0,30.0,25.0,48.0,47.0,52.0,43.0,36.0,78.0,78.0,97.0,134.0,140.0,278.0,259.0,275.0,278.0,289.0,44.0,44.0,44.0,43.0,49.0,109.0,111.0,115.0,103.0,120.0,38.0,37.0,20.0,23.0,26.0,37.0,48.0,45.0,31.0,40.0,,,,,,32.0,27.0,30.0,35.0,34.0,,,,,,314.0,310.0,319.0,332.0,325.0,2.0,2.0,2.0,2.0,3.0,312.0,302.0,272.0,289.0,284.0,79.0,78.0,75.0,73.0,88.0,,,,,,6.0,7.0,6.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,7.0,7.0,8.0,7.0,7.0,19.0,20.0,21.0,24.0,24.0,24.0,22.0,24.0,24.0,27.0,11.0,10.0,10.0,10.0,9.0,27.0,25.0,25.0,25.0,24.0,11.0,12.0,8.0,8.0,9.0,18.0,16.0,19.0,15.0,17.0,,,,,,9.0,8.0,7.0,10.0,8.0,,,,,,27.0,29.0,28.0,28.0,29.0,3.0,3.0,3.0,3.0,3.0,27.0,24.0,26.0,26.0,26.0,27.0,23.0,23.0,23.0,21.0,,,,,,5598.21,5598.03,5598.22,5598.77,5597.88,39.31,39.31,39.31,39.31,39.31,-102.62,-102.62,-102.62,-102.62,-102.62,1472.0,1537.0,1949.0,1468.0,1638.0,1582.0,1325.0,1170.0,783.0,1118.0,3862.0,3749.0,4201.0,3859.0,3731.0,3276.0,3452.0,5060.0,5637.0,7415.0,12141.0,10495.0,13060.0,13763.0,14927.0,907.0,929.0,900.0,1084.0,1171.0,5572.0,5686.0,5720.0,6543.0,6809.0,999.0,715.0,549.0,651.0,946.0,1271.0,1326.0,1328.0,1289.0,1403.0,,,,,,885.0,888.0,909.0,1159.0,942.0,,,,,,11759.0,12494.0,13132.0,14617.0,15429.0,87.0,94.0,94.0,70.0,98.0,4586.0,4755.0,5028.0,5239.0,5729.0,2608.0,2628.0,2742.0,2868.0,3198.0,,,,,,0.0,0.0,0.0,0.0,0.0,8,8,7,7,7,0.0,0.0,0.0,0.0,0.0
1.0,8045,Garfield County,20.0,22.0,23.0,20.0,14.0,619.0,674.0,658.0,563.0,535.0,187.0,194.0,202.0,194.0,199.0,3010.0,3195.0,3609.0,3071.0,3070.0,405.0,429.0,511.0,446.0,406.0,216.0,224.0,193.0,196.0,154.0,699.0,714.0,770.0,777.0,890.0,593.0,527.0,496.0,536.0,510.0,1083.0,1094.0,1106.0,1265.0,1206.0,71.0,61.0,58.0,62.0,80.0,1150.0,1160.0,1232.0,1373.0,1167.0,272.0,315.0,345.0,353.0,265.0,2980.0,3143.0,3083.0,3267.0,3179.0,356.0,370.0,431.0,463.0,476.0,3242.0,3281.0,3677.0,3836.0,3562.0,870.0,886.0,927.0,853.0,886.0,,,5.0,1.0,,8.0,9.0,8.0,7.0,6.0,50.0,50.0,48.0,47.0,41.0,13.0,13.0,15.0,13.0,12.0,516.0,524.0,528.0,537.0,567.0,64.0,66.0,69.0,71.0,69.0,43.0,44.0,42.0,39.0,42.0,98.0,102.0,106.0,100.0,101.0,152.0,164.0,166.0,171.0,192.0,318.0,323.0,335.0,348.0,344.0,9.0,9.0,9.0,8.0,7.0,149.0,158.0,160.0,156.0,163.0,31.0,31.0,29.0,26.0,27.0,164.0,161.0,169.0,164.0,171.0,48.0,46.0,49.0,52.0,51.0,215.0,229.0,225.0,225.0,234.0,186.0,190.0,186.0,180.0,203.0,,,4.0,4.0,,7655.65,7654.83,7654.35,7655.0,7654.4,39.55,39.55,39.55,39.55,39.55,-107.88,-107.88,-107.88,-107.88,-107.88,557.0,804.0,573.0,550.0,321.0,57861.0,59222.0,55121.0,42591.0,51835.0,18656.0,20328.0,21039.0,20879.0,21786.0,169320.0,210241.0,222530.0,184146.0,197274.0,23035.0,26792.0,28877.0,26875.0,25505.0,8989.0,9587.0,8972.0,8780.0,7979.0,45880.0,57222.0,56794.0,58576.0,74628.0,25644.0,25690.0,25263.0,23720.0,27173.0,66909.0,67620.0,74603.0,87259.0,82959.0,3493.0,3858.0,3864.0,4040.0,5140.0,58725.0,60722.0,62769.0,69859.0,65878.0,8709.0,9258.0,10228.0,9619.0,10398.0,184731.0,189759.0,202119.0,211437.0,226599.0,10253.0,9989.0,12179.0,11347.0,17665.0,74384.0,79624.0,92638.0,84360.0,99774.0,29657.0,32020.0,33394.0,31089.0,36606.0,,,91.0,74.0,,0.04,0.03,0.05,0.06,0.06,58,59,59,60,61,2.12,2.07,1.86,1.9,1.93
