target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,20181,Sherman County,,,,,5.0,,,,,,,,,,,53.0,66.0,60.0,53.0,50.0,245.0,247.0,253.0,249.0,231.0,50.0,57.0,53.0,53.0,52.0,93,91,94,88,91,6.0,9.0,12.0,14.0,11.0,57.0,53.0,51.0,41.0,46.0,,,,,,28.0,36.0,46.0,43.0,23.0,,,12.0,,,387.0,402.0,407.0,371.0,359.0,,,,,,318.0,341.0,376.0,378.0,311.0,105,107,87,83,87,,,,,,,,,,3.0,,,,,,,,,,,20.0,19.0,19.0,23.0,19.0,25.0,24.0,24.0,23.0,23.0,8.0,6.0,7.0,7.0,7.0,19,19,20,19,19,4.0,5.0,7.0,8.0,10.0,17.0,16.0,17.0,17.0,17.0,,,,,,7.0,9.0,11.0,10.0,10.0,,,3.0,,,31.0,30.0,31.0,29.0,31.0,,,,,,26.0,26.0,29.0,29.0,30.0,32,31,30,28,27,,,,,,2735.51,2735.5,2735.51,2735.77,2735.8,36.25,36.25,36.25,36.25,36.25,-101.89,-101.89,-101.89,-101.89,-101.89,,,,,143.0,,,,,,,,,,,1958.0,2261.0,1957.0,1985.0,1945.0,13834.0,14408.0,15142.0,15378.0,16088.0,1460.0,1564.0,1429.0,1552.0,1859.0,4818,5117,5183,5890,6255,220.0,357.0,419.0,435.0,531.0,1484.0,1409.0,1343.0,1498.0,1732.0,,,,,,829.0,879.0,1422.0,1038.0,923.0,,,58.0,,,15216.0,16922.0,15601.0,12080.0,12658.0,,,,,,4162.0,4675.0,4945.0,4682.0,5295.0,3174,3216,2775,2709,2890,,,,,,0.0,0.0,0.0,0.0,0.0,6,6,6,6,6,0.0,0.0,0.0,0.0,0.0
1.0,20193,Thomas County,,,,,,0.0,4.0,,,,,,36.0,44.0,34.0,136.0,124.0,118.0,140.0,132.0,354.0,349.0,350.0,314.0,336.0,77.0,78.0,84.0,77.0,64.0,122,144,146,155,145,29.0,30.0,29.0,28.0,24.0,58.0,63.0,75.0,82.0,82.0,,,,,,49.0,56.0,52.0,47.0,47.0,,,,,,399.0,481.0,518.0,538.0,536.0,,,,,,476.0,435.0,416.0,394.0,357.0,153,154,154,162,154,,,,,,,,,,,3.0,3.0,,,,,,3.0,3.0,3.0,24.0,23.0,20.0,26.0,27.0,33.0,33.0,31.0,29.0,30.0,13.0,12.0,12.0,11.0,13.0,20,20,23,26,22,9.0,9.0,9.0,10.0,6.0,25.0,25.0,24.0,27.0,24.0,,,,,,14.0,14.0,12.0,14.0,14.0,,,,,,24.0,25.0,24.0,23.0,26.0,,,,,,30.0,27.0,26.0,27.0,29.0,40,38,37,40,39,,,,,,2783.87,2783.86,2783.86,2783.8,2783.84,30.87,30.87,30.87,30.87,30.87,-83.95,-83.95,-83.95,-83.95,-83.95,,,,,,0.0,178.0,,,,,,3634.0,5524.0,3245.0,4868.0,4807.0,4843.0,5717.0,6037.0,18000.0,17890.0,18649.0,18226.0,19480.0,3651.0,3701.0,3714.0,3873.0,3522.0,7358,7748,8955,9105,9844,718.0,892.0,893.0,832.0,676.0,2318.0,2339.0,3083.0,3162.0,2927.0,,,,,,1958.0,2006.0,1933.0,1974.0,2084.0,,,,,,17601.0,22066.0,19199.0,27827.0,29775.0,,,,,,5418.0,6088.0,5899.0,5194.0,5826.0,3474,3441,3527,3617,3710,,,,,,0.02,0.02,0.02,0.02,0.02,8,8,8,8,8,2.15,2.07,2.46,2.1,1.78
1.0,20119,Meade County,,,3.0,2.0,3.0,25.0,25.0,28.0,22.0,20.0,,,,,,109.0,130.0,143.0,133.0,134.0,99.0,106.0,97.0,111.0,87.0,0.0,,,,,67,60,81,73,73,,,,,,23.0,26.0,27.0,30.0,30.0,,,,,,3.0,1.0,,1.0,,,,,,,0.0,196.0,178.0,163.0,162.0,,,,,,45.0,45.0,45.0,28.0,35.0,54,54,61,47,55,,,,,,,,3.0,4.0,4.0,7.0,7.0,6.0,6.0,5.0,,,,,,12.0,13.0,13.0,13.0,14.0,15.0,15.0,14.0,14.0,8.0,3.0,,,,,8,8,8,8,8,,,,,,7.0,7.0,7.0,7.0,8.0,,,,,,3.0,3.0,,3.0,,,,,,,12.0,10.0,10.0,10.0,12.0,,,,,,8.0,6.0,5.0,8.0,7.0,22,22,22,21,23,,,,,,2537.05,2537.04,2537.04,2536.44,2536.61,37.21,37.21,37.21,37.21,37.21,-100.4,-100.4,-100.4,-100.4,-100.4,,,116.0,134.0,231.0,702.0,671.0,739.0,540.0,477.0,,,,,,4373.0,5018.0,5718.0,5898.0,6475.0,5303.0,5387.0,3728.0,4640.0,4686.0,0.0,,,,,3223,3238,3757,3976,4039,,,,,,710.0,854.0,918.0,976.0,1028.0,,,,,,75.0,57.0,,76.0,,,,,,,0.0,7258.0,6918.0,6843.0,7260.0,,,,,,434.0,403.0,217.0,236.0,394.0,1075,1177,1102,1023,1154,,,,,,0.0,0.0,0.0,0.0,0.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
1.0,20125,Montgomery County,,,,,,52.0,24.0,18.0,16.0,20.0,,,,,,560.0,573.0,407.0,414.0,440.0,318.0,304.0,312.0,253.0,274.0,102.0,95.0,87.0,73.0,61.0,330,326,327,339,349,57.0,63.0,54.0,53.0,54.0,250.0,221.0,204.0,202.0,213.0,0.0,56.0,57.0,56.0,57.0,499.0,473.0,507.0,343.0,349.0,,,,,,2926.0,2793.0,2789.0,2865.0,2870.0,39.0,52.0,32.0,32.0,37.0,1041.0,1010.0,1043.0,1113.0,985.0,343,345,340,366,335,,,,,,,,,,,15.0,13.0,10.0,10.0,10.0,,,,,,52.0,48.0,44.0,41.0,42.0,36.0,37.0,37.0,33.0,36.0,13.0,13.0,12.0,10.0,10.0,63,62,63,64,60,28.0,25.0,25.0,25.0,26.0,46.0,44.0,47.0,44.0,43.0,3.0,4.0,4.0,3.0,3.0,32.0,29.0,29.0,26.0,25.0,,,,,,100.0,101.0,99.0,98.0,98.0,13.0,13.0,11.0,11.0,12.0,73.0,74.0,74.0,73.0,71.0,88,85,90,93,99,,,,,,1687.45,1687.47,1687.48,1687.53,1687.49,30.3,30.3,30.3,30.3,30.3,-95.51,-95.51,-95.51,-95.51,-95.51,,,,,,1922.0,657.0,644.0,518.0,621.0,,,,,,31665.0,33327.0,20644.0,21456.0,22973.0,13425.0,14415.0,13583.0,13196.0,13084.0,3045.0,3308.0,3067.0,2686.0,2357.0,13462,14449,13680,14191,18493,1266.0,1173.0,1166.0,1342.0,1307.0,8352.0,8228.0,8154.0,8182.0,8418.0,0.0,4070.0,3571.0,3598.0,3625.0,19708.0,19058.0,19092.0,12199.0,12811.0,,,,,,76057.0,78598.0,78117.0,80665.0,77362.0,756.0,762.0,485.0,474.0,576.0,12043.0,12355.0,12675.0,12539.0,13760.0,5869,5828,6115,6134,6495,,,,,,0.03,0.06,0.03,0.0,0.0,33,33,33,32,32,2.02,1.79,1.71,0.0,0.0
0.0,20127,Morris County,,,,,,,,,,,,,,,,48.0,50.0,60.0,51.0,65.0,43.0,35.0,42.0,34.0,33.0,0.0,115.0,120.0,130.0,154.0,56,52,47,49,45,,,,,,51.0,58.0,42.0,48.0,50.0,,,,,,14.0,,,18.0,19.0,,,,,,281.0,290.0,296.0,311.0,299.0,14.0,17.0,15.0,9.0,12.0,134.0,135.0,134.0,114.0,122.0,55,58,51,48,48,,,,,,,,,,,,,,,,,,,,,7.0,11.0,12.0,12.0,13.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,10,8,8,8,7,,,,,,10.0,11.0,9.0,11.0,12.0,,,,,,3.0,,,4.0,5.0,,,,,,17.0,17.0,15.0,14.0,14.0,4.0,4.0,4.0,4.0,4.0,13.0,11.0,14.0,14.0,12.0,19,20,20,18,18,,,,,,1820.35,1820.26,1820.36,1820.38,1820.36,33.07,33.07,33.07,33.07,33.07,-94.74,-94.74,-94.74,-94.74,-94.74,,,,,,,,,,,,,,,,1701.0,1814.0,1835.0,2105.0,2121.0,838.0,734.0,801.0,696.0,627.0,0.0,7315.0,8612.0,10156.0,10809.0,2496,2439,2519,2429,2423,,,,,,1647.0,1555.0,1520.0,1539.0,1995.0,,,,,,160.0,,,382.0,304.0,,,,,,8659.0,9672.0,11096.0,11701.0,11594.0,147.0,155.0,162.0,171.0,185.0,1736.0,1742.0,1755.0,1398.0,1790.0,901,980,931,863,946,,,,,,0.0,0.0,0.0,0.0,0.0,6,6,6,6,5,0.0,0.0,0.0,0.0,0.0
1.0,20151,Pratt County,11.0,11.0,,,9.0,208.0,244.0,262.0,218.0,180.0,,,,,,201.0,202.0,180.0,164.0,153.0,282.0,295.0,260.0,264.0,284.0,39.0,35.0,42.0,27.0,26.0,155,158,129,140,141,29.0,24.0,30.0,25.0,19.0,112.0,112.0,107.0,107.0,105.0,61.0,56.0,42.0,69.0,67.0,32.0,31.0,36.0,43.0,38.0,,,,,,658.0,652.0,656.0,663.0,644.0,36.0,20.0,20.0,28.0,34.0,474.0,490.0,421.0,575.0,511.0,163,140,153,137,142,,,,,,4.0,4.0,,,4.0,29.0,29.0,27.0,28.0,25.0,,,,,,35.0,31.0,31.0,32.0,36.0,24.0,23.0,22.0,23.0,24.0,7.0,8.0,8.0,7.0,8.0,26,25,24,25,23,12.0,14.0,13.0,13.0,11.0,30.0,27.0,28.0,28.0,25.0,5.0,4.0,4.0,4.0,4.0,11.0,8.0,9.0,13.0,13.0,,,,,,36.0,35.0,37.0,35.0,34.0,7.0,6.0,7.0,7.0,7.0,40.0,38.0,36.0,34.0,35.0,47,47,45,42,45,,,,,,1905.6,1905.58,1905.58,1905.56,1905.58,37.63,37.63,37.63,37.63,37.63,-98.75,-98.75,-98.75,-98.75,-98.75,529.0,1064.0,,,675.0,11169.0,13425.0,15003.0,9036.0,11757.0,,,,,,9768.0,9121.0,9135.0,9067.0,8269.0,15575.0,16262.0,14160.0,15893.0,16810.0,1162.0,1238.0,1181.0,861.0,787.0,9385,8837,8225,8636,9000,587.0,554.0,580.0,537.0,430.0,4608.0,4769.0,3901.0,4152.0,4488.0,4072.0,4257.0,4499.0,4563.0,4725.0,493.0,529.0,612.0,772.0,857.0,,,,,,35794.0,29938.0,30950.0,32237.0,35195.0,510.0,397.0,401.0,494.0,536.0,5137.0,5819.0,5380.0,7054.0,7509.0,3744,3809,3825,3787,4207,,,,,,0.03,0.0,0.0,0.0,0.03,10,10,9,9,9,1.55,0.0,0.0,0.0,1.54
0.0,20153,Rawlins County,,,,,,,,,,,,,,,,50.0,44.0,47.0,48.0,56.0,121.0,134.0,130.0,146.0,139.0,14.0,15.0,15.0,12.0,9.0,36,37,38,49,34,,,,,,17.0,14.0,11.0,15.0,12.0,,,,,,3.0,5.0,5.0,5.0,6.0,,,,,,181.0,181.0,181.0,188.0,193.0,,,,,,35.0,23.0,22.0,26.0,24.0,34,29,27,24,34,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,7.0,8.0,11.0,10.0,10.0,11.0,11.0,4.0,4.0,4.0,4.0,3.0,7,7,7,7,6,,,,,,9.0,8.0,8.0,6.0,7.0,,,,,,3.0,3.0,3.0,3.0,3.0,,,,,,10.0,10.0,10.0,11.0,11.0,,,,,,5.0,6.0,4.0,5.0,5.0,14,13,12,10,11,,,,,,2771.0,2771.01,2771.01,2770.01,2775.31,39.79,39.79,39.79,39.79,39.79,-101.1,-101.1,-101.1,-101.1,-101.1,,,,,,,,,,,,,,,,2074.0,1914.0,2192.0,2498.0,2741.0,8478.0,8535.0,9553.0,10184.0,11924.0,353.0,342.0,334.0,326.0,273.0,1657,1956,1825,2559,1627,,,,,,269.0,231.0,261.0,293.0,263.0,,,,,,115.0,117.0,120.0,122.0,131.0,,,,,,5727.0,5868.0,6078.0,6172.0,6712.0,,,,,,260.0,222.0,193.0,180.0,280.0,590,619,584,576,668,,,,,,0.0,0.0,0.0,0.0,0.0,3,3,3,2,3,0.0,0.0,0.0,0.0,0.0
1.0,20163,Rooks County,35.0,36.0,,,,63.0,77.0,69.0,54.0,53.0,0.0,8.0,8.0,8.0,7.0,77.0,89.0,63.0,53.0,61.0,174.0,147.0,165.0,132.0,137.0,18.0,18.0,13.0,10.0,13.0,119,64,64,67,65,8.0,,,,,45.0,46.0,48.0,46.0,48.0,,,,,,10.0,13.0,13.0,13.0,14.0,,,,,,290.0,286.0,281.0,298.0,260.0,11.0,13.0,14.0,12.0,16.0,66.0,64.0,60.0,53.0,51.0,87,84,107,103,115,,,,,,3.0,3.0,,,,13.0,15.0,16.0,15.0,15.0,3.0,3.0,3.0,3.0,3.0,19.0,18.0,17.0,15.0,15.0,19.0,17.0,19.0,16.0,17.0,5.0,5.0,5.0,4.0,5.0,11,9,10,10,11,3.0,,,,,11.0,10.0,10.0,10.0,10.0,,,,,,6.0,5.0,4.0,4.0,4.0,,,,,,13.0,12.0,13.0,12.0,13.0,3.0,3.0,3.0,3.0,3.0,12.0,12.0,11.0,10.0,12.0,21,23,23,21,22,,,,,,2318.76,2318.78,2318.79,2318.81,2318.82,39.35,39.35,39.35,39.35,39.35,-99.32,-99.32,-99.32,-99.32,-99.32,899.0,851.0,,,,2257.0,2665.0,2755.0,2326.0,2158.0,0.0,989.0,1009.0,1010.0,1038.0,2982.0,2692.0,2218.0,2078.0,2326.0,7703.0,7839.0,7433.0,7601.0,7691.0,669.0,594.0,414.0,342.0,519.0,3191,2687,2724,2872,2728,76.0,,,,,1849.0,1914.0,1807.0,2162.0,2334.0,,,,,,502.0,594.0,627.0,664.0,719.0,,,,,,9366.0,9499.0,9680.0,10979.0,11453.0,99.0,98.0,104.0,96.0,109.0,576.0,668.0,555.0,527.0,662.0,1420,1686,1938,1863,2126,,,,,,0.0,0.0,0.0,0.0,0.0,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0
1.0,20003,Anderson County,,,,,,23.0,27.0,29.0,31.0,30.0,,,,,,90.0,79.0,103.0,106.0,110.0,69.0,78.0,79.0,73.0,79.0,,,,,,95,93,102,104,105,0.0,8.0,6.0,,9.0,37.0,40.0,33.0,35.0,36.0,,,,,,4.0,5.0,4.0,3.0,4.0,,,,,,351.0,361.0,356.0,359.0,346.0,,,,,,135.0,132.0,159.0,146.0,161.0,52,60,63,63,69,,,,,,,,,,,7.0,8.0,8.0,6.0,5.0,,,,,,28.0,30.0,33.0,33.0,31.0,13.0,14.0,13.0,13.0,12.0,,,,,,17,17,17,17,18,3.0,4.0,3.0,,4.0,16.0,17.0,14.0,13.0,14.0,,,,,,4.0,3.0,4.0,4.0,4.0,,,,,,18.0,18.0,13.0,15.0,14.0,,,,,,16.0,14.0,15.0,11.0,13.0,18,18,18,17,17,,,,,,1511.96,1511.96,1511.95,1511.89,1511.96,31.78,31.78,31.78,31.78,31.78,-95.63,-95.63,-95.63,-95.63,-95.63,,,,,,1175.0,1457.0,1508.0,1577.0,1525.0,,,,,,2859.0,2967.0,3246.0,4166.0,4336.0,2623.0,2802.0,3288.0,3278.0,4147.0,,,,,,3390,3594,4173,4443,4722,0.0,164.0,165.0,,411.0,1058.0,1262.0,1445.0,1111.0,1227.0,,,,,,126.0,105.0,107.0,92.0,165.0,,,,,,12059.0,12898.0,13510.0,13636.0,15135.0,,,,,,1305.0,1302.0,1758.0,1649.0,2032.0,1031,1089,1155,1219,1355,,,,,,0.0,0.0,0.0,0.0,0.0,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0
1.0,20025,Clark County,,,,,,10.0,8.0,8.0,9.0,7.0,,,,,,,,,,,16.0,15.0,16.0,13.0,14.0,,,,,,36,33,34,34,31,,,,,,21.0,23.0,22.0,20.0,22.0,12.0,15.0,15.0,16.0,14.0,,,,,,,,,,,0.0,211.0,199.0,217.0,215.0,4.0,2.0,2.0,7.0,7.0,5.0,4.0,6.0,4.0,10.0,15,18,13,14,15,,,,,,,,,,,4.0,4.0,4.0,4.0,3.0,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,,,,,,5,5,5,5,5,,,,,,6.0,6.0,6.0,6.0,5.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,9.0,9.0,10.0,10.0,9.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,9,9,9,8,9,,,,,,2531.66,2531.69,2531.68,2531.79,2531.68,39.33,39.33,39.33,39.33,39.33,-87.78,-87.78,-87.78,-87.78,-87.78,,,,,,153.0,153.0,172.0,151.0,145.0,,,,,,,,,,,751.0,735.0,713.0,727.0,299.0,,,,,,1660,1741,1785,1849,1840,,,,,,1021.0,1009.0,988.0,1087.0,1134.0,642.0,612.0,624.0,590.0,632.0,,,,,,,,,,,0.0,8343.0,8452.0,8340.0,9600.0,103.0,114.0,141.0,129.0,127.0,53.0,52.0,70.0,64.0,172.0,237,257,297,266,286,,,,,,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0
