target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
0.0,25025,Suffolk County,26.0,26.0,31.0,29.0,40.0,,,,42.0,41.0,1879.0,1862.0,1779.0,1643,1342.0,11897,13417,13898,14942,13933,13155,13678,14110,14269,13764,23998,25034,25357,27380,27563,76774,75972,75348,73430,71752,13385,13134,13887,14902,13719,77140,78329,80249,88113,83730,21282.0,21839.0,24733.0,26525.0,25828.0,29148,27042,28531,29016,25311,60826,59593,61927,61739,54931,138618,139661,143203,143725,146126,13028,13234,13702,14380,8491,64102,65414,67112,64262,40847,23770,23522,23829,23258,19384,62.0,111.0,112.0,97.0,62.0,8.0,8.0,8.0,8.0,11.0,,,,3.0,3.0,36.0,48.0,49.0,45,37.0,972,1009,1100,1080,1083,649,639,635,611,611,653,664,677,681,656,1929,1946,1953,1919,1895,1320,1401,1424,1448,1456,3448,3475,3488,3454,3429,195.0,191.0,185.0,186.0,172.0,1137,1135,1171,1175,1187,427,440,434,425,434,1909,1988,1991,1995,2020,387,391,404,407,395,2669,2686,2809,2714,2691,2398,2411,2409,2540,2528,46.0,92.0,67.0,76.0,54.0,171.67,171.69,171.71,162.84,169.43,40.88,40.88,40.88,40.88,40.88,-72.86,-72.86,-72.86,-72.86,-72.86,2121.0,2359.0,2590.0,2625.0,3224.0,,,,2891.0,3107.0,201505.0,229578.0,232757.0,234001,212846.0,1171740,1317003,1441427,1468579,1529912,1600811,1787195,1984630,2085759,2299036,2815481,3132385,3360990,3878353,5262952,16991388,17691639,17572365,17588173,17984000,1170834,1105856,1217927,1389999,1583636,9349722,9954895,10732115,11993668,13784673,2570229.0,2803270.0,3079686.0,3306942.0,3562028.0,1419809,1442593,1524168,1449147,1566050,2631604,2687681,2814218,2867095,2679156,9738461,10120865,10474024,11089376,11620903,854289,991167,984232,810050,1183413,1866080,1957330,2125532,1286928,1577597,1076618,1101909,1161327,1092689,1184632,3777.0,6724.0,5751.0,6110.0,3661.0,73.02,72.6,72.18,73.19,71.26,781,792,797,801,793,10.83,10.99,11.0,10.86,10.76
0.0,25001,Barnstable County,124.0,99.0,111.0,114.0,104.0,0.0,50.0,51.0,50.0,48.0,262.0,259.0,226.0,228,206.0,5535,5839,6164,6234,6288,1435,1467,1432,1430,1443,1382,1298,1301,1190,964,2217,2038,2017,1961,1830,1449,1529,1385,1478,1427,4786,4785,4757,4747,4575,1087.0,1053.0,1005.0,1055.0,665.0,3491,3278,3415,3581,3488,1561,1497,1635,1484,1237,16467,16608,15761,15945,14795,1969,1876,1904,1792,1706,12044,12367,12574,11444,9697,3942,3990,4086,3950,3457,37.0,32.0,46.0,85.0,22.0,53.0,49.0,47.0,50.0,49.0,6.0,5.0,5.0,5.0,5.0,9.0,10.0,10.0,9,9.0,1270,1307,1334,1343,1386,187,194,185,178,186,143,144,148,142,140,307,302,293,297,289,380,390,379,406,420,781,744,766,757,754,32.0,31.0,33.0,33.0,28.0,683,694,703,708,730,112,110,112,109,103,793,789,780,765,772,248,248,250,237,243,1119,1107,1124,1074,1075,756,759,755,745,757,13.0,23.0,20.0,26.0,14.0,1165.4,1165.4,1165.4,1138.99,1139.34,41.7,41.7,41.7,41.7,41.7,-70.3,-70.3,-70.3,-70.3,-70.3,6898.0,5494.0,5329.0,5312.0,6427.0,0.0,3416.0,3529.0,3634.0,3628.0,30245.0,34307.0,27510.0,23563,26505.0,335104,362965,390709,401662,448839,89910,89491,89178,85328,98491,71310,67366,68201,58958,58332,177511,168236,168806,168862,176392,66113,82365,76571,76986,81914,338059,322254,335768,333647,352678,59826.0,60802.0,65402.0,64219.0,59039.0,165122,180171,197591,210960,237985,53451,53103,54689,51628,55916,836720,873102,891915,833559,884548,75843,79428,80158,71173,91545,415672,438843,453313,353727,480597,142360,143701,148551,138906,151403,1145.0,1251.0,1683.0,1927.0,763.0,0.08,0.16,0.11,0.28,0.19,214,214,213,214,228,2.35,1.92,1.88,1.62,2.51
1.0,25007,Dukes County,,,,,,,,,,,0.0,17.0,17.0,14,,750,758,804,812,817,59,61,66,57,64,161,162,157,150,134,215,214,219,207,197,147,152,169,163,159,249,239,246,225,227,,,,,,353,394,464,455,410,45,57,58,62,59,890,910,832,867,903,325,336,346,357,261,757,776,626,537,549,300,335,344,344,322,12.0,,,15.0,4.0,,,,,,,,,,,3.0,3.0,3.0,3,,206,219,228,236,254,18,18,19,18,20,18,17,18,16,15,32,36,29,27,29,73,74,78,83,85,64,64,69,65,67,,,,,,89,95,99,103,106,11,11,11,14,15,57,55,52,53,52,42,41,41,38,42,147,150,144,135,152,89,92,89,94,86,4.0,,,6.0,7.0,306.67,306.67,306.67,306.57,306.67,41.39,41.39,41.39,41.39,41.39,-70.64,-70.64,-70.64,-70.64,-70.64,,,,,,,,,,,0.0,1615.0,1670.0,1790,,53581,54636,58315,59431,66174,3299,3308,3150,2990,4257,7542,7954,8040,6952,6915,15087,13744,16476,17183,20264,11274,11332,12210,12491,16095,15992,16924,16328,15653,18448,,,,,,27070,29707,32004,31647,31890,2110,2653,2771,2567,3203,56118,58375,57505,63444,69706,17845,18324,19361,16395,18873,50616,50467,49526,34157,56609,14465,15889,16165,15254,17469,283.0,,,495.0,264.0,0.0,0.0,0.0,0.0,0.0,17,17,17,17,20,0.0,0.0,0.0,0.0,0.0
1.0,25027,Worcester County,137.0,148.0,158.0,152.0,152.0,100.0,140.0,143.0,131.0,141.0,1675.0,1746.0,1735.0,1718,1645.0,13622,15149,15469,15743,15232,14264,14576,14141,14272,13116,4485,4199,3907,3218,3035,15835,15656,15441,14702,14849,3387,3611,3762,3807,3399,19055,18690,20121,20958,21231,3764.0,7170.0,7832.0,9381.0,9538.0,12950,14028,13894,14133,12870,17998,17527,18113,18153,15600,68861,69611,71106,68127,65373,5142,4883,4557,4608,3394,26876,27144,27944,26670,21355,11417,11302,11421,11504,9909,31.0,24.0,60.0,60.0,51.0,38.0,38.0,32.0,31.0,33.0,9.0,9.0,9.0,9.0,10.0,37.0,41.0,42.0,43,41.0,2219,2267,2314,2319,2427,875,875,856,817,798,280,270,268,267,270,899,886,861,857,863,676,711,740,751,753,1845,1865,1879,1826,1838,113.0,109.0,108.0,107.0,96.0,1102,1089,1108,1137,1194,311,312,315,311,320,2133,2179,2200,2178,2213,266,265,268,264,267,1797,1822,1802,1734,1722,1893,1879,1918,1880,1903,19.0,38.0,38.0,45.0,34.0,4089.97,4089.98,4089.96,4089.86,4089.86,42.37,42.37,42.37,42.37,42.37,-71.87,-71.87,-71.87,-71.87,-71.87,4406.0,5016.0,5095.0,4887.0,5379.0,9025.0,9583.0,10364.0,11304.0,12686.0,156329.0,188794.0,173580.0,217245,174895.0,968652,1057564,1107751,1096979,1191244,967869,980799,960034,966596,1039252,306536,283866,246933,247159,262849,1228788,1222766,1273866,1351551,1406388,164333,178689,190407,187457,215819,1730366,1742287,1863732,1980845,2156181,447042.0,661621.0,624366.0,765646.0,776841.0,507235,510824,538160,562814,622018,628260,619065,635483,642166,663466,3431737,3402794,3576837,3546365,3641513,107630,108331,111078,90949,103539,496598,522274,558652,460321,542691,343336,349223,366609,338679,369465,406.0,1280.0,1416.0,3125.0,2733.0,2.16,2.12,1.99,2.09,2.17,818,822,825,827,857,3.87,3.86,3.94,3.86,4.14
0.0,25017,Middlesex County,121.0,144.0,179.0,166.0,173.0,87.0,89.0,89.0,95.0,88.0,3182.0,3234.0,3211.0,3413,3256.0,37286,40340,41721,42394,41919,47117,46535,48194,47677,46379,61988,60222,62557,63914,61090,31122,30869,30830,29773,26156,13475,14059,14947,15509,14068,125736,134745,140393,140919,146216,45420.0,45750.0,44211.0,43557.0,45105.0,51140,49908,51860,52340,50641,83994,88137,88756,90811,83015,122507,120175,120794,121932,117168,12201,13339,14641,14827,8682,71721,71199,71611,73182,52956,30762,31570,31230,31249,26700,145.0,243.0,191.0,179.0,126.0,29.0,34.0,32.0,40.0,44.0,9.0,7.0,10.0,9.0,11.0,50.0,52.0,55.0,53,43.0,4563,4619,4732,4716,4814,2036,1998,1943,1882,1808,1328,1292,1284,1280,1221,2163,2152,2135,2149,2120,1808,1878,1889,1966,1949,6968,6924,6992,6877,6961,420.0,413.0,393.0,393.0,388.0,2762,2743,2710,2692,2713,928,932,931,937,941,4928,4941,5021,4981,4971,826,827,842,820,808,3959,3973,4049,3967,3922,4433,4433,4423,4439,4426,70.0,195.0,121.0,143.0,86.0,2194.13,2194.07,2194.03,2193.99,2194.04,42.49,42.49,42.49,42.49,42.49,-71.4,-71.4,-71.4,-71.4,-71.4,5146.0,5760.0,6751.0,7346.0,9506.0,6462.0,5790.0,6433.0,5919.0,6770.0,397267.0,488957.0,436886.0,478274,462154.0,2879386,3235378,3394922,3346729,3778878,5347286,5246156,5975296,5918968,6359460,8675006,8997696,9675569,10507250,11276841,3049501,3245937,3260087,3376720,3027667,890377,951249,1058805,1067332,1130460,16206208,18638693,20397749,21537199,24808915,7244893.0,7488505.0,7512214.0,7152910.0,8224316.0,3007163,2847504,3018561,3167613,3462440,4715817,4942286,5119433,5206615,5367833,6292210,6407281,6387513,6329584,6761945,334223,370110,390951,296050,321441,1621404,1695539,1946731,1511211,1719266,1278083,1349483,1362747,1327073,1356160,7314.0,29009.0,9433.0,8068.0,6913.0,10.63,10.72,10.54,10.42,10.78,1583,1595,1601,1606,1623,5.44,5.42,5.46,5.57,5.61
1.0,25003,Berkshire County,42.0,47.0,43.0,30.0,34.0,48.0,50.0,48.0,50.0,49.0,195.0,197.0,195.0,195,228.0,2411,2524,2459,2491,2392,1353,1375,1279,1176,1028,904,714,778,733,572,1873,1863,1814,1676,1585,570,550,606,682,627,3284,2647,2698,2755,2601,726.0,651.0,615.0,638.0,737.0,1821,1782,1488,1696,1644,3442,4213,3832,3811,3188,11720,11681,11544,11593,10780,1681,1786,1829,1687,1710,7294,7274,7234,6811,5117,2217,2106,2077,2121,1827,13.0,1.0,6.0,15.0,8.0,9.0,10.0,8.0,8.0,12.0,3.0,3.0,3.0,3.0,3.0,10.0,11.0,12.0,13,13.0,493,509,501,494,497,106,103,99,93,94,70,67,67,65,66,167,156,154,154,150,115,122,127,123,137,312,314,308,301,312,12.0,13.0,13.0,13.0,13.0,241,235,235,243,249,66,59,59,60,57,431,419,420,432,423,114,110,108,107,108,514,510,507,486,485,344,336,340,339,341,6.0,5.0,9.0,9.0,9.0,2450.97,2450.98,2450.94,2450.95,2450.97,42.4,42.4,42.4,42.4,42.4,-73.23,-73.23,-73.23,-73.23,-73.23,1197.0,1359.0,1221.0,1085.0,1510.0,2625.0,2758.0,3044.0,3139.0,2595.0,21897.0,20084.0,19101.0,19805,21677.0,140036,144030,149130,149712,158353,73126,71595,66289,57525,61953,43185,34557,34966,32925,32999,132834,137085,139889,136462,129558,23339,22068,25364,25454,29809,280239,296381,193919,198432,195718,49015.0,49663.0,52547.0,57949.0,65391.0,85379,85883,87706,94480,115119,169092,187803,186429,184996,183271,584535,596363,608116,618079,630202,51999,54989,57709,46139,53949,157295,168755,171336,127941,157712,64536,66446,68928,65131,70127,164.0,102.0,109.0,262.0,297.0,0.34,0.31,0.33,0.36,0.39,128,127,126,126,129,2.82,2.92,2.8,2.81,3.03
0.0,25005,Bristol County,242.0,146.0,148.0,156.0,182.0,57.0,56.0,49.0,59.0,60.0,637.0,739.0,497.0,469,561.0,9848,10237,10766,11019,10930,15314,14960,15132,15230,14875,3087,2841,2874,2696,2365,4285,4163,4116,4301,4015,1893,1872,1910,1917,1892,5919,5752,5593,5535,5461,5513.0,5206.0,4773.0,4728.0,5057.0,9691,9767,9918,9121,8358,4949,5104,5362,5465,4258,41919,42398,41948,42575,39462,3688,3724,3632,3688,2326,22301,21540,21720,21131,18987,7904,7915,7968,7558,6777,49.0,56.0,49.0,96.0,50.0,92.0,76.0,72.0,69.0,76.0,5.0,6.0,6.0,6.0,6.0,19.0,21.0,18.0,19,22.0,1607,1634,1669,1672,1729,600,591,595,586,586,175,172,176,165,161,536,536,528,522,533,447,479,478,475,509,1041,1039,1017,1023,1003,76.0,73.0,71.0,74.0,72.0,728,742,756,751,786,153,151,162,158,149,1445,1446,1467,1475,1481,216,211,206,220,208,1262,1248,1270,1240,1251,1370,1381,1369,1345,1324,20.0,43.0,34.0,37.0,27.0,1528.32,1528.32,1528.32,1527.77,1528.31,41.74,41.74,41.74,41.74,41.74,-71.09,-71.09,-71.09,-71.09,-71.09,6691.0,6100.0,6851.0,7976.0,9792.0,3401.0,3662.0,4933.0,3849.0,4321.0,77857.0,57221.0,52876.0,53605,56247.0,662703,703007,743100,757427,827213,1175445,1221394,1281539,1234583,1289808,227453,212537,209108,201976,196515,274365,268690,283079,326778,332379,79468,86038,91128,91474,101743,352058,336961,341880,352507,419014,543191.0,493838.0,434275.0,407746.0,639192.0,376286,371362,398541,368739,405546,137947,145771,153987,148063,150382,1969512,2018835,2052722,2048655,2133691,78549,78424,78877,64525,71540,380535,393525,411397,366387,460746,223881,234127,239394,222948,244423,2707.0,3055.0,1488.0,2781.0,2256.0,4.08,3.89,3.62,3.83,3.9,557,559,561,563,576,4.61,4.68,4.71,4.7,4.98
1.0,25013,Hampden County,40.0,44.0,22.0,25.0,32.0,0.0,,,,,1345.0,1362.0,1351.0,1338,1355.0,6871,7205,7191,7465,7132,6968,7107,7314,7201,6896,2702,2456,2170,2103,1789,8600,8096,8239,8724,8195,2606,2893,2762,2819,2104,6496,6800,7022,6781,6671,2840.0,3091.0,3104.0,3050.0,2802.0,6536,6668,6244,5923,5367,9083,9211,9168,9048,7832,42410,41904,42812,44190,42742,3796,3959,3965,2558,1822,14766,15221,17573,16859,13184,8235,8160,8354,8336,6435,6.0,4.0,9.0,34.0,14.0,11.0,13.0,11.0,13.0,12.0,3.0,,,,,24.0,25.0,24.0,24,23.0,975,985,950,932,937,406,397,392,387,383,134,135,133,135,123,492,484,485,486,491,386,398,409,417,421,783,781,754,730,711,52.0,53.0,54.0,51.0,47.0,535,536,515,535,529,153,150,144,145,140,1204,1194,1218,1197,1212,135,131,134,129,129,904,897,910,887,884,1008,1020,1006,1000,969,8.0,12.0,18.0,18.0,9.0,1642.85,1642.7,1642.73,1642.79,1642.76,42.13,42.13,42.13,42.13,42.13,-72.61,-72.61,-72.61,-72.61,-72.61,2088.0,1422.0,1098.0,1400.0,1491.0,0.0,,,,,156525.0,175295.0,170369.0,179941,174339.0,524278,534571,550359,549310,563357,421867,429721,444902,441097,459947,154028,134558,128080,121804,113403,766333,790686,835287,826024,874680,104722,146352,107202,110146,101352,381912,439638,478750,487304,476336,205177.0,219823.0,222270.0,218441.0,232065.0,236425,237787,238824,225080,236247,245016,266437,274695,265464,268917,2007381,2043555,2127035,2197214,2281915,66446,67907,71316,46183,65072,257704,269258,365804,278436,336539,232570,237369,250286,239763,242449,191.0,238.0,579.0,987.0,508.0,4.23,4.23,4.2,4.2,4.1,469,469,468,467,466,3.68,3.63,3.65,3.62,3.64
1.0,25023,Plymouth County,71.0,78.0,69.0,48.0,51.0,51.0,47.0,48.0,56.0,53.0,1335.0,1406.0,1353.0,788,708.0,12034,12580,13357,13880,13694,7382,7287,7529,7315,6703,2646,2272,2173,1970,1765,7442,7593,7419,7783,8006,1580,1701,1582,2031,1550,10192,11315,12408,12456,12214,4921.0,5462.0,5735.0,5789.0,4993.0,7600,7934,8157,8156,8100,3383,3179,2873,2912,2769,35743,36267,36440,36545,35344,4281,4747,4759,4809,3198,20873,21813,21567,19860,17442,7984,7675,7917,7920,7264,48.0,40.0,47.0,63.0,35.0,14.0,20.0,17.0,18.0,19.0,7.0,6.0,5.0,5.0,7.0,26.0,25.0,26.0,29,22.0,1776,1814,1848,1854,1960,561,541,528,517,507,153,156,165,159,151,670,668,667,665,678,438,453,445,447,433,1248,1251,1240,1272,1280,109.0,105.0,106.0,102.0,99.0,872,850,863,863,890,177,180,177,182,178,1286,1297,1337,1352,1365,276,284,288,275,282,1133,1132,1151,1106,1107,1290,1296,1317,1313,1335,27.0,39.0,30.0,38.0,21.0,1820.14,1820.14,1820.14,1818.95,1820.16,42.74,42.74,42.74,42.74,42.74,-96.22,-96.22,-96.22,-96.22,-96.22,2821.0,3324.0,2665.0,2621.0,2876.0,2932.0,2820.0,3350.0,3889.0,3812.0,200514.0,171709.0,228320.0,96572,81669.0,892187,972484,1070897,1012977,1168970,546177,544386,567449,523164,584275,158402,154971,142120,131012,130506,625209,616062,646415,733862,804500,88380,99281,92706,109771,104815,589544,618301,681484,700891,710819,463514.0,470399.0,538203.0,608042.0,568009.0,422834,412598,435120,378173,429108,110516,104015,99676,98216,104198,1608834,1678152,1744271,1734603,1875199,104381,108770,110799,90850,111703,415969,434749,452113,377642,463870,240165,237491,250303,233356,268580,1230.0,1696.0,2081.0,2060.0,1041.0,1.89,1.97,1.83,1.76,1.78,509,512,515,519,528,3.6,3.64,3.7,3.81,4.09
0.0,25009,Essex County,257.0,216.0,220.0,267.0,222.0,46.0,30.0,8.0,28.0,31.0,704.0,719.0,772.0,863,763.0,12433,13514,15180,15417,14481,12120,11552,12756,11858,11486,6612,6160,5203,5799,5636,11844,11326,10623,10685,10168,2974,3036,3174,2994,2725,14612,14718,14567,14776,15783,3796.0,4060.0,4992.0,5002.0,4855.0,17163,17443,18000,16685,17150,10553,10819,10924,10951,10137,68629,68982,68014,66264,61539,6721,6796,6844,6784,4444,30024,30262,29596,28515,23997,11419,11619,12012,11878,10499,91.0,127.0,84.0,152.0,115.0,67.0,67.0,63.0,64.0,65.0,4.0,3.0,4.0,3.0,4.0,28.0,29.0,29.0,29,28.0,2122,2193,2298,2317,2409,803,778,771,749,721,326,325,317,326,311,937,930,924,932,940,681,709,718,731,732,2091,2075,2077,2055,2053,96.0,91.0,87.0,86.0,86.0,1201,1210,1263,1271,1321,297,295,296,294,302,2177,2179,2208,2161,2185,424,425,413,394,405,1882,1866,1869,1831,1906,1997,2031,2038,2083,2076,33.0,55.0,42.0,65.0,45.0,1378.49,1378.54,1378.55,1375.64,1377.9,44.06,44.06,44.06,44.06,44.06,-73.75,-73.75,-73.75,-73.75,-73.75,10925.0,11743.0,13826.0,14551.0,17831.0,3261.0,2387.0,4745.0,2480.0,2370.0,69861.0,87641.0,83769.0,106958,88485.0,933371,1046752,1171840,1115671,1209484,1148662,1104078,1145007,1089473,1161001,570118,557528,493516,584655,622818,1185940,1061403,1039273,1183174,1242227,150204,160219,172954,168582,176384,1287591,1414162,1372254,1373559,1571568,356519.0,371498.0,488004.0,515768.0,517715.0,839847,901038,997701,852279,989677,384884,400306,416772,405643,430204,2870912,2976038,3059471,3041940,3160065,165009,166440,170449,138291,165714,633846,661482,693109,567307,722858,337753,353807,371013,347247,373324,2633.0,3606.0,2727.0,6439.0,4425.0,8.15,8.1,8.07,8.74,8.45,776,781,784,787,805,4.99,5.01,4.97,5.0,5.27
