target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,26033,Chippewa County,9.0,12.0,13.0,10.0,9.0,,,,,,0.0,87.0,89.0,87.0,90.0,237,268,274,282,298,338.0,326.0,386.0,346.0,228.0,115.0,107.0,120.0,110.0,59.0,278.0,280.0,275.0,278.0,244.0,81.0,85.0,87.0,76.0,84.0,234,302.0,302.0,280,273,,,,,,112.0,121.0,99.0,110.0,106.0,166.0,180.0,51.0,47.0,44.0,1984.0,2100.0,2068.0,2055.0,2039.0,102.0,69.0,64.0,75.0,71.0,1954,1941,1897,1922,1785,408,353,317,315,271,,17.0,,,,5.0,6.0,6.0,5.0,5.0,,,,,,4.0,4.0,4.0,4.0,4.0,84,88,84,83,93,32.0,31.0,32.0,29.0,30.0,13.0,13.0,14.0,14.0,12.0,50.0,48.0,44.0,45.0,44.0,24.0,26.0,24.0,27.0,26.0,44,41.0,43.0,41,43,,,,,,24.0,23.0,24.0,31.0,30.0,7.0,6.0,5.0,4.0,4.0,82.0,84.0,84.0,87.0,91.0,17.0,16.0,15.0,15.0,15.0,104,103,101,101,108,96,90,88,85,88,,3.0,,,,4236.48,4236.48,4236.48,4234.22,4233.6,45.03,45.03,45.03,45.03,45.03,-95.53,-95.53,-95.53,-95.53,-95.53,520.0,548.0,400.0,390.0,345.0,,,,,,0.0,8456.0,8743.0,8944.0,9276.0,15806,16712,17324,18564,20614,13944.0,13394.0,14960.0,11522.0,11095.0,4225.0,3914.0,4269.0,3952.0,3203.0,11316.0,11916.0,11661.0,11669.0,11776.0,2092.0,2332.0,2357.0,2512.0,2959.0,8312,8620.0,9010.0,8830,9663,,,,,,3404.0,3112.0,2517.0,3737.0,4131.0,5701.0,6264.0,1215.0,1278.0,1429.0,77897.0,74198.0,72794.0,74734.0,83532.0,2166.0,2193.0,2240.0,2085.0,2265.0,39067,40633,40842,40018,46426,7084,6811,6824,6561,7335,,58.0,,,,0.11,0.11,0.11,0.12,0.12,38,38,38,37,37,2.35,2.34,2.26,2.2,2.13
1.0,26115,Monroe County,20.0,18.0,17.0,24.0,19.0,0.0,33.0,33.0,34.0,46.0,0.0,1336.0,1272.0,1488.0,1308.0,1451,1584,1660,1635,1557,1635.0,1600.0,1620.0,1635.0,1576.0,380.0,326.0,302.0,283.0,190.0,832.0,857.0,780.0,716.0,668.0,289.0,275.0,295.0,301.0,279.0,1228,1192.0,1122.0,1111,1244,1822.0,2203.0,1546.0,1639.0,2214.0,2372.0,2079.0,1915.0,2123.0,2050.0,203.0,201.0,222.0,235.0,214.0,4687.0,4886.0,4557.0,4626.0,4633.0,380.0,406.0,395.0,336.0,292.0,4517,4561,4623,4762,4154,1631,1428,1342,1356,1325,,3.0,,,,5.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,9.0,9.0,7.0,7.0,7.0,252,265,265,256,269,92.0,96.0,93.0,89.0,87.0,31.0,32.0,29.0,29.0,25.0,139.0,137.0,134.0,126.0,128.0,72.0,71.0,73.0,75.0,74.0,144,142.0,143.0,147,157,11.0,11.0,9.0,12.0,13.0,119.0,117.0,120.0,117.0,122.0,18.0,19.0,17.0,17.0,18.0,296.0,277.0,274.0,272.0,274.0,49.0,46.0,46.0,44.0,46.0,279,277,275,276,276,242,236,235,231,252,,3.0,,,,1461.83,1461.83,1461.83,1448.82,1449.07,38.27,38.27,38.27,38.27,38.27,-90.18,-90.18,-90.18,-90.18,-90.18,241.0,269.0,256.0,306.0,322.0,0.0,4883.0,5256.0,5282.0,5848.0,0.0,164793.0,155922.0,163472.0,172388.0,90735,94232,107767,99269,104476,80823.0,86015.0,85919.0,87161.0,93893.0,17094.0,13157.0,11561.0,10890.0,10843.0,49169.0,46719.0,55557.0,43108.0,42220.0,8900.0,9852.0,10463.0,10122.0,12470.0,80554,87449.0,83740.0,82074,90799,207487.0,213537.0,170087.0,179009.0,170017.0,62883.0,57522.0,56713.0,63538.0,68609.0,5095.0,5227.0,5282.0,5436.0,5977.0,186054.0,196912.0,198674.0,204391.0,212542.0,8140.0,7706.0,7814.0,6430.0,8144.0,62931,66457,68529,60501,69311,39616,36402,35744,34406,37901,,40.0,,,,0.47,0.54,0.42,0.57,0.66,150,150,150,150,154,2.0,2.02,2.15,2.05,2.06
1.0,26005,Allegan County,77.0,86.0,99.0,101.0,116.0,23.0,42.0,48.0,33.0,45.0,121.0,128.0,130.0,156.0,129.0,2231,2399,2416,2612,2584,2242.0,1810.0,1754.0,2095.0,1929.0,105.0,97.0,119.0,105.0,95.0,397.0,390.0,414.0,402.0,373.0,230.0,236.0,256.0,275.0,355.0,1703,1825.0,1828.0,1816,1839,1072.0,1272.0,2032.0,1989.0,1649.0,1330.0,1770.0,1695.0,1507.0,1388.0,475.0,444.0,476.0,481.0,480.0,3285.0,3240.0,3041.0,2987.0,2766.0,220.0,265.0,306.0,1478.0,1209.0,2964,3212,3227,3381,2720,1398,1435,1396,1516,1480,,,12.0,7.0,,10.0,11.0,12.0,11.0,15.0,7.0,7.0,8.0,8.0,9.0,13.0,14.0,12.0,14.0,12.0,347,361,361,374,388,127.0,124.0,125.0,123.0,121.0,21.0,26.0,25.0,27.0,28.0,94.0,94.0,93.0,92.0,92.0,66.0,79.0,86.0,89.0,94.0,172,178.0,174.0,179,175,9.0,9.0,8.0,9.0,9.0,112.0,110.0,110.0,102.0,107.0,25.0,27.0,27.0,25.0,23.0,182.0,181.0,190.0,190.0,190.0,36.0,41.0,34.0,38.0,41.0,217,223,221,225,224,279,280,284,276,280,,,5.0,5.0,,2182.29,2182.29,2182.29,2181.78,2182.27,42.59,42.59,42.59,42.59,42.59,-85.89,-85.89,-85.89,-85.89,-85.89,3757.0,4677.0,5003.0,5456.0,6625.0,1640.0,1938.0,2626.0,2411.0,2748.0,13036.0,13631.0,14711.0,16998.0,16829.0,131034,141419,150434,156274,168066,146717.0,134993.0,135580.0,146216.0,175256.0,3236.0,3215.0,3393.0,3085.0,3740.0,19797.0,21705.0,21530.0,24359.0,27778.0,10616.0,9505.0,9847.0,10731.0,12858.0,130654,139167.0,145621.0,153715,153599,142799.0,158460.0,132410.0,128066.0,109258.0,59681.0,66952.0,61710.0,53116.0,52787.0,12579.0,12480.0,13339.0,14572.0,15386.0,121703.0,117985.0,117596.0,129915.0,114733.0,7466.0,8319.0,8917.0,44136.0,51017.0,52561,58654,60725,53655,65254,35640,37759,39312,42694,49265,,,456.0,192.0,,0.02,0.02,0.02,0.02,0.07,114,115,116,117,119,1.79,1.7,1.77,1.74,1.68
0.0,26125,Oakland County,242.0,243.0,261.0,270.0,310.0,161.0,139.0,155.0,151.0,159.0,1669.0,1724.0,1729.0,1651.0,1781.0,24564,25012,25364,27147,26298,43477.0,42854.0,42392.0,43715.0,40526.0,20130.0,21642.0,20815.0,20528.0,19708.0,40345.0,42579.0,43721.0,48809.0,54040.0,16279.0,17034.0,17643.0,18087.0,16853.0,95290,105740.0,106609.0,104399,98634,40344.0,40573.0,39521.0,34021.0,34488.0,60934.0,55404.0,53574.0,52827.0,48973.0,12135.0,11899.0,11868.0,12361.0,10926.0,105916.0,113255.0,120803.0,121306.0,111681.0,11035.0,12059.0,11028.0,10626.0,7960.0,59356,57750,58177,57533,46079,27235,27454,27943,28899,25262,79.0,75.0,68.0,55.0,31.0,29.0,27.0,24.0,29.0,31.0,10.0,11.0,10.0,10.0,12.0,21.0,20.0,19.0,18.0,20.0,2708,2736,2770,2768,2816,2518.0,2453.0,2402.0,2359.0,2340.0,882.0,914.0,899.0,907.0,906.0,2573.0,2579.0,2582.0,2572.0,2543.0,1792.0,1853.0,1842.0,1885.0,1897.0,6176,6189.0,6122.0,6146,6225,435.0,431.0,412.0,405.0,414.0,2586.0,2459.0,2466.0,2461.0,2498.0,521.0,518.0,503.0,505.0,504.0,5193.0,5213.0,5280.0,5323.0,5376.0,565.0,558.0,584.0,586.0,593.0,3029,3005,3033,2988,3017,3127,3121,3140,3084,3107,25.0,82.0,47.0,40.0,24.0,2349.64,2349.62,2349.62,2349.63,2349.55,42.66,42.66,42.66,42.66,42.66,-83.38,-83.38,-83.38,-83.38,-83.38,8610.0,9529.0,9773.0,10821.0,11069.0,12614.0,14148.0,16420.0,12116.0,15310.0,184002.0,204624.0,208744.0,247027.0,260803.0,1789880,1858814,1957469,1943875,2146546,3674391.0,3764160.0,3679120.0,3604587.0,3674210.0,1772040.0,1982284.0,1980828.0,1950865.0,2091831.0,3766105.0,3915081.0,4070486.0,4805804.0,5385508.0,870983.0,905649.0,983776.0,987790.0,1049970.0,8002801,8849629.0,9341341.0,9082504,9435801,4598294.0,4933341.0,4413762.0,3860228.0,4018402.0,2697099.0,2640881.0,2477981.0,2500330.0,2746829.0,392655.0,403152.0,413733.0,406301.0,449852.0,5049179.0,5468326.0,5818223.0,5816007.0,5978537.0,406233.0,426328.0,476281.0,392524.0,356260.0,1028722,1073472,1139761,908161,1053711,865742,930866,1000607,1011704,1101218,1256.0,2175.0,1835.0,2703.0,1056.0,7.6,7.45,7.78,7.98,8.47,1242,1251,1253,1255,1272,2.4,2.42,2.38,2.5,2.47
0.0,26059,Hillsdale County,16.0,20.0,19.0,,,,,,,,,,,,,358,331,372,362,325,290.0,324.0,353.0,331.0,335.0,105.0,109.0,105.0,94.0,80.0,278.0,283.0,285.0,278.0,278.0,30.0,45.0,44.0,43.0,32.0,226,207.0,187.0,196,174,,,,,,430.0,458.0,500.0,477.0,578.0,0.0,687.0,705.0,716.0,761.0,1376.0,1425.0,1490.0,1491.0,1280.0,43.0,39.0,39.0,42.0,25.0,878,921,915,899,810,525,451,440,423,403,,,,,,3.0,4.0,4.0,,,,,,,,,,,,,69,71,74,73,77,37.0,39.0,39.0,38.0,41.0,10.0,12.0,13.0,12.0,13.0,45.0,45.0,46.0,42.0,41.0,15.0,22.0,21.0,21.0,27.0,51,46.0,41.0,44,39,,,,,,25.0,22.0,23.0,26.0,26.0,6.0,7.0,9.0,8.0,9.0,95.0,88.0,84.0,81.0,82.0,12.0,11.0,10.0,11.0,8.0,65,69,71,70,69,91,93,89,90,92,,,,,,1571.94,1571.94,1571.94,1571.98,1571.95,41.88,41.88,41.88,41.88,41.88,-84.6,-84.6,-84.6,-84.6,-84.6,1079.0,1004.0,885.0,,,,,,,,,,,,,11972,13223,13378,13711,15882,13513.0,16037.0,15899.0,16947.0,19460.0,3053.0,3117.0,3282.0,2780.0,3043.0,14557.0,15443.0,15554.0,17122.0,19580.0,951.0,1175.0,1092.0,989.0,1310.0,8020,7985.0,8178.0,9009,9002,,,,,,13180.0,15393.0,16722.0,13318.0,15084.0,0.0,36295.0,39119.0,41907.0,45798.0,49492.0,51983.0,53988.0,54559.0,54650.0,862.0,837.0,819.0,568.0,644.0,11689,12364,12391,11238,14013,10488,9951,10514,9920,11395,,,,,,0.06,0.06,0.0,0.02,0.02,46,46,46,46,46,1.65,1.55,0.0,2.02,2.13
0.0,26003,Alger County,43.0,38.0,45.0,38.0,36.0,,,,,,,,,,,98,85,93,94,90,0.0,9.0,43.0,,,45.0,49.0,47.0,53.0,52.0,78.0,77.0,74.0,55.0,54.0,10.0,10.0,15.0,18.0,17.0,25,18.0,18.0,21,29,,,,,,22.0,20.0,22.0,21.0,22.0,,,,,,255.0,211.0,213.0,218.0,192.0,7.0,5.0,5.0,8.0,4.0,288,302,324,334,293,77,84,88,76,69,,,,,,8.0,8.0,8.0,8.0,7.0,,,,,,,,,,,30,26,24,24,24,3.0,3.0,3.0,,,5.0,5.0,7.0,8.0,6.0,11.0,10.0,10.0,9.0,9.0,5.0,5.0,6.0,7.0,6.0,10,8.0,8.0,7,9,,,,,,8.0,9.0,9.0,9.0,8.0,,,,,,18.0,17.0,17.0,17.0,15.0,4.0,4.0,5.0,4.0,5.0,46,49,53,50,51,27,28,27,26,24,,,,,,2427.45,2427.45,2427.43,2427.89,2427.45,46.4,46.4,46.4,46.4,46.4,-86.53,-86.53,-86.53,-86.53,-86.53,1988.0,1999.0,2250.0,2169.0,1978.0,,,,,,,,,,,3889,4015,4602,3899,4883,0.0,469.0,4226.0,,,2929.0,3253.0,3313.0,2744.0,3680.0,3735.0,3713.0,3266.0,3460.0,3501.0,312.0,352.0,455.0,537.0,927.0,1397,687.0,719.0,786,1034,,,,,,749.0,719.0,739.0,697.0,712.0,,,,,,10550.0,9227.0,9585.0,9579.0,10199.0,286.0,308.0,352.0,367.0,553.0,6400,6496,7709,6825,9278,1604,1797,1703,1537,1537,,,,,,0.0,0.0,0.0,0.0,0.0,9,9,9,9,9,0.0,0.0,0.0,0.0,0.0
1.0,26121,Muskegon County,21.0,27.0,29.0,25.0,20.0,,,,,,0.0,168.0,180.0,173.0,177.0,1891,1989,1930,1975,1899,1518.0,1525.0,1710.0,1784.0,1693.0,428.0,419.0,399.0,377.0,311.0,1080.0,1073.0,1062.0,1067.0,1001.0,438.0,432.0,457.0,450.0,470.0,1488,1437.0,1542.0,1573,1437,673.0,351.0,442.0,394.0,361.0,3337.0,2987.0,3012.0,2647.0,2628.0,606.0,531.0,482.0,444.0,398.0,9447.0,9932.0,9992.0,10146.0,9994.0,541.0,657.0,618.0,667.0,401.0,5858,5793,5728,5798,5271,2096,2139,2079,1970,1902,5.0,,6.0,3.0,6.0,6.0,9.0,7.0,6.0,7.0,,,,,,4.0,4.0,4.0,5.0,5.0,264,271,270,270,274,117.0,111.0,106.0,104.0,101.0,54.0,54.0,54.0,52.0,42.0,181.0,171.0,168.0,182.0,169.0,80.0,83.0,78.0,85.0,91.0,217,209.0,214.0,206,202,26.0,22.0,21.0,21.0,20.0,124.0,120.0,126.0,127.0,142.0,26.0,28.0,25.0,28.0,28.0,372.0,374.0,372.0,380.0,376.0,53.0,53.0,54.0,51.0,52.0,353,341,341,334,342,383,363,363,366,368,7.0,,4.0,3.0,3.0,1365.95,1365.97,1365.95,1365.86,1365.95,43.25,43.25,43.25,43.25,43.25,-86.13,-86.13,-86.13,-86.13,-86.13,652.0,774.0,763.0,734.0,830.0,,,,,,0.0,18023.0,20875.0,18589.0,20707.0,116714,128969,130799,124077,134591,83925.0,86577.0,94905.0,96439.0,105386.0,20298.0,17814.0,18197.0,15873.0,15616.0,61609.0,60561.0,60835.0,67303.0,73033.0,10822.0,11463.0,12772.0,13048.0,14437.0,83578,87384.0,92811.0,95172,91868,39504.0,23503.0,25442.0,25671.0,26634.0,70442.0,66440.0,67434.0,62756.0,74143.0,14223.0,12182.0,11519.0,10304.0,9446.0,453246.0,504328.0,523586.0,513320.0,558381.0,17292.0,19756.0,19784.0,13303.0,16241.0,89060,94475,97496,86925,107761,49905,50470,51759,48160,52954,111.0,,68.0,96.0,93.0,1.08,1.06,1.13,1.08,1.08,173,173,173,174,176,2.42,2.38,2.31,2.25,2.31
1.0,26127,Oceana County,0.0,8.0,,,5.0,,,,,,,,,,,270,258,217,273,248,460.0,454.0,437.0,445.0,325.0,19.0,16.0,12.0,11.0,,111.0,116.0,115.0,116.0,122.0,25.0,25.0,22.0,31.0,36.0,88,87.0,101.0,119,129,,95.0,98.0,65.0,65.0,35.0,29.0,32.0,35.0,48.0,0.0,19.0,17.0,,19.0,435.0,622.0,591.0,539.0,509.0,19.0,19.0,25.0,21.0,25.0,586,590,607,621,524,197,179,184,180,171,,,,,,3.0,3.0,,,3.0,,,,,,,,,,,63,65,62,58,62,13.0,12.0,11.0,10.0,10.0,6.0,5.0,5.0,5.0,,22.0,21.0,21.0,18.0,16.0,14.0,18.0,15.0,14.0,15.0,29,30.0,30.0,33,32,,3.0,4.0,3.0,3.0,8.0,9.0,12.0,11.0,13.0,3.0,3.0,3.0,,3.0,47.0,46.0,44.0,40.0,42.0,16.0,14.0,15.0,15.0,16.0,65,62,66,64,62,63,55,57,54,54,,,,,,1414.41,1414.39,1414.41,1414.09,1414.41,43.62,43.62,43.62,43.62,43.62,-86.28,-86.28,-86.28,-86.28,-86.28,0.0,373.0,,,1515.0,,,,,,,,,,,12302,12679,12308,12212,12968,12087.0,11200.0,12426.0,12143.0,10985.0,537.0,499.0,414.0,378.0,,4878.0,5129.0,5289.0,5525.0,6086.0,1275.0,1439.0,1558.0,1392.0,1816.0,3233,3319.0,3226.0,4562,6251,,5738.0,5841.0,3836.0,3557.0,993.0,965.0,1154.0,1233.0,1620.0,0.0,367.0,380.0,,400.0,15312.0,27194.0,26715.0,26746.0,28561.0,2187.0,2279.0,2330.0,2213.0,2778.0,11923,12130,12957,11494,13283,4234,4124,5045,4757,4726,,,,,,0.0,0.0,0.0,0.0,0.0,26,26,26,27,27,0.0,0.0,0.0,0.0,0.0
0.0,26089,Leelanau County,21.0,23.0,10.0,4.0,,0.0,120.0,144.0,185.0,181.0,,,,,,610,603,643,609,617,51.0,52.0,49.0,46.0,47.0,123.0,115.0,111.0,111.0,107.0,158.0,238.0,238.0,208.0,208.0,51.0,55.0,56.0,48.0,47.0,214,200.0,184.0,185,178,,,,,,229.0,255.0,250.0,279.0,217.0,92.0,94.0,99.0,89.0,94.0,587.0,534.0,531.0,514.0,481.0,187.0,80.0,83.0,80.0,73.0,673,825,889,890,737,215,205,205,214,203,,,,,,6.0,6.0,3.0,3.0,,5.0,6.0,7.0,6.0,5.0,,,,,,116,123,128,128,132,8.0,8.0,6.0,5.0,9.0,11.0,12.0,12.0,15.0,16.0,34.0,38.0,36.0,34.0,35.0,28.0,31.0,27.0,31.0,34.0,69,71.0,67.0,74,80,,,,,,50.0,46.0,49.0,50.0,47.0,6.0,7.0,6.0,7.0,6.0,58.0,57.0,55.0,51.0,49.0,29.0,26.0,31.0,27.0,29.0,85,81,83,78,86,63,66,68,67,65,,,,,,974.94,974.94,974.96,974.01,974.03,44.89,44.89,44.89,44.89,44.89,-85.81,-85.81,-85.81,-85.81,-85.81,737.0,621.0,348.0,368.0,,0.0,7694.0,10416.0,12089.0,13156.0,,,,,,27169,27762,29327,27868,30959,1835.0,1863.0,1888.0,1666.0,2093.0,5840.0,5676.0,5567.0,5471.0,7233.0,11800.0,17565.0,17306.0,14756.0,17619.0,2271.0,2341.0,2473.0,2496.0,3009.0,11495,11348.0,11826.0,13702,14708,,,,,,11543.0,11703.0,11476.0,12247.0,12506.0,2543.0,2636.0,2809.0,2881.0,3051.0,25553.0,21882.0,22240.0,22438.0,25101.0,7761.0,4338.0,4491.0,4198.0,4688.0,25352,30494,31888,27798,35491,6260,5794,5872,6018,6156,,,,,,0.0,0.0,0.0,0.0,0.0,22,22,22,22,22,0.0,0.0,0.0,0.0,0.0
1.0,26087,Lapeer County,37.0,40.0,36.0,38.0,33.0,,,10.0,14.0,8.0,,,,,,928,1032,1079,1131,1048,465.0,434.0,412.0,470.0,361.0,134.0,132.0,158.0,129.0,184.0,396.0,418.0,451.0,409.0,416.0,217.0,245.0,291.0,307.0,323.0,571,567.0,606.0,565,618,10.0,13.0,11.0,16.0,17.0,830.0,967.0,989.0,888.0,752.0,191.0,169.0,161.0,167.0,134.0,2866.0,2944.0,2972.0,3156.0,3129.0,127.0,123.0,151.0,143.0,142.0,2344,2433,2447,2607,2298,853,887,881,925,855,,,,,,10.0,9.0,7.0,6.0,5.0,,,3.0,3.0,3.0,,,,,,224,230,233,232,243,59.0,60.0,59.0,60.0,53.0,23.0,25.0,28.0,27.0,24.0,91.0,91.0,91.0,91.0,93.0,54.0,56.0,59.0,56.0,60.0,122,123.0,127.0,125,130,3.0,3.0,3.0,3.0,4.0,105.0,107.0,101.0,109.0,113.0,15.0,13.0,13.0,14.0,13.0,203.0,198.0,196.0,205.0,205.0,28.0,27.0,31.0,27.0,27.0,131,138,134,133,137,197,191,190,194,187,,,,,,1716.68,1716.7,1716.69,1716.72,1716.72,43.09,43.09,43.09,43.09,43.09,-83.23,-83.23,-83.23,-83.23,-83.23,2022.0,1905.0,1196.0,872.0,984.0,,,776.0,743.0,779.0,,,,,,56077,60439,61796,64335,71549,21032.0,20450.0,19368.0,19946.0,20073.0,4744.0,4455.0,4791.0,4042.0,7323.0,16158.0,16897.0,21327.0,19913.0,21005.0,7229.0,8240.0,8865.0,10109.0,11663.0,26351,24963.0,24898.0,23315,29207,864.0,906.0,816.0,829.0,1355.0,30478.0,32928.0,35111.0,35199.0,34773.0,4501.0,4129.0,4227.0,3752.0,4065.0,113350.0,113496.0,119163.0,119850.0,136343.0,3884.0,4152.0,4631.0,3620.0,5021.0,34272,37405,38296,35413,40606,20800,22291,22666,22130,24948,,,,,,0.02,0.02,0.02,0.02,0.02,88,88,88,88,89,3.82,3.92,4.2,4.08,4.32
