target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,34025,Monmouth County,79.0,85.0,83.0,63.0,60.0,95.0,78.0,78.0,164.0,163.0,1558,1496,1522,1387,1458,15728,16020,16597,16850,16222,6913,7399,7633,7673,7551,9980,9041,9167,9003,7643,11227,11174,11584,11712,10775,3986,4056,4897,4627,4155,20224,20177,20302,20923,20626,4025.0,4254.0,3109,3204,2853,12917,13405,13991,13341,13614,7344,7495,7627,7567,6862,47705,48105,49428,49579,46953,7199,7573,7801,7320,5072,27113,27436,28329,28540,23669,12324,12737,12805,12708,11458,12.0,24.0,13.0,30.0,14.0,32.0,30.0,30.0,25.0,21.0,6.0,7.0,6.0,9.0,10.0,40,36,41,41,42,1983,2011,2016,1981,1980,877,872,845,839,831,339,333,329,322,328,1129,1131,1160,1139,1168,707,714,724,718,721,2553,2522,2485,2438,2474,89.0,89.0,90,93,85,1176,1173,1200,1164,1177,336,343,330,337,343,2455,2447,2469,2592,2662,472,481,488,463,447,1838,1870,1870,1829,1864,1813,1838,1837,1812,1811,9.0,27.0,25.0,28.0,21.0,1262.19,1262.2,1260.2,1258.05,1260.21,40.29,40.29,40.29,40.29,40.29,-74.17,-74.17,-74.17,-74.17,-74.17,3250.0,3382.0,3602.0,2358.0,2457.0,11294.0,7610.0,13556.0,17286.0,22497.0,193441,175125,193680,177490,214999,1210160,1259700,1342017,1343651,1386338,498400,534094,554776,564881,638976,1073277,1158465,1118375,1109487,1064371,1049297,1089812,1154787,1298539,1353669,220632,231313,268511,389143,333454,1583154,1588196,1605145,1694493,1819615,323076.0,331029.0,251568,283510,292609,531982,592772,625927,586260,687818,255737,270496,278827,273111,284737,2446784,2601578,2757478,2825423,2997382,177056,184098,197069,144321,177474,521064,538962,576363,476158,638569,367617,379230,393120,353676,406098,186.0,1353.0,383.0,955.0,955.0,7.04,6.4,7.01,7.1,7.22,628,623,622,621,642,2.76,2.8,2.71,2.74,2.76
0.0,34021,Mercer County,37.0,32.0,12.0,11.0,9.0,,,,,,1287,1123,1240,1038,1042,4598,4959,5063,5219,4994,14893,15119,15342,15547,14946,6337,5825,4891,4695,4415,15165,14059,14247,16730,16688,2313,2461,2568,2565,2698,22014,22842,24806,25194,22176,7584.0,8023.0,7665,6363,4147,9331,9404,8339,9042,9815,22914,23892,23397,23556,22147,29783,30031,30193,29320,28340,2945,3629,3596,3543,2082,13983,13544,14064,13486,10219,8638,8617,8446,8357,7463,,11.0,3.0,19.0,24.0,5.0,4.0,5.0,4.0,6.0,,,,,,20,24,24,25,26,657,690,713,676,697,413,406,401,399,379,201,200,196,197,187,571,570,568,567,573,342,346,342,369,359,1638,1594,1569,1567,1554,67.0,61.0,54,59,55,610,617,605,611,656,247,257,263,268,258,1188,1215,1206,1191,1216,155,163,168,170,166,870,856,859,847,836,1086,1073,1065,1066,1062,,19.0,11.0,17.0,17.0,592.61,592.71,592.72,592.73,592.74,41.33,41.33,41.33,41.33,41.33,-80.3,-80.3,-80.3,-80.3,-80.3,1296.0,1251.0,291.0,615.0,312.0,,,,,,261452,259081,261457,229611,231235,349322,378034,405169,396654,421961,2231912,2375860,2307383,2451485,2109430,547981,545540,473785,455949,451065,1512823,1419841,1482406,2255738,2311152,111526,124696,137110,142273,165694,2388875,2568460,2782190,2978713,2835783,1124264.0,1155504.0,1151020,1033642,755883,442405,442184,410270,421274,515041,1038098,1069166,1110727,1134435,1448719,1440747,1461632,1525670,1482731,1666160,59759,69069,72462,47785,60537,269789,271907,286350,219486,263805,367843,383500,393620,363975,403977,,891.0,188.0,521.0,2329.0,9.83,9.15,9.76,10.03,10.81,373,369,368,368,385,4.61,4.58,4.51,4.59,4.8
0.0,34023,Middlesex County,65.0,28.0,30.0,28.0,51.0,0.0,24.0,49.0,90.0,76.0,1680,1707,1688,1735,1624,15956,15806,16697,15650,15007,45275,45634,44190,42806,41131,9743,9879,8684,8256,7768,13526,13947,14373,14083,14546,6783,6747,6934,6965,6287,58056,59847,62394,65090,61933,9450.0,9782.0,12514,13117,13056,31626,31735,33090,30328,30322,4905,4744,4685,4953,4267,53772,54883,56558,56393,52096,4256,4816,4635,4162,2994,24555,26113,26530,25530,19866,13760,14116,13945,13526,12312,20.0,52.0,47.0,25.0,28.0,5.0,6.0,5.0,5.0,6.0,3.0,4.0,5.0,9.0,6.0,38,38,38,42,46,1539,1555,1546,1524,1534,1648,1632,1606,1611,1594,402,415,418,422,413,919,915,900,888,898,787,801,794,802,818,3972,3908,3904,3832,3913,141.0,141.0,138,128,123,1262,1268,1284,1246,1285,365,363,356,342,349,2357,2335,2385,2438,2471,236,248,262,247,247,1791,1854,1869,1805,1812,1949,1972,1954,1888,1879,12.0,37.0,34.0,34.0,27.0,821.99,821.98,822.01,821.82,822.03,42.49,42.49,42.49,42.49,42.49,-71.4,-71.4,-71.4,-71.4,-71.4,1830.0,1168.0,1501.0,1302.0,3333.0,0.0,5390.0,5819.0,8556.0,8754.0,198354,209249,206502,221817,208254,1212245,1237898,1276720,1202124,1280809,4218033,4311667,4250749,4144529,4129696,928586,915064,904802,924319,963443,1473531,1526694,1618460,1716014,1849498,444372,470820,501685,496110,479422,5234894,5507428,5707576,6233964,6672542,1473182.0,1549375.0,1848614,1988983,2101005,1302621,1245333,1268254,1186705,1300985,141561,141787,140474,140891,144349,2600037,2713205,2825086,2912496,3028649,82530,92727,93709,62936,79738,468270,494671,520678,389956,489278,542140,567670,579806,536747,597214,1125.0,1781.0,1362.0,2148.0,988.0,22.34,21.76,22.41,22.17,23.82,837,827,826,825,859,3.79,3.75,3.68,3.78,3.85
0.0,34037,Sussex County,32.0,35.0,35.0,37.0,38.0,75.0,79.0,83.0,92.0,97.0,157,140,150,154,149,1970,1992,1999,1912,1876,934,946,1003,969,973,221,246,190,191,204,900,884,893,873,800,268,317,280,299,258,1445,1480,1533,1565,1486,0.0,972.0,1019,1061,1070,1216,1152,1171,1213,1196,696,918,960,1005,821,6204,5998,5858,5737,5555,686,699,752,812,476,5491,5064,5061,4902,3991,1817,1849,1884,1783,1650,3.0,3.0,9.0,9.0,,10.0,12.0,11.0,9.0,10.0,8.0,7.0,7.0,7.0,7.0,9,10,9,9,9,514,512,491,470,478,133,130,125,126,124,23,26,24,23,28,107,108,102,103,108,84,81,82,85,82,335,336,326,318,324,12.0,12.0,13,15,17,216,208,204,206,224,51,50,53,48,44,378,366,379,380,378,59,65,65,63,62,289,292,285,282,288,381,390,387,376,376,4.0,8.0,7.0,5.0,,1386.29,1386.28,1386.28,1386.56,1386.58,36.91,36.91,36.91,36.91,36.91,-77.27,-77.27,-77.27,-77.27,-77.27,1033.0,1140.0,1318.0,1431.0,1437.0,5047.0,5105.0,5918.0,6362.0,7353.0,13634,16710,17833,18564,18836,132386,125186,129694,124194,130951,73861,72895,76637,80760,77831,22083,30979,16575,13055,22572,65688,65894,65966,71984,69039,13151,13360,12279,13120,13452,86473,88762,94006,101959,107062,0.0,159539.0,156959,163834,164839,44450,46330,47054,50359,56248,22133,24671,26121,25776,28013,255033,263788,249123,252985,262895,14759,14994,15830,11664,16679,83850,86120,90257,72793,97236,52808,55571,55699,49845,58131,116.0,214.0,339.0,213.0,,0.45,0.39,0.38,0.44,0.4,144,142,141,141,144,2.01,2.02,2.0,1.94,1.91
1.0,34011,Cumberland County,52.0,60.0,67.0,181.0,211.0,168.0,164.0,146.0,138.0,129.0,0,107,97,101,101,1784,1906,1910,2228,2091,4211,4479,4748,4759,4700,505,543,465,463,374,1073,1023,1030,906,864,467,452,474,451,413,1076,1028,1021,986,946,120.0,111.0,95,92,94,2141,1837,1748,1832,1617,1156,1123,1135,1119,1003,10022,9159,10299,10357,9472,395,485,455,456,436,3533,3512,3684,3418,3014,1854,1882,1879,1861,1559,,,,,4.0,12.0,11.0,11.0,13.0,13.0,7.0,7.0,7.0,7.0,7.0,5,5,5,6,6,254,273,271,261,282,167,165,168,163,165,37,34,33,32,25,109,102,113,98,93,103,98,103,101,90,184,181,172,176,172,9.0,11.0,8,8,9,127,137,133,125,130,34,32,35,34,32,408,401,402,400,418,37,40,36,39,44,243,242,238,226,232,352,359,353,347,349,,,,,3.0,1298.56,1298.55,1298.56,1298.28,1298.55,40.15,40.15,40.15,40.15,40.15,-77.28,-77.28,-77.28,-77.28,-77.28,2383.0,2599.0,3680.0,6106.0,7631.0,14416.0,11593.0,9158.0,9387.0,9030.0,0,13485,13312,14274,13393,138867,148285,155621,172002,179950,199851,215440,223460,249768,249621,29780,28970,29418,28754,25310,66435,59824,62695,70008,60950,19731,19484,19695,19375,20141,43077,43471,45414,46069,48124,10006.0,8909.0,8372,9473,9943,61434,59016,54169,54127,61624,32301,32763,34690,34647,32994,458790,428529,474379,503300,542242,7990,11205,11466,9649,13374,50465,50866,55259,47102,58669,44171,44903,45966,40163,46763,,,,,127.0,0.9,0.91,0.86,1.01,0.98,155,153,152,150,155,3.2,3.09,2.98,3.31,3.65
1.0,34035,Somerset County,28.0,21.0,21.0,23.0,21.0,0.0,251.0,256.0,261.0,329.0,700,667,672,653,693,5863,5973,6232,6117,5980,21124,21566,22251,19959,20938,12533,14227,15544,15104,13484,9624,11034,9623,9227,9242,1862,1814,1875,1838,1887,22320,23327,24046,24456,24383,11364.0,11836.0,11063,11294,12037,12613,12324,13011,12662,12336,3720,3849,3915,4069,3436,23771,24293,24146,23530,22226,3510,3684,3356,3529,2565,13285,12456,13056,12213,9002,6859,6669,6751,6609,5479,29.0,20.0,32.0,15.0,6.0,10.0,9.0,9.0,9.0,8.0,4.0,3.0,3.0,3.0,3.0,8,10,10,10,15,798,802,813,802,803,582,572,560,555,544,207,205,204,205,204,593,581,576,568,577,344,356,364,356,343,1709,1685,1675,1654,1641,95.0,98.0,87,92,95,714,703,696,700,718,193,201,203,209,210,1251,1261,1252,1237,1249,166,164,164,152,153,847,822,825,793,790,910,921,904,886,850,11.0,20.0,7.0,10.0,6.0,789.69,789.72,789.72,789.77,789.71,40.0,40.0,40.0,40.0,40.0,-79.04,-79.04,-79.04,-79.04,-79.04,1534.0,851.0,1164.0,1018.0,902.0,0.0,15334.0,16069.0,17057.0,28789.0,78574,77229,74367,78502,87667,465385,485812,479159,466118,503003,2274181,2476766,2692122,2505424,2682988,1978963,2053244,2034120,2026923,1913826,1482255,1700794,1229527,1217012,1377789,99653,103813,112971,111390,127149,2636718,2855972,3087182,3220519,3227522,1854613.0,2037849.0,1991134,2236482,2298309,599003,542586,558689,543972,591749,144544,148368,150832,146903,154459,1191281,1230761,1258924,1220032,1289789,88371,85414,88277,65284,88521,267692,266159,278308,207039,240695,237791,236345,243626,212107,229958,1195.0,968.0,1104.0,412.0,363.0,5.68,5.76,6.02,5.9,5.82,333,330,330,330,344,2.86,2.82,2.79,2.83,3.05
1.0,34013,Essex County,4.0,,,,,,,,,,0,2452,2296,2832,2301,10579,10475,11268,11812,11003,13489,13866,14302,14146,13127,5543,5468,5194,5137,4784,18641,21140,20801,18768,18383,5812,5664,5635,5611,4821,22556,22769,21663,21759,18453,1950.0,2245.0,2361,2431,3267,17274,16749,16427,17330,16015,12706,12612,12930,13041,11639,55479,58447,60828,60818,55863,5947,6047,6289,6383,3344,24231,24810,24681,24620,18826,16850,16786,16795,15838,13004,20.0,43.0,41.0,38.0,41.0,3.0,,,,,,,,,,27,28,22,21,21,1512,1569,1642,1589,1682,984,971,959,946,939,317,330,336,347,353,939,939,906,902,900,906,922,924,960,972,2141,2120,2085,2149,2174,62.0,59.0,61,65,65,924,905,924,935,924,341,342,348,351,346,2524,2533,2560,2565,2556,298,310,326,331,329,1690,1722,1714,1704,1727,2162,2140,2137,2115,2110,25.0,37.0,40.0,41.0,32.0,335.25,335.27,335.25,332.25,335.23,44.06,44.06,44.06,44.06,44.06,-73.75,-73.75,-73.75,-73.75,-73.75,118.0,,,,,,,,,,0,374169,353154,373103,370614,761237,768711,852757,876962,905269,940806,967948,1008223,1016424,1066326,427028,386989,385492,370693,390094,2791738,3431795,3449598,3720142,3766206,293972,285207,303130,286047,309946,2086153,2206469,2125979,2145929,2254198,239028.0,261969.0,274734,307939,485118,856281,822773,839962,833240,980464,514825,508961,542522,557809,578976,3019322,3286230,3510115,3414724,3639663,241985,244907,249754,192318,246988,525660,560041,586458,436074,550942,527398,543487,574457,521825,537298,448.0,983.0,1242.0,1163.0,1463.0,45.48,44.8,45.34,44.05,45.89,800,794,795,799,853,6.41,6.38,6.32,6.49,6.92
1.0,34029,Ocean County,81.0,93.0,93.0,71.0,93.0,60.0,58.0,53.0,44.0,48.0,1135,1129,995,615,551,8480,8604,8718,8920,9179,4102,4681,4955,4705,4439,1476,1460,1347,1295,1175,3482,3594,3371,3425,3345,2913,3271,3481,3714,3974,7645,7553,7997,8236,8189,1019.0,1216.0,1229,1259,1224,5684,6320,5798,6262,5856,7293,7628,7839,8239,8758,36087,37764,40069,40054,38804,4643,4859,4615,3751,2711,15221,15746,15594,15805,13925,8580,8776,9076,9059,8746,5.0,8.0,14.0,18.0,6.0,30.0,31.0,31.0,33.0,38.0,6.0,5.0,3.0,3.0,4.0,23,27,32,30,28,1875,1840,1799,1851,1890,506,517,518,521,536,155,154,155,155,152,530,539,550,554,580,715,789,822,879,958,1180,1205,1243,1243,1335,36.0,35.0,32,35,35,865,860,869,858,912,256,252,253,251,262,1694,1710,1727,1844,1915,259,268,272,245,255,1253,1284,1292,1265,1277,1415,1421,1425,1427,1473,10.0,18.0,24.0,28.0,19.0,1960.71,1960.71,1954.39,1953.55,1954.46,39.98,39.98,39.98,39.98,39.98,-74.33,-74.33,-74.33,-74.33,-74.33,3240.0,3520.0,3798.0,3966.0,4606.0,4197.0,4484.0,3767.0,3843.0,4729.0,133453,135798,105942,74145,69045,431130,440910,481815,489406,552384,216097,256618,271184,252495,277852,84323,83048,79175,77271,75037,214184,238460,216706,248169,279235,127641,143215,167252,179733,216711,429166,441196,499887,503540,574768,63373.0,63728.0,64888,63543,73359,227665,241019,243830,239119,273293,201045,214455,220866,229823,314780,1589183,1707693,1785457,1860464,2009955,101329,106734,116282,83804,104731,318532,319552,342209,305502,401943,223942,234778,252797,241828,285108,253.0,349.0,803.0,1065.0,2061.0,4.78,5.32,5.34,4.83,5.28,590,592,596,602,630,2.8,2.65,2.67,3.15,3.34
1.0,34001,Atlantic County,169.0,86.0,18.0,31.0,25.0,16.0,,,,,1291,1572,1109,889,890,4922,5629,5581,5272,4991,2406,2385,2473,2347,2155,1105,1177,1001,817,741,2300,2431,2458,2422,2190,1317,1405,1504,1458,1276,4361,4009,4007,4006,3855,1166.0,1202.0,1118,1612,1607,3224,3159,3585,3644,3431,1156,1176,1177,1268,1079,19064,19214,18860,19125,18371,1504,1530,1693,1518,1422,34821,36655,41354,41396,31617,4244,4256,4353,4276,3915,13.0,15.0,9.0,9.0,7.0,5.0,4.0,3.0,4.0,3.0,3.0,,,,,19,26,22,23,24,679,680,689,696,721,186,183,181,164,163,86,80,78,71,63,264,269,261,247,236,230,240,244,245,234,542,520,512,516,503,19.0,19.0,19,19,18,374,371,387,396,411,70,70,75,74,74,804,805,808,801,817,117,112,113,102,108,830,818,827,827,833,689,698,683,686,687,11.0,13.0,10.0,9.0,6.0,1579.88,1579.88,1579.76,1579.39,1579.81,39.51,39.51,39.51,39.51,39.51,-74.66,-74.66,-74.66,-74.66,-74.66,3697.0,2723.0,2172.0,1945.0,2325.0,361.0,,,,,127050,160698,140624,106017,106933,319002,378601,352290,344348,362245,133336,127701,131799,126874,137204,65813,61709,63920,48441,35684,171581,189021,191956,202974,197906,55916,57853,66034,60560,65163,338179,327866,334041,334926,327890,79835.0,88361.0,76247,119357,148890,104950,108927,118089,113536,138029,34632,35185,37244,37892,38188,941676,975108,1006532,1025223,1076493,38454,37919,41856,35690,71804,992850,1149562,1248897,1048065,1070602,114583,116055,117459,108060,119235,241.0,301.0,195.0,335.0,166.0,1.38,1.43,1.7,1.62,1.46,273,269,266,265,274,4.17,4.16,3.93,4.23,4.55
1.0,34015,Gloucester County,11.0,26.0,12.0,17.0,17.0,,,,,,0,174,154,172,172,7381,7570,7692,8069,7763,7882,8067,8097,8418,8146,1231,1277,1197,1248,1069,1782,1744,1779,1709,1665,1383,1344,1268,1284,1201,3706,3769,3768,3530,3134,560.0,458.0,491,556,530,7680,7399,7351,7404,6305,1171,1235,1238,1254,1078,15203,14868,15491,16628,16438,1464,1616,1610,1474,1084,10336,10350,10490,10722,8804,4626,4740,4745,4643,4882,22.0,11.0,22.0,19.0,10.0,4.0,4.0,5.0,4.0,5.0,,,,,,4,4,4,5,9,729,728,715,701,735,337,337,331,330,332,89,92,86,85,78,247,249,252,237,249,172,197,201,205,216,500,481,484,495,484,32.0,29.0,25,25,29,409,389,386,417,429,76,78,80,81,78,775,785,828,826,809,108,98,101,91,92,541,557,565,569,565,700,695,689,689,703,6.0,9.0,10.0,16.0,11.0,872.15,872.26,872.25,872.34,872.23,37.45,37.45,37.45,37.45,37.45,-76.56,-76.56,-76.56,-76.56,-76.56,355.0,393.0,506.0,624.0,655.0,,,,,,0,20227,17878,19873,19236,507512,545116,554067,563249,566546,519631,528510,539285,539841,618603,78329,71356,68081,66669,71878,99790,103908,105167,118585,124851,89936,87914,84477,79198,85293,226918,227342,234431,215293,214374,56141.0,38592.0,41591,42962,54263,228903,236576,261380,267007,295400,30233,31112,31977,31230,32748,678883,690486,738561,788792,872546,26359,26424,26526,19821,26966,160273,168590,179470,157515,193751,122117,121146,125631,114943,156645,402.0,295.0,437.0,422.0,291.0,2.8,2.6,2.77,3.22,3.4,291,291,291,292,301,2.19,2.16,2.19,1.96,1.96
