target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
0.0,40043,Dewey County,,,,,,162.0,225.0,403.0,400.0,411.0,0.0,53.0,47.0,45.0,45.0,16,21.0,48.0,46.0,39.0,24.0,21.0,24.0,30.0,16.0,7.0,12.0,13.0,11.0,9.0,71.0,68.0,68.0,67.0,66.0,,,,,,14,18,16,17.0,16,,,,,,8.0,8.0,8.0,13.0,6.0,,,,,,126,127,141,96,94,,,,,,122,122,125,118.0,101.0,50,56,60,58,66,,,,,,,,,,,16.0,18.0,16.0,15.0,15.0,4.0,4.0,4.0,4.0,4.0,8,10.0,14.0,14.0,14.0,8.0,6.0,6.0,6.0,6.0,3.0,3.0,4.0,4.0,4.0,10.0,11.0,11.0,11.0,11.0,,,,,,8,8,11,10.0,9,,,,,,3.0,4.0,4.0,4.0,3.0,,,,,,8,9,9,10,11,,,,,,6,6,9,8.0,10.0,19,23,23,24,22,,,,,,2611.14,2611.19,2611.63,2611.39,2611.6,35.98,35.98,35.98,35.98,35.98,-98.98,-98.98,-98.98,-98.98,-98.98,,,,,,15545.0,22486.0,28590.0,27206.0,35257.0,0.0,3399.0,3294.0,3239.0,3524.0,669,1059.0,1561.0,1303.0,1070.0,1080.0,926.0,1043.0,1051.0,1005.0,261.0,299.0,293.0,315.0,307.0,3050.0,3116.0,3233.0,3240.0,3450.0,,,,,,433,413,490,779.0,853,,,,,,170.0,184.0,161.0,178.0,132.0,,,,,,4440,4922,5059,2804,3048,,,,,,1675,1694,1576,1348.0,1601.0,1707,1821,1792,1806,2690,,,,,,0.0,0.0,0.0,0.0,0.0,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0
1.0,40059,Harper County,,,,,,,,,,,14.0,16.0,16.0,14.0,,0,,,,,,,,,,,,,,,48.0,36.0,35.0,29.0,15.0,22.0,30.0,31.0,33.0,26.0,34,36,32,33.0,37,,,,,,,,,,,,,,,,90,89,92,103,91,3.0,,,,,17,26,27,30.0,53.0,43,38,35,40,52,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,,3,,,,,,,,,,,,,,,8.0,9.0,9.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,9,9,8,8.0,8,,,,,,,,,,,,,,,,8,5,6,7,7,3.0,,,,,5,6,6,10.0,8.0,13,12,13,16,18,,,,,,2695.79,2695.9,2694.72,2694.37,2694.29,37.19,37.19,37.19,37.19,37.19,-98.08,-98.08,-98.08,-98.08,-98.08,,,,,,,,,,,1098.0,1113.0,1140.0,1172.0,,0,,,,,,,,,,,,,,,1845.0,1468.0,1470.0,1092.0,607.0,632.0,840.0,760.0,866.0,779.0,1321,1323,1309,1409.0,1458,,,,,,,,,,,,,,,,3010,3129,3220,3403,3322,48.0,,,,,159,195,224,271.0,408.0,691,623,686,885,1309,,,,,,0.0,0.0,0.0,0.0,0.0,4,4,4,4,3,0.0,0.0,0.0,0.0,0.0
0.0,40071,Kay County,,,13.0,21.0,2.0,235.0,252.0,229.0,219.0,184.0,78.0,79.0,79.0,79.0,91.0,764,779.0,713.0,1021.0,579.0,405.0,424.0,444.0,436.0,411.0,139.0,155.0,123.0,133.0,96.0,440.0,432.0,410.0,385.0,377.0,114.0,120.0,103.0,106.0,100.0,510,444,454,546.0,476,45.0,47.0,53.0,40.0,,579.0,758.0,689.0,755.0,776.0,65.0,55.0,61.0,54.0,54.0,2300,2198,2323,2139,1934,814.0,726.0,680.0,772.0,647.0,1781,1840,1875,1803.0,1703.0,771,749,647,650,628,,,,,,,,3.0,3.0,3.0,24.0,28.0,25.0,24.0,22.0,7.0,9.0,9.0,9.0,8.0,74,73.0,74.0,77.0,75.0,53.0,53.0,53.0,54.0,54.0,15.0,18.0,20.0,17.0,18.0,90.0,92.0,86.0,84.0,81.0,41.0,40.0,43.0,46.0,40.0,76,70,70,69.0,70,3.0,3.0,3.0,3.0,,40.0,44.0,44.0,48.0,45.0,6.0,5.0,6.0,4.0,4.0,133,123,119,114,114,20.0,20.0,19.0,22.0,22.0,110,106,109,107.0,104.0,131,128,127,126,127,,,,,,2447.53,2447.42,2447.62,2447.65,2447.66,36.84,36.84,36.84,36.84,36.84,-97.16,-97.16,-97.16,-97.16,-97.16,,,200.0,577.0,155.0,16772.0,17592.0,14705.0,12721.0,14494.0,5201.0,5431.0,5489.0,5503.0,5993.0,45602,51683.0,44384.0,52977.0,30540.0,20201.0,22514.0,20312.0,19473.0,22453.0,4447.0,4930.0,4695.0,4009.0,3524.0,20743.0,22267.0,21696.0,20383.0,24411.0,3199.0,3316.0,3474.0,3217.0,3684.0,24983,25055,25828,28896.0,29489,2584.0,2829.0,3811.0,4385.0,,18096.0,20172.0,22076.0,24322.0,25646.0,1211.0,1090.0,1230.0,1284.0,1343.0,75425,74798,77955,74822,75675,21588.0,20854.0,21587.0,21192.0,21916.0,26317,27408,28003,27652.0,29950.0,16815,16726,15006,15156,16276,,,,,,0.1,0.04,0.09,0.05,0.04,45,45,44,44,44,1.61,1.84,1.7,1.7,1.65
0.0,40083,Logan County,5.0,10.0,5.0,23.0,41.0,203.0,209.0,228.0,193.0,167.0,,,,,,813,809.0,876.0,871.0,782.0,89.0,114.0,128.0,149.0,148.0,21.0,21.0,16.0,16.0,16.0,183.0,170.0,189.0,187.0,167.0,159.0,135.0,142.0,124.0,106.0,198,210,241,222.0,244,,,,,,403.0,437.0,429.0,491.0,664.0,50.0,228.0,237.0,235.0,259.0,932,915,876,995,885,175.0,190.0,190.0,208.0,144.0,740,817,794,814.0,768.0,578,602,641,584,517,,1.0,2.0,,,3.0,3.0,4.0,5.0,7.0,27.0,34.0,35.0,33.0,27.0,,,,,,160,165.0,168.0,173.0,170.0,23.0,25.0,23.0,25.0,25.0,11.0,11.0,10.0,9.0,9.0,52.0,48.0,54.0,49.0,47.0,44.0,45.0,42.0,40.0,42.0,77,78,82,79.0,79,,,,,,60.0,52.0,60.0,56.0,56.0,7.0,8.0,10.0,13.0,12.0,56,56,54,56,56,14.0,15.0,15.0,14.0,13.0,56,61,58,59.0,58.0,96,99,98,92,89,,3.0,3.0,,,1939.28,1939.28,1939.4,1939.35,1939.48,40.11,40.11,40.11,40.11,40.11,-89.38,-89.38,-89.38,-89.38,-89.38,191.0,237.0,267.0,903.0,2207.0,11845.0,12961.0,12904.0,10192.0,10145.0,,,,,,37396,38219.0,42368.0,39525.0,34713.0,5199.0,6135.0,9652.0,7467.0,8122.0,1020.0,1141.0,1002.0,1024.0,995.0,6767.0,6310.0,7459.0,7708.0,7699.0,5449.0,5284.0,5363.0,3880.0,3674.0,8370,9660,9618,9372.0,10476,,,,,,14473.0,15757.0,19291.0,20716.0,25548.0,951.0,7313.0,7798.0,8420.0,7560.0,30285,32025,32849,35915,35798,2733.0,2928.0,3051.0,3197.0,3506.0,10477,12177,12390,12966.0,12622.0,12815,13488,13951,13809,15202,,21.0,34.0,,,0.0,0.0,0.0,0.02,0.0,45,46,47,47,49,0.0,0.0,0.0,1.67,0.0
1.0,40035,Craig County,,,,,,,,,,,279.0,271.0,268.0,278.0,279.0,111,109.0,117.0,106.0,119.0,249.0,227.0,242.0,240.0,179.0,89.0,90.0,61.0,61.0,71.0,199.0,200.0,197.0,201.0,191.0,16.0,8.0,8.0,13.0,6.0,70,74,79,84.0,82,,,,,,122.0,110.0,118.0,132.0,95.0,,,,,,991,1252,1201,1306,1273,,17.0,17.0,15.0,,381,387,370,361.0,358.0,179,164,168,183,170,,,,,,,,,,,,,,,,4.0,4.0,5.0,5.0,5.0,23,23.0,27.0,24.0,26.0,21.0,21.0,19.0,19.0,19.0,9.0,9.0,9.0,8.0,10.0,29.0,28.0,32.0,30.0,31.0,5.0,5.0,6.0,4.0,3.0,24,25,25,26.0,25,,,,,,15.0,13.0,13.0,12.0,12.0,,,,,,65,66,68,66,68,,3.0,3.0,3.0,,31,29,24,24.0,27.0,41,43,41,44,42,,,,,,1975.46,1975.46,1975.02,1975.04,1975.01,37.48,37.48,37.48,37.48,37.48,-80.2,-80.2,-80.2,-80.2,-80.2,,,,,,,,,,,23447.0,23215.0,24682.0,24610.0,26582.0,3625,3990.0,4758.0,4211.0,4816.0,8214.0,8060.0,8529.0,9164.0,8563.0,4869.0,4584.0,4406.0,4523.0,2981.0,9654.0,9606.0,9777.0,10175.0,12759.0,264.0,261.0,296.0,306.0,202.0,2498,2456,2632,2915.0,2733,,,,,,4375.0,2749.0,2746.0,2737.0,2522.0,,,,,,36727,43088,43264,45223,47123,,362.0,362.0,360.0,,5146,5189,5092,4696.0,5493.0,3983,3875,3849,4001,3847,,,,,,0.0,0.0,0.0,0.0,0.0,15,14,14,14,14,0.0,0.0,0.0,0.0,0.0
1.0,40143,Tulsa County,32.0,33.0,25.0,69.0,51.0,5711.0,5920.0,5763.0,5482.0,3906.0,2921.0,3158.0,3266.0,3368.0,3350.0,17128,18753.0,17653.0,17774.0,17148.0,15730.0,16012.0,15417.0,15453.0,14932.0,11815.0,10610.0,10123.0,9159.0,8274.0,15163.0,14489.0,13914.0,14287.0,13453.0,7130.0,7010.0,5155.0,5179.0,5005.0,20027,21268,21710,21528.0,20047,10328.0,17139.0,16603.0,11587.0,10573.0,24610.0,26366.0,25767.0,26085.0,25379.0,7598.0,7053.0,7070.0,7057.0,7324.0,53253,51808,52103,52556,52543,4439.0,4518.0,4775.0,4879.0,4071.0,36170,36828,38355,36415.0,33436.0,16090,16111,15896,16074,15254,12.0,46.0,14.0,27.0,27.0,9.0,6.0,7.0,11.0,10.0,306.0,308.0,287.0,273.0,240.0,42.0,45.0,46.0,50.0,51.0,1476,1458.0,1486.0,1531.0,1559.0,1155.0,1138.0,1106.0,1091.0,1076.0,378.0,357.0,362.0,343.0,345.0,1367.0,1373.0,1352.0,1357.0,1366.0,983.0,1000.0,1003.0,1020.0,1026.0,2403,2405,2418,2380.0,2450,180.0,179.0,171.0,159.0,164.0,1060.0,1070.0,1073.0,1092.0,1124.0,213.0,214.0,213.0,208.0,216.0,2123,2116,2149,2153,2186,250.0,244.0,266.0,270.0,275.0,1701,1712,1768,1737.0,1760.0,1795,1785,1779,1790,1842,12.0,24.0,24.0,26.0,14.0,1520.29,1520.31,1519.86,1519.85,1519.85,36.1,36.1,36.1,36.1,36.1,-95.93,-95.93,-95.93,-95.93,-95.93,1074.0,1117.0,1717.0,1769.0,2208.0,668299.0,757526.0,726765.0,600166.0,526256.0,294489.0,351807.0,431720.0,390775.0,345236.0,942332,1048919.0,1014644.0,1009295.0,1020817.0,968395.0,1015010.0,985754.0,977137.0,1016439.0,695934.0,635900.0,609538.0,585695.0,553673.0,1142684.0,1063302.0,1086079.0,1171434.0,1206356.0,293302.0,289104.0,237008.0,237201.0,254580.0,1460472,1443358,1529696,1403562.0,1453386,983488.0,1445663.0,1628565.0,1018311.0,1032876.0,850167.0,893607.0,1035957.0,986319.0,1023996.0,247956.0,241675.0,250027.0,250365.0,260023.0,2589192,2649645,2694873,2810803,2915013,91279.0,97902.0,100863.0,95112.0,104542.0,569145,619459,648311,588444.0,652377.0,479363,487334,515631,517268,612354,282.0,533.0,896.0,1536.0,846.0,6.78,6.68,6.97,7.14,7.9,637,643,646,650,664,2.19,2.2,2.17,2.23,2.2
1.0,40147,Washington County,,,,,,201.0,195.0,192.0,167.0,186.0,99.0,82.0,81.0,83.0,80.0,560,521.0,484.0,439.0,529.0,118.0,112.0,111.0,108.0,122.0,223.0,215.0,236.0,244.0,235.0,715.0,706.0,699.0,724.0,774.0,366.0,166.0,155.0,143.0,143.0,1667,1622,1755,1463.0,1418,0.0,3261.0,3259.0,2960.0,2576.0,1000.0,658.0,678.0,577.0,612.0,596.0,557.0,577.0,592.0,493.0,2899,2924,2717,2622,2654,371.0,425.0,368.0,401.0,378.0,1872,1843,1786,1745.0,1734.0,1295,1284,1150,1241,1164,,,,,,,,,,,32.0,36.0,34.0,31.0,34.0,5.0,5.0,5.0,5.0,5.0,99,95.0,88.0,91.0,97.0,28.0,27.0,27.0,28.0,29.0,26.0,26.0,26.0,26.0,23.0,90.0,85.0,88.0,88.0,89.0,53.0,51.0,46.0,50.0,51.0,96,96,102,101.0,93,8.0,8.0,9.0,8.0,8.0,53.0,55.0,55.0,54.0,60.0,13.0,12.0,11.0,11.0,10.0,169,163,162,157,162,18.0,19.0,17.0,20.0,23.0,106,113,109,106.0,116.0,137,134,130,133,128,,,,,,1098.88,1098.88,1099.0,1098.99,1099.0,30.22,30.22,30.22,30.22,30.22,-96.39,-96.39,-96.39,-96.39,-96.39,,,,,,16986.0,14324.0,13916.0,11941.0,13267.0,7282.0,6262.0,6631.0,6221.0,6170.0,24194,18910.0,19013.0,19887.0,21992.0,5108.0,5359.0,5421.0,5442.0,7282.0,9874.0,10143.0,9903.0,10445.0,10001.0,40443.0,42525.0,45135.0,47723.0,51335.0,9312.0,5988.0,6407.0,6616.0,6367.0,143985,154552,151361,129035.0,122525,0.0,350578.0,348582.0,318508.0,300082.0,27187.0,19920.0,20518.0,15183.0,16913.0,10427.0,10376.0,10601.0,10640.0,9182.0,126846,129035,108563,112694,122268,8342.0,8521.0,8213.0,8474.0,8651.0,26570,28214,28094,27468.0,31924.0,30728,30409,31069,31928,36822,,,,,,0.19,0.25,0.25,0.3,0.34,52,52,52,52,52,1.94,1.88,1.9,1.86,1.82
1.0,40017,Canadian County,14.0,9.0,9.0,4.0,18.0,2331.0,2540.0,3371.0,2298.0,1373.0,114.0,103.0,108.0,126.0,114.0,1622,1638.0,1612.0,1807.0,1907.0,1394.0,1404.0,1447.0,1319.0,1223.0,687.0,770.0,783.0,776.0,176.0,936.0,866.0,876.0,868.0,863.0,754.0,799.0,890.0,882.0,827.0,837,904,984,973.0,833,438.0,343.0,316.0,321.0,184.0,776.0,688.0,732.0,671.0,762.0,195.0,222.0,225.0,248.0,278.0,2727,2863,2910,3118,3099,510.0,540.0,620.0,945.0,747.0,4457,4567,4872,4924.0,4834.0,1425,1489,1410,1434,1520,,,,8.0,7.0,5.0,4.0,4.0,4.0,6.0,126.0,126.0,120.0,108.0,94.0,9.0,8.0,8.0,9.0,9.0,405,401.0,396.0,398.0,429.0,115.0,127.0,122.0,121.0,125.0,29.0,33.0,35.0,34.0,33.0,177.0,174.0,166.0,170.0,176.0,165.0,167.0,167.0,167.0,177.0,261,279,295,289.0,296,11.0,10.0,11.0,11.0,11.0,149.0,144.0,147.0,149.0,161.0,19.0,19.0,20.0,22.0,25.0,265,270,282,289,296,23.0,27.0,27.0,31.0,34.0,220,237,235,237.0,250.0,248,250,250,251,255,,,,6.0,6.0,2345.44,2345.45,2345.16,2344.98,2344.95,35.54,35.54,35.54,35.54,35.54,-98.0,-98.0,-98.0,-98.0,-98.0,1045.0,881.0,652.0,374.0,568.0,177225.0,206664.0,243447.0,127317.0,184353.0,9565.0,8905.0,9720.0,10704.0,10314.0,64156,68871.0,71346.0,81646.0,89941.0,89481.0,90415.0,94266.0,74620.0,81088.0,20333.0,20394.0,20417.0,20158.0,6980.0,42724.0,40586.0,42811.0,45391.0,48851.0,40338.0,57595.0,55058.0,51015.0,52449.0,52980,61543,65597,46679.0,49093,23516.0,15785.0,19653.0,19996.0,13907.0,27451.0,28130.0,27193.0,24094.0,26656.0,3761.0,4336.0,4745.0,5048.0,6378.0,103703,109242,114070,114321,127787,12969.0,15578.0,16744.0,14646.0,18572.0,60172,66809,73165,69336.0,81566.0,32489,36368,36455,33822,39611,,,,297.0,152.0,0.77,0.85,0.76,0.62,0.61,133,137,140,145,151,2.12,2.01,2.09,2.32,2.39
1.0,40057,Harmon County,13.0,,,,,,,,,,25.0,28.0,27.0,27.0,27.0,18,21.0,25.0,22.0,22.0,,,,,,,,,,,41.0,42.0,41.0,61.0,43.0,,,,,,6,4,4,6.0,8,,,,,,,,,,,,,,,,129,131,125,135,130,,,,,,16,14,9,,,19,28,21,20,21,,,,,,3.0,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,4.0,,,,,,,,,,,5.0,5.0,5.0,4.0,4.0,,,,,,4,3,3,4.0,4,,,,,,,,,,,,,,,,6,6,6,6,6,,,,,,4,3,3,,,6,6,7,6,6,,,,,,1395.22,1395.26,1395.32,1395.32,1395.31,34.75,34.75,34.75,34.75,34.75,-99.84,-99.84,-99.84,-99.84,-99.84,940.0,,,,,,,,,,1759.0,1807.0,1952.0,1474.0,1991.0,685,825.0,823.0,885.0,812.0,,,,,,,,,,,1973.0,1986.0,2028.0,2812.0,2620.0,,,,,,95,87,97,120.0,148,,,,,,,,,,,,,,,,4403,4874,4854,5265,5743,,,,,,125,102,106,,,284,300,385,285,306,,,,,,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0
0.0,40061,Haskell County,,,,,,175.0,192.0,150.0,169.0,145.0,0.0,44.0,45.0,49.0,51.0,143,127.0,125.0,143.0,140.0,29.0,22.0,24.0,23.0,30.0,49.0,50.0,44.0,49.0,43.0,63.0,78.0,62.0,63.0,63.0,0.0,,47.0,38.0,34.0,43,51,37,37.0,35,,,,,,10.0,6.0,8.0,13.0,12.0,,,,,,825,679,865,1167,801,,,,,,146,142,145,154.0,182.0,65,68,68,69,58,,,,,,,,,,,21.0,23.0,19.0,20.0,18.0,3.0,3.0,3.0,3.0,3.0,15,17.0,15.0,19.0,19.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,11.0,12.0,9.0,10.0,11.0,3.0,,3.0,3.0,3.0,17,20,22,18.0,20,,,,,,6.0,3.0,4.0,4.0,3.0,,,,,,37,33,35,39,38,,,,,,13,15,16,16.0,13.0,22,22,24,26,22,,,,,,1619.23,1619.22,1619.75,1619.92,1619.83,33.15,33.15,33.15,33.15,33.15,-99.72,-99.72,-99.72,-99.72,-99.72,,,,,,7855.0,8234.0,5608.0,5567.0,8803.0,0.0,3124.0,3263.0,3398.0,3826.0,6736,6697.0,6954.0,7278.0,7865.0,1511.0,1613.0,1577.0,1437.0,1650.0,1466.0,1515.0,1406.0,1357.0,1399.0,2631.0,2674.0,2799.0,2810.0,2868.0,0.0,,3425.0,1610.0,1807.0,944,974,1128,803.0,952,,,,,,218.0,165.0,244.0,363.0,360.0,,,,,,23430,21235,26145,28316,25608,,,,,,1665,1627,1501,1944.0,2224.0,1598,1607,1599,1660,1859,,,,,,0.0,0.0,0.0,0.0,0.0,13,13,13,13,12,0.0,0.0,0.0,0.0,0.0
