target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,47047,Fayette County,9.0,2.0,6.0,4.0,,,,,,,,,,,,823.0,830.0,831.0,753.0,822.0,488.0,478.0,297.0,334.0,323.0,31.0,41.0,45.0,26.0,13.0,201.0,214.0,210.0,240.0,245.0,62.0,80.0,57.0,48.0,59.0,120.0,121.0,117.0,125.0,146.0,0.0,252.0,257.0,222.0,249.0,537.0,575.0,664.0,855.0,1095.0,,134.0,145.0,148.0,158.0,509,529,569,580,564,19.0,25.0,36.0,29.0,55.0,617.0,498.0,472.0,505.0,491.0,323,335,388.0,448.0,541,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,94.0,102.0,102.0,96.0,102.0,41.0,41.0,40.0,45.0,42.0,8.0,10.0,10.0,9.0,7.0,39.0,38.0,41.0,39.0,37.0,12.0,16.0,17.0,19.0,20.0,33.0,35.0,37.0,35.0,42.0,5.0,6.0,4.0,4.0,4.0,36.0,34.0,35.0,37.0,44.0,,3.0,4.0,3.0,5.0,47,50,45,42,45,5.0,5.0,6.0,7.0,10.0,35.0,35.0,37.0,40.0,45.0,74,70,74.0,70.0,90,,,,,,1829.06,1829.06,1829.07,1829.01,1829.01,29.84,29.84,29.84,29.84,29.84,-96.96,-96.96,-96.96,-96.96,-96.96,286.0,190.0,352.0,411.0,,,,,,,,,,,,39419.0,40718.0,40696.0,42030.0,44804.0,27845.0,27683.0,17963.0,20387.0,21502.0,1499.0,2045.0,1659.0,863.0,746.0,11505.0,12411.0,12945.0,14533.0,13119.0,1486.0,2035.0,2105.0,1996.0,2229.0,3716.0,3916.0,3668.0,4688.0,6905.0,0.0,42572.0,49913.0,32833.0,92181.0,21407.0,20377.0,29858.0,35696.0,56139.0,,4226.0,4465.0,4607.0,5372.0,16697,17433,18532,19243,20675,521.0,730.0,788.0,868.0,1595.0,7067.0,6563.0,6817.0,7085.0,8416.0,7411,8303,8864.0,10138.0,14000,,,,,,0.0,0.0,0.0,0.0,0.0,39,40,40,41,42,0.0,0.0,0.0,0.0,0.0
1.0,47067,Hancock County,,,,,,,,,,,,,,,,,,,8.0,11.0,,,,,,,,,,,12.0,11.0,12.0,11.0,8.0,4.0,12.0,7.0,11.0,9.0,8.0,7.0,6.0,6.0,5.0,,,,,,,,,,,,,,,,158,154,153,162,146,,,,,,45.0,65.0,61.0,53.0,47.0,0,14,,,11,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,10,10,10,9,9,,,,,,4.0,4.0,4.0,4.0,4.0,3,3,,,3,,,,,,578.42,578.42,578.41,578.42,578.42,40.39,40.39,40.39,40.39,40.39,-91.15,-91.15,-91.15,-91.15,-91.15,,,,,,,,,,,,,,,,,,,122.0,438.0,,,,,,,,,,,394.0,307.0,310.0,323.0,368.0,94.0,238.0,173.0,141.0,165.0,61.0,85.0,92.0,105.0,110.0,,,,,,,,,,,,,,,,5082,5816,6156,6310,6373,,,,,,605.0,730.0,741.0,710.0,745.0,0,301,,,363,,,,,,0.0,0.0,0.0,0.0,0.0,7,7,7,7,7,0.0,0.0,0.0,0.0,0.0
1.0,47073,Hawkins County,,,,,,,,,,,,,,,,269.0,228.0,234.0,247.0,269.0,150.0,155.0,172.0,149.0,128.0,39.0,49.0,59.0,54.0,72.0,204.0,200.0,188.0,176.0,167.0,107.0,80.0,82.0,80.0,73.0,105.0,107.0,127.0,123.0,118.0,165.0,136.0,151.0,119.0,113.0,649.0,610.0,441.0,297.0,309.0,,,,,,1281,1189,1125,1151,1023,29.0,18.0,20.0,25.0,18.0,1028.0,1049.0,1005.0,876.0,890.0,302,345,333.0,372.0,363,,,,,,,,,,,,,,,,,,,,,55.0,46.0,46.0,44.0,46.0,17.0,16.0,15.0,15.0,13.0,8.0,9.0,10.0,10.0,10.0,54.0,47.0,46.0,45.0,42.0,24.0,25.0,28.0,32.0,27.0,33.0,36.0,37.0,37.0,35.0,3.0,4.0,4.0,4.0,4.0,31.0,33.0,35.0,35.0,35.0,,,,,,58,57,62,58,58,10.0,8.0,7.0,7.0,6.0,64.0,72.0,70.0,70.0,68.0,81,79,81.0,84.0,82,,,,,,1294.23,1294.19,1294.21,1294.16,1294.22,36.43,36.43,36.43,36.43,36.43,-82.96,-82.96,-82.96,-82.96,-82.96,,,,,,,,,,,,,,,,9155.0,8222.0,8582.0,9079.0,9772.0,9124.0,9870.0,9008.0,8425.0,7590.0,1252.0,1452.0,1923.0,1831.0,2959.0,8233.0,7539.0,7470.0,7378.0,7667.0,3011.0,2527.0,2570.0,2873.0,2245.0,3765.0,4004.0,5115.0,4817.0,4930.0,11256.0,9834.0,10404.0,7077.0,7747.0,14266.0,13385.0,10503.0,8794.0,9415.0,,,,,,50341,45930,47973,50553,46151,323.0,210.0,262.0,220.0,325.0,12220.0,12072.0,11797.0,11332.0,13564.0,6949,7594,7929.0,8441.0,8949,,,,,,0.0,0.0,0.0,0.0,0.0,56,56,57,57,57,0.0,0.0,0.0,0.0,0.0
1.0,47091,Johnson County,,,,,,,,,,,,,,,,312.0,288.0,306.0,309.0,285.0,,,,12.0,12.0,13.0,13.0,13.0,,,118.0,114.0,110.0,106.0,102.0,29.0,22.0,25.0,21.0,28.0,50.0,60.0,65.0,69.0,63.0,,,,,,14.0,21.0,34.0,53.0,47.0,,,,,,633,519,519,555,521,0.0,10.0,9.0,,4.0,285.0,270.0,253.0,302.0,357.0,77,82,71.0,72.0,96,,,,,,,,,,,,,,,,,,,,,16.0,17.0,20.0,18.0,21.0,,,,3.0,5.0,3.0,3.0,3.0,,,16.0,17.0,17.0,16.0,17.0,12.0,10.0,9.0,9.0,10.0,15.0,16.0,17.0,15.0,16.0,,,,,,6.0,6.0,8.0,8.0,7.0,,,,,,22,23,26,25,26,3.0,3.0,3.0,,4.0,28.0,27.0,31.0,31.0,30.0,34,33,31.0,32.0,31,,,,,,784.18,784.17,784.17,784.18,784.19,32.38,32.38,32.38,32.38,32.38,-97.36,-97.36,-97.36,-97.36,-97.36,,,,,,,,,,,,,,,,13320.0,13243.0,14899.0,14282.0,15127.0,,,,479.0,785.0,371.0,355.0,347.0,,,5024.0,4969.0,4728.0,4496.0,4305.0,518.0,388.0,351.0,348.0,713.0,1743.0,2277.0,3319.0,3169.0,3534.0,,,,,,427.0,621.0,1299.0,1605.0,1494.0,,,,,,18684,18912,20356,20884,20223,0.0,196.0,100.0,,340.0,4080.0,4084.0,3930.0,4484.0,5782.0,1359,1285,1146.0,1239.0,1311,,,,,,0.0,0.0,0.0,0.0,0.0,18,18,18,18,18,0.0,0.0,0.0,0.0,0.0
0.0,47103,Lincoln County,,,,,,,,,,,,,,,,231.0,245.0,234.0,261.0,274.0,255.0,225.0,215.0,174.0,174.0,105.0,143.0,151.0,114.0,99.0,218.0,216.0,238.0,227.0,210.0,115.0,109.0,130.0,104.0,109.0,146.0,136.0,133.0,138.0,144.0,,,,,8.0,334.0,258.0,281.0,281.0,195.0,24.0,21.0,17.0,12.0,25.0,882,894,873,858,868,5.0,4.0,14.0,14.0,35.0,671.0,620.0,702.0,611.0,622.0,304,319,291.0,284.0,258,,,,,,,,,,,,,,,,,,,,,44.0,47.0,42.0,46.0,44.0,29.0,30.0,23.0,25.0,24.0,11.0,12.0,10.0,10.0,10.0,44.0,43.0,42.0,42.0,41.0,20.0,21.0,22.0,22.0,21.0,35.0,33.0,33.0,38.0,40.0,,,,,3.0,33.0,33.0,30.0,31.0,32.0,5.0,3.0,3.0,4.0,4.0,61,62,71,67,66,7.0,6.0,6.0,5.0,4.0,46.0,46.0,47.0,45.0,40.0,57,57,55.0,55.0,55,,,,,,1478.2,1478.21,1478.19,1478.1,1478.19,35.49,35.49,35.49,35.49,35.49,-81.21,-81.21,-81.21,-81.21,-81.21,,,,,,,,,,,,,,,,10056.0,9215.0,10014.0,12698.0,11737.0,15876.0,18128.0,12993.0,10450.0,9464.0,4618.0,6362.0,6122.0,5162.0,7610.0,9831.0,9924.0,10659.0,11126.0,11221.0,2847.0,3096.0,3508.0,3018.0,2904.0,5159.0,4792.0,5042.0,5341.0,6043.0,,,,,629.0,10177.0,8031.0,8404.0,17894.0,6697.0,241.0,218.0,193.0,215.0,279.0,31834,33586,33643,34032,38619,73.0,62.0,149.0,180.0,190.0,8372.0,8578.0,9422.0,8804.0,9853.0,6000,6767,6536.0,6277.0,6788,,,,,,0.0,0.0,0.0,0.0,0.0,34,34,34,34,35,0.0,0.0,0.0,0.0,0.0
1.0,47111,Macon County,,,,,,,,,,,,,,,,60.0,71.0,76.0,82.0,84.0,49.0,60.0,62.0,70.0,65.0,124.0,102.0,95.0,91.0,92.0,269.0,289.0,299.0,296.0,298.0,30.0,31.0,20.0,19.0,23.0,62.0,62.0,56.0,66.0,63.0,,,,,,22.0,24.0,10.0,76.0,101.0,,,,,,700,670,721,711,637,,,,,,263.0,290.0,310.0,285.0,320.0,110,105,103.0,94.0,97,,,,,,,,,,,,,,,,,,,,,18.0,18.0,19.0,19.0,19.0,10.0,9.0,8.0,8.0,7.0,6.0,6.0,6.0,5.0,5.0,29.0,29.0,29.0,30.0,28.0,10.0,11.0,10.0,10.0,10.0,21.0,21.0,20.0,21.0,22.0,,,,,,10.0,11.0,8.0,5.0,8.0,,,,,,38,37,39,41,40,,,,,,24.0,27.0,24.0,24.0,25.0,33,32,34.0,33.0,33,,,,,,795.25,795.24,795.26,795.27,795.27,39.85,39.85,39.85,39.85,39.85,-88.96,-88.96,-88.96,-88.96,-88.96,,,,,,,,,,,,,,,,1963.0,2349.0,3024.0,3018.0,3442.0,2236.0,2937.0,2834.0,3200.0,3428.0,6641.0,7007.0,6196.0,6356.0,6716.0,14161.0,12777.0,14260.0,14060.0,14966.0,347.0,485.0,558.0,572.0,564.0,2151.0,2098.0,2198.0,2400.0,2908.0,,,,,,835.0,867.0,284.0,1868.0,2925.0,,,,,,18465,19820,21727,22975,25072,,,,,,3370.0,3946.0,4074.0,4187.0,5301.0,3570,2706,2558.0,2351.0,2606,,,,,,0.0,0.0,0.0,0.0,0.0,23,23,24,24,25,0.0,0.0,0.0,0.0,0.0
1.0,47127,Moore County,,,,,,,,,,,,,,,,35.0,44.0,55.0,38.0,49.0,,,,,6.0,,,,,,8.0,10.0,11.0,10.0,11.0,,,,3.0,4.0,25.0,24.0,26.0,30.0,25.0,,,,,,,51.0,57.0,58.0,49.0,,,,,,122,122,123,124,117,,,,,,47.0,50.0,60.0,67.0,53.0,20,15,14.0,19.0,15,,,,,,,,,,,,,,,,,,,,,9.0,8.0,9.0,11.0,10.0,,,,,3.0,,,,,,3.0,3.0,3.0,3.0,3.0,,,,3.0,3.0,5.0,5.0,6.0,6.0,6.0,,,,,,,3.0,4.0,3.0,3.0,,,,,,4,5,5,5,5,,,,,,8.0,8.0,7.0,9.0,9.0,8,9,8.0,8.0,9,,,,,,337.87,337.87,337.84,337.95,337.88,35.82,35.82,35.82,35.82,35.82,-101.91,-101.91,-101.91,-101.91,-101.91,,,,,,,,,,,,,,,,1481.0,1542.0,1535.0,1426.0,1833.0,,,,,220.0,,,,,,406.0,500.0,486.0,472.0,476.0,,,,63.0,59.0,520.0,746.0,863.0,762.0,900.0,,,,,,,1947.0,1984.0,2110.0,2378.0,,,,,,3782,3755,3887,3874,4170,,,,,,786.0,894.0,945.0,693.0,1081.0,235,188,192.0,243.0,292,,,,,,0.0,0.0,0.0,0.0,0.0,6,6,6,6,6,0.0,0.0,0.0,0.0,0.0
1.0,47147,Robertson County,,4.0,7.0,7.0,7.0,,,,,,0.0,33.0,34.0,36.0,40.0,1138.0,1198.0,1253.0,1300.0,1239.0,915.0,1029.0,930.0,1261.0,1168.0,53.0,45.0,39.0,34.0,29.0,357.0,370.0,437.0,396.0,340.0,148.0,141.0,162.0,164.0,113.0,344.0,271.0,286.0,320.0,349.0,108.0,84.0,90.0,78.0,83.0,858.0,872.0,878.0,747.0,687.0,262.0,266.0,282.0,274.0,221.0,1952,2024,1973,2028,1873,147.0,157.0,166.0,150.0,131.0,2064.0,2003.0,2040.0,2105.0,1867.0,633,661,680.0,661.0,674,,,,,,,3.0,5.0,5.0,5.0,,,,,,3.0,3.0,3.0,3.0,3.0,155.0,163.0,161.0,163.0,182.0,51.0,48.0,50.0,48.0,50.0,11.0,12.0,9.0,9.0,11.0,83.0,86.0,93.0,93.0,89.0,42.0,46.0,46.0,48.0,46.0,64.0,60.0,63.0,66.0,71.0,8.0,7.0,5.0,5.0,5.0,47.0,52.0,50.0,53.0,57.0,10.0,9.0,11.0,10.0,9.0,129,129,123,124,129,19.0,19.0,17.0,16.0,15.0,101.0,107.0,111.0,111.0,120.0,146,144,146.0,149.0,150,,,,,,1234.28,1234.33,1234.32,1234.43,1234.37,31.03,31.03,31.03,31.03,31.03,-96.51,-96.51,-96.51,-96.51,-96.51,,320.0,487.0,573.0,543.0,,,,,,0.0,2913.0,3011.0,3224.0,3662.0,60832.0,64615.0,69188.0,69296.0,73316.0,35350.0,37021.0,38576.0,46820.0,65820.0,2270.0,2345.0,2294.0,2217.0,2558.0,17457.0,18323.0,21982.0,20524.0,21825.0,7446.0,7769.0,8218.0,5992.0,6808.0,16248.0,16577.0,18655.0,19184.0,20212.0,9288.0,9474.0,11387.0,11100.0,13667.0,31568.0,30720.0,29716.0,28396.0,34851.0,7358.0,7715.0,8073.0,6758.0,5210.0,75862,81749,81032,81686,91933,2699.0,2722.0,2664.0,2016.0,2286.0,28257.0,30519.0,31510.0,30579.0,33961.0,16385,16376,17984.0,18498.0,22221,,,,,,0.0,0.0,0.0,0.0,0.0,69,69,70,71,72,0.0,0.0,0.0,0.0,0.0
1.0,47051,Franklin County,17.0,13.0,16.0,21.0,20.0,77.0,74.0,76.0,97.0,120.0,,,,,,1027.0,247.0,301.0,272.0,294.0,76.0,72.0,82.0,76.0,74.0,85.0,80.0,77.0,65.0,64.0,270.0,260.0,257.0,254.0,212.0,39.0,34.0,30.0,42.0,47.0,564.0,531.0,1271.0,1365.0,1325.0,,,,,,218.0,1041.0,1148.0,1037.0,829.0,0.0,1712.0,1682.0,1696.0,1660.0,1560,1563,1537,1585,1408,56.0,51.0,44.0,40.0,31.0,874.0,893.0,925.0,927.0,860.0,417,388,395.0,417.0,417,,,,,,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,7.0,,,,,,59.0,58.0,54.0,58.0,62.0,15.0,16.0,13.0,12.0,15.0,12.0,13.0,13.0,12.0,13.0,47.0,46.0,45.0,44.0,42.0,17.0,14.0,15.0,16.0,18.0,48.0,46.0,43.0,46.0,45.0,,,,,,30.0,31.0,33.0,33.0,38.0,7.0,7.0,6.0,6.0,6.0,95,93,95,94,92,10.0,11.0,10.0,9.0,8.0,64.0,61.0,61.0,61.0,65.0,91,92,94.0,98.0,98,,,,,,1490.15,1490.11,1490.16,1490.3,1490.16,33.2,33.2,33.2,33.2,33.2,-95.22,-95.22,-95.22,-95.22,-95.22,481.0,575.0,696.0,1054.0,1024.0,5442.0,5655.0,5726.0,7202.0,8837.0,,,,,,44679.0,8813.0,10351.0,10469.0,11273.0,3269.0,3613.0,3513.0,3502.0,3398.0,2448.0,2405.0,2350.0,2457.0,2502.0,11034.0,10555.0,11115.0,11744.0,11684.0,1719.0,1650.0,1762.0,2013.0,2310.0,39148.0,34863.0,99341.0,98615.0,108190.0,,,,,,5669.0,47737.0,46375.0,34564.0,32013.0,0.0,46965.0,48203.0,47802.0,48472.0,65687,67969,69377,71678,66600,1531.0,1633.0,1661.0,1553.0,7709.0,12632.0,13860.0,14544.0,13806.0,15090.0,10080,10214,11415.0,11652.0,13273,,,,,,0.0,0.0,0.0,0.0,0.0,41,42,42,42,43,0.0,0.0,0.0,0.0,0.0
1.0,47009,Blount County,,,17.0,19.0,18.0,,,,,,36.0,35.0,28.0,49.0,48.0,1921.0,2162.0,2160.0,2266.0,2772.0,1806.0,1884.0,1938.0,1867.0,1752.0,462.0,380.0,269.0,307.0,219.0,2155.0,2223.0,2169.0,2122.0,1924.0,458.0,455.0,434.0,434.0,362.0,4498.0,3469.0,3549.0,2596.0,2683.0,712.0,714.0,616.0,517.0,500.0,2305.0,2400.0,2019.0,2214.0,2129.0,855.0,892.0,1050.0,948.0,894.0,6107,6307,6334,6223,6135,242.0,284.0,254.0,280.0,256.0,5001.0,5351.0,5498.0,5640.0,5729.0,1891,1993,2129.0,2117.0,2097,,,,,,,,5.0,5.0,4.0,,,,,,4.0,4.0,4.0,5.0,5.0,239.0,241.0,238.0,244.0,275.0,106.0,102.0,102.0,97.0,97.0,29.0,27.0,27.0,28.0,25.0,181.0,175.0,172.0,166.0,162.0,102.0,95.0,87.0,93.0,90.0,197.0,199.0,196.0,199.0,205.0,27.0,25.0,21.0,19.0,17.0,124.0,120.0,127.0,128.0,138.0,31.0,32.0,33.0,30.0,29.0,238,241,258,252,256,31.0,30.0,30.0,29.0,31.0,208.0,211.0,216.0,215.0,235.0,282,288,300.0,300.0,304,,,,,,1467.58,1467.45,1467.45,1467.5,1467.58,33.95,33.95,33.95,33.95,33.95,-86.57,-86.57,-86.57,-86.57,-86.57,,,758.0,670.0,764.0,,,,,,2798.0,2663.0,2519.0,4414.0,4327.0,88785.0,98477.0,104985.0,115667.0,137167.0,113388.0,119332.0,126300.0,116395.0,124232.0,22067.0,15392.0,16051.0,16471.0,17138.0,120584.0,135321.0,138332.0,118819.0,130648.0,13674.0,13230.0,13414.0,13020.0,13600.0,385164.0,380509.0,421108.0,266509.0,277715.0,72274.0,68267.0,66357.0,58550.0,77795.0,64967.0,66344.0,62996.0,65257.0,72797.0,22765.0,24539.0,26386.0,25391.0,27623.0,284471,294738,312909,310345,337509,4004.0,4340.0,4662.0,4534.0,6278.0,90656.0,99764.0,108773.0,109766.0,135676.0,50045,53040,57898.0,57365.0,63213,,,,,,0.0,0.0,0.07,0.0,0.04,127,128,130,132,134,0.0,0.0,1.61,0.0,1.6
