target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
0.0,51127,New Kent County,21.0,23.0,27.0,31.0,34.0,,,,,,,,,,,424,435,419,404,442,42.0,45.0,53.0,43.0,37.0,20.0,21.0,22.0,25.0,24.0,39.0,39.0,41.0,45.0,36.0,21.0,25.0,22.0,27.0,29.0,116.0,124.0,133.0,130.0,130.0,,,,,,511.0,558.0,550.0,269.0,249.0,20.0,24.0,22.0,20.0,32.0,694.0,616.0,597.0,617.0,547.0,121.0,93.0,173.0,972.0,790.0,325,389.0,398,449,409.0,172,200,201,217,210,,,,,,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,91,88,87,85,88,9.0,11.0,9.0,9.0,7.0,4.0,3.0,3.0,3.0,4.0,10.0,9.0,9.0,10.0,12.0,16.0,15.0,15.0,19.0,23.0,32.0,35.0,34.0,35.0,37.0,,,,,,32.0,31.0,35.0,33.0,32.0,6.0,6.0,6.0,8.0,10.0,25.0,26.0,25.0,27.0,26.0,16.0,13.0,12.0,13.0,14.0,31,33.0,38,40,38.0,42,44,44,48,48,,,,,,579.59,579.61,579.64,579.67,579.62,37.5,37.5,37.5,37.5,37.5,-77.0,-77.0,-77.0,-77.0,-77.0,965.0,1108.0,1250.0,1741.0,1732.0,,,,,,,,,,,22722,23682,23379,23370,28084,2491.0,2651.0,3580.0,2368.0,2169.0,613.0,716.0,774.0,803.0,815.0,1912.0,1668.0,1781.0,1923.0,1769.0,854.0,868.0,837.0,1174.0,1275.0,5736.0,6118.0,6450.0,7070.0,7408.0,,,,,,26250.0,27273.0,29767.0,11428.0,10931.0,567.0,514.0,627.0,788.0,1241.0,19778.0,21166.0,22310.0,24425.0,22467.0,1365.0,1766.0,24250.0,23529.0,26076.0,5129,6032.0,6789,7496,8579.0,4781,5482,5599,6104,6807,,,,,,0.0,0.0,0.0,0.0,0.0,21,21,22,22,23.0,0.0,0.0,0.0,0.0,0.0
0.0,51015,Augusta County,16.0,12.0,14.0,16.0,13.0,30.0,29.0,26.0,32.0,30.0,0.0,65.0,65.0,64.0,61.0,1890,1761,1851,1957,1912,898.0,964.0,994.0,940.0,949.0,93.0,90.0,94.0,93.0,82.0,247.0,261.0,307.0,274.0,262.0,169.0,158.0,180.0,216.0,201.0,464.0,446.0,458.0,402.0,414.0,28.0,29.0,27.0,26.0,,872.0,965.0,1021.0,1050.0,810.0,91.0,71.0,108.0,104.0,104.0,3776.0,3797.0,3834.0,3893.0,3743.0,45.0,69.0,61.0,75.0,52.0,1433,1417.0,1529,1437,1288.0,831,900,850,813,789,,,5.0,6.0,1.0,9.0,8.0,8.0,12.0,11.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,265,255,255,264,275,63.0,62.0,64.0,63.0,57.0,12.0,14.0,14.0,14.0,14.0,59.0,59.0,63.0,65.0,65.0,58.0,54.0,56.0,65.0,68.0,87.0,82.0,75.0,75.0,81.0,4.0,3.0,3.0,3.0,,88.0,87.0,90.0,92.0,99.0,14.0,14.0,17.0,17.0,15.0,117.0,115.0,115.0,110.0,104.0,14.0,13.0,11.0,10.0,10.0,94,98.0,103,97,97.0,198,200,197,195,204,,,4.0,4.0,5.0,2514.12,2514.12,2514.11,2514.33,2514.19,38.18,38.18,38.18,38.18,38.18,-79.15,-79.15,-79.15,-79.15,-79.15,408.0,368.0,369.0,392.0,481.0,1729.0,1579.0,1404.0,1678.0,1851.0,0.0,5032.0,5256.0,5383.0,5345.0,86449,84942,89357,93403,97781,43445.0,45812.0,47718.0,46361.0,51345.0,6091.0,6262.0,6346.0,6097.0,6040.0,13042.0,13741.0,15455.0,15670.0,16824.0,4370.0,4547.0,5661.0,6705.0,7690.0,18222.0,19014.0,18770.0,17380.0,19267.0,1896.0,1893.0,2030.0,1945.0,,24524.0,29232.0,31478.0,27797.0,27887.0,1946.0,1816.0,2617.0,2476.0,2583.0,187298.0,197152.0,210789.0,223252.0,240976.0,829.0,995.0,983.0,824.0,1114.0,21660,23042.0,24557,20901,23106.0,21551,22932,23960,23189,25955,,,112.0,94.0,73.0,0.03,0.03,0.03,0.0,0.0,74,75,75,76,77.0,3.01,3.26,3.89,0.0,0.0
1.0,51131,Northampton County,216.0,211.0,200.0,200.0,176.0,,,,,,,,,,,79,76,80,91,77,117.0,119.0,113.0,119.0,91.0,15.0,10.0,12.0,10.0,11.0,53.0,57.0,68.0,64.0,59.0,26.0,27.0,30.0,35.0,33.0,63.0,72.0,76.0,78.0,77.0,,,,,,64.0,59.0,48.0,49.0,44.0,78.0,71.0,65.0,67.0,90.0,716.0,728.0,721.0,709.0,732.0,101.0,102.0,100.0,89.0,94.0,504,478.0,496,502,411.0,114,105,120,112,95,,,,,,8.0,9.0,8.0,8.0,8.0,,,,,,,,,,,22,24,23,25,24,19.0,17.0,15.0,16.0,15.0,4.0,4.0,4.0,4.0,4.0,17.0,17.0,17.0,17.0,15.0,14.0,14.0,17.0,18.0,18.0,22.0,21.0,21.0,22.0,22.0,,,,,,8.0,8.0,9.0,10.0,12.0,4.0,3.0,3.0,4.0,4.0,35.0,35.0,35.0,32.0,30.0,6.0,4.0,4.0,3.0,4.0,40,42.0,41,39,42.0,38,36,39,34,34,,,,,,897.09,897.09,897.09,890.78,897.07,40.75,40.75,40.75,40.75,40.75,-75.33,-75.33,-75.33,-75.33,-75.33,10601.0,11468.0,13822.0,11412.0,14416.0,,,,,,,,,,,2618,2782,3438,3725,3612,6724.0,5730.0,6559.0,5662.0,6203.0,515.0,469.0,401.0,398.0,394.0,2718.0,3257.0,3104.0,2803.0,3383.0,725.0,734.0,944.0,1397.0,1505.0,2768.0,3255.0,3621.0,3642.0,4004.0,,,,,,1612.0,1745.0,1679.0,1876.0,1510.0,2261.0,2246.0,2174.0,2363.0,2738.0,29667.0,30581.0,32237.0,30985.0,32655.0,3756.0,3612.0,3218.0,3268.0,4038.0,10239,10114.0,10658,8793,11229.0,2413,2249,2592,2259,2612,,,,,,0.0,0.0,0.0,0.0,0.0,12,12,12,12,12.0,0.0,0.0,0.0,0.0,0.0
1.0,51049,Cumberland County,38.0,34.0,36.0,36.0,34.0,,,,,,,,,,,107,104,103,91,109,,,,,,17.0,15.0,14.0,12.0,13.0,24.0,22.0,19.0,16.0,10.0,0.0,5.0,9.0,6.0,5.0,48.0,20.0,23.0,22.0,21.0,,,,,,29.0,33.0,33.0,71.0,79.0,,,,,,86.0,106.0,71.0,63.0,60.0,,,,,,47,67.0,65,64,57.0,37,42,34,39,39,,,,,,4.0,3.0,3.0,3.0,3.0,,,,,,,,,,,35,36,35,33,37,,,,,,3.0,3.0,3.0,3.0,3.0,7.0,7.0,6.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,6.0,,,,,,7.0,7.0,8.0,9.0,10.0,,,,,,12.0,13.0,12.0,12.0,13.0,,,,,,7,8.0,8,8,9.0,11,12,9,10,9,,,,,,776.47,776.47,776.45,776.23,776.35,40.15,40.15,40.15,40.15,40.15,-77.28,-77.28,-77.28,-77.28,-77.28,1618.0,1590.0,1582.0,1658.0,1610.0,,,,,,,,,,,3040,2920,3205,3082,3584,,,,,,507.0,481.0,368.0,321.0,287.0,810.0,835.0,712.0,651.0,435.0,0.0,45.0,85.0,140.0,214.0,2141.0,381.0,462.0,501.0,565.0,,,,,,676.0,744.0,835.0,2821.0,2876.0,,,,,,2019.0,2278.0,1725.0,1868.0,1807.0,,,,,,731,1016.0,856,584,781.0,839,885,1017,1048,1175,,,,,,0.0,0.0,0.0,0.0,0.0,10,10,10,10,10.0,0.0,0.0,0.0,0.0,0.0
0.0,51051,Dickenson County,17.0,21.0,21.0,17.0,22.0,172.0,172.0,178.0,173.0,161.0,,,,,,134,108,96,109,135,20.0,26.0,24.0,14.0,27.0,12.0,15.0,15.0,11.0,18.0,64.0,64.0,65.0,63.0,68.0,,,,,,261.0,343.0,335.0,369.0,367.0,,,,,,8.0,21.0,50.0,46.0,47.0,,,,,,379.0,373.0,320.0,344.0,334.0,,,,,,202,189.0,215,196,175.0,74,84,73,72,70,,,,,,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,6.0,,,,,,16,14,14,15,15,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,5.0,6.0,11.0,11.0,11.0,11.0,11.0,,,,,,13.0,14.0,15.0,14.0,15.0,,,,,,5.0,5.0,7.0,7.0,8.0,,,,,,24.0,24.0,22.0,23.0,24.0,,,,,,14,13.0,11,12,13.0,23,22,20,21,21,,,,,,864.05,864.02,864.04,864.01,864.03,37.12,37.12,37.12,37.12,37.12,-82.36,-82.36,-82.36,-82.36,-82.36,425.0,443.0,448.0,381.0,495.0,12223.0,13227.0,13696.0,14338.0,12461.0,,,,,,5044,3931,3764,4356,5609,860.0,1164.0,1426.0,964.0,1582.0,769.0,892.0,782.0,729.0,1006.0,2301.0,2366.0,2377.0,2428.0,2332.0,,,,,,6692.0,8530.0,9777.0,12609.0,11471.0,,,,,,264.0,250.0,610.0,688.0,752.0,,,,,,11743.0,11531.0,11216.0,11954.0,12552.0,,,,,,2528,2261.0,2519,2387,2657.0,1731,1842,1845,1898,2156,,,,,,0.0,0.0,0.0,0.0,0.0,15,15,15,15,14.0,0.0,0.0,0.0,0.0,0.0
1.0,51075,Goochland County,16.0,16.0,20.0,18.0,24.0,0.0,108.0,81.0,79.0,73.0,,,,,,1017,1045,1011,1142,1046,463.0,471.0,464.0,451.0,321.0,35.0,14.0,13.0,9.0,9.0,3570.0,6005.0,6028.0,6124.0,5974.0,132.0,146.0,150.0,164.0,203.0,313.0,314.0,337.0,334.0,306.0,0.0,5216.0,5911.0,7840.0,6050.0,613.0,594.0,629.0,577.0,667.0,117.0,140.0,145.0,135.0,181.0,482.0,461.0,470.0,484.0,846.0,542.0,583.0,560.0,925.0,675.0,618,610.0,596,429,445.0,457,529,501,499,513,,,,,,4.0,6.0,6.0,6.0,7.0,4.0,4.0,4.0,4.0,4.0,,,,,,128,123,123,131,130,42.0,43.0,42.0,43.0,42.0,10.0,8.0,7.0,7.0,6.0,38.0,36.0,33.0,36.0,42.0,19.0,19.0,23.0,23.0,26.0,80.0,80.0,83.0,80.0,82.0,6.0,5.0,5.0,5.0,4.0,62.0,60.0,65.0,67.0,72.0,15.0,14.0,15.0,12.0,11.0,31.0,31.0,29.0,31.0,37.0,16.0,16.0,17.0,20.0,20.0,48,49.0,53,54,36.0,78,77,78,75,71,,,,,,749.42,749.42,749.42,752.32,752.93,37.72,37.72,37.72,37.72,37.72,-77.88,-77.88,-77.88,-77.88,-77.88,439.0,441.0,695.0,471.0,630.0,0.0,9141.0,5335.0,5528.0,5980.0,,,,,,53514,54422,57493,68199,67754,25634.0,28035.0,29709.0,26437.0,19889.0,1831.0,743.0,568.0,650.0,681.0,669234.0,1523382.0,1533820.0,1555908.0,1516438.0,6210.0,6442.0,11159.0,11987.0,12196.0,18615.0,19419.0,20400.0,24384.0,17992.0,0.0,454960.0,542491.0,572497.0,668446.0,27460.0,28499.0,28996.0,28730.0,36877.0,4416.0,4292.0,4777.0,5514.0,7000.0,21379.0,18687.0,17657.0,29939.0,42677.0,14560.0,15217.0,17710.0,19775.0,23118.0,13023,13969.0,15556,9672,10873.0,20956,21246,22857,25873,25427,,,,,,0.0,0.0,0.0,0.0,0.0,22,22,23,23,24.0,0.0,0.0,0.0,0.0,0.0
1.0,51083,Halifax County,141.0,150.0,144.0,142.0,143.0,,,,,,0.0,162.0,162.0,162.0,149.0,620,516,495,513,505,252.0,241.0,252.0,192.0,183.0,127.0,125.0,118.0,112.0,110.0,206.0,194.0,201.0,193.0,175.0,51.0,59.0,55.0,62.0,61.0,161.0,168.0,163.0,154.0,175.0,,,,,,442.0,399.0,387.0,503.0,416.0,142.0,141.0,175.0,177.0,128.0,1633.0,1613.0,1717.0,1604.0,1477.0,316.0,303.0,292.0,231.0,223.0,984,816.0,815,825,781.0,387,415,395,401,334,,,,,,10.0,8.0,8.0,10.0,9.0,,,,,,3.0,3.0,3.0,4.0,4.0,75,69,71,65,67,20.0,15.0,14.0,13.0,13.0,14.0,13.0,14.0,13.0,13.0,42.0,41.0,42.0,42.0,39.0,18.0,17.0,19.0,21.0,21.0,43.0,39.0,40.0,36.0,44.0,,,,,,34.0,32.0,31.0,31.0,30.0,7.0,6.0,6.0,6.0,6.0,76.0,75.0,77.0,79.0,74.0,11.0,10.0,10.0,9.0,13.0,62,64.0,65,54,58.0,97,97,95,91,87,,,,,,2148.94,2149.16,2148.94,2149.04,2148.99,36.75,36.75,36.75,36.75,36.75,-78.94,-78.94,-78.94,-78.94,-78.94,5516.0,6249.0,6186.0,6059.0,6635.0,,,,,,0.0,14878.0,15342.0,16246.0,15687.0,24897,21541,22308,27701,24930,8126.0,9902.0,9052.0,8056.0,7775.0,5649.0,5787.0,5919.0,5654.0,5957.0,7496.0,8363.0,7789.0,7850.0,8890.0,1437.0,1479.0,1666.0,1908.0,2043.0,6114.0,5795.0,6122.0,6009.0,8545.0,,,,,,11905.0,9791.0,9921.0,10355.0,10846.0,4436.0,4420.0,5186.0,4789.0,5119.0,73022.0,75274.0,80885.0,75210.0,79015.0,4792.0,4656.0,4799.0,3611.0,5121.0,11571,11377.0,11053,11158,12760.0,6809,7190,7116,6900,7300,,,,,,0.0,0.0,0.0,0.0,0.0,35,35,35,34,34.0,0.0,0.0,0.0,0.0,0.0
1.0,51113,Madison County,30.0,22.0,28.0,34.0,26.0,,,,,,,,,,,197,183,224,238,253,47.0,67.0,71.0,51.0,53.0,,,,,,23.0,23.0,23.0,19.0,30.0,12.0,12.0,11.0,13.0,16.0,75.0,86.0,78.0,85.0,79.0,,,,,,32.0,45.0,39.0,40.0,48.0,0.0,324.0,301.0,313.0,310.0,335.0,292.0,228.0,241.0,263.0,7.0,6.0,6.0,7.0,8.0,249,225.0,212,196,208.0,84,99,111,119,124,,,,,,9.0,8.0,8.0,8.0,7.0,,,,,,,,,,,48,48,57,57,60,12.0,13.0,12.0,10.0,11.0,,,,,,6.0,6.0,6.0,6.0,8.0,7.0,7.0,8.0,10.0,13.0,25.0,24.0,27.0,28.0,23.0,,,,,,15.0,15.0,14.0,15.0,19.0,4.0,4.0,5.0,5.0,5.0,22.0,21.0,20.0,21.0,22.0,4.0,4.0,4.0,4.0,4.0,21,20.0,18,17,19.0,33,34,35,35,37,,,,,,833.67,833.66,833.65,833.59,833.64,30.96,30.96,30.96,30.96,30.96,-95.95,-95.95,-95.95,-95.95,-95.95,998.0,979.0,1108.0,1357.0,1253.0,,,,,,,,,,,7204,7697,8953,9641,10859,2430.0,2945.0,2692.0,1769.0,2396.0,,,,,,862.0,883.0,817.0,746.0,1681.0,249.0,204.0,244.0,338.0,557.0,3564.0,3722.0,4065.0,4293.0,4118.0,,,,,,1170.0,1368.0,1195.0,1282.0,1683.0,0.0,13690.0,13823.0,13690.0,14646.0,8650.0,7571.0,7580.0,9159.0,7905.0,283.0,545.0,506.0,466.0,103.0,3497,3500.0,3542,3324,3985.0,2400,2814,3507,3245,3908,,,,,,0.0,0.0,0.0,0.0,0.0,13,13,13,13,14.0,0.0,0.0,0.0,0.0,0.0
1.0,51107,Loudoun County,80.0,84.0,69.0,56.0,61.0,0.0,289.0,593.0,233.0,199.0,88.0,93.0,95.0,127.0,127.0,13223,14306,14225,14153,14266,3422.0,3533.0,3372.0,3994.0,3308.0,9384.0,9937.0,10026.0,9492.0,9296.0,3260.0,3134.0,3506.0,3458.0,3552.0,1660.0,1629.0,1731.0,1756.0,1621.0,31261.0,31384.0,31048.0,29783.0,35121.0,3721.0,3935.0,3655.0,3308.0,4351.0,12988.0,13353.0,14794.0,14168.0,11819.0,2751.0,2723.0,2953.0,3017.0,2750.0,13916.0,14525.0,14567.0,15130.0,15456.0,3399.0,3670.0,3981.0,4524.0,2945.0,16754,17621.0,17444,17826,14685.0,7075,6978,7626,7578,6802,14.0,44.0,18.0,26.0,24.0,30.0,29.0,25.0,25.0,27.0,7.0,6.0,6.0,7.0,7.0,4.0,5.0,5.0,7.0,8.0,862,882,883,890,911,305.0,295.0,286.0,302.0,298.0,305.0,313.0,312.0,334.0,326.0,404.0,402.0,398.0,405.0,406.0,429.0,464.0,485.0,522.0,554.0,3087.0,3096.0,3216.0,3370.0,3584.0,64.0,60.0,58.0,55.0,50.0,609.0,609.0,605.0,615.0,607.0,234.0,244.0,247.0,253.0,262.0,953.0,1016.0,1049.0,1064.0,1126.0,158.0,178.0,179.0,184.0,188.0,780,793.0,780,798,802.0,833,859,890,920,949,10.0,16.0,17.0,23.0,19.0,1349.95,1349.94,1349.92,1349.96,1349.94,39.1,39.1,39.1,39.1,39.1,-77.67,-77.67,-77.67,-77.67,-77.67,2734.0,2360.0,2036.0,2173.0,2218.0,0.0,30781.0,25393.0,23739.0,23897.0,7438.0,8084.0,8361.0,11732.0,11602.0,931279,1020159,966621,968326,1076546,295192.0,245282.0,257407.0,272645.0,267624.0,1218950.0,1239270.0,1222338.0,1197133.0,1256890.0,295963.0,300419.0,340235.0,376329.0,394186.0,110022.0,92046.0,103400.0,103549.0,121741.0,2661517.0,2730531.0,2793340.0,2931362.0,3360660.0,305299.0,317378.0,320347.0,278367.0,370025.0,539012.0,563824.0,653641.0,625835.0,673219.0,76904.0,76448.0,85474.0,82692.0,90364.0,672087.0,713947.0,738162.0,767491.0,853083.0,284592.0,300617.0,297391.0,335080.0,298276.0,379931,411845.0,409627,316252,381090.0,292679,300939,336865,335900,365226,406.0,1074.0,545.0,1306.0,639.0,5.56,5.99,6.14,7.03,6.77,375,385,395,405,414.0,2.63,2.57,2.57,2.62,2.64
0.0,51153,Prince William County,39.0,48.0,28.0,37.0,44.0,0.0,67.0,65.0,83.0,88.0,571.0,619.0,606.0,549.0,534.0,13470,14452,15134,14968,14911,3302.0,3474.0,3596.0,3051.0,3068.0,1318.0,1284.0,1213.0,1085.0,1011.0,2045.0,2122.0,2150.0,1861.0,1953.0,1527.0,1611.0,1718.0,1649.0,1703.0,10150.0,11038.0,11856.0,13180.0,15054.0,847.0,862.0,880.0,762.0,800.0,7038.0,6680.0,6482.0,6867.0,6530.0,1624.0,1964.0,1808.0,1863.0,1634.0,11052.0,11628.0,12102.0,12896.0,12883.0,2057.0,2161.0,2285.0,2103.0,1864.0,13622,14595.0,15154,14954,13628.0,5790,6031,6005,5723,5249,5.0,13.0,28.0,24.0,14.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,14.0,13.0,12.0,12.0,15.0,1276,1337,1365,1420,1446,225.0,226.0,221.0,220.0,231.0,113.0,109.0,113.0,112.0,117.0,332.0,331.0,318.0,314.0,317.0,367.0,382.0,393.0,425.0,463.0,1230.0,1254.0,1263.0,1289.0,1321.0,45.0,42.0,39.0,41.0,38.0,542.0,546.0,568.0,579.0,619.0,138.0,142.0,150.0,154.0,148.0,788.0,813.0,841.0,886.0,912.0,152.0,148.0,136.0,130.0,136.0,745,759.0,759,759,789.0,787,798,808,835,862,5.0,16.0,12.0,17.0,10.0,888.25,888.21,888.28,886.84,886.85,38.74,38.74,38.74,38.74,38.74,-77.55,-77.55,-77.55,-77.55,-77.55,1589.0,1899.0,699.0,963.0,1033.0,0.0,4522.0,5557.0,6149.0,7302.0,47234.0,49406.0,51160.0,48401.0,48148.0,805923,863476,895809,918814,972721,216566.0,237238.0,252514.0,209455.0,225059.0,87890.0,87275.0,83051.0,74764.0,72744.0,138577.0,135779.0,150713.0,151954.0,147927.0,82346.0,86996.0,92080.0,95966.0,107128.0,828890.0,938115.0,1045605.0,1172224.0,1298150.0,62515.0,60250.0,67950.0,67700.0,70501.0,279162.0,299850.0,313403.0,316126.0,332437.0,52763.0,57700.0,48492.0,51087.0,53970.0,536053.0,562806.0,598892.0,629243.0,761977.0,40836.0,40918.0,49229.0,35822.0,48589.0,238297,257150.0,271666,237567,293104.0,181236,186606,194052,172417,197681,219.0,463.0,817.0,1495.0,579.0,10.92,11.03,10.41,12.53,12.51,451,457,461,467,477.0,2.74,2.71,2.76,2.93,2.92
