target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
0.0,53047,Okanogan County,325.0,250.0,318.0,656.0,224.0,,,,,,27.0,25.0,27.0,30.0,31.0,464,516,443,536,556,322.0,431.0,369.0,395.0,419.0,210.0,186.0,197.0,135.0,159.0,219,224,203,194,188,105.0,122.0,108.0,133.0,110.0,243.0,250.0,207.0,209.0,251.0,0.0,,,,,195.0,177.0,139.0,152.0,241.0,54.0,47.0,41.0,43.0,52.0,1567,1676,1706,1700,1748,353.0,369.0,367.0,410.0,383.0,1226,1205,1156,1121,840,283,274,284,264,263,13.0,7.0,13.0,9.0,2.0,38.0,36.0,41.0,42.0,41.0,,,,,,5.0,5.0,5.0,5.0,5.0,172,177,167,164,183,43.0,39.0,36.0,36.0,35.0,21.0,19.0,21.0,21.0,23.0,43,40,38,38,35,48.0,47.0,44.0,52.0,56.0,75.0,73.0,76.0,79.0,82.0,3.0,,,,,49.0,52.0,54.0,55.0,59.0,15.0,15.0,14.0,15.0,15.0,105,106,107,108,113,31.0,35.0,33.0,31.0,32.0,125,128,121,117,119,106,93,94,92,100,6.0,8.0,10.0,8.0,3.0,13763.68,13763.65,13763.55,13762.98,13763.81,48.52,48.52,48.52,48.52,48.52,-119.65,-119.65,-119.65,-119.65,-119.65,10363.0,8951.0,9360.0,21478.0,13816.0,,,,,,1897.0,1890.0,2113.0,2472.0,2653.0,19688,23207,21650,23321,27563,19018.0,20515.0,18610.0,22260.0,23848.0,7840.0,7669.0,7580.0,7279.0,11086.0,10355,10639,10724,12158,12812,2301.0,2532.0,2396.0,2864.0,3279.0,8701.0,8855.0,8568.0,9136.0,10971.0,0.0,,,,,6645.0,7382.0,5628.0,6925.0,10443.0,842.0,853.0,972.0,904.0,1051.0,73625,76498,80576,86702,92824,7247.0,7729.0,8335.0,9808.0,11028.0,25887,27967,27525,21127,23444,6607,6582,6661,6288,7808,221.0,262.0,652.0,302.0,84.0,0.0,0.0,0.01,0.0,0.01,41,42,42,42,42,0.0,1.56,1.61,0.0,1.68
0.0,53037,Kittitas County,135.0,151.0,136.0,137.0,113.0,,,,,,43.0,40.0,41.0,42.0,40.0,896,989,992,1090,1220,532.0,552.0,593.0,543.0,519.0,183.0,198.0,241.0,190.0,174.0,234,227,232,217,215,149.0,139.0,179.0,253.0,293.0,300.0,327.0,336.0,344.0,340.0,11.0,9.0,11.0,8.0,4.0,346.0,351.0,352.0,353.0,387.0,174.0,204.0,220.0,264.0,125.0,1816,1860,1859,1887,1958,1278.0,1117.0,1216.0,1087.0,1075.0,2485,2627,2624,2599,2160,557,547,541,530,517,0.0,1.0,2.0,4.0,0.0,15.0,15.0,13.0,11.0,11.0,,,,,,9.0,9.0,9.0,9.0,8.0,224,240,251,263,267,43.0,48.0,46.0,45.0,48.0,16.0,16.0,17.0,21.0,22.0,54,55,55,55,50,70.0,65.0,70.0,67.0,71.0,87.0,92.0,100.0,99.0,98.0,4.0,4.0,4.0,4.0,3.0,60.0,64.0,74.0,66.0,73.0,13.0,13.0,13.0,11.0,12.0,107,110,105,104,100,33.0,32.0,31.0,30.0,33.0,165,169,163,156,167,107,106,104,104,118,3.0,3.0,4.0,4.0,4.0,6040.1,6040.07,6040.11,6042.19,6040.22,47.11,47.11,47.11,47.11,47.11,-120.58,-120.58,-120.58,-120.58,-120.58,7805.0,8360.0,8176.0,8327.0,6600.0,,,,,,3805.0,3881.0,3912.0,4255.0,4370.0,45835,51549,57670,61405,74926,31510.0,33833.0,34846.0,32954.0,34165.0,8367.0,8868.0,8420.0,8889.0,9273.0,11912,11533,12971,15584,17564,6424.0,6810.0,9992.0,12849.0,20878.0,13143.0,15162.0,16680.0,17010.0,17992.0,400.0,420.0,534.0,438.0,162.0,12186.0,13190.0,14231.0,14273.0,16337.0,2896.0,3037.0,3204.0,3607.0,4025.0,73656,78541,79237,84572,92816,10416.0,10637.0,10794.0,10501.0,13154.0,50421,55071,58092,48659,53584,14295,15065,15680,15570,15982,0.0,35.0,88.0,218.0,16.0,0.09,0.1,0.1,0.1,0.09,44,45,46,47,44,2.38,2.26,2.29,2.42,2.31
0.0,53067,Thurston County,433.0,435.0,416.0,472.0,432.0,0.0,33.0,35.0,64.0,58.0,109.0,105.0,108.0,101.0,97.0,4966,5406,5619,5787,5658,2214.0,2353.0,2343.0,2729.0,2605.0,1994.0,2172.0,2041.0,2108.0,1248.0,2804,2856,2945,2935,2783,1086.0,1095.0,1100.0,1189.0,1177.0,4557.0,4751.0,4754.0,3751.0,4351.0,351.0,269.0,231.0,251.0,252.0,3315.0,2951.0,3047.0,3543.0,3278.0,1765.0,1865.0,1787.0,1807.0,1543.0,15551,16067,15783,16445,17301,2900.0,2852.0,2749.0,2881.0,2181.0,9550,9724,10139,9828,8435,4255,4531,4445,4490,4293,15.0,7.0,11.0,7.0,8.0,53.0,55.0,55.0,57.0,58.0,3.0,4.0,4.0,4.0,4.0,11.0,14.0,14.0,13.0,13.0,778,795,829,839,877,215.0,207.0,208.0,202.0,207.0,105.0,105.0,115.0,135.0,118.0,334,339,343,346,346,341.0,354.0,370.0,379.0,385.0,650.0,671.0,667.0,707.0,701.0,31.0,29.0,29.0,29.0,31.0,340.0,341.0,357.0,339.0,336.0,88.0,88.0,84.0,89.0,92.0,899,922,916,927,948,95.0,97.0,102.0,105.0,104.0,560,573,578,554,572,646,667,678,657,655,7.0,13.0,8.0,17.0,11.0,1969.04,1969.03,1969.04,1967.43,1969.02,46.93,46.93,46.93,46.93,46.93,-122.89,-122.89,-122.89,-122.89,-122.89,27514.0,28157.0,27328.0,28917.0,27203.0,0.0,2057.0,2846.0,3687.0,3715.0,12384.0,12320.0,13261.0,12356.0,13702.0,282299,327403,358145,366525,380080,126807.0,130958.0,134429.0,144718.0,163284.0,107813.0,105691.0,105897.0,114496.0,95443.0,187482,195797,215152,239332,264056,44674.0,47146.0,62694.0,52552.0,61503.0,294097.0,286527.0,290621.0,221292.0,255829.0,19715.0,21443.0,20005.0,21162.0,24116.0,100489.0,101927.0,112108.0,110060.0,116698.0,42216.0,45560.0,43928.0,43240.0,47555.0,768555,874639,862260,901958,981744,77008.0,78772.0,86131.0,70313.0,73087.0,182911,201148,212395,181438,220275,161957,173901,182219,183021,222467,108.0,206.0,276.0,267.0,210.0,1.39,1.52,1.5,1.49,1.56,270,275,280,285,291,2.06,2.05,2.06,2.28,2.28
1.0,53005,Benton County,267.0,218.0,129.0,169.0,187.0,,,,,,0.0,171.0,166.0,138.0,190.0,5683,7187,7566,8266,8176,1675.0,1811.0,1900.0,1874.0,1962.0,812.0,863.0,847.0,748.0,540.0,1722,1978,1965,1975,2028,1098.0,1125.0,1108.0,1087.0,1035.0,8112.0,7669.0,7442.0,7900.0,8195.0,392.0,447.0,418.0,456.0,393.0,7884.0,10352.0,10034.0,10899.0,9126.0,417.0,415.0,470.0,535.0,534.0,12072,11875,11852,12137,13017,1198.0,1275.0,1338.0,1312.0,872.0,7340,7648,7513,7764,6906,2899,2904,2982,2955,2722,0.0,8.0,20.0,12.0,,13.0,12.0,16.0,19.0,22.0,,,,,,7.0,7.0,7.0,7.0,10.0,589,630,659,635,696,153.0,148.0,156.0,156.0,162.0,69.0,72.0,79.0,79.0,74.0,238,245,246,242,250,320.0,326.0,339.0,342.0,345.0,481.0,473.0,482.0,482.0,507.0,21.0,22.0,21.0,22.0,21.0,230.0,234.0,246.0,265.0,274.0,45.0,47.0,54.0,52.0,52.0,610,615,622,638,646,75.0,83.0,85.0,73.0,74.0,418,431,438,429,469,411,426,445,445,449,3.0,10.0,8.0,10.0,,4559.07,4559.07,4559.07,4558.74,4559.07,45.72,45.72,45.72,45.72,45.72,-94.05,-94.05,-94.05,-94.05,-94.05,6544.0,7703.0,8290.0,10582.0,16625.0,,,,,,0.0,16925.0,14653.0,13178.0,19001.0,429047,499599,577655,585010,599070,101606.0,114807.0,119874.0,115083.0,132828.0,32551.0,34167.0,32884.0,30316.0,32305.0,118297,137756,145343,164115,174643,40819.0,44172.0,48066.0,49923.0,52751.0,714037.0,690552.0,696667.0,756088.0,772590.0,32715.0,34201.0,32039.0,32054.0,30062.0,558800.0,786858.0,784468.0,878087.0,738796.0,8980.0,9160.0,10100.0,12840.0,16634.0,609373,633244,644369,660601,691344,22974.0,25500.0,26429.0,15947.0,23823.0,138798,155659,160492,138267,176295,78001,83553,87111,84158,95376,0.0,313.0,362.0,679.0,,0.83,0.86,0.84,0.76,0.75,191,194,198,201,205,2.49,2.49,2.43,2.39,2.45
0.0,53013,Columbia County,13.0,17.0,10.0,15.0,15.0,,,,,,26.0,30.0,29.0,26.0,28.0,21,17,10,13,21,12.0,18.0,22.0,27.0,22.0,10.0,10.0,11.0,13.0,10.0,14,19,12,16,14,9.0,11.0,9.0,8.0,7.0,29.0,39.0,39.0,33.0,33.0,,,,,,0.0,7.0,8.0,10.0,,,,,,,173,177,171,165,168,95.0,102.0,106.0,113.0,106.0,86,88,58,64,49,0,105,101,101,48,,,,,,4.0,4.0,5.0,4.0,4.0,,,,,,6.0,6.0,6.0,5.0,5.0,10,10,7,11,10,3.0,4.0,10.0,11.0,12.0,3.0,3.0,3.0,3.0,4.0,4,4,4,4,5,7.0,6.0,4.0,4.0,4.0,9.0,11.0,11.0,11.0,10.0,,,,,,3.0,4.0,4.0,3.0,,,,,,,9,10,8,7,9,4.0,4.0,4.0,4.0,4.0,13,13,13,13,13,12,11,10,11,12,,,,,,2262.31,2262.31,2262.31,2261.9,2262.31,41.04,41.04,41.04,41.04,41.04,-76.42,-76.42,-76.42,-76.42,-76.42,681.0,805.0,841.0,776.0,655.0,,,,,,2763.0,2853.0,2852.0,3102.0,3372.0,369,343,340,380,404,569.0,928.0,1145.0,1042.0,1030.0,266.0,245.0,257.0,226.0,382.0,547,467,418,624,934,193.0,163.0,157.0,156.0,142.0,603.0,750.0,986.0,996.0,951.0,,,,,,0.0,926.0,1054.0,1479.0,,,,,,,9005,9487,9574,9874,10324,626.0,669.0,714.0,781.0,885.0,1437,1564,1189,1170,1474,0,7013,7068,7960,3275,,,,,,0.0,0.0,0.0,0.0,0.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
1.0,53011,Clark County,212.0,199.0,179.0,179.0,201.0,61.0,41.0,41.0,39.0,39.0,119.0,136.0,119.0,125.0,89.0,14086,15867,16564,17504,18089,5829.0,6830.0,7060.0,7868.0,7523.0,3641.0,3599.0,3146.0,3094.0,3018.0,5797,5970,6186,6468,6450,2428.0,2442.0,2509.0,2596.0,2658.0,8417.0,8640.0,8559.0,8580.0,8742.0,5277.0,6532.0,7296.0,6877.0,6736.0,9666.0,8933.0,9124.0,9256.0,8934.0,1626.0,1776.0,1837.0,1916.0,1571.0,22638,23825,24612,24973,24699,2568.0,3511.0,3864.0,3711.0,2800.0,13616,14096,14592,14663,12846,6013,5969,6082,6001,5629,21.0,20.0,30.0,27.0,47.0,38.0,40.0,40.0,37.0,43.0,13.0,10.0,10.0,10.0,10.0,3.0,5.0,7.0,11.0,12.0,1751,1818,1874,1890,1984,562.0,545.0,555.0,539.0,556.0,229.0,223.0,220.0,222.0,226.0,652,662,666,663,684,617.0,671.0,666.0,682.0,738.0,1262.0,1284.0,1281.0,1311.0,1373.0,87.0,85.0,79.0,79.0,80.0,656.0,655.0,675.0,690.0,701.0,131.0,140.0,140.0,146.0,160.0,1199,1284,1277,1302,1366,136.0,142.0,149.0,158.0,164.0,849,826,846,846,846,1025,1025,1038,1031,1054,15.0,27.0,27.0,25.0,18.0,1698.9,1698.44,1698.91,1698.02,1698.43,39.33,39.33,39.33,39.33,39.33,-87.78,-87.78,-87.78,-87.78,-87.78,18388.0,12644.0,13820.0,15179.0,17085.0,3747.0,6201.0,6704.0,6958.0,7090.0,9281.0,10445.0,10541.0,12110.0,13077.0,878016,1065493,1120608,1202270,1325917,366397.0,516639.0,539763.0,673600.0,769307.0,203272.0,224188.0,179371.0,207914.0,234154.0,515712,595706,656208,783407,889920,106771.0,111064.0,117910.0,126763.0,145254.0,551675.0,562840.0,565048.0,610203.0,669189.0,487898.0,603683.0,664769.0,620189.0,691398.0,352307.0,322916.0,338411.0,321896.0,366345.0,41434.0,44199.0,46071.0,44336.0,53229.0,1193118,1300297,1329831,1356150,1489147,75549.0,93274.0,107890.0,84386.0,105423.0,265375,295738,322764,283229,348689,179710,190928,201206,191087,219579,674.0,565.0,936.0,1571.0,2234.0,6.04,6.11,6.22,6.24,6.96,457,465,473,482,496,2.46,2.45,2.46,2.61,2.62
0.0,53003,Asotin County,,,,,,,,,,,,,,,,446,460,448,460,460,109.0,107.0,120.0,121.0,108.0,25.0,57.0,46.0,57.0,75.0,150,155,148,143,136,69.0,66.0,60.0,59.0,52.0,242.0,265.0,227.0,246.0,268.0,,5.0,4.0,6.0,,113.0,92.0,72.0,86.0,83.0,62.0,40.0,59.0,55.0,66.0,1129,1176,1271,1321,1402,108.0,109.0,87.0,80.0,50.0,623,661,657,689,660,176,163,182,178,149,,,,,,,,,,,,,,,,,,,,,69,70,71,66,64,16.0,18.0,16.0,18.0,19.0,6.0,9.0,9.0,9.0,11.0,27,28,27,28,26,20.0,18.0,17.0,17.0,19.0,36.0,38.0,36.0,36.0,37.0,,3.0,3.0,3.0,,23.0,20.0,19.0,21.0,21.0,9.0,9.0,9.0,8.0,7.0,52,53,59,63,62,8.0,9.0,9.0,8.0,7.0,44,41,42,42,42,40,38,43,39,44,,,,,,1658.9,1659.02,1658.9,1658.79,1659.02,46.17,46.17,46.17,46.17,46.17,-117.2,-117.2,-117.2,-117.2,-117.2,,,,,,,,,,,,,,,,30267,28306,33170,34214,33344,5228.0,6109.0,6621.0,6445.0,7331.0,1417.0,2175.0,2054.0,2011.0,2345.0,7499,8144,8651,9026,11426,1434.0,1389.0,1606.0,1745.0,1327.0,7760.0,8576.0,8379.0,10376.0,12048.0,,227.0,224.0,293.0,,4209.0,3903.0,3655.0,3632.0,3291.0,1025.0,683.0,1288.0,1246.0,1634.0,51452,55941,61304,65369,72529,2112.0,2208.0,1704.0,1215.0,1800.0,10938,12627,13397,12747,14609,3203,3318,3543,3521,4120,,,,,,0.12,0.14,0.17,0.22,0.25,22,22,22,23,22,2.13,2.15,2.17,1.93,1.92
0.0,53001,Adams County,175.0,200.0,268.0,452.0,328.0,,,,,,0.0,34.0,33.0,30.0,29.0,89,100,70,85,93,535.0,513.0,587.0,458.0,491.0,12.0,15.0,12.0,4.0,6.0,85,93,91,92,84,30.0,27.0,23.0,31.0,25.0,55.0,66.0,63.0,71.0,54.0,,,,,,50.0,49.0,23.0,25.0,16.0,,,,,,756,748,786,810,831,29.0,17.0,16.0,20.0,,383,360,379,393,377,132,132,143,160,149,,1.0,,,,14.0,14.0,18.0,19.0,19.0,,,,,,3.0,3.0,3.0,3.0,4.0,26,28,28,25,26,31.0,30.0,34.0,31.0,29.0,4.0,5.0,4.0,3.0,3.0,18,19,18,19,18,14.0,14.0,15.0,12.0,14.0,10.0,11.0,13.0,14.0,12.0,,,,,,9.0,9.0,10.0,9.0,10.0,,,,,,26,26,29,28,31,4.0,4.0,5.0,5.0,,37,34,34,34,34,47,47,48,47,50,,3.0,,,,5000.04,5000.06,5000.06,4998.37,5000.05,39.98,39.98,39.98,39.98,39.98,-91.21,-91.21,-91.21,-91.21,-91.21,13923.0,13374.0,13340.0,18870.0,21610.0,,,,,,0.0,3228.0,3353.0,3419.0,3396.0,3441,3717,3538,3966,4891,31698.0,28387.0,41288.0,28982.0,32847.0,402.0,341.0,269.0,243.0,237.0,3880,4153,4123,4335,4160,566.0,508.0,609.0,524.0,676.0,2794.0,3212.0,3616.0,3863.0,3561.0,,,,,,1973.0,1669.0,718.0,603.0,635.0,,,,,,38559,39696,42255,43484,46192,314.0,351.0,423.0,402.0,,6030,6426,6519,6817,7200,3425,3358,3658,3644,3946,,65.0,,,,0.02,0.02,0.02,0.02,0.02,19,19,20,20,20,1.84,1.89,1.64,2.37,2.68
1.0,53023,Garfield County,,,,,,,,,,,,,,,,5,8,15,17,17,89.0,81.0,80.0,80.0,76.0,,,,,,14,15,16,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,110,109,108,108,108,,,,,,6,12,11,9,20,11,12,12,13,12,,,,,,,,,,,,,,,,,,,,,5,5,5,4,5,7.0,6.0,6.0,6.0,6.0,,,,,,6,5,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,6,6,7,,,,,,3,3,3,4,5,4,3,3,4,5,,,,,,1859.45,1859.33,1859.45,1860.18,1859.33,39.55,39.55,39.55,39.55,39.55,-107.88,-107.88,-107.88,-107.88,-107.88,,,,,,,,,,,,,,,,185,381,543,533,535,3382.0,3481.0,3729.0,3759.0,3748.0,,,,,,590,462,524,574,498,,,,,,,,,,,,,,,,,,,,,,,,,,3602,3801,3965,4074,4103,,,,,,152,185,119,136,321,110,98,99,103,110,,,,,,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0
0.0,53045,Mason County,183.0,175.0,182.0,160.0,158.0,54.0,47.0,39.0,29.0,22.0,10.0,9.0,11.0,11.0,13.0,749,748,798,741,692,412.0,358.0,467.0,382.0,406.0,82.0,87.0,88.0,97.0,95.0,289,293,285,290,273,130.0,133.0,121.0,113.0,121.0,277.0,259.0,252.0,211.0,267.0,,,,,,201.0,208.0,216.0,228.0,263.0,33.0,37.0,31.0,24.0,25.0,1880,1962,1948,1978,1923,194.0,191.0,164.0,210.0,199.0,1665,1718,1741,1668,1465,460,463,454,423,430,,3.0,7.0,6.0,,22.0,21.0,20.0,16.0,13.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,212,215,212,206,209,40.0,39.0,38.0,43.0,44.0,11.0,13.0,13.0,12.0,14.0,48,46,44,41,42,53.0,59.0,57.0,59.0,58.0,70.0,66.0,65.0,65.0,73.0,,,,,,53.0,53.0,44.0,49.0,55.0,8.0,9.0,8.0,10.0,10.0,106,104,102,100,100,17.0,18.0,20.0,17.0,16.0,102,99,103,103,113,99,98,99,97,98,,3.0,4.0,4.0,,2593.16,2593.19,2593.1,2586.43,2593.08,30.71,30.71,30.71,30.71,30.71,-99.22,-99.22,-99.22,-99.22,-99.22,11822.0,11904.0,13028.0,11757.0,11898.0,3182.0,2876.0,2247.0,1719.0,1630.0,282.0,279.0,307.0,304.0,295.0,29426,31671,34470,33622,34608,22901.0,21425.0,23192.0,23821.0,25618.0,4790.0,4153.0,4401.0,4251.0,4570.0,14623,15280,16545,17205,18340,5311.0,5025.0,4186.0,4140.0,4751.0,9582.0,11431.0,12991.0,11111.0,12612.0,,,,,,6618.0,7313.0,8430.0,8637.0,11216.0,785.0,597.0,701.0,701.0,697.0,88275,93528,96952,102708,104550,5925.0,6108.0,6488.0,6438.0,7382.0,45379,49366,49958,41147,50071,10578,11435,12332,11229,13913,,64.0,151.0,246.0,,0.02,0.02,0.04,0.02,0.02,62,63,64,65,65,2.1,2.5,2.38,2.53,2.38
