target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,55051,Iron County,18.0,16.0,15.0,18.0,13.0,,,,,,,,,,,117,134,135,148,147.0,97.0,99.0,91.0,90.0,76.0,,,,,,30.0,33.0,35.0,31.0,22.0,8.0,16.0,11.0,10.0,6.0,39.0,38.0,42.0,36.0,78.0,,,,,,2.0,2.0,5.0,7.0,11.0,,,,,,307.0,322.0,343.0,333.0,293.0,0.0,23.0,24.0,27.0,29.0,251,239,231,290,280,32,29,32,35,29,,,,,,6.0,6.0,6.0,6.0,5.0,,,,,,,,,,,30,32,30,28,27.0,13.0,12.0,10.0,9.0,7.0,,,,,,7.0,6.0,7.0,7.0,6.0,5.0,6.0,5.0,5.0,5.0,9.0,9.0,9.0,10.0,10.0,,,,,,6.0,6.0,7.0,8.0,6.0,,,,,,13.0,13.0,16.0,16.0,15.0,5.0,6.0,6.0,6.0,6.0,38,38,36,35,37,10,9,10,11,9,,,,,,2078.63,2078.63,2078.63,2078.8,2078.86,37.58,37.58,37.58,37.58,37.58,-90.7,-90.7,-90.7,-90.7,-90.7,502.0,406.0,404.0,409.0,354.0,,,,,,,,,,,6742,6571,7340,7784,8458.0,3334.0,3268.0,3118.0,2930.0,2841.0,,,,,,1171.0,1214.0,1464.0,1640.0,1351.0,189.0,325.0,328.0,203.0,253.0,1464.0,1525.0,1404.0,1494.0,1862.0,,,,,,219.0,217.0,370.0,426.0,518.0,,,,,,8012.0,7962.0,8698.0,9883.0,10129.0,0.0,1700.0,1602.0,1672.0,3172.0,2676,2938,3209,3324,4002,402,451,543,563,610,,,,,,0.0,0.0,0.0,0.0,0.0,6,6,6,6,6,0.0,0.0,0.0,0.0,0.0
1.0,55019,Clark County,17.0,16.0,23.0,22.0,23.0,,,,,,38.0,36.0,36.0,37.0,38.0,480,447,457,482,480.0,558.0,512.0,576.0,657.0,615.0,81.0,77.0,77.0,79.0,72.0,180.0,176.0,191.0,157.0,157.0,7.0,9.0,8.0,15.0,15.0,180.0,183.0,159.0,253.0,310.0,0.0,26.0,21.0,,,131.0,102.0,125.0,138.0,125.0,21.0,27.0,24.0,26.0,14.0,933.0,924.0,886.0,834.0,887.0,25.0,32.0,29.0,21.0,13.0,490,519,500,483,444,366,355,371,361,316,,,3.0,,,11.0,11.0,9.0,9.0,10.0,,,,,,5.0,4.0,4.0,4.0,4.0,120,114,106,109,110.0,50.0,50.0,51.0,53.0,54.0,12.0,12.0,13.0,14.0,14.0,34.0,32.0,31.0,31.0,27.0,4.0,5.0,6.0,8.0,8.0,32.0,33.0,35.0,33.0,32.0,3.0,3.0,3.0,,,23.0,21.0,19.0,20.0,20.0,4.0,4.0,4.0,5.0,5.0,67.0,62.0,68.0,70.0,74.0,8.0,8.0,6.0,6.0,5.0,60,66,65,68,72,93,87,88,84,82,,,3.0,,,3156.16,3156.15,3156.11,3156.31,3156.1,39.33,39.33,39.33,39.33,39.33,-87.78,-87.78,-87.78,-87.78,-87.78,650.0,600.0,869.0,958.0,1025.0,,,,,,2928.0,3033.0,3097.0,3069.0,3127.0,24714,25500,26105,32088,36852.0,26978.0,25897.0,29351.0,34116.0,32913.0,2655.0,2611.0,2565.0,2822.0,2365.0,6795.0,7159.0,7994.0,7581.0,8919.0,98.0,115.0,107.0,185.0,236.0,5949.0,6076.0,6704.0,7555.0,7441.0,0.0,1122.0,851.0,,,3948.0,4004.0,4766.0,4680.0,4365.0,321.0,346.0,356.0,300.0,160.0,32449.0,31467.0,25688.0,40304.0,37623.0,364.0,357.0,368.0,288.0,278.0,5210,5612,5600,4801,5858,6458,7052,7072,6869,6355,,,52.0,,,0.0,0.0,0.0,0.0,0.0,35,34,35,35,35,0.0,0.0,0.0,0.0,0.0
0.0,55069,Lincoln County,27.0,26.0,87.0,83.0,75.0,,,,,,0.0,38.0,32.0,34.0,30.0,452,463,467,441,390.0,271.0,264.0,281.0,253.0,265.0,103.0,101.0,103.0,78.0,80.0,1026.0,1008.0,1036.0,1060.0,1023.0,91.0,98.0,42.0,44.0,53.0,124.0,123.0,117.0,104.0,123.0,0.0,118.0,120.0,131.0,133.0,119.0,146.0,132.0,122.0,126.0,69.0,71.0,67.0,63.0,56.0,820.0,819.0,812.0,759.0,719.0,83.0,89.0,95.0,93.0,69.0,830,866,830,842,743,445,527,506,483,466,,,,,,11.0,11.0,14.0,12.0,13.0,,,,,,5.0,5.0,5.0,5.0,5.0,83,80,82,75,72.0,16.0,16.0,16.0,15.0,16.0,10.0,10.0,10.0,9.0,9.0,33.0,34.0,31.0,29.0,30.0,13.0,14.0,13.0,18.0,18.0,36.0,35.0,35.0,32.0,34.0,3.0,3.0,3.0,3.0,3.0,26.0,29.0,32.0,29.0,29.0,6.0,7.0,6.0,7.0,5.0,73.0,70.0,73.0,69.0,72.0,11.0,12.0,12.0,12.0,14.0,99,98,96,95,101,81,82,86,82,79,,,,,,2348.45,2348.45,2348.45,2348.53,2348.47,35.49,35.49,35.49,35.49,35.49,-81.21,-81.21,-81.21,-81.21,-81.21,791.0,756.0,3827.0,3979.0,3647.0,,,,,,0.0,3679.0,3303.0,3133.0,3040.0,24442,24880,23755,22293,21438.0,10040.0,11670.0,12085.0,11800.0,12723.0,3551.0,3490.0,3331.0,3245.0,1954.0,74691.0,72041.0,72099.0,82573.0,81522.0,3812.0,3876.0,914.0,1030.0,1313.0,4511.0,4689.0,5149.0,4799.0,5060.0,0.0,7077.0,7703.0,7796.0,9362.0,3286.0,3974.0,4305.0,4596.0,5475.0,843.0,892.0,854.0,815.0,770.0,32505.0,33538.0,33311.0,35144.0,32050.0,1013.0,1029.0,1089.0,994.0,1045.0,10991,11089,11656,10702,12313,9226,9929,10403,10622,11225,,,,,,0.04,0.04,0.07,0.02,0.02,28,28,28,28,28,1.57,1.77,1.63,2.13,1.87
0.0,55135,Waupaca County,19.0,15.0,17.0,19.0,20.0,,,,,,0.0,12.0,,,,517,535,587,557,591.0,296.0,306.0,272.0,263.0,236.0,288.0,182.0,173.0,152.0,108.0,482.0,473.0,413.0,426.0,415.0,128.0,146.0,136.0,114.0,112.0,247.0,209.0,238.0,206.0,213.0,50.0,44.0,38.0,28.0,26.0,199.0,198.0,232.0,147.0,239.0,129.0,134.0,145.0,149.0,150.0,2826.0,2616.0,2746.0,2329.0,2291.0,125.0,157.0,156.0,135.0,177.0,1461,1509,1583,1546,1388,757,715,704,776,747,,15.0,3.0,4.0,,6.0,5.0,6.0,7.0,6.0,,,,,,6.0,3.0,,,,128,125,128,127,122.0,38.0,40.0,40.0,37.0,36.0,27.0,26.0,26.0,26.0,25.0,78.0,79.0,80.0,75.0,81.0,39.0,39.0,39.0,39.0,39.0,66.0,62.0,65.0,59.0,57.0,7.0,6.0,5.0,4.0,4.0,37.0,36.0,36.0,52.0,54.0,8.0,8.0,8.0,9.0,9.0,132.0,129.0,128.0,131.0,130.0,28.0,30.0,30.0,30.0,28.0,144,143,145,141,140,156,152,150,145,145,,4.0,3.0,3.0,,1981.71,1981.7,1981.7,1981.83,1981.7,44.49,44.49,44.49,44.49,44.49,-88.97,-88.97,-88.97,-88.97,-88.97,656.0,554.0,545.0,484.0,619.0,,,,,,0.0,1321.0,,,,22677,25457,27698,28610,30496.0,16024.0,16046.0,12757.0,11933.0,14175.0,11132.0,6059.0,4783.0,5217.0,5136.0,22610.0,22969.0,20592.0,24542.0,24333.0,3197.0,3233.0,3592.0,3393.0,3657.0,12124.0,8959.0,9090.0,8756.0,8857.0,2075.0,2038.0,1794.0,1225.0,1200.0,4708.0,6206.0,7469.0,5729.0,7056.0,2293.0,2390.0,2388.0,2195.0,2457.0,84651.0,80619.0,86411.0,77883.0,81484.0,3241.0,3034.0,3037.0,3147.0,3955.0,19410,21181,21282,19205,22711,16364,15315,16030,18050,19021,,103.0,54.0,52.0,,0.03,0.03,0.03,0.03,0.03,52,51,51,51,52,3.01,3.22,3.27,3.41,3.2
0.0,55083,Oconto County,,,,,,,,,,,0.0,36.0,39.0,35.0,37.0,340,430,401,457,472.0,85.0,92.0,90.0,86.0,91.0,50.0,52.0,51.0,56.0,65.0,168.0,167.0,159.0,151.0,150.0,36.0,34.0,34.0,31.0,32.0,120.0,130.0,112.0,114.0,121.0,18.0,19.0,,,,158.0,154.0,157.0,137.0,174.0,,,,,,1507.0,1484.0,1371.0,1341.0,1321.0,138.0,84.0,89.0,100.0,77.0,654,695,621,582,543,242,269,246,217,207,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,92,98,109,106,114.0,18.0,19.0,19.0,21.0,19.0,9.0,9.0,8.0,10.0,12.0,33.0,31.0,30.0,27.0,28.0,20.0,18.0,17.0,14.0,15.0,33.0,34.0,32.0,34.0,31.0,4.0,3.0,,,,33.0,34.0,39.0,41.0,44.0,,,,,,114.0,111.0,122.0,122.0,120.0,21.0,22.0,25.0,24.0,21.0,97,92,91,92,95,72,68,71,66,67,,,,,,2634.08,2634.15,2634.12,2630.57,2630.68,45.0,45.0,45.0,45.0,45.0,-88.25,-88.25,-88.25,-88.25,-88.25,,,,,,,,,,,0.0,2155.0,2401.0,2345.0,2502.0,16862,19457,19481,21826,24236.0,3702.0,4004.0,4007.0,4613.0,4847.0,2215.0,2302.0,2144.0,2612.0,3815.0,6646.0,6297.0,5956.0,6585.0,6717.0,1093.0,970.0,1119.0,996.0,1128.0,4426.0,4603.0,4463.0,5154.0,6060.0,761.0,824.0,,,,4160.0,4874.0,4618.0,4719.0,5636.0,,,,,,51359.0,53116.0,53358.0,48751.0,49495.0,1896.0,1906.0,2083.0,1653.0,2060.0,8619,8556,8719,7666,8833,5357,5547,5758,5357,5850,,,,,,0.0,0.0,0.0,0.0,0.0,37,38,38,38,39,0.0,0.0,0.0,0.0,0.0
0.0,55021,Columbia County,19.0,21.0,14.0,13.0,15.0,,,,,,0.0,209.0,226.0,208.0,192.0,791,856,855,870,896.0,723.0,676.0,631.0,639.0,651.0,123.0,113.0,83.0,77.0,72.0,382.0,385.0,345.0,364.0,352.0,467.0,425.0,305.0,302.0,136.0,584.0,655.0,502.0,509.0,529.0,107.0,103.0,163.0,263.0,278.0,490.0,432.0,434.0,393.0,346.0,78.0,79.0,89.0,82.0,80.0,2993.0,2928.0,2888.0,2788.0,2709.0,610.0,631.0,617.0,684.0,696.0,3918,4062,4075,3980,3043,821,816,827,830,779,,,,,,7.0,6.0,6.0,6.0,6.0,,,,,,4.0,5.0,6.0,5.0,6.0,176,182,178,176,184.0,48.0,46.0,44.0,47.0,51.0,20.0,19.0,18.0,17.0,19.0,79.0,77.0,69.0,75.0,75.0,48.0,49.0,42.0,40.0,43.0,81.0,81.0,83.0,85.0,81.0,7.0,5.0,5.0,5.0,6.0,66.0,63.0,67.0,65.0,64.0,9.0,9.0,10.0,10.0,11.0,134.0,130.0,135.0,137.0,137.0,33.0,30.0,30.0,31.0,33.0,180,179,180,170,181,155,156,160,159,160,,,,,,2061.2,2061.2,2061.21,2061.52,2061.22,41.04,41.04,41.04,41.04,41.04,-76.42,-76.42,-76.42,-76.42,-76.42,691.0,695.0,338.0,345.0,383.0,,,,,,0.0,23255.0,24766.0,24460.0,23675.0,46457,47645,49228,53413,56539.0,30803.0,31831.0,29076.0,29852.0,32829.0,4869.0,3935.0,3261.0,2953.0,3689.0,20024.0,20789.0,19498.0,22459.0,24194.0,9662.0,9063.0,7030.0,5843.0,3481.0,25898.0,24327.0,24342.0,25783.0,28506.0,14093.0,15751.0,29816.0,31006.0,36244.0,23527.0,23785.0,23903.0,21707.0,21688.0,1497.0,1520.0,1511.0,1516.0,1626.0,115924.0,123486.0,131594.0,132201.0,141455.0,7127.0,7211.0,7664.0,7579.0,9326.0,66664,72453,74994,67375,69559,18610,18892,20062,19908,20477,,,,,,0.04,0.04,0.04,0.04,0.04,57,57,57,57,58,2.46,2.69,2.44,2.12,2.21
0.0,55005,Barron County,82.0,87.0,72.0,70.0,69.0,320.0,443.0,337.0,183.0,141.0,70.0,74.0,75.0,73.0,74.0,666,685,750,699,656.0,307.0,321.0,303.0,305.0,325.0,192.0,212.0,202.0,198.0,181.0,538.0,496.0,459.0,444.0,426.0,119.0,118.0,98.0,135.0,148.0,289.0,291.0,285.0,246.0,270.0,0.0,113.0,97.0,90.0,111.0,916.0,883.0,807.0,713.0,836.0,35.0,24.0,29.0,25.0,22.0,2332.0,2199.0,2937.0,3025.0,3100.0,111.0,134.0,119.0,128.0,128.0,1713,1618,1681,1608,1504,593,601,601,576,540,,,,,1.0,16.0,16.0,13.0,13.0,13.0,12.0,13.0,12.0,8.0,5.0,6.0,6.0,6.0,6.0,6.0,138,139,139,147,152.0,37.0,37.0,36.0,34.0,39.0,25.0,25.0,25.0,28.0,30.0,77.0,75.0,75.0,79.0,78.0,36.0,38.0,35.0,36.0,37.0,62.0,60.0,65.0,60.0,65.0,4.0,3.0,3.0,4.0,4.0,65.0,67.0,69.0,71.0,69.0,6.0,5.0,5.0,5.0,5.0,131.0,128.0,139.0,141.0,147.0,25.0,25.0,27.0,25.0,30.0,153,156,153,150,158,151,152,143,143,145,,,,,3.0,2304.29,2304.35,2304.39,2304.59,2304.48,45.42,45.42,45.42,45.42,45.42,-91.85,-91.85,-91.85,-91.85,-91.85,3756.0,4042.0,3888.0,4148.0,4134.0,17989.0,24924.0,20277.0,10960.0,10466.0,5953.0,6150.0,6316.0,6325.0,6336.0,34409,35627,38152,37990,38838.0,11557.0,12137.0,13262.0,13070.0,14833.0,8590.0,8341.0,8827.0,8967.0,10012.0,26210.0,25051.0,23664.0,25232.0,29594.0,3243.0,3430.0,2529.0,5141.0,6085.0,13586.0,13489.0,13958.0,13986.0,17359.0,0.0,6102.0,4863.0,6966.0,6584.0,31770.0,31043.0,33984.0,40145.0,80773.0,570.0,430.0,456.0,411.0,523.0,109583.0,107129.0,138118.0,142179.0,172471.0,2340.0,2315.0,2417.0,2232.0,2963.0,21471,22014,23443,21017,24655,14452,15154,15324,15717,16217,,,,,64.0,0.0,0.0,0.0,0.02,0.03,45,45,45,45,47,0.0,0.0,0.0,1.52,1.78
1.0,55113,Sawyer County,66.0,66.0,65.0,64.0,58.0,,,,,,37.0,33.0,34.0,32.0,36.0,250,268,242,276,278.0,97.0,101.0,98.0,86.0,80.0,34.0,33.0,28.0,28.0,21.0,153.0,142.0,146.0,149.0,135.0,73.0,73.0,72.0,67.0,88.0,146.0,139.0,153.0,142.0,146.0,,,58.0,,,88.0,118.0,134.0,131.0,116.0,274.0,277.0,306.0,294.0,292.0,856.0,873.0,916.0,990.0,925.0,41.0,45.0,44.0,39.0,35.0,1089,1126,1106,1094,847,232,220,219,205,200,,,,,,21.0,20.0,19.0,18.0,17.0,,,,,,8.0,8.0,8.0,8.0,8.0,80,80,79,74,86.0,17.0,14.0,15.0,14.0,15.0,7.0,6.0,6.0,6.0,6.0,24.0,23.0,24.0,25.0,26.0,28.0,28.0,26.0,29.0,31.0,40.0,36.0,36.0,36.0,33.0,,,3.0,,,22.0,26.0,25.0,25.0,27.0,7.0,8.0,9.0,8.0,9.0,47.0,45.0,50.0,48.0,56.0,19.0,20.0,18.0,17.0,17.0,120,119,120,110,107,52,51,48,43,42,,,,,,3498.86,3499.0,3498.81,3497.82,3498.73,45.87,45.87,45.87,45.87,45.87,-91.15,-91.15,-91.15,-91.15,-91.15,3416.0,3242.0,3334.0,3478.0,3406.0,,,,,,2422.0,2350.0,2427.0,2436.0,2829.0,11013,11651,11708,12943,14175.0,3570.0,3949.0,3794.0,3175.0,3552.0,1089.0,1069.0,1061.0,981.0,944.0,8489.0,7877.0,8520.0,8550.0,7826.0,2458.0,2503.0,2108.0,2691.0,3017.0,5236.0,5469.0,5546.0,5531.0,5656.0,,,3378.0,,,3409.0,3885.0,4485.0,4348.0,4685.0,7809.0,8033.0,9384.0,10060.0,11199.0,32628.0,34660.0,39015.0,42969.0,50741.0,1727.0,1928.0,2062.0,2033.0,2366.0,25452,26434,27407,23700,27152,6158,6490,6434,5745,6436,,,,,,0.0,0.0,0.0,0.0,0.0,16,16,16,16,18,0.0,0.0,0.0,0.0,0.0
1.0,55047,Green Lake County,,,,,,45.0,43.0,46.0,41.0,39.0,,,,,,198,240,200,198,197.0,252.0,115.0,111.0,119.0,130.0,70.0,74.0,71.0,73.0,70.0,305.0,314.0,257.0,258.0,247.0,43.0,27.0,72.0,53.0,68.0,83.0,69.0,66.0,63.0,66.0,,,71.0,71.0,,64.0,65.0,70.0,59.0,59.0,,,,,,1029.0,825.0,680.0,829.0,690.0,30.0,32.0,29.0,24.0,24.0,535,577,563,542,347,354,362,372,404,319,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,,,,,,48,44,43,45,43.0,12.0,11.0,12.0,12.0,12.0,16.0,13.0,15.0,14.0,16.0,27.0,25.0,24.0,23.0,24.0,19.0,21.0,19.0,17.0,21.0,25.0,21.0,22.0,22.0,22.0,,,3.0,3.0,,20.0,20.0,24.0,21.0,22.0,,,,,,48.0,48.0,46.0,46.0,46.0,7.0,8.0,8.0,7.0,5.0,51,51,53,52,54,54,52,53,50,52,,,,,,984.68,984.67,984.64,984.64,984.64,43.8,43.8,43.8,43.8,43.8,-89.04,-89.04,-89.04,-89.04,-89.04,,,,,,3642.0,5312.0,4430.0,3899.0,4444.0,,,,,,15486,16820,19994,15884,20068.0,4937.0,4809.0,4547.0,5439.0,5149.0,2825.0,2936.0,3034.0,2893.0,3087.0,15587.0,15235.0,15169.0,16540.0,16868.0,1381.0,1225.0,2130.0,2135.0,2150.0,3290.0,2460.0,2831.0,2865.0,3076.0,,,7514.0,8070.0,,3778.0,3643.0,4384.0,4250.0,4560.0,,,,,,44300.0,42738.0,34506.0,36357.0,35330.0,850.0,823.0,795.0,598.0,801.0,6670,7834,7854,7213,7796,8286,8885,9205,8919,9780,,,,,,0.0,0.0,0.0,0.0,0.0,19,19,19,19,19,0.0,0.0,0.0,0.0,0.0
0.0,55099,Price County,35.0,38.0,41.0,39.0,34.0,,,,,,45.0,44.0,43.0,45.0,45.0,67,72,84,86,91.0,118.0,74.0,67.0,61.0,45.0,53.0,50.0,43.0,32.0,15.0,138.0,121.0,116.0,94.0,81.0,22.0,20.0,23.0,26.0,38.0,79.0,72.0,90.0,81.0,92.0,,,,,,124.0,110.0,105.0,109.0,82.0,0.0,15.0,12.0,12.0,,775.0,737.0,805.0,778.0,788.0,20.0,22.0,32.0,13.0,12.0,246,281,266,303,258,170,155,154,143,125,,,,,,15.0,14.0,15.0,13.0,12.0,,,,,,6.0,6.0,5.0,6.0,6.0,31,30,27,31,28.0,15.0,13.0,11.0,10.0,7.0,7.0,8.0,8.0,7.0,9.0,25.0,22.0,22.0,21.0,15.0,9.0,10.0,10.0,13.0,12.0,20.0,18.0,21.0,18.0,20.0,,,,,,12.0,10.0,10.0,10.0,12.0,3.0,3.0,3.0,3.0,,32.0,32.0,36.0,36.0,37.0,4.0,8.0,7.0,6.0,7.0,37,37,37,35,38,52,49,46,47,48,,,,,,3309.73,3309.7,3309.59,3309.74,3309.73,45.68,45.68,45.68,45.68,45.68,-90.37,-90.37,-90.37,-90.37,-90.37,1286.0,1237.0,1280.0,1187.0,1049.0,,,,,,3754.0,3650.0,3589.0,3649.0,3805.0,2694,2849,3405,3873,3878.0,3479.0,2927.0,2550.0,1895.0,1507.0,1666.0,1671.0,1325.0,663.0,822.0,4643.0,4466.0,3842.0,3279.0,3322.0,720.0,673.0,587.0,857.0,1117.0,2385.0,1706.0,1591.0,1713.0,1883.0,,,,,,4390.0,4003.0,4039.0,4051.0,4022.0,0.0,174.0,206.0,155.0,,21576.0,21463.0,29417.0,30805.0,34511.0,413.0,475.0,492.0,277.0,430.0,3064,3168,3247,3055,3597,2915,2888,2732,2615,2830,,,,,,0.0,0.0,0.0,0.0,0.0,14,13,13,13,14,0.0,0.0,0.0,0.0,0.0
