target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
0.0,56005,Campbell County,,,,,2.0,6197.0,5644.0,5040.0,4964.0,4014.0,402.0,361.0,384.0,403.0,372.0,1761,1731,1810,1935,1678,1177.0,1229.0,1285.0,1273.0,1021.0,203.0,210.0,271.0,252.0,261.0,345,371,370,380,355.0,361,379,350.0,344.0,247.0,550,596,644,664,684,0.0,271.0,250.0,72.0,32.0,570,635,617,601,616,72.0,79.0,69.0,74.0,76.0,1646,1634,1617,1619,1667,128.0,132.0,126.0,147.0,159.0,1818,2006,2139,2189,1897,838,771,724,770,766,,6.0,,1.0,3.0,,,,,4.0,129.0,127.0,120.0,104.0,96.0,16.0,15.0,18.0,19.0,16.0,178,175,173,178,177,95.0,91.0,89.0,86.0,82.0,16.0,18.0,17.0,16.0,14.0,48,49,49,51,57.0,81,82,80.0,80.0,80.0,120,120,130,126,122,7.0,8.0,8.0,6.0,5.0,74,71,68,71,71,13.0,12.0,12.0,11.0,10.0,114,121,127,122,130,20.0,19.0,21.0,23.0,25.0,113,112,116,116,119,150,150,146,150,148,,3.0,,6.0,3.0,12452.63,12451.14,12451.41,12449.95,12451.28,38.93,38.93,38.93,38.93,38.93,-84.37,-84.37,-84.37,-84.37,-84.37,,,,,210.0,473696.0,474762.0,478288.0,417857.0,372517.0,36369.0,34935.0,38839.0,40467.0,38206.0,104359,116061,124995,117061,111358,80895.0,89670.0,92675.0,85900.0,76836.0,9779.0,9940.0,11603.0,12961.0,14866.0,19729,22816,23038,25171,26174.0,22268,22608,19300.0,15503.0,9787.0,26891,28740,32649,33446,32321,0.0,33100.0,31071.0,2835.0,2255.0,24381,23020,23276,21858,24288,3280.0,3123.0,3109.0,3051.0,3406.0,90242,92663,93850,95263,99180,2154.0,2172.0,2378.0,2493.0,3090.0,32071,37750,43588,43224,40289,38553,36128,37002,34249,36525,,95.0,,121.0,38.0,0.01,0.02,0.02,0.01,0.01,48,48,47,47,47,1.83,1.86,1.79,1.84,1.75
1.0,56023,Lincoln County,2.0,6.0,6.0,1.0,,491.0,374.0,337.0,592.0,568.0,0.0,189.0,178.0,165.0,163.0,623,603,613,693,728,71.0,53.0,70.0,77.0,88.0,108.0,100.0,96.0,104.0,102.0,107,119,112,116,118.0,52,46,61.0,75.0,78.0,141,160,196,293,274,,,,,2.0,165,148,177,163,219,,,,12.0,,786,798,899,1000,954,51.0,65.0,58.0,67.0,84.0,435,454,517,476,507,128,133,147,147,255,,4.0,6.0,11.0,12.0,4.0,6.0,6.0,5.0,,17.0,13.0,13.0,14.0,13.0,5.0,4.0,4.0,5.0,4.0,176,182,181,204,219,11.0,11.0,13.0,19.0,22.0,10.0,9.0,10.0,11.0,13.0,22,23,23,24,26.0,27,29,35.0,36.0,39.0,73,82,94,102,105,,,,,3.0,44,44,46,49,59,,,,3.0,,51,55,53,51,56,17.0,19.0,18.0,18.0,21.0,63,62,63,62,63,48,47,48,57,74,,3.0,3.0,8.0,7.0,10601.66,10601.32,10601.32,10601.36,10601.8,35.49,35.49,35.49,35.49,35.49,-81.21,-81.21,-81.21,-81.21,-81.21,118.0,179.0,137.0,104.0,,37506.0,42009.0,37113.0,50263.0,53252.0,0.0,16917.0,16691.0,16628.0,16635.0,27981,28728,30481,37790,40346,2274.0,2119.0,2380.0,3200.0,3708.0,6010.0,6217.0,6470.0,8199.0,8634.0,4858,5292,5785,6092,7145.0,2012,2117,2640.0,3268.0,4184.0,4856,6672,7233,10013,11142,,,,,96.0,5764,5983,6707,8168,11233,,,,79.0,,34399,38492,44078,47205,52696,1139.0,1458.0,1491.0,1650.0,1768.0,6425,6824,7255,7005,8928,4396,4515,4655,5595,8297,,82.0,169.0,316.0,172.0,0.0,0.0,0.0,0.0,0.0,19,19,19,20,19,0.0,0.0,0.0,0.0,0.0
0.0,56019,Johnson County,5.0,9.0,10.0,7.0,19.0,49.0,45.0,35.0,44.0,39.0,14.0,15.0,15.0,18.0,15.0,204,232,226,236,231,22.0,33.0,38.0,42.0,62.0,35.0,57.0,38.0,51.0,42.0,164,182,182,173,194.0,35,42,28.0,40.0,36.0,203,219,292,259,299,,,,,,39,62,159,52,60,0.0,65.0,52.0,52.0,46.0,377,356,352,353,383,68.0,66.0,60.0,60.0,56.0,336,281,348,348,329,171,205,175,164,194,3.0,3.0,,3.0,0.0,5.0,6.0,5.0,4.0,5.0,15.0,13.0,13.0,14.0,10.0,5.0,6.0,5.0,6.0,5.0,63,69,72,75,72,13.0,15.0,13.0,15.0,17.0,12.0,16.0,11.0,10.0,12.0,27,29,28,26,23.0,17,19,17.0,23.0,21.0,71,77,81,85,85,,,,,,23,28,24,25,36,7.0,6.0,6.0,6.0,5.0,27,33,34,36,38,14.0,12.0,16.0,13.0,13.0,44,47,52,46,49,41,40,36,37,40,4.0,4.0,,4.0,4.0,10810.08,10810.08,10808.35,10811.44,10809.16,32.38,32.38,32.38,32.38,32.38,-97.36,-97.36,-97.36,-97.36,-97.36,267.0,385.0,563.0,302.0,828.0,3074.0,2690.0,1253.0,1817.0,1715.0,1234.0,1257.0,1221.0,1404.0,1411.0,9693,12375,11741,11171,12201,1445.0,1759.0,3063.0,3780.0,3620.0,1206.0,2485.0,2391.0,2891.0,2870.0,8951,9905,10541,12010,12735.0,1034,1153,1419.0,1773.0,2024.0,10791,12012,14479,13828,15201,,,,,,1680,4962,3324,1998,2123,0.0,2847.0,2038.0,1977.0,1884.0,15104,15525,15696,16517,18291,936.0,969.0,1039.0,953.0,863.0,6622,6921,7408,6789,8688,5315,7156,4892,4550,5437,191.0,137.0,,43.0,43.0,0.0,0.0,0.0,0.0,0.0,9,9,8,9,8,0.0,0.0,0.0,0.0,0.0
1.0,56025,Natrona County,18.0,31.0,23.0,19.0,13.0,1705.0,1827.0,1860.0,1792.0,1378.0,139.0,195.0,241.0,242.0,187.0,2511,2465,2476,2467,2358,2259.0,2360.0,2510.0,2493.0,2043.0,524.0,509.0,541.0,482.0,401.0,934,958,917,943,950.0,929,1042,918.0,888.0,839.0,1461,1563,1623,1761,1905,209.0,265.0,291.0,249.0,209.0,1294,1309,1311,1177,1310,205.0,213.0,226.0,216.0,225.0,5731,5644,5756,5880,5728,437.0,445.0,485.0,443.0,404.0,3838,3902,3756,3922,3545,1445,1421,1365,1350,1187,6.0,11.0,3.0,4.0,6.0,6.0,7.0,7.0,7.0,5.0,127.0,132.0,131.0,126.0,120.0,15.0,14.0,16.0,14.0,14.0,340,334,328,336,334,199.0,197.0,199.0,197.0,198.0,35.0,34.0,39.0,37.0,36.0,145,147,143,145,150.0,176,174,171.0,161.0,164.0,268,264,275,273,282,21.0,19.0,17.0,17.0,15.0,179,175,171,166,177,25.0,26.0,28.0,31.0,30.0,336,338,340,335,334,51.0,50.0,49.0,50.0,55.0,201,196,195,195,198,263,263,257,261,250,3.0,6.0,4.0,6.0,10.0,13924.96,13924.37,13924.9,13923.84,13925.15,42.95,42.95,42.95,42.95,42.95,-106.85,-106.85,-106.85,-106.85,-106.85,763.0,757.0,765.0,680.0,613.0,162930.0,169786.0,185461.0,151038.0,132695.0,13741.0,21502.0,25713.0,21244.0,21177.0,151694,150352,167726,156455,157359,152590.0,165980.0,179282.0,153770.0,146357.0,22724.0,21012.0,23011.0,23311.0,22296.0,53205,54963,56363,60269,65019.0,56373,61608,53611.0,44718.0,44665.0,96953,105773,123535,125296,141949,13039.0,18347.0,17831.0,15258.0,13625.0,42862,43131,43339,40950,44804,3501.0,3744.0,4312.0,4580.0,4727.0,294974,307324,330203,335673,311874,8889.0,9008.0,9404.0,8898.0,9797.0,66664,70757,70251,65561,76759,46173,54003,46495,45381,46317,227.0,91.0,31.0,121.0,99.0,0.07,0.08,0.06,0.06,0.05,81,81,80,80,79,1.91,1.81,1.84,2.12,2.27
0.0,56021,Laramie County,15.0,14.0,18.0,13.0,10.0,243.0,270.0,431.0,405.0,213.0,193.0,208.0,209.0,225.0,225.0,2414,2340,2474,2515,2486,928.0,969.0,975.0,962.0,857.0,1173.0,1186.0,1146.0,1084.0,1150.0,1384,1451,1477,1556,1564.0,658,679,772.0,807.0,883.0,2235,2347,2539,2432,2694,91.0,88.0,110.0,106.0,106.0,1365,1540,1565,1426,1216,317.0,293.0,336.0,275.0,258.0,6621,6802,6598,6790,6662,449.0,434.0,395.0,512.0,383.0,3961,4073,4035,4073,3764,1561,1586,1620,1561,1560,4.0,11.0,17.0,41.0,49.0,6.0,7.0,6.0,5.0,5.0,20.0,21.0,24.0,24.0,20.0,13.0,13.0,13.0,17.0,14.0,335,337,355,347,358,130.0,123.0,118.0,121.0,129.0,75.0,80.0,81.0,89.0,92.0,206,202,207,213,232.0,173,190,189.0,195.0,209.0,543,568,607,605,630,19.0,21.0,19.0,17.0,23.0,209,210,194,200,209,36.0,39.0,46.0,38.0,35.0,364,358,348,360,356,35.0,33.0,39.0,42.0,45.0,219,222,221,215,226,284,291,299,292,287,6.0,12.0,14.0,15.0,8.0,6959.01,6960.18,6960.29,6962.27,6960.36,41.27,41.27,41.27,41.27,41.27,-104.73,-104.73,-104.73,-104.73,-104.73,629.0,890.0,588.0,553.0,496.0,21398.0,26872.0,35663.0,26253.0,23636.0,15412.0,19473.0,20403.0,21951.0,22191.0,115823,116715,132791,135761,142230,48398.0,49627.0,54665.0,54057.0,53055.0,62258.0,66060.0,63808.0,68013.0,71322.0,83428,91390,94677,110135,119105.0,30244,36998,42612.0,40412.0,49840.0,129025,138306,149543,156606,205154,4947.0,5614.0,8265.0,7397.0,5588.0,47805,49216,54292,58739,48290,8145.0,8823.0,10189.0,8925.0,8733.0,348097,360078,367733,408466,415415,7470.0,7826.0,8156.0,8512.0,9968.0,68982,74559,76472,69330,84360,46146,49400,51685,51408,55764,55.0,444.0,945.0,942.0,1293.0,0.22,0.19,0.23,0.19,0.2,97,98,98,99,100,2.2,2.25,2.21,2.32,2.26
0.0,56009,Converse County,5.0,12.0,6.0,4.0,5.0,1195.0,1318.0,1311.0,549.0,433.0,257.0,241.0,255.0,251.0,248.0,519,472,709,859,371,43.0,41.0,50.0,53.0,50.0,46.0,53.0,53.0,50.0,39.0,112,104,115,118,119.0,51,61,62.0,58.0,45.0,116,115,107,107,99,,,,,,187,227,294,414,284,,,,,,539,571,579,599,606,59.0,53.0,46.0,43.0,40.0,404,451,476,478,483,153,164,164,178,178,,,,3.0,,3.0,3.0,3.0,3.0,3.0,34.0,34.0,37.0,34.0,33.0,13.0,13.0,13.0,12.0,11.0,55,54,48,54,53,9.0,8.0,9.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,19,18,18,18,19.0,22,23,21.0,18.0,18.0,34,32,30,27,28,,,,,,15,16,15,16,20,,,,,,24,25,26,25,25,7.0,6.0,6.0,6.0,7.0,37,38,37,33,39,46,47,48,51,50,,,,6.0,,11044.14,11043.74,11044.02,11044.45,11043.99,43.02,43.02,43.02,43.02,43.02,-105.5,-105.5,-105.5,-105.5,-105.5,144.0,161.0,160.0,199.0,210.0,100030.0,109335.0,107132.0,39436.0,39578.0,22361.0,22496.0,24044.0,23917.0,23025.0,30768,34795,57131,43519,31376,1889.0,2320.0,5567.0,5268.0,6153.0,1283.0,1327.0,1199.0,1219.0,1381.0,5168,5303,5577,6210,6286.0,1460,1875,1705.0,1486.0,1386.0,5259,5675,5397,4674,4517,,,,,,8486,19722,28776,21152,19284,,,,,,35389,37617,38839,40709,41798,525.0,474.0,488.0,488.0,488.0,6811,8159,8625,8286,10225,3587,4107,4598,5240,5119,,,,124.0,,0.0,0.0,0.0,0.0,0.0,14,14,14,14,14,0.0,0.0,0.0,0.0,0.0
1.0,56027,Niobrara County,,,,,,0.0,35.0,25.0,,15.0,,,,,,25,25,24,33,30,,,,,,,,,,,0,19,21,20,,4,9,7.0,7.0,8.0,6,8,10,8,8,,,,,,3,2,6,6,3,,,,,,54,54,57,49,43,,,,,,78,70,64,51,48,31,33,26,20,19,,,,,,,,,,,4.0,3.0,3.0,,3.0,,,,,,16,14,13,12,13,,,,,,,,,,,3,3,3,3,,3,3,3.0,3.0,3.0,5,6,5,8,6,,,,,,3,5,5,4,3,,,,,,7,7,8,7,5,,,,,,9,9,11,6,6,12,11,11,8,7,,,,,,6808.99,6808.74,6808.46,6807.05,6808.87,43.01,43.01,43.01,43.01,43.01,-104.46,-104.46,-104.46,-104.46,-104.46,,,,,,0.0,2368.0,1735.0,,1062.0,,,,,,974,802,946,1698,1388,,,,,,,,,,,0,896,1012,954,,138,185,240.0,254.0,318.0,152,101,179,287,190,,,,,,52,59,68,44,47,,,,,,2218,2091,2604,1809,1719,,,,,,1143,1060,890,734,850,794,758,604,520,469,,,,,,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0
1.0,56039,Teton County,12.0,18.0,30.0,28.0,19.0,,0.0,,,,,,,,31.0,2010,2012,1983,2148,2145,266.0,180.0,227.0,227.0,245.0,319.0,302.0,291.0,299.0,276.0,471,472,455,414,441.0,713,788,774.0,735.0,845.0,880,930,1005,1053,1161,46.0,51.0,43.0,43.0,30.0,740,687,769,789,794,574.0,554.0,572.0,535.0,495.0,1411,1400,1428,1475,1546,2586.0,2693.0,2690.0,2690.0,2532.0,4795,4500,4829,4666,4075,683,765,703,694,691,3.0,9.0,4.0,6.0,7.0,7.0,10.0,9.0,10.0,12.0,,3.0,,,,,,,,3.0,302,308,313,320,316,34.0,30.0,39.0,35.0,40.0,47.0,46.0,48.0,48.0,56.0,108,115,110,103,97.0,196,203,205.0,225.0,243.0,346,361,373,392,400,9.0,10.0,8.0,10.0,11.0,155,153,157,156,170,40.0,44.0,45.0,45.0,46.0,137,141,144,145,154,98.0,101.0,110.0,110.0,111.0,182,170,170,172,179,137,148,157,159,170,3.0,6.0,3.0,4.0,7.0,10924.06,10924.38,10924.38,10924.05,10924.29,47.85,47.85,47.85,47.85,47.85,-112.26,-112.26,-112.26,-112.26,-112.26,587.0,1051.0,1341.0,1255.0,1150.0,,1796.0,,,,,,,,3565.0,120074,119161,128238,141655,155535,15279.0,13514.0,16136.0,15983.0,15814.0,19966.0,17598.0,19702.0,18433.0,25475.0,50024,44237,50984,68161,72919.0,44861,51745,52614.0,60281.0,68606.0,67399,72150,81556,93360,107159,4264.0,6891.0,7092.0,4317.0,3498.0,44693,43376,43174,43460,49714,20573.0,18586.0,20207.0,19960.0,21784.0,80231,84144,89041,93932,103701,57550.0,69172.0,63643.0,62801.0,73530.0,145718,153375,163358,140163,174504,30391,31425,32566,32189,36855,124.0,122.0,82.0,129.0,197.0,0.01,0.01,0.01,0.01,0.01,23,23,23,23,23,2.15,1.91,1.6,2.97,3.52
0.0,56037,Sweetwater County,,,,,,2968.0,3142.0,2967.0,2764.0,2469.0,0.0,403.0,397.0,394.0,397.0,906,820,718,728,757,616.0,602.0,605.0,637.0,540.0,182.0,184.0,160.0,162.0,147.0,283,298,285,293,304.0,262,259,262.0,227.0,182.0,449,495,482,512,404,164.0,133.0,152.0,117.0,89.0,342,426,458,453,460,46.0,53.0,54.0,51.0,53.0,1545,1566,1434,1434,1394,63.0,64.0,79.0,60.0,68.0,1755,1752,1834,1768,1632,532,549,510,493,474,,8.0,17.0,,,,,,,,82.0,85.0,85.0,78.0,72.0,5.0,5.0,5.0,6.0,6.0,122,120,108,109,111,77.0,72.0,70.0,72.0,71.0,22.0,23.0,22.0,21.0,22.0,55,54,52,55,55.0,75,72,70.0,63.0,62.0,116,108,108,101,95,9.0,7.0,7.0,8.0,7.0,45,46,44,42,50,9.0,9.0,10.0,9.0,8.0,102,93,100,101,102,14.0,12.0,12.0,12.0,12.0,119,116,121,111,109,108,109,106,109,109,,4.0,7.0,,,27173.2,27173.2,27173.11,27173.08,27173.2,41.62,41.62,41.62,41.62,41.62,-108.97,-108.97,-108.97,-108.97,-108.97,,,,,,242580.0,299617.0,306562.0,277107.0,262748.0,0.0,39302.0,41776.0,38925.0,38678.0,50861,47988,46299,44166,45736,41516.0,44944.0,46752.0,43579.0,40403.0,5943.0,6024.0,5582.0,6152.0,6868.0,13921,15678,16356,17364,17942.0,12243,12692,12535.0,9582.0,7803.0,27599,33960,36159,31254,29197,19473.0,11393.0,15049.0,11579.0,5656.0,18281,15955,15471,15687,17404,553.0,687.0,638.0,602.0,696.0,64553,65419,63933,63145,66164,851.0,845.0,1037.0,1044.0,1304.0,28397,29217,31189,26862,28564,19399,17135,16625,14683,15760,,300.0,527.0,,,0.03,0.03,0.02,0.02,0.02,45,44,44,43,42,2.02,1.97,2.08,2.16,2.15
1.0,56033,Sheridan County,3.0,2.0,1.0,1.0,2.0,58.0,51.0,43.0,45.0,104.0,0.0,52.0,53.0,51.0,52.0,932,906,924,1008,994,228.0,228.0,237.0,256.0,231.0,210.0,188.0,207.0,190.0,197.0,332,332,337,358,397.0,164,201,224.0,220.0,257.0,800,741,840,1015,1491,14.0,22.0,26.0,15.0,27.0,202,235,252,243,246,1.0,11.0,27.0,37.0,41.0,2972,2948,2903,2928,2975,343.0,334.0,295.0,329.0,312.0,1717,1829,1612,1603,1633,436,458,476,491,475,0.0,4.0,2.0,14.0,36.0,3.0,3.0,3.0,5.0,5.0,10.0,10.0,12.0,13.0,13.0,5.0,4.0,4.0,4.0,5.0,172,171,166,163,195,37.0,39.0,42.0,52.0,57.0,24.0,33.0,36.0,56.0,63.0,55,66,69,80,104.0,66,75,82.0,90.0,119.0,166,212,260,318,445,5.0,5.0,6.0,5.0,13.0,59,68,70,81,99,5.0,6.0,10.0,14.0,22.0,146,142,136,138,146,28.0,29.0,33.0,32.0,48.0,113,106,109,108,119,108,109,119,130,136,3.0,11.0,8.0,18.0,12.0,6546.65,6544.74,6544.74,6544.29,6544.73,39.35,39.35,39.35,39.35,39.35,-100.46,-100.46,-100.46,-100.46,-100.46,103.0,85.0,97.0,127.0,201.0,3703.0,4014.0,3069.0,3030.0,8149.0,0.0,4453.0,4339.0,4636.0,4810.0,43706,48457,49413,51542,56108,10475.0,12626.0,12902.0,14865.0,16655.0,7311.0,7060.0,8035.0,8669.0,15084.0,23164,25374,26729,29605,35417.0,5805,6008,7493.0,9457.0,12024.0,42091,47269,55719,71245,110609,1064.0,1499.0,1109.0,714.0,1641.0,6784,8171,9358,9965,12357,119.0,187.0,481.0,5426.0,6363.0,165490,167202,171846,179484,189336,6175.0,6006.0,4705.0,5153.0,6031.0,29863,31946,29465,28286,32704,12501,12898,14331,14756,16390,0.0,306.0,171.0,1771.0,2202.0,0.02,0.02,0.02,0.02,0.03,30,30,30,30,31,2.06,1.85,1.76,1.8,2.02
