target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,38089,Stark County,7.0,12.0,8.0,9.0,11.0,1542.0,1867.0,2261.0,2146.0,1124.0,83.0,82.0,82.0,82.0,80.0,1207.0,1190.0,1370.0,1434.0,1090.0,859.0,819.0,789.0,762.0,728.0,231.0,215.0,228.0,223.0,188.0,377.0,380.0,382.0,371.0,402.0,250.0,236.0,195.0,187.0,191.0,542.0,466.0,493.0,481.0,402.0,414.0,451.0,381.0,282.0,69.0,299.0,382.0,444.0,368.0,333.0,155.0,165.0,156.0,159.0,174.0,1965.0,2210.0,2094.0,2188.0,2042.0,286.0,180.0,192.0,215.0,224.0,1408.0,1477.0,1409.0,1395.0,1356.0,602.0,629.0,625.0,626.0,615.0,,3.0,4.0,3.0,2.0,5.0,5.0,6.0,5.0,5.0,64.0,67.0,70.0,68.0,66.0,3.0,3.0,3.0,3.0,3.0,145.0,146.0,140.0,136.0,140.0,80.0,72.0,72.0,69.0,70.0,14.0,16.0,16.0,15.0,14.0,57.0,58.0,55.0,53.0,55.0,52.0,53.0,54.0,51.0,52.0,83.0,88.0,90.0,87.0,83.0,7.0,7.0,8.0,8.0,6.0,57.0,55.0,57.0,57.0,61.0,9.0,10.0,11.0,11.0,13.0,96.0,93.0,92.0,97.0,98.0,19.0,19.0,19.0,19.0,21.0,89.0,91.0,89.0,96.0,88.0,112.0,116.0,116.0,120.0,127.0,,3.0,4.0,3.0,3.0,3470.77,3470.84,3471.46,3471.38,3471.37,41.07,41.07,41.07,41.07,41.07,-89.81,-89.81,-89.81,-89.81,-89.81,243.0,257.0,327.0,282.0,338.0,166616.0,193901.0,221062.0,133888.0,113359.0,8008.0,8066.0,7675.0,7287.0,8410.0,99285.0,107286.0,128440.0,101244.0,94711.0,54624.0,57177.0,56495.0,47517.0,51452.0,12096.0,13369.0,13454.0,12888.0,13156.0,22479.0,24537.0,23845.0,27004.0,30545.0,15770.0,17578.0,13355.0,9053.0,9475.0,30623.0,31696.0,33036.0,29401.0,28913.0,39639.0,43016.0,40053.0,16125.0,8266.0,10220.0,11266.0,12687.0,13883.0,16177.0,3733.0,3810.0,3780.0,4024.0,5106.0,72923.0,78223.0,78755.0,83127.0,84566.0,3238.0,2360.0,2668.0,3430.0,2970.0,28161.0,30910.0,27981.0,26178.0,29280.0,24332.0,28907.0,27498.0,25286.0,26377.0,,113.0,94.0,126.0,115.0,0.07,0.11,0.09,0.07,0.1,30,31,31,31,33,1.99,1.76,1.77,1.74,1.7
0.0,38103,Wells County,3.0,2.0,3.0,,,,,,,,,,,,,40.0,32.0,35.0,26.0,30.0,221.0,229.0,226.0,230.0,222.0,22.0,60.0,15.0,18.0,17.0,81.0,81.0,78.0,78.0,76.0,8.0,4.0,5.0,4.0,,22.0,20.0,17.0,16.0,16.0,,,,,,,,,2.0,,,,,,,416.0,436.0,413.0,428.0,384.0,,,,,,106.0,129.0,95.0,100.0,90.0,76.0,76.0,86.0,80.0,88.0,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,20.0,22.0,24.0,23.0,23.0,18.0,18.0,15.0,15.0,14.0,3.0,3.0,3.0,3.0,3.0,15.0,14.0,13.0,13.0,12.0,4.0,3.0,3.0,3.0,,11.0,11.0,9.0,8.0,8.0,,,,,,,,,3.0,,,,,,,19.0,20.0,20.0,17.0,16.0,,,,,,22.0,20.0,16.0,17.0,17.0,26.0,27.0,26.0,26.0,27.0,,,,,,3342.2,3342.19,3342.28,3342.16,3342.23,40.7,40.7,40.7,40.7,40.7,-85.21,-85.21,-85.21,-85.21,-85.21,148.0,176.0,185.0,,,,,,,,,,,,,2026.0,1893.0,1940.0,1724.0,1840.0,14299.0,15224.0,15128.0,16402.0,16444.0,305.0,287.0,285.0,271.0,280.0,3739.0,4224.0,3467.0,4504.0,4744.0,222.0,207.0,127.0,105.0,,724.0,798.0,680.0,757.0,600.0,,,,,,,,,21.0,,,,,,,12241.0,12458.0,13076.0,14193.0,14200.0,,,,,,1255.0,1177.0,1048.0,868.0,915.0,1790.0,1825.0,2036.0,2127.0,2189.0,,,,,,0.0,0.0,0.0,0.0,0.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
0.0,38013,Burke County,,,,,,16.0,42.0,40.0,35.0,31.0,,,,,,4.0,2.0,4.0,3.0,2.0,44.0,43.0,26.0,23.0,30.0,,,,,,31.0,31.0,29.0,28.0,31.0,,,,,,11.0,13.0,14.0,22.0,21.0,,,,,,,,,,3.0,,,,,,13.0,15.0,15.0,13.0,14.0,,,,,,36.0,44.0,41.0,32.0,36.0,23.0,17.0,14.0,15.0,14.0,,,,,,,,,,,7.0,8.0,8.0,8.0,6.0,,,,,,4.0,3.0,3.0,3.0,3.0,6.0,7.0,6.0,5.0,7.0,,,,,,8.0,8.0,7.0,7.0,7.0,,,,,,4.0,4.0,5.0,6.0,7.0,,,,,,,,,,3.0,,,,,,5.0,5.0,4.0,4.0,5.0,,,,,,8.0,7.0,6.0,7.0,9.0,8.0,7.0,7.0,7.0,7.0,,,,,,2924.19,2924.19,2924.0,2924.0,2924.03,35.73,35.73,35.73,35.73,35.73,-81.66,-81.66,-81.66,-81.66,-81.66,,,,,,755.0,3274.0,3323.0,3058.0,3119.0,,,,,,90.0,91.0,85.0,72.0,21.0,2843.0,2824.0,1419.0,1217.0,2267.0,,,,,,1644.0,1666.0,1594.0,1539.0,1508.0,,,,,,385.0,396.0,503.0,1214.0,1626.0,,,,,,,,,,171.0,,,,,,236.0,298.0,295.0,284.0,329.0,,,,,,454.0,432.0,426.0,305.0,381.0,724.0,229.0,245.0,222.0,264.0,,,,,,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0
0.0,38061,Mountrail County,,,,,,737.0,597.0,570.0,535.0,434.0,0.0,38.0,41.0,44.0,41.0,469.0,587.0,552.0,515.0,431.0,181.0,191.0,213.0,243.0,198.0,0.0,80.0,77.0,79.0,78.0,105.0,94.0,93.0,81.0,81.0,9.0,28.0,21.0,11.0,9.0,116.0,119.0,138.0,391.0,326.0,,,,,,62.0,121.0,160.0,141.0,138.0,,,,,,231.0,266.0,260.0,268.0,259.0,18.0,16.0,15.0,17.0,14.0,354.0,343.0,310.0,376.0,329.0,218.0,303.0,331.0,272.0,231.0,,,,,,,,,,,40.0,35.0,33.0,33.0,37.0,5.0,4.0,5.0,4.0,4.0,36.0,42.0,42.0,36.0,33.0,20.0,20.0,21.0,23.0,21.0,4.0,4.0,4.0,5.0,4.0,26.0,24.0,25.0,21.0,21.0,8.0,8.0,9.0,7.0,7.0,21.0,21.0,26.0,20.0,19.0,,,,,,14.0,15.0,15.0,14.0,13.0,,,,,,13.0,17.0,18.0,17.0,17.0,6.0,5.0,5.0,5.0,5.0,41.0,41.0,38.0,38.0,37.0,34.0,38.0,36.0,33.0,35.0,,,,,,5028.69,5028.7,5028.55,5028.31,5028.22,48.23,48.23,48.23,48.23,48.23,-102.36,-102.36,-102.36,-102.36,-102.36,,,,,,57783.0,54729.0,65964.0,44794.0,43758.0,0.0,3657.0,3888.0,4491.0,4482.0,33947.0,41961.0,41578.0,26521.0,30124.0,12470.0,13074.0,14841.0,15369.0,13953.0,0.0,6144.0,6372.0,6602.0,6680.0,4744.0,7061.0,7184.0,7216.0,6970.0,415.0,513.0,370.0,371.0,267.0,9777.0,10945.0,14398.0,20249.0,17684.0,,,,,,4563.0,9648.0,10845.0,9993.0,9851.0,,,,,,8559.0,8851.0,9457.0,9981.0,10877.0,344.0,343.0,434.0,429.0,367.0,7900.0,7561.0,7528.0,5157.0,5758.0,11627.0,13914.0,15641.0,9387.0,11870.0,,,,,,0.0,0.0,0.0,0.0,0.0,10,10,10,10,10,0.0,0.0,0.0,0.0,0.0
0.0,38097,Traill County,59.0,58.0,60.0,54.0,45.0,,,,,,,,,,,150.0,179.0,137.0,140.0,150.0,311.0,296.0,333.0,326.0,336.0,17.0,16.0,17.0,,9.0,133.0,133.0,135.0,143.0,143.0,14.0,9.0,7.0,5.0,7.0,45.0,48.0,47.0,45.0,58.0,,,,,,0.0,49.0,44.0,52.0,46.0,,,,,,535.0,596.0,595.0,610.0,577.0,,,,,,153.0,155.0,158.0,163.0,168.0,109.0,115.0,90.0,83.0,86.0,,,,,,9.0,9.0,8.0,7.0,6.0,,,,,,,,,,,37.0,36.0,35.0,33.0,37.0,35.0,32.0,33.0,33.0,33.0,3.0,3.0,4.0,,3.0,22.0,23.0,23.0,25.0,26.0,7.0,8.0,8.0,5.0,6.0,15.0,15.0,15.0,17.0,18.0,,,,,,3.0,4.0,5.0,5.0,5.0,,,,,,18.0,16.0,17.0,17.0,17.0,,,,,,23.0,21.0,21.0,21.0,22.0,42.0,41.0,39.0,36.0,35.0,,,,,,2233.82,2233.82,2233.63,2233.67,2233.6,47.44,47.44,47.44,47.44,47.44,-97.18,-97.18,-97.18,-97.18,-97.18,3698.0,3743.0,4237.0,3293.0,2805.0,,,,,,,,,,,9287.0,9355.0,6852.0,9060.0,8590.0,15823.0,17058.0,18475.0,20098.0,22581.0,334.0,323.0,384.0,,227.0,7059.0,8661.0,9194.0,8953.0,10082.0,141.0,126.0,133.0,142.0,199.0,1656.0,1822.0,2034.0,2028.0,2422.0,,,,,,0.0,3053.0,3067.0,3225.0,3116.0,,,,,,20183.0,27875.0,28695.0,30071.0,31645.0,,,,,,1841.0,1883.0,2138.0,1997.0,2157.0,2661.0,2422.0,1985.0,1921.0,2191.0,,,,,,0.0,0.0,0.0,0.0,0.0,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0
0.0,38105,Williams County,,,,,,5176.0,5642.0,5810.0,5840.0,4343.0,213.0,263.0,189.0,200.0,194.0,1815.0,2111.0,2592.0,2800.0,1722.0,1781.0,1710.0,1878.0,1853.0,1617.0,171.0,174.0,166.0,158.0,155.0,382.0,400.0,388.0,386.0,389.0,707.0,808.0,840.0,946.0,778.0,584.0,666.0,737.0,674.0,536.0,54.0,55.0,102.0,50.0,40.0,651.0,758.0,754.0,598.0,400.0,88.0,62.0,70.0,88.0,82.0,1337.0,1466.0,1460.0,1577.0,1716.0,135.0,173.0,192.0,214.0,194.0,1974.0,2076.0,1985.0,1971.0,1741.0,548.0,628.0,637.0,689.0,589.0,,,,,2.0,,,,,,152.0,153.0,142.0,147.0,149.0,15.0,13.0,15.0,14.0,14.0,150.0,144.0,148.0,140.0,153.0,126.0,124.0,128.0,133.0,142.0,14.0,13.0,13.0,12.0,13.0,55.0,53.0,50.0,50.0,54.0,123.0,124.0,126.0,125.0,124.0,125.0,132.0,153.0,153.0,142.0,5.0,7.0,7.0,7.0,7.0,79.0,74.0,69.0,69.0,72.0,6.0,8.0,6.0,9.0,8.0,78.0,85.0,88.0,93.0,96.0,21.0,19.0,22.0,25.0,26.0,123.0,128.0,127.0,127.0,127.0,117.0,129.0,130.0,132.0,130.0,,,,,3.0,5563.07,5563.05,5562.96,5562.95,5563.05,41.5,41.5,41.5,41.5,41.5,-84.59,-84.59,-84.59,-84.59,-84.59,,,,,,499604.0,572423.0,618107.0,426748.0,463580.0,23426.0,26374.0,18626.0,21349.0,21052.0,183588.0,197615.0,226360.0,188601.0,153882.0,122212.0,132890.0,143024.0,127411.0,118604.0,9236.0,9491.0,9127.0,8912.0,9828.0,23318.0,24336.0,23537.0,25191.0,26669.0,55657.0,61383.0,65510.0,63116.0,58960.0,51386.0,71246.0,72948.0,47288.0,40040.0,6276.0,5181.0,6573.0,4232.0,4143.0,41666.0,37314.0,34324.0,29507.0,25429.0,2313.0,2664.0,3135.0,3232.0,3528.0,61687.0,68661.0,72660.0,85955.0,109006.0,6302.0,7309.0,8552.0,6465.0,9551.0,46849.0,52022.0,47621.0,38933.0,39432.0,22458.0,26699.0,27662.0,24775.0,24440.0,,,,,276.0,0.05,0.07,0.07,0.08,0.06,33,34,35,36,38,2.42,2.24,2.13,2.12,2.15
0.0,38007,Billings County,,,,,,49.0,51.0,60.0,53.0,24.0,,,,,,7.0,4.0,8.0,5.0,7.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.0,10.0,6.0,8.0,,,,,,,,,,,,,,,,83.0,96.0,110.0,108.0,103.0,19.0,16.0,25.0,30.0,23.0,,,,,,,,,,,7.0,5.0,4.0,4.0,5.0,,,,,,4.0,4.0,4.0,3.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,10.0,13.0,12.0,12.0,12.0,5.0,4.0,4.0,4.0,4.0,,,,,,2987.21,2987.44,2986.95,2986.96,2986.85,47.05,47.05,47.05,47.05,47.05,-103.39,-103.39,-103.39,-103.39,-103.39,,,,,,3503.0,5155.0,5144.0,2921.0,3636.0,,,,,,195.0,134.0,191.0,153.0,140.0,0.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.0,546.0,373.0,373.0,379.0,,,,,,,,,,,,,,,,6851.0,6656.0,7922.0,7158.0,9366.0,1061.0,1507.0,1993.0,2443.0,2237.0,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0
0.0,38021,Dickey County,,,,,,,,,,,,,,,,58.0,51.0,50.0,43.0,36.0,151.0,145.0,155.0,154.0,150.0,0.0,85.0,76.0,82.0,78.0,54.0,54.0,55.0,48.0,46.0,,,,,2.0,34.0,32.0,21.0,22.0,19.0,,,,,,2.0,3.0,2.0,5.0,5.0,,,,,,343.0,390.0,346.0,359.0,326.0,4.0,13.0,6.0,7.0,5.0,146.0,131.0,115.0,111.0,108.0,102.0,100.0,100.0,97.0,88.0,,,,,,,,,,,,,,,,,,,,,21.0,22.0,21.0,19.0,17.0,18.0,17.0,18.0,17.0,17.0,5.0,5.0,5.0,5.0,5.0,11.0,11.0,11.0,10.0,10.0,,,,,3.0,12.0,10.0,9.0,9.0,8.0,,,,,,4.0,4.0,3.0,3.0,3.0,,,,,,21.0,22.0,20.0,21.0,23.0,6.0,5.0,6.0,5.0,6.0,18.0,16.0,16.0,15.0,15.0,29.0,28.0,28.0,27.0,26.0,,,,,,2956.97,2956.91,2957.04,2956.96,2957.02,46.1,46.1,46.1,46.1,46.1,-98.53,-98.53,-98.53,-98.53,-98.53,,,,,,,,,,,,,,,,1771.0,1655.0,1716.0,1725.0,1847.0,8660.0,8607.0,8943.0,8615.0,9433.0,0.0,4479.0,4587.0,5098.0,5183.0,3062.0,3158.0,3506.0,3337.0,3453.0,,,,,22.0,1089.0,932.0,739.0,775.0,869.0,,,,,,46.0,48.0,38.0,63.0,63.0,,,,,,11736.0,12720.0,12212.0,12746.0,14117.0,123.0,179.0,132.0,139.0,156.0,1285.0,1210.0,1184.0,1064.0,1085.0,2292.0,2543.0,2860.0,2939.0,3304.0,,,,,,0.0,0.0,0.0,0.0,0.0,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0
0.0,38043,Kidder County,,,,6.0,5.0,,,,,,,,,,,12.0,10.0,11.0,11.0,13.0,27.0,26.0,25.0,29.0,23.0,,,,,,32.0,29.0,36.0,33.0,30.0,,,,,,23.0,31.0,35.0,27.0,33.0,,,,,,,,,,3.0,,,,,,62.0,67.0,90.0,57.0,90.0,,1.0,,,,35.0,43.0,42.0,31.0,38.0,20.0,18.0,23.0,18.0,23.0,,,,,,,,,3.0,3.0,,,,,,,,,,,6.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,4.0,4.0,4.0,4.0,4.0,,,,,,7.0,8.0,7.0,7.0,7.0,,,,,,,,,,3.0,,,,,,5.0,5.0,5.0,5.0,5.0,,3.0,,,,9.0,10.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,,,,,,3711.22,3711.21,3711.03,3710.98,3711.02,46.96,46.96,46.96,46.96,46.96,-99.8,-99.8,-99.8,-99.8,-99.8,,,,204.0,236.0,,,,,,,,,,,738.0,769.0,701.0,964.0,965.0,1099.0,1200.0,1098.0,1133.0,1150.0,,,,,,1627.0,1965.0,1652.0,1826.0,1653.0,,,,,,867.0,1031.0,1057.0,1071.0,1317.0,,,,,,,,,,14.0,,,,,,1249.0,1264.0,1317.0,1311.0,1346.0,,62.0,,,,743.0,831.0,760.0,524.0,650.0,251.0,296.0,358.0,339.0,442.0,,,,,,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0
0.0,38019,Cavalier County,,,,,,,,,,,29.0,30.0,31.0,23.0,24.0,65.0,51.0,48.0,51.0,53.0,167.0,155.0,157.0,159.0,149.0,131.0,99.0,96.0,99.0,94.0,84.0,68.0,81.0,77.0,64.0,,,,,,15.0,15.0,16.0,16.0,8.0,,,,,,,,,,,,,,,,223.0,223.0,227.0,228.0,203.0,12.0,9.0,9.0,14.0,9.0,78.0,84.0,75.0,79.0,66.0,84.0,87.0,83.0,65.0,62.0,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,20.0,18.0,16.0,14.0,13.0,14.0,14.0,14.0,15.0,15.0,6.0,6.0,5.0,5.0,5.0,14.0,13.0,13.0,13.0,13.0,,,,,,7.0,6.0,6.0,5.0,4.0,,,,,,,,,,,,,,,,8.0,8.0,9.0,8.0,8.0,4.0,4.0,3.0,4.0,4.0,11.0,11.0,11.0,9.0,9.0,16.0,15.0,16.0,16.0,16.0,,,,,,3911.6,3911.61,3911.65,3911.68,3911.66,48.77,48.77,48.77,48.77,48.77,-98.5,-98.5,-98.5,-98.5,-98.5,,,,,,,,,,,2059.0,2289.0,2400.0,1951.0,2003.0,4493.0,5671.0,4249.0,4674.0,4612.0,10273.0,9914.0,10714.0,11233.0,12417.0,8814.0,5847.0,5865.0,6012.0,6057.0,6016.0,5032.0,4651.0,5051.0,5000.0,,,,,,664.0,917.0,860.0,621.0,598.0,,,,,,,,,,,,,,,,6525.0,6565.0,6997.0,7126.0,7127.0,142.0,146.0,151.0,140.0,164.0,1076.0,1213.0,1206.0,1168.0,1270.0,1255.0,1209.0,1222.0,1008.0,1269.0,,,,,,0.0,0.0,0.0,0.0,0.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
