target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
0.0,31083,Harlan County,,,,,,,,,,,,,,,,26.0,44.0,27.0,23.0,24.0,74.0,59.0,48.0,52.0,44.0,,,,,,49.0,49.0,46.0,44.0,41.0,,,1.0,3.0,5.0,34.0,43.0,29.0,29.0,31.0,,,,,,7.0,5.0,4.0,,,,,,,,189.0,192.0,188.0,178.0,180.0,,,,,,78.0,73.0,61.0,44.0,34.0,39.0,35.0,40.0,35.0,40.0,,,,,,,,,,,,,,,,,,,,,9.0,10.0,8.0,9.0,7.0,13.0,11.0,10.0,8.0,8.0,,,,,,12.0,11.0,12.0,12.0,12.0,,,3.0,3.0,4.0,8.0,8.0,9.0,8.0,7.0,,,,,,3.0,3.0,3.0,,,,,,,,13.0,11.0,10.0,9.0,10.0,,,,,,15.0,14.0,11.0,11.0,12.0,7.0,7.0,8.0,8.0,9.0,,,,,,1486.83,1486.83,1486.84,1486.88,1486.84,36.84,36.84,36.84,36.84,36.84,-83.23,-83.23,-83.23,-83.23,-83.23,,,,,,,,,,,,,,,,741.0,789.0,665.0,834.0,654.0,1917.0,1482.0,1437.0,1570.0,1522.0,,,,,,2624.0,2684.0,2730.0,2670.0,2726.0,,,46.0,51.0,124.0,831.0,990.0,823.0,899.0,853.0,,,,,,76.0,82.0,86.0,,,,,,,,6512.0,6304.0,6361.0,6625.0,7053.0,,,,,,641.0,880.0,817.0,733.0,1055.0,707.0,778.0,790.0,706.0,856.0,,,,,,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0
0.0,31185,York County,103.0,98.0,279.0,313.0,219.0,,,,,,,,,,,328.0,312.0,268.0,295.0,260.0,333.0,358.0,312.0,289.0,290.0,136.0,150.0,82.0,81.0,114.0,356.0,354.0,363.0,355.0,337.0,39.0,31.0,37.0,16.0,16.0,139.0,125.0,131.0,129.0,137.0,75.0,79.0,66.0,,,384.0,606.0,571.0,596.0,593.0,328.0,326.0,330.0,333.0,333.0,988.0,954.0,943.0,968.0,982.0,46.0,47.0,38.0,50.0,41.0,776.0,728.0,719.0,757.0,735.0,457.0,478.0,468.0,439.0,432.0,,,,,,6.0,5.0,5.0,6.0,6.0,,,,,,,,,,,52.0,52.0,52.0,57.0,52.0,41.0,40.0,40.0,41.0,39.0,11.0,12.0,9.0,9.0,11.0,43.0,43.0,47.0,47.0,45.0,16.0,16.0,19.0,15.0,18.0,25.0,23.0,23.0,25.0,25.0,3.0,3.0,3.0,,,20.0,19.0,23.0,24.0,24.0,6.0,5.0,5.0,5.0,4.0,39.0,41.0,41.0,43.0,49.0,7.0,7.0,7.0,7.0,8.0,41.0,40.0,44.0,43.0,41.0,80.0,77.0,77.0,71.0,75.0,,,,,,1491.46,1491.39,1491.39,1491.41,1491.39,39.97,39.97,39.97,39.97,39.97,-76.74,-76.74,-76.74,-76.74,-76.74,8827.0,9690.0,19283.0,21061.0,16358.0,,,,,,,,,,,15013.0,15023.0,13993.0,13342.0,13947.0,15842.0,16706.0,17951.0,15605.0,19341.0,4913.0,5193.0,2583.0,2447.0,4415.0,14353.0,15572.0,18163.0,18992.0,17431.0,820.0,816.0,552.0,451.0,480.0,5535.0,5545.0,5653.0,5886.0,6101.0,5802.0,6859.0,6595.0,,,16596.0,21818.0,20380.0,19916.0,20558.0,4811.0,4399.0,4549.0,5035.0,4817.0,39865.0,39405.0,40718.0,44316.0,44182.0,942.0,917.0,923.0,835.0,1037.0,10310.0,10153.0,10448.0,11042.0,12083.0,10572.0,11018.0,10781.0,11294.0,11745.0,,,,,,0.04,0.04,0.04,0.04,0.04,14,14,14,14,14,1.64,1.58,1.64,1.87,2.08
1.0,31019,Buffalo County,209.0,214.0,51.0,61.0,64.0,39.0,35.0,25.0,28.0,26.0,0.0,41.0,34.0,34.0,38.0,1230.0,1096.0,1057.0,1133.0,1151.0,1085.0,1131.0,1197.0,1393.0,1278.0,455.0,443.0,363.0,298.0,243.0,704.0,707.0,710.0,731.0,682.0,177.0,159.0,257.0,241.0,215.0,740.0,731.0,744.0,738.0,959.0,584.0,452.0,414.0,393.0,373.0,930.0,879.0,765.0,883.0,761.0,118.0,139.0,133.0,133.0,137.0,4015.0,4194.0,4098.0,4228.0,4926.0,528.0,550.0,516.0,513.0,418.0,3154.0,2922.0,2840.0,2802.0,2689.0,1121.0,1081.0,1055.0,1029.0,981.0,,,,1.0,2.0,7.0,9.0,8.0,8.0,11.0,4.0,4.0,4.0,4.0,4.0,7.0,5.0,4.0,4.0,3.0,209.0,211.0,207.0,200.0,219.0,87.0,85.0,93.0,96.0,96.0,33.0,30.0,27.0,26.0,28.0,131.0,133.0,132.0,133.0,124.0,68.0,75.0,77.0,72.0,77.0,111.0,107.0,114.0,107.0,114.0,7.0,8.0,7.0,8.0,8.0,65.0,63.0,64.0,67.0,69.0,13.0,14.0,14.0,14.0,16.0,205.0,216.0,219.0,216.0,228.0,30.0,34.0,36.0,34.0,37.0,162.0,150.0,154.0,151.0,159.0,174.0,177.0,171.0,177.0,176.0,,,,3.0,3.0,2526.38,2526.38,2526.38,2526.33,2526.24,40.84,40.84,40.84,40.84,40.84,-99.08,-99.08,-99.08,-99.08,-99.08,8901.0,9017.0,2581.0,2981.0,3327.0,1557.0,1598.0,1562.0,1519.0,1513.0,0.0,3153.0,2802.0,3006.0,3064.0,50006.0,51830.0,52025.0,58079.0,63094.0,54130.0,55319.0,61064.0,71280.0,75948.0,16727.0,15611.0,13293.0,12223.0,12237.0,37391.0,37892.0,39793.0,41903.0,44985.0,6034.0,6660.0,7676.0,7594.0,9341.0,35466.0,38029.0,38960.0,40456.0,53108.0,24545.0,31815.0,27198.0,27279.0,37584.0,27767.0,23147.0,23079.0,31048.0,23486.0,2070.0,2525.0,2621.0,2550.0,3043.0,196185.0,216235.0,219975.0,226088.0,272660.0,5878.0,6229.0,6452.0,5939.0,6802.0,49501.0,47947.0,45800.0,42202.0,50140.0,27607.0,26707.0,27478.0,27860.0,29241.0,,,,68.0,21.0,0.14,0.14,0.16,0.14,0.14,49,49,49,50,50,2.96,2.94,2.68,2.78,2.83
0.0,31037,Colfax County,,,,,,,,,,,,,,,,111.0,121.0,115.0,130.0,126.0,223.0,227.0,202.0,217.0,223.0,13.0,5.0,,,,92.0,99.0,103.0,103.0,105.0,7.0,4.0,7.0,5.0,6.0,45.0,50.0,53.0,39.0,34.0,,,,,,,,217.0,224.0,149.0,0.0,78.0,76.0,78.0,79.0,269.0,225.0,213.0,141.0,199.0,20.0,21.0,22.0,22.0,20.0,160.0,145.0,129.0,132.0,121.0,189.0,168.0,174.0,170.0,180.0,,,,,,,,,,,,,,,,,,,,,30.0,30.0,29.0,29.0,26.0,18.0,17.0,18.0,19.0,19.0,4.0,3.0,,,,16.0,15.0,16.0,15.0,16.0,5.0,4.0,5.0,5.0,4.0,12.0,12.0,12.0,11.0,11.0,,,,,,,,4.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,16.0,16.0,20.0,14.0,13.0,4.0,5.0,5.0,5.0,5.0,17.0,17.0,16.0,17.0,16.0,44.0,40.0,39.0,40.0,40.0,,,,,,1078.73,1078.73,1078.73,1078.68,1078.7,41.57,41.57,41.57,41.57,41.57,-97.08,-97.08,-97.08,-97.08,-97.08,,,,,,,,,,,,,,,,4767.0,5322.0,5777.0,5962.0,5785.0,11712.0,13453.0,11039.0,12567.0,11594.0,218.0,97.0,,,,4153.0,4227.0,4287.0,4581.0,5048.0,105.0,108.0,145.0,180.0,154.0,1566.0,1813.0,1850.0,1185.0,1027.0,,,,,,,,5330.0,5673.0,6623.0,0.0,2535.0,2577.0,2656.0,2772.0,8826.0,8250.0,7245.0,8503.0,8887.0,349.0,366.0,377.0,347.0,458.0,2010.0,1884.0,1951.0,1945.0,1987.0,3996.0,4148.0,4110.0,4147.0,4343.0,,,,,,0.07,0.07,0.0,0.07,0.07,11,11,11,11,11,1.77,1.56,0.0,1.55,1.7
0.0,31087,Hitchcock County,,,,,,0.0,75.0,86.0,103.0,87.0,,,,,,16.0,15.0,16.0,19.0,17.0,45.0,44.0,48.0,49.0,46.0,,,,,,24.0,24.0,20.0,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,19.0,23.0,,,,,,19.0,24.0,24.0,21.0,23.0,9.0,9.0,10.0,11.0,10.0,,,,,,,,,,,6.0,6.0,6.0,6.0,5.0,,,,,,8.0,8.0,8.0,8.0,7.0,9.0,8.0,8.0,8.0,8.0,,,,,,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,4.0,,,,,,4.0,5.0,4.0,4.0,4.0,5.0,6.0,7.0,6.0,7.0,,,,,,1860.76,1860.76,1860.76,1860.88,1860.75,40.17,40.17,40.17,40.17,40.17,-101.04,-101.04,-101.04,-101.04,-101.04,,,,,,0.0,3724.0,3632.0,3441.0,3527.0,,,,,,889.0,795.0,629.0,632.0,614.0,1671.0,1668.0,2018.0,2136.0,2418.0,,,,,,950.0,927.0,882.0,910.0,886.0,,,,,,,,,,,,,,,,,,,,,,,,,,,271.0,,355.0,440.0,,,,,,118.0,114.0,130.0,117.0,140.0,110.0,125.0,218.0,262.0,253.0,,,,,,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0
0.0,31113,Logan County,,,,,,,,,,,,,,,,0.0,,4.0,6.0,,,18.0,16.0,19.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,3.0,,,3.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,1479.44,1479.31,1479.41,1479.52,1479.58,40.11,40.11,40.11,40.11,40.11,-89.38,-89.38,-89.38,-89.38,-89.38,,,,,,,,,,,,,,,,0.0,,135.0,156.0,,,654.0,758.0,837.0,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,276.0,254.0,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0
1.0,31141,Platte County,,,,,,0.0,206.0,167.0,58.0,66.0,,,17.0,,,1017.0,1084.0,910.0,964.0,988.0,694.0,744.0,693.0,618.0,585.0,146.0,111.0,114.0,110.0,95.0,497.0,509.0,523.0,521.0,494.0,154.0,149.0,142.0,163.0,152.0,395.0,429.0,390.0,401.0,436.0,37.0,37.0,30.0,62.0,45.0,1081.0,1070.0,939.0,438.0,535.0,335.0,319.0,339.0,346.0,351.0,1810.0,1812.0,1883.0,1868.0,1966.0,223.0,188.0,194.0,203.0,179.0,1155.0,1136.0,1002.0,1267.0,1080.0,649.0,596.0,642.0,636.0,636.0,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,,,3.0,,,109.0,113.0,109.0,114.0,117.0,64.0,65.0,64.0,63.0,63.0,17.0,17.0,16.0,16.0,14.0,85.0,88.0,88.0,89.0,87.0,38.0,40.0,37.0,40.0,48.0,63.0,60.0,58.0,63.0,59.0,5.0,5.0,5.0,6.0,5.0,49.0,47.0,46.0,43.0,45.0,15.0,14.0,15.0,14.0,14.0,98.0,98.0,105.0,102.0,104.0,15.0,14.0,15.0,14.0,16.0,73.0,74.0,74.0,77.0,75.0,102.0,103.0,101.0,94.0,101.0,,,,,,1772.97,1772.97,1772.97,1772.96,1772.97,39.38,39.38,39.38,39.38,39.38,-94.77,-94.77,-94.77,-94.77,-94.77,,,,,,0.0,10714.0,6765.0,3161.0,3461.0,,,1211.0,,,53003.0,57000.0,52353.0,50949.0,57271.0,38344.0,40435.0,39566.0,31366.0,34684.0,4359.0,4018.0,4590.0,4565.0,4172.0,28282.0,29413.0,30068.0,34080.0,33896.0,4714.0,4738.0,5581.0,6167.0,6976.0,18646.0,19842.0,18774.0,21560.0,21574.0,3209.0,3517.0,3740.0,7316.0,7038.0,21273.0,21070.0,21613.0,15850.0,18777.0,7589.0,7795.0,8079.0,7909.0,8296.0,77851.0,80212.0,92260.0,92526.0,98176.0,2327.0,2417.0,2650.0,2395.0,2525.0,14857.0,15439.0,14784.0,17623.0,16487.0,15453.0,16216.0,16778.0,17113.0,19715.0,,,,,,0.17,0.2,0.2,0.32,0.23,33,33,33,33,34,1.84,1.77,1.85,1.69,1.76
0.0,31143,Polk County,,,,,,,,,,,,,,,,54.0,56.0,58.0,52.0,59.0,109.0,144.0,137.0,118.0,120.0,,,,,,56.0,55.0,50.0,51.0,48.0,,,,,,28.0,21.0,18.0,14.0,16.0,,,,,,13.0,14.0,14.0,15.0,21.0,,,,,,249.0,259.0,249.0,251.0,236.0,,,,,,46.0,63.0,58.0,55.0,18.0,62.0,56.0,59.0,56.0,52.0,,,,,,,,,,,,,,,,,,,,,20.0,20.0,18.0,18.0,18.0,11.0,12.0,13.0,14.0,13.0,,,,,,13.0,12.0,13.0,13.0,12.0,,,,,,14.0,13.0,13.0,14.0,13.0,,,,,,6.0,7.0,8.0,8.0,8.0,,,,,,9.0,9.0,8.0,8.0,7.0,,,,,,8.0,7.0,7.0,8.0,7.0,22.0,20.0,21.0,21.0,21.0,,,,,,1141.3,1141.34,1141.32,1141.32,1141.34,30.76,30.76,30.76,30.76,30.76,-94.82,-94.82,-94.82,-94.82,-94.82,,,,,,,,,,,,,,,,2232.0,2281.0,2068.0,2106.0,2386.0,5374.0,7012.0,7089.0,6487.0,6973.0,,,,,,2260.0,2439.0,2428.0,2495.0,2454.0,,,,,,532.0,455.0,437.0,488.0,478.0,,,,,,327.0,330.0,394.0,451.0,580.0,,,,,,7675.0,8034.0,8236.0,9095.0,9299.0,,,,,,415.0,514.0,562.0,358.0,178.0,1253.0,1131.0,1262.0,1273.0,1330.0,,,,,,0.0,0.0,0.0,0.0,0.0,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0
1.0,31169,Thayer County,12.0,,,8.0,9.0,,,,,,,,,,,70.0,85.0,74.0,76.0,76.0,247.0,239.0,249.0,265.0,274.0,12.0,10.0,11.0,9.0,7.0,103.0,97.0,92.0,99.0,91.0,0.0,14.0,14.0,14.0,16.0,29.0,27.0,24.0,19.0,28.0,,,,,,16.0,8.0,7.0,9.0,4.0,,,,,,373.0,360.0,361.0,323.0,310.0,,,,,,119.0,122.0,107.0,90.0,81.0,105.0,123.0,105.0,102.0,112.0,,,,,,3.0,,,3.0,3.0,,,,,,,,,,,24.0,26.0,26.0,25.0,25.0,26.0,26.0,26.0,25.0,26.0,4.0,4.0,4.0,4.0,4.0,14.0,14.0,16.0,15.0,16.0,3.0,3.0,3.0,4.0,5.0,10.0,11.0,11.0,11.0,11.0,,,,,,3.0,3.0,3.0,5.0,4.0,,,,,,11.0,10.0,11.0,11.0,12.0,,,,,,16.0,13.0,14.0,12.0,13.0,35.0,35.0,33.0,32.0,32.0,,,,,,1489.49,1489.44,1489.45,1489.45,1489.41,40.17,40.17,40.17,40.17,40.17,-97.63,-97.63,-97.63,-97.63,-97.63,394.0,,,505.0,646.0,,,,,,,,,,,2498.0,2664.0,2541.0,2903.0,2967.0,12812.0,14309.0,15176.0,15969.0,16807.0,372.0,427.0,391.0,359.0,347.0,5030.0,4924.0,5150.0,5658.0,5736.0,0.0,488.0,458.0,429.0,435.0,689.0,654.0,564.0,563.0,571.0,,,,,,276.0,235.0,158.0,182.0,137.0,,,,,,12998.0,12837.0,12183.0,11957.0,12798.0,,,,,,733.0,770.0,594.0,513.0,595.0,2267.0,2216.0,2103.0,2306.0,2355.0,,,,,,0.0,0.0,0.0,0.0,0.0,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0
0.0,31013,Box Butte County,,,,,,,,,,,55.0,51.0,50.0,54.0,46.0,110.0,88.0,89.0,117.0,106.0,257.0,258.0,267.0,259.0,249.0,80.0,82.0,81.0,60.0,52.0,115.0,119.0,129.0,132.0,127.0,32.0,30.0,26.0,28.0,27.0,85.0,86.0,94.0,101.0,96.0,,,,,,43.0,38.0,20.0,27.0,28.0,,28.0,,,,563.0,493.0,473.0,495.0,462.0,44.0,46.0,45.0,40.0,36.0,338.0,471.0,276.0,301.0,290.0,214.0,251.0,208.0,230.0,237.0,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,30.0,32.0,28.0,30.0,25.0,23.0,20.0,20.0,21.0,22.0,11.0,11.0,12.0,11.0,12.0,23.0,25.0,24.0,24.0,28.0,11.0,10.0,9.0,10.0,11.0,19.0,18.0,18.0,16.0,16.0,,,,,,11.0,13.0,10.0,9.0,10.0,,3.0,,,,27.0,27.0,28.0,28.0,27.0,4.0,4.0,4.0,4.0,4.0,30.0,32.0,27.0,25.0,25.0,46.0,47.0,43.0,45.0,44.0,,,,,,2791.48,2791.84,2791.86,2791.92,2791.92,42.21,42.21,42.21,42.21,42.21,-103.07,-103.07,-103.07,-103.07,-103.07,,,,,,,,,,,3548.0,3320.0,3593.0,5723.0,2992.0,4889.0,4285.0,4745.0,5185.0,4389.0,12875.0,12053.0,12899.0,12409.0,12734.0,2810.0,2575.0,2265.0,2298.0,2337.0,5789.0,5157.0,6429.0,6539.0,8081.0,671.0,610.0,603.0,600.0,602.0,2834.0,2568.0,2884.0,3146.0,3111.0,,,,,,815.0,792.0,685.0,721.0,703.0,,166.0,,,,22483.0,21391.0,21329.0,22479.0,23780.0,263.0,302.0,302.0,307.0,487.0,4956.0,7299.0,4993.0,4540.0,5434.0,4149.0,4125.0,4353.0,4638.0,5001.0,,,,,,0.0,0.01,0.01,0.03,0.03,11,11,11,11,11,0.0,2.29,2.01,1.81,1.87
