target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
0.0,35023,Hidalgo County,,,,,,,,,,,6.0,5.0,7.0,,,14,12,10,10,8,,,,,,5.0,4.0,5.0,4.0,5.0,,,,,24.0,,,,,,25.0,25.0,27.0,25.0,26.0,,,,,,,,,,,,,,,,223,227.0,188.0,98.0,134.0,,,,,,191,228.0,216.0,231.0,164.0,6,8.0,6.0,5.0,4.0,,,,,,,,,,,,,,,,3.0,3.0,4.0,,,8,8,6,4,5,,,,,,3.0,3.0,3.0,3.0,3.0,,,,,3.0,,,,,,5.0,5.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,15,14.0,14.0,10.0,11.0,,,,,,17,17.0,16.0,15.0,15.0,7,8.0,6.0,6.0,4.0,,,,,,8921.42,8921.2,8921.2,8921.45,8921.22,26.35,26.35,26.35,26.35,26.35,-98.22,-98.22,-98.22,-98.22,-98.22,,,,,,,,,,,587.0,662.0,638.0,,,334,272,254,224,212,,,,,,210.0,211.0,221.0,250.0,241.0,,,,,803.0,,,,,,847.0,949.0,1051.0,1037.0,1375.0,,,,,,,,,,,,,,,,5610,6892.0,4746.0,3970.0,3885.0,,,,,,3583,2675.0,2913.0,2927.0,2944.0,100,142.0,115.0,119.0,104.0,,,,,,0.0,0.0,0.0,0.0,0.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
0.0,35029,Luna County,,,,,,,,,,,,41.0,38.0,39.0,39.0,144,144,128,136,166,146.0,148.0,139.0,125.0,128.0,29.0,25.0,27.0,24.0,24.0,113.0,121.0,111.0,114.0,113.0,43.0,47.0,44.0,49.0,47.0,84.0,88.0,87.0,86.0,80.0,,,,,,51.0,59.0,30.0,32.0,46.0,,,,,,1158,1168.0,1256.0,1617.0,1504.0,52.0,47.0,57.0,68.0,59.0,895,808.0,820.0,839.0,741.0,139,136.0,132.0,135.0,108.0,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,29,32,30,31,32,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,27.0,26.0,24.0,25.0,26.0,19.0,19.0,19.0,19.0,19.0,22.0,18.0,17.0,17.0,16.0,,,,,,14.0,11.0,12.0,14.0,12.0,,,,,,47,52.0,49.0,54.0,52.0,3.0,4.0,5.0,7.0,5.0,65,62.0,62.0,62.0,55.0,37,36.0,38.0,40.0,38.0,,,,,,7680.63,7679.98,7680.69,7680.12,7680.68,32.13,32.13,32.13,32.13,32.13,-107.77,-107.77,-107.77,-107.77,-107.77,,,,,,,,,,,,2928.0,2908.0,2908.0,2917.0,7232,5760,5542,6341,7025,5542.0,5761.0,6011.0,5023.0,6081.0,1096.0,1016.0,973.0,906.0,1151.0,4662.0,4322.0,4508.0,4858.0,4923.0,1294.0,1251.0,1236.0,1413.0,1467.0,2717.0,2934.0,2936.0,2772.0,3053.0,,,,,,1421.0,1230.0,680.0,699.0,836.0,,,,,,36309,39624.0,42074.0,41589.0,45898.0,541.0,547.0,583.0,567.0,663.0,11189,10358.0,10533.0,10351.0,12304.0,2378,2315.0,2482.0,2743.0,2806.0,,,,,,0.0,0.0,0.0,0.01,0.01,24,24,24,24,25,0.0,0.0,0.0,1.78,1.97
1.0,35043,Sandoval County,,,,2.0,,57.0,72.0,61.0,76.0,64.0,170.0,167.0,193.0,186.0,183.0,1500,1767,1863,2113,2041,336.0,316.0,331.0,346.0,1182.0,200.0,211.0,227.0,196.0,138.0,903.0,1029.0,968.0,1760.0,1637.0,274.0,277.0,267.0,259.0,270.0,733.0,739.0,750.0,803.0,884.0,139.0,21.0,21.0,18.0,101.0,3177.0,3149.0,3388.0,3677.0,3533.0,207.0,211.0,214.0,239.0,211.0,3911,4227.0,4377.0,4930.0,5111.0,1036.0,455.0,470.0,443.0,318.0,4039,4757.0,4922.0,5011.0,3564.0,1157,1143.0,1186.0,1178.0,1014.0,,,,,,,,,3.0,,5.0,5.0,5.0,5.0,4.0,12.0,12.0,12.0,12.0,12.0,236,232,234,230,253,47.0,42.0,41.0,45.0,46.0,27.0,33.0,36.0,34.0,32.0,125.0,116.0,117.0,121.0,119.0,86.0,86.0,89.0,100.0,110.0,195.0,193.0,186.0,202.0,207.0,5.0,5.0,5.0,5.0,5.0,114.0,109.0,109.0,107.0,125.0,28.0,33.0,30.0,28.0,29.0,239,237.0,246.0,258.0,265.0,29.0,29.0,28.0,25.0,28.0,167,172.0,165.0,174.0,161.0,155,161.0,167.0,168.0,174.0,,,,,,9620.18,9620.18,9620.2,9620.11,9620.48,35.59,35.59,35.59,35.59,35.59,-106.85,-106.85,-106.85,-106.85,-106.85,,,,51.0,,3395.0,3807.0,3249.0,4344.0,3858.0,12676.0,12393.0,13473.0,13990.0,13980.0,75787,77650,104859,109237,117117,22669.0,23847.0,26106.0,27521.0,238185.0,9152.0,9983.0,10397.0,9781.0,9570.0,40521.0,43017.0,45116.0,61470.0,66803.0,10427.0,11102.0,13259.0,13896.0,12711.0,38961.0,43397.0,45998.0,51185.0,56858.0,4521.0,1296.0,1431.0,1463.0,8613.0,122553.0,189183.0,190150.0,255113.0,216326.0,5678.0,5373.0,5799.0,5821.0,7154.0,165994,179168.0,188125.0,210130.0,230732.0,29740.0,9197.0,9468.0,8461.0,7888.0,62047,95434.0,101944.0,75258.0,85155.0,29233,29515.0,31216.0,31828.0,30689.0,,,,,,0.12,0.14,0.16,0.17,0.19,139,141,143,145,147,2.06,2.01,1.92,2.31,2.32
0.0,35055,Taos County,,,,,9.0,,,,,,0.0,124.0,123.0,124.0,116.0,423,424,384,427,479,38.0,40.0,47.0,53.0,53.0,118.0,129.0,122.0,117.0,101.0,187.0,180.0,162.0,167.0,167.0,191.0,203.0,203.0,274.0,204.0,319.0,367.0,341.0,318.0,339.0,37.0,16.0,,23.0,17.0,163.0,184.0,171.0,206.0,146.0,61.0,83.0,80.0,83.0,44.0,1569,1707.0,1846.0,1925.0,1818.0,1046.0,927.0,1085.0,1094.0,670.0,2445,2427.0,2601.0,2535.0,1778.0,345,381.0,379.0,406.0,353.0,,,,,,,,,,3.0,,,,,,7.0,8.0,8.0,8.0,7.0,138,137,132,129,138,13.0,14.0,15.0,17.0,18.0,15.0,16.0,16.0,17.0,16.0,36.0,33.0,33.0,36.0,37.0,57.0,58.0,59.0,62.0,60.0,92.0,87.0,88.0,83.0,92.0,3.0,3.0,,4.0,4.0,44.0,43.0,50.0,48.0,51.0,18.0,20.0,16.0,18.0,15.0,100,100.0,104.0,103.0,105.0,36.0,31.0,31.0,34.0,37.0,160,157.0,150.0,149.0,145.0,84,95.0,88.0,87.0,87.0,,,,,,5709.77,5709.71,5709.4,5709.7,5709.86,36.49,36.49,36.49,36.49,36.49,-105.68,-105.68,-105.68,-105.68,-105.68,,,,,566.0,,,,,,0.0,6104.0,6777.0,6644.0,6870.0,16201,17253,16602,18194,21049,1655.0,1820.0,1794.0,1911.0,1901.0,4924.0,5041.0,4785.0,4419.0,4398.0,7261.0,7133.0,6658.0,6710.0,7087.0,4998.0,5562.0,5681.0,7838.0,5941.0,16405.0,19153.0,16033.0,15566.0,16832.0,4165.0,727.0,,926.0,849.0,9018.0,9577.0,10719.0,8417.0,9005.0,1588.0,1938.0,1636.0,1461.0,1635.0,66596,66722.0,70458.0,74016.0,81062.0,18112.0,16290.0,19955.0,19197.0,18958.0,46470,47604.0,48779.0,37864.0,46881.0,9038,9383.0,10115.0,9402.0,10979.0,,,,,,0.0,0.0,0.0,0.0,0.0,33,33,33,33,34,0.0,0.0,0.0,0.0,0.0
0.0,35017,Grant County,,,,,4.0,0.0,1166.0,1248.0,1309.0,1060.0,0.0,50.0,56.0,57.0,54.0,415,395,488,550,437,95.0,97.0,103.0,100.0,116.0,85.0,70.0,70.0,65.0,72.0,173.0,168.0,162.0,150.0,160.0,70.0,75.0,71.0,64.0,59.0,133.0,125.0,138.0,141.0,136.0,184.0,163.0,171.0,177.0,130.0,39.0,47.0,48.0,59.0,55.0,123.0,111.0,140.0,145.0,94.0,1533,1614.0,1618.0,1418.0,1373.0,28.0,33.0,21.0,26.0,13.0,1011,945.0,896.0,890.0,724.0,293,270.0,266.0,242.0,226.0,,,,,,,,,,3.0,7.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,72,72,72,70,64,20.0,18.0,17.0,18.0,19.0,17.0,15.0,15.0,15.0,14.0,36.0,35.0,35.0,34.0,35.0,33.0,32.0,28.0,28.0,27.0,44.0,39.0,38.0,34.0,31.0,5.0,5.0,5.0,5.0,4.0,17.0,20.0,20.0,17.0,16.0,4.0,4.0,4.0,4.0,5.0,72,68.0,75.0,74.0,70.0,6.0,6.0,5.0,5.0,6.0,70,67.0,63.0,63.0,64.0,63,65.0,66.0,64.0,66.0,,,,,,10272.32,10273.16,10272.46,10273.24,10272.39,45.94,45.94,45.94,45.94,45.94,-96.03,-96.03,-96.03,-96.03,-96.03,,,,,74.0,0.0,87474.0,94206.0,94627.0,80045.0,0.0,3949.0,4108.0,4350.0,4067.0,15088,17174,20083,28524,19015,2282.0,2330.0,2710.0,2696.0,3277.0,2985.0,3018.0,2858.0,3077.0,3308.0,6731.0,6491.0,6166.0,6715.0,8791.0,1834.0,2017.0,1864.0,1796.0,2440.0,3724.0,3780.0,4603.0,5004.0,5150.0,8957.0,9214.0,9489.0,9571.0,7048.0,1079.0,1305.0,1458.0,1466.0,1545.0,1820.0,1858.0,2067.0,2158.0,2320.0,59352,63471.0,69040.0,65715.0,65749.0,425.0,334.0,217.0,181.0,284.0,10911,10761.0,11651.0,9822.0,10480.0,5274,5829.0,6126.0,5486.0,6015.0,,,,,,0.0,0.0,0.0,0.0,0.01,28,28,28,27,28,0.0,0.0,0.0,0.0,1.51
0.0,35009,Curry County,41.0,42.0,46.0,28.0,35.0,,,,,,103.0,108.0,108.0,114.0,120.0,724,654,641,620,630,451.0,478.0,445.0,450.0,422.0,249.0,232.0,221.0,228.0,206.0,440.0,427.0,413.0,402.0,417.0,210.0,186.0,201.0,212.0,235.0,847.0,511.0,491.0,443.0,479.0,25.0,23.0,48.0,22.0,26.0,381.0,372.0,357.0,356.0,364.0,94.0,90.0,113.0,101.0,73.0,2833,3021.0,2990.0,3408.0,3134.0,58.0,74.0,70.0,47.0,78.0,1848,1964.0,2016.0,2010.0,1974.0,760,785.0,755.0,709.0,617.0,,,,,7.0,8.0,7.0,8.0,8.0,7.0,,,,,,6.0,6.0,6.0,6.0,6.0,98,94,93,93,91,43.0,43.0,39.0,38.0,36.0,13.0,15.0,14.0,14.0,15.0,76.0,78.0,76.0,68.0,69.0,61.0,53.0,51.0,56.0,63.0,91.0,86.0,80.0,75.0,76.0,6.0,5.0,4.0,4.0,4.0,39.0,40.0,38.0,39.0,42.0,9.0,9.0,10.0,9.0,10.0,114,116.0,114.0,120.0,117.0,16.0,14.0,14.0,8.0,11.0,82,87.0,91.0,87.0,93.0,123,117.0,113.0,117.0,114.0,,,,,3.0,3648.7,3648.7,3648.75,3648.85,3648.66,42.43,42.43,42.43,42.43,42.43,-124.22,-124.22,-124.22,-124.22,-124.22,2000.0,2235.0,2258.0,1176.0,1351.0,,,,,,7363.0,7617.0,7931.0,8477.0,8825.0,28538,28174,27721,27391,28469,18770.0,19400.0,17521.0,17177.0,19975.0,11446.0,11840.0,11925.0,12372.0,12616.0,20513.0,21555.0,22069.0,22164.0,25029.0,5476.0,5202.0,6391.0,7877.0,8779.0,35868.0,26100.0,27351.0,26418.0,29517.0,2519.0,2329.0,1625.0,1616.0,1924.0,9364.0,9210.0,10910.0,10946.0,8607.0,3639.0,4214.0,5798.0,2931.0,2506.0,96345,95937.0,102760.0,111434.0,106845.0,864.0,744.0,728.0,658.0,1400.0,26818,27975.0,28969.0,26766.0,32663.0,16245,16052.0,16765.0,16215.0,17687.0,,,,,202.0,0.18,0.16,0.17,0.15,0.16,50,50,50,50,49,1.93,1.88,1.83,1.76,1.79
0.0,35007,Colfax County,,,,,,63.0,50.0,26.0,21.0,20.0,41.0,39.0,34.0,36.0,33.0,165,154,151,148,115,16.0,12.0,12.0,12.0,9.0,35.0,31.0,26.0,24.0,18.0,133.0,127.0,114.0,111.0,114.0,45.0,34.0,48.0,59.0,59.0,67.0,63.0,67.0,60.0,48.0,,,,,,95.0,72.0,91.0,116.0,127.0,,,,,,463,502.0,425.0,409.0,414.0,10.0,12.0,10.0,6.0,8.0,1312,1275.0,1127.0,1191.0,959.0,129,120.0,139.0,138.0,118.0,,,,,,,,,,,4.0,4.0,4.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,60,53,52,52,45,5.0,5.0,5.0,5.0,5.0,9.0,9.0,7.0,7.0,6.0,29.0,27.0,27.0,25.0,25.0,19.0,19.0,20.0,20.0,18.0,23.0,19.0,20.0,20.0,18.0,,,,,,16.0,14.0,14.0,16.0,19.0,,,,,,26,25.0,26.0,25.0,26.0,4.0,4.0,4.0,4.0,5.0,63,59.0,56.0,59.0,64.0,41,35.0,39.0,36.0,36.0,,,,,,9758.55,9758.54,9758.54,9759.48,9758.4,41.57,41.57,41.57,41.57,41.57,-97.08,-97.08,-97.08,-97.08,-97.08,,,,,,3763.0,2779.0,1632.0,1013.0,947.0,2431.0,2316.0,2205.0,2346.0,2444.0,5876,4860,5059,5005,4770,439.0,433.0,610.0,784.0,1025.0,1245.0,771.0,684.0,680.0,609.0,6819.0,5173.0,5197.0,5420.0,5120.0,1302.0,1400.0,1785.0,2025.0,2282.0,1982.0,2036.0,1861.0,1792.0,1779.0,,,,,,1619.0,2149.0,3578.0,4450.0,4606.0,,,,,,18858,21359.0,19291.0,19330.0,20137.0,126.0,122.0,134.0,101.0,640.0,25771,24037.0,20405.0,21119.0,22832.0,2768,2936.0,3255.0,2799.0,2849.0,,,,,,0.0,0.0,0.0,0.01,0.01,13,12,12,12,12,1.57,1.51,1.81,1.82,1.88
1.0,35015,Eddy County,17.0,33.0,39.0,47.0,67.0,4986.0,5168.0,6111.0,5163.0,3887.0,178.0,173.0,173.0,178.0,170.0,1989,2636,2729,2578,2178,585.0,656.0,680.0,716.0,594.0,234.0,234.0,254.0,254.0,210.0,519.0,522.0,534.0,663.0,526.0,349.0,412.0,488.0,513.0,437.0,676.0,739.0,795.0,794.0,638.0,50.0,47.0,55.0,50.0,42.0,1180.0,1274.0,1400.0,1337.0,1354.0,154.0,109.0,114.0,104.0,53.0,2941,2947.0,2823.0,2841.0,2542.0,109.0,99.0,114.0,147.0,114.0,2453,2402.0,2628.0,2658.0,2308.0,1029,877.0,886.0,993.0,847.0,,0.0,10.0,,,8.0,8.0,8.0,8.0,8.0,156.0,166.0,175.0,173.0,164.0,15.0,14.0,14.0,14.0,16.0,147,152,145,153,142,66.0,71.0,69.0,77.0,75.0,27.0,25.0,28.0,28.0,22.0,76.0,76.0,74.0,72.0,70.0,68.0,70.0,80.0,79.0,78.0,89.0,88.0,95.0,93.0,91.0,7.0,7.0,7.0,7.0,6.0,57.0,54.0,59.0,58.0,63.0,21.0,22.0,23.0,11.0,18.0,114,122.0,114.0,116.0,117.0,10.0,12.0,13.0,14.0,15.0,129,138.0,131.0,145.0,149.0,129,125.0,138.0,136.0,137.0,,4.0,3.0,,,10868.32,10868.6,10868.6,10871.99,10870.55,47.71,47.71,47.71,47.71,47.71,-98.91,-98.91,-98.91,-98.91,-98.91,901.0,1570.0,2049.0,2298.0,3253.0,401504.0,462130.0,500821.0,401288.0,375131.0,13298.0,12621.0,12908.0,13466.0,13960.0,113229,164226,171975,150113,144731,36700.0,44218.0,50968.0,43679.0,42499.0,12115.0,11874.0,12661.0,12982.0,13278.0,25212.0,26609.0,28776.0,53016.0,37764.0,19523.0,30452.0,35360.0,32110.0,29981.0,33888.0,37365.0,40954.0,35402.0,45402.0,2777.0,2899.0,2997.0,2470.0,2029.0,90958.0,97638.0,113692.0,108212.0,116214.0,4814.0,4293.0,4455.0,2954.0,1263.0,127493,136177.0,132036.0,129565.0,127997.0,2175.0,2504.0,2928.0,2440.0,2849.0,41348,44819.0,52628.0,49148.0,52212.0,31890,31802.0,36011.0,36280.0,40533.0,,141.0,73.0,,,0.06,0.06,0.07,0.03,0.03,57,57,58,58,61,1.95,1.9,1.85,1.94,2.15
0.0,35033,Mora County,,,,,,,,,,,,,,,,9,7,12,11,12,,,,,,,,,,,5.0,6.0,7.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,151,141.0,138.0,140.0,141.0,,,,,,8,12.0,12.0,9.0,5.0,20,18.0,18.0,19.0,14.0,,,,,,,,,,,,,,,,,,,,,6,5,6,5,7,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,6,5.0,5.0,5.0,5.0,,,,,,3,3.0,3.0,3.0,3.0,5,4.0,4.0,4.0,4.0,,,,,,5003.49,4999.85,4999.85,4994.2,4997.49,35.97,35.97,35.97,35.97,35.97,-104.91,-104.91,-104.91,-104.91,-104.91,,,,,,,,,,,,,,,,351,318,340,356,383,,,,,,,,,,,172.0,175.0,180.0,174.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,3264,3081.0,3323.0,3677.0,3894.0,,,,,,65,109.0,120.0,58.0,63.0,329,408.0,376.0,371.0,558.0,,,,,,0.0,0.0,0.0,0.0,0.0,5,5,5,4,4,0.0,0.0,0.0,0.0,0.0
0.0,35045,San Juan County,,,,,34.0,3252.0,3396.0,3459.0,3195.0,2691.0,543.0,534.0,572.0,571.0,513.0,1811,2044,2229,2198,2103,1238.0,1324.0,1340.0,1353.0,1148.0,380.0,351.0,331.0,304.0,176.0,934.0,859.0,852.0,828.0,768.0,585.0,672.0,675.0,627.0,534.0,1228.0,1173.0,1213.0,1171.0,1050.0,295.0,257.0,236.0,235.0,198.0,927.0,908.0,1153.0,879.0,765.0,371.0,369.0,318.0,330.0,305.0,7209,7498.0,7634.0,7347.0,7236.0,722.0,752.0,697.0,735.0,622.0,4903,5136.0,5065.0,4834.0,4556.0,2134,2050.0,2129.0,1797.0,1700.0,,4.0,0.0,,3.0,,,,,3.0,161.0,136.0,126.0,108.0,100.0,17.0,15.0,16.0,18.0,16.0,229,226,219,217,226,150.0,145.0,149.0,151.0,139.0,34.0,34.0,34.0,34.0,31.0,151.0,141.0,133.0,135.0,131.0,98.0,105.0,105.0,101.0,112.0,221.0,214.0,214.0,207.0,191.0,17.0,16.0,15.0,14.0,13.0,110.0,106.0,112.0,106.0,104.0,24.0,27.0,24.0,22.0,20.0,280,282.0,283.0,282.0,280.0,31.0,31.0,36.0,31.0,30.0,241,235.0,230.0,230.0,227.0,273,262.0,247.0,245.0,253.0,,3.0,4.0,,3.0,14344.21,14344.21,14344.21,14344.09,14343.84,37.76,37.76,37.76,37.76,37.76,-107.65,-107.65,-107.65,-107.65,-107.65,,,,,1519.0,259817.0,286699.0,282972.0,233833.0,259658.0,63312.0,61887.0,57545.0,57053.0,52036.0,92864,106198,119454,108454,113553,69804.0,80464.0,82030.0,78070.0,71217.0,11726.0,11341.0,11811.0,9740.0,9371.0,40414.0,36978.0,37155.0,39216.0,37698.0,31570.0,38407.0,36902.0,28870.0,28381.0,57644.0,59409.0,64541.0,57732.0,62730.0,13778.0,12117.0,13359.0,10292.0,10180.0,37728.0,38271.0,44000.0,35996.0,43026.0,13666.0,14833.0,10732.0,11713.0,13239.0,348070,347591.0,360542.0,351797.0,368359.0,19295.0,19261.0,20129.0,15244.0,17249.0,70557,76036.0,77424.0,67803.0,83030.0,66660,71751.0,74197.0,64510.0,69394.0,,32.0,149.0,,54.0,0.03,0.03,0.03,0.03,0.02,128,127,127,126,123,1.93,1.96,1.91,1.78,1.96
