target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,36095,Schoharie County,6.0,6.0,9.0,8.0,4.0,0.0,22.0,23.0,32.0,24.0,36.0,,,,,354,323,314,279,236,105,108,98.0,91.0,81.0,118,111,116,108,97,252,202,193,197,189,37,45,39,42,33,177.0,182.0,187,166,177,,,,,16.0,279,235,234,201,150,0.0,102.0,101.0,98.0,92.0,884,977,1016,701,847,54,55,55,40,18,587,577,580,596,550,225,222,223,213,186,,,0.0,,,4.0,4.0,4.0,6.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,,,,,77,80,84,78,79,15,13,13.0,13.0,12.0,13,13,14,14,15,30,28,28,28,27,15,16,14,12,16,39.0,35.0,37,39,42,,,,,3.0,32,29,23,19,22,8.0,8.0,7.0,7.0,7.0,60,59,57,54,53,11,11,14,13,10,65,68,67,67,65,57,56,58,61,57,,,3.0,,,1622.21,1622.21,1622.2,1622.25,1622.21,42.58,42.58,42.58,42.58,42.58,-74.44,-74.44,-74.44,-74.44,-74.44,152.0,85.0,98.0,97.0,106.0,0.0,1865.0,1650.0,2113.0,2539.0,2197.0,,,,,31575,29101,30844,24280,24050,6602,5882,5519.0,4780.0,5264.0,3801,3801,4055,4007,3952,23581,19597,20548,20677,23207,1985,1721,1610,1711,2258,6171.0,6999.0,7397,7105,8086,,,,,1603.0,3946,4016,4172,3609,4011,0.0,2199.0,2413.0,2565.0,2444.0,31303,33937,36306,30506,41158,2219,2038,2114,1507,1344,9913,10152,10849,9042,11116,4542,4573,4855,4546,4541,,,169.0,,,0.04,0.04,0.04,0.04,0.04,32,31,31,31,30,2.29,2.25,2.19,2.11,2.09
1.0,36097,Schuyler County,14.0,16.0,13.0,12.0,10.0,,,,,,,,,,,300,285,253,274,249,18,18,29.0,40.0,24.0,41,43,40,30,25,59,56,57,48,47,12,12,14,9,10,45.0,40.0,35,35,44,,,,,,80,78,81,88,76,,,,,,716,791,810,776,662,42,72,68,56,29,621,629,575,586,615,190,195,187,195,191,,1.0,,,0.0,5.0,5.0,6.0,5.0,6.0,,,,,,,,,,,31,32,35,32,28,4,5,4.0,4.0,4.0,8,7,6,5,5,10,10,10,10,9,11,9,8,7,8,14.0,15.0,13,13,17,,,,,,20,19,20,18,21,,,,,,27,28,27,25,27,12,12,12,10,10,80,79,82,75,83,46,46,47,51,47,,4.0,,,3.0,886.6,886.6,886.6,886.67,886.6,40.14,40.14,40.14,40.14,40.14,-90.57,-90.57,-90.57,-90.57,-90.57,413.0,429.0,380.0,264.0,249.0,,,,,,,,,,,19215,22317,18253,17069,17920,1000,1564,2871.0,4028.0,4806.0,1401,1428,1446,937,793,2303,2347,2347,2533,2415,263,275,311,216,403,1681.0,1080.0,710,718,1127,,,,,,2823,3086,2616,3045,3334,,,,,,28197,29173,30213,27981,29761,3814,3301,3965,2536,2550,14267,14816,15238,12627,17521,6374,6922,6911,8072,8517,,55.0,,,55.0,0.0,0.0,0.0,0.0,0.0,18,18,18,18,18,0.0,0.0,0.0,0.0,0.0
1.0,36007,Broome County,9.0,4.0,8.0,10.0,12.0,15.0,14.0,15.0,12.0,15.0,0.0,638.0,679.0,687.0,764.0,2950,2938,3215,3087,2932,3620,3451,3548.0,2912.0,3791.0,2096,2173,1971,1599,1648,1999,1997,2054,2019,2064,903,888,897,936,978,3425.0,3549.0,3653,3651,3691,1351.0,1488.0,1394.0,1358.0,1366.0,4487,4371,4873,4599,4280,862.0,842.0,797.0,780.0,660.0,16619,15947,16295,16740,16370,795,851,814,731,522,8945,9268,9224,8566,7144,2759,2766,2828,2809,2525,,3.0,3.0,7.0,,5.0,4.0,5.0,8.0,7.0,5.0,4.0,4.0,6.0,6.0,10.0,13.0,14.0,12.0,16.0,414,410,398,391,395,192,190,191.0,189.0,191.0,86,91,88,79,76,210,210,201,191,199,148,152,150,157,144,297.0,296.0,292,295,294,30.0,33.0,30.0,32.0,29.0,195,201,205,200,190,37.0,34.0,39.0,38.0,38.0,503,512,499,495,483,78,74,69,64,71,539,548,534,506,489,503,509,509,497,491,,5.0,5.0,7.0,,1852.79,1852.76,1852.77,1852.32,1852.32,42.15,42.15,42.15,42.15,42.15,-75.84,-75.84,-75.84,-75.84,-75.84,223.0,147.0,164.0,252.0,310.0,1208.0,794.0,815.0,847.0,1072.0,0.0,70112.0,55949.0,62569.0,65614.0,208988,201647,214748,219172,228841,171136,161341,167635.0,170138.0,208113.0,90855,90075,85230,65534,62952,136107,139257,144534,154705,157535,33822,34956,35691,35041,39286,176988.0,182700.0,192214,196653,212800,110483.0,115285.0,114038.0,123341.0,117211.0,142157,151914,169934,155301,160701,16942.0,17038.0,17026.0,16429.0,16283.0,757291,781482,822202,858505,886126,15352,16500,16024,11883,15050,143185,153403,157387,128894,152637,66024,68589,72751,68740,72651,,189.0,121.0,76.0,,1.38,1.43,1.31,1.24,1.45,196,194,193,192,199,2.81,2.69,2.8,2.84,2.91
1.0,36035,Fulton County,24.0,22.0,23.0,32.0,31.0,,,,,,,,,,,440,432,475,483,476,400,400,399.0,362.0,321.0,310,309,248,232,168,247,240,243,232,233,135,152,129,138,125,274.0,277.0,290,294,268,152.0,171.0,167.0,152.0,103.0,358,375,351,435,377,6.0,5.0,4.0,5.0,9.0,3915,3656,3379,3305,3155,274,258,261,250,169,1195,1163,1110,1109,1089,700,804,764,876,724,,,,,0.0,7.0,8.0,8.0,7.0,6.0,,,,,,,,,,,139,137,138,138,149,47,48,42.0,42.0,41.0,15,17,15,15,15,45,42,42,43,43,28,28,28,32,32,66.0,65.0,71,63,60,10.0,11.0,10.0,10.0,9.0,44,44,47,47,48,6.0,5.0,6.0,5.0,5.0,185,179,173,169,170,21,22,25,26,26,133,127,124,124,122,118,119,117,118,122,,,,,3.0,1380.08,1380.09,1380.09,1380.11,1380.05,40.47,40.47,40.47,40.47,40.47,-90.18,-90.18,-90.18,-90.18,-90.18,1013.0,970.0,1414.0,1708.0,1713.0,,,,,,,,,,,20130,21485,24333,27323,31320,18514,18472,17879.0,16338.0,18861.0,14936,15098,13603,11891,9779,12173,12167,12212,12907,13570,4123,4267,4196,4160,5182,9298.0,9691.0,10366,10603,11776,8223.0,8075.0,7940.0,8317.0,5679.0,6268,8050,13615,14723,15853,191.0,197.0,271.0,205.0,266.0,141560,139853,132201,138662,143192,3452,3588,3875,3110,2785,19729,20840,22028,21764,25416,18055,19680,21137,21109,22489,,,,,38.0,0.37,0.41,0.41,0.37,0.43,54,54,54,53,54,2.84,2.64,2.59,2.73,2.68
1.0,36067,Onondaga County,23.0,19.0,31.0,18.0,18.0,137.0,104.0,101.0,95.0,82.0,0.0,2273.0,2229.0,2356.0,2282.0,9811,9981,9734,9960,9978,13192,12918,13235.0,12883.0,11673.0,3545,4799,4571,4883,3822,10788,10497,10178,9953,9707,3525,3713,3475,3638,3018,14291.0,14001.0,14343,15910,15808,2382.0,2388.0,4003.0,5410.0,5674.0,15378,14602,13797,13339,12304,13011.0,13061.0,13132.0,13350.0,13654.0,41624,42838,43134,44023,43584,3730,3781,4021,3557,2241,20393,21140,21127,19939,15773,8921,8741,8870,8810,7694,17.0,16.0,23.0,31.0,7.0,11.0,12.0,11.0,9.0,11.0,7.0,6.0,6.0,6.0,5.0,22.0,25.0,26.0,27.0,26.0,1102,1105,1117,1090,1090,687,681,672.0,663.0,647.0,205,220,242,241,229,728,704,683,672,663,552,553,536,528,524,1202.0,1162.0,1165,1152,1158,87.0,83.0,83.0,83.0,78.0,664,651,650,623,625,148.0,154.0,156.0,154.0,153.0,1294,1268,1270,1260,1219,221,220,225,220,229,1189,1191,1177,1126,1122,1235,1235,1238,1192,1207,12.0,15.0,16.0,17.0,8.0,2086.57,2086.56,2086.57,2086.43,2086.51,43.02,43.02,43.02,43.02,43.02,-76.23,-76.23,-76.23,-76.23,-76.23,640.0,748.0,756.0,587.0,492.0,6156.0,7727.0,7857.0,8190.0,7866.0,0.0,263399.0,230214.0,244741.0,232246.0,587831,629840,646430,659162,695792,778390,795417,854766.0,813269.0,807488.0,209558,246034,260185,283364,254056,811611,781079,822072,838760,867426,160466,172913,170176,162852,169583,932840.0,928960.0,971835,1197255,1297963,182767.0,193034.0,307954.0,320999.0,394283.0,480427,493832,464059,443903,487310,479427.0,497218.0,508340.0,526918.0,545324.0,2121230,2230764,2315378,2323105,2467208,57573,59700,66339,48600,62769,390378,391922,406547,317947,371845,256093,261343,271584,263477,283984,216.0,436.0,908.0,462.0,148.0,3.28,3.09,3.25,3.25,3.37,468,464,463,462,475,3.22,3.23,3.16,3.15,3.2
1.0,36019,Clinton County,14.0,15.0,16.0,18.0,13.0,0.0,16.0,30.0,,,105.0,99.0,132.0,142.0,148.0,791,795,795,886,812,895,828,871.0,921.0,734.0,539,575,481,422,302,442,430,424,442,427,316,315,333,338,316,551.0,579.0,577,562,561,165.0,204.0,295.0,288.0,64.0,678,860,765,682,575,154.0,161.0,142.0,141.0,140.0,5363,5281,5648,5730,6560,323,319,306,269,163,2776,2764,2928,2627,2338,765,741,716,635,574,,,,,,9.0,10.0,10.0,8.0,7.0,6.0,3.0,4.0,,,7.0,8.0,8.0,8.0,9.0,144,148,152,154,164,79,82,84.0,81.0,79.0,29,31,32,31,34,88,87,85,87,83,81,81,77,81,80,112.0,116.0,117,105,108,6.0,6.0,4.0,4.0,4.0,75,72,74,77,70,12.0,13.0,10.0,10.0,10.0,240,224,225,223,209,30,29,28,23,23,200,207,201,191,188,160,155,149,152,147,,,,,,2893.98,2893.98,2893.98,2894.11,2893.96,38.59,38.59,38.59,38.59,38.59,-89.42,-89.42,-89.42,-89.42,-89.42,376.0,371.0,441.0,514.0,429.0,0.0,981.0,1486.0,,,10317.0,11237.0,13976.0,14694.0,14428.0,48284,50105,51474,52771,56246,42165,44876,45832.0,44762.0,43701.0,21729,22173,22706,18590,17242,22671,22285,22879,23359,24594,11711,12588,13184,13103,14825,24963.0,27521.0,28935,30568,33991,6026.0,7396.0,3713.0,3926.0,2836.0,20104,28802,25295,20917,20385,4525.0,4590.0,4619.0,4564.0,4947.0,270288,256414,283223,306293,307030,5340,5407,5368,3577,4546,51604,54948,57030,45071,54310,20327,19478,19134,16236,17962,,,,,,0.22,0.22,0.22,0.2,0.22,81,81,81,80,80,3.09,3.0,2.83,2.79,2.75
0.0,36099,Seneca County,5.0,1.0,,,,,,,,,0.0,101.0,100.0,106.0,113.0,312,326,328,361,305,330,316,322.0,286.0,277.0,38,40,46,45,46,210,193,196,204,191,53,68,71,63,88,161.0,160.0,170,159,150,362.0,289.0,301.0,278.0,258.0,303,218,216,223,207,0.0,495.0,492.0,436.0,305.0,1192,1187,1088,862,691,54,56,65,58,58,2020,2060,2057,1953,1352,345,330,316,315,335,,,,,,3.0,3.0,,,,,,,,,4.0,3.0,3.0,3.0,4.0,63,64,64,65,74,36,30,31.0,26.0,27.0,11,10,11,11,11,29,29,28,27,26,18,21,20,21,23,31.0,30.0,33,36,32,6.0,6.0,6.0,7.0,7.0,33,33,35,32,35,9.0,11.0,9.0,8.0,10.0,63,61,63,60,55,17,17,17,16,13,79,85,85,84,78,83,81,81,82,81,,,,,,1011.33,1011.33,1011.33,1011.29,1011.3,41.12,41.12,41.12,41.12,41.12,-83.13,-83.13,-83.13,-83.13,-83.13,274.0,187.0,,,,,,,,,0.0,11000.0,11461.0,12379.0,12119.0,17390,17474,19033,20973,23029,14720,15280,16377.0,15738.0,18106.0,1059,899,1490,1390,2148,8753,8726,9455,9416,9270,1585,2253,1929,2214,2716,7207.0,7150.0,7686,7042,6785,26913.0,28808.0,33730.0,31563.0,30225.0,13672,9842,11298,11414,11693,0.0,13898.0,13304.0,12097.0,10687.0,38806,34824,32841,26457,22999,1620,1744,1755,1851,2197,49610,53680,56461,34263,39267,9371,9653,7567,7264,7850,,,,,,0.06,0.06,0.06,0.09,0.09,35,35,34,34,34,1.96,1.69,1.6,1.71,1.52
1.0,36083,Rensselaer County,4.0,4.0,5.0,7.0,8.0,18.0,19.0,21.0,21.0,20.0,0.0,598.0,590.0,722.0,706.0,2569,2577,2642,2696,2453,1096,883,1046.0,959.0,779.0,958,1004,943,986,803,1074,1157,1144,1105,1027,587,429,480,512,446,3379.0,3122.0,3212,3040,2937,533.0,537.0,560.0,533.0,509.0,965,1031,1026,1080,1093,5172.0,5055.0,5098.0,5140.0,3829.0,8486,8498,8595,8580,8050,630,593,639,603,403,4751,4835,5114,4870,4374,1844,1893,2043,2072,1724,,0.0,9.0,7.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,8.0,9.0,8.0,8.0,8.0,436,415,401,389,405,109,105,95.0,90.0,88.0,60,61,63,63,63,120,122,120,119,116,95,101,98,103,101,278.0,274.0,282,282,290,15.0,14.0,14.0,13.0,13.0,157,151,163,157,155,37.0,38.0,42.0,38.0,37.0,358,363,398,384,377,41,42,42,44,44,351,381,380,364,391,335,342,341,334,346,,3.0,6.0,6.0,4.0,1723.08,1723.08,1723.08,1723.21,1723.08,42.71,42.71,42.71,42.71,42.71,-73.51,-73.51,-73.51,-73.51,-73.51,126.0,62.0,74.0,262.0,245.0,585.0,766.0,1062.0,762.0,748.0,0.0,73595.0,73294.0,87772.0,80645.0,180525,185710,195942,199535,206110,69744,52273,67121.0,59223.0,49866.0,90036,85413,99569,116880,96708,88511,97548,85248,84551,76760,19475,18384,20617,20970,21371,233725.0,217383.0,239987,235122,277522,38349.0,36806.0,52299.0,42193.0,49369.0,43474,47046,48906,53907,58216,187441.0,189731.0,198642.0,194376.0,182610.0,353024,363241,367941,364930,375858,11018,11199,12395,8824,11763,85262,93068,100753,83191,99443,61220,61967,65993,64975,68239,,6.0,189.0,153.0,84.0,0.84,1.03,0.7,0.89,0.89,160,159,159,159,161,3.19,3.01,3.28,3.09,3.13
1.0,36079,Putnam County,23.0,17.0,34.0,31.0,33.0,,,,,,0.0,134.0,125.0,131.0,152.0,2267,2450,2739,2541,2515,1204,1122,1157.0,1258.0,1214.0,230,223,219,223,313,521,530,536,520,534,244,244,241,219,201,1207.0,1316.0,1350,1423,1349,121.0,115.0,98.0,79.0,142.0,925,957,966,837,846,231.0,218.0,240.0,253.0,243.0,5200,5220,4834,5077,4888,840,843,858,789,745,2146,2173,2131,2072,1818,1417,1447,1421,1421,1291,,0.0,1.0,4.0,1.0,12.0,15.0,14.0,13.0,13.0,,,,,,4.0,5.0,5.0,6.0,6.0,582,600,597,572,597,128,127,123.0,120.0,118.0,53,46,49,51,48,120,116,115,112,114,89,90,89,92,102,297.0,295.0,279,285,280,9.0,7.0,7.0,5.0,6.0,222,228,229,237,244,41.0,43.0,42.0,42.0,41.0,255,256,244,246,254,91,98,97,89,91,224,220,221,223,225,294,301,303,296,308,,3.0,5.0,10.0,3.0,637.9,637.9,637.9,637.55,637.67,41.2,41.2,41.2,41.2,41.2,-89.27,-89.27,-89.27,-89.27,-89.27,561.0,787.0,1110.0,1227.0,1127.0,,,,,,0.0,16426.0,14444.0,17225.0,17182.0,133089,155433,168354,153760,176922,72637,69546,75320.0,73678.0,83221.0,14629,15324,14321,13357,28389,30152,31029,34903,32369,35448,11204,11164,11304,10878,11414,77034.0,83611.0,85151,88292,91210,7893.0,7470.0,6878.0,5800.0,14949.0,37924,40356,39322,34072,38848,7280.0,5692.0,7358.0,7190.0,8727.0,264822,263865,245568,258776,284194,26853,28858,29214,24272,24195,43822,45304,46494,40939,51895,44106,44160,45930,45530,51513,,142.0,380.0,146.0,92.0,0.32,0.42,0.42,0.38,0.38,99,99,99,99,98,2.19,1.91,2.46,2.17,2.31
1.0,36033,Franklin County,58.0,62.0,62.0,49.0,54.0,0.0,19.0,,,,0.0,28.0,27.0,27.0,25.0,388,462,446,435,477,210,209,202.0,195.0,188.0,137,162,225,173,127,194,196,197,180,176,109,98,99,113,106,362.0,335.0,328,334,358,,,,,,147,152,152,171,219,570.0,504.0,497.0,427.0,383.0,3825,3396,3637,3662,3497,183,243,212,204,186,1816,2010,2059,1973,1446,301,252,275,262,220,,,,,,8.0,8.0,8.0,9.0,8.0,3.0,3.0,,,,3.0,3.0,3.0,3.0,3.0,112,117,113,104,116,26,24,24.0,24.0,23.0,23,25,25,24,25,46,45,45,41,42,35,35,35,35,36,56.0,54.0,56,59,60,,,,,,30,31,33,32,37,6.0,7.0,7.0,7.0,6.0,169,166,162,157,144,26,26,25,24,24,111,114,114,111,110,86,85,90,87,83,,,,,,4398.53,4398.67,4398.67,4397.25,4398.67,33.2,33.2,33.2,33.2,33.2,-95.22,-95.22,-95.22,-95.22,-95.22,3011.0,3209.0,3190.0,2937.0,3084.0,0.0,990.0,,,,0.0,3408.0,2994.0,3800.0,2714.0,18239,21363,21722,21829,24537,8573,8508,8777.0,9303.0,9435.0,5299,6330,7253,6832,6739,8702,8463,9326,9133,9432,3190,3275,3338,3771,4147,18920.0,16021.0,17460,19665,22703,,,,,,6821,6955,7404,7715,10457,11564.0,11291.0,11807.0,10559.0,11132.0,171087,158700,169994,175770,178960,5181,5406,5091,4705,5364,43812,47420,50362,35116,40555,6506,6260,6526,6272,6474,,,,,,0.02,0.02,0.03,0.03,0.02,51,51,50,50,48,2.23,2.22,2.11,1.82,1.82
