target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
0.0,48373,Polk County,156.0,140.0,164.0,184.0,221.0,26.0,32.0,29.0,32.0,20.0,193.0,191.0,193.0,198.0,191.0,505.0,591.0,519.0,492.0,556.0,141.0,160.0,137.0,150.0,172.0,176.0,159.0,132.0,131.0,130.0,355.0,359.0,360.0,367.0,344.0,84.0,82.0,98.0,151.0,131.0,198.0,206.0,168.0,193.0,158.0,38.0,33.0,40.0,39.0,32.0,403.0,346.0,465.0,472.0,416.0,17.0,22.0,26.0,23.0,8.0,1407.0,1358.0,1333.0,1420.0,1443.0,41.0,38.0,35.0,35.0,41.0,1050.0,1052.0,1135.0,1170.0,1175.0,543.0,530.0,527.0,533.0,528.0,,,,2.0,,26.0,25.0,28.0,27.0,27.0,6.0,5.0,5.0,6.0,6.0,13.0,13.0,13.0,14.0,13.0,74.0,77.0,67.0,72.0,85.0,23.0,21.0,19.0,20.0,21.0,18.0,17.0,17.0,16.0,19.0,45.0,43.0,44.0,44.0,45.0,28.0,29.0,30.0,34.0,34.0,72.0,78.0,74.0,77.0,72.0,6.0,5.0,4.0,5.0,4.0,35.0,38.0,48.0,46.0,47.0,4.0,4.0,3.0,5.0,4.0,79.0,79.0,82.0,82.0,89.0,7.0,8.0,7.0,6.0,9.0,69.0,68.0,64.0,69.0,76.0,84.0,81.0,83.0,84.0,88.0,,,,3.0,,2874.09,2874.09,2873.97,2873.8,2873.88,30.76,30.76,30.76,30.76,30.76,-94.82,-94.82,-94.82,-94.82,-94.82,6319.0,6819.0,8742.0,10643.0,10895.0,1294.0,2058.0,2214.0,1306.0,858.0,13739.0,13231.0,14165.0,16180.0,16026.0,22674.0,28100.0,26718.0,22779.0,24371.0,6956.0,7527.0,7331.0,8008.0,9705.0,9441.0,8380.0,7366.0,7650.0,8226.0,15245.0,15418.0,16117.0,16471.0,17274.0,2539.0,3250.0,3770.0,8968.0,9376.0,8915.0,9063.0,7660.0,8607.0,7741.0,1552.0,1496.0,1515.0,1498.0,1399.0,14452.0,14489.0,17489.0,16848.0,16962.0,566.0,593.0,588.0,477.0,276.0,51893.0,49521.0,52874.0,54415.0,60413.0,521.0,515.0,530.0,527.0,696.0,15402.0,16770.0,18154.0,18692.0,21387.0,11724.0,12198.0,12962.0,11925.0,13702.0,,,,39.0,,0.0,0.0,0.0,0.0,0.0,47,48,49,50,49,0.0,0.0,0.0,0.0,0.0
1.0,48391,Refugio County,,,,,,434.0,384.0,450.0,398.0,264.0,,,,,,193.0,205.0,239.0,246.0,171.0,52.0,48.0,57.0,54.0,39.0,4.0,14.0,,,,30.0,28.0,24.0,22.0,19.0,52.0,72.0,65.0,75.0,59.0,25.0,24.0,24.0,24.0,20.0,,,,,,,,,,,,,,,,285.0,242.0,199.0,207.0,251.0,,,,,,222.0,230.0,231.0,204.0,197.0,46.0,43.0,40.0,47.0,40.0,,,,,,,,,,,24.0,22.0,23.0,21.0,18.0,,,,,,12.0,12.0,12.0,13.0,15.0,6.0,6.0,7.0,7.0,5.0,3.0,3.0,,,,7.0,6.0,8.0,6.0,8.0,7.0,8.0,9.0,8.0,7.0,7.0,7.0,6.0,6.0,5.0,,,,,,,,,,,,,,,,12.0,9.0,8.0,10.0,10.0,,,,,,17.0,17.0,18.0,17.0,21.0,15.0,13.0,14.0,14.0,12.0,,,,,,2034.6,2034.6,2033.95,2034.24,2034.55,28.32,28.32,28.32,28.32,28.32,-97.24,-97.24,-97.24,-97.24,-97.24,,,,,,28252.0,29493.0,30810.0,22881.0,24227.0,,,,,,8459.0,11352.0,12041.0,9407.0,7769.0,2176.0,2238.0,2470.0,2487.0,2047.0,248.0,206.0,,,,1095.0,1119.0,1118.0,851.0,934.0,3333.0,5293.0,5238.0,4456.0,4005.0,1136.0,1174.0,1233.0,1217.0,1132.0,,,,,,,,,,,,,,,,9946.0,7629.0,7296.0,8167.0,8755.0,,,,,,3007.0,3203.0,2724.0,2924.0,3060.0,1029.0,837.0,951.0,901.0,790.0,,,,,,0.0,0.0,0.0,0.0,0.0,7,7,7,7,7,0.0,0.0,0.0,0.0,0.0
1.0,48467,Van Zandt County,11.0,9.0,9.0,7.0,7.0,38.0,55.0,81.0,74.0,56.0,37.0,31.0,33.0,32.0,38.0,1171.0,1255.0,1420.0,1285.0,1165.0,415.0,432.0,408.0,426.0,319.0,50.0,62.0,56.0,160.0,93.0,237.0,246.0,243.0,249.0,241.0,64.0,48.0,52.0,47.0,36.0,245.0,243.0,291.0,290.0,318.0,,,,,,287.0,330.0,321.0,287.0,231.0,87.0,79.0,71.0,82.0,75.0,1066.0,1070.0,1108.0,1087.0,1104.0,111.0,106.0,98.0,92.0,99.0,1337.0,1373.0,1534.0,1425.0,1402.0,642.0,612.0,631.0,643.0,587.0,,,,8.0,,5.0,5.0,5.0,4.0,4.0,8.0,11.0,10.0,9.0,11.0,11.0,11.0,11.0,12.0,12.0,115.0,130.0,132.0,148.0,148.0,38.0,35.0,34.0,33.0,35.0,15.0,15.0,17.0,16.0,14.0,52.0,47.0,47.0,49.0,50.0,30.0,28.0,28.0,28.0,25.0,81.0,87.0,93.0,77.0,82.0,,,,,,43.0,43.0,42.0,45.0,44.0,7.0,5.0,6.0,6.0,6.0,69.0,66.0,70.0,69.0,71.0,8.0,10.0,10.0,11.0,10.0,83.0,97.0,95.0,85.0,90.0,121.0,115.0,122.0,117.0,114.0,,,,4.0,,2226.34,2226.39,2226.39,2226.39,2226.31,32.54,32.54,32.54,32.54,32.54,-95.83,-95.83,-95.83,-95.83,-95.83,356.0,518.0,436.0,432.0,453.0,1384.0,5328.0,6182.0,6032.0,7555.0,1331.0,1406.0,1391.0,1517.0,1502.0,53453.0,63742.0,67762.0,62726.0,61668.0,25371.0,25213.0,27040.0,25161.0,20834.0,3228.0,3507.0,3691.0,4949.0,5150.0,9852.0,10590.0,11403.0,12032.0,12604.0,1765.0,1348.0,1399.0,1469.0,2088.0,9287.0,10976.0,13170.0,13491.0,15185.0,,,,,,9250.0,9527.0,8831.0,9612.0,9568.0,1536.0,1468.0,1594.0,1529.0,1623.0,31127.0,29696.0,33934.0,34122.0,38140.0,3622.0,3463.0,3309.0,3473.0,3926.0,20383.0,23140.0,25408.0,22963.0,26899.0,15071.0,15456.0,16105.0,15957.0,17467.0,,,,282.0,,0.0,0.0,0.0,0.0,0.0,54,54,55,56,59,0.0,0.0,0.0,0.0,0.0
0.0,48055,Caldwell County,19.0,14.0,,,6.0,218.0,122.0,124.0,116.0,107.0,29.0,28.0,30.0,29.0,47.0,456.0,594.0,623.0,776.0,786.0,124.0,127.0,132.0,126.0,137.0,38.0,37.0,49.0,55.0,33.0,179.0,183.0,181.0,188.0,174.0,68.0,67.0,59.0,62.0,91.0,77.0,86.0,105.0,126.0,108.0,6.0,8.0,13.0,10.0,,236.0,230.0,245.0,312.0,261.0,76.0,95.0,69.0,72.0,70.0,1343.0,1297.0,1337.0,1464.0,1313.0,19.0,5.0,13.0,7.0,22.0,899.0,777.0,871.0,912.0,894.0,276.0,303.0,302.0,275.0,259.0,,,,18.0,32.0,3.0,3.0,,,3.0,24.0,20.0,18.0,19.0,23.0,5.0,5.0,5.0,5.0,5.0,78.0,84.0,92.0,96.0,103.0,25.0,22.0,19.0,21.0,19.0,6.0,7.0,9.0,9.0,9.0,34.0,32.0,31.0,33.0,32.0,26.0,25.0,27.0,28.0,24.0,31.0,37.0,36.0,36.0,39.0,3.0,3.0,3.0,3.0,,27.0,20.0,28.0,33.0,38.0,12.0,13.0,11.0,11.0,11.0,80.0,80.0,80.0,80.0,77.0,7.0,6.0,6.0,7.0,9.0,64.0,64.0,67.0,71.0,75.0,69.0,71.0,70.0,66.0,63.0,,,,4.0,4.0,1417.02,1417.08,1416.97,1415.32,1415.34,29.83,29.83,29.83,29.83,29.83,-97.6,-97.6,-97.6,-97.6,-97.6,569.0,462.0,,,508.0,9525.0,5684.0,5273.0,4158.0,5023.0,1342.0,1429.0,1555.0,1481.0,3292.0,19536.0,27140.0,28888.0,39962.0,42384.0,4420.0,5429.0,5334.0,5511.0,5656.0,1106.0,1135.0,1339.0,1315.0,1279.0,7893.0,8604.0,9570.0,9190.0,9329.0,1579.0,1711.0,1897.0,1802.0,2462.0,2948.0,3736.0,5205.0,5317.0,6041.0,417.0,482.0,464.0,345.0,,7617.0,6896.0,8243.0,7974.0,8506.0,2778.0,3213.0,2620.0,2577.0,2891.0,55558.0,59145.0,63615.0,66160.0,66970.0,584.0,596.0,860.0,392.0,1291.0,15212.0,15323.0,16262.0,16681.0,19783.0,7044.0,7508.0,7755.0,7103.0,7791.0,,,,592.0,1266.0,0.0,0.0,0.0,0.0,0.0,41,41,42,43,45,0.0,0.0,0.0,0.0,0.0
0.0,48487,Wilbarger County,,,,,,26.0,24.0,25.0,25.0,30.0,0.0,38.0,116.0,108.0,35.0,117.0,116.0,111.0,129.0,104.0,56.0,40.0,35.0,25.0,30.0,125.0,128.0,119.0,113.0,105.0,147.0,148.0,148.0,140.0,142.0,72.0,65.0,64.0,58.0,39.0,71.0,74.0,68.0,44.0,54.0,,,,,,46.0,59.0,59.0,60.0,38.0,,,,,,415.0,443.0,1601.0,1628.0,1624.0,33.0,33.0,13.0,11.0,22.0,391.0,373.0,418.0,398.0,401.0,199.0,166.0,159.0,167.0,147.0,,,,,,,,,,,7.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,24.0,22.0,19.0,18.0,19.0,9.0,8.0,7.0,7.0,8.0,11.0,12.0,11.0,10.0,10.0,30.0,27.0,28.0,27.0,29.0,12.0,13.0,12.0,12.0,11.0,21.0,20.0,16.0,14.0,13.0,,,,,,7.0,6.0,7.0,6.0,6.0,,,,,,31.0,31.0,31.0,30.0,31.0,4.0,4.0,4.0,4.0,5.0,31.0,32.0,36.0,34.0,37.0,37.0,37.0,34.0,32.0,35.0,,,,,,2532.63,2532.78,2532.78,2533.02,2532.68,34.03,34.03,34.03,34.03,34.03,-99.21,-99.21,-99.21,-99.21,-99.21,,,,,,1403.0,1515.0,1566.0,1338.0,1460.0,0.0,3027.0,11864.0,10931.0,3300.0,3339.0,2897.0,3834.0,3865.0,3181.0,2825.0,1425.0,1281.0,920.0,938.0,4929.0,4892.0,5714.0,5416.0,6370.0,6498.0,7155.0,7541.0,7842.0,9070.0,1662.0,1712.0,1581.0,1613.0,1037.0,1731.0,1957.0,1886.0,1665.0,1878.0,,,,,,1699.0,1306.0,1601.0,1626.0,1830.0,,,,,,15797.0,17202.0,59914.0,61877.0,64142.0,442.0,486.0,361.0,306.0,485.0,5396.0,5740.0,6293.0,6421.0,6626.0,3675.0,3259.0,3292.0,3246.0,4112.0,,,,,,0.02,0.02,0.02,0.03,0.05,13,13,13,13,13,1.59,2.07,1.89,2.05,1.77
0.0,48317,Martin County,,14.0,,,,158.0,166.0,188.0,175.0,156.0,0.0,71.0,56.0,46.0,46.0,116.0,142.0,228.0,279.0,221.0,48.0,47.0,47.0,53.0,42.0,,,,,,31.0,33.0,32.0,35.0,39.0,0.0,,,,,22.0,23.0,15.0,22.0,14.0,,,,,,,,10.0,16.0,11.0,,,,,,267.0,280.0,242.0,222.0,227.0,,,,,,69.0,126.0,121.0,126.0,90.0,51.0,56.0,53.0,45.0,52.0,,,,,,,3.0,,,,14.0,14.0,14.0,15.0,15.0,4.0,4.0,4.0,4.0,4.0,11.0,16.0,20.0,19.0,17.0,8.0,7.0,7.0,9.0,6.0,,,,,,4.0,4.0,4.0,5.0,5.0,3.0,,,,,5.0,4.0,3.0,3.0,5.0,,,,,,,,5.0,6.0,3.0,,,,,,8.0,8.0,8.0,6.0,6.0,,,,,,7.0,7.0,7.0,8.0,7.0,16.0,16.0,16.0,15.0,15.0,,,,,,2372.03,2372.03,2372.03,2371.84,2372.03,32.27,32.27,32.27,32.27,32.27,-101.92,-101.92,-101.92,-101.92,-101.92,,654.0,,,,9325.0,11003.0,14996.0,15614.0,15111.0,0.0,6331.0,5672.0,5302.0,5823.0,7410.0,11329.0,17365.0,13257.0,12629.0,3029.0,3303.0,3600.0,3792.0,2961.0,,,,,,1569.0,1664.0,1750.0,1843.0,2041.0,0.0,,,,,1374.0,1640.0,1460.0,1362.0,1122.0,,,,,,,,619.0,655.0,443.0,,,,,,11350.0,11502.0,12152.0,12568.0,13467.0,,,,,,1001.0,1660.0,1685.0,1515.0,1339.0,1145.0,1436.0,1275.0,1276.0,1396.0,,,,,,0.0,0.0,0.0,0.0,0.0,6,6,6,6,5,0.0,0.0,0.0,0.0,0.0
0.0,48383,Reagan County,,,,,,738.0,723.0,765.0,627.0,429.0,0.0,339.0,37.0,29.0,18.0,65.0,68.0,54.0,55.0,59.0,144.0,162.0,147.0,140.0,114.0,,,,,,14.0,12.0,13.0,18.0,,,,,49.0,,21.0,16.0,14.0,19.0,18.0,,,,,,55.0,51.0,45.0,62.0,21.0,,,,,,0.0,127.0,147.0,149.0,119.0,,,,,,145.0,145.0,164.0,149.0,122.0,33.0,38.0,32.0,39.0,41.0,,,,,,,,,,,44.0,43.0,39.0,35.0,35.0,3.0,6.0,4.0,4.0,3.0,11.0,10.0,9.0,9.0,11.0,13.0,11.0,10.0,10.0,8.0,,,,,,3.0,3.0,3.0,4.0,,,,,3.0,,6.0,5.0,5.0,5.0,7.0,,,,,,4.0,3.0,3.0,4.0,3.0,,,,,,3.0,4.0,5.0,4.0,4.0,,,,,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,14.0,15.0,14.0,,,,,,3046.78,3046.65,3046.78,3045.77,3046.78,31.35,31.35,31.35,31.35,31.35,-101.53,-101.53,-101.53,-101.53,-101.53,,,,,,43203.0,48276.0,48168.0,30782.0,29827.0,0.0,28550.0,2374.0,1120.0,740.0,3869.0,3874.0,4231.0,3558.0,4108.0,9936.0,12842.0,11687.0,10925.0,9508.0,,,,,,548.0,556.0,606.0,1184.0,,,,,2743.0,,704.0,395.0,378.0,349.0,267.0,,,,,,1308.0,1482.0,1591.0,2512.0,896.0,,,,,,0.0,6464.0,7188.0,7536.0,6719.0,,,,,,2230.0,2463.0,2649.0,2164.0,2068.0,1182.0,1530.0,1433.0,1218.0,1239.0,,,,,,0.02,0.02,0.02,0.0,0.03,4,4,4,4,3,1.87,2.06,1.91,0.0,1.54
0.0,48501,Yoakum County,,,,,,650.0,630.0,604.0,520.0,403.0,,,,,,107.0,120.0,164.0,152.0,113.0,128.0,159.0,122.0,90.0,76.0,11.0,10.0,10.0,10.0,9.0,58.0,74.0,69.0,78.0,61.0,67.0,73.0,54.0,47.0,24.0,19.0,15.0,16.0,22.0,31.0,,,,,,33.0,33.0,38.0,43.0,26.0,,,,,,0.0,226.0,332.0,307.0,304.0,,,,,,156.0,157.0,184.0,241.0,168.0,85.0,81.0,87.0,75.0,66.0,,,,,,,,,,,19.0,19.0,19.0,21.0,21.0,,,,,,14.0,17.0,17.0,20.0,18.0,14.0,11.0,13.0,9.0,12.0,3.0,3.0,3.0,3.0,3.0,14.0,15.0,14.0,14.0,13.0,6.0,6.0,4.0,3.0,5.0,7.0,7.0,5.0,8.0,9.0,,,,,,5.0,5.0,5.0,6.0,6.0,,,,,,9.0,9.0,9.0,9.0,10.0,,,,,,23.0,22.0,21.0,21.0,17.0,16.0,19.0,17.0,17.0,19.0,,,,,,2072.01,2072.01,2072.01,2071.61,2072.27,33.15,33.15,33.15,33.15,33.15,-102.83,-102.83,-102.83,-102.83,-102.83,,,,,,54791.0,57948.0,58682.0,48300.0,40030.0,,,,,,5468.0,7456.0,8978.0,6500.0,5806.0,9501.0,12540.0,8409.0,5774.0,5436.0,356.0,339.0,374.0,411.0,415.0,2905.0,3187.0,3557.0,3786.0,3263.0,3383.0,3548.0,3032.0,2112.0,1120.0,530.0,590.0,349.0,666.0,1503.0,,,,,,1852.0,2035.0,1905.0,1335.0,1843.0,,,,,,0.0,10491.0,13052.0,13271.0,13502.0,,,,,,1936.0,2365.0,2769.0,3499.0,2864.0,2493.0,2668.0,2897.0,2566.0,2671.0,,,,,,0.0,0.0,0.0,0.0,0.0,8,9,9,9,8,0.0,0.0,0.0,0.0,0.0
0.0,48189,Hale County,180.0,154.0,161.0,95.0,124.0,,24.0,33.0,37.0,,85.0,80.0,56.0,78.0,79.0,471.0,1068.0,1069.0,760.0,593.0,529.0,545.0,607.0,481.0,427.0,107.0,122.0,104.0,93.0,82.0,236.0,258.0,277.0,272.0,251.0,74.0,66.0,63.0,56.0,69.0,194.0,174.0,172.0,174.0,186.0,0.0,98.0,,,,74.0,82.0,142.0,117.0,84.0,0.0,763.0,1019.0,826.0,531.0,1058.0,977.0,1016.0,978.0,949.0,24.0,22.0,18.0,17.0,11.0,1144.0,1104.0,1266.0,1250.0,1136.0,592.0,591.0,594.0,561.0,540.0,,,,,8.0,6.0,6.0,7.0,7.0,9.0,,3.0,3.0,3.0,,6.0,5.0,5.0,5.0,5.0,49.0,47.0,44.0,50.0,48.0,51.0,50.0,49.0,48.0,48.0,14.0,16.0,17.0,18.0,17.0,56.0,60.0,61.0,60.0,61.0,26.0,24.0,26.0,26.0,26.0,46.0,48.0,42.0,43.0,43.0,3.0,3.0,,,,21.0,19.0,17.0,17.0,14.0,4.0,4.0,4.0,3.0,4.0,75.0,74.0,74.0,75.0,69.0,5.0,7.0,7.0,7.0,5.0,62.0,64.0,66.0,59.0,57.0,91.0,91.0,88.0,86.0,88.0,,,,,4.0,2602.28,2602.28,2602.28,2602.22,2602.32,34.03,34.03,34.03,34.03,34.03,-101.81,-101.81,-101.81,-101.81,-101.81,9342.0,9209.0,8351.0,5414.0,8090.0,,3049.0,4766.0,4584.0,,5654.0,5805.0,5673.0,5831.0,5573.0,37812.0,110731.0,58688.0,45758.0,34330.0,24317.0,27844.0,28811.0,25878.0,24356.0,2747.0,3288.0,3228.0,2778.0,2635.0,12097.0,14754.0,13579.0,13570.0,13598.0,1684.0,1858.0,1626.0,1591.0,1632.0,7561.0,7757.0,8708.0,8764.0,10028.0,0.0,3237.0,,,,2194.0,2278.0,2531.0,2264.0,2420.0,0.0,17620.0,19415.0,17302.0,16429.0,39864.0,38561.0,39371.0,42382.0,42831.0,514.0,403.0,193.0,239.0,287.0,16216.0,17641.0,17814.0,17283.0,18874.0,14134.0,13346.0,13397.0,13384.0,13587.0,,,,,67.0,0.11,0.08,0.15,0.12,0.12,35,34,34,33,33,1.8,1.74,1.7,1.95,2.06
0.0,48419,Shelby County,277.0,265.0,324.0,297.0,299.0,177.0,216.0,181.0,138.0,146.0,12.0,11.0,12.0,12.0,10.0,249.0,327.0,274.0,239.0,225.0,130.0,131.0,135.0,122.0,117.0,34.0,43.0,40.0,40.0,38.0,564.0,522.0,360.0,366.0,339.0,48.0,51.0,50.0,47.0,46.0,130.0,104.0,377.0,472.0,475.0,,,,,,114.0,166.0,161.0,178.0,180.0,,,,,,611.0,494.0,469.0,506.0,533.0,19.0,19.0,14.0,23.0,14.0,500.0,703.0,660.0,578.0,578.0,242.0,246.0,201.0,192.0,191.0,,,2.0,,,29.0,30.0,30.0,30.0,33.0,13.0,16.0,16.0,11.0,10.0,6.0,6.0,6.0,7.0,6.0,37.0,37.0,35.0,36.0,37.0,18.0,20.0,20.0,17.0,19.0,11.0,14.0,12.0,12.0,11.0,47.0,49.0,47.0,48.0,48.0,17.0,19.0,18.0,20.0,21.0,32.0,36.0,31.0,30.0,29.0,,,,,,12.0,13.0,14.0,17.0,23.0,,,,,,42.0,39.0,40.0,43.0,46.0,5.0,5.0,5.0,5.0,3.0,39.0,35.0,38.0,41.0,46.0,59.0,56.0,57.0,60.0,60.0,,,4.0,,,2161.87,2161.87,2161.87,2161.81,2161.86,31.77,31.77,31.77,31.77,31.77,-94.13,-94.13,-94.13,-94.13,-94.13,7429.0,9319.0,11824.0,10788.0,10263.0,13424.0,17992.0,15463.0,9737.0,8178.0,264.0,348.0,403.0,323.0,362.0,13789.0,19006.0,15946.0,14123.0,14115.0,6866.0,6505.0,6682.0,5839.0,6542.0,2139.0,2341.0,2118.0,1998.0,2369.0,22767.0,24807.0,15039.0,15793.0,15925.0,1262.0,1458.0,1176.0,936.0,1163.0,6761.0,5298.0,24494.0,27789.0,30879.0,,,,,,3210.0,5057.0,4574.0,5355.0,8159.0,,,,,,18263.0,16179.0,15690.0,18168.0,19216.0,506.0,368.0,424.0,414.0,377.0,10045.0,14615.0,11198.0,9893.0,10331.0,7261.0,6900.0,5671.0,5643.0,5651.0,,,73.0,,,0.0,0.0,0.0,0.0,0.0,26,25,25,25,24,0.0,0.0,0.0,0.0,0.0
