target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,50021,Rutland County,17.0,14.0,9.0,10.0,21.0,192.0,205.0,205.0,208.0,203.0,423.0,411.0,358.0,392.0,387.0,1310,1345,1338,1398,1325,728.0,759.0,730.0,709.0,704.0,232.0,231.0,233.0,235.0,180.0,430,531,517,474,462,240.0,265.0,267.0,259.0,224.0,591,605,609,544,598,293.0,319.0,329.0,379.0,401.0,975,1056,1094,1197,984,651.0,654.0,598.0,199.0,207.0,4566,4799,4688,4691,4474,1751,1850,1813,1836.0,795.0,2933,3084,2876,2763,2140,932,878,926,892,766,,,,,,12.0,12.0,12.0,12.0,14.0,11.0,11.0,11.0,11.0,11.0,9.0,7.0,6.0,7.0,6.0,291,286,273,271,283,83.0,81.0,77.0,75.0,74.0,34.0,36.0,35.0,31.0,30.0,77,74,73,71,67,64.0,62.0,63.0,64.0,69.0,153,156,156,139,151,12.0,10.0,10.0,9.0,9.0,133,125,120,121,122,22.0,24.0,23.0,22.0,20.0,201,206,203,199,196,44,46,45,42.0,45.0,254,251,228,224,214,200,200,201,191,191,,,,,,2446.91,2447.0,2446.91,2446.26,2448.77,43.57,43.57,43.57,43.57,43.57,-73.03,-73.03,-73.03,-73.03,-73.03,254.0,203.0,188.0,326.0,438.0,16693.0,17802.0,18280.0,18832.0,20220.0,43226.0,42355.0,40913.0,42573.0,43224.0,68373,67564,68662,69279,74987,35748.0,37150.0,36874.0,36948.0,37158.0,11082.0,11832.0,11923.0,11263.0,10093.0,26107,34153,33276,31555,32784,8805.0,9901.0,10851.0,10172.0,12290.0,30010,32440,32064,32920,34566,6440.0,32937.0,57880.0,53962.0,51145.0,29242,31700,31857,39660,35379,14570.0,15136.0,10638.0,6111.0,5982.0,188142,222629,228888,231845,246955,24569,25273,28364,23120.0,22870.0,50194,52508,52434,42681,51467,22101,23379,24519,22798,24299,,,,,,0.11,0.1,0.09,0.09,0.13,60,59,59,59,61,2.09,2.12,2.43,2.43,2.12
1.0,50019,Orleans County,32.0,31.0,38.0,38.0,30.0,,,,,,17.0,17.0,18.0,17.0,19.0,543,515,520,502,479,243.0,192.0,198.0,167.0,150.0,92.0,91.0,95.0,84.0,70.0,209,219,193,218,215,89.0,91.0,104.0,89.0,85.0,175,160,157,149,131,,,,,,133,126,125,134,117,148.0,150.0,155.0,128.0,127.0,1728,1627,1589,1558,1523,46,69,89,79.0,62.0,1829,1870,1935,1841,1213,296,324,289,312,258,,,,,,10.0,8.0,8.0,8.0,8.0,,,,,,4.0,4.0,4.0,4.0,4.0,129,124,128,126,130,24.0,22.0,21.0,21.0,20.0,22.0,22.0,22.0,23.0,21.0,31,30,30,31,31,22.0,22.0,20.0,18.0,19.0,46,47,45,42,44,,,,,,38,33,42,37,37,9.0,11.0,11.0,9.0,11.0,83,78,75,81,81,16,18,21,18.0,20.0,56,55,57,53,61,81,84,82,85,85,,,,,,1867.43,1867.55,1867.44,1870.47,1870.64,43.22,43.22,43.22,43.22,43.22,-78.23,-78.23,-78.23,-78.23,-78.23,1056.0,1262.0,1657.0,1592.0,1357.0,,,,,,1866.0,1904.0,1864.0,1980.0,2022.0,30335,29626,30312,27843,31026,9105.0,7295.0,7624.0,7083.0,6536.0,2655.0,2595.0,2234.0,2048.0,2110.0,11587,11250,11432,11761,13200,3723.0,4286.0,4310.0,3788.0,4349.0,6628,5922,6168,6535,5979,,,,,,6219,5594,6125,5991,6447,3860.0,4330.0,6355.0,4662.0,5085.0,80782,79647,81211,80001,82023,2396,2763,4048,2073.0,3945.0,30338,32768,32262,22738,26937,6715,6975,7232,6904,7532,,,,,,0.0,0.0,0.0,0.0,0.0,27,27,27,27,27,0.0,0.0,0.0,0.0,0.0
1.0,50013,Grand Isle County,,,,,,,,,,,,,,,,96,102,104,88,99,11.0,9.0,9.0,9.0,31.0,6.0,9.0,8.0,9.0,4.0,18,23,21,24,24,9.0,9.0,14.0,9.0,9.0,43,41,34,32,29,,,,,,14,19,20,21,21,,,,,,66,63,61,55,63,8,9,9,8.0,10.0,95,101,110,90,82,39,42,43,41,52,,,,,,,,,,,,,,,,,,,,,35,34,37,34,35,5.0,5.0,5.0,5.0,9.0,4.0,3.0,3.0,3.0,3.0,4,3,3,3,3,8.0,7.0,7.0,7.0,7.0,17,16,16,16,11,,,,,,10,11,11,11,11,,,,,,14,15,14,12,11,6,5,5,6.0,6.0,23,23,22,23,25,18,20,20,22,23,,,,,,504.14,504.14,504.14,504.13,500.81,44.71,44.71,44.71,44.71,44.71,-73.3,-73.3,-73.3,-73.3,-73.3,,,,,,,,,,,,,,,,5004,4940,4759,4286,4725,374.0,409.0,384.0,251.0,1553.0,236.0,272.0,282.0,280.0,230.0,903,1029,1066,1249,1343,259.0,328.0,341.0,443.0,518.0,1559,1377,1326,1178,1103,,,,,,953,979,1062,1401,1417,,,,,,2030,2161,2069,1861,2295,501,524,469,421.0,443.0,3859,3978,4237,3330,4661,1282,1337,1421,1441,1808,,,,,,0.0,0.0,0.0,0.0,0.0,7,7,7,7,7,0.0,0.0,0.0,0.0,0.0
0.0,50017,Orange County,28.0,32.0,32.0,27.0,30.0,8.0,8.0,7.0,7.0,5.0,,,,,,598,684,743,734,763,162.0,157.0,147.0,119.0,132.0,56.0,59.0,54.0,49.0,40.0,140,148,137,134,134,26.0,33.0,40.0,39.0,26.0,277,288,342,305,306,,,,,,78,82,84,82,96,0.0,572.0,586.0,596.0,533.0,1618,1824,1848,1859,1603,40,35,26,25.0,61.0,551,526,537,465,400,219,193,191,235,187,,,,,,9.0,11.0,10.0,12.0,11.0,3.0,3.0,3.0,3.0,3.0,,,,,,127,135,133,124,132,24.0,23.0,22.0,17.0,14.0,17.0,18.0,16.0,17.0,16.0,29,28,28,27,25,21.0,18.0,17.0,17.0,18.0,58,58,55,50,49,,,,,,38,36,38,37,45,13.0,13.0,13.0,13.0,13.0,87,85,83,82,84,16,17,15,13.0,17.0,60,56,56,50,54,73,66,66,66,62,,,,,,1792.51,1792.55,1792.55,1791.96,1791.43,33.75,33.75,33.75,33.75,33.75,-117.87,-117.87,-117.87,-117.87,-117.87,1204.0,1295.0,1502.0,1341.0,1670.0,445.0,447.0,451.0,433.0,458.0,,,,,,35554,38907,39702,40751,43770,6599.0,6259.0,5398.0,4541.0,7057.0,1582.0,1597.0,1559.0,1529.0,1722.0,7367,7665,6842,7253,7133,1203.0,1278.0,1454.0,1036.0,1499.0,17791,20016,22416,21113,23127,,,,,,2737,3097,2684,3064,3575,0.0,29813.0,30416.0,32177.0,32949.0,73277,72514,75173,82520,81253,1089,1110,1061,503.0,1078.0,12535,13264,14082,9668,12431,5642,5675,6099,6901,6078,,,,,,0.0,0.0,0.0,0.0,0.0,29,29,29,29,29,0.0,0.0,0.0,0.0,0.0
1.0,50007,Chittenden County,25.0,24.0,18.0,20.0,10.0,56.0,35.0,37.0,40.0,39.0,0.0,262.0,283.0,278.0,285.0,5568,4900,4870,4849,4734,4701.0,4697.0,4916.0,4739.0,4753.0,5171.0,5208.0,5344.0,4585.0,4385.0,2786,2971,3013,2775,3544,1074.0,1050.0,1086.0,1070.0,1109.0,7012,7071,6664,6893,6983,965.0,1008.0,1022.0,996.0,1184.0,3417,3203,3379,3081,3198,3943.0,3906.0,3586.0,3586.0,3223.0,15420,15986,16391,16641,16335,2466,2647,2171,2047.0,1346.0,9135,9276,9401,8543,6054,3090,3213,3178,4238,2868,1.0,2.0,5.0,9.0,,11.0,10.0,10.0,10.0,13.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,600,604,590,584,590,260.0,244.0,243.0,232.0,229.0,154.0,153.0,153.0,150.0,147.0,290,281,283,277,281,247.0,249.0,259.0,262.0,264.0,776,773,767,769,787,31.0,35.0,35.0,35.0,33.0,302,301,295,278,302,122.0,126.0,134.0,124.0,126.0,606,604,613,620,632,132,137,131,122.0,128.0,469,474,479,457,478,532,548,546,553,549,3.0,3.0,5.0,6.0,,1603.91,1603.91,1603.91,1605.69,1607.43,44.45,44.45,44.45,44.45,44.45,-73.07,-73.07,-73.07,-73.07,-73.07,1087.0,965.0,855.0,880.0,439.0,3400.0,2462.0,2455.0,2418.0,2455.0,0.0,30413.0,39770.0,35094.0,32057.0,339640,291009,294382,289012,323994,286030.0,299021.0,307716.0,298770.0,321094.0,393646.0,393635.0,434836.0,374864.0,385730.0,230957,262032,285388,271917,481658,52048.0,55281.0,58531.0,60923.0,64673.0,520292,541378,540093,575940,634289,56196.0,67646.0,70825.0,71726.0,98195.0,109725,106307,112925,97276,132129,108903.0,106909.0,109904.0,102634.0,105082.0,725215,726392,778841,839924,907197,49583,53187,48561,40862.0,48004.0,188843,203940,211367,152469,180167,103379,109194,129619,126206,117475,114.0,82.0,144.0,243.0,,0.92,0.84,0.88,0.8,1.06,161,162,163,163,168,4.16,4.27,4.12,4.39,4.2
1.0,50015,Lamoille County,5.0,17.0,20.0,10.0,10.0,,,,,,0.0,80.0,79.0,79.0,83.0,649,658,639,665,638,261.0,288.0,299.0,292.0,287.0,155.0,180.0,184.0,142.0,119.0,251,259,264,265,315,441.0,235.0,180.0,152.0,149.0,269,274,272,268,291,,,,,,229,195,204,196,171,161.0,226.0,254.0,251.0,221.0,1712,1811,1723,1748,1723,183,136,146,156.0,109.0,4191,4407,4284,4164,3162,347,333,333,324,282,,,,1.0,,4.0,4.0,4.0,4.0,4.0,,,,,,3.0,3.0,3.0,3.0,3.0,154,155,145,144,147,27.0,30.0,29.0,28.0,27.0,18.0,18.0,16.0,18.0,18.0,30,32,31,32,31,39.0,40.0,38.0,39.0,45.0,82,83,78,85,87,,,,,,69,69,71,71,69,17.0,18.0,17.0,17.0,16.0,83,76,74,75,76,31,31,32,32.0,31.0,124,121,119,116,113,81,81,86,81,77,,,,3.0,,1201.44,1201.32,1201.44,1210.27,1207.28,44.61,44.61,44.61,44.61,44.61,-72.67,-72.67,-72.67,-72.67,-72.67,264.0,389.0,461.0,488.0,546.0,,,,,,0.0,7377.0,7337.0,7687.0,7708.0,35118,37021,37594,37000,41072,13212.0,14059.0,16103.0,18776.0,19845.0,8906.0,11137.0,9390.0,7419.0,8026.0,16311,16356,18421,19881,23900,10589.0,8527.0,8469.0,7496.0,9136.0,12429,15543,14695,15455,19640,,,,,,9747,10152,10257,9859,10273,4264.0,5231.0,5363.0,5602.0,5470.0,75220,77105,78937,81422,91285,4245,3693,3896,3469.0,4888.0,76544,83639,99089,78038,94158,10183,10337,10705,9853,10663,,,,20.0,,0.0,0.0,0.0,0.0,0.0,25,25,25,25,26,0.0,0.0,0.0,0.0,0.0
0.0,50027,Windsor County,50.0,36.0,38.0,37.0,38.0,53.0,42.0,49.0,61.0,58.0,0.0,82.0,87.0,90.0,89.0,1128,1211,1112,1155,1084,739.0,678.0,704.0,647.0,584.0,561.0,582.0,576.0,549.0,545.0,480,502,489,485,534,420.0,403.0,412.0,359.0,327.0,1235,1057,1078,1057,1085,92.0,74.0,49.0,108.0,,593,705,621,633,662,435.0,441.0,442.0,424.0,457.0,4484,4527,4437,4427,4348,498,530,576,571.0,440.0,3403,3485,3487,3482,2663,831,831,837,864,737,2.0,5.0,9.0,2.0,,24.0,22.0,23.0,20.0,20.0,5.0,5.0,6.0,6.0,5.0,6.0,7.0,7.0,7.0,7.0,284,285,283,282,292,57.0,56.0,52.0,49.0,44.0,54.0,54.0,52.0,51.0,49.0,87,87,84,80,84,99.0,99.0,91.0,95.0,104.0,187,183,188,181,196,5.0,4.0,3.0,3.0,,110,113,110,108,115,27.0,27.0,27.0,29.0,32.0,166,169,163,171,163,44,44,45,44.0,44.0,201,208,202,198,189,183,186,190,181,172,3.0,4.0,6.0,4.0,,2529.96,2529.77,2529.96,2530.91,2529.15,43.59,43.59,43.59,43.59,43.59,-72.55,-72.55,-72.55,-72.55,-72.55,1248.0,1129.0,1274.0,1576.0,1375.0,2884.0,3131.0,4445.0,4641.0,3555.0,0.0,8806.0,8668.0,9839.0,10101.0,57342,59539,60977,59906,63509,41999.0,41207.0,47317.0,42154.0,45051.0,31549.0,32901.0,34614.0,34029.0,34045.0,27787,28784,31454,33982,37564,16162.0,15446.0,16421.0,12512.0,14441.0,76683,62195,65957,66479,75257,7382.0,5196.0,4122.0,6602.0,,24904,27592,27657,25924,30004,17874.0,17242.0,16091.0,17242.0,18587.0,271841,282124,284316,291254,292934,12955,14009,15168,12721.0,14328.0,70469,75163,76053,59789,73386,24534,26998,27430,27426,29780,76.0,554.0,283.0,209.0,,0.0,0.0,0.0,0.02,0.02,55,55,55,55,58,0.0,0.0,0.0,1.68,1.56
0.0,50011,Franklin County,32.0,26.0,16.0,20.0,42.0,25.0,23.0,29.0,29.0,30.0,35.0,33.0,37.0,42.0,42.0,479,480,500,496,532,1065.0,1064.0,1046.0,1025.0,843.0,131.0,113.0,117.0,91.0,84.0,283,295,288,296,268,83.0,92.0,95.0,94.0,98.0,229,227,249,267,299,,,,,,538,530,521,328,338,53.0,40.0,37.0,38.0,47.0,2700,2551,2666,3403,3122,51,34,57,54.0,38.0,1061,1217,1290,1367,1253,398,389,409,391,382,,,2.0,,,12.0,13.0,11.0,13.0,13.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,146,147,143,147,161,47.0,49.0,50.0,50.0,51.0,17.0,16.0,15.0,16.0,18.0,48,47,46,47,49,30.0,33.0,32.0,32.0,33.0,58,55,57,60,62,,,,,,61,63,65,61,60,10.0,7.0,5.0,7.0,9.0,105,100,97,94,94,12,11,11,10.0,10.0,94,100,102,94,97,109,107,115,113,114,,,3.0,,,1792.2,1792.2,1792.19,1783.49,1784.84,33.2,33.2,33.2,33.2,33.2,-95.22,-95.22,-95.22,-95.22,-95.22,973.0,961.0,558.0,675.0,893.0,1706.0,1846.0,1792.0,2044.0,2159.0,3445.0,3546.0,3641.0,4262.0,4285.0,23759,24039,26418,27015,30100,44092.0,46531.0,49018.0,50254.0,56299.0,4778.0,4079.0,4544.0,4573.0,4901.0,14059,14241,14629,15232,14423,2357.0,2845.0,2835.0,3379.0,3868.0,13980,13815,15997,18282,20412,,,,,,14503,14266,13900,9846,11620,851.0,757.0,629.0,722.0,828.0,128077,125014,133397,130672,126960,1223,998,1108,966.0,1039.0,20968,24856,24541,22303,29858,9053,9534,10491,10122,11047,,,102.0,,,0.1,0.09,0.09,0.07,0.07,49,49,49,49,50,1.66,1.7,1.75,1.81,1.86
0.0,50005,Caledonia County,22.0,26.0,31.0,21.0,23.0,,,,,,48.0,60.0,62.0,51.0,40.0,467,483,487,476,463,373.0,401.0,408.0,402.0,381.0,226.0,243.0,200.0,201.0,142.0,289,294,322,318,328,68.0,72.0,74.0,71.0,72.0,209,212,217,214,187,,,,,44.0,129,134,183,152,225,649.0,602.0,601.0,627.0,556.0,1948,1841,1804,1845,1913,66,58,63,56.0,72.0,811,840,948,955,811,316,341,326,322,274,,,,,,13.0,12.0,10.0,12.0,10.0,,,,,,5.0,5.0,5.0,5.0,5.0,114,118,118,110,121,34.0,35.0,33.0,35.0,35.0,25.0,23.0,21.0,22.0,20.0,42,40,39,41,40,22.0,23.0,24.0,20.0,19.0,73,71,73,72,64,,,,,3.0,41,40,46,44,46,17.0,16.0,19.0,19.0,20.0,106,109,111,115,113,13,13,12,13.0,17.0,72,74,75,80,79,88,88,90,86,84,,,,,,1703.39,1703.32,1703.33,1702.35,1703.3,44.46,44.46,44.46,44.46,44.46,-72.11,-72.11,-72.11,-72.11,-72.11,1132.0,1215.0,1070.0,744.0,860.0,,,,,,3477.0,4433.0,3748.0,3865.0,3481.0,26503,26686,27746,26980,26950,18662.0,20403.0,21551.0,20110.0,21602.0,6791.0,7500.0,7036.0,6320.0,6379.0,14311,15270,16163,18470,20737,2324.0,2485.0,2647.0,2699.0,2946.0,9343,9707,10482,10852,9663,,,,,2386.0,3718,4079,5923,5427,7442,25174.0,24956.0,25949.0,25352.0,25851.0,81373,85815,89478,91283,98093,2351,2511,2497,1979.0,2700.0,13069,14683,17095,15179,18216,7034,7308,7537,7578,7570,,,,,,0.0,0.0,0.0,0.0,0.0,31,30,30,30,30,0.0,0.0,0.0,0.0,0.0
1.0,50025,Windham County,158.0,156.0,156.0,159.0,119.0,,,,,,140.0,129.0,128.0,92.0,122.0,985,953,1011,970,995,1274.0,1224.0,1052.0,1024.0,965.0,432.0,373.0,381.0,399.0,363.0,513,533,541,525,515,294.0,291.0,328.0,280.0,265.0,512,527,509,491,492,,,4.0,8.0,,836,765,485,482,475,1881.0,1989.0,1693.0,1857.0,1383.0,3440,3524,3534,3544,3231,1658,1165,1444,1289.0,1236.0,3737,3589,3655,3564,2565,558,562,543,548,468,,0.0,2.0,4.0,,11.0,12.0,12.0,14.0,14.0,,,,,,16.0,16.0,13.0,10.0,13.0,218,209,214,213,226,49.0,43.0,39.0,42.0,40.0,35.0,33.0,34.0,35.0,35.0,49,49,51,51,51,86.0,90.0,88.0,84.0,79.0,115,122,119,119,119,,,3.0,4.0,,99,91,99,106,100,54.0,57.0,62.0,60.0,57.0,169,162,169,167,161,43,43,39,42.0,37.0,213,210,202,203,202,151,151,147,154,148,,3.0,3.0,4.0,,2067.64,2067.68,2067.68,2067.34,2069.02,41.83,41.83,41.83,41.83,41.83,-71.98,-71.98,-71.98,-71.98,-71.98,8035.0,8726.0,8524.0,8986.0,7507.0,,,,,,19574.0,20932.0,21088.0,11598.0,13465.0,53043,54177,57068,55649,64668,93531.0,94590.0,83505.0,85878.0,85546.0,32331.0,31278.0,33683.0,24706.0,35927.0,29644,31346,33093,32660,34477,9368.0,10217.0,10596.0,10113.0,11033.0,24874,26499,27210,28693,26379,,,86.0,1384.0,,28068,26685,22681,21195,23481,66130.0,66514.0,67578.0,68619.0,63678.0,146404,150648,161274,159932,156485,28124,18804,22177,21710.0,22516.0,56210,59296,59941,52169,60467,14192,14607,14915,14581,15533,,54.0,40.0,42.0,,0.07,0.07,0.07,0.07,0.07,43,43,43,43,46,2.27,2.32,2.32,2.17,2.58
