target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
0.0,18061,Harrison County,,,10.0,8.0,9.0,88.0,87.0,101.0,97.0,53.0,92.0,93.0,91.0,93.0,95.0,382,420,483,481,508,260,253.0,248.0,240.0,236.0,61.0,118.0,133.0,127.0,100.0,262,265,249,243,231,70.0,65.0,62.0,51.0,52.0,156,205,155,142,136,,,,,,135.0,162.0,163.0,143.0,93.0,14.0,13.0,11.0,13.0,13.0,1605,1713,1672,1654,1677,101.0,68.0,76.0,88.0,63.0,2299,2148,2127,2104,2104,326,341,360,377,389,,,,,,,,3.0,3.0,3.0,5.0,5.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,93,96,92,97,96,28,26.0,26.0,23.0,24.0,9.0,11.0,11.0,12.0,10.0,42,41,42,40,43,26.0,27.0,24.0,27.0,27.0,44,43,40,36,33,,,,,,34.0,32.0,30.0,28.0,26.0,4.0,3.0,3.0,3.0,3.0,86,84,86,84,85,11.0,10.0,9.0,10.0,8.0,53,52,52,51,52,66,67,71,72,76,,,,,,1259.57,1260.19,1260.14,1258.96,1258.96,32.52,32.52,32.52,32.52,32.52,-94.4,-94.4,-94.4,-94.4,-94.4,,,228.0,227.0,290.0,4709.0,4893.0,6134.0,6294.0,3616.0,6728.0,7045.0,7121.0,7594.0,7885.0,17453,18815,21859,21927,23928,11343,11653.0,11986.0,11596.0,11945.0,2195.0,3518.0,3674.0,5062.0,7559.0,14005,13862,12576,13342,16907,1371.0,1689.0,1653.0,1521.0,1517.0,5726,5506,5816,5372,5683,,,,,,4115.0,3958.0,4042.0,3819.0,3956.0,445.0,324.0,293.0,383.0,395.0,52724,56732,57351,58288,62920,1288.0,1416.0,1484.0,1374.0,1649.0,56859,58169,57800,58062,62378,7973,8700,9081,9697,9556,,,,,,0.0,0.0,0.0,0.0,0.0,39,40,40,40,40,0.0,0.0,0.0,0.0,0.0
1.0,18069,Huntington County,,,,,,,,,,,0.0,47.0,46.0,47.0,46.0,463,504,444,369,389,404,376.0,335.0,288.0,265.0,406.0,385.0,375.0,370.0,357.0,324,348,317,314,324,98.0,97.0,106.0,106.0,92.0,218,277,346,301,302,40.0,,,,,517.0,454.0,404.0,288.0,351.0,0.0,688.0,734.0,751.0,672.0,1902,1874,1855,1810,1697,194.0,102.0,127.0,126.0,126.0,1228,1215,1305,1283,1200,803,836,837,854,958,,2.0,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,75,77,74,68,75,49,46.0,40.0,40.0,42.0,13.0,14.0,15.0,14.0,15.0,64,63,63,61,61,36.0,39.0,39.0,40.0,40.0,53,52,46,46,50,3.0,,,,,33.0,28.0,30.0,32.0,32.0,9.0,9.0,8.0,8.0,8.0,70,66,64,65,64,21.0,19.0,19.0,18.0,18.0,89,87,86,90,86,131,125,120,125,119,,3.0,,,,1004.25,1004.25,1004.24,1004.27,1004.25,40.8,40.8,40.8,40.8,40.8,-85.5,-85.5,-85.5,-85.5,-85.5,,,,,,,,,,,0.0,3898.0,3971.0,4058.0,4119.0,22498,22607,21698,21458,23575,14535,14328.0,13417.0,11940.0,12101.0,21097.0,21300.0,22259.0,21566.0,20865.0,13684,15199,15111,15935,17472,2237.0,2531.0,2672.0,2754.0,2678.0,8537,10273,12473,12295,13450,1230.0,,,,,13392.0,10887.0,10203.0,9204.0,9604.0,0.0,11149.0,12165.0,12713.0,12963.0,65603,65802,69471,70360,71064,1688.0,1614.0,1600.0,1246.0,1402.0,15350,15883,17135,16257,18190,14517,15218,15553,16484,17648,,29.0,,,,0.28,0.3,0.22,0.21,0.14,37,36,36,36,37,2.19,2.06,2.12,2.2,2.38
1.0,18169,Wabash County,46.0,44.0,46.0,47.0,47.0,,,,49.0,45.0,49.0,45.0,45.0,46.0,45.0,574,572,599,609,636,332,335.0,300.0,300.0,299.0,77.0,72.0,67.0,71.0,55.0,289,290,300,282,295,121.0,117.0,121.0,116.0,93.0,188,205,196,191,206,0.0,143.0,140.0,151.0,133.0,292.0,312.0,324.0,299.0,342.0,0.0,846.0,853.0,760.0,592.0,2176,2102,2080,2129,2106,154.0,154.0,170.0,138.0,144.0,1051,1022,988,987,907,593,549,533,533,455,,,,,,5.0,4.0,4.0,4.0,4.0,,,,3.0,3.0,7.0,4.0,4.0,4.0,4.0,76,76,78,81,79,27,33.0,29.0,30.0,31.0,11.0,11.0,11.0,13.0,9.0,44,45,44,43,40,27.0,31.0,32.0,28.0,28.0,49,49,45,50,50,5.0,5.0,5.0,4.0,4.0,27.0,25.0,27.0,26.0,28.0,3.0,3.0,6.0,4.0,4.0,75,75,80,78,82,10.0,9.0,9.0,9.0,9.0,68,64,61,59,65,100,95,96,96,96,,,,,,1090.41,1090.41,1090.43,1090.42,1090.44,38.46,38.46,38.46,38.46,38.46,-87.85,-87.85,-87.85,-87.85,-87.85,2213.0,2180.0,2354.0,2460.0,2443.0,,,,2387.0,2288.0,4617.0,4002.0,4112.0,4264.0,4251.0,27299,29334,30179,33099,34918,17555,16326.0,14727.0,15647.0,16392.0,2496.0,2572.0,2209.0,2813.0,2287.0,14098,14772,15673,17318,19540,2652.0,2792.0,2753.0,2806.0,2924.0,8608,9082,8540,8993,9912,0.0,8759.0,7136.0,7207.0,7834.0,10359.0,10378.0,10819.0,11059.0,12818.0,0.0,20695.0,19943.0,19198.0,19511.0,63006,64394,66481,70800,72861,2076.0,2196.0,1977.0,1742.0,1927.0,12907,13299,13455,12837,15605,11026,11596,11656,11737,12790,,,,,,0.1,0.1,0.06,0.0,0.0,32,32,31,31,31,1.8,1.62,1.73,0.0,0.0
1.0,18181,White County,23.0,18.0,15.0,15.0,16.0,,,,,,137.0,145.0,154.0,168.0,164.0,297,290,276,277,289,209,177.0,202.0,248.0,281.0,94.0,80.0,92.0,88.0,66.0,207,187,175,176,175,37.0,47.0,49.0,56.0,35.0,96,105,126,119,111,,,,,,315.0,293.0,326.0,301.0,315.0,17.0,18.0,20.0,17.0,17.0,787,799,771,824,739,20.0,50.0,45.0,34.0,72.0,589,637,602,614,609,269,287,270,273,267,,,,,,5.0,6.0,4.0,4.0,6.0,,,,,,9.0,8.0,8.0,8.0,7.0,63,68,67,67,67,24,24.0,25.0,26.0,26.0,16.0,14.0,16.0,16.0,13.0,35,36,40,37,39,23.0,22.0,22.0,18.0,18.0,29,31,30,31,31,,,,,,35.0,35.0,36.0,35.0,34.0,6.0,5.0,6.0,6.0,7.0,37,39,40,42,38,7.0,6.0,6.0,7.0,8.0,61,54,49,49,54,58,54,56,58,59,,,,,,1317.66,1317.63,1317.66,1317.6,1317.56,38.06,38.06,38.06,38.06,38.06,-88.16,-88.16,-88.16,-88.16,-88.16,1086.0,1039.0,932.0,985.0,1361.0,,,,,,11175.0,11902.0,12902.0,14946.0,14654.0,12403,12357,11841,12222,12690,10457,10369.0,10855.0,11481.0,12818.0,3724.0,3353.0,3623.0,3456.0,3479.0,9498,8753,7485,8432,8418,958.0,1138.0,1143.0,1114.0,1051.0,3724,4947,5379,5502,5644,,,,,,9967.0,9768.0,10307.0,10176.0,10721.0,289.0,292.0,308.0,301.0,298.0,24967,23782,24404,26671,30230,461.0,4120.0,3528.0,4182.0,4811.0,7713,8222,8142,8310,10388,5375,5498,5731,6544,6813,,,,,,0.0,0.0,0.0,0.0,0.0,24,24,24,24,25,0.0,0.0,0.0,0.0,0.0
0.0,18073,Jasper County,104.0,101.0,115.0,142.0,120.0,,,,,,0.0,309.0,313.0,,,800,726,703,716,758,320,358.0,392.0,369.0,446.0,82.0,71.0,70.0,72.0,53.0,291,282,294,279,275,81.0,81.0,87.0,89.0,72.0,230,216,211,211,241,,,,,,259.0,277.0,296.0,270.0,377.0,0.0,89.0,85.0,78.0,78.0,1388,1102,1017,1008,1028,52.0,41.0,48.0,52.0,43.0,925,893,900,937,850,290,305,299,294,304,,,,,,8.0,8.0,8.0,10.0,9.0,,,,,,3.0,3.0,3.0,,,91,86,88,88,95,37,38.0,35.0,38.0,40.0,12.0,11.0,11.0,12.0,11.0,54,54,49,45,46,21.0,22.0,22.0,24.0,23.0,53,52,55,55,53,,,,,,32.0,31.0,31.0,34.0,33.0,7.0,5.0,5.0,5.0,5.0,51,49,49,48,50,11.0,9.0,10.0,9.0,8.0,65,63,64,64,60,86,89,84,87,82,,,,,,1454.19,1454.19,1454.16,1454.12,1454.19,30.75,30.75,30.75,30.75,30.75,-94.0,-94.0,-94.0,-94.0,-94.0,6545.0,7013.0,6838.0,8396.0,8848.0,,,,,,0.0,39234.0,39728.0,,,38479,36025,37139,39405,38526,19739,21366.0,21450.0,22548.0,27228.0,2420.0,1957.0,1927.0,1716.0,1447.0,13467,12788,13959,13436,13633,2485.0,2614.0,2742.0,2722.0,2820.0,6671,6717,7056,6446,8273,,,,,,7453.0,7233.0,8323.0,9140.0,13371.0,0.0,2519.0,2281.0,2100.0,2080.0,41551,30407,30516,31723,32457,826.0,1009.0,1135.0,1139.0,1159.0,11018,10959,11142,10451,12669,5982,6349,6456,7539,7365,,,,,,0.0,0.0,0.04,0.03,0.03,33,33,33,33,33,0.0,0.0,1.51,1.72,1.66
1.0,18075,Jay County,0.0,102.0,,59.0,82.0,46.0,48.0,55.0,53.0,63.0,,,,,,243,242,215,207,176,168,178.0,180.0,206.0,204.0,79.0,65.0,62.0,64.0,43.0,144,130,143,138,128,21.0,25.0,34.0,48.0,45.0,96,92,135,136,144,,,,,,62.0,67.0,53.0,72.0,110.0,0.0,10.0,9.0,,,969,1269,893,751,704,35.0,33.0,28.0,30.0,24.0,483,436,436,444,497,207,183,217,203,236,,,,,,3.0,3.0,,3.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,51,47,42,43,38,17,17.0,17.0,16.0,16.0,8.0,8.0,8.0,8.0,6.0,31,29,29,29,29,13.0,16.0,16.0,16.0,16.0,27,30,25,24,22,,,,,,12.0,13.0,11.0,14.0,14.0,3.0,3.0,3.0,,,32,55,56,47,47,9.0,8.0,7.0,8.0,8.0,31,28,31,34,34,57,55,56,58,57,,,,,,994.4,994.4,994.4,994.5,994.4,40.44,40.44,40.44,40.44,40.44,-85.02,-85.02,-85.02,-85.02,-85.02,0.0,1588.0,,1898.0,2520.0,2479.0,2584.0,2694.0,2680.0,3601.0,,,,,,8382,8291,8799,7478,7792,7740,7845.0,8403.0,9712.0,9817.0,1727.0,1574.0,1502.0,1480.0,1254.0,5544,5686,6266,6627,6922,410.0,592.0,891.0,1106.0,1079.0,2966,3911,4511,5046,5437,,,,,,2113.0,1686.0,1651.0,1946.0,2156.0,0.0,359.0,295.0,,,38963,37002,36272,24432,29996,387.0,394.0,370.0,379.0,350.0,5489,5339,5922,5978,6956,3283,3421,3751,3982,4660,,,,,,0.04,0.04,0.0,0.04,0.04,21,21,21,21,21,2.17,1.65,0.0,2.34,2.4
1.0,18101,Martin County,,,,,,,,,,,0.0,13.0,12.0,,,43,56,50,51,47,44,46.0,35.0,27.0,22.0,31.0,29.0,25.0,21.0,19.0,44,44,39,31,27,0.0,5.0,7.0,6.0,6.0,900,831,786,706,614,,,,,,67.0,67.0,48.0,41.0,28.0,,,,,,149,128,136,139,124,,,,,,207,236,171,166,161,94,90,95,99,101,,,,,,,,,,,,,,,,4.0,3.0,3.0,,,16,18,17,15,19,5,4.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,9,10,9,9,9,4.0,3.0,3.0,3.0,3.0,36,36,37,35,39,,,,,,11.0,11.0,9.0,10.0,7.0,,,,,,11,11,12,13,13,,,,,,23,22,18,18,21,25,29,28,27,27,,,,,,881.46,881.43,881.5,881.54,881.5,32.27,32.27,32.27,32.27,32.27,-101.92,-101.92,-101.92,-101.92,-101.92,,,,,,,,,,,0.0,781.0,797.0,,,1798,2065,1901,1952,2222,1770,1722.0,1291.0,1480.0,1276.0,666.0,591.0,447.0,459.0,400.0,2292,2303,2049,2082,2074,0.0,202.0,240.0,202.0,200.0,57772,55380,51221,48243,43921,,,,,,1904.0,1866.0,1394.0,1258.0,1044.0,,,,,,3428,3184,3428,3714,3986,,,,,,2462,2590,2254,1930,2385,1711,1707,1767,2243,1837,,,,,,0.06,0.0,0.0,0.0,0.0,10,10,10,10,10,1.6,0.0,0.0,0.0,0.0
1.0,18127,Porter County,,,,,,28.0,26.0,,,27.0,0.0,336.0,336.0,266.0,279.0,3087,3070,3502,3362,3071,2468,2093.0,2471.0,2480.0,2452.0,625.0,679.0,618.0,610.0,506.0,1121,1049,1111,1149,1061,749.0,761.0,834.0,882.0,794.0,2056,2127,2135,2283,2355,302.0,816.0,847.0,821.0,711.0,2103.0,2061.0,1962.0,2013.0,2163.0,3297.0,3204.0,2937.0,2163.0,2130.0,8977,9022,8950,8896,8835,858.0,869.0,971.0,972.0,777.0,6568,6540,6474,6699,6209,2680,2862,2841,2848,2481,,,1.0,2.0,1.0,,,,,,3.0,3.0,,,3.0,10.0,15.0,15.0,12.0,12.0,367,388,382,390,397,178,176.0,172.0,171.0,156.0,43.0,45.0,49.0,47.0,49.0,215,208,211,216,212,163.0,163.0,168.0,170.0,168.0,381,374,366,357,371,13.0,12.0,12.0,11.0,11.0,210.0,204.0,210.0,209.0,214.0,50.0,52.0,50.0,48.0,49.0,391,402,405,414,422,45.0,51.0,52.0,51.0,49.0,322,338,331,339,348,401,403,397,395,405,,,6.0,3.0,3.0,1088.92,1088.96,1088.71,1087.52,1087.53,41.48,41.48,41.48,41.48,41.48,-87.08,-87.08,-87.08,-87.08,-87.08,,,,,,1714.0,1627.0,,,1983.0,0.0,34702.0,35098.0,30173.0,28959.0,212933,204288,224680,188348,216890,143055,125831.0,154419.0,154446.0,177805.0,29048.0,30133.0,29886.0,30082.0,30895.0,58992,59266,66488,75027,75581,29890.0,32923.0,35254.0,37211.0,40265.0,117854,128067,133124,141681,157466,19163.0,48168.0,50635.0,48374.0,53010.0,77297.0,77490.0,75430.0,81240.0,101446.0,75431.0,75268.0,72082.0,64735.0,60646.0,394708,411931,421115,414873,437889,11320.0,10802.0,12111.0,10942.0,11717.0,93028,96573,103079,96874,117382,68851,74896,77024,71688,78147,,,94.0,34.0,35.0,0.94,0.9,1.04,1.25,0.94,167,168,169,169,172,2.0,2.01,1.86,1.97,2.13
0.0,18145,Shelby County,,,,,,57.0,57.0,62.0,58.0,59.0,54.0,55.0,54.0,50.0,48.0,911,883,969,991,1073,469,491.0,561.0,511.0,473.0,69.0,72.0,74.0,80.0,64.0,219,204,280,223,191,145.0,154.0,157.0,200.0,126.0,237,231,239,293,225,0.0,280.0,242.0,237.0,214.0,665.0,544.0,534.0,502.0,585.0,0.0,30.0,31.0,29.0,30.0,2030,2189,2270,2120,2102,0.0,867.0,836.0,814.0,803.0,1505,1480,1507,1455,1402,598,582,628,590,630,,,,,,,,,,,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,119,126,118,123,124,37,37.0,39.0,38.0,39.0,13.0,12.0,13.0,15.0,13.0,54,55,55,51,52,44.0,43.0,43.0,42.0,43.0,58,57,61,57,56,4.0,3.0,4.0,4.0,4.0,53.0,50.0,50.0,52.0,55.0,3.0,3.0,3.0,3.0,4.0,92,89,92,93,93,16.0,17.0,14.0,16.0,17.0,80,77,83,79,73,101,102,105,102,105,,,,,,1069.08,1069.09,1069.18,1069.02,1069.1,31.77,31.77,31.77,31.77,31.77,-94.13,-94.13,-94.13,-94.13,-94.13,,,,,,3951.0,4170.0,4389.0,3735.0,4243.0,4380.0,4581.0,4766.0,4851.0,4244.0,48942,49720,55729,59852,63606,22918,27543.0,28488.0,27443.0,26952.0,2669.0,2590.0,2601.0,2343.0,2323.0,9565,9358,20849,16116,10536,4798.0,5282.0,6007.0,5101.0,4906.0,12657,14116,16054,15333,15890,0.0,23714.0,34040.0,25511.0,31414.0,17340.0,17486.0,16272.0,15360.0,24154.0,0.0,630.0,645.0,625.0,619.0,95165,96200,102935,108047,100886,0.0,27267.0,27648.0,29481.0,33565.0,21156,21270,21516,20021,23371,17344,17509,17719,16753,20001,,,,,,0.22,0.16,0.2,0.16,0.16,44,44,44,45,45,2.09,2.26,2.08,2.46,2.53
0.0,18137,Ripley County,,,5.0,7.0,5.0,41.0,34.0,36.0,38.0,36.0,84.0,84.0,79.0,78.0,75.0,466,444,470,458,451,302,339.0,339.0,339.0,395.0,148.0,148.0,142.0,121.0,110.0,259,258,275,272,283,32.0,37.0,34.0,43.0,43.0,129,141,139,141,136,0.0,1096.0,1094.0,968.0,964.0,357.0,311.0,381.0,383.0,379.0,4.0,13.0,13.0,16.0,13.0,1517,1574,1577,1481,1325,195.0,180.0,163.0,167.0,144.0,648,712,677,586,631,389,426,410,369,385,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,5.0,5.0,5.0,5.0,85,85,84,82,93,28,26.0,25.0,25.0,25.0,9.0,10.0,10.0,10.0,8.0,41,42,41,43,44,20.0,20.0,21.0,22.0,22.0,35,38,37,37,38,7.0,7.0,6.0,6.0,6.0,18.0,15.0,15.0,15.0,19.0,3.0,3.0,5.0,5.0,5.0,80,77,73,72,68,10.0,9.0,8.0,8.0,8.0,43,44,43,43,41,90,91,93,87,92,,,,,,1160.31,1160.25,1160.23,1160.25,1160.22,36.65,36.65,36.65,36.65,36.65,-90.89,-90.89,-90.89,-90.89,-90.89,,,181.0,229.0,165.0,1054.0,1915.0,2009.0,2286.0,2234.0,5629.0,5872.0,5756.0,6067.0,6332.0,20851,20449,22005,21915,22591,12518,15035.0,15161.0,17314.0,21529.0,8226.0,7669.0,7651.0,6371.0,5968.0,12594,12842,13273,15044,15974,805.0,955.0,1117.0,1161.0,1414.0,4703,5395,5843,6476,8449,0.0,75996.0,75639.0,62320.0,62777.0,13549.0,14327.0,17634.0,19733.0,19944.0,350.0,781.0,841.0,884.0,1197.0,59542,64768,63792,63766,59515,3091.0,2755.0,2798.0,3057.0,2927.0,8524,9212,9747,7832,9660,7758,8722,9106,8770,9310,,,,,,0.0,0.0,0.0,0.0,0.0,28,28,28,28,29,0.0,0.0,0.0,0.0,0.0
