target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
0.0,24047,Worcester County,29.0,17.0,17.0,17.0,13.0,,,,,,,,,,,918,966,1032,1042,997,226,224,222,217,217,192,193,190,197,158,544,560,593,625,591,498,558,571,499,477,724,634,654,680,682,3.0,,7.0,,,419,520,598,524,459,144,145,138,145,132,2455,2617,2686,2599,2422,767,928,969,955,842,6187,6476,6411,6984,6570,1199,1129,1132,1092,1096,,,,0.0,,13.0,12.0,13.0,12.0,15.0,,,,,,,,,,,223,222,224,225,220,52,55,50,45,52,36,35,35,34,32,94,93,93,99,104,169,177,175,166,162,150,156,157,155,161,3.0,,4.0,,,89,92,91,92,93,11,11,9,11,11,151,155,158,162,159,68,69,67,65,61,454,453,444,434,457,199,198,193,197,201,,,,3.0,,1513.85,1513.85,1513.85,1513.63,1513.71,42.37,42.37,42.37,42.37,42.37,-71.87,-71.87,-71.87,-71.87,-71.87,603.0,514.0,604.0,517.0,514.0,,,,,,,,,,,38536,42463,44494,45880,45488,9679,10525,10744,10556,12077,8749,9188,9266,8169,8106,25956,26986,30473,36705,39397,20416,22658,25083,21907,24295,35097,34336,35088,37403,41998,433.0,,824.0,,,21563,25277,30579,24941,28418,4772,4752,4736,4749,5132,112885,120256,128406,124277,128128,27622,34050,37756,31643,36897,209363,214741,225423,186433,259321,32387,31919,33384,32455,36348,,,,95.0,,0.03,0.03,0.03,0.03,0.05,52,52,52,52,52,2.0,2.18,2.29,1.97,2.07
1.0,24001,Allegany County,,,,8.0,11.0,32.0,35.0,27.0,,,207.0,147.0,150.0,151.0,148.0,889,1062,1097,986,933,573,620,562,506,456,1051,1008,1017,976,468,835,838,862,825,801,187,187,201,173,151,536,554,579,542,459,,,,49.0,,1543,1416,1039,837,341,167,172,167,167,174,5529,5793,5955,5854,5917,220,195,193,163,133,3603,3528,3402,3399,2980,1210,1166,1196,1153,1085,,,,,,,,,3.0,3.0,3.0,3.0,3.0,,,7.0,6.0,6.0,5.0,5.0,106,109,104,104,107,52,53,52,50,47,36,36,34,33,32,100,100,98,96,94,61,57,54,46,45,91,87,88,85,86,,,,4.0,,50,48,51,47,48,10,12,10,10,9,233,235,221,229,249,16,18,15,13,19,174,182,184,169,171,227,223,212,212,204,,,,,,1108.07,1108.07,1108.07,1108.07,1108.03,42.24,42.24,42.24,42.24,42.24,-78.04,-78.04,-78.04,-78.04,-78.04,,,,185.0,366.0,1486.0,1576.0,1026.0,,,19324.0,14786.0,15251.0,15088.0,15839.0,48074,50176,53918,50297,51386,25137,25004,26402,22818,23977,31430,29632,26369,26089,17150,44770,45978,46670,48638,48069,6791,7099,7591,6648,6383,25418,26590,27933,26984,26069,,,,1599.0,,60743,52646,35080,25185,10297,4843,4933,4856,4515,4356,244541,247602,277934,274798,318653,1855,2087,1976,1818,2822,55469,58803,59393,52497,63577,26510,27591,29326,28161,31109,,,,,,0.46,0.45,0.45,0.53,0.37,73,72,71,71,69,2.59,2.55,2.35,2.1,2.09
0.0,24011,Caroline County,25.0,28.0,30.0,27.0,9.0,,,,,,,,,,,663,701,729,730,742,165,160,166,174,204,48,57,52,45,36,164,157,166,164,192,71,56,33,25,20,213,230,252,253,255,0.0,159.0,159.0,161.0,181.0,295,293,274,299,304,0,574,545,546,433,834,867,815,744,750,50,55,52,48,37,407,437,470,510,408,314,351,358,333,352,,,,,,7.0,6.0,7.0,6.0,5.0,,,,,,,,,,,124,118,120,116,115,26,26,26,27,29,8,8,9,9,9,26,25,26,24,24,17,18,16,14,13,35,41,40,39,43,3.0,3.0,3.0,3.0,3.0,42,45,39,44,43,6,8,8,9,9,51,51,49,47,44,5,6,6,7,6,35,38,36,37,34,70,75,72,72,71,,,,,,844.5,844.51,844.52,844.45,844.51,38.03,38.03,38.03,38.03,38.03,-77.36,-77.36,-77.36,-77.36,-77.36,941.0,964.0,1049.0,855.0,425.0,,,,,,,,,,,28477,30094,33033,34951,37293,7581,7509,7892,8826,10880,2833,3056,2735,2370,1880,8318,8085,8289,8739,8838,2316,2548,1910,1211,1130,7923,8741,9446,9595,10219,0.0,14538.0,13470.0,14326.0,14135.0,13880,14522,15241,17553,22053,0,18528,18905,20275,18216,31515,30739,31700,33258,34903,598,565,560,482,545,6345,7195,7865,7287,8129,11069,12099,12374,12499,14070,,,,,,0.0,0.0,0.0,0.0,0.0,33,33,33,33,33,0.0,0.0,0.0,0.0,0.0
0.0,24039,Somerset County,13.0,7.0,9.0,8.0,10.0,,,,,,0.0,3.0,,,,292,321,310,290,259,560,549,559,594,506,7,7,6,9,5,79,80,83,79,81,29,27,27,29,25,115,98,75,87,97,,,,,,55,51,71,64,64,39,44,38,43,40,1143,1347,1247,1404,1089,13,23,28,32,26,397,376,348,293,261,211,214,226,219,208,,,,,,9.0,9.0,9.0,6.0,8.0,,,,,,3.0,3.0,,,,58,53,53,52,49,14,11,8,9,10,6,6,6,5,4,13,13,14,13,13,15,13,13,15,13,20,19,18,18,19,,,,,,12,13,14,13,14,5,4,4,3,3,43,43,42,39,36,4,5,5,4,3,28,29,28,28,29,55,52,51,52,50,,,,,,903.24,903.24,903.24,903.19,903.22,40.0,40.0,40.0,40.0,40.0,-79.04,-79.04,-79.04,-79.04,-79.04,498.0,285.0,399.0,371.0,439.0,,,,,,0.0,435.0,,,,12639,13175,13914,14750,14600,40296,40971,41620,35271,41079,337,316,293,293,353,3045,3020,3120,2919,2916,686,536,624,598,597,4944,4763,4434,4711,4815,,,,,,2029,1915,2046,2491,3685,1409,1217,1218,952,1093,36472,44729,45122,45414,40221,178,370,438,409,499,5045,4863,5209,4047,4877,4786,5031,5042,5361,5567,,,,,,0.0,0.0,0.0,0.0,0.0,26,26,26,26,25,0.0,0.0,0.0,0.0,0.0
1.0,24041,Talbot County,37.0,31.0,28.0,20.0,23.0,,,,,,,,,,6.0,919,1022,1062,986,1056,706,682,654,604,645,300,363,318,317,302,507,544,490,626,628,195,185,195,192,229,1124,1126,1141,1128,1127,333.0,350.0,127.0,77.0,51.0,1855,1718,1690,1731,1671,367,291,274,273,256,4089,3983,3859,3789,3783,573,520,448,508,402,2487,2559,2543,2511,2213,826,921,831,840,715,,11.0,,0.0,,9.0,7.0,7.0,6.0,6.0,,,,,,,,,,3.0,178,178,182,180,183,65,62,64,65,63,19,19,18,17,13,71,73,67,66,73,70,69,69,71,81,145,139,138,136,142,6.0,7.0,6.0,6.0,6.0,92,87,88,92,94,14,14,14,17,16,183,183,185,186,185,34,34,35,32,31,142,140,143,145,145,154,162,153,148,144,,4.0,,3.0,,796.26,796.26,796.26,796.23,796.21,32.7,32.7,32.7,32.7,32.7,-84.51,-84.51,-84.51,-84.51,-84.51,1377.0,1159.0,1139.0,766.0,1085.0,,,,,,,,,,916.0,45127,51272,55516,52067,58378,37155,35141,36343,35584,38592,14399,13581,12918,12689,12289,44505,47312,45021,56873,66908,9657,9128,9478,10825,12562,65167,68421,69949,70822,68115,20310.0,21468.0,12107.0,10785.0,15296.0,63752,63122,63103,74688,77482,11480,11116,11111,11202,11409,191841,199163,202737,195230,204743,12663,12434,14022,12849,15270,52115,54560,56964,49918,61566,27474,29233,29528,28898,31613,,202.0,,19.0,,0.2,0.07,0.0,0.07,0.07,37,37,37,37,38,1.62,1.74,0.0,2.27,2.02
0.0,24025,Harford County,30.0,31.0,29.0,26.0,7.0,92.0,110.0,73.0,98.0,95.0,113.0,143.0,150.0,145.0,144.0,4840,5114,5283,5462,5324,2883,3082,2773,2850,2801,623,643,596,790,736,1823,1836,1785,1889,1860,915,879,786,811,754,8689,8649,9230,9001,9543,522.0,814.0,540.0,533.0,277.0,3004,3387,3464,3674,3509,895,951,952,932,960,12116,12068,12369,12881,11994,1380,1378,1324,1369,1107,8777,8958,9090,8962,7720,3650,3897,4036,3751,3807,8.0,4.0,3.0,3.0,1.0,7.0,7.0,5.0,6.0,6.0,4.0,3.0,3.0,3.0,3.0,8.0,11.0,11.0,11.0,12.0,777,780,798,797,796,202,201,195,193,191,76,73,70,73,74,280,291,288,288,282,241,249,248,262,261,788,775,781,784,756,32.0,31.0,28.0,30.0,26.0,359,354,359,369,376,77,82,84,80,85,624,607,630,633,660,87,87,86,85,82,408,417,420,415,427,568,571,563,556,562,4.0,5.0,5.0,6.0,3.0,1169.2,1169.21,1169.21,1168.85,1168.85,39.55,39.55,39.55,39.55,39.55,-76.3,-76.3,-76.3,-76.3,-76.3,988.0,979.0,885.0,870.0,322.0,6647.0,7534.0,5833.0,6981.0,7244.0,13932.0,15908.0,17227.0,18734.0,19184.0,268927,279816,310392,310037,334366,165567,182686,162199,164699,181198,46520,44322,43207,49685,63408,119305,121423,124182,147955,151712,38573,39680,37617,39678,42088,712187,732755,802706,779453,850720,44921.0,64680.0,36641.0,32790.0,22061.0,128386,137078,144148,153292,152969,25494,26097,27829,26386,31183,558094,569347,607329,626183,671356,20225,23431,25197,19753,23711,142165,150946,163475,143451,173773,118614,125164,133086,123221,166218,244.0,55.0,62.0,136.0,68.0,2.37,2.61,2.34,2.57,2.81,250,251,252,254,259,2.19,2.16,2.16,2.39,2.4
1.0,24027,Howard County,243.0,263.0,309.0,300.0,296.0,0.0,136.0,,,,0.0,130.0,123.0,127.0,132.0,10895,10695,10949,10923,10941,15654,16084,16214,16839,16026,5939,6089,5494,5981,6316,7443,7675,7285,7416,8686,3345,3335,3706,3791,3249,40590,39960,41381,41965,43259,9710.0,5582.0,4956.0,5193.0,4929.0,13012,12856,13580,13451,12854,3960,4422,4360,4727,4466,17077,18713,18659,19158,17461,3324,3657,3960,3984,2439,13745,13319,13238,13616,11799,7137,7034,7168,7052,6361,3.0,8.0,9.0,24.0,28.0,11.0,9.0,7.0,7.0,8.0,3.0,3.0,,,,5.0,6.0,5.0,5.0,5.0,822,840,827,826,836,583,565,574,548,544,182,172,169,169,176,560,559,549,547,534,433,427,434,467,467,2200,2194,2217,2249,2282,108.0,111.0,96.0,103.0,95.0,554,557,565,569,573,210,203,213,211,212,1048,1085,1092,1110,1149,159,165,169,148,146,621,636,635,634,654,717,737,730,747,740,5.0,8.0,10.0,23.0,17.0,656.21,656.22,656.21,656.2,656.2,32.3,32.3,32.3,32.3,32.3,-101.43,-101.43,-101.43,-101.43,-101.43,13697.0,14390.0,12891.0,12673.0,12697.0,0.0,14867.0,,,,0.0,16995.0,15929.0,15687.0,15412.0,719246,756826,780365,785003,834250,1219150,1241958,1185791,1252252,1312593,591449,632385,698161,748175,904228,704397,725870,701522,788020,968348,244371,238504,275213,278565,279040,3783835,4056964,4414431,4815738,5114634,687263.0,688674.0,691088.0,689094.0,741987.0,579592,632704,666385,661937,743271,157482,171026,170204,209504,244233,889055,1028283,1035587,1028726,1045131,97848,101930,113933,57739,61433,255525,264393,270330,223669,285834,280338,288687,300039,280442,302090,160.0,260.0,381.0,938.0,1381.0,5.91,6.97,6.29,6.42,6.85,312,315,319,322,329,2.83,2.72,2.84,2.91,2.93
1.0,24003,Anne Arundel County,40.0,35.0,50.0,41.0,47.0,0.0,16.0,,46.0,18.0,541.0,557.0,637.0,604.0,638.0,17769,18264,18652,19466,19558,10114,10390,10361,9492,8546,4418,4534,4414,4183,3227,6353,6559,6537,7010,7432,4253,4167,4089,4018,3629,34151,35242,34897,36000,38013,4823.0,5221.0,5877.0,4274.0,3842.0,19675,21009,20301,18895,18699,3366,3501,3796,3735,3381,29160,28687,29866,29478,27355,3859,4352,4552,4708,3761,33314,32948,31972,30944,25809,11732,11559,11731,11295,10094,17.0,9.0,10.0,36.0,63.0,12.0,12.0,12.0,11.0,11.0,3.0,3.0,,3.0,3.0,12.0,24.0,24.0,28.0,33.0,1631,1617,1626,1624,1659,585,579,575,579,579,254,262,255,256,251,766,774,762,761,752,626,643,658,676,705,2299,2315,2276,2329,2352,108.0,101.0,100.0,94.0,88.0,891,905,897,891,906,187,185,198,204,209,1397,1449,1458,1452,1472,264,274,279,269,297,1280,1286,1292,1276,1295,1421,1399,1400,1401,1422,16.0,16.0,17.0,26.0,20.0,1163.96,1164.0,1163.99,1163.96,1163.97,38.97,38.97,38.97,38.97,38.97,-76.57,-76.57,-76.57,-76.57,-76.57,904.0,897.0,909.0,902.0,881.0,0.0,1156.0,,1911.0,1369.0,68896.0,72783.0,78487.0,75140.0,74575.0,1111924,1135229,1223576,1288818,1393515,646314,680130,777710,738616,743161,393965,391709,377035,329374,302908,496743,518544,573287,756553,869371,223488,233883,237113,227929,234116,3665070,3973168,4025735,4316862,4581718,391701.0,380747.0,407708.0,394852.0,433081.0,868721,950551,939993,929004,1011719,128794,127186,135337,127872,136668,1429570,1474822,1577339,1552554,1755773,92617,105751,114362,104218,124302,705413,717667,731708,568896,718730,445845,449156,463895,430891,470592,353.0,269.0,474.0,1205.0,1616.0,7.32,7.35,8.28,8.31,8.23,565,568,571,575,584,2.86,2.81,2.66,2.96,3.07
0.0,24005,Baltimore County,26.0,31.0,23.0,26.0,34.0,105.0,443.0,107.0,105.0,114.0,0.0,1641.0,1451.0,1530.0,1550.0,22239,23770,24371,24913,24472,12867,12953,13133,13302,12674,6576,6548,6160,6070,5244,21802,22271,19920,18785,18901,8038,8284,8557,8935,7547,28385,28151,28459,29424,27499,9540.0,9264.0,9334.0,10510.0,10053.0,26612,26260,26666,25188,24255,9120,9184,8783,8358,6997,61946,62144,63471,64459,61927,5277,5902,5655,5652,4292,30206,31081,31703,30688,26266,15580,17008,17540,16597,14593,15.0,7.0,22.0,24.0,15.0,13.0,15.0,10.0,12.0,12.0,6.0,8.0,7.0,5.0,5.0,22.0,36.0,32.0,32.0,33.0,1898,1880,1894,1888,1924,815,798,779,765,760,320,311,306,304,303,1379,1385,1369,1348,1327,965,1000,995,1042,1099,2758,2700,2690,2724,2698,160.0,148.0,142.0,134.0,127.0,1316,1283,1269,1266,1271,277,278,270,277,268,2733,2760,2779,2827,2962,306,304,300,293,312,1706,1723,1756,1747,1756,1892,1899,1864,1883,1908,10.0,17.0,24.0,27.0,19.0,1608.92,1608.91,1608.91,1608.95,1608.91,39.44,39.44,39.44,39.44,39.44,-76.65,-76.65,-76.65,-76.65,-76.65,796.0,755.0,659.0,718.0,944.0,6311.0,26903.0,8829.0,8172.0,8523.0,0.0,185784.0,172903.0,180170.0,187811.0,1427847,1587510,1667962,1746656,1695163,884330,922546,958397,960913,974696,451303,449436,487012,444682,517407,1854671,1974052,1850971,1919131,2093505,477151,519959,551807,565347,507358,2150093,2231519,2273923,2386362,2493782,978292.0,945872.0,1023229.0,1063731.0,1104849.0,1073630,1036840,1070783,1049275,1149027,298733,289322,286148,270109,276906,2851255,2934626,3033127,3057258,3382281,320309,318586,370615,375003,393247,546264,577028,602875,508615,609617,517988,553051,561608,521381,578145,594.0,340.0,762.0,639.0,776.0,12.39,12.15,12.08,11.91,12.47,829,828,828,828,851,3.18,3.21,3.24,3.39,3.4
1.0,24021,Frederick County,39.0,27.0,37.0,38.0,37.0,113.0,136.0,70.0,147.0,166.0,159.0,165.0,167.0,161.0,169.0,8778,9132,8878,8756,8429,2916,2979,3018,3130,3005,1001,1069,1069,1084,977,5636,5419,4958,4618,4503,1125,1079,1203,1145,1044,8574,8629,9780,9887,10150,2595.0,2669.0,2029.0,1643.0,1805.0,6114,6303,5651,5220,4608,2904,3008,3130,2948,2727,12610,12755,13189,13899,13667,1821,1894,1933,1958,1519,9741,10522,10454,10130,8632,4285,4238,4301,4279,3876,7.0,7.0,13.0,9.0,11.0,13.0,13.0,14.0,15.0,15.0,3.0,3.0,3.0,4.0,4.0,8.0,9.0,9.0,8.0,9.0,894,884,886,877,887,273,271,274,271,262,90,91,90,93,91,318,319,317,318,322,280,293,294,302,292,882,892,894,903,940,52.0,51.0,49.0,48.0,54.0,401,381,378,380,390,91,94,94,86,96,682,699,707,718,741,90,100,110,101,105,490,503,506,490,495,616,624,613,612,635,7.0,10.0,12.0,13.0,10.0,1728.96,1728.97,1728.97,1728.96,1728.98,39.21,39.21,39.21,39.21,39.21,-78.28,-78.28,-78.28,-78.28,-78.28,698.0,838.0,1176.0,1382.0,1175.0,5981.0,7133.0,4414.0,9053.0,10005.0,25372.0,28189.0,28746.0,17751.0,19847.0,528675,553171,557177,539193,568458,188277,193487,213239,218580,229662,58872,68603,67388,66770,71311,457724,449532,449745,444734,457823,59979,50540,56358,54475,65522,636146,663592,790816,821308,923019,194337.0,207799.0,131321.0,128894.0,151591.0,230785,221619,208598,195925,196224,73944,75388,78598,77053,78215,630190,580673,617980,659787,738278,33706,33715,36367,30166,35966,173185,184666,186909,161558,197110,154461,157868,163306,153696,166331,168.0,533.0,520.0,559.0,394.0,1.53,1.51,1.6,1.85,1.75,246,248,251,256,267,2.93,2.94,2.9,2.86,3.05
