target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
0.0,42055,Franklin County,79.0,73.0,88.0,95.0,85.0,245.0,246.0,246.0,238.0,240.0,62.0,58.0,57.0,58.0,58.0,2058,2266,2225,2394,2314,1681.0,1713.0,1766.0,1881.0,1912.0,485.0,539.0,532.0,488.0,442.0,1108,1117,1132,1164,1163,368.0,372.0,385.0,398.0,375.0,1861,1828.0,1858,1755,1685,664.0,695.0,669.0,682.0,736.0,3027.0,2544.0,2321.0,2321.0,2165.0,1118.0,1164.0,1182.0,1167.0,1006.0,8831,8979,8997,10712,10121,997.0,1358.0,1399.0,1287.0,1036.0,4522,4711,4829,4838,4017,2381,2533,2447,2577,2353,,4.0,,,,7.0,5.0,8.0,9.0,8.0,5.0,6.0,7.0,6.0,5.0,10.0,10.0,10.0,9.0,10.0,294,312,316,317,304,114.0,111.0,112.0,110.0,114.0,50.0,51.0,50.0,49.0,52.0,145,139,138,139,134,94.0,101.0,100.0,104.0,107.0,224,226.0,225,226,227,6.0,7.0,7.0,8.0,10.0,155.0,149.0,153.0,154.0,169.0,30.0,30.0,28.0,27.0,30.0,349,347,356,361,359,47.0,49.0,45.0,47.0,48.0,276,280,277,279,277,475,479,466,466,483,,3.0,,,,2001.71,2001.71,2001.94,2001.86,2001.94,33.2,33.2,33.2,33.2,33.2,-95.22,-95.22,-95.22,-95.22,-95.22,2433.0,2346.0,2767.0,3278.0,2379.0,16823.0,17706.0,17329.0,16076.0,19754.0,5081.0,5484.0,5875.0,5987.0,6221.0,101328,111333,115804,125452,132174,93105.0,102500.0,107985.0,106755.0,114639.0,25134.0,27762.0,29666.0,29776.0,33056.0,57897,61410,64281,70869,75706,12631.0,13767.0,13916.0,14688.0,15795.0,105834,107141.0,109990,110066,102933,32126.0,30397.0,35306.0,35268.0,47948.0,78334.0,82006.0,81015.0,77252.0,86186.0,31847.0,32536.0,33627.0,33263.0,34176.0,414511,406664,448598,513358,510076,13257.0,14335.0,14268.0,13834.0,12186.0,64139,68484,71553,62363,68593,55519,59240,60446,60168,65499,,52.0,,,,0.31,0.31,0.25,0.33,0.3,153,154,154,155,156,2.53,2.38,2.71,2.68,2.97
1.0,42119,Union County,28.0,35.0,32.0,31.0,23.0,,,,,,,,,,,904,870,1046,805,810,390.0,392.0,397.0,359.0,336.0,114.0,108.0,118.0,120.0,95.0,464,482,478,472,452,118.0,124.0,141.0,119.0,125.0,458,479.0,459,493,504,159.0,163.0,161.0,168.0,182.0,242.0,308.0,339.0,523.0,398.0,0.0,3092.0,3073.0,3057.0,2497.0,3946,3938,4044,3948,3716,66.0,136.0,145.0,73.0,70.0,2056,2077,2071,1949,1610,606,665,677,670,535,3.0,5.0,6.0,12.0,,6.0,6.0,6.0,6.0,5.0,,,,,,,,,,,89,96,97,96,94,35.0,37.0,37.0,35.0,35.0,13.0,14.0,14.0,13.0,13.0,65,66,63,61,57,22.0,23.0,24.0,21.0,22.0,73,68.0,65,65,65,7.0,7.0,6.0,6.0,7.0,35.0,37.0,41.0,42.0,46.0,11.0,11.0,11.0,11.0,11.0,138,135,138,133,141,13.0,13.0,13.0,12.0,10.0,97,91,91,84,91,120,119,119,123,129,3.0,3.0,3.0,3.0,,822.85,822.84,822.84,822.83,822.81,37.46,37.46,37.46,37.46,37.46,-89.25,-89.25,-89.25,-89.25,-89.25,1088.0,1105.0,1099.0,946.0,897.0,,,,,,,,,,,37908,41765,43610,39205,47971,19205.0,20103.0,18604.0,19552.0,21122.0,2829.0,3059.0,2974.0,2907.0,3123.0,24658,26605,27156,27049,27370,3783.0,3631.0,3515.0,3472.0,5176.0,19782,20060.0,20020,22727,26026,9618.0,10592.0,11262.0,11330.0,13386.0,8768.0,10042.0,11417.0,20125.0,16728.0,0.0,108804.0,110598.0,108253.0,111629.0,199437,193811,216050,220027,228786,1627.0,2219.0,2490.0,1474.0,1523.0,30579,32114,33332,26430,30750,11474,12824,13710,13049,13570,48.0,66.0,78.0,160.0,,0.18,0.12,0.12,0.18,0.12,45,45,45,45,43,3.62,4.57,4.59,3.7,4.39
1.0,42127,Wayne County,15.0,15.0,20.0,13.0,9.0,85.0,64.0,61.0,60.0,72.0,91.0,93.0,84.0,71.0,78.0,1057,1145,1248,1157,1133,313.0,329.0,341.0,356.0,345.0,120.0,120.0,124.0,124.0,60.0,482,467,458,482,451,114.0,112.0,119.0,118.0,124.0,322,353.0,332,323,325,102.0,100.0,109.0,108.0,65.0,634.0,476.0,494.0,681.0,723.0,74.0,91.0,90.0,129.0,117.0,2425,2441,2503,2506,2331,159.0,156.0,163.0,142.0,142.0,1594,1622,1594,1654,1491,1012,1023,975,978,888,,2.0,,,,7.0,7.0,7.0,6.0,7.0,8.0,7.0,7.0,8.0,8.0,10.0,9.0,9.0,9.0,10.0,164,166,172,178,183,32.0,30.0,29.0,27.0,26.0,22.0,21.0,20.0,20.0,21.0,61,59,53,54,55,31.0,32.0,39.0,44.0,43.0,90,82.0,80,78,79,4.0,4.0,4.0,4.0,3.0,70.0,73.0,67.0,65.0,69.0,13.0,14.0,12.0,12.0,12.0,132,132,135,129,128,26.0,27.0,27.0,28.0,29.0,163,159,158,154,158,152,151,155,160,155,,3.0,,,,1944.11,1944.12,1944.11,1944.14,1944.1,38.43,38.43,38.43,38.43,38.43,-88.42,-88.42,-88.42,-88.42,-88.42,352.0,421.0,497.0,395.0,350.0,4002.0,5042.0,5285.0,5846.0,5899.0,7168.0,7822.0,7092.0,5587.0,7326.0,58036,66837,68874,64541,73172,17554.0,17911.0,19315.0,19302.0,21813.0,7467.0,7123.0,7267.0,6472.0,2963.0,25611,24932,24969,30408,33313,4014.0,4118.0,3949.0,4569.0,7952.0,13863,14937.0,15478,15682,17371,6011.0,5766.0,6143.0,6079.0,3397.0,20787.0,19307.0,20355.0,21103.0,24195.0,3145.0,3195.0,3726.0,3891.0,4874.0,91696,95589,100066,102072,110515,5196.0,5203.0,5325.0,4627.0,5931.0,43393,45918,49472,38558,53357,22484,23426,24205,23444,25591,,40.0,,,,0.0,0.02,0.0,0.0,0.02,52,52,51,51,51,0.0,1.8,0.0,0.0,1.88
1.0,42009,Bedford County,15.0,19.0,8.0,9.0,19.0,,,,,,48.0,45.0,48.0,49.0,45.0,507,519,512,513,583,311.0,323.0,262.0,241.0,218.0,150.0,152.0,161.0,148.0,128.0,315,327,349,350,321,41.0,47.0,40.0,34.0,38.0,190,202.0,205,210,213,0.0,183.0,170.0,165.0,161.0,466.0,526.0,493.0,448.0,461.0,55.0,69.0,68.0,67.0,70.0,1730,1767,1752,1733,1636,75.0,67.0,71.0,64.0,59.0,1797,1793,1697,1678,1474,665,643,628,647,605,,2.0,,,,5.0,5.0,7.0,6.0,8.0,,,,,,3.0,4.0,4.0,4.0,3.0,110,115,108,104,110,36.0,37.0,34.0,32.0,33.0,20.0,16.0,16.0,17.0,17.0,56,56,57,55,52,12.0,13.0,16.0,14.0,12.0,41,37.0,36,38,41,4.0,4.0,3.0,3.0,3.0,36.0,37.0,36.0,34.0,36.0,5.0,6.0,6.0,6.0,6.0,126,126,129,119,115,22.0,17.0,16.0,14.0,13.0,96,99,102,99,106,171,168,171,159,157,,3.0,,,,2633.95,2633.97,2633.96,2633.76,2633.84,40.03,40.03,40.03,40.03,40.03,-78.52,-78.52,-78.52,-78.52,-78.52,319.0,263.0,326.0,356.0,565.0,,,,,,3288.0,3287.0,3411.0,3668.0,3605.0,25120,26659,28048,27601,32043,11947.0,12190.0,10468.0,8668.0,9028.0,4655.0,4551.0,4589.0,4224.0,4470.0,16675,17844,18655,20310,19565,2048.0,2288.0,2102.0,1920.0,2732.0,7608,8709.0,9147,9513,8845,0.0,14062.0,15351.0,15302.0,18761.0,14899.0,15805.0,17036.0,17001.0,20247.0,1538.0,1562.0,1484.0,1394.0,1452.0,61224,65142,68141,68118,72439,1616.0,1370.0,1271.0,1081.0,1121.0,31187,31788,31675,29035,31022,13355,13027,13443,13729,13519,,60.0,,,,0.02,0.02,0.02,0.02,0.0,49,49,48,48,48,2.04,1.93,1.83,1.6,0.0
1.0,42089,Monroe County,0.0,14.0,13.0,15.0,22.0,102.0,79.0,78.0,92.0,84.0,107.0,105.0,102.0,103.0,114.0,1562,1599,1725,1650,1653,1233.0,1151.0,1204.0,1191.0,1121.0,414.0,432.0,380.0,363.0,295.0,959,914,914,909,816,534.0,541.0,719.0,795.0,772.0,1610,1660.0,1583,1574,1550,307.0,296.0,301.0,186.0,140.0,2340.0,1692.0,1614.0,1921.0,2402.0,309.0,240.0,239.0,175.0,209.0,7430,7796,8126,8273,7585,3054.0,2248.0,2239.0,1460.0,980.0,9899,9883,9836,9884,8234,2008,2049,2076,2072,1799,,,5.0,3.0,8.0,3.0,4.0,3.0,4.0,5.0,9.0,9.0,11.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,335,346,356,348,353,130.0,116.0,114.0,113.0,118.0,48.0,47.0,46.0,46.0,53.0,148,144,142,140,138,144.0,145.0,153.0,160.0,159.0,296,286.0,283,281,276,8.0,7.0,8.0,8.0,12.0,181.0,172.0,183.0,194.0,220.0,32.0,31.0,30.0,29.0,34.0,362,361,367,361,357,66.0,65.0,65.0,62.0,64.0,403,396,399,406,405,396,401,414,413,410,,,3.0,3.0,3.0,1598.45,1598.16,1598.15,1598.23,1598.18,38.27,38.27,38.27,38.27,38.27,-90.18,-90.18,-90.18,-90.18,-90.18,0.0,142.0,160.0,226.0,418.0,5560.0,6291.0,6831.0,7534.0,7395.0,8699.0,10525.0,10542.0,11433.0,12878.0,71344,76061,83407,77300,85369,66202.0,67795.0,73526.0,75362.0,72001.0,16377.0,15876.0,15315.0,12712.0,14887.0,47028,46639,48806,49661,49537,18980.0,19976.0,25096.0,27755.0,34634.0,79702,77451.0,79504,78909,82215,11787.0,10520.0,10810.0,6462.0,8718.0,58617.0,46265.0,47014.0,46392.0,76913.0,9023.0,8322.0,7299.0,5278.0,9023.0,317586,354618,371429,390795,375373,35640.0,35521.0,30955.0,22987.0,23889.0,184490,190494,204983,159864,202905,52299,53215,56824,51142,56335,,,44.0,28.0,203.0,0.2,0.27,0.34,0.34,0.34,167,168,168,169,168,2.05,1.91,1.99,1.98,1.91
1.0,42061,Huntingdon County,6.0,5.0,4.0,3.0,5.0,0.0,95.0,69.0,68.0,48.0,78.0,79.0,74.0,79.0,75.0,475,465,505,529,464,305.0,243.0,246.0,235.0,219.0,149.0,110.0,99.0,84.0,78.0,417,405,420,395,408,38.0,43.0,44.0,45.0,41.0,362,351.0,336,341,271,,,,,,123.0,167.0,168.0,172.0,160.0,1109.0,1094.0,1110.0,1096.0,856.0,2304,2288,2193,2256,2192,145.0,125.0,127.0,160.0,131.0,977,1008,1062,1126,1167,481,491,470,481,428,,,,,,5.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,78,77,79,80,80,25.0,23.0,23.0,22.0,22.0,9.0,10.0,10.0,8.0,9.0,44,44,45,43,41,17.0,17.0,17.0,15.0,15.0,61,60.0,57,57,54,,,,,,28.0,25.0,27.0,30.0,30.0,9.0,9.0,9.0,8.0,9.0,109,104,114,116,116,22.0,20.0,19.0,15.0,16.0,77,78,75,79,83,128,130,127,130,123,,,,,,2303.01,2303.0,2302.95,2303.17,2302.95,40.34,40.34,40.34,40.34,40.34,-78.03,-78.03,-78.03,-78.03,-78.03,201.0,166.0,140.0,95.0,263.0,0.0,5513.0,3799.0,3438.0,2423.0,5516.0,5837.0,5912.0,6483.0,7006.0,22547,23097,24190,23844,24399,15160.0,11790.0,11859.0,10876.0,10767.0,3751.0,3018.0,2096.0,1631.0,1870.0,19393,21382,21601,21945,23298,1282.0,1448.0,1545.0,1337.0,1539.0,12051,12045.0,13355,14562,9519,,,,,,4398.0,5124.0,5402.0,5897.0,6083.0,28365.0,28217.0,28270.0,25237.0,26543.0,82380,86288,85323,79758,85651,3213.0,3513.0,3250.0,3886.0,4071.0,14431,15584,17310,15045,19710,9778,9654,9835,8746,9559,,,,,,0.04,0.04,0.04,0.09,0.09,46,45,45,45,44,3.14,3.29,3.6,2.39,2.26
1.0,42125,Washington County,37.0,43.0,37.0,22.0,21.0,4244.0,3468.0,3533.0,3431.0,2432.0,631.0,739.0,653.0,642.0,1489.0,10659,10543,11527,10504,9647,4493.0,4626.0,4626.0,4209.0,4317.0,2013.0,2134.0,2459.0,2598.0,2932.0,1640,1652,1624,1733,1811,1329.0,1469.0,1567.0,1429.0,1264.0,4181,4084.0,3697,3636,3656,3666.0,3909.0,3754.0,3074.0,2912.0,4582.0,4419.0,4453.0,3964.0,3712.0,809.0,814.0,871.0,848.0,868.0,14509,14641,14678,15018,15112,2292.0,2386.0,2375.0,2362.0,1581.0,6984,6733,6673,6356,5578,3383,3418,3467,3582,3240,7.0,,19.0,28.0,4.0,11.0,11.0,10.0,8.0,12.0,65.0,64.0,72.0,77.0,72.0,35.0,35.0,31.0,30.0,31.0,587,602,606,597,600,275.0,263.0,254.0,246.0,246.0,75.0,76.0,76.0,78.0,80.0,271,277,278,274,269,171.0,181.0,183.0,182.0,188.0,462,465.0,446,458,477,55.0,51.0,44.0,41.0,40.0,275.0,265.0,267.0,270.0,275.0,44.0,44.0,45.0,49.0,52.0,733,720,729,734,740,90.0,93.0,91.0,93.0,93.0,423,432,425,421,410,633,616,618,630,632,5.0,,6.0,6.0,4.0,2229.72,2229.71,2229.64,2229.53,2229.41,30.22,30.22,30.22,30.22,30.22,-96.39,-96.39,-96.39,-96.39,-96.39,952.0,983.0,935.0,436.0,503.0,437265.0,355653.0,384121.0,319825.0,313995.0,54690.0,66605.0,60290.0,61726.0,202990.0,674073,733151,740561,675933,699424,274237.0,299005.0,315688.0,287562.0,324689.0,290225.0,339202.0,370838.0,465411.0,506466.0,113602,128764,128423,156772,171249,80721.0,102948.0,97704.0,84929.0,89920.0,315379,307389.0,277792,263393,291419,466374.0,525201.0,486943.0,467444.0,515619.0,189645.0,198044.0,233097.0,218578.0,224092.0,26726.0,27944.0,30072.0,30201.0,32118.0,605959,626289,639159,652096,691222,72250.0,76699.0,68951.0,64283.0,58314.0,96760,102764,102888,87936,101225,89676,95185,98944,95740,103232,749.0,,1190.0,1353.0,90.0,0.58,0.59,0.54,0.57,0.66,208,208,207,207,209,2.25,2.17,2.18,2.13,2.12
1.0,42101,Philadelphia County,10.0,18.0,7.0,8.0,19.0,,,86.0,,,1673.0,1629.0,1532.0,1575.0,1550.0,11966,11634,12109,11960,11346,16435.0,16477.0,16482.0,16155.0,15166.0,17478.0,18573.0,20142.0,20898.0,23076.0,31021,31506,35116,31823,29475,10085.0,10026.0,10146.0,10875.0,9722.0,51169,50859.0,52554,55512,54829,14875.0,13482.0,13928.0,15237.0,14914.0,24331.0,26516.0,26967.0,25951.0,25381.0,87116.0,88013.0,91887.0,97646.0,81574.0,153934,166325,172413,170229,172347,25648.0,24108.0,24230.0,26794.0,21088.0,61574,59707,62992,64975,42930,29419,27709,27932,28528,23628,85.0,34.0,50.0,37.0,60.0,5.0,3.0,3.0,4.0,6.0,,,3.0,,,11.0,16.0,20.0,19.0,20.0,1376,1434,1559,1651,1748,1007.0,994.0,971.0,944.0,947.0,558.0,574.0,584.0,589.0,601.0,1295,1308,1312,1332,1346,1259.0,1283.0,1329.0,1443.0,1497.0,2996,3020.0,3058,3135,3205,169.0,161.0,160.0,158.0,155.0,1111.0,1085.0,1102.0,1112.0,1184.0,531.0,547.0,560.0,578.0,597.0,3966,4036,4113,4203,4367,450.0,468.0,511.0,520.0,547.0,3956,4015,4070,3930,3913,3494,3529,3605,3577,3634,26.0,31.0,32.0,38.0,37.0,369.66,369.69,369.68,369.66,369.7,40.01,40.01,40.01,40.01,40.01,-75.13,-75.13,-75.13,-75.13,-75.13,205.0,168.0,143.0,301.0,855.0,,,13699.0,,,204014.0,204514.0,202274.0,215376.0,204950.0,919524,951720,946888,938414,985872,1094886.0,1140104.0,1154721.0,1094330.0,1206401.0,2369337.0,2511610.0,3065704.0,3123107.0,2988342.0,3863541,3912605,3937961,4005717,4030741,582655.0,603719.0,637921.0,666335.0,746583.0,4994685,5346198.0,5825407,6141391,6757361,1431147.0,1298677.0,1456622.0,1434674.0,1575129.0,928073.0,1035619.0,1114081.0,1005673.0,1184858.0,4759137.0,4994173.0,5298326.0,5665837.0,5143458.0,8143720,8817584,9306344,9484367,10652284,1115749.0,1228711.0,1319945.0,1201414.0,1396720.0,1321173,1388604,1496356,1033926,1293329,1042891,1014116,1060591,1015252,1051021,1109.0,1453.0,1396.0,1486.0,3463.0,64.33,64.38,64.15,64.84,64.46,1570,1576,1579,1582,1597,9.31,9.32,9.36,9.31,9.37
0.0,42133,York County,11.0,13.0,14.0,23.0,14.0,256.0,240.0,238.0,255.0,247.0,1560.0,1557.0,1536.0,1596.0,1614.0,10038,10149,10426,10845,10566,10130.0,10313.0,10196.0,9469.0,8924.0,2016.0,1977.0,1809.0,1252.0,988.0,4837,4898,4837,4769,4628,1833.0,1636.0,1556.0,1599.0,1618.0,6260,6245.0,6265,6579,6456,4541.0,4428.0,4097.0,3909.0,3943.0,8927.0,9443.0,9950.0,8505.0,9137.0,3228.0,3208.0,3119.0,3283.0,2753.0,27034,27395,25893,25906,25090,3265.0,3165.0,3093.0,2778.0,2271.0,14376,14466,14342,14511,12749,8100,7936,8023,8167,7682,,12.0,17.0,14.0,2.0,10.0,10.0,12.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,31.0,34.0,34.0,33.0,31.0,839,860,869,874,894,399.0,391.0,383.0,375.0,377.0,135.0,130.0,133.0,130.0,136.0,512,492,489,476,469,288.0,290.0,292.0,293.0,314.0,707,702.0,699,689,702,83.0,82.0,78.0,74.0,75.0,471.0,471.0,480.0,474.0,495.0,88.0,86.0,85.0,82.0,78.0,994,969,957,939,975,145.0,153.0,153.0,148.0,140.0,782,778,773,754,762,1203,1193,1207,1202,1206,,7.0,8.0,6.0,3.0,2358.57,2358.54,2358.5,2358.51,2358.54,39.97,39.97,39.97,39.97,39.97,-76.74,-76.74,-76.74,-76.74,-76.74,318.0,288.0,347.0,457.0,552.0,13889.0,14175.0,14341.0,15687.0,17598.0,187646.0,188748.0,189191.0,195834.0,191656.0,601126,609971,669990,682422,745231,556875.0,608394.0,610910.0,555919.0,555542.0,86512.0,87545.0,88974.0,63543.0,60056.0,269589,278586,289800,306597,330930,79097.0,72790.0,69992.0,74160.0,87269.0,394129,390746.0,395789,419233,449598,440993.0,388896.0,370987.0,344257.0,352777.0,283946.0,308132.0,336047.0,310253.0,368975.0,88991.0,87695.0,88335.0,86284.0,84423.0,1271864,1320263,1350687,1373156,1516066,46355.0,49322.0,48235.0,39015.0,42816.0,207818,219096,223200,192925,226412,208378,217196,224245,212759,235035,,660.0,695.0,812.0,22.0,1.08,1.2,1.22,1.22,1.47,442,444,446,448,455,3.99,3.96,4.01,4.1,4.04
1.0,42063,Indiana County,12.0,13.0,15.0,18.0,15.0,966.0,1010.0,1054.0,861.0,696.0,1003.0,808.0,520.0,320.0,287.0,963,1068,1096,1143,1019,572.0,648.0,626.0,581.0,794.0,366.0,376.0,310.0,369.0,237.0,1294,1343,1291,1731,1648,147.0,141.0,169.0,174.0,124.0,852,871.0,875,835,730,392.0,370.0,361.0,408.0,376.0,713.0,713.0,711.0,643.0,710.0,191.0,212.0,210.0,180.0,172.0,4873,4872,4940,5030,4634,300.0,254.0,256.0,244.0,185.0,2671,2735,2735,2630,2203,1277,1267,1282,1251,1246,,,,,,5.0,6.0,6.0,6.0,6.0,64.0,56.0,53.0,52.0,48.0,24.0,20.0,17.0,15.0,14.0,159,157,162,150,156,66.0,62.0,60.0,58.0,58.0,24.0,24.0,23.0,24.0,22.0,91,93,100,97,91,48.0,48.0,52.0,47.0,45.0,117,128.0,118,118,127,10.0,9.0,8.0,9.0,10.0,71.0,71.0,76.0,72.0,72.0,16.0,17.0,14.0,16.0,16.0,263,258,269,268,263,23.0,22.0,21.0,20.0,19.0,146,151,157,147,151,259,247,256,242,241,,,,,,2161.02,2161.0,2161.01,2161.18,2161.15,40.64,40.64,40.64,40.64,40.64,-79.13,-79.13,-79.13,-79.13,-79.13,404.0,550.0,567.0,713.0,639.0,60901.0,64684.0,66763.0,57320.0,52141.0,101404.0,97540.0,68173.0,35988.0,34703.0,48314,59240,65684,58913,60132,32081.0,35910.0,35644.0,33804.0,50519.0,16136.0,15671.0,13801.0,14981.0,12404.0,79935,89271,91113,143271,145962,3846.0,4073.0,4909.0,5067.0,5068.0,35366,36128.0,36613,35191,29239,21586.0,23698.0,23653.0,24348.0,25405.0,27552.0,27694.0,31098.0,28784.0,31798.0,4799.0,6152.0,5715.0,4897.0,5094.0,180053,197593,202397,197185,206234,4217.0,4280.0,4378.0,3520.0,3932.0,36585,39314,39981,31952,38294,36625,38581,41888,37006,44225,,,,,,0.15,0.15,0.15,0.22,0.25,87,86,85,84,84,4.17,4.15,4.15,2.73,2.68
