target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,46003,Aurora County,,,,17.0,,,,,,,,,,,,25.0,18.0,26.0,32.0,32.0,36.0,35.0,38.0,41.0,40.0,,,,,,47.0,40.0,26.0,27.0,28.0,,,,,,74.0,72.0,77.0,114.0,118.0,,,,,,,,,,,,,,,,190.0,207.0,204.0,169.0,153.0,,,,,,27.0,35.0,36.0,30.0,32.0,33.0,39.0,31.0,31.0,28.0,,,,,,,,3.0,,,,,,,,,,,,11.0,13.0,12.0,12.0,13.0,6.0,5.0,5.0,5.0,5.0,,,,,,7.0,8.0,7.0,6.0,6.0,,,,,,6.0,6.0,6.0,6.0,5.0,,,,,,,,,,,,,,,,8.0,9.0,8.0,9.0,9.0,,,,,,9.0,11.0,10.0,8.0,8.0,8.0,9.0,9.0,8.0,6.0,,,,,1845.9,1845.97,1846.04,1845.99,1846.07,43.7,43.7,43.7,43.7,43.7,-98.57,-98.57,-98.57,-98.57,-98.57,,,,746.0,,,,,,,,,,,,1108.0,1149.0,1279.0,1628.0,1774.0,1712.0,1664.0,1727.0,1717.0,1909.0,,,,,,2855.0,2951.0,1852.0,2004.0,2200.0,,,,,,2590.0,2796.0,2497.0,3487.0,3987.0,,,,,,,,,,,,,,,,6751.0,7024.0,6561.0,5876.0,5264.0,,,,,,282.0,273.0,325.0,302.0,377.0,1028.0,1071.0,1104.0,1057.0,1013.0,,,,,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0
0.0,46051,Grant County,,,,,14.0,0.0,15.0,17.0,22.0,19.0,149.0,149.0,152.0,152.0,148.0,148.0,158.0,170.0,194.0,196.0,119.0,114.0,111.0,113.0,109.0,65.0,69.0,50.0,37.0,31.0,113.0,162.0,173.0,170.0,155.0,9.0,8.0,10.0,10.0,11.0,46.0,42.0,41.0,47.0,46.0,,,,,,144.0,110.0,99.0,96.0,74.0,,,,,,603.0,553.0,609.0,700.0,728.0,46.0,58.0,63.0,41.0,42.0,247.0,245.0,230.0,232.0,209.0,153.0,159.0,143.0,128.0,125.0,,,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,7.0,7.0,35.0,38.0,35.0,35.0,38.0,13.0,11.0,11.0,11.0,11.0,7.0,7.0,6.0,6.0,6.0,17.0,18.0,19.0,20.0,19.0,6.0,7.0,7.0,7.0,9.0,14.0,15.0,17.0,16.0,15.0,,,,,,14.0,12.0,12.0,10.0,8.0,,,,,,25.0,21.0,22.0,22.0,23.0,8.0,8.0,9.0,9.0,8.0,27.0,26.0,24.0,23.0,24.0,33.0,35.0,33.0,33.0,33.0,,,,,1780.78,1780.89,1780.9,1780.8,1780.9,45.94,45.94,45.94,45.94,45.94,-96.03,-96.03,-96.03,-96.03,-96.03,,,,,442.0,0.0,703.0,652.0,970.0,1020.0,12523.0,12869.0,13328.0,13729.0,14822.0,10380.0,12527.0,11978.0,13666.0,14326.0,6324.0,6656.0,6965.0,7348.0,8211.0,1493.0,1551.0,1313.0,1064.0,1235.0,5464.0,7319.0,8568.0,8218.0,7589.0,243.0,217.0,230.0,259.0,285.0,1354.0,1270.0,1303.0,1574.0,1543.0,,,,,,5272.0,5218.0,5287.0,4913.0,4324.0,,,,,,28562.0,29259.0,27236.0,30053.0,32510.0,1190.0,1335.0,1442.0,1222.0,1138.0,2718.0,2546.0,2731.0,2548.0,2744.0,3399.0,3439.0,3287.0,3011.0,3117.0,,,,,0.0,0.0,0.0,0.0,0.0,7,7,7,7,8,0.0,0.0,0.0,0.0,0.0
1.0,46053,Gregory County,6.0,12.0,7.0,2.0,3.0,,,,,,,,,,,67.0,68.0,51.0,54.0,54.0,56.0,45.0,43.0,41.0,41.0,,,5.0,7.0,7.0,69.0,65.0,66.0,68.0,64.0,12.0,7.0,9.0,10.0,,37.0,55.0,45.0,40.0,39.0,,,,,,,,,,,,,,,,247.0,269.0,278.0,309.0,300.0,25.0,25.0,24.0,14.0,22.0,105.0,119.0,86.0,92.0,105.0,54.0,59.0,54.0,49.0,53.0,,,,,4.0,4.0,4.0,3.0,4.0,,,,,,,,,,,24.0,26.0,23.0,20.0,21.0,8.0,8.0,8.0,6.0,6.0,,,3.0,3.0,3.0,11.0,10.0,10.0,9.0,9.0,3.0,3.0,3.0,3.0,,11.0,10.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,16.0,17.0,18.0,16.0,16.0,6.0,7.0,7.0,7.0,8.0,20.0,19.0,19.0,22.0,18.0,25.0,22.0,24.0,24.0,23.0,,,,,2728.32,2728.28,2728.32,2728.24,2728.27,43.17,43.17,43.17,43.17,43.17,-99.17,-99.17,-99.17,-99.17,-99.17,85.0,76.0,65.0,54.0,172.0,,,,,,,,,,,2018.0,1944.0,1836.0,2335.0,1968.0,1049.0,1025.0,523.0,341.0,441.0,,,115.0,204.0,212.0,3513.0,3350.0,3572.0,3652.0,3851.0,239.0,358.0,315.0,340.0,,1139.0,1184.0,1201.0,1306.0,1499.0,,,,,,,,,,,,,,,,8119.0,8936.0,9211.0,12357.0,13802.0,695.0,852.0,877.0,845.0,1034.0,1278.0,1254.0,1383.0,1278.0,1471.0,1157.0,1190.0,1023.0,1063.0,1202.0,,,,,0.0,0.0,0.0,0.0,0.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
1.0,46123,Tripp County,,,,,,,,,,,,,,,,69.0,68.0,73.0,68.0,68.0,150.0,158.0,178.0,139.0,130.0,0.0,25.0,31.0,31.0,31.0,70.0,64.0,68.0,65.0,73.0,,,3.0,4.0,2.0,52.0,62.0,67.0,81.0,61.0,,,,,,22.0,28.0,18.0,28.0,32.0,,,,,,468.0,435.0,456.0,453.0,413.0,0.0,2.0,2.0,,,159.0,202.0,252.0,209.0,204.0,96.0,83.0,75.0,62.0,86.0,,,,,,,,,,,,,,,,,,,,10.0,12.0,14.0,12.0,14.0,12.0,14.0,13.0,9.0,8.0,4.0,4.0,5.0,4.0,5.0,13.0,13.0,12.0,11.0,12.0,,,4.0,3.0,3.0,12.0,12.0,13.0,11.0,11.0,,,,,,4.0,4.0,3.0,4.0,4.0,,,,,,25.0,25.0,26.0,29.0,29.0,3.0,3.0,3.0,,,23.0,22.0,24.0,21.0,21.0,22.0,20.0,19.0,19.0,22.0,,,,,4188.72,4188.76,4188.76,4188.77,4188.75,43.32,43.32,43.32,43.32,43.32,-99.89,-99.89,-99.89,-99.89,-99.89,,,,,,,,,,,,,,,,2957.0,2887.0,3105.0,3581.0,3398.0,8284.0,8995.0,8069.0,7892.0,8214.0,0.0,1416.0,1217.0,1230.0,1365.0,2823.0,2633.0,2766.0,2711.0,3874.0,,,107.0,70.0,64.0,2363.0,2982.0,2986.0,2729.0,3211.0,,,,,,512.0,483.0,459.0,465.0,400.0,,,,,,16754.0,14430.0,15144.0,15697.0,16755.0,0.0,95.0,97.0,,,2495.0,2747.0,3214.0,2981.0,3209.0,1679.0,1529.0,1539.0,1617.0,1782.0,,,,,0.0,0.0,0.0,0.0,0.0,5,5,5,5,6,0.0,0.0,0.0,0.0,0.0
1.0,46085,Lyman County,,,,,,,,,,,,,,,,26.0,33.0,15.0,18.0,18.0,53.0,50.0,60.0,50.0,54.0,,,,,,29.0,30.0,32.0,34.0,30.0,,,,,2.0,0.0,5.0,,,8.0,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,206.0,180.0,179.0,167.0,153.0,12.0,11.0,10.0,11.0,21.0,,,,,,,,,,,,,,,,,,,,10.0,11.0,9.0,11.0,10.0,5.0,5.0,4.0,5.0,5.0,,,,,,9.0,8.0,8.0,8.0,8.0,,,,,3.0,3.0,4.0,,,3.0,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,15.0,13.0,15.0,13.0,16.0,6.0,5.0,5.0,6.0,8.0,,,,,4420.44,4420.38,4420.38,4420.62,4420.42,43.92,43.92,43.92,43.92,43.92,-99.86,-99.86,-99.86,-99.86,-99.86,,,,,,,,,,,,,,,,794.0,954.0,687.0,760.0,814.0,1909.0,1691.0,2029.0,1951.0,2169.0,,,,,,916.0,1067.0,1287.0,1375.0,1364.0,,,,,89.0,0.0,85.0,,,177.0,,,,,,,,120.0,118.0,,,,,,,,,,,,,,,,,3894.0,3764.0,3993.0,2897.0,3885.0,211.0,205.0,228.0,228.0,367.0,,,,,0.0,0.0,0.0,0.0,0.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
1.0,46137,Ziebach County,,,,,,,,,,,,,,,,3.0,8.0,0.0,8.0,,24.0,22.0,24.0,24.0,25.0,,,,,,26.0,27.0,27.0,27.0,27.0,,3.0,4.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,80.0,77.0,80.0,69.0,82.0,,,,,,48.0,72.0,74.0,69.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,3.0,4.0,,4.0,4.0,4.0,4.0,4.0,,,,,,4.0,4.0,4.0,5.0,4.0,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,9.0,9.0,9.0,9.0,9.0,,,,,,4.0,5.0,5.0,4.0,4.0,,,,,,,,,,5103.93,5103.92,5104.32,5104.46,5104.36,44.92,44.92,44.92,44.92,44.92,-101.71,-101.71,-101.71,-101.71,-101.71,,,,,,,,,,,,,,,,149.0,199.0,90.0,198.0,,890.0,917.0,891.0,944.0,1066.0,,,,,,1384.0,1267.0,1409.0,1500.0,2445.0,,71.0,66.0,68.0,72.0,,,,,,,,,,,,,,,,,,,,,3106.0,3121.0,3238.0,3898.0,3471.0,,,,,,774.0,1090.0,1020.0,868.0,958.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3,3,3,3,2,0.0,0.0,0.0,0.0,0.0
1.0,46039,Deuel County,,,,,,,,,,,29.0,31.0,31.0,30.0,27.0,125.0,94.0,57.0,124.0,99.0,61.0,57.0,66.0,67.0,64.0,0.0,59.0,57.0,51.0,51.0,41.0,43.0,40.0,40.0,34.0,,5.0,,,,24.0,23.0,22.0,21.0,30.0,,,,,,2.0,4.0,2.0,2.0,5.0,,,,,,173.0,159.0,139.0,146.0,148.0,10.0,7.0,9.0,8.0,3.0,45.0,49.0,40.0,51.0,70.0,47.0,48.0,36.0,44.0,57.0,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,31.0,29.0,31.0,32.0,28.0,8.0,7.0,6.0,6.0,8.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,8.0,,3.0,,,,7.0,7.0,7.0,7.0,9.0,,,,,,4.0,4.0,4.0,5.0,4.0,,,,,,6.0,6.0,5.0,6.0,7.0,3.0,3.0,5.0,3.0,5.0,9.0,8.0,7.0,7.0,8.0,16.0,15.0,15.0,13.0,14.0,,,,,1648.4,1648.28,1648.26,1648.34,1648.26,41.11,41.11,41.11,41.11,41.11,-102.33,-102.33,-102.33,-102.33,-102.33,,,,,,,,,,,1874.0,1915.0,2047.0,2109.0,2127.0,8179.0,7760.0,7107.0,8622.0,8326.0,2862.0,3058.0,3014.0,3234.0,5120.0,0.0,3708.0,3840.0,2888.0,3536.0,2490.0,2650.0,2646.0,2614.0,3725.0,,23.0,,,,939.0,860.0,819.0,883.0,930.0,,,,,,104.0,59.0,104.0,130.0,212.0,,,,,,5806.0,5646.0,5639.0,6127.0,6659.0,116.0,112.0,128.0,41.0,110.0,499.0,391.0,430.0,565.0,680.0,747.0,829.0,912.0,1000.0,1270.0,,,,,0.0,0.0,0.0,0.0,0.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
1.0,46115,Spink County,,,,,,,,,,,,,,,,56.0,51.0,49.0,54.0,56.0,197.0,253.0,187.0,256.0,265.0,0.0,9.0,,,7.0,70.0,94.0,96.0,97.0,78.0,0.0,5.0,4.0,3.0,4.0,35.0,36.0,28.0,37.0,37.0,,,,,,0.0,7.0,6.0,5.0,11.0,,,,,,296.0,230.0,235.0,285.0,282.0,0.0,7.0,13.0,19.0,16.0,130.0,136.0,123.0,101.0,97.0,79.0,88.0,87.0,80.0,77.0,,,,,,,,,,,,,,,,,,,,18.0,15.0,15.0,17.0,16.0,20.0,21.0,17.0,21.0,21.0,3.0,3.0,,,3.0,19.0,18.0,18.0,19.0,17.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,,,,,,3.0,3.0,3.0,4.0,5.0,,,,,,16.0,14.0,16.0,16.0,20.0,3.0,4.0,5.0,5.0,6.0,18.0,18.0,17.0,14.0,14.0,26.0,26.0,26.0,23.0,23.0,,,,,3910.5,3910.5,3910.53,3910.42,3910.49,44.94,44.94,44.94,44.94,44.94,-98.37,-98.37,-98.37,-98.37,-98.37,,,,,,,,,,,,,,,,2806.0,2503.0,2184.0,2544.0,2740.0,13387.0,16272.0,12275.0,16170.0,18661.0,0.0,135.0,,,145.0,3200.0,5067.0,5451.0,8397.0,4021.0,0.0,141.0,148.0,151.0,141.0,1725.0,1778.0,1762.0,1782.0,1860.0,,,,,,0.0,225.0,231.0,260.0,335.0,,,,,,8398.0,7951.0,9193.0,9536.0,10124.0,0.0,147.0,188.0,242.0,189.0,1899.0,1719.0,1623.0,1603.0,1878.0,1799.0,1906.0,1974.0,2180.0,2333.0,,,,,0.0,0.0,0.0,0.0,0.0,6,7,6,6,6,0.0,0.0,0.0,0.0,0.0
1.0,46009,Bon Homme County,,,,,,,,,,,,,,,,43.0,31.0,27.0,39.0,44.0,127.0,110.0,101.0,108.0,103.0,0.0,12.0,13.0,9.0,8.0,62.0,66.0,62.0,61.0,65.0,9.0,11.0,9.0,9.0,8.0,25.0,31.0,24.0,25.0,18.0,,,,,,15.0,9.0,8.0,10.0,8.0,,,,,,296.0,321.0,311.0,373.0,360.0,12.0,10.0,8.0,6.0,9.0,43.0,40.0,51.0,64.0,38.0,51.0,59.0,62.0,49.0,43.0,,,,,,,,,,,,,,,,,,,,12.0,10.0,10.0,11.0,13.0,14.0,14.0,13.0,14.0,14.0,3.0,3.0,4.0,4.0,3.0,20.0,19.0,18.0,19.0,18.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,7.0,6.0,6.0,,,,,,7.0,7.0,6.0,5.0,5.0,,,,,,17.0,19.0,17.0,20.0,19.0,5.0,5.0,5.0,4.0,5.0,8.0,8.0,10.0,11.0,8.0,22.0,23.0,22.0,21.0,21.0,,,,,1506.29,1506.28,1506.28,1506.2,1506.32,43.01,43.01,43.01,43.01,43.01,-97.87,-97.87,-97.87,-97.87,-97.87,,,,,,,,,,,,,,,,1293.0,1486.0,1496.0,2020.0,2057.0,3685.0,3342.0,3613.0,3672.0,3877.0,0.0,632.0,408.0,312.0,285.0,2942.0,3008.0,2890.0,3298.0,3653.0,88.0,100.0,103.0,107.0,121.0,990.0,944.0,946.0,768.0,702.0,,,,,,296.0,253.0,235.0,237.0,306.0,,,,,,9202.0,9639.0,9536.0,12053.0,13185.0,234.0,222.0,226.0,233.0,229.0,444.0,471.0,569.0,556.0,520.0,971.0,1049.0,1114.0,1129.0,1260.0,,,,,0.0,0.0,0.0,0.0,0.0,7,7,7,7,7,0.0,0.0,0.0,0.0,0.0
1.0,46015,Brule County,4.0,3.0,2.0,2.0,,,,,,,,,,,,63.0,64.0,85.0,77.0,80.0,128.0,164.0,194.0,199.0,234.0,,30.0,32.0,34.0,30.0,76.0,74.0,73.0,73.0,57.0,,,,,,51.0,48.0,53.0,53.0,59.0,,,,,,47.0,50.0,49.0,53.0,190.0,,,,,,408.0,426.0,432.0,472.0,452.0,12.0,13.0,39.0,11.0,11.0,273.0,286.0,291.0,298.0,283.0,98.0,101.0,99.0,102.0,103.0,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,26.0,27.0,26.0,23.0,22.0,15.0,14.0,14.0,13.0,14.0,,3.0,3.0,3.0,4.0,15.0,15.0,14.0,14.0,14.0,,,,,,17.0,18.0,11.0,11.0,14.0,,,,,,7.0,7.0,7.0,8.0,8.0,,,,,,27.0,26.0,28.0,26.0,24.0,5.0,7.0,7.0,5.0,6.0,30.0,29.0,29.0,30.0,26.0,26.0,24.0,24.0,23.0,23.0,,,,,2192.34,2192.4,2192.34,2192.45,2192.31,43.68,43.68,43.68,43.68,43.68,-99.05,-99.05,-99.05,-99.05,-99.05,127.0,130.0,110.0,139.0,,,,,,,,,,,,2190.0,2121.0,2388.0,2534.0,2500.0,5845.0,6234.0,6283.0,6704.0,7614.0,,1716.0,1667.0,1801.0,1782.0,3693.0,3716.0,3733.0,3811.0,3358.0,,,,,,1231.0,1514.0,1458.0,1730.0,2006.0,,,,,,1912.0,2128.0,2084.0,3745.0,10173.0,,,,,,15389.0,16148.0,16817.0,16820.0,18296.0,244.0,838.0,1107.0,507.0,599.0,4305.0,4069.0,4465.0,4659.0,4694.0,2695.0,2621.0,2667.0,2764.0,2848.0,,,,,0.0,0.0,0.0,0.0,0.0,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0
