target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
0.0,49027,Millard County,,,,,,119.0,118.0,114.0,123.0,111.0,0.0,456.0,417.0,409.0,404.0,52.0,70.0,79.0,91.0,98.0,85.0,86.0,91.0,80.0,100.0,28.0,35.0,24.0,24.0,24.0,51.0,54.0,53.0,60.0,54.0,0.0,,,5.0,6.0,117.0,144.0,161.0,175.0,170.0,,,,,,85.0,89.0,123.0,116.0,143.0,,,,,,250.0,257.0,253.0,265.0,309.0,,,,3.0,3.0,285,463,395,408,451,54.0,55.0,53.0,49.0,55.0,,,,,,,,,,,7.0,6.0,6.0,5.0,6.0,4.0,4.0,4.0,4.0,3.0,25.0,26.0,30.0,31.0,30.0,14.0,13.0,15.0,15.0,15.0,5.0,5.0,5.0,5.0,5.0,13.0,14.0,15.0,15.0,13.0,3.0,,,3.0,4.0,13.0,15.0,13.0,15.0,17.0,,,,,,11.0,10.0,9.0,11.0,13.0,,,,,,22.0,23.0,22.0,25.0,24.0,,,,3.0,4.0,27,28,29,29,31,14.0,16.0,17.0,15.0,16.0,,,,,,17707.02,17705.77,17706.93,17708.57,17710.17,39.04,39.04,39.04,39.04,39.04,-113.09,-113.09,-113.09,-113.09,-113.09,,,,,,7462.0,9286.0,9078.0,9728.0,7966.0,0.0,50980.0,50272.0,49055.0,52249.0,1388.0,1889.0,3877.0,2590.0,3022.0,3553.0,4111.0,4301.0,3780.0,5229.0,560.0,576.0,563.0,532.0,511.0,2298.0,1955.0,1889.0,2328.0,1875.0,0.0,,,217.0,319.0,4288.0,6728.0,7573.0,7868.0,8076.0,,,,,,2156.0,2640.0,2876.0,3885.0,4963.0,,,,,,10017.0,9897.0,10725.0,11251.0,12560.0,,,,82.0,112.0,3909,6929,5332,5614,6190,1464.0,1403.0,1295.0,1374.0,1724.0,,,,,,0.0,0.0,0.0,0.0,0.0,13,13,13,13,13,0.0,0.0,0.0,0.0,0.0
1.0,49045,Tooele County,,,,,,44.0,38.0,38.0,72.0,76.0,0.0,21.0,25.0,23.0,24.0,729.0,794.0,795.0,971.0,1044.0,122.0,196.0,173.0,168.0,151.0,170.0,172.0,146.0,162.0,143.0,189.0,189.0,184.0,168.0,148.0,99.0,102.0,116.0,106.0,131.0,480.0,497.0,468.0,482.0,505.0,0.0,63.0,65.0,55.0,25.0,762.0,962.0,1087.0,949.0,1033.0,261.0,384.0,464.0,402.0,431.0,1390.0,1524.0,1535.0,1516.0,1688.0,92.0,195.0,198.0,225.0,195.0,1170,1323,1281,1345,1371,384.0,433.0,451.0,451.0,473.0,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,126.0,141.0,143.0,158.0,177.0,18.0,20.0,21.0,20.0,21.0,16.0,17.0,16.0,16.0,19.0,47.0,48.0,47.0,47.0,47.0,57.0,58.0,63.0,68.0,76.0,86.0,87.0,86.0,96.0,102.0,5.0,4.0,4.0,4.0,3.0,51.0,42.0,41.0,43.0,56.0,16.0,17.0,17.0,17.0,16.0,106.0,113.0,115.0,116.0,126.0,14.0,17.0,16.0,18.0,19.0,76,82,79,80,82,83.0,88.0,92.0,100.0,106.0,,,,,,18882.53,18882.52,18882.52,18875.92,18882.51,40.41,40.41,40.41,40.41,40.41,-113.2,-113.2,-113.2,-113.2,-113.2,,,,,,3206.0,3326.0,3550.0,5904.0,6287.0,0.0,1899.0,2217.0,2540.0,2537.0,30338.0,32758.0,38943.0,44088.0,49597.0,7336.0,7515.0,7321.0,8006.0,8072.0,5622.0,5540.0,5121.0,5529.0,5991.0,7870.0,8216.0,7775.0,7560.0,7270.0,3071.0,3606.0,3853.0,4081.0,5117.0,22034.0,25097.0,26284.0,27809.0,30021.0,0.0,3104.0,3118.0,3127.0,1777.0,36867.0,83558.0,75884.0,37433.0,42855.0,7741.0,10032.0,11131.0,11422.0,16056.0,53861.0,59244.0,60384.0,60747.0,71011.0,1797.0,4392.0,4510.0,4535.0,5220.0,16458,17483,17972,19490,22518,10248.0,11647.0,11803.0,11761.0,13155.0,,,,,,0.06,0.06,0.06,0.08,0.06,63,65,67,70,71,1.84,1.87,1.92,2.01,2.13
0.0,49025,Kane County,,,,,,,,9.0,,9.0,,,,,,114.0,121.0,127.0,141.0,162.0,3.0,3.0,,,2.0,25.0,21.0,22.0,26.0,16.0,104.0,82.0,76.0,75.0,64.0,31.0,31.0,29.0,33.0,59.0,38.0,41.0,40.0,48.0,63.0,,,,,,18.0,23.0,24.0,32.0,31.0,,,,,,262.0,270.0,265.0,234.0,250.0,50.0,64.0,63.0,85.0,147.0,1015,1265,1394,1421,1378,0.0,692.0,557.0,843.0,864.0,,,,,,,,,,,,,3.0,,3.0,,,,,,32.0,34.0,44.0,45.0,42.0,4.0,3.0,,,4.0,5.0,5.0,5.0,6.0,7.0,16.0,16.0,15.0,14.0,15.0,17.0,19.0,19.0,24.0,30.0,11.0,12.0,13.0,13.0,18.0,,,,,,9.0,8.0,9.0,12.0,14.0,,,,,,17.0,18.0,18.0,18.0,16.0,9.0,10.0,9.0,11.0,16.0,56,56,58,58,59,19.0,17.0,17.0,19.0,17.0,,,,,,10638.89,10638.85,10638.85,10640.4,10638.19,41.92,41.92,41.92,41.92,41.92,-88.42,-88.42,-88.42,-88.42,-88.42,,,,,,,,532.0,,672.0,,,,,,3369.0,4188.0,4708.0,5409.0,6675.0,77.0,26.0,,,150.0,428.0,553.0,606.0,587.0,570.0,3457.0,3176.0,3192.0,3234.0,3972.0,1235.0,1285.0,1164.0,1938.0,2404.0,1125.0,1367.0,1670.0,1972.0,2920.0,,,,,,407.0,525.0,558.0,990.0,961.0,,,,,,7873.0,8410.0,8535.0,9026.0,9603.0,1984.0,2146.0,2586.0,2567.0,4932.0,29210,37124,41858,38444,47906,0.0,32009.0,34871.0,41823.0,40475.0,,,,,,0.0,0.0,0.0,0.0,0.0,7,7,7,8,8,0.0,0.0,0.0,0.0,0.0
1.0,49053,Washington County,8.0,10.0,7.0,8.0,6.0,26.0,79.0,87.0,87.0,102.0,76.0,83.0,86.0,92.0,92.0,5798.0,6609.0,6702.0,7400.0,8500.0,1422.0,2008.0,2217.0,1810.0,1919.0,983.0,1228.0,1191.0,1044.0,865.0,1613.0,1390.0,1360.0,1439.0,1632.0,839.0,912.0,910.0,1077.0,1184.0,2544.0,2473.0,2633.0,2852.0,3203.0,160.0,169.0,156.0,83.0,53.0,2221.0,2509.0,2509.0,2343.0,2901.0,575.0,635.0,553.0,576.0,822.0,9014.0,9726.0,10550.0,10431.0,10565.0,979.0,1031.0,1133.0,1055.0,1297.0,7437,7774,8059,8566,9473,1430.0,1558.0,1755.0,1854.0,1868.0,,1.0,17.0,8.0,5.0,4.0,4.0,4.0,5.0,3.0,9.0,10.0,12.0,14.0,15.0,9.0,9.0,10.0,12.0,13.0,827.0,926.0,997.0,1064.0,1217.0,185.0,186.0,186.0,180.0,188.0,102.0,97.0,96.0,104.0,107.0,300.0,305.0,311.0,328.0,346.0,390.0,427.0,455.0,493.0,518.0,622.0,668.0,690.0,738.0,813.0,15.0,17.0,16.0,15.0,22.0,342.0,345.0,370.0,403.0,467.0,42.0,44.0,48.0,57.0,63.0,582.0,618.0,640.0,678.0,717.0,75.0,86.0,89.0,96.0,112.0,364,382,383,406,428,278.0,293.0,311.0,325.0,352.0,,3.0,6.0,11.0,6.0,6295.41,6295.41,6295.41,6294.68,6295.69,30.22,30.22,30.22,30.22,30.22,-96.39,-96.39,-96.39,-96.39,-96.39,244.0,238.0,235.0,241.0,238.0,1458.0,4747.0,5294.0,6552.0,5309.0,5980.0,6395.0,6663.0,7802.0,8521.0,227140.0,266137.0,286550.0,342964.0,412374.0,68254.0,86458.0,87246.0,87286.0,100570.0,52998.0,70739.0,73009.0,52120.0,56758.0,97322.0,78084.0,82474.0,111842.0,132158.0,25515.0,28610.0,30573.0,37837.0,45337.0,98955.0,110368.0,132136.0,151657.0,176237.0,8154.0,10473.0,9609.0,3411.0,2793.0,71269.0,78849.0,74658.0,79618.0,101629.0,14707.0,16087.0,16853.0,18257.0,27625.0,386561.0,422852.0,466780.0,471429.0,497951.0,19031.0,22825.0,25971.0,23606.0,30072.0,123453,139147,147933,146677,187644,38800.0,43254.0,47300.0,59623.0,59938.0,,22.0,356.0,121.0,171.0,0.2,0.24,0.18,0.21,0.24,156,161,166,172,177,2.05,2.04,2.13,2.49,2.47
1.0,49001,Beaver County,,,,,,83.0,94.0,,,,0.0,35.0,33.0,31.0,31.0,72.0,121.0,145.0,154.0,139.0,0.0,1.0,2.0,59.0,21.0,,,,,,32.0,37.0,34.0,38.0,34.0,,,1.0,1.0,3.0,14.0,14.0,18.0,20.0,17.0,,,,,,48.0,39.0,37.0,39.0,41.0,,,,,,274.0,274.0,270.0,266.0,281.0,,,,77.0,118.0,256,274,262,315,378,35.0,37.0,45.0,52.0,53.0,,,,,,,,,,,3.0,3.0,,,,3.0,3.0,3.0,3.0,3.0,20.0,23.0,24.0,24.0,28.0,3.0,3.0,4.0,4.0,4.0,,,,,,8.0,8.0,7.0,7.0,7.0,,,3.0,4.0,3.0,7.0,7.0,9.0,8.0,6.0,,,,,,9.0,8.0,8.0,11.0,11.0,,,,,,20.0,20.0,20.0,21.0,22.0,,,,4.0,4.0,28,29,27,32,34,11.0,10.0,13.0,13.0,13.0,,,,,,6701.52,6702.68,6701.52,6697.16,6701.52,40.69,40.69,40.69,40.69,40.69,-80.37,-80.37,-80.37,-80.37,-80.37,,,,,,4560.0,6416.0,,,,0.0,3131.0,3370.0,3397.0,3386.0,2831.0,4356.0,4987.0,5994.0,6142.0,0.0,87.0,150.0,3133.0,362.0,,,,,,1566.0,1579.0,1782.0,1946.0,1974.0,,,110.0,43.0,74.0,381.0,424.0,564.0,503.0,430.0,,,,,,1317.0,1184.0,1251.0,1601.0,2076.0,,,,,,11639.0,11938.0,12199.0,12669.0,13370.0,,,,1366.0,1771.0,4041,4268,4327,5099,7124,1004.0,1109.0,1199.0,1482.0,1540.0,,,,,,0.0,0.0,0.0,0.0,0.0,6,6,7,7,7,0.0,0.0,0.0,0.0,0.0
1.0,49043,Summit County,41.0,33.0,25.0,24.0,29.0,105.0,106.0,101.0,103.0,106.0,48.0,50.0,47.0,45.0,43.0,1261.0,1417.0,1561.0,1654.0,2457.0,410.0,510.0,572.0,610.0,679.0,319.0,367.0,419.0,418.0,398.0,1308.0,1139.0,1324.0,1150.0,541.0,1350.0,1523.0,1404.0,1456.0,1505.0,1103.0,1136.0,1127.0,1165.0,1299.0,406.0,438.0,455.0,480.0,469.0,896.0,837.0,919.0,968.0,735.0,418.0,449.0,522.0,434.0,425.0,1521.0,1513.0,1499.0,1577.0,1580.0,4665.0,4603.0,4589.0,5891.0,4980.0,7624,7884,7747,7853,6631,1206.0,1257.0,1321.0,1315.0,1226.0,,7.0,3.0,2.0,,4.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,6.0,5.0,6.0,6.0,6.0,7.0,9.0,302.0,315.0,344.0,344.0,346.0,64.0,63.0,66.0,70.0,72.0,43.0,45.0,53.0,52.0,56.0,106.0,109.0,111.0,116.0,122.0,320.0,325.0,327.0,349.0,372.0,384.0,403.0,405.0,419.0,461.0,18.0,16.0,17.0,17.0,17.0,132.0,142.0,147.0,153.0,166.0,35.0,37.0,37.0,35.0,36.0,161.0,156.0,150.0,174.0,178.0,72.0,73.0,72.0,73.0,76.0,208,215,209,213,220,132.0,138.0,136.0,141.0,142.0,,3.0,3.0,4.0,,4873.59,4873.6,4873.58,4873.42,4873.62,41.15,41.15,41.15,41.15,41.15,-81.53,-81.53,-81.53,-81.53,-81.53,1390.0,1308.0,1147.0,1238.0,1194.0,7587.0,8180.0,7590.0,8861.0,9406.0,4462.0,4345.0,4540.0,4855.0,4615.0,70926.0,79450.0,88728.0,101789.0,145913.0,46765.0,50846.0,52040.0,62573.0,70189.0,17515.0,22714.0,25897.0,31874.0,34904.0,119136.0,123303.0,147731.0,132622.0,84598.0,55419.0,68517.0,67233.0,76553.0,105200.0,76709.0,78567.0,87868.0,96005.0,120123.0,41954.0,33207.0,37016.0,33388.0,53104.0,33138.0,30908.0,33595.0,35095.0,37425.0,11790.0,13158.0,13219.0,10982.0,11765.0,67740.0,69240.0,74238.0,77881.0,86154.0,91331.0,97566.0,105485.0,111834.0,116658.0,199879,211065,215724,198774,224457,40459.0,42489.0,45202.0,46995.0,51481.0,,292.0,93.0,49.0,,0.02,0.02,0.02,0.02,0.02,40,41,41,42,42,1.98,2.36,2.89,2.89,2.55
0.0,49019,Grand County,,,,,,8.0,11.0,13.0,11.0,8.0,,,,,,256.0,287.0,248.0,267.0,280.0,101.0,98.0,119.0,117.0,122.0,108.0,111.0,99.0,105.0,97.0,70.0,83.0,76.0,73.0,74.0,123.0,139.0,204.0,174.0,215.0,143.0,144.0,172.0,165.0,114.0,25.0,24.0,21.0,18.0,16.0,137.0,185.0,133.0,175.0,239.0,67.0,61.0,56.0,58.0,60.0,384.0,391.0,416.0,437.0,468.0,168.0,190.0,164.0,170.0,172.0,1780,1840,1839,1918,2131,84.0,63.0,75.0,61.0,63.0,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,,,,,,53.0,57.0,57.0,54.0,63.0,11.0,12.0,12.0,13.0,13.0,11.0,12.0,12.0,11.0,13.0,14.0,15.0,14.0,13.0,15.0,33.0,40.0,49.0,48.0,49.0,27.0,30.0,33.0,42.0,43.0,3.0,3.0,3.0,3.0,3.0,19.0,20.0,23.0,21.0,26.0,9.0,8.0,6.0,6.0,8.0,24.0,21.0,23.0,24.0,26.0,28.0,27.0,28.0,31.0,27.0,93,102,105,97,108,27.0,25.0,28.0,27.0,34.0,,,,,,9543.99,9543.99,9543.98,9544.89,9544.17,40.1,40.1,40.1,40.1,40.1,-106.14,-106.14,-106.14,-106.14,-106.14,,,,,,474.0,617.0,565.0,564.0,609.0,,,,,,10232.0,11054.0,10265.0,11097.0,11236.0,3379.0,3542.0,3814.0,3649.0,4258.0,3532.0,3592.0,3615.0,3767.0,3972.0,4695.0,3470.0,5211.0,4196.0,5085.0,3521.0,4612.0,5375.0,5540.0,8274.0,6658.0,6801.0,8848.0,9248.0,6412.0,1314.0,2589.0,1324.0,831.0,866.0,5064.0,4997.0,4936.0,5481.0,10779.0,1420.0,1429.0,1525.0,1316.0,1767.0,17393.0,19000.0,20868.0,24157.0,26037.0,4733.0,5468.0,5671.0,4644.0,7028.0,39063,43401,49311,42974,61240,2164.0,1772.0,2068.0,2005.0,2554.0,,,,,,0.0,0.0,0.0,0.0,0.0,10,10,10,10,10,0.0,0.0,0.0,0.0,0.0
1.0,49033,Rich County,,,,,,,,,,,,,,,,55.0,44.0,42.0,82.0,104.0,9.0,11.0,9.0,30.0,,,,,,6.0,,,,,,36.0,46.0,52.0,48.0,51.0,14.0,18.0,33.0,21.0,35.0,,,,,,27.0,24.0,23.0,28.0,35.0,,,,,,,,,261.0,30.0,0.0,2.0,4.0,8.0,7.0,94,112,95,98,119,24.0,29.0,24.0,30.0,43.0,,,,,,,,,,,,,,,,,,,,,12.0,10.0,9.0,15.0,17.0,3.0,3.0,3.0,3.0,,,,,,3.0,,,,,,12.0,15.0,13.0,12.0,12.0,10.0,10.0,10.0,9.0,10.0,,,,,,8.0,8.0,11.0,9.0,9.0,,,,,,,,,3.0,3.0,3.0,3.0,3.0,4.0,4.0,18,18,21,21,23,5.0,4.0,5.0,4.0,5.0,,,,,,2814.3,2814.39,2814.39,2814.2,2814.4,41.66,41.66,41.66,41.66,41.66,-111.21,-111.21,-111.21,-111.21,-111.21,,,,,,,,,,,,,,,,1693.0,2098.0,2041.0,3268.0,4400.0,330.0,365.0,733.0,2364.0,,,,,,149.0,,,,,,2229.0,2795.0,2597.0,3039.0,4142.0,567.0,857.0,1228.0,846.0,3076.0,,,,,,880.0,934.0,750.0,815.0,1100.0,,,,,,,,,9841.0,678.0,0.0,244.0,334.0,606.0,707.0,3218,3737,3790,4310,5326,814.0,865.0,912.0,1011.0,1224.0,,,,,,0.0,0.0,0.0,0.0,0.0,2,2,2,2,3,0.0,0.0,0.0,0.0,0.0
1.0,49051,Wasatch County,9.0,6.0,9.0,,,,20.0,15.0,10.0,3.0,,,,,,818.0,900.0,1111.0,1201.0,1315.0,120.0,94.0,128.0,149.0,151.0,85.0,94.0,87.0,60.0,48.0,156.0,159.0,164.0,180.0,207.0,188.0,174.0,185.0,189.0,188.0,589.0,804.0,671.0,778.0,803.0,,,,3.0,7.0,290.0,294.0,277.0,319.0,323.0,144.0,166.0,212.0,208.0,259.0,691.0,718.0,819.0,882.0,962.0,158.0,172.0,375.0,391.0,387.0,1193,1209,1321,1154,1354,259.0,276.0,420.0,236.0,328.0,,,,,,3.0,3.0,3.0,,,,4.0,3.0,3.0,4.0,,,,,,186.0,194.0,206.0,213.0,232.0,28.0,26.0,31.0,31.0,34.0,19.0,19.0,17.0,17.0,18.0,43.0,42.0,42.0,47.0,52.0,83.0,84.0,83.0,90.0,94.0,144.0,161.0,184.0,201.0,222.0,,,,3.0,4.0,80.0,83.0,77.0,94.0,97.0,11.0,13.0,17.0,17.0,24.0,73.0,76.0,78.0,85.0,96.0,17.0,21.0,25.0,26.0,25.0,58,61,57,58,70,49.0,49.0,48.0,63.0,67.0,,,,,,3128.28,3128.28,3128.28,3128.2,3128.29,40.33,40.33,40.33,40.33,40.33,-111.12,-111.12,-111.12,-111.12,-111.12,198.0,163.0,143.0,,,,1015.0,838.0,267.0,495.0,,,,,,51536.0,63668.0,93492.0,121801.0,120140.0,4798.0,5397.0,6438.0,7267.0,7548.0,4477.0,4849.0,4881.0,3815.0,3112.0,9942.0,9169.0,9659.0,14183.0,17218.0,8512.0,9484.0,9695.0,10860.0,12360.0,34021.0,39886.0,40111.0,40525.0,52441.0,,,,1843.0,1706.0,8677.0,8976.0,8860.0,11353.0,14113.0,4460.0,5280.0,5582.0,5842.0,7051.0,26528.0,27659.0,32684.0,35098.0,40691.0,4568.0,7627.0,11991.0,13216.0,15555.0,21984,24229,26509,23628,33422,6589.0,7310.0,10818.0,9532.0,8238.0,,,,,,0.0,0.0,0.0,0.11,0.11,29,31,32,33,34,0.0,0.0,0.0,1.85,1.81
1.0,49003,Box Elder County,5.0,6.0,10.0,12.0,13.0,0.0,16.0,23.0,27.0,34.0,0.0,33.0,29.0,25.0,25.0,1181.0,1458.0,1634.0,1660.0,1949.0,559.0,538.0,876.0,632.0,1070.0,90.0,95.0,90.0,99.0,63.0,286.0,283.0,289.0,313.0,321.0,75.0,86.0,78.0,90.0,82.0,233.0,251.0,280.0,339.0,392.0,0.0,,,,7.0,345.0,494.0,685.0,624.0,559.0,181.0,168.0,180.0,159.0,206.0,1513.0,1415.0,1552.0,1527.0,1583.0,134.0,137.0,137.0,144.0,119.0,1602,1701,1620,1730,1745,285.0,288.0,315.0,332.0,380.0,,,,3.0,,3.0,5.0,6.0,5.0,7.0,3.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,191.0,191.0,205.0,210.0,224.0,45.0,44.0,41.0,43.0,46.0,12.0,13.0,15.0,14.0,15.0,66.0,65.0,66.0,69.0,67.0,61.0,62.0,63.0,67.0,70.0,60.0,63.0,73.0,76.0,88.0,3.0,,,,3.0,45.0,51.0,50.0,50.0,60.0,11.0,12.0,12.0,13.0,14.0,131.0,127.0,132.0,134.0,132.0,21.0,22.0,21.0,17.0,18.0,80,79,75,78,84,69.0,74.0,78.0,87.0,91.0,,,,5.0,,17414.23,17415.65,17415.64,17423.98,17415.66,41.36,41.36,41.36,41.36,41.36,-113.21,-113.21,-113.21,-113.21,-113.21,305.0,382.0,598.0,518.0,783.0,0.0,1347.0,2316.0,2365.0,3539.0,0.0,1641.0,1645.0,1805.0,1830.0,55073.0,73838.0,93580.0,106768.0,114720.0,23379.0,24873.0,49102.0,33384.0,81926.0,1941.0,2212.0,2309.0,2054.0,2086.0,13251.0,12802.0,12540.0,19173.0,22099.0,1784.0,1978.0,2009.0,2848.0,2899.0,9330.0,10146.0,11859.0,15937.0,19650.0,0.0,,,,513.0,10372.0,14108.0,15934.0,15575.0,16470.0,2250.0,2491.0,2650.0,2559.0,2799.0,51705.0,52529.0,57255.0,57866.0,60792.0,1742.0,1792.0,1621.0,1670.0,2111.0,19909,22496,22609,24290,26776,7616.0,7455.0,8208.0,8936.0,9463.0,,,,142.0,,0.02,0.02,0.02,0.03,0.03,52,53,54,55,57,2.23,2.0,2.06,1.97,1.98
