target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,54023,Grant County,27.0,28.0,25.0,27.0,26.0,,,,,,0.0,245.0,244.0,241.0,219.0,230,198,220,292,260,6.0,12.0,12.0,8.0,11.0,18.0,,,,14.0,98,97,100,91,85,10.0,8.0,11.0,16.0,13.0,42.0,42.0,39.0,42.0,40.0,,,,,,30.0,30.0,27.0,31.0,37.0,,,,,,820,833,797,978,916,,,,,,158.0,243,241,219.0,231.0,86,97,107,97,82,,,,,,7.0,7.0,6.0,7.0,6.0,,,,,,4.0,3.0,3.0,4.0,4.0,39,37,36,40,41,4.0,5.0,5.0,4.0,4.0,3.0,,,,3.0,10,10,10,10,10,7.0,5.0,5.0,5.0,5.0,9.0,8.0,9.0,9.0,10.0,,,,,,7.0,5.0,7.0,6.0,9.0,,,,,,24,25,25,27,25,,,,,,19.0,22,21,21.0,23.0,33,35,36,30,32,,,,,,1243.82,1243.89,1243.88,1243.95,1243.9,45.94,45.94,45.94,45.94,45.94,-96.03,-96.03,-96.03,-96.03,-96.03,949.0,879.0,862.0,785.0,910.0,,,,,,0.0,22499.0,23194.0,24267.0,23405.0,12946,10754,12591,16586,17459,161.0,356.0,314.0,387.0,367.0,714.0,,,,789.0,3719,3706,3839,3694,3843,215.0,236.0,261.0,299.0,314.0,1288.0,1257.0,1368.0,1400.0,1430.0,,,,,,801.0,840.0,888.0,945.0,1075.0,,,,,,24418,24265,23819,31751,32425,,,,,,1871.0,2799,2834,3339.0,3749.0,1954,1963,2261,2200,2459,,,,,,0.0,0.0,0.0,0.0,0.0,12,12,12,12,11,0.0,0.0,0.0,0.0,0.0
0.0,54027,Hampshire County,,,,,,,,,,,,,,,,162,156,146,144,143,35.0,56.0,54.0,46.0,47.0,76.0,69.0,61.0,,,171,181,183,179,183,18.0,27.0,23.0,20.0,22.0,73.0,77.0,76.0,78.0,81.0,,,,,,37.0,44.0,51.0,44.0,42.0,,,,,,897,880,860,899,766,0.0,46.0,38.0,45.0,44.0,346.0,342,320,357.0,312.0,114,115,107,108,108,,,,,,,,,,,,,,,,,,,,,49,53,49,43,47,11.0,12.0,12.0,13.0,12.0,4.0,3.0,3.0,,,19,19,18,21,21,11.0,13.0,12.0,13.0,11.0,20.0,21.0,21.0,19.0,20.0,,,,,,14.0,14.0,10.0,11.0,12.0,,,,,,40,38,37,36,34,5.0,5.0,4.0,4.0,4.0,31.0,34,37,35.0,39.0,39,37,39,40,35,,,,,,1669.59,1669.6,1669.59,1669.72,1669.61,42.34,42.34,42.34,42.34,42.34,-72.62,-72.62,-72.62,-72.62,-72.62,,,,,,,,,,,,,,,,4918,4982,5175,5114,5347,1834.0,2657.0,3153.0,2422.0,2594.0,2682.0,2530.0,2191.0,,,6258,6424,6520,6939,7836,698.0,912.0,911.0,1148.0,1113.0,2401.0,2717.0,2815.0,2912.0,3818.0,,,,,,636.0,761.0,709.0,857.0,1058.0,,,,,,26845,28756,28684,29905,30487,0.0,676.0,653.0,714.0,785.0,5251.0,5248,4994,4798.0,5750.0,2886,2785,2628,2638,2642,,,,,,0.0,0.0,0.0,0.0,0.0,23,23,23,23,23,0.0,0.0,0.0,0.0,0.0
1.0,54025,Greenbrier County,63.0,47.0,52.0,58.0,64.0,0.0,516.0,222.0,222.0,212.0,58.0,60.0,60.0,58.0,56.0,360,451,529,462,479,228.0,204.0,179.0,175.0,169.0,99.0,85.0,107.0,95.0,111.0,251,258,246,242,236,105.0,112.0,106.0,99.0,81.0,238.0,240.0,248.0,223.0,222.0,,,,,,462.0,603.0,656.0,953.0,1124.0,38.0,40.0,41.0,42.0,35.0,2783,2692,2522,2506,2335,206.0,217.0,232.0,253.0,193.0,2360.0,2273,2268,2416.0,2124.0,459,395,407,364,356,,,,,,16.0,14.0,14.0,15.0,14.0,4.0,6.0,7.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,95,98,95,96,99,21.0,21.0,18.0,18.0,19.0,17.0,17.0,17.0,17.0,16.0,56,53,54,56,53,41.0,41.0,36.0,36.0,38.0,65.0,65.0,63.0,57.0,61.0,,,,,,45.0,45.0,43.0,43.0,39.0,4.0,4.0,6.0,7.0,8.0,136,132,138,141,145,16.0,17.0,15.0,15.0,16.0,84.0,82,80,88.0,84.0,99,97,96,92,91,,,,,,2653.13,2652.87,2653.15,2653.35,2653.02,37.96,37.96,37.96,37.96,37.96,-80.45,-80.45,-80.45,-80.45,-80.45,3410.0,3062.0,3239.0,2847.0,3467.0,0.0,46091.0,14815.0,8286.0,7051.0,4098.0,5732.0,5682.0,5612.0,6006.0,12917,16978,17736,17948,20392,9350.0,7883.0,7206.0,7436.0,7576.0,3960.0,3534.0,3785.0,4031.0,4179.0,9426,9668,9994,10421,10180,3755.0,4044.0,3802.0,3514.0,4481.0,7687.0,7602.0,7219.0,7721.0,9364.0,,,,,,13606.0,18002.0,22714.0,29925.0,40123.0,919.0,965.0,957.0,746.0,1031.0,104890,106315,105824,104289,105944,4366.0,4704.0,4925.0,3579.0,5275.0,69013.0,69933,70377,58058.0,68720.0,12820,8764,9987,8262,9335,,,,,,0.0,0.0,0.0,0.0,0.0,36,35,35,35,33,0.0,0.0,0.0,0.0,0.0
1.0,54089,Summers County,27.0,24.0,10.0,10.0,10.0,,,,,,0.0,15.0,17.0,20.0,21.0,35,23,32,37,46,104.0,98.0,106.0,108.0,103.0,0.0,6.0,7.0,6.0,15.0,54,41,54,54,51,14.0,12.0,14.0,7.0,,44.0,48.0,50.0,41.0,33.0,,,,,,35.0,38.0,55.0,49.0,59.0,,,,,,413,409,387,484,519,,5.0,9.0,3.0,,153.0,181,188,194.0,183.0,73,75,71,67,71,,,,,,5.0,4.0,3.0,3.0,3.0,,,,,,3.0,3.0,3.0,4.0,4.0,10,11,14,12,13,6.0,6.0,6.0,7.0,6.0,3.0,3.0,3.0,3.0,3.0,7,6,7,7,7,3.0,3.0,5.0,4.0,,12.0,11.0,12.0,11.0,8.0,,,,,,5.0,5.0,5.0,5.0,6.0,,,,,,23,21,23,24,24,,4.0,4.0,3.0,,12.0,12,13,15.0,15.0,26,25,24,26,26,,,,,,952.4,952.46,952.46,952.58,952.47,37.63,37.63,37.63,37.63,37.63,-80.85,-80.85,-80.85,-80.85,-80.85,800.0,564.0,261.0,202.0,244.0,,,,,,0.0,1297.0,1698.0,2157.0,2149.0,972,994,1274,726,1042,6222.0,6570.0,6992.0,7203.0,7980.0,0.0,578.0,507.0,443.0,947.0,1293,1313,1731,1754,1854,159.0,159.0,221.0,164.0,,1555.0,1788.0,1737.0,1167.0,1051.0,,,,,,997.0,991.0,1203.0,1041.0,1430.0,,,,,,13189,13331,13913,21467,23066,,139.0,149.0,197.0,,2667.0,2332,2407,2471.0,2684.0,1364,1383,1427,1168,1321,,,,,,0.0,0.0,0.0,0.0,0.0,13,13,13,13,12,0.0,0.0,0.0,0.0,0.0
1.0,54009,Brooke County,,,,,,,,,,,,,,,,258,250,248,232,195,88.0,77.0,75.0,65.0,61.0,,,,,,117,122,122,125,117,39.0,25.0,40.0,37.0,29.0,70.0,68.0,71.0,72.0,73.0,14.0,12.0,21.0,30.0,,127.0,73.0,73.0,75.0,94.0,,,,,,2165,2079,2056,2164,2076,104.0,92.0,86.0,86.0,95.0,621.0,599,614,656.0,587.0,217,221,214,221,205,,,,,,,,,,,,,,,,,,,,,31,27,27,31,30,8.0,8.0,7.0,7.0,7.0,,,,,,19,19,20,20,20,5.0,3.0,4.0,5.0,5.0,22.0,22.0,22.0,22.0,19.0,3.0,3.0,3.0,3.0,,13.0,11.0,14.0,12.0,20.0,,,,,,59,57,58,63,64,15.0,13.0,13.0,13.0,12.0,49.0,42,43,46.0,49.0,57,58,54,56,59,,,,,,239.96,239.96,239.96,239.98,239.96,40.27,40.27,40.27,40.27,40.27,-80.57,-80.57,-80.57,-80.57,-80.57,,,,,,,,,,,,,,,,12240,12767,12787,10722,11193,4763.0,4244.0,3941.0,3483.0,2023.0,,,,,,4074,4209,4588,4951,5129,1118.0,527.0,1127.0,981.0,1125.0,1946.0,1609.0,1651.0,1749.0,1465.0,1806.0,2181.0,3521.0,2447.0,,5916.0,2346.0,3190.0,3301.0,3931.0,,,,,,89324,94642,98613,100805,104108,1814.0,1807.0,1728.0,1773.0,2234.0,9722.0,9704,10591,10156.0,11575.0,3147,3094,3076,3186,3905,,,,,,0.0,0.0,0.0,0.0,0.0,23,23,22,22,23,0.0,0.0,0.0,0.0,0.0
0.0,54017,Doddridge County,,,,,,106.0,255.0,244.0,235.0,297.0,,,,,,0,236,168,126,67,11.0,12.0,17.0,15.0,9.0,4.0,3.0,4.0,7.0,10.0,0,46,49,44,40,,,,,,,,,,,,,,,,,,,,,,,,,,108,112,107,95,110,,,,,,75.0,52,75,53.0,44.0,23,19,20,22,26,,,,,,,,,,,5.0,6.0,7.0,6.0,6.0,,,,,,10,9,9,9,10,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,11,11,,,,,,4.0,4,5,6.0,7.0,9,9,12,14,12,,,,,,830.27,830.27,830.27,830.26,830.27,39.26,39.26,39.26,39.26,39.26,-80.73,-80.73,-80.73,-80.73,-80.73,,,,,,4882.0,17284.0,21841.0,21584.0,34859.0,,,,,,0,22707,20854,7052,5013,1026.0,1064.0,1212.0,996.0,759.0,217.0,194.0,181.0,195.0,256.0,0,1985,2307,2128,1968,,,,,,,,,,,,,,,,,,,,,,,,,,1828,2042,1760,1798,2258,,,,,,913.0,806,799,502.0,691.0,423,393,450,573,551,,,,,,0.0,0.0,0.0,0.0,0.0,9,9,9,8,8,0.0,0.0,0.0,0.0,0.0
1.0,54029,Hancock County,,,,,,,,3.0,,,61.0,70.0,71.0,79.0,86.0,120,131,135,127,101,256.0,266.0,263.0,257.0,236.0,36.0,42.0,51.0,27.0,33.0,264,272,235,243,226,68.0,76.0,70.0,74.0,62.0,434.0,362.0,234.0,231.0,209.0,,,,,,226.0,249.0,302.0,278.0,251.0,114.0,108.0,119.0,125.0,120.0,1189,1364,1242,1165,1105,170.0,180.0,281.0,232.0,144.0,1708.0,1715,1663,1683.0,1547.0,350,353,351,355,325,,,,,,,,,,,,,3.0,,,5.0,6.0,6.0,5.0,5.0,31,33,34,31,25,12.0,12.0,12.0,13.0,13.0,9.0,11.0,13.0,10.0,10.0,36,33,31,30,33,19.0,20.0,21.0,21.0,19.0,50.0,49.0,49.0,46.0,43.0,,,,,,32.0,29.0,33.0,29.0,32.0,6.0,6.0,6.0,6.0,5.0,66,69,64,66,68,32.0,28.0,27.0,27.0,23.0,67.0,69,66,71.0,74.0,79,80,75,73,74,,,,,,227.91,227.91,227.91,227.9,227.92,40.39,40.39,40.39,40.39,40.39,-91.15,-91.15,-91.15,-91.15,-91.15,,,,,,,,406.0,,,4903.0,5936.0,6960.0,8144.0,9091.0,3490,3879,3850,3497,3718,9967.0,10931.0,16656.0,15809.0,14558.0,1882.0,1983.0,1942.0,1602.0,1902.0,11287,11932,10505,10764,11362,2013.0,2101.0,2261.0,1993.0,2347.0,15904.0,8942.0,8024.0,7326.0,6943.0,,,,,,11855.0,10254.0,11653.0,10325.0,11916.0,2255.0,2190.0,2349.0,2407.0,2544.0,35396,40090,35607,39694,43029,3983.0,3889.0,9578.0,6939.0,2564.0,33701.0,34628,30152,27100.0,36104.0,8138,9218,9468,8289,9128,,,,,,0.14,0.14,0.14,0.0,0.0,30,30,29,29,29,2.14,2.24,2.37,0.0,0.0
1.0,54031,Hardy County,,,,,,,,,,,,,,,,78,82,94,86,92,39.0,36.0,41.0,35.0,39.0,76.0,72.0,72.0,74.0,67.0,200,233,205,191,233,26.0,26.0,23.0,23.0,20.0,79.0,71.0,82.0,79.0,92.0,,,,,,87.0,102.0,42.0,140.0,120.0,,,,,,569,475,474,490,508,16.0,15.0,15.0,,21.0,391.0,332,370,365.0,337.0,102,92,96,91,79,,,,,,,,,,,,,,,,,,,,,27,29,30,30,28,7.0,7.0,5.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,22,22,23,22,22,13.0,13.0,12.0,12.0,13.0,17.0,16.0,17.0,19.0,19.0,,,,,,8.0,9.0,9.0,12.0,12.0,,,,,,31,32,32,32,31,5.0,4.0,4.0,,5.0,31.0,26,28,25.0,30.0,32,32,28,29,27,,,,,,1513.75,1513.76,1513.76,1513.51,1513.74,39.0,39.0,39.0,39.0,39.0,-78.84,-78.84,-78.84,-78.84,-78.84,,,,,,,,,,,,,,,,3377,3032,2754,3131,3562,1210.0,1198.0,1118.0,1131.0,1430.0,2988.0,3071.0,3158.0,3326.0,2496.0,10954,11005,11673,11293,11921,866.0,947.0,848.0,862.0,877.0,2808.0,2541.0,3279.0,3105.0,3484.0,,,,,,2499.0,3836.0,5158.0,4294.0,4444.0,,,,,,20326,15501,17259,18172,20695,256.0,262.0,343.0,,352.0,5162.0,4776,5605,4804.0,5602.0,2070,2020,2623,2393,2440,,,,,,0.0,0.0,0.0,0.0,0.0,14,14,14,14,14,0.0,0.0,0.0,0.0,0.0
1.0,54049,Marion County,,12.0,11.0,,,0.0,1217.0,1083.0,1035.0,906.0,0.0,631.0,650.0,641.0,711.0,725,691,647,633,684,627.0,677.0,715.0,650.0,592.0,241.0,178.0,177.0,181.0,123.0,412,413,427,425,391,106.0,115.0,132.0,120.0,109.0,1050.0,1179.0,1175.0,1162.0,1052.0,32.0,24.0,,,,853.0,802.0,1003.0,947.0,535.0,56.0,49.0,75.0,87.0,79.0,2979,2947,2695,2585,2352,210.0,189.0,163.0,156.0,143.0,1737.0,1749,1712,1619.0,1591.0,846,840,827,799,717,,,,,,,3.0,3.0,,,11.0,10.0,10.0,12.0,9.0,12.0,13.0,13.0,12.0,13.0,105,105,106,99,109,43.0,44.0,45.0,48.0,43.0,19.0,17.0,19.0,19.0,17.0,64,61,64,64,55,36.0,33.0,37.0,39.0,38.0,110.0,101.0,99.0,96.0,84.0,4.0,3.0,,,,43.0,51.0,55.0,51.0,52.0,14.0,11.0,12.0,10.0,9.0,156,144,141,150,146,27.0,28.0,26.0,28.0,29.0,113.0,108,104,100.0,110.0,166,162,160,150,151,,,,,,806.75,806.75,806.77,806.85,806.75,32.79,32.79,32.79,32.79,32.79,-94.34,-94.34,-94.34,-94.34,-94.34,,276.0,149.0,,,0.0,106654.0,95798.0,72335.0,79161.0,0.0,50089.0,52780.0,54456.0,64003.0,30268,32945,31597,29294,34453,29274.0,33294.0,34729.0,30717.0,33429.0,9339.0,7980.0,7812.0,7871.0,5901.0,17796,18597,19636,20727,21846,3460.0,4109.0,4190.0,3866.0,3958.0,65207.0,69744.0,74036.0,79314.0,72979.0,3600.0,1884.0,,,,31962.0,31045.0,36395.0,30389.0,25215.0,928.0,915.0,3051.0,3021.0,3183.0,108943,106792,117732,96342,110267,2704.0,2701.0,2557.0,2250.0,2796.0,24357.0,25846,25794,23060.0,25189.0,22545,22301,23935,20406,22216,,,,,,0.23,0.18,0.23,0.28,0.26,57,56,56,56,56,2.52,2.79,2.62,2.35,2.59
1.0,54057,Mineral County,4.0,,,,,,,,,,40.0,42.0,42.0,36.0,35.0,267,245,257,279,253,102.0,103.0,103.0,101.0,96.0,440.0,428.0,432.0,463.0,501.0,128,147,146,151,172,36.0,33.0,39.0,32.0,34.0,112.0,111.0,127.0,136.0,131.0,,,,,,53.0,57.0,79.0,74.0,66.0,,,,,,1480,1450,1508,1574,1668,20.0,20.0,21.0,12.0,13.0,562.0,552,503,527.0,430.0,285,295,291,277,277,,,,,,3.0,,,,,,,,,,5.0,5.0,5.0,5.0,6.0,49,39,37,40,43,11.0,12.0,11.0,14.0,12.0,8.0,8.0,8.0,8.0,9.0,27,27,29,28,27,13.0,12.0,14.0,16.0,17.0,20.0,18.0,20.0,20.0,20.0,,,,,,10.0,11.0,16.0,13.0,14.0,,,,,,72,71,71,74,81,5.0,5.0,5.0,4.0,5.0,52.0,50,53,49.0,53.0,64,64,61,60,63,,,,,,852.48,852.4,852.41,852.43,852.4,37.66,37.66,37.66,37.66,37.66,-106.93,-106.93,-106.93,-106.93,-106.93,44.0,,,,,,,,,,2547.0,2758.0,2723.0,2586.0,2588.0,12094,11433,12176,12612,12617,3572.0,3734.0,3783.0,3576.0,3956.0,24478.0,24247.0,24535.0,27464.0,31935.0,4546,5232,5113,5727,6758,912.0,924.0,1165.0,995.0,830.0,4284.0,4371.0,4927.0,5059.0,5086.0,,,,,,1295.0,1357.0,2006.0,1786.0,1939.0,,,,,,38357,39837,48142,47692,54429,285.0,297.0,247.0,198.0,268.0,6332.0,6854,6471,5725.0,6344.0,5741,5813,5982,5665,6331,,,,,,0.0,0.0,0.07,0.0,0.0,27,27,27,27,27,0.0,0.0,1.56,0.0,0.0
