Fips,Target
26001,0
26003,0
26005,1
26077,1
26065,1
26007,0
26009,0
26011,0
26013,0
26015,0
26017,1
26019,0
26021,1
26023,0
26025,1
26027,0
26029,0
26031,0
26033,0
26035,0
26037,0
26039,0
26041,0
26043,1
26045,1
26047,1
26049,1
26051,0
26053,0
26055,1
26057,0
26059,0
26061,0
26063,0
26067,0
26069,0
26071,0
26073,1
26075,1
26079,0
26093,1
26081,1
26083,0
26085,0
26087,1
26089,0
26091,1
26095,0
26099,1
26097,0
26115,1
26125,1
26103,1
26101,0
26105,0
26107,0
26109,0
26111,1
26113,0
26117,1
26119,0
26121,1
26123,0
26165,0
26127,0
26129,0
26131,0
26133,0
26135,0
26137,0
26139,1
26141,0
26143,0
26145,1
26147,1
26149,0
26151,0
26153,0
26157,0
26155,1
26159,1
26161,1
26163,1
