Fips,Target
27001,0
27003,1
27005,0
27173,0
27007,0
27009,0
27011,0
27013,0
27015,0
27017,0
27019,1
27021,0
27023,0
27025,0
27027,0
27029,0
27031,0
27035,0
27037,1
27039,0
27033,0
27041,0
27045,0
27043,0
27047,0
27049,0
27051,0
27053,1
27055,0
27057,0
27059,0
27061,0
27063,0
27065,0
27069,0
27067,0
27071,0
27073,0
27077,0
27075,0
27079,0
27081,0
27083,0
27085,1
27087,0
27089,0
27091,0
27093,0
27095,0
27097,0
27099,1
27101,0
27103,0
27107,0
27105,0
27109,1
27111,0
27113,0
27115,0
27117,0
27119,0
27121,0
27123,1
27125,0
27127,0
27129,0
27131,0
27133,0
27135,0
27139,0
27141,0
27137,1
27143,0
27145,1
27147,1
27149,0
27151,0
27153,0
27155,0
27157,0
27159,0
27161,0
27163,1
27165,0
27167,0
27169,1
27171,0
