Fips,Target
55051,0
55019,0
55069,0
55135,0
55109,0
55083,0
55021,0
55005,0
55113,0
55047,0
55099,0
55077,0
55079,1
55075,0
55078,0
55101,1
55139,1
55033,0
55041,0
55043,0
55045,0
55107,0
55115,0
55117,1
55067,0
55087,1
55123,0
55011,0
55035,1
55061,0
55009,1
55063,1
55073,1
55125,0
55085,0
55095,0
55121,0
55129,0
55133,1
55027,0
55127,0
55023,0
55071,0
55057,0
55111,0
55131,0
55013,0
55029,0
55017,0
55025,1
55031,0
55053,0
55039,0
55049,0
55089,0
55091,0
55097,0
55103,0
55105,1
55119,0
55137,0
55001,0
55065,0
55081,0
55007,0
55093,0
55141,0
55003,0
55015,0
55037,0
55055,0
55059,1
