Fips,Target
29001,0
29003,0
29005,0
29510,1
29007,0
29009,0
29011,0
29013,0
29015,0
29017,0
29019,1
29021,1
29023,0
29025,0
29027,0
29029,0
29031,1
29033,0
29035,0
29037,0
29039,0
29041,0
29043,0
29045,0
29047,1
29049,0
29051,0
29055,0
29053,0
29057,0
29059,0
29061,0
29063,0
29065,0
29067,0
29069,0
29073,0
29071,0
29075,0
29077,1
29079,0
29081,0
29083,0
29085,0
29087,0
29089,0
29091,0
29093,0
29095,1
29097,0
29099,0
29101,0
29103,0
29105,0
29107,0
29109,0
29111,0
29113,0
29115,0
29117,0
29119,0
29121,0
29123,0
29125,0
29127,0
29129,0
29131,0
29133,0
29135,0
29137,0
29139,0
29141,0
29143,0
29145,0
29147,0
29149,0
29151,0
29153,0
29155,0
29157,0
29159,0
29161,0
29163,0
29165,0
29167,0
29169,0
29171,0
29173,0
29175,0
29177,0
29179,0
29181,0
29183,1
29185,0
29186,0
29187,0
29189,1
29195,0
29197,0
29199,0
29201,0
29203,0
29205,0
29207,0
29209,0
29211,0
29213,0
29215,0
29217,0
29219,0
29221,0
29225,0
29223,0
29227,0
29229,0
