target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
0.0,1099,Monroe County,207.0,217.0,192.0,174.0,200.0,,,28.0,22.0,,57.0,49.0,49.0,51.0,46.0,162,181,200,210,202,169.0,161.0,177.0,188.0,177.0,67.0,66.0,64.0,57.0,56.0,153,158,155,149,143,42.0,45.0,38.0,45.0,48.0,39,40,42,38,40,,,,,,57.0,68.0,79.0,77.0,92.0,0.0,71.0,,60.0,55.0,717,723,748,739,693,,,,,,406,303.0,325.0,359.0,295,227,234,234,180,182,,,,,,29.0,31.0,33.0,28.0,31.0,,,3.0,3.0,,7.0,6.0,6.0,6.0,6.0,15,16,17,18,17,19.0,19.0,19.0,18.0,18.0,9.0,10.0,10.0,10.0,9.0,33,34,37,35,33,12.0,13.0,13.0,14.0,14.0,16,18,15,17,18,,,,,,10.0,13.0,13.0,13.0,14.0,3.0,3.0,,3.0,3.0,30,29,30,31,28,,,,,,26,22.0,22.0,28.0,32,47,47,48,49,50,,,,,,2679.89,2679.87,2679.64,2679.3,2679.87,38.27,38.27,38.27,38.27,38.27,-90.18,-90.18,-90.18,-90.18,-90.18,9904.0,9965.0,8957.0,9271.0,11228.0,,,3225.0,2620.0,,3526.0,3760.0,3927.0,4025.0,4037.0,7483,7515,9088,8896,9463,8564.0,8919.0,10247.0,10084.0,10688.0,2799.0,2786.0,2735.0,2488.0,2634.0,7168,6854,7040,6908,7351,1533.0,1640.0,1450.0,1439.0,1690.0,1538,1551,1645,1477,1725,,,,,,1632.0,1902.0,2293.0,2496.0,3249.0,0.0,1109.0,,1108.0,1177.0,24670,26113,26465,27217,27886,,,,,,4616,4268.0,4418.0,4581.0,4325,4546,4729,4951,5286,5764,,,,,,0.0,0.0,0.0,0.0,0.0,22,22,21,21,20,0.0,0.0,0.0,0.0,0.0
1.0,1079,Lawrence County,,,,,,,,,,,0.0,124.0,126.0,124.0,128.0,204,218,296,264,269,122.0,100.0,100.0,93.0,94.0,23.0,26.0,28.0,24.0,21.0,111,116,109,110,105,14.0,27.0,31.0,26.0,24.0,147,127,131,217,216,,,,,,47.0,63.0,61.0,77.0,63.0,,,,,,777,750,791,628,594,6.0,15.0,,,,481,459.0,536.0,533.0,503,215,231,231,244,213,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,32,32,32,36,35,17.0,15.0,15.0,15.0,15.0,7.0,7.0,8.0,8.0,7.0,26,26,26,27,25,7.0,9.0,10.0,9.0,8.0,32,31,32,31,31,,,,,,14.0,15.0,15.0,14.0,10.0,,,,,,34,34,33,34,34,3.0,3.0,,,,40,40.0,44.0,41.0,43,66,62,63,63,58,,,,,,1856.9,1856.91,1856.9,1857.52,1856.91,41.0,41.0,41.0,41.0,41.0,-80.35,-80.35,-80.35,-80.35,-80.35,,,,,,,,,,,0.0,10690.0,10886.0,11923.0,12351.0,9167,11416,13624,12755,14335,3424.0,3340.0,3431.0,3592.0,4175.0,851.0,968.0,1029.0,1020.0,949.0,5151,4778,5107,5680,5194,390.0,714.0,702.0,574.0,554.0,7486,7879,8032,13638,14171,,,,,,1783.0,1933.0,1951.0,2752.0,1780.0,,,,,,21406,21371,20594,19708,21115,107.0,125.0,,,,6496,6791.0,7723.0,7186.0,7916,4618,5220,5673,5749,6080,,,,,,0.0,0.0,0.0,0.0,0.0,33,33,33,33,33,0.0,0.0,0.0,0.0,0.0
0.0,1081,Lee County,79.0,83.0,43.0,70.0,75.0,,,54.0,54.0,59.0,241.0,244.0,238.0,240.0,247.0,2382,2618,2750,2636,2847,1090.0,1264.0,1192.0,1125.0,1072.0,866.0,796.0,733.0,654.0,628.0,1103,993,955,1074,1080,602.0,694.0,794.0,787.0,794.0,1350,1604,1781,1810,1834,99.0,523.0,129.0,91.0,81.0,3863.0,3506.0,3801.0,3842.0,4145.0,383.0,374.0,374.0,342.0,288.0,6647,6654,6842,6756,6791,539.0,597.0,618.0,570.0,546.0,8155,8348.0,8253.0,7943.0,7199,1967,2028,2158,2087,2049,,,,1.0,,15.0,13.0,13.0,14.0,13.0,,,3.0,4.0,4.0,8.0,10.0,10.0,11.0,11.0,244,250,261,256,276,92.0,93.0,100.0,95.0,95.0,38.0,40.0,46.0,47.0,51.0,172,188,191,187,190,155.0,161.0,167.0,183.0,193.0,256,272,277,285,294,8.0,9.0,9.0,11.0,12.0,170.0,171.0,172.0,190.0,206.0,32.0,30.0,31.0,30.0,32.0,263,258,259,263,285,24.0,23.0,25.0,30.0,31.0,366,388.0,392.0,372.0,396,274,279,286,284,293,,,,4.0,,1594.94,1595.03,1595.03,1595.12,1595.03,30.3,30.3,30.3,30.3,30.3,-96.96,-96.96,-96.96,-96.96,-96.96,2847.0,2200.0,1637.0,2080.0,2346.0,,,3680.0,3717.0,3922.0,20008.0,21092.0,22647.0,23813.0,24277.0,119789,135611,140657,152835,166031,50058.0,69616.0,59103.0,59455.0,61825.0,37219.0,35558.0,34261.0,29084.0,35303.0,60031,58607,61151,73060,76092,21081.0,28083.0,33707.0,33425.0,33767.0,57064,79149,90023,89962,90064,3188.0,13402.0,5535.0,6015.0,7042.0,88868.0,93929.0,94442.0,100615.0,109308.0,8900.0,9211.0,9196.0,7571.0,7245.0,269478,279631,290666,296007,310672,7757.0,7982.0,8648.0,8483.0,10246.0,114371,118538.0,124777.0,105701.0,127331,41863,45475,53836,55924,66250,,,,96.0,,0.45,0.42,0.51,0.45,0.57,157,159,161,163,172,2.36,2.17,2.11,2.68,2.67
0.0,1093,Marion County,71.0,68.0,63.0,56.0,54.0,,,,,,,,,,,189,68,64,57,59,240.0,215.0,484.0,657.0,737.0,49.0,43.0,56.0,50.0,51.0,421,451,411,409,422,15.0,14.0,15.0,19.0,25.0,80,78,78,77,69,0.0,60.0,58.0,77.0,57.0,420.0,424.0,430.0,482.0,597.0,14.0,10.0,11.0,,,947,1038,1241,1246,1210,13.0,9.0,7.0,9.0,8.0,728,718.0,734.0,658.0,691,250,245,256,210,249,,,,,,10.0,11.0,12.0,11.0,11.0,,,,,,,,,,,17,14,16,13,16,27.0,24.0,26.0,23.0,25.0,9.0,8.0,9.0,9.0,9.0,49,46,45,44,45,9.0,9.0,9.0,9.0,9.0,25,26,24,23,25,3.0,3.0,3.0,3.0,3.0,15.0,14.0,12.0,14.0,12.0,3.0,3.0,3.0,,,89,87,81,76,80,6.0,7.0,3.0,4.0,3.0,55,58.0,57.0,54.0,53,59,58,58,56,58,,,,,,1925.6,1925.59,1925.55,1925.66,1925.59,32.79,32.79,32.79,32.79,32.79,-94.34,-94.34,-94.34,-94.34,-94.34,2339.0,2349.0,2305.0,1978.0,1794.0,,,,,,,,,,,2960,2516,2207,2423,2084,10558.0,9862.0,17815.0,26083.0,33966.0,2136.0,1534.0,1810.0,1780.0,1875.0,17047,18827,17658,19837,20895,525.0,564.0,598.0,555.0,1038.0,2204,2402,2418,2609,2197,0.0,1133.0,1285.0,1197.0,1336.0,9998.0,9588.0,8927.0,9363.0,4374.0,49.0,46.0,48.0,,,37222,44695,48281,46361,50794,300.0,231.0,184.0,229.0,215.0,8705,8750.0,9866.0,9727.0,10714,5346,5654,5508,5832,7251,,,,,,0.0,0.0,0.0,0.0,0.0,30,30,30,30,29,0.0,0.0,0.0,0.0,0.0
0.0,1107,Pickens County,89.0,95.0,92.0,79.0,70.0,,,,,,,,,,,278,305,337,336,287,47.0,41.0,39.0,39.0,45.0,22.0,20.0,18.0,17.0,17.0,141,148,144,138,146,,,7.0,8.0,,105,95,96,79,49,0.0,4.0,,,,,,,12.0,16.0,,,,,,554,550,564,536,552,10.0,9.0,7.0,8.0,8.0,163,149.0,204.0,157.0,142,117,103,100,90,86,,,,11.0,,20.0,22.0,21.0,21.0,18.0,,,,,,,,,,,21,19,20,19,23,8.0,6.0,7.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,22,21,20,20,20,,,3.0,3.0,,14,14,12,9,9,3.0,3.0,,,,,,,3.0,3.0,,,,,,25,24,26,26,28,5.0,5.0,5.0,6.0,6.0,12,12.0,12.0,14.0,14,29,28,29,26,27,,,,3.0,,2304.08,2304.1,2304.1,2304.99,2304.15,34.46,34.46,34.46,34.46,34.46,-84.47,-84.47,-84.47,-84.47,-84.47,3138.0,3257.0,3369.0,3171.0,3431.0,,,,,,,,,,,14079,15578,17887,16333,16519,1617.0,1364.0,1396.0,2037.0,2466.0,697.0,780.0,750.0,999.0,812.0,6084,5532,5982,6790,6376,,,122.0,177.0,,3476,3315,3182,2719,2463,0.0,112.0,,,,,,,157.0,163.0,,,,,,16691,17692,19143,20593,20424,75.0,73.0,84.0,91.0,85.0,2148,2248.0,2958.0,2447.0,2503,1534,1595,1500,1404,1330,,,,23.0,,0.0,0.0,0.0,0.0,0.0,20,20,20,20,19,0.0,0.0,0.0,0.0,0.0
1.0,1119,Sumter County,40.0,40.0,31.0,30.0,29.0,,,,,,,,,,,0,346,368,314,318,163.0,125.0,129.0,126.0,126.0,16.0,17.0,18.0,18.0,17.0,82,61,59,63,51,22.0,22.0,12.0,8.0,6.0,15,15,14,16,15,,,,,,165.0,166.0,168.0,165.0,165.0,,,,,,325,311,334,359,359,11.0,9.0,11.0,13.0,10.0,344,316.0,319.0,250.0,200,75,67,66,60,62,,,,,,5.0,5.0,4.0,4.0,3.0,,,,,,,,,,,9,10,11,10,9,12.0,12.0,10.0,11.0,12.0,5.0,5.0,5.0,6.0,6.0,14,12,14,13,13,7.0,7.0,6.0,4.0,3.0,6,6,6,6,7,,,,,,9.0,9.0,9.0,9.0,9.0,,,,,,19,17,17,18,18,5.0,5.0,5.0,5.0,4.0,22,22.0,22.0,22.0,19,17,18,18,20,18,,,,,,2364.6,2364.62,2364.62,2365.64,2364.6,28.67,28.67,28.67,28.67,28.67,-82.08,-82.08,-82.08,-82.08,-82.08,1842.0,1413.0,1236.0,1249.0,1134.0,,,,,,,,,,,0,30220,29210,25583,26128,5280.0,4901.0,5507.0,5529.0,5893.0,1009.0,1053.0,1022.0,1188.0,1193.0,4163,2532,2670,2613,2504,750.0,713.0,618.0,581.0,680.0,419,392,359,325,320,,,,,,9163.0,9411.0,9636.0,9925.0,10059.0,,,,,,9003,9399,10121,13173,11542,238.0,194.0,159.0,192.0,196.0,3872,3874.0,4031.0,2896.0,3351,1530,1224,1328,1307,1426,,,,,,0.0,0.0,0.0,0.0,0.0,13,13,13,13,12,0.0,0.0,0.0,0.0,0.0
1.0,1073,Jefferson County,127.0,138.0,169.0,175.0,255.0,690.0,796.0,1238.0,1309.0,940.0,0.0,6538.0,6632.0,6307.0,5628.0,17241,18475,19549,19396,18846,17712.0,16558.0,16646.0,16917.0,16436.0,8801.0,8706.0,9097.0,8804.0,8106.0,21940,21311,21434,21570,22498,5861.0,5907.0,5855.0,6095.0,5920.0,16247,16180,16561,17194,17081,6623.0,7440.0,7141.0,7282.0,7449.0,24809.0,24971.0,25679.0,26771.0,25911.0,6950.0,6852.0,6110.0,6212.0,5538.0,55350,67738,62932,69660,59804,5143.0,6072.0,6664.0,6435.0,4653.0,31838,32219.0,31971.0,31913.0,27731,19245,20759,20336,20283,18011,29.0,20.0,52.0,25.0,34.0,12.0,14.0,12.0,9.0,8.0,21.0,25.0,26.0,22.0,23.0,41.0,50.0,50.0,51.0,50.0,1070,1073,1078,1105,1143,1049.0,1032.0,1021.0,999.0,993.0,295.0,310.0,320.0,301.0,338.0,1292,1279,1282,1290,1278,766.0,783.0,810.0,834.0,882.0,1904,1913,1937,1963,1987,178.0,173.0,160.0,158.0,161.0,749.0,730.0,743.0,753.0,792.0,171.0,176.0,179.0,181.0,183.0,1767,1765,1772,1758,1854,204.0,232.0,235.0,246.0,240.0,1481,1502.0,1505.0,1495.0,1518,1809,1792,1785,1785,1817,12.0,14.0,16.0,17.0,22.0,2910.7,2911.37,2911.42,2911.61,2911.58,29.83,29.83,29.83,29.83,29.83,-94.17,-94.17,-94.17,-94.17,-94.17,3414.0,5012.0,7556.0,6185.0,8379.0,56935.0,67425.0,115313.0,102819.0,95515.0,0.0,767021.0,795084.0,806893.0,787406.0,1141666,1232338,1328059,1344208,1369623,1146437.0,1120608.0,1128709.0,1158445.0,1276093.0,627612.0,599742.0,622424.0,656453.0,685631.0,1832531,1974463,2174029,2406264,2538738,328610.0,327616.0,350636.0,413792.0,432755.0,1198393,1260637,1316305,1361440,1466510,776497.0,856330.0,805854.0,761554.0,883019.0,736958.0,791633.0,800179.0,814102.0,941204.0,227320.0,218492.0,192540.0,189384.0,195921.0,3285080,3883232,3854762,3839739,3967328,103605.0,120447.0,129297.0,108985.0,123326.0,550061,575925.0,592149.0,511200.0,593691,633258,730659,779888,751688,759428,616.0,690.0,1181.0,933.0,1223.0,1.88,1.83,2.02,2.29,2.1,659,660,660,659,673,2.48,2.4,2.4,2.43,2.52
0.0,1023,Choctaw County,245.0,254.0,278.0,301.0,296.0,,,,,,,,,,,190,223,277,264,254,38.0,36.0,37.0,39.0,41.0,27.0,27.0,26.0,26.0,17.0,67,71,74,73,76,11.0,15.0,15.0,6.0,9.0,52,48,51,43,53,,,,,,12.0,6.0,11.0,12.0,14.0,,,,,,372,390,378,268,261,,,,,6.0,147,180.0,145.0,125.0,108,135,122,110,97,104,,,,,,22.0,20.0,21.0,20.0,19.0,,,,,,,,,,,15,14,15,12,18,5.0,5.0,5.0,4.0,4.0,6.0,7.0,6.0,6.0,4.0,16,15,15,15,15,5.0,5.0,5.0,4.0,4.0,20,19,20,17,16,,,,,,5.0,4.0,5.0,5.0,4.0,,,,,,24,23,22,21,18,,,,,3.0,19,21.0,19.0,20.0,19,41,44,42,38,41,,,,,,2385.51,2385.5,2385.5,2385.13,2385.5,33.36,33.36,33.36,33.36,33.36,-89.24,-89.24,-89.24,-89.24,-89.24,11634.0,13335.0,13724.0,14868.0,15791.0,,,,,,,,,,,8559,9897,12803,11798,12952,1173.0,1237.0,1297.0,1587.0,1531.0,1249.0,1333.0,1243.0,1347.0,456.0,3383,2898,3397,3598,3574,173.0,201.0,188.0,194.0,216.0,1377,1309,1493,1439,1755,,,,,,291.0,111.0,222.0,350.0,232.0,,,,,,13638,15327,12839,10503,11166,,,,,132.0,2040,1962.0,1934.0,1559.0,1595,3224,2926,2701,2658,2771,,,,,,0.0,0.0,0.0,0.0,0.0,13,13,13,13,13,0.0,0.0,0.0,0.0,0.0
0.0,1059,Franklin County,66.0,67.0,75.0,49.0,50.0,43.0,38.0,39.0,42.0,44.0,0.0,,,,,252,237,228,224,252,89.0,144.0,154.0,159.0,167.0,44.0,49.0,45.0,43.0,33.0,393,390,391,409,400,37.0,47.0,67.0,37.0,39.0,128,149,165,139,140,66.0,65.0,68.0,354.0,409.0,0.0,96.0,131.0,179.0,274.0,,,,,,1059,983,929,1023,1022,17.0,14.0,14.0,12.0,15.0,675,736.0,709.0,671.0,620,255,270,291,214,232,,,,2.0,,13.0,13.0,12.0,10.0,12.0,3.0,3.0,3.0,4.0,3.0,3.0,,,,,37,36,38,45,49,17.0,18.0,18.0,19.0,20.0,9.0,9.0,9.0,8.0,7.0,55,52,55,55,53,19.0,20.0,20.0,19.0,21.0,25,29,26,25,24,7.0,6.0,5.0,5.0,5.0,7.0,8.0,8.0,8.0,10.0,,,,,,48,43,44,46,48,6.0,6.0,5.0,5.0,5.0,42,44.0,39.0,41.0,41,58,59,60,60,61,,,,3.0,,1675.09,1675.09,1675.09,1674.33,1675.09,33.2,33.2,33.2,33.2,33.2,-95.22,-95.22,-95.22,-95.22,-95.22,2128.0,2203.0,2435.0,2533.0,2638.0,1807.0,1841.0,2013.0,2177.0,2344.0,0.0,,,,,9327,9547,9434,9665,9125,3995.0,4699.0,5283.0,5145.0,5963.0,1605.0,1787.0,1734.0,1905.0,1577.0,13980,13949,15679,16543,17405,914.0,1015.0,868.0,774.0,916.0,5078,5520,5382,5155,5261,5014.0,5654.0,5683.0,18083.0,24360.0,0.0,3355.0,5680.0,6800.0,10605.0,,,,,,35952,35154,35801,37247,39946,274.0,274.0,265.0,235.0,289.0,8010,8526.0,8788.0,8462.0,9134,5792,5902,6395,5987,6716,,,,30.0,,0.0,0.0,0.0,0.0,0.0,32,32,31,32,32,0.0,0.0,0.0,0.0,0.0
0.0,1091,Marengo County,227.0,222.0,215.0,195.0,190.0,,,,,,0.0,166.0,166.0,156.0,146.0,308,352,397,388,371,90.0,109.0,87.0,88.0,84.0,41.0,44.0,50.0,45.0,38.0,216,213,215,210,202,95.0,81.0,89.0,50.0,48.0,86,78,80,79,82,,,,,,462.0,475.0,505.0,582.0,719.0,0.0,42.0,35.0,,,1189,1058,1030,1024,872,30.0,31.0,38.0,28.0,36.0,486,458.0,507.0,491.0,443,258,253,252,270,222,,,,,,19.0,20.0,18.0,17.0,18.0,,,,,,4.0,5.0,5.0,5.0,5.0,29,28,30,32,33,16.0,17.0,19.0,17.0,16.0,8.0,8.0,8.0,8.0,11.0,32,33,35,36,35,9.0,10.0,10.0,9.0,8.0,16,18,16,16,16,,,,,,15.0,14.0,13.0,14.0,16.0,3.0,3.0,3.0,,,56,52,52,48,45,8.0,7.0,6.0,6.0,6.0,40,41.0,38.0,36.0,35,58,58,57,53,52,,,,,,2544.89,2544.97,2544.84,2544.82,2544.95,32.2,32.2,32.2,32.2,32.2,-87.76,-87.76,-87.76,-87.76,-87.76,9862.0,9790.0,10380.0,10108.0,10479.0,,,,,,0.0,16062.0,16502.0,16786.0,16627.0,13496,15329,18926,17613,19125,4587.0,4052.0,4270.0,4060.0,4475.0,1881.0,2182.0,2722.0,2560.0,2657.0,11010,11128,11292,11675,12030,3109.0,3071.0,2837.0,2955.0,3644.0,3195,2490,3129,3385,3014,,,,,,15862.0,16631.0,19163.0,24020.0,31991.0,0.0,683.0,411.0,,,37496,33138,33466,36286,34523,856.0,901.0,894.0,816.0,768.0,6043,6180.0,7092.0,6861.0,6767,4525,5322,6636,6164,8159,,,,,,0.0,0.0,0.0,0.0,0.0,20,20,19,19,19,0.0,0.0,0.0,0.0,0.0
