target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,16071,Oneida County,,,,,,,,,,,,,,,,43,24,30,21,32,,,,,,,,13.0,10.0,12.0,0.0,58.0,51.0,63.0,47.0,14.0,13.0,6.0,12.0,9.0,8,10.0,7.0,6.0,6.0,,,,,,,,,,,,,,,,189,191,193.0,196.0,188.0,4.0,4.0,7.0,3.0,5.0,84,94,85,82.0,87.0,9,10.0,5.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,10,11,12,10,12,,,,,,,,3.0,3.0,3.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,5.0,7.0,5,5.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,11,11,11.0,11.0,9.0,3.0,4.0,4.0,4.0,4.0,13,12,11,10.0,9.0,5,4.0,4.0,4.0,3.0,,,,,,3110.18,3109.33,3109.36,3109.17,3109.34,43.21,43.21,43.21,43.21,43.21,-75.4,-75.4,-75.4,-75.4,-75.4,,,,,,,,,,,,,,,,555,720,734,746,1124,,,,,,,,341.0,353.0,327.0,0.0,2759.0,3042.0,3257.0,3469.0,154.0,149.0,171.0,133.0,182.0,301,275.0,217.0,201.0,237.0,,,,,,,,,,,,,,,,5661,5907,6225.0,6351.0,6340.0,13.0,51.0,51.0,41.0,56.0,884,913,765,736.0,863.0,115,122.0,96.0,119.0,137.0,,,,,,0.0,0.0,0.0,0.0,0.0,4,4,4,4,5,0.0,0.0,0.0,0.0,0.0
1.0,16031,Cassia County,22.0,14.0,41.0,66.0,88.0,46.0,48.0,47.0,50.0,76.0,42.0,46.0,49.0,45.0,43.0,409,483,701,559,588,516.0,520.0,507.0,523.0,424.0,92.0,100.0,96.0,101.0,53.0,161.0,168.0,169.0,160.0,164.0,53.0,59.0,55.0,54.0,58.0,170,158.0,218.0,194.0,176.0,66.0,,134.0,12.0,,299.0,310.0,347.0,337.0,300.0,36.0,39.0,33.0,33.0,28.0,1316,1316,1305.0,1390.0,1339.0,174.0,173.0,189.0,182.0,175.0,810,857,867,875.0,915.0,198,200.0,183.0,201.0,171.0,,,,,,6.0,6.0,10.0,11.0,9.0,6.0,7.0,8.0,7.0,7.0,5.0,5.0,5.0,5.0,4.0,65,69,74,70,76,31.0,33.0,33.0,33.0,31.0,12.0,12.0,12.0,12.0,12.0,42.0,41.0,40.0,37.0,38.0,28.0,29.0,33.0,34.0,40.0,49,57.0,60.0,60.0,63.0,4.0,,3.0,3.0,,21.0,22.0,24.0,25.0,25.0,4.0,4.0,4.0,4.0,4.0,80,90,95.0,90.0,94.0,7.0,7.0,9.0,9.0,11.0,54,57,60,59.0,63.0,45,46.0,45.0,49.0,49.0,,,,,,6684.75,6683.87,6683.87,6683.87,6683.86,42.22,42.22,42.22,42.22,42.22,-113.58,-113.58,-113.58,-113.58,-113.58,1004.0,1204.0,1534.0,2323.0,3043.0,4642.0,4794.0,5271.0,3892.0,7156.0,3717.0,4048.0,4125.0,4231.0,4318.0,18673,26027,29421,26173,28835,27135.0,27681.0,27633.0,28036.0,25281.0,4138.0,4482.0,4430.0,4655.0,3187.0,7465.0,7100.0,6949.0,7829.0,8456.0,926.0,1034.0,1112.0,1205.0,1786.0,5473,5629.0,6932.0,7193.0,6925.0,1204.0,,6353.0,1525.0,,4816.0,5842.0,6999.0,6593.0,6678.0,235.0,233.0,263.0,266.0,350.0,42859,42497,46566.0,46426.0,48449.0,1211.0,1183.0,1239.0,1325.0,1778.0,10922,11674,13081,13201.0,16871.0,4962,5047.0,5054.0,5859.0,6010.0,,,,,,0.01,0.01,0.01,0.01,0.02,23,24,24,24,24,2.92,2.98,2.87,2.2,1.99
1.0,16073,Owyhee County,0.0,546.0,618.0,512.0,549.0,0.0,5.0,6.0,9.0,4.0,,,,,,163,213,201,242,237,87.0,92.0,93.0,92.0,91.0,17.0,18.0,18.0,15.0,14.0,25.0,34.0,27.0,24.0,24.0,9.0,7.0,4.0,5.0,16.0,22,34.0,25.0,110.0,95.0,,,,,,82.0,82.0,68.0,90.0,57.0,,,,,,219,208,246.0,285.0,281.0,,,,,,165,170,158,206.0,214.0,21,19.0,20.0,20.0,29.0,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,,,,,,36,41,42,45,51,8.0,9.0,10.0,11.0,10.0,3.0,3.0,3.0,3.0,3.0,9.0,8.0,7.0,8.0,8.0,4.0,4.0,5.0,6.0,9.0,10,9.0,8.0,10.0,11.0,,,,,,10.0,10.0,13.0,13.0,11.0,,,,,,20,21,22.0,24.0,24.0,,,,,,21,21,24,26.0,25.0,8,9.0,10.0,12.0,13.0,,,,,,19934.38,19934.01,19933.99,19936.5,19936.7,42.47,42.47,42.47,42.47,42.47,-116.16,-116.16,-116.16,-116.16,-116.16,0.0,15191.0,15469.0,16256.0,16984.0,0.0,220.0,258.0,251.0,233.0,,,,,,6762,8076,7909,8489,10230,4963.0,5288.0,5576.0,5707.0,5807.0,772.0,765.0,695.0,606.0,617.0,876.0,1014.0,1084.0,1034.0,1182.0,140.0,130.0,128.0,137.0,448.0,662,880.0,779.0,4815.0,4568.0,,,,,,3545.0,4801.0,3686.0,4122.0,3371.0,,,,,,5494,6048,6697.0,7434.0,7948.0,,,,,,1885,1937,2177,2282.0,2704.0,336,326.0,454.0,934.0,1511.0,,,,,,0.0,0.0,0.0,0.0,0.0,11,11,12,12,12,0.0,0.0,0.0,0.0,0.0
1.0,16063,Lincoln County,,,,,,,,,,,0.0,,,,,94,92,59,80,91,,,,,,,,,,,10.0,11.0,9.0,6.0,5.0,,,,,,30,21.0,23.0,28.0,41.0,,,,,,49.0,44.0,32.0,51.0,49.0,,,,,,98,95,104.0,94.0,85.0,,,,,4.0,26,21,30,24.0,29.0,17,19.0,20.0,10.0,9.0,,,,,,,,,,,,,,,,3.0,,,,,18,22,24,24,29,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,,,,,,5,5.0,6.0,6.0,7.0,,,,,,7.0,7.0,7.0,7.0,7.0,,,,,,6,6,7.0,6.0,6.0,,,,,3.0,5,5,6,6.0,5.0,6,6.0,6.0,4.0,6.0,,,,,,3123.52,3123.65,3123.65,3123.05,3123.61,35.49,35.49,35.49,35.49,35.49,-81.21,-81.21,-81.21,-81.21,-81.21,,,,,,,,,,,0.0,,,,,3966,3936,3226,3538,4614,,,,,,,,,,,272.0,293.0,267.0,251.0,185.0,,,,,,1391,755.0,1111.0,920.0,1605.0,,,,,,1437.0,1135.0,1088.0,1373.0,1684.0,,,,,,2535,2950,2860.0,3022.0,2739.0,,,,,175.0,301,286,311,337.0,408.0,288,394.0,491.0,179.0,262.0,,,,,,0.0,0.0,0.0,0.0,0.0,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0
1.0,16045,Gem County,0.0,45.0,22.0,34.0,26.0,,,,,,,,,,,265,286,347,381,449,90.0,90.0,88.0,109.0,132.0,8.0,12.0,16.0,15.0,12.0,59.0,69.0,64.0,58.0,62.0,26.0,23.0,18.0,29.0,27.0,91,99.0,113.0,127.0,140.0,,,,,,64.0,70.0,59.0,61.0,87.0,0.0,57.0,51.0,61.0,,754,805,837.0,861.0,826.0,26.0,27.0,23.0,48.0,42.0,277,307,309,323.0,315.0,132,129.0,132.0,108.0,104.0,0.0,,,,,6.0,5.0,6.0,5.0,6.0,,,,,,,,,,,78,92,100,112,132,14.0,12.0,13.0,12.0,14.0,4.0,4.0,4.0,5.0,5.0,17.0,17.0,17.0,16.0,18.0,16.0,17.0,16.0,19.0,19.0,31,33.0,32.0,33.0,30.0,,,,,,14.0,16.0,15.0,14.0,20.0,3.0,4.0,3.0,3.0,,38,40,40.0,43.0,48.0,6.0,6.0,6.0,6.0,8.0,24,26,25,27.0,28.0,35,40.0,36.0,37.0,37.0,3.0,,,,,1462.21,1462.21,1462.25,1462.03,1462.28,44.01,44.01,44.01,44.01,44.01,-116.38,-116.38,-116.38,-116.38,-116.38,0.0,2616.0,2473.0,2807.0,2472.0,,,,,,,,,,,9103,10605,11706,13974,18595,1892.0,1928.0,1927.0,3714.0,4729.0,358.0,364.0,370.0,1042.0,447.0,2746.0,2933.0,2992.0,3302.0,3585.0,666.0,673.0,775.0,1047.0,1078.0,4059,4734.0,5062.0,6917.0,7509.0,,,,,,1686.0,1779.0,1699.0,2060.0,3180.0,0.0,1844.0,2018.0,2567.0,,16503,29282,31133.0,32687.0,32205.0,294.0,308.0,341.0,472.0,520.0,3637,4061,4044,4744.0,5856.0,2754,2871.0,2933.0,3007.0,2932.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,17,17,17,18,19,0.0,0.0,0.0,0.0,0.0
1.0,16085,Valley County,31.0,28.0,26.0,15.0,11.0,0.0,43.0,42.0,42.0,43.0,0.0,21.0,22.0,22.0,21.0,446,487,543,584,638,59.0,60.0,79.0,71.0,96.0,30.0,29.0,27.0,32.0,46.0,65.0,64.0,58.0,63.0,61.0,134.0,112.0,101.0,104.0,126.0,96,96.0,99.0,105.0,101.0,0.0,11.0,5.0,6.0,7.0,87.0,90.0,88.0,93.0,95.0,14.0,20.0,15.0,25.0,28.0,497,506,540.0,546.0,564.0,316.0,315.0,459.0,450.0,396.0,968,1089,1190,1298.0,1214.0,171,169.0,175.0,200.0,197.0,,,,,,5.0,6.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,153,156,170,178,167,13.0,14.0,16.0,16.0,15.0,7.0,7.0,7.0,7.0,9.0,14.0,15.0,15.0,16.0,14.0,56.0,58.0,62.0,65.0,73.0,44,43.0,46.0,46.0,54.0,3.0,3.0,3.0,3.0,3.0,30.0,29.0,29.0,28.0,34.0,5.0,6.0,6.0,5.0,7.0,31,42,42.0,42.0,44.0,22.0,24.0,27.0,25.0,26.0,79,78,78,80.0,83.0,41,47.0,50.0,52.0,53.0,,,,,,9677.2,9677.21,9677.21,9673.26,9677.56,41.56,41.56,41.56,41.56,41.56,-98.98,-98.98,-98.98,-98.98,-98.98,1149.0,1204.0,835.0,805.0,934.0,0.0,4441.0,4156.0,5538.0,4990.0,0.0,1924.0,2217.0,2293.0,2520.0,18549,22734,25834,28140,31989,2782.0,3148.0,3913.0,4620.0,6198.0,1549.0,1651.0,1571.0,2502.0,2924.0,2673.0,2781.0,2241.0,3453.0,4064.0,4064.0,4000.0,4279.0,4890.0,5977.0,3755,3632.0,4031.0,4373.0,4823.0,0.0,556.0,426.0,468.0,470.0,4199.0,3997.0,4384.0,4740.0,5361.0,336.0,458.0,458.0,400.0,544.0,22409,24622,26116.0,27798.0,31581.0,4212.0,4723.0,5032.0,4928.0,5447.0,23023,25968,28545,30327.0,35960.0,4010,4034.0,4690.0,5264.0,6135.0,,,,,,0.0,0.0,0.0,0.0,0.0,10,10,11,11,11,0.0,0.0,0.0,0.0,0.0
1.0,16003,Adams County,11.0,20.0,29.0,23.0,23.0,,,,,,,,,,,53,44,39,46,51,,,,,,12.0,7.0,7.0,7.0,,23.0,12.0,7.0,11.0,10.0,4.0,4.0,5.0,3.0,7.0,14,14.0,21.0,28.0,32.0,,,,,,10.0,16.0,18.0,14.0,24.0,,,,,,50,53,43.0,52.0,49.0,12.0,9.0,6.0,,,43,65,92,71.0,79.0,16,16.0,12.0,12.0,11.0,,,,,,5.0,4.0,5.0,6.0,5.0,,,,,,,,,,,20,21,24,24,31,,,,,,3.0,3.0,3.0,3.0,,4.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,7,9.0,10.0,10.0,10.0,,,,,,7.0,9.0,8.0,7.0,8.0,,,,,,6,6,4.0,4.0,5.0,4.0,4.0,3.0,,,15,13,12,12.0,12.0,8,7.0,6.0,4.0,7.0,,,,,,3546.46,3546.46,3546.52,3546.08,3546.08,39.98,39.98,39.98,39.98,39.98,-91.21,-91.21,-91.21,-91.21,-91.21,1760.0,2122.0,2040.0,2077.0,2109.0,,,,,,,,,,,1465,1441,1535,1675,2303,,,,,,273.0,242.0,249.0,265.0,,626.0,346.0,308.0,349.0,401.0,130.0,153.0,150.0,187.0,212.0,330,586.0,1267.0,1270.0,1303.0,,,,,,241.0,413.0,403.0,522.0,809.0,,,,,,1633,1707,1813.0,2169.0,2220.0,421.0,466.0,396.0,,,680,790,947,867.0,1333.0,324,339.0,253.0,215.0,302.0,,,,,,0.0,0.0,0.0,0.0,0.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
1.0,16041,Franklin County,,,1.0,4.0,2.0,,45.0,45.0,41.0,39.0,0.0,45.0,42.0,38.0,39.0,170,170,184,215,206,155.0,140.0,130.0,125.0,144.0,55.0,70.0,67.0,74.0,72.0,71.0,69.0,71.0,69.0,72.0,16.0,17.0,22.0,23.0,28.0,61,58.0,57.0,50.0,62.0,,,,,,22.0,25.0,26.0,25.0,40.0,,,,,,413,419,439.0,456.0,499.0,18.0,14.0,15.0,13.0,15.0,259,220,280,275.0,297.0,63,55.0,54.0,53.0,53.0,,,,,,,,4.0,3.0,3.0,,3.0,3.0,3.0,3.0,5.0,5.0,6.0,5.0,5.0,55,57,62,66,67,12.0,15.0,14.0,15.0,18.0,5.0,6.0,5.0,5.0,6.0,18.0,19.0,21.0,21.0,22.0,13.0,13.0,18.0,18.0,20.0,26,26.0,25.0,19.0,20.0,,,,,,12.0,16.0,14.0,14.0,19.0,,,,,,28,30,31.0,30.0,33.0,6.0,7.0,6.0,6.0,6.0,19,23,20,19.0,23.0,22,20.0,18.0,19.0,21.0,,,,,,1729.1,1729.17,1729.17,1729.2,1729.17,33.2,33.2,33.2,33.2,33.2,-95.22,-95.22,-95.22,-95.22,-95.22,,,250.0,63.0,61.0,,2118.0,2212.0,2232.0,2238.0,0.0,3948.0,4158.0,4250.0,4218.0,5010,5317,5915,7604,8922,7772.0,7010.0,7080.0,7203.0,8460.0,996.0,1337.0,1354.0,1356.0,1319.0,2284.0,2438.0,3188.0,2931.0,3294.0,230.0,243.0,442.0,578.0,533.0,2167,2355.0,2191.0,1931.0,2455.0,,,,,,569.0,665.0,679.0,791.0,896.0,,,,,,13533,14016,15078.0,18093.0,21348.0,262.0,305.0,300.0,229.0,325.0,2313,2502,2627,2781.0,3157.0,1765,1740.0,1655.0,1672.0,1651.0,,,,,,0.0,0.0,0.0,0.0,0.0,13,13,13,14,14,0.0,0.0,0.0,0.0,0.0
1.0,16069,Nez Perce County,93.0,74.0,46.0,76.0,90.0,0.0,160.0,,,,,,,,,750,787,779,885,922,621.0,639.0,650.0,631.0,578.0,378.0,393.0,391.0,407.0,352.0,1152.0,1129.0,1065.0,1151.0,1032.0,140.0,151.0,131.0,139.0,155.0,515,508.0,503.0,488.0,517.0,34.0,37.0,69.0,68.0,51.0,429.0,336.0,426.0,410.0,530.0,142.0,112.0,89.0,121.0,108.0,3245,3204,3137.0,2938.0,2960.0,132.0,165.0,137.0,122.0,145.0,2052,1999,1842,1988.0,2021.0,666,702.0,706.0,649.0,657.0,,,,,,12.0,11.0,12.0,13.0,16.0,3.0,3.0,,,,,,,,,118,118,127,130,140,49.0,43.0,43.0,41.0,44.0,19.0,20.0,20.0,21.0,21.0,81.0,80.0,85.0,87.0,87.0,44.0,46.0,48.0,49.0,57.0,71,72.0,68.0,66.0,72.0,4.0,4.0,5.0,5.0,5.0,65.0,69.0,73.0,73.0,71.0,14.0,12.0,12.0,12.0,13.0,141,139,145.0,154.0,153.0,16.0,16.0,15.0,16.0,18.0,106,99,100,97.0,97.0,106,107.0,108.0,105.0,107.0,,,,,,2217.74,2217.72,2217.75,2217.66,2217.74,46.4,46.4,46.4,46.4,46.4,-116.81,-116.81,-116.81,-116.81,-116.81,6555.0,6416.0,3435.0,5769.0,7068.0,0.0,12001.0,,,,,,,,,34435,36859,40929,42442,46393,28143.0,29533.0,30675.0,30496.0,29430.0,14055.0,14121.0,13560.0,15134.0,14854.0,63849.0,66145.0,66625.0,72744.0,68112.0,4913.0,5033.0,4759.0,4980.0,6286.0,20813,20847.0,21050.0,20659.0,22202.0,1872.0,3101.0,7116.0,7085.0,9349.0,13206.0,11863.0,13736.0,16326.0,16498.0,3077.0,2385.0,2314.0,2930.0,2714.0,129375,134615,137799.0,126244.0,141895.0,2257.0,2817.0,2411.0,2164.0,3105.0,29207,29910,31334,31594.0,37800.0,15865,16340.0,16911.0,16374.0,18846.0,,,,,,0.22,0.22,0.2,0.11,0.16,40,40,40,40,42,2.07,2.03,2.11,2.35,2.21
1.0,16053,Jerome County,116.0,140.0,87.0,97.0,101.0,,,,,,76.0,83.0,73.0,88.0,69.0,338,358,440,547,561,379.0,456.0,393.0,465.0,490.0,64.0,57.0,59.0,66.0,69.0,98.0,102.0,104.0,104.0,98.0,19.0,26.0,45.0,42.0,44.0,102,108.0,103.0,89.0,86.0,,,,,,241.0,233.0,262.0,270.0,286.0,76.0,68.0,68.0,59.0,70.0,496,499,476.0,513.0,479.0,59.0,67.0,67.0,73.0,66.0,387,432,409,459.0,471.0,252,272.0,269.0,296.0,266.0,,,,,,13.0,14.0,13.0,13.0,13.0,,,,,,7.0,7.0,7.0,7.0,6.0,72,67,70,74,88,34.0,33.0,32.0,32.0,37.0,7.0,7.0,6.0,8.0,9.0,21.0,24.0,24.0,23.0,22.0,15.0,16.0,17.0,17.0,18.0,29,29.0,29.0,25.0,27.0,,,,,,39.0,39.0,38.0,37.0,37.0,6.0,4.0,5.0,5.0,5.0,39,39,37.0,37.0,42.0,5.0,5.0,5.0,5.0,5.0,34,35,36,39.0,39.0,52,57.0,57.0,56.0,55.0,,,,,,1560.76,1560.76,1560.76,1560.64,1560.76,42.7,42.7,42.7,42.7,42.7,-114.29,-114.29,-114.29,-114.29,-114.29,5395.0,6095.0,3768.0,4145.0,4447.0,,,,,,4521.0,4761.0,4528.0,4683.0,4329.0,14292,15823,19841,24818,26858,21567.0,25473.0,24865.0,29629.0,32991.0,3975.0,3802.0,3850.0,3781.0,4043.0,3558.0,3977.0,3894.0,3886.0,4111.0,475.0,762.0,1673.0,1940.0,1993.0,4860,4471.0,4078.0,4089.0,3696.0,,,,,,9556.0,9813.0,10248.0,10881.0,11306.0,1268.0,1287.0,1284.0,1345.0,1577.0,17272,18943,19732.0,20405.0,23108.0,1833.0,1885.0,1926.0,1909.0,2057.0,5707,6021,6582,6428.0,7893.0,5981,6798.0,7467.0,8938.0,8304.0,,,,,,0.06,0.06,0.06,0.17,0.2,23,23,24,24,24,2.07,2.71,2.57,1.87,1.84
