target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,17067,Hancock County,,,,,,32.0,28.0,20.0,29.0,33.0,38.0,41.0,39.0,41.0,38.0,141.0,131.0,145.0,143.0,139.0,328.0,301.0,296.0,297.0,287.0,39.0,34.0,34.0,31.0,26.0,181,166,159,159.0,174.0,20.0,19.0,12.0,20.0,7.0,161.0,194.0,198.0,202.0,194.0,,,,,,17.0,26.0,32.0,20.0,18.0,,,,,,530,539,533,486,483,3.0,11.0,5.0,5.0,6.0,191,211,219,217,203,186,204,206,211,179,,,,,,,,,,,4.0,4.0,4.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,34.0,33.0,33.0,30.0,28.0,32.0,31.0,30.0,30.0,32.0,9.0,10.0,9.0,9.0,9.0,30,28,27,25.0,28.0,5.0,5.0,6.0,8.0,7.0,18.0,19.0,20.0,23.0,23.0,,,,,,6.0,8.0,9.0,11.0,14.0,,,,,,29,30,30,29,27,3.0,3.0,3.0,3.0,4.0,37,35,36,34,41,64,59,59,56,55,,,,,,2108.9,2108.94,2109.12,2109.26,2109.12,40.39,40.39,40.39,40.39,40.39,-91.15,-91.15,-91.15,-91.15,-91.15,,,,,,1368.0,1368.0,1253.0,1389.0,1474.0,2768.0,3018.0,3164.0,3247.0,3123.0,5494.0,5916.0,6316.0,6257.0,6429.0,15405.0,13446.0,14551.0,15179.0,15267.0,1807.0,1728.0,1873.0,1361.0,1556.0,7177,6687,6779,7146.0,8145.0,248.0,175.0,223.0,351.0,354.0,12484.0,14557.0,11350.0,12195.0,12850.0,,,,,,314.0,405.0,504.0,528.0,549.0,,,,,,20440,20689,22143,22963,23582,159.0,181.0,176.0,176.0,224.0,3041,3023,3179,2633,3473,3473,3735,4094,4322,3983,,,,,,0.0,0.0,0.0,0.0,0.0,18,18,18,18,18,0.0,0.0,0.0,0.0,0.0
0.0,17119,Madison County,,,,,,59.0,59.0,59.0,72.0,106.0,1018.0,1034.0,1127.0,1046.0,1058.0,5676.0,5941.0,5832.0,5891.0,6303.0,3370.0,3543.0,3792.0,4292.0,4304.0,773.0,917.0,665.0,626.0,508.0,2913,2860,2861,2852.0,2552.0,978.0,985.0,947.0,1020.0,974.0,3636.0,3492.0,3678.0,3682.0,3797.0,688.0,625.0,1109.0,760.0,1459.0,4430.0,4462.0,3432.0,3577.0,4145.0,691.0,767.0,719.0,693.0,700.0,14119,14236,14511,14293,13369,2053.0,1983.0,2168.0,2371.0,1694.0,11226,11810,11454,11227,9947,4889,4872,4971,4740,4310,,1.0,3.0,2.0,2.0,,,,,,9.0,9.0,8.0,8.0,10.0,17.0,20.0,20.0,22.0,25.0,537.0,522.0,537.0,523.0,528.0,228.0,228.0,213.0,212.0,208.0,88.0,92.0,90.0,90.0,85.0,454,440,442,436.0,428.0,233.0,232.0,239.0,230.0,244.0,535.0,509.0,484.0,465.0,460.0,26.0,26.0,23.0,19.0,19.0,261.0,265.0,254.0,261.0,258.0,67.0,60.0,56.0,60.0,54.0,686,689,683,666,673,104.0,104.0,108.0,107.0,112.0,583,603,593,567,589,731,711,699,706,685,,3.0,4.0,4.0,4.0,1917.8,1917.76,1916.66,1916.69,1916.64,30.96,30.96,30.96,30.96,30.96,-95.95,-95.95,-95.95,-95.95,-95.95,,,,,,3511.0,4098.0,4311.0,5346.0,7809.0,97940.0,109549.0,93368.0,93164.0,94533.0,407136.0,429019.0,449405.0,443977.0,506072.0,197591.0,217030.0,228811.0,243629.0,261798.0,36389.0,42165.0,33557.0,29231.0,27862.0,155190,147363,155890,157937.0,163955.0,37890.0,37521.0,39548.0,41752.0,43731.0,264097.0,274946.0,292381.0,311011.0,312153.0,45911.0,47385.0,54171.0,57903.0,106215.0,139760.0,140599.0,125577.0,142546.0,178483.0,13746.0,13976.0,13737.0,13556.0,14173.0,538406,566413,583360,591379,615636,35238.0,32090.0,39624.0,37867.0,46501.0,160745,170916,171500,153288,187036,128668,133172,138641,129567,135390,,50.0,68.0,45.0,85.0,1.06,1.04,0.98,1.01,1.05,266,266,265,264,266,2.11,2.11,2.14,2.13,2.19
1.0,17063,Grundy County,,,,,,0.0,191.0,186.0,,,0.0,874.0,845.0,796.0,739.0,843.0,951.0,949.0,1074.0,1091.0,602.0,548.0,525.0,542.0,541.0,163.0,152.0,141.0,123.0,102.0,311,298,294,310.0,283.0,103.0,97.0,82.0,81.0,71.0,976.0,778.0,715.0,680.0,583.0,,,,41.0,32.0,228.0,232.0,315.0,307.0,597.0,78.0,92.0,77.0,90.0,74.0,2325,2478,2627,2558,2489,178.0,260.0,240.0,248.0,225.0,1996,2134,1876,2070,1885,1344,1319,741,746,675,,,,,,,,,,,3.0,3.0,3.0,,,3.0,5.0,5.0,6.0,6.0,137.0,136.0,139.0,136.0,134.0,50.0,48.0,44.0,41.0,45.0,23.0,22.0,22.0,20.0,22.0,69,61,67,65.0,62.0,36.0,32.0,30.0,32.0,38.0,89.0,86.0,87.0,84.0,84.0,,,,4.0,3.0,46.0,49.0,48.0,48.0,51.0,12.0,13.0,12.0,12.0,13.0,145,148,151,145,143,24.0,25.0,27.0,25.0,25.0,135,131,129,131,130,136,133,143,142,135,,,,,,1114.84,1114.85,1114.91,1115.04,1114.91,41.27,41.27,41.27,41.27,41.27,-88.41,-88.41,-88.41,-88.41,-88.41,,,,,,0.0,24838.0,19767.0,,,0.0,111113.0,112927.0,112384.0,105109.0,80632.0,79357.0,90177.0,93701.0,103987.0,32962.0,37148.0,37728.0,42057.0,46774.0,7310.0,7237.0,6682.0,6015.0,5957.0,18146,16657,16517,18164.0,21784.0,3427.0,3370.0,2843.0,2584.0,2910.0,56316.0,53743.0,40372.0,39896.0,34469.0,,,,1707.0,1816.0,16182.0,15095.0,16932.0,16004.0,31061.0,1484.0,1500.0,1549.0,1467.0,1731.0,111400,118682,123796,125224,139335,3376.0,4119.0,4580.0,4458.0,5437.0,26725,29276,27925,29567,32231,65933,66338,25289,23919,26209,,,,,,0.12,0.15,0.18,0.12,0.12,50,51,51,51,52,2.26,2.07,2.32,2.32,2.39
1.0,17091,Kankakee County,10.0,11.0,8.0,8.0,7.0,0.0,28.0,27.0,30.0,29.0,62.0,80.0,78.0,76.0,106.0,1028.0,1002.0,985.0,1031.0,930.0,2223.0,2156.0,2111.0,2161.0,1927.0,632.0,437.0,437.0,354.0,273.0,826,1023,958,1024.0,801.0,327.0,335.0,345.0,335.0,287.0,736.0,741.0,674.0,685.0,682.0,401.0,636.0,666.0,617.0,527.0,1252.0,1207.0,1190.0,1077.0,1087.0,2187.0,2058.0,1733.0,1934.0,1684.0,7554,7409,7288,8082,6915,443.0,425.0,458.0,438.0,431.0,4186,4474,4609,4392,3981,1422,1446,1403,1398,1282,,,,,,7.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,205.0,210.0,208.0,206.0,199.0,128.0,119.0,121.0,116.0,113.0,38.0,39.0,39.0,35.0,35.0,145,144,143,134.0,125.0,88.0,98.0,97.0,100.0,98.0,140.0,136.0,129.0,121.0,129.0,17.0,16.0,16.0,15.0,15.0,112.0,112.0,100.0,109.0,109.0,20.0,17.0,19.0,19.0,18.0,291,285,295,296,294,40.0,37.0,37.0,31.0,37.0,242,241,249,258,254,270,263,252,251,246,,,,,,1764.46,1764.43,1764.43,1764.54,1764.42,41.13,41.13,41.13,41.13,41.13,-87.85,-87.85,-87.85,-87.85,-87.85,797.0,809.0,614.0,702.0,792.0,0.0,1893.0,2072.0,2224.0,2168.0,8175.0,8808.0,10094.0,10695.0,12819.0,68436.0,68024.0,71578.0,74750.0,69152.0,119205.0,116972.0,120877.0,124618.0,125106.0,25298.0,19804.0,21076.0,17206.0,15798.0,41240,50378,51895,49492.0,47280.0,12415.0,13799.0,13867.0,13080.0,13684.0,33312.0,33141.0,31371.0,31694.0,31193.0,24095.0,49906.0,52225.0,47404.0,50354.0,44706.0,44906.0,51398.0,50402.0,49679.0,41108.0,40110.0,39691.0,37155.0,37335.0,327510,306305,318218,345085,355584,7775.0,7504.0,7760.0,6881.0,8962.0,57416,62147,68145,59142,70648,38093,38846,39010,38631,40483,,,,,,0.67,0.68,0.66,0.72,0.6,111,111,111,110,108,2.41,2.28,2.21,2.13,2.25
1.0,17131,Mercer County,,,9.0,,,,,,,,,,,2.0,11.0,123.0,106.0,104.0,87.0,97.0,176.0,177.0,171.0,152.0,120.0,40.0,33.0,35.0,40.0,33.0,134,125,126,126.0,127.0,7.0,5.0,6.0,4.0,7.0,44.0,32.0,37.0,31.0,28.0,,,,,,88.0,90.0,101.0,97.0,94.0,,,,,,309,391,392,382,364,103.0,105.0,107.0,90.0,84.0,210,205,241,177,194,164,122,111,106,95,,,,,,,,3.0,,,,,,,,,,,8.0,7.0,30.0,27.0,23.0,24.0,32.0,17.0,18.0,18.0,15.0,15.0,8.0,8.0,8.0,8.0,8.0,27,24,26,24.0,24.0,4.0,4.0,4.0,6.0,5.0,16.0,15.0,14.0,12.0,10.0,,,,,,10.0,10.0,12.0,11.0,12.0,,,,,,21,22,22,23,23,7.0,7.0,8.0,7.0,6.0,25,24,24,20,22,43,39,37,36,38,,,,,,1473.05,1472.97,1473.14,1473.2,1473.15,41.33,41.33,41.33,41.33,41.33,-80.3,-80.3,-80.3,-80.3,-80.3,,,331.0,,,,,,,,,,,287.0,423.0,6792.0,7990.0,7919.0,5898.0,6654.0,8607.0,9223.0,9736.0,7301.0,6720.0,1448.0,1407.0,1477.0,1615.0,1555.0,4906,5273,5090,5687.0,5452.0,178.0,176.0,137.0,160.0,217.0,1444.0,1222.0,1222.0,1072.0,1152.0,,,,,,2207.0,2227.0,2825.0,3044.0,2992.0,,,,,,12549,13753,14114,14027,14188,1105.0,1063.0,1033.0,1027.0,1088.0,2250,2274,2344,2017,2665,2750,2394,2150,1831,1898,,,,,,0.0,0.0,0.0,0.0,0.0,16,16,16,16,16,0.0,0.0,0.0,0.0,0.0
0.0,17167,Sangamon County,24.0,26.0,23.0,25.0,29.0,308.0,284.0,308.0,270.0,261.0,291.0,294.0,300.0,296.0,289.0,3172.0,3227.0,3130.0,3114.0,3041.0,3201.0,3112.0,3073.0,3191.0,2762.0,1791.0,1890.0,1884.0,1735.0,1469.0,5375,5775,5406,5347.0,5187.0,893.0,916.0,850.0,830.0,817.0,5213.0,5039.0,4563.0,4127.0,4090.0,2235.0,2214.0,2217.0,2144.0,2941.0,3649.0,3536.0,3511.0,3451.0,3216.0,1327.0,1406.0,1274.0,1258.0,1191.0,22504,22327,22121,22523,20667,1372.0,1499.0,1417.0,1607.0,1156.0,10192,10144,10202,9795,8233,5764,5810,5770,5558,5137,5.0,12.0,13.0,16.0,15.0,8.0,8.0,6.0,7.0,7.0,7.0,7.0,6.0,5.0,4.0,15.0,18.0,20.0,19.0,22.0,464.0,452.0,444.0,431.0,435.0,215.0,214.0,205.0,201.0,193.0,101.0,103.0,101.0,105.0,90.0,364,366,360,351.0,357.0,239.0,235.0,230.0,237.0,229.0,502.0,497.0,480.0,480.0,476.0,30.0,30.0,32.0,32.0,34.0,265.0,256.0,256.0,268.0,269.0,60.0,60.0,58.0,57.0,58.0,472,485,467,467,479,100.0,108.0,107.0,108.0,112.0,552,545,545,531,531,686,676,661,634,639,5.0,4.0,7.0,6.0,4.0,2271.3,2271.31,2271.39,2271.47,2271.48,39.76,39.76,39.76,39.76,39.76,-89.65,-89.65,-89.65,-89.65,-89.65,645.0,693.0,636.0,647.0,553.0,20978.0,21037.0,20688.0,18639.0,18200.0,27771.0,29314.0,27620.0,29316.0,30586.0,204348.0,204777.0,201512.0,221628.0,225415.0,160302.0,169477.0,174913.0,187368.0,183562.0,130644.0,137094.0,139220.0,130828.0,123820.0,332804,373194,368990,395360.0,400536.0,31672.0,29398.0,30564.0,31417.0,33337.0,310347.0,306488.0,291774.0,277336.0,289369.0,152436.0,181669.0,158396.0,173523.0,230246.0,116304.0,114179.0,112482.0,106805.0,112693.0,38953.0,39807.0,36245.0,39963.0,42039.0,1055470,1086955,1146981,1183440,1144449,30599.0,33452.0,35588.0,35232.0,42100.0,153415,157891,159502,132372,164261,208215,211794,217126,213307,221496,230.0,222.0,273.0,330.0,330.0,0.93,0.87,0.83,0.75,0.64,198,198,197,196,197,2.3,2.3,2.3,2.31,2.35
1.0,17003,Alexander County,,,,32.0,,,,,,,,,,,,7.0,7.0,7.0,6.0,6.0,14.0,10.0,6.0,7.0,,0.0,5.0,5.0,5.0,5.0,19,18,15,13.0,14.0,,,,,,40.0,29.0,28.0,9.0,10.0,,,,,,18.0,1.0,4.0,,,,,,,,186,203,189,178,99,,,,4.0,,73,64,89,78,103,37,34,49,35,31,,,,,,,,,3.0,,,,,,,,,,,,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,6,6,5,4.0,5.0,,,,,,6.0,5.0,6.0,4.0,4.0,,,,,,4.0,3.0,3.0,,,,,,,,9,8,8,7,6,,,,3.0,,10,12,11,9,9,12,12,13,13,11,,,,,,654.34,654.35,654.44,654.42,654.42,37.18,37.18,37.18,37.18,37.18,-89.35,-89.35,-89.35,-89.35,-89.35,,,,814.0,,,,,,,,,,,,422.0,327.0,303.0,362.0,471.0,710.0,202.0,144.0,139.0,,0.0,354.0,378.0,368.0,312.0,466,455,371,374.0,792.0,,,,,,1197.0,1165.0,1163.0,643.0,678.0,,,,,,211.0,69.0,80.0,,,,,,,,5888,6188,5556,5233,3675,,,,28.0,,857,936,944,645,1816,1249,1068,1094,1064,952,,,,,,0.0,0.0,0.0,0.0,0.0,7,7,6,6,5,0.0,0.0,0.0,0.0,0.0
0.0,17129,Menard County,,,,,,,,,,,,,,,49.0,106.0,98.0,84.0,81.0,93.0,96.0,100.0,112.0,93.0,85.0,,,,,,101,111,98,91.0,92.0,9.0,8.0,2.0,3.0,3.0,118.0,78.0,91.0,81.0,94.0,,,,,,37.0,21.0,26.0,28.0,23.0,,,,,,74,76,79,81,80,36.0,35.0,23.0,28.0,27.0,166,124,118,99,117,106,94,93,93,77,,,,,,,,,,,,,,,,,,,,3.0,33.0,30.0,25.0,25.0,26.0,12.0,14.0,12.0,12.0,11.0,,,,,,15,16,15,15.0,16.0,3.0,5.0,3.0,4.0,3.0,15.0,16.0,15.0,15.0,16.0,,,,,,11.0,10.0,9.0,8.0,10.0,,,,,,8,9,10,10,8,8.0,8.0,7.0,6.0,6.0,20,18,17,17,20,27,29,32,29,29,,,,,,817.25,817.26,817.09,817.02,817.04,30.86,30.86,30.86,30.86,30.86,-99.83,-99.83,-99.83,-99.83,-99.83,,,,,,,,,,,,,,,4891.0,4960.0,4717.0,4188.0,4358.0,4948.0,4749.0,4842.0,4894.0,5158.0,5264.0,,,,,,4633,4414,4976,5169.0,5186.0,234.0,169.0,172.0,265.0,205.0,3831.0,3360.0,2835.0,3148.0,3456.0,,,,,,989.0,619.0,763.0,892.0,1142.0,,,,,,2574,2674,2716,2760,2957,994.0,446.0,452.0,361.0,743.0,1859,1701,1649,1540,2399,2649,2737,2407,2523,2456,,,,,,0.0,0.0,0.0,0.0,0.0,12,12,12,12,12,0.0,0.0,0.0,0.0,0.0
1.0,17157,Randolph County,,,5.0,,10.0,0.0,172.0,203.0,201.0,133.0,0.0,269.0,200.0,194.0,174.0,510.0,421.0,454.0,399.0,482.0,497.0,498.0,539.0,582.0,549.0,78.0,82.0,79.0,76.0,70.0,289,294,290,302.0,287.0,25.0,48.0,28.0,28.0,30.0,284.0,310.0,285.0,327.0,328.0,172.0,263.0,175.0,174.0,177.0,564.0,273.0,273.0,299.0,179.0,102.0,110.0,129.0,137.0,113.0,1949,2243,2042,2055,1971,61.0,37.0,35.0,32.0,22.0,969,889,853,835,788,543,542,554,557,551,,,,,,,,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,68.0,70.0,69.0,65.0,71.0,27.0,25.0,25.0,24.0,25.0,12.0,12.0,12.0,13.0,13.0,50,49,49,50.0,49.0,10.0,10.0,8.0,7.0,7.0,28.0,26.0,26.0,27.0,26.0,5.0,5.0,5.0,5.0,5.0,21.0,20.0,20.0,21.0,23.0,7.0,7.0,7.0,7.0,6.0,76,75,71,72,64,9.0,9.0,9.0,8.0,7.0,68,75,74,71,77,112,108,107,109,108,,,,,,1546.92,1546.32,1546.41,1546.06,1546.01,38.05,38.05,38.05,38.05,38.05,-89.81,-89.81,-89.81,-89.81,-89.81,,,52.0,,183.0,0.0,15237.0,16400.0,12565.0,10639.0,0.0,27003.0,24812.0,23773.0,19817.0,22381.0,22783.0,25723.0,24948.0,30732.0,23087.0,23774.0,27232.0,28398.0,33789.0,2851.0,3145.0,3108.0,3367.0,3343.0,12667,12871,12902,13128.0,15913.0,1045.0,1285.0,849.0,848.0,1043.0,10925.0,11899.0,13547.0,15540.0,15412.0,8471.0,12324.0,8265.0,8273.0,8358.0,8684.0,5903.0,5349.0,5107.0,4035.0,2362.0,2272.0,2497.0,2417.0,2587.0,80183,101492,93673,96435,97191,1711.0,444.0,495.0,387.0,516.0,11242,11037,11550,10275,12137,15057,17638,18843,19889,20953,,,,,,0.06,0.03,0.0,0.0,0.0,33,33,32,32,31,1.52,1.6,0.0,0.0,0.0
1.0,17031,Cook County,100.0,101.0,96.0,97.0,51.0,560.0,445.0,426.0,302.0,280.0,6511.0,6535.0,6826.0,6604.0,6576.0,73333.0,75288.0,75286.0,73941.0,70105.0,114294.0,113450.0,113096.0,112788.0,109194.0,75029.0,77702.0,80059.0,76933.0,67760.0,191372,196613,196653,197167.0,206729.0,46184.0,44960.0,46011.0,45798.0,43978.0,226470.0,232987.0,236693.0,245217.0,249494.0,99340.0,100820.0,93848.0,99644.0,99367.0,155999.0,150697.0,154079.0,142667.0,133138.0,106290.0,107681.0,112081.0,113604.0,103103.0,371670,373132,378314,386104,374128,42999.0,42961.0,42582.0,43664.0,29231.0,253616,252271,254303,248905,183550,110381,109654,109350,107369,97305,100.0,140.0,115.0,122.0,171.0,22.0,22.0,20.0,17.0,13.0,18.0,18.0,14.0,11.0,12.0,89.0,110.0,106.0,114.0,121.0,10510.0,10633.0,10686.0,10699.0,10801.0,6717.0,6612.0,6401.0,6274.0,6212.0,2808.0,2905.0,2937.0,2837.0,2796.0,8775,8629,8619,8544.0,8355.0,6534.0,6643.0,6758.0,6836.0,6929.0,19309.0,19296.0,19247.0,19350.0,19520.0,1090.0,1048.0,1005.0,1016.0,1013.0,6638.0,6539.0,6564.0,6507.0,6623.0,2199.0,2218.0,2205.0,2199.0,2209.0,15164,15091,15282,15385,15527,2115.0,2166.0,2157.0,2150.0,2242.0,12518,12441,12614,12416,12399,12767,12718,12808,12733,12762,68.0,86.0,83.0,103.0,106.0,2481.58,2480.0,2479.99,2480.0,2479.97,41.82,41.82,41.82,41.82,41.82,-87.76,-87.76,-87.76,-87.76,-87.76,3137.0,3190.0,3570.0,3723.0,2317.0,40988.0,49979.0,41992.0,36167.0,33839.0,810759.0,792223.0,874609.0,870544.0,922039.0,5963818.0,6281193.0,6302443.0,5965023.0,6103635.0,8886337.0,9376444.0,9771954.0,9561403.0,10214801.0,7589209.0,7950995.0,8515810.0,8631832.0,9157004.0,23652366,23993569,24899921,25880017.0,30409955.0,3099477.0,3114399.0,3529024.0,3320210.0,3701438.0,23228001.0,25071429.0,26129647.0,28522437.0,30979048.0,10780028.0,12031954.0,12042859.0,11778626.0,12381187.0,6760521.0,6843260.0,7359589.0,6872278.0,7852058.0,5238692.0,5478055.0,5708939.0,5685245.0,5935616.0,17909262,18537329,19340257,21410609,20570829,1874543.0,1920541.0,2019544.0,1588050.0,1865378.0,5902359,6210887,6553042,4601670,5491038,4849523,5038438,5244899,5031415,5327545,9300.0,4480.0,4342.0,5431.0,6667.0,44.22,44.28,43.76,43.64,44.02,5239,5224,5198,5170,5265,6.77,6.69,6.7,6.76,6.86
