target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,29129,Mercer County,,,,,,,,,,,,,,,,23.0,26.0,11,27.0,24.0,,,,,,,,,,,32,30,33,26,20,5.0,6.0,8.0,5.0,3.0,,,,,9.0,,,,,,,,,,3.0,,,,,,63,75,60,71,70,,,,,,11.0,8.0,8,5.0,3.0,32,27,25,28,25,,,,,,,,,,,,,,,,,,,,,10.0,11.0,10,10.0,9.0,,,,,,,,,,,7,7,7,7,7,4.0,4.0,4.0,4.0,3.0,,,,,3.0,,,,,,,,,,3.0,,,,,,7,8,5,5,5,,,,,,4.0,5.0,5,4.0,5.0,13,12,13,12,13,,,,,,1178.84,1178.75,1178.77,1178.73,1178.77,41.33,41.33,41.33,41.33,41.33,-80.3,-80.3,-80.3,-80.3,-80.3,,,,,,,,,,,,,,,,1125.0,1129.0,1039,1033.0,1045.0,,,,,,,,,,,1271,1334,1290,1022,790,60.0,66.0,77.0,76.0,57.0,,,,,222.0,,,,,,,,,,240.0,,,,,,1454,1547,1754,1994,1820,,,,,,112.0,59.0,61,34.0,70.0,559,453,433,532,572,,,,,,0.0,0.0,0.0,0.0,0.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
0.0,29123,Madison County,,,,,,,,,,,,,,,,183.0,193.0,176,174.0,166.0,275.0,280.0,301.0,330.0,317.0,,,,,,76,74,79,70,68,17.0,18.0,19.0,22.0,25.0,52.0,41.0,45.0,44.0,48.0,,,,,,44.0,47.0,51.0,46.0,48.0,,,,,,855,1013,969,1028,1015,,,,,,271.0,282.0,295,272.0,292.0,248,266,264,277,277,,,,,,,,,,,,,,,,,,,,,32.0,33.0,36,32.0,32.0,13.0,11.0,12.0,10.0,10.0,,,,,,14,14,14,14,14,5.0,4.0,5.0,5.0,7.0,9.0,9.0,8.0,9.0,9.0,,,,,,14.0,14.0,14.0,12.0,14.0,,,,,,45,52,41,43,44,,,,,,22.0,20.0,22,21.0,23.0,32,33,32,27,25,,,,,,1288.69,1288.69,1288.69,1288.7,1288.87,30.96,30.96,30.96,30.96,30.96,-95.95,-95.95,-95.95,-95.95,-95.95,,,,,,,,,,,,,,,,6661.0,6781.0,5983,6403.0,6210.0,9649.0,10755.0,11681.0,11431.0,13431.0,,,,,,2010,2302,2488,2533,2640,386.0,439.0,476.0,547.0,580.0,1334.0,1023.0,1139.0,1484.0,1520.0,,,,,,1445.0,1556.0,1671.0,1688.0,1779.0,,,,,,22654,25735,27603,30694,31671,,,,,,2820.0,3044.0,3545,3212.0,3827.0,5014,5133,7995,6031,6716,,,,,,0.0,0.0,0.0,0.0,0.0,12,12,12,12,13,0.0,0.0,0.0,0.0,0.0
1.0,29229,Wright County,,21.0,17.0,21.0,16.0,,,,,,38.0,81.0,81.0,85.0,85.0,161.0,171.0,132,152.0,185.0,206.0,97.0,97.0,112.0,81.0,29.0,26.0,24.0,25.0,17.0,171,185,184,175,186,26.0,23.0,23.0,25.0,28.0,55.0,48.0,42.0,47.0,58.0,,,,,,57.0,56.0,49.0,59.0,73.0,21.0,20.0,21.0,22.0,21.0,542,589,570,549,448,27.0,31.0,35.0,34.0,31.0,324.0,379.0,402,370.0,383.0,185,195,207,191,206,,,2.0,4.0,8.0,,4.0,3.0,4.0,3.0,,,,,,4.0,4.0,4.0,4.0,4.0,27.0,30.0,31,35.0,37.0,14.0,14.0,15.0,16.0,13.0,6.0,6.0,7.0,7.0,7.0,29,28,28,27,29,11.0,12.0,11.0,11.0,10.0,20.0,19.0,17.0,17.0,20.0,,,,,,15.0,15.0,13.0,13.0,14.0,4.0,4.0,4.0,5.0,3.0,51,52,49,45,41,3.0,3.0,4.0,3.0,3.0,27.0,26.0,28,24.0,23.0,43,50,53,53,55,,,3.0,5.0,5.0,1769.31,1769.37,1769.36,1769.28,1769.41,45.15,45.15,45.15,45.15,45.15,-93.96,-93.96,-93.96,-93.96,-93.96,,499.0,528.0,471.0,331.0,,,,,,2762.0,5647.0,6142.0,6575.0,6517.0,6094.0,5753.0,5386,6124.0,7376.0,5016.0,3568.0,3134.0,4110.0,3631.0,901.0,917.0,902.0,870.0,699.0,6119,6417,6433,7224,7706,447.0,455.0,616.0,743.0,858.0,978.0,951.0,1002.0,1136.0,1284.0,,,,,,2162.0,2272.0,2130.0,3526.0,5464.0,208.0,245.0,256.0,263.0,299.0,15140,15575,15663,15579,15736,397.0,373.0,440.0,408.0,448.0,3615.0,4113.0,4426,4292.0,4707.0,3066,3425,3694,3773,4948,,,8.0,19.0,83.0,0.0,0.0,0.0,0.0,0.0,18,18,18,18,18,0.0,0.0,0.0,0.0,0.0
0.0,29047,Clay County,9.0,9.0,14.0,19.0,30.0,56.0,60.0,72.0,83.0,84.0,183.0,182.0,169.0,182.0,179.0,4082.0,4503.0,4506,4899.0,4942.0,5172.0,5190.0,5257.0,5293.0,5138.0,498.0,525.0,566.0,573.0,515.0,2646,2717,2808,2809,2729,1062.0,1029.0,1087.0,1094.0,1165.0,18502.0,19847.0,20757.0,20222.0,21856.0,1231.0,1345.0,1303.0,1455.0,1609.0,6684.0,6050.0,6830.0,7198.0,9086.0,1060.0,1047.0,969.0,964.0,918.0,13429,13865,14308,14195,13968,2202.0,2338.0,2160.0,2310.0,1347.0,11734.0,12123.0,11660,12019.0,10544.0,4525,4640,4713,4796,4932,21.0,8.0,3.0,6.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,474.0,484.0,476,486.0,511.0,333.0,333.0,325.0,317.0,309.0,65.0,66.0,78.0,73.0,70.0,408,390,407,414,424,251.0,253.0,269.0,305.0,332.0,559.0,560.0,551.0,548.0,557.0,26.0,25.0,23.0,27.0,32.0,296.0,304.0,319.0,326.0,316.0,59.0,60.0,59.0,62.0,64.0,621,649,651,641,671,74.0,71.0,75.0,73.0,72.0,434.0,451.0,460,446.0,463.0,521,520,533,520,530,7.0,8.0,7.0,8.0,5.0,1058.49,1058.48,1058.53,1058.49,1058.49,33.69,33.69,33.69,33.69,33.69,-98.21,-98.21,-98.21,-98.21,-98.21,204.0,193.0,220.0,296.0,478.0,5157.0,6550.0,8009.0,8500.0,9455.0,18062.0,18066.0,16700.0,21308.0,20553.0,307980.0,293694.0,314274,313485.0,324756.0,304870.0,313534.0,330972.0,329798.0,360848.0,25780.0,27203.0,30484.0,34444.0,36190.0,195417,207116,197755,216940,224926,50726.0,51971.0,53114.0,56320.0,62300.0,1734399.0,1702457.0,1861235.0,1895041.0,2132595.0,151481.0,154304.0,201871.0,203554.0,223483.0,216107.0,192589.0,239360.0,268455.0,327513.0,22926.0,22666.0,21728.0,22406.0,24150.0,660466,701258,735483,677046,816038,36849.0,35984.0,37067.0,24176.0,35609.0,218232.0,233729.0,230613,213707.0,244898.0,125517,133996,143446,140795,153393,214.0,597.0,79.0,474.0,29.0,3.28,3.43,3.33,3.31,3.44,236,239,243,246,250,2.01,1.9,1.94,2.12,2.12
0.0,29217,Vernon County,,,,,,3.0,,,,,0.0,,,,,102.0,119.0,106,132.0,148.0,209.0,219.0,232.0,228.0,235.0,78.0,81.0,81.0,64.0,51.0,437,438,393,393,360,36.0,47.0,45.0,37.0,35.0,115.0,120.0,92.0,82.0,79.0,,,,,,100.0,101.0,73.0,80.0,98.0,0.0,411.0,399.0,,,1463,1439,1400,1443,1290,12.0,15.0,12.0,11.0,15.0,465.0,494.0,447,477.0,489.0,226,227,230,198,204,,1.0,1.0,8.0,,,,,,,4.0,,,,,3.0,,,,,35.0,34.0,35,38.0,42.0,27.0,27.0,25.0,25.0,26.0,9.0,9.0,9.0,9.0,9.0,43,40,39,38,37,13.0,14.0,13.0,13.0,14.0,31.0,29.0,27.0,25.0,25.0,,,,,,10.0,10.0,10.0,11.0,13.0,3.0,3.0,3.0,,,73,94,80,84,89,6.0,5.0,4.0,4.0,4.0,41.0,37.0,38,37.0,38.0,53,49,52,49,49,,4.0,3.0,3.0,,2167.38,2167.42,2167.41,2167.39,2167.38,37.86,37.86,37.86,37.86,37.86,-94.38,-94.38,-94.38,-94.38,-94.38,,,,,,75.0,,,,,0.0,,,,,4086.0,4632.0,4495,5939.0,6386.0,8623.0,9414.0,8990.0,9616.0,12034.0,1995.0,1961.0,2158.0,1555.0,1540.0,17967,17999,16778,17446,16956,1113.0,1171.0,1129.0,1025.0,949.0,3381.0,3317.0,3080.0,2773.0,2811.0,,,,,,2922.0,2941.0,2471.0,2710.0,2987.0,0.0,10138.0,10841.0,,,43487,44174,45420,47822,48726,277.0,253.0,263.0,261.0,275.0,6562.0,7389.0,6975,7286.0,8575.0,3856,3836,3864,3619,4329,,43.0,21.0,97.0,,0.02,0.02,0.0,0.0,0.0,21,21,21,21,20,1.63,1.7,0.0,0.0,0.0
1.0,29065,Dent County,30.0,37.0,35.0,45.0,43.0,,,,,,,,,,,207.0,206.0,184,166.0,158.0,0.0,340.0,327.0,406.0,329.0,27.0,29.0,25.0,26.0,27.0,179,182,177,176,194,16.0,16.0,20.0,22.0,26.0,47.0,54.0,45.0,45.0,46.0,,,,,,19.0,20.0,18.0,24.0,22.0,,,48.0,46.0,44.0,826,899,803,838,742,19.0,24.0,26.0,27.0,14.0,320.0,357.0,376,345.0,360.0,98,106,107,110,110,,8.0,5.0,,4.0,6.0,6.0,8.0,9.0,8.0,,,,,,,,,,,29.0,28.0,30,27.0,24.0,12.0,10.0,11.0,9.0,10.0,5.0,5.0,4.0,5.0,4.0,18,19,18,18,18,13.0,14.0,15.0,15.0,13.0,14.0,14.0,13.0,11.0,13.0,,,,,,7.0,5.0,6.0,10.0,8.0,,,3.0,3.0,3.0,42,80,53,47,43,4.0,4.0,5.0,5.0,5.0,24.0,25.0,26,23.0,22.0,32,34,36,41,39,,6.0,5.0,,3.0,1954.22,1954.28,1954.21,1954.28,1954.34,37.62,37.62,37.62,37.62,37.62,-91.52,-91.52,-91.52,-91.52,-91.52,1093.0,1232.0,1252.0,1596.0,1676.0,,,,,,,,,,,7573.0,7842.0,6995,6882.0,6338.0,0.0,20068.0,19656.0,24728.0,9696.0,763.0,832.0,757.0,784.0,752.0,7618,8096,8135,8533,9393,573.0,687.0,734.0,840.0,896.0,1257.0,1217.0,1343.0,1417.0,1575.0,,,,,,351.0,356.0,315.0,469.0,562.0,,,587.0,568.0,567.0,21681,22812,24776,27599,26543,370.0,410.0,405.0,302.0,311.0,4128.0,4546.0,4652,4589.0,5526.0,1801,1823,1912,2187,2552,,15.0,37.0,,38.0,0.0,0.0,0.0,0.0,0.0,16,16,16,16,15,0.0,0.0,0.0,0.0,0.0
0.0,29195,Saline County,47.0,38.0,39.0,36.0,35.0,,,,,,,,,,,90.0,93.0,86,96.0,99.0,429.0,435.0,362.0,351.0,336.0,164.0,156.0,143.0,135.0,108.0,251,253,254,257,239,17.0,21.0,22.0,28.0,28.0,99.0,122.0,88.0,78.0,73.0,,,,,,69.0,60.0,58.0,68.0,90.0,0.0,588.0,600.0,598.0,569.0,1475,1447,1432,1286,1290,84.0,83.0,118.0,97.0,71.0,494.0,640.0,586,567.0,534.0,254,245,232,209,225,,,,,,6.0,6.0,5.0,4.0,3.0,,,,,,,,,,,26.0,24.0,24,26.0,25.0,41.0,39.0,36.0,35.0,35.0,10.0,10.0,10.0,10.0,11.0,48,48,46,46,44,9.0,8.0,9.0,9.0,11.0,29.0,29.0,28.0,28.0,25.0,,,,,,16.0,15.0,15.0,16.0,20.0,3.0,3.0,3.0,3.0,3.0,65,60,62,52,55,7.0,8.0,7.0,7.0,7.0,43.0,44.0,46,46.0,46.0,70,64,60,58,58,,,,,,1986.16,1986.18,1986.18,1986.26,1986.17,37.75,37.75,37.75,37.75,37.75,-88.53,-88.53,-88.53,-88.53,-88.53,1900.0,1774.0,1921.0,1885.0,1531.0,,,,,,,,,,,3346.0,3421.0,3430,3575.0,3843.0,18572.0,19025.0,18057.0,18235.0,18633.0,5479.0,5478.0,5193.0,5000.0,5149.0,11768,12300,12781,13334,14474,342.0,360.0,415.0,571.0,741.0,3365.0,3096.0,3181.0,2865.0,3025.0,,,,,,2146.0,1942.0,1861.0,2673.0,3661.0,0.0,10065.0,10538.0,10583.0,10892.0,49478,50012,50892,46351,49401,1640.0,1751.0,1938.0,1183.0,1573.0,6163.0,7378.0,7484,6998.0,7645.0,5231,5412,5336,5272,5226,,,,,,0.02,0.05,0.05,0.05,0.08,23,23,23,23,23,3.35,2.46,2.44,2.53,1.98
0.0,29147,Nodaway County,22.0,31.0,31.0,32.0,25.0,,,,,,38.0,37.0,42.0,46.0,46.0,140.0,158.0,140,154.0,183.0,260.0,265.0,165.0,169.0,178.0,86.0,81.0,80.0,80.0,75.0,177,188,188,180,175,25.0,24.0,25.0,29.0,37.0,159.0,131.0,137.0,134.0,120.0,,,,,,58.0,58.0,66.0,169.0,138.0,76.0,74.0,64.0,58.0,52.0,1092,1053,1188,1177,1149,37.0,39.0,14.0,12.0,27.0,824.0,837.0,828,927.0,886.0,381,405,370,376,332,12.0,9.0,11.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,,,,,,4.0,4.0,4.0,4.0,3.0,56.0,55.0,55,53.0,60.0,22.0,21.0,20.0,21.0,20.0,13.0,14.0,11.0,12.0,13.0,34,36,39,37,37,13.0,17.0,19.0,15.0,19.0,29.0,28.0,25.0,27.0,28.0,,,,,,23.0,22.0,20.0,21.0,19.0,4.0,4.0,4.0,4.0,5.0,51,54,49,52,57,6.0,7.0,3.0,4.0,6.0,38.0,41.0,40,42.0,41.0,57,56,56,59,64,6.0,6.0,5.0,4.0,3.0,2273.8,2273.77,2273.76,2273.83,2273.89,40.35,40.35,40.35,40.35,40.35,-94.87,-94.87,-94.87,-94.87,-94.87,698.0,749.0,868.0,1022.0,1094.0,,,,,,4169.0,4033.0,4366.0,5139.0,5811.0,5730.0,5597.0,5200,5744.0,7448.0,9158.0,8466.0,6501.0,7715.0,7771.0,2528.0,2674.0,2505.0,2377.0,2566.0,9537,9826,9757,9521,11722,595.0,732.0,889.0,946.0,1125.0,5976.0,5642.0,6849.0,6544.0,6262.0,,,,,,1429.0,1528.0,1531.0,3969.0,4238.0,100.0,90.0,79.0,71.0,113.0,39270,40428,48227,51208,54070,383.0,475.0,173.0,237.0,364.0,11402.0,11605.0,11882,11486.0,13615.0,8703,8617,8746,9023,9011,82.0,92.0,85.0,62.0,138.0,0.06,0.04,0.07,0.07,0.08,23,23,22,22,22,2.32,3.06,2.12,2.46,1.93
1.0,29227,Worth County,,,,,,,,,,,,,,,,,,15,3.0,4.0,0.0,13.0,12.0,12.0,13.0,,,,,,13,13,13,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,14,21,18,21,19,,,,,,,11.0,13,6.0,24.0,13,13,13,14,14,,,,,,,,,,,,,,,,,,,,,,,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,3,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,7,5,,,,,,,3.0,3,3.0,4.0,10,9,9,9,11,,,,,,691.01,691.02,691.02,690.69,690.95,31.52,31.52,31.52,31.52,31.52,-83.87,-83.87,-83.87,-83.87,-83.87,,,,,,,,,,,,,,,,,,108,124.0,153.0,0.0,577.0,578.0,593.0,643.0,,,,,,530,511,571,649,635,,,,,,,,,,,,,,,,,,,,,,,,,,372,420,456,580,626,,,,,,,125.0,158,207.0,194.0,319,291,280,272,394,,,,,,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0
1.0,29041,Chariton County,,,,,,,,,,,,,,,,94.0,78.0,65,64.0,67.0,217.0,204.0,169.0,177.0,171.0,,,18.0,23.0,24.0,77,77,78,85,85,14.0,9.0,15.0,11.0,16.0,26.0,26.0,28.0,31.0,26.0,,,,,,10.0,10.0,10.0,5.0,10.0,,,,,,296,305,294,297,254,26.0,20.0,18.0,35.0,36.0,83.0,75.0,78,80.0,64.0,111,109,91,90,96,,,2.0,8.0,,,,,,,,,,,,,,,,,20.0,19.0,19,18.0,18.0,14.0,14.0,12.0,13.0,13.0,,,3.0,3.0,3.0,14,14,14,15,15,6.0,5.0,6.0,7.0,7.0,9.0,7.0,7.0,6.0,5.0,,,,,,4.0,4.0,4.0,4.0,3.0,,,,,,17,21,18,17,18,6.0,4.0,3.0,3.0,4.0,14.0,16.0,17,14.0,16.0,30,28,29,26,28,,,3.0,3.0,,1985.75,1985.73,1985.75,1985.75,1985.75,39.54,39.54,39.54,39.54,39.54,-92.95,-92.95,-92.95,-92.95,-92.95,,,,,,,,,,,,,,,,2510.0,2229.0,2154,2402.0,2681.0,9975.0,9367.0,8350.0,9135.0,10069.0,,,1046.0,1350.0,1303.0,3712,3430,3611,4145,4366,129.0,104.0,231.0,144.0,168.0,614.0,666.0,676.0,720.0,654.0,,,,,,395.0,438.0,130.0,253.0,267.0,,,,,,6610,6488,7030,7015,7911,279.0,346.0,553.0,579.0,813.0,793.0,800.0,728,731.0,850.0,2151,2218,2189,2270,2585,,,64.0,218.0,,0.0,0.0,0.0,0.0,0.0,8,8,7,7,7,0.0,0.0,0.0,0.0,0.0
