target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,32001,Churchill County,,,,,,82.0,79.0,87.0,111.0,172.0,77.0,69.0,91.0,124.0,137.0,474.0,476.0,457.0,482.0,521.0,134.0,126.0,115.0,115.0,123.0,90.0,88.0,94.0,111.0,86.0,136.0,149.0,142.0,130.0,123.0,103.0,126.0,123.0,90.0,101.0,308.0,347.0,307.0,320.0,438.0,,,,,,135.0,337.0,135.0,146.0,141.0,,,,,,771.0,698.0,694.0,781.0,790.0,279.0,274.0,288.0,284.0,243.0,650,639,775,719,726,257.0,263.0,269.0,274.0,258,,,,,,,,,,,3.0,3.0,3.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,57.0,56.0,60.0,58.0,60.0,26.0,25.0,23.0,24.0,23.0,7.0,4.0,4.0,4.0,4.0,32.0,31.0,32.0,32.0,30.0,28.0,26.0,23.0,24.0,25.0,37.0,37.0,37.0,39.0,43.0,,,,,,24.0,25.0,25.0,28.0,27.0,,,,,,44.0,42.0,40.0,39.0,40.0,13.0,12.0,13.0,11.0,13.0,52,52,54,54,59,54.0,53.0,53.0,56.0,56,,,,,,13017.2,13018.32,13018.32,13011.45,13017.43,39.61,39.61,39.61,39.61,39.61,-118.42,-118.42,-118.42,-118.42,-118.42,,,,,,5277.0,5108.0,7272.0,9885.0,12445.0,6985.0,5765.0,8709.0,12941.0,13664.0,21647.0,24091.0,24156.0,26096.0,26373.0,4335.0,4272.0,3944.0,3993.0,4355.0,3325.0,2622.0,2826.0,2292.0,2953.0,6346.0,6576.0,6700.0,6693.0,6647.0,3009.0,3911.0,4201.0,2614.0,3195.0,18368.0,21334.0,21008.0,25693.0,32138.0,,,,,,5979.0,8622.0,5932.0,5919.0,6009.0,,,,,,32564.0,32097.0,34114.0,39176.0,41645.0,6197.0,6210.0,6297.0,5125.0,5743.0,9806,11800,13071,13036,17334,5498.0,5897.0,6210.0,5903.0,7341,,,,,,0.0,0.0,0.0,0.01,0.01,24,24,24,25,25,0.0,1.82,2.24,1.93,2.17
1.0,32005,Douglas County,12.0,10.0,9.0,7.0,7.0,0.0,,28.0,22.0,19.0,23.0,58.0,39.0,40.0,38.0,1241.0,1424.0,1462.0,1555.0,1606.0,338.0,350.0,378.0,376.0,355.0,266.0,275.0,216.0,206.0,193.0,346.0,348.0,347.0,348.0,358.0,638.0,529.0,548.0,307.0,302.0,823.0,1003.0,865.0,815.0,1054.0,88.0,115.0,53.0,67.0,58.0,852.0,874.0,744.0,999.0,957.0,129.0,128.0,171.0,125.0,110.0,1538.0,1619.0,1553.0,1597.0,1561.0,341.0,485.0,516.0,628.0,484.0,5555,5745,5575,5604,4325,666.0,636.0,612.0,639.0,649,,14.0,6.0,6.0,,8.0,7.0,5.0,6.0,5.0,3.0,,4.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,204.0,210.0,217.0,216.0,218.0,59.0,61.0,62.0,62.0,61.0,47.0,47.0,45.0,45.0,46.0,112.0,107.0,103.0,115.0,116.0,109.0,119.0,133.0,129.0,136.0,245.0,251.0,244.0,241.0,246.0,6.0,6.0,6.0,6.0,8.0,103.0,109.0,105.0,113.0,117.0,20.0,18.0,20.0,19.0,18.0,118.0,120.0,126.0,123.0,120.0,40.0,41.0,43.0,49.0,45.0,135,141,142,135,135,106.0,110.0,112.0,122.0,134,,8.0,3.0,9.0,,1911.08,1911.06,1911.08,1912.58,1912.52,39.76,39.76,39.76,39.76,39.76,-88.22,-88.22,-88.22,-88.22,-88.22,314.0,217.0,169.0,129.0,162.0,0.0,,1466.0,1697.0,726.0,1258.0,2134.0,802.0,803.0,846.0,72566.0,72848.0,75345.0,82002.0,89758.0,22017.0,24051.0,23953.0,23795.0,25017.0,15361.0,15345.0,12394.0,11035.0,12652.0,28326.0,28555.0,31489.0,34588.0,38043.0,26430.0,22784.0,23120.0,20983.0,25036.0,43977.0,45708.0,52312.0,63307.0,77508.0,6265.0,7044.0,5704.0,5324.0,6974.0,27391.0,28433.0,28313.0,32169.0,35646.0,2044.0,2309.0,2553.0,2029.0,2879.0,71276.0,76406.0,80612.0,83719.0,90831.0,17533.0,22555.0,22443.0,22387.0,20991.0,159503,174791,176559,164361,152756,19599.0,18080.0,19645.0,20140.0,22855,,946.0,443.0,425.0,,0.08,0.08,0.08,0.08,0.08,48,48,48,48,49,2.98,2.8,2.63,2.78,2.7
1.0,32007,Elko County,,,,,,4762.0,5137.0,5388.0,4997.0,5201.0,95.0,109.0,108.0,92.0,97.0,1316.0,1384.0,1322.0,1384.0,1451.0,899.0,923.0,977.0,917.0,903.0,149.0,151.0,152.0,147.0,134.0,297.0,282.0,292.0,292.0,298.0,302.0,302.0,323.0,332.0,306.0,422.0,424.0,451.0,447.0,535.0,,,,129.0,137.0,473.0,566.0,568.0,547.0,506.0,29.0,9.0,37.0,11.0,14.0,1648.0,1702.0,1770.0,1691.0,1636.0,411.0,440.0,435.0,287.0,297.0,5236,5215,5163,5082,4458,657.0,639.0,654.0,614.0,621,,,,,,,,,,,26.0,25.0,24.0,22.0,28.0,6.0,6.0,6.0,5.0,5.0,100.0,105.0,107.0,104.0,112.0,77.0,76.0,76.0,72.0,69.0,23.0,21.0,21.0,21.0,22.0,62.0,58.0,58.0,59.0,56.0,53.0,52.0,52.0,53.0,52.0,93.0,92.0,91.0,87.0,93.0,,,,3.0,4.0,48.0,50.0,52.0,52.0,52.0,4.0,3.0,4.0,3.0,5.0,124.0,122.0,125.0,124.0,127.0,28.0,26.0,30.0,29.0,29.0,153,158,156,158,164,86.0,86.0,91.0,95.0,96,,,,,,44554.0,44553.19,44554.44,44551.72,44552.46,41.2,41.2,41.2,41.2,41.2,-115.33,-115.33,-115.33,-115.33,-115.33,,,,,,487104.0,511031.0,583272.0,602621.0,590701.0,9039.0,11788.0,11971.0,9503.0,9962.0,88646.0,93717.0,94719.0,93439.0,109283.0,58573.0,70680.0,72302.0,69576.0,72635.0,5620.0,5612.0,5556.0,5384.0,5316.0,14353.0,15165.0,14863.0,17776.0,21193.0,9928.0,10454.0,11520.0,11905.0,11353.0,23410.0,22648.0,25813.0,26490.0,29906.0,,,,12923.0,13158.0,16030.0,16245.0,15130.0,18450.0,19199.0,176.0,93.0,201.0,162.0,309.0,69122.0,72668.0,75411.0,74635.0,75469.0,9925.0,10736.0,11698.0,5517.0,6643.0,123452,135712,136324,114478,129511,33764.0,35075.0,37278.0,35623.0,32210,,,,,,0.01,0.01,0.01,0.01,0.01,52,52,52,53,53,1.8,2.09,2.15,2.6,2.62
1.0,32015,Lander County,,,,,,,,,,,0.0,33.0,35.0,36.0,50.0,25.0,128.0,126.0,27.0,34.0,112.0,119.0,123.0,123.0,124.0,,,,,,10.0,13.0,11.0,15.0,9.0,,5.0,4.0,4.0,5.0,5.0,6.0,7.0,7.0,8.0,,,,,,12.0,6.0,9.0,15.0,14.0,,,,,,0.0,172.0,188.0,203.0,298.0,0.0,48.0,52.0,48.0,48.0,138,147,161,157,149,31.0,34.0,17.0,42.0,45,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,8.0,10.0,9.0,8.0,10.0,4.0,4.0,4.0,4.0,4.0,,,,,,3.0,3.0,3.0,3.0,3.0,,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,,,,,,3.0,4.0,4.0,4.0,4.0,,,,,,8.0,9.0,9.0,9.0,8.0,3.0,3.0,3.0,3.0,4.0,16,19,18,17,15,9.0,8.0,8.0,8.0,9,,,,,,14298.83,14298.82,14298.82,14296.3,14299.23,39.91,39.91,39.91,39.91,39.91,-116.98,-116.98,-116.98,-116.98,-116.98,,,,,,,,,,,0.0,1774.0,1917.0,2006.0,2775.0,703.0,8037.0,5570.0,841.0,942.0,5615.0,7257.0,7767.0,7374.0,7573.0,,,,,,377.0,450.0,421.0,364.0,339.0,,112.0,118.0,138.0,204.0,141.0,170.0,205.0,253.0,282.0,,,,,,189.0,197.0,280.0,351.0,425.0,,,,,,0.0,7752.0,7934.0,8107.0,8017.0,0.0,1200.0,1227.0,1124.0,1291.0,2026,2590,2968,2515,2551,822.0,1050.0,1525.0,2221.0,1694,,,,,,0.0,0.0,0.0,0.0,0.0,6,6,6,6,6,0.0,0.0,0.0,0.0,0.0
0.0,32027,Pershing County,,,,,,493.0,494.0,473.0,563.0,608.0,,,,,,,,,,,,,,,,,,,,,13.0,12.0,13.0,12.0,9.0,,,,,9.0,,9.0,5.0,4.0,19.0,,,,,,,,,,,,,,,,0.0,147.0,136.0,113.0,126.0,,,,,,100,109,120,104,99,16.0,15.0,12.0,12.0,12,,,,,,,,,,,5.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,4.0,4.0,3.0,3.0,3.0,,,,,4.0,,3.0,3.0,4.0,5.0,,,,,,,,,,,,,,,,5.0,5.0,4.0,4.0,5.0,,,,,,10,10,8,7,7,4.0,5.0,4.0,4.0,4,,,,,,15712.42,15713.33,15711.19,15715.22,15713.32,40.39,40.39,40.39,40.39,40.39,-118.48,-118.48,-118.48,-118.48,-118.48,,,,,,41065.0,37067.0,41187.0,48505.0,59420.0,,,,,,,,,,,,,,,,,,,,,487.0,523.0,353.0,444.0,240.0,,,,,120.0,,167.0,76.0,125.0,610.0,,,,,,,,,,,,,,,,0.0,5080.0,5067.0,5708.0,5795.0,,,,,,1476,1587,1767,1528,1580,618.0,641.0,566.0,444.0,485,,,,,,0.0,0.0,0.0,0.0,0.0,7,7,7,7,7,0.0,0.0,0.0,0.0,0.0
1.0,32011,Eureka County,,,,,,0.0,1392.0,1633.0,1345.0,1337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,22,27,23,16,45,,,,,16,,,,,,,,,,,4.0,6.0,6.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,3.0,,,,,,,,,,5,5,6,6,6,,,,,4,,,,,,10827.28,10827.1,10827.02,10827.05,10826.85,39.95,39.95,39.95,39.95,39.95,-116.29,-116.29,-116.29,-116.29,-116.29,,,,,,0.0,184379.0,164410.0,173344.0,141088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,395,404,395,577,679,,,,,1089,,,,,,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0
0.0,32013,Humboldt County,,,,,,1711.0,1620.0,1944.0,2291.0,2385.0,0.0,129.0,124.0,120.0,112.0,231.0,239.0,392.0,244.0,255.0,122.0,122.0,119.0,126.0,126.0,45.0,48.0,47.0,43.0,33.0,83.0,83.0,80.0,69.0,71.0,24.0,26.0,29.0,49.0,54.0,95.0,93.0,88.0,74.0,70.0,,,,,,222.0,202.0,182.0,163.0,186.0,0.0,,,,21.0,354.0,572.0,617.0,654.0,710.0,73.0,63.0,74.0,67.0,66.0,1187,1059,1063,1093,982,157.0,175.0,187.0,174.0,187,,,,,,,,,,,17.0,17.0,20.0,20.0,19.0,4.0,4.0,4.0,4.0,4.0,32.0,33.0,35.0,35.0,39.0,17.0,16.0,14.0,15.0,16.0,10.0,10.0,10.0,9.0,8.0,18.0,16.0,15.0,15.0,15.0,10.0,14.0,14.0,14.0,16.0,22.0,21.0,24.0,22.0,22.0,,,,,,15.0,16.0,17.0,20.0,22.0,3.0,,,,3.0,35.0,37.0,37.0,39.0,39.0,11.0,11.0,12.0,12.0,11.0,61,65,71,68,70,36.0,38.0,35.0,39.0,39,,,,,,25012.07,25010.22,25012.24,25012.37,25009.98,40.6,40.6,40.6,40.6,40.6,-123.9,-123.9,-123.9,-123.9,-123.9,,,,,,171375.0,180458.0,210704.0,238842.0,242893.0,0.0,15417.0,12750.0,14822.0,13866.0,11503.0,15168.0,20839.0,13517.0,17066.0,6107.0,8455.0,8071.0,9493.0,10033.0,2587.0,2574.0,2379.0,2292.0,2000.0,3726.0,3232.0,2853.0,3055.0,4866.0,672.0,790.0,904.0,1557.0,1343.0,4716.0,4504.0,3767.0,3170.0,2506.0,,,,,,7691.0,6802.0,5903.0,7655.0,9164.0,0.0,,,,528.0,8837.0,26004.0,28378.0,32647.0,38798.0,883.0,1201.0,1362.0,1083.0,1319.0,21203,19199,20437,18729,22151,5192.0,6145.0,6918.0,8279.0,7652,,,,,,0.01,0.01,0.0,0.0,0.0,17,17,17,17,17,1.73,1.56,0.0,0.0,1.75
1.0,32021,Mineral County,,,,,,10.0,14.0,28.0,23.0,25.0,,,,,,34.0,39.0,21.0,26.0,23.0,,,,,,,8.0,,7.0,11.0,,,,,,,,,,,5.0,7.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,0.0,147.0,156.0,162.0,163.0,,,,,,147,145,137,165,136,17.0,15.0,12.0,8.0,7,,,,,,,,,,,4.0,5.0,5.0,4.0,5.0,,,,,,5.0,5.0,5.0,4.0,4.0,,,,,,,3.0,,3.0,3.0,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,5.0,4.0,4.0,4.0,4.0,,,,,,8,9,10,12,13,6.0,5.0,5.0,4.0,5,,,,,,9875.76,9875.69,9875.76,9871.4,9873.3,37.66,37.66,37.66,37.66,37.66,-106.93,-106.93,-106.93,-106.93,-106.93,,,,,,609.0,1274.0,1787.0,1287.0,3187.0,,,,,,1224.0,1245.0,928.0,1306.0,1391.0,,,,,,,589.0,,649.0,799.0,,,,,,,,,,,265.0,217.0,228.0,326.0,330.0,,,,,,,,,,,,,,,,0.0,6748.0,7802.0,8955.0,7815.0,,,,,,2456,2806,2921,2652,2790,448.0,368.0,384.0,321.0,310,,,,,,0.0,0.0,0.0,0.0,0.0,4,4,4,4,5,0.0,0.0,0.0,0.0,0.0
1.0,32033,White Pine County,,,,,,0.0,1375.0,1267.0,1307.0,1303.0,,,,,,77.0,64.0,77.0,64.0,51.0,58.0,63.0,68.0,71.0,57.0,23.0,19.0,20.0,19.0,13.0,38.0,36.0,39.0,37.0,41.0,17.0,16.0,16.0,16.0,20.0,20.0,24.0,22.0,41.0,48.0,,,,,,34.0,41.0,44.0,40.0,34.0,,,,,,333.0,350.0,300.0,303.0,379.0,19.0,24.0,24.0,27.0,27.0,470,455,402,412,414,64.0,61.0,53.0,56.0,50,,,,,,,,,,,7.0,5.0,5.0,5.0,5.0,,,,,,23.0,21.0,18.0,18.0,16.0,6.0,5.0,7.0,5.0,3.0,5.0,5.0,5.0,5.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,11.0,11.0,12.0,,,,,,6.0,9.0,11.0,9.0,10.0,,,,,,16.0,16.0,17.0,18.0,23.0,5.0,5.0,5.0,5.0,5.0,36,39,34,34,36,14.0,13.0,13.0,14.0,14,,,,,,23036.95,23039.26,23037.75,23038.58,23035.69,39.53,39.53,39.53,39.53,39.53,-114.89,-114.89,-114.89,-114.89,-114.89,,,,,,0.0,111219.0,111060.0,121373.0,124707.0,,,,,,2942.0,2998.0,3909.0,3501.0,3337.0,3732.0,4004.0,4371.0,4262.0,4132.0,893.0,857.0,880.0,836.0,835.0,1532.0,1586.0,1683.0,1659.0,1790.0,312.0,417.0,335.0,374.0,529.0,617.0,792.0,1181.0,3603.0,3782.0,,,,,,1225.0,1336.0,875.0,1194.0,1158.0,,,,,,18599.0,19422.0,18264.0,19939.0,22489.0,589.0,656.0,734.0,732.0,951.0,9267,9087,9670,9052,10595,2172.0,2091.0,2054.0,1883.0,1831,,,,,,0.0,0.0,0.0,0.0,0.0,10,10,10,10,9,0.0,0.0,0.0,0.0,0.0
1.0,32017,Lincoln County,,,,,,39.0,53.0,31.0,24.0,40.0,,,,,,19.0,18.0,26.0,32.0,24.0,,,,,,,,,27.0,29.0,27.0,30.0,30.0,32.0,34.0,,,,,,17.0,24.0,16.0,19.0,5.0,,,,,,3.0,,,,,,,,,,97.0,103.0,98.0,93.0,88.0,,,,,,93,85,58,86,57,4.0,,6.0,14.0,13,,,,,,,,,,,5.0,5.0,4.0,4.0,4.0,,,,,,8.0,9.0,9.0,8.0,7.0,,,,,,,,,3.0,3.0,5.0,5.0,5.0,5.0,5.0,,,,,,8.0,8.0,6.0,6.0,4.0,,,,,,3.0,,,,,,,,,,7.0,7.0,6.0,6.0,6.0,,,,,,12,12,13,11,10,3.0,,4.0,5.0,5,,,,,,27553.04,27553.19,27553.54,27549.12,27549.48,35.49,35.49,35.49,35.49,35.49,-81.21,-81.21,-81.21,-81.21,-81.21,,,,,,1816.0,1839.0,1446.0,1658.0,1836.0,,,,,,652.0,774.0,1072.0,1665.0,1031.0,,,,,,,,,946.0,1476.0,1498.0,1485.0,1547.0,1680.0,1801.0,,,,,,583.0,752.0,720.0,804.0,227.0,,,,,,173.0,,,,,,,,,,3662.0,4012.0,3974.0,4022.0,3921.0,,,,,,1315,1355,933,888,936,159.0,,305.0,420.0,471,,,,,,0.0,0.0,0.0,0.0,0.0,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0
