target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,23017,Oxford County,167,170,181,171,173,,,,,,37.0,38.0,31.0,33.0,36.0,782,767,849,847,954,194,213,223,226,204,137,147,243,151,114,321,332,329,334,334,163,160,168,154,170,344,366,301,333,309,0.0,,,,12.0,228,224,228,233,260,447,415,403,386,345,3084,2975,2759,2691,2601,211,196,222,223,257,2930,2686,2751,2737,2273,502,513,481,464,437,,1.0,,2.0,2.0,48,45,43,46,45,,,,,,5.0,5.0,5.0,5.0,6.0,187,197,196,196,210,34,38,39,36,38,29,29,33,33,32,42,42,43,40,40,49,47,47,50,52,75,77,68,70,70,3.0,,,,3.0,61,64,66,66,71,15,13,13,14,13,135,131,132,132,135,30,30,32,32,31,150,151,147,140,147,134,137,135,134,135,,4.0,,4.0,3.0,5636.83,5636.83,5636.84,5635.78,5636.94,44.47,44.47,44.47,44.47,44.47,-70.78,-70.78,-70.78,-70.78,-70.78,7836,8401,8693,9026,9488,,,,,,3395.0,3507.0,2247.0,3816.0,3846.0,34093,37973,43222,45799,51322,8120,8513,8811,8615,9806,5722,6360,12060,8499,7146,16661,17322,17599,19945,23456,6589,5416,5630,7108,7660,16389,16605,11855,12635,14748,0.0,,,,767.0,9631,9362,10063,9844,11457,18783,16195,15859,15035,15864,108469,108001,113688,112788,117581,4725,4933,5060,4641,6293,54257,58548,63080,50269,65462,10817,11019,11114,10550,11465,,55.0,,27.0,26.0,0.0,0.0,0.0,0.0,0.0,57,57,58,58,0.0,0.0,0.0,0.0,0.0,0.0
1.0,23027,Waldo County,35,32,33,16,26,,,,,,,,,,,514,531,558,569,625,329,345,356,370,364,0,886,817,797,784,743,378,384,699,748,58,57,51,53,92,207,252,255,244,236,37.0,21.0,19.0,20.0,16.0,298,324,292,287,206,440,433,466,514,259,1774,1726,1822,1679,1601,102,120,137,143,122,860,777,692,720,637,430,459,486,498,454,,,,,,12,12,9,9,11,,,,,,,,,,,138,149,148,147,162,27,27,23,22,18,19,21,21,21,21,31,34,30,31,33,30,29,34,29,33,64,69,69,67,69,6.0,5.0,4.0,4.0,3.0,52,51,52,57,56,15,13,15,17,15,116,114,112,112,111,23,25,27,24,26,94,92,92,85,92,102,106,103,106,105,,,,,,1977.14,1977.11,1977.14,1977.11,1977.14,44.49,44.49,44.49,44.49,44.49,-69.14,-69.14,-69.14,-69.14,-69.14,1117,997,945,629,852,,,,,,,,,,,23491,22408,25550,27606,30441,15437,15894,16778,17620,17802,0,98912,110426,53919,52705,48079,31486,32731,52713,52492,2491,2053,2325,2624,3808,9198,12076,13755,12023,13056,2586.0,1635.0,1670.0,1410.0,1379.0,10301,11954,13055,13101,9081,9428,9501,10291,10584,9356,81498,82265,85729,85998,80871,3260,3496,3866,3508,3807,18316,19276,19178,15219,21544,13419,14458,15924,15865,16209,,,,,,0.0,0.0,0.0,0.0,0.0,39,39,40,40,40.0,0.0,0.0,0.0,0.0,0.0
1.0,23029,Washington County,266,243,238,232,139,,,,,,,,,,,261,263,264,293,317,188,196,246,263,273,88,96,83,81,77,289,292,312,328,299,20,28,42,41,37,129,125,149,131,126,,,,,,91,77,86,98,103,261,254,264,227,253,1799,1719,1710,1713,1678,21,14,16,16,14,618,576,522,477,386,236,229,235,247,258,,,,12.0,3.0,65,62,62,62,67,,,,,,,,,,,95,92,90,97,104,47,46,50,49,45,20,20,20,21,20,32,30,30,30,30,13,15,14,12,16,27,29,29,27,29,,,,,,26,27,28,25,25,16,15,16,15,15,105,96,92,97,100,11,10,9,8,12,82,80,74,62,67,73,64,68,65,67,,,,4.0,3.0,7352.18,7352.45,7352.45,7351.3,7351.14,30.22,30.22,30.22,30.22,30.22,-96.39,-96.39,-96.39,-96.39,-96.39,9965,10262,9630,9582,7637,,,,,,,,,,,9264,9887,10867,12715,13821,7146,8678,11532,12207,14733,3661,3788,3474,3251,3213,15946,18194,17421,21323,21860,535,835,1146,1233,1376,6604,7852,7513,7829,8324,,,,,,2764,2919,3488,3626,4326,7355,7781,8290,8536,9259,65556,66954,68454,69788,70169,385,420,349,312,499,9789,10646,10241,8331,9546,6249,6787,7263,7973,9163,,,,98.0,53.0,0.0,0.0,0.0,0.0,0.0,32,32,31,31,31.0,0.0,0.0,0.0,0.0,0.0
1.0,23019,Penobscot County,631,647,649,642,582,,,,,,595.0,635.0,558.0,587.0,707.0,2661,3185,3041,3370,3305,2245,2129,2215,2179,2103,1214,1000,915,937,828,1942,1995,2130,1912,1976,892,840,840,875,787,1736,1753,1747,1849,1899,1326.0,1376.0,1022.0,2009.0,1927.0,2620,2256,2112,2194,2320,1664,1735,1772,1719,1675,14639,14712,15302,14866,14819,574,719,803,838,781,5980,5939,5933,5777,4618,1850,1879,1831,1871,1826,,2.0,3.0,,,70,73,64,66,63,,,,,,13.0,16.0,17.0,15.0,16.0,444,455,457,471,494,176,180,169,164,162,67,67,64,64,67,201,199,204,194,190,182,187,188,201,215,305,301,301,299,297,31.0,27.0,27.0,24.0,21.0,207,213,217,209,222,42,42,43,42,45,544,582,589,589,601,68,69,69,65,61,330,331,331,313,310,375,370,368,365,378,,4.0,3.0,,,9214.29,9214.36,9214.23,9213.94,9214.19,45.29,45.29,45.29,45.29,45.29,-68.6,-68.6,-68.6,-68.6,-68.6,31345,32231,31531,31358,30373,,,,,,49224.0,50295.0,48059.0,53241.0,59919.0,149058,171818,175986,191071,212153,105702,116630,118146,118713,128035,55363,47607,45499,44965,45989,125038,132344,144665,145128,163074,29256,29358,30497,30863,34705,91026,95931,100390,110612,115908,89555.0,98659.0,74057.0,147066.0,132678.0,79819,60374,62397,65701,83324,41898,42817,43801,45269,45800,758709,797484,848852,880725,875565,12249,13722,15842,13235,15850,104009,108465,111719,94204,110232,54918,55319,56846,59466,62795,,52.0,32.0,,,0.06,0.06,0.08,0.06,0.06,152,152,152,152,152.0,2.53,2.27,2.24,2.37,2.55
1.0,23021,Piscataquis County,61,58,62,66,70,,,,,,,,,25.0,21.0,158,175,193,190,189,7,9,8,7,4,0,17,13,15,17,70,76,76,70,73,27,28,30,36,37,53,66,67,73,79,,,,,,206,190,153,151,163,0,114,121,138,114,1347,1381,1305,1239,1160,73,48,52,48,38,315,357,384,351,328,95,98,87,104,105,,,,,1.0,16,14,15,19,19,,,,,,,,,3.0,3.0,62,59,57,59,64,7,7,6,5,4,6,6,6,6,8,18,18,18,17,20,15,17,17,21,18,11,12,13,15,17,,,,,,27,22,23,21,21,5,5,5,4,4,41,38,51,51,45,13,12,10,9,10,57,57,53,50,54,36,35,38,38,41,,,,,3.0,11338.74,11338.82,11338.82,11338.76,11338.77,45.84,45.84,45.84,45.84,45.84,-69.29,-69.29,-69.29,-69.29,-69.29,2682,2904,2830,3380,3879,,,,,,,,,2186.0,1933.0,7348,8616,9783,9176,8448,227,220,217,189,251,0,1064,892,827,920,2414,2608,2761,2889,3246,815,920,847,977,1148,1450,1641,1782,2470,2917,,,,,,3379,3283,3606,3817,4428,0,4418,4723,4751,5074,49481,53644,54384,53791,57385,829,863,943,782,828,6175,6663,7363,6181,7944,1971,2207,2195,2137,2299,,,,,28.0,0.0,0.0,0.0,0.0,0.0,17,17,17,17,17.0,0.0,0.0,0.0,0.0,0.0
0.0,23001,Androscoggin County,49,47,47,48,52,,,,,,238.0,227.0,116.0,118.0,130.0,2260,2546,2562,2625,2642,1521,1394,1495,1452,1471,1098,939,875,831,845,3298,3237,3185,3352,3036,463,475,474,463,438,1830,1594,1608,1561,1500,697.0,673.0,706.0,667.0,657.0,2721,3153,2641,2382,2349,1982,1959,2042,2027,1731,10035,9946,9674,9829,9356,349,359,433,381,401,3470,3609,3649,3801,3488,1235,1229,1249,1285,1271,,1.0,5.0,1.0,,13,13,14,13,16,,,,,,12.0,12.0,11.0,13.0,12.0,370,398,407,397,418,120,120,120,118,118,37,37,35,36,35,135,123,129,127,133,128,125,128,123,131,185,179,180,183,175,12.0,10.0,10.0,10.0,14.0,167,166,168,159,170,20,21,23,25,27,380,383,384,399,388,39,41,41,38,46,237,239,241,234,246,264,254,251,253,250,,3.0,4.0,3.0,,1287.45,1287.45,1287.45,1287.4,1287.41,44.14,44.14,44.14,44.14,44.14,-70.2,-70.2,-70.2,-70.2,-70.2,1879,1939,2012,2608,2696,,,,,,20510.0,14421.0,10500.0,12541.0,12254.0,117069,131818,137155,154444,156972,75959,70296,76955,75920,83312,48946,46409,34052,33279,63652,198545,172369,183866,208374,187755,17140,17403,18368,19094,20325,98581,91020,94428,104694,104112,38082.0,37936.0,40590.0,39692.0,47809.0,73471,78740,77221,68387,76375,56653,59203,63864,62455,63361,492089,492526,503357,512081,479844,5376,5949,5793,6019,8373,62564,69464,73797,64647,81343,36549,37357,39164,39404,42746,,98.0,46.0,17.0,,0.52,0.52,0.59,0.59,0.62,107,107,108,108,110.0,3.27,3.36,3.21,3.32,3.54
1.0,23003,Aroostook County,555,559,559,538,568,,,,,,0.0,46.0,25.0,,,661,702,671,700,698,582,535,560,483,460,351,338,326,318,259,831,830,828,834,893,307,315,324,273,265,362,333,333,337,352,92.0,98.0,98.0,79.0,94.0,586,504,472,320,338,84,91,79,79,79,5892,5711,6138,5910,5620,126,127,123,112,97,2018,1940,1939,1902,1507,623,620,615,678,660,,,,6.0,,139,140,132,138,142,,,,,,4.0,4.0,4.0,,,201,199,198,182,180,77,75,67,63,64,36,34,38,36,33,86,85,83,89,83,75,75,76,71,73,90,91,82,81,84,7.0,7.0,7.0,7.0,7.0,85,85,78,79,82,9,10,10,10,11,224,227,226,225,223,28,29,29,26,29,141,145,145,134,151,179,169,164,176,174,,,,5.0,,17681.23,17681.23,17681.34,17681.52,17681.39,46.68,46.68,46.68,46.68,46.68,-68.47,-68.47,-68.47,-68.47,-68.47,22798,24532,24513,24710,25338,,,,,,0.0,3822.0,1517.0,,,30305,35958,36132,38002,38465,30731,29603,31261,28406,27975,12560,11657,11714,12339,12198,41501,42352,45218,48303,52856,7520,7898,8412,7399,7728,14336,13565,14550,15178,16437,4694.0,4600.0,3722.0,3672.0,4192.0,15826,12866,13443,10772,13499,1999,2154,1821,1795,1881,252618,243953,252414,260150,269228,1564,1748,1776,1641,2104,30232,31010,32819,28689,30307,15040,15464,15812,17162,17780,,,,79.0,,0.0,0.0,0.0,0.0,0.0,69,68,68,67,67.0,1.54,1.55,2.06,2.0,2.4
1.0,23023,Sagadahoc County,15,12,13,13,8,,,,,,,8.0,4.0,,,994,1064,1072,1060,1093,148,141,139,156,134,145,146,151,136,96,297,301,307,302,291,71,61,71,68,76,809,770,784,742,664,7.0,20.0,22.0,25.0,21.0,330,329,322,385,273,191,200,187,168,121,1107,1177,1130,1164,1167,262,235,248,246,141,1093,1147,1133,1137,929,498,465,471,463,419,,,,9.0,,8,8,9,9,9,,,,,,,3.0,3.0,,,171,186,186,180,195,20,21,19,22,19,18,17,18,15,14,32,32,31,31,32,35,32,35,33,37,110,108,109,110,100,3.0,3.0,4.0,4.0,3.0,45,50,55,57,54,8,7,7,12,7,116,116,126,120,118,15,15,16,15,16,85,84,86,85,84,92,92,93,94,96,,,,3.0,,772.05,772.05,772.05,771.94,772.04,43.99,43.99,43.99,43.99,43.99,-69.87,-69.87,-69.87,-69.87,-69.87,191,227,299,302,277,,,,,,,568.0,505.0,,,57141,55354,57810,60796,68622,5407,4698,4977,5392,6277,5007,4375,4515,3899,3826,16303,16540,16994,19210,19529,2713,2844,3072,3157,3980,55447,51610,53218,48102,43834,651.0,866.0,915.0,946.0,810.0,9852,10508,11861,12047,11268,6559,6752,6185,7283,5217,30907,33796,36184,37692,41112,3492,3475,3849,3729,3863,23060,24444,25576,22343,28615,15903,14741,15118,14482,14626,,,,130.0,,0.24,0.1,0.1,0.1,0.1,35,35,35,36,37.0,1.52,1.88,2.05,2.14,1.86
1.0,23005,Cumberland County,110,100,125,108,111,0.0,3.0,4.0,7.0,5.0,578.0,727.0,446.0,446.0,491.0,8304,8719,8719,8320,8277,7396,7826,7792,7371,7076,4127,4225,4149,3864,3625,14059,13577,14395,14487,15904,3356,3354,3298,3529,3544,10892,11064,10647,11532,12069,6233.0,6255.0,6388.0,6316.0,6248.0,9664,10070,9767,9511,9073,6272,6328,7129,7066,5341,33509,35237,35367,35685,34345,2715,2805,2947,3042,1891,17246,17129,17080,17572,12638,6644,6931,6932,6908,6244,8.0,14.0,15.0,13.0,15.0,95,95,103,93,101,3.0,3.0,4.0,3.0,3.0,21.0,22.0,20.0,22.0,28.0,1169,1225,1236,1245,1308,481,473,476,472,467,252,256,260,257,278,650,635,636,634,651,652,665,685,718,761,1474,1474,1476,1479,1538,82.0,81.0,77.0,79.0,77.0,694,698,712,746,736,169,175,173,171,168,1374,1383,1402,1418,1474,240,251,252,247,242,1095,1103,1117,1078,1107,999,1005,991,1000,1000,12.0,14.0,20.0,20.0,12.0,2465.98,2465.98,2465.98,2459.88,2464.3,40.15,40.15,40.15,40.15,40.15,-77.28,-77.28,-77.28,-77.28,-77.28,4299,4516,4901,4456,5166,0.0,268.0,320.0,302.0,369.0,48057.0,50854.0,41503.0,45549.0,47235.0,487133,511976,533116,515129,538653,496394,523802,537697,559189,597695,268322,269308,253295,252709,256826,1160724,1181168,1286423,1354757,1453901,146694,162008,165610,177018,194430,784637,818033,873163,999077,1076024,613944.0,614721.0,632431.0,674878.0,719035.0,348763,363576,375933,367604,376470,225884,233441,226940,223594,228111,1753343,1896752,1977789,2073850,2147757,65407,69858,73591,64454,68848,386441,403810,438852,342984,441801,210822,225268,233059,228009,248485,296.0,307.0,394.0,427.0,216.0,0.89,0.89,0.75,0.8,0.79,289,291,292,295,301.0,4.04,4.03,4.14,4.44,4.5
1.0,23013,Knox County,350,465,495,480,467,,,,,,69.0,68.0,62.0,62.0,65.0,840,873,930,904,962,312,259,281,286,340,333,276,306,292,258,731,693,644,648,625,187,175,186,186,183,520,556,534,493,489,74.0,37.0,64.0,43.0,41.0,474,451,407,382,419,266,249,247,248,221,3002,3020,3180,2966,2824,363,399,373,372,299,1602,1613,1634,1660,1209,742,767,771,798,749,,3.0,7.0,7.0,,144,152,151,154,157,,,,,,8.0,8.0,7.0,7.0,7.0,210,207,213,212,221,55,53,56,52,54,36,34,34,36,39,61,59,57,55,55,67,68,76,75,76,133,130,115,117,125,4.0,4.0,4.0,4.0,4.0,72,71,73,79,89,32,30,28,26,27,166,173,176,175,174,55,55,54,54,56,175,174,167,166,173,178,180,173,176,179,,3.0,3.0,5.0,,1058.87,1058.87,1058.87,1058.87,1058.87,33.59,33.59,33.59,33.59,33.59,-99.71,-99.71,-99.71,-99.71,-99.71,38638,42603,40984,35349,32730,,,,,,4322.0,4201.0,4247.0,4642.0,4577.0,35785,38017,40437,42257,48513,13514,12810,14948,15093,18195,13144,11488,12235,12291,13777,46273,42562,40605,44043,46266,7502,7870,8320,9143,10231,25527,26276,28294,27816,27791,4075.0,2678.0,3941.0,3204.0,6555.0,15460,14360,14811,16318,18613,8388,8923,9330,7830,9087,117506,136215,146303,145189,149608,10669,10631,10822,9881,10871,42079,45400,46783,34635,48332,24963,26578,27578,28474,29091,,73.0,69.0,88.0,,0.04,0.04,0.04,0.04,0.04,40,40,40,40,41.0,2.12,2.31,2.28,2.71,2.17
