target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,28037,Franklin County,59.0,53.0,84.0,70.0,66.0,6.0,7.0,,,,,,,,,64.0,84.0,66.0,66.0,57.0,47.0,55.0,68.0,64.0,66.0,0.0,125.0,132.0,110.0,107.0,0,43.0,38.0,38.0,41.0,5.0,5.0,4.0,3.0,4.0,19.0,15.0,19.0,17.0,17.0,,,,,,,,,,,,,,,,374,377,357.0,354.0,325,,,,,,10.0,10.0,,,17.0,40,46.0,45.0,40.0,43.0,,,,,,9.0,12.0,11.0,11.0,10.0,3.0,3.0,,,,,,,,,9.0,11.0,11.0,10.0,10.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,7,6.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,3.0,7.0,8.0,7.0,6.0,6.0,,,,,,,,,,,,,,,,11,10,10.0,10.0,10,,,,,,4.0,4.0,,,3.0,16,17.0,25.0,21.0,22.0,,,,,,1468.16,1468.12,1468.16,1468.08,1468.25,33.2,33.2,33.2,33.2,33.2,-95.22,-95.22,-95.22,-95.22,-95.22,1663.0,2446.0,3065.0,2764.0,2502.0,377.0,386.0,,,,,,,,,3016.0,3279.0,2956.0,2705.0,3230.0,2858.0,3205.0,3727.0,3974.0,3793.0,0.0,5962.0,6517.0,5916.0,8176.0,0,1992.0,1907.0,2075.0,2142.0,248.0,210.0,122.0,140.0,141.0,614.0,659.0,689.0,701.0,684.0,,,,,,,,,,,,,,,,14616,14707,14518.0,14041.0,13839,,,,,,77.0,63.0,,,314.0,482,506.0,555.0,563.0,624.0,,,,,,0.0,0.0,0.0,0.0,0.0,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0
1.0,28027,Coahoma County,20.0,23.0,20.0,21.0,19.0,,,,,,65.0,65.0,68.0,66.0,66.0,102.0,95.0,102.0,102.0,118.0,322.0,305.0,336.0,326.0,334.0,64.0,64.0,69.0,66.0,69.0,249,228.0,209.0,198.0,197.0,98.0,94.0,88.0,86.0,85.0,189.0,178.0,171.0,140.0,163.0,,,,,,102.0,53.0,52.0,46.0,59.0,104.0,128.0,145.0,166.0,161.0,1548,1579,1892.0,1402.0,1249,51.0,53.0,53.0,50.0,68.0,1093.0,1006.0,952.0,801.0,704.0,220,194.0,188.0,208.0,190.0,,,,,,6.0,6.0,6.0,7.0,8.0,,,,,,5.0,5.0,5.0,5.0,6.0,21.0,20.0,17.0,16.0,17.0,29.0,25.0,26.0,27.0,29.0,11.0,12.0,13.0,13.0,14.0,46,45.0,45.0,42.0,43.0,39.0,39.0,34.0,34.0,34.0,30.0,29.0,31.0,32.0,31.0,,,,,,12.0,10.0,10.0,11.0,12.0,9.0,8.0,8.0,8.0,9.0,75,77,77.0,75.0,72,8.0,8.0,9.0,9.0,8.0,43.0,47.0,48.0,48.0,46.0,48,49.0,49.0,47.0,43.0,,,,,,1510.5,1510.51,1510.5,1509.92,1510.22,34.19,34.19,34.19,34.19,34.19,-90.57,-90.57,-90.57,-90.57,-90.57,927.0,1059.0,1154.0,1183.0,1316.0,,,,,,3523.0,3315.0,3546.0,3578.0,3623.0,5255.0,6271.0,6967.0,6324.0,6803.0,15595.0,17226.0,18539.0,20921.0,21456.0,2286.0,2521.0,2452.0,2426.0,2541.0,15195,14387.0,13652.0,14039.0,16377.0,2648.0,2410.0,2552.0,2457.0,2627.0,11302.0,9495.0,10217.0,9694.0,11454.0,,,,,,3501.0,2065.0,2148.0,2258.0,2277.0,2268.0,3506.0,4164.0,4120.0,4754.0,55422,63879,82099.0,48825.0,46013,1246.0,1243.0,1237.0,1228.0,1347.0,18058.0,17540.0,16808.0,16918.0,15957.0,3557,3410.0,3121.0,3252.0,3269.0,,,,,,0.12,0.12,0.12,0.21,0.1,24,24,23,23,22,1.7,1.8,1.74,1.91,2.15
1.0,28029,Copiah County,40.0,42.0,34.0,32.0,28.0,83.0,92.0,80.0,83.0,69.0,30.0,34.0,29.0,29.0,28.0,105.0,98.0,121.0,90.0,96.0,107.0,89.0,92.0,83.0,121.0,51.0,54.0,48.0,38.0,16.0,162,138.0,131.0,124.0,132.0,34.0,29.0,33.0,38.0,37.0,89.0,87.0,84.0,101.0,115.0,10.0,10.0,9.0,9.0,7.0,21.0,27.0,44.0,40.0,62.0,0.0,162.0,171.0,155.0,115.0,766,788,835.0,917.0,963,10.0,8.0,8.0,4.0,8.0,455.0,472.0,464.0,461.0,485.0,236,236.0,235.0,181.0,217.0,,,,,,6.0,7.0,6.0,6.0,6.0,8.0,8.0,6.0,5.0,5.0,9.0,9.0,8.0,8.0,8.0,24.0,22.0,29.0,27.0,27.0,14.0,12.0,13.0,14.0,13.0,11.0,11.0,11.0,10.0,9.0,34,30.0,29.0,29.0,34.0,11.0,9.0,10.0,11.0,12.0,27.0,27.0,29.0,29.0,34.0,4.0,4.0,4.0,4.0,4.0,9.0,10.0,11.0,12.0,14.0,5.0,5.0,5.0,5.0,3.0,52,51,54.0,54.0,54,4.0,3.0,3.0,3.0,3.0,33.0,33.0,32.0,33.0,35.0,56,53.0,54.0,53.0,56.0,,,,,,2018.57,2018.57,2018.43,2018.62,2018.43,31.86,31.86,31.86,31.86,31.86,-90.48,-90.48,-90.48,-90.48,-90.48,1719.0,1869.0,1746.0,1519.0,1450.0,3549.0,4039.0,3966.0,3824.0,3833.0,1706.0,1595.0,1546.0,1694.0,1699.0,3260.0,3217.0,3500.0,3918.0,4060.0,3412.0,3237.0,3201.0,3450.0,4171.0,2085.0,2247.0,1821.0,1212.0,1025.0,6598,5075.0,5145.0,5236.0,5469.0,926.0,815.0,833.0,1035.0,1120.0,3633.0,3463.0,3555.0,4291.0,4192.0,620.0,607.0,583.0,559.0,452.0,566.0,755.0,975.0,1384.0,1531.0,0.0,3647.0,3706.0,3565.0,2802.0,21638,22820,24366.0,28383.0,26665,163.0,155.0,141.0,123.0,135.0,4860.0,5081.0,5319.0,5359.0,6036.0,4125,4139.0,4788.0,4365.0,5517.0,,,,,,0.0,0.0,0.0,0.0,0.0,29,29,29,28,28,0.0,0.0,0.0,0.0,0.0
1.0,28061,Jasper County,30.0,37.0,34.0,31.0,28.0,166.0,187.0,216.0,134.0,99.0,22.0,19.0,20.0,22.0,23.0,327.0,172.0,987.0,186.0,181.0,37.0,33.0,23.0,23.0,22.0,171.0,125.0,130.0,126.0,118.0,78,79.0,69.0,69.0,67.0,,,19.0,20.0,18.0,48.0,43.0,57.0,65.0,72.0,70.0,53.0,55.0,49.0,53.0,13.0,14.0,14.0,11.0,13.0,0.0,92.0,92.0,93.0,,272,268,269.0,251.0,320,,,,,,123.0,125.0,129.0,133.0,137.0,156,131.0,153.0,149.0,158.0,7.0,6.0,4.0,3.0,,7.0,7.0,6.0,6.0,4.0,5.0,5.0,5.0,4.0,4.0,8.0,7.0,8.0,8.0,8.0,13.0,9.0,11.0,13.0,16.0,10.0,11.0,10.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,12,10.0,8.0,8.0,9.0,,,3.0,3.0,3.0,14.0,16.0,16.0,13.0,14.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,,9,7,7.0,6.0,10,,,,,,11.0,11.0,11.0,9.0,10.0,29,29.0,28.0,28.0,27.0,3.0,3.0,3.0,3.0,,1755.01,1755.02,1755.02,1754.7,1754.91,30.75,30.75,30.75,30.75,30.75,-94.0,-94.0,-94.0,-94.0,-94.0,1005.0,1253.0,1191.0,1179.0,1284.0,12081.0,13285.0,13950.0,10060.0,12074.0,809.0,769.0,835.0,868.0,891.0,21407.0,25179.0,28291.0,18549.0,17783.0,1419.0,1114.0,1036.0,968.0,1017.0,6888.0,5507.0,5722.0,5849.0,5961.0,3015,3046.0,2732.0,2798.0,2907.0,,,686.0,817.0,711.0,1498.0,1557.0,1784.0,2011.0,2761.0,2936.0,2789.0,3044.0,2601.0,2498.0,351.0,398.0,403.0,414.0,457.0,0.0,1643.0,1737.0,1767.0,,9167,9551,9960.0,9507.0,11324,,,,,,1345.0,1286.0,1372.0,1482.0,1748.0,4280,3491.0,4368.0,5165.0,5503.0,64.0,61.0,46.0,49.0,,0.0,0.0,0.0,0.0,0.0,17,17,17,16,16,0.0,0.0,0.0,0.0,0.0
0.0,28067,Jones County,77.0,79.0,76.0,74.0,79.0,453.0,408.0,496.0,400.0,242.0,302.0,302.0,301.0,292.0,318.0,1322.0,1372.0,1381.0,1353.0,1305.0,823.0,769.0,778.0,818.0,857.0,227.0,212.0,129.0,129.0,97.0,560,583.0,556.0,549.0,527.0,157.0,132.0,153.0,134.0,95.0,461.0,467.0,467.0,443.0,447.0,0.0,603.0,534.0,159.0,494.0,403.0,360.0,312.0,351.0,364.0,175.0,164.0,162.0,160.0,128.0,3125,3015,3246.0,3388.0,3401,98.0,125.0,139.0,144.0,118.0,2099.0,2155.0,2017.0,2156.0,2183.0,1043,1032.0,1015.0,981.0,915.0,,6.0,3.0,6.0,,18.0,15.0,12.0,11.0,12.0,38.0,37.0,37.0,33.0,33.0,19.0,18.0,18.0,16.0,18.0,105.0,106.0,102.0,106.0,106.0,75.0,72.0,73.0,69.0,77.0,15.0,14.0,14.0,14.0,13.0,102,96.0,92.0,92.0,91.0,47.0,50.0,50.0,50.0,42.0,83.0,88.0,84.0,89.0,88.0,7.0,6.0,6.0,5.0,6.0,36.0,36.0,32.0,29.0,29.0,10.0,9.0,9.0,9.0,7.0,111,116,119.0,118.0,120,12.0,12.0,10.0,8.0,7.0,114.0,113.0,109.0,115.0,126.0,174,175.0,173.0,173.0,170.0,,4.0,5.0,5.0,,1812.15,1812.15,1812.16,1812.49,1812.27,32.71,32.71,32.71,32.71,32.71,-99.86,-99.86,-99.86,-99.86,-99.86,2476.0,2385.0,2594.0,2774.0,3281.0,28407.0,26907.0,31142.0,20109.0,20923.0,18426.0,18975.0,19575.0,20775.0,21394.0,70482.0,65186.0,64882.0,63353.0,62674.0,36413.0,35807.0,39137.0,38133.0,38939.0,9093.0,9122.0,5596.0,5180.0,4884.0,25512,26693.0,25439.0,27462.0,30079.0,5785.0,5810.0,5982.0,4478.0,3567.0,20799.0,22522.0,22445.0,21089.0,21854.0,0.0,55860.0,57243.0,37890.0,91376.0,12009.0,9921.0,9091.0,10996.0,12566.0,2767.0,2721.0,2807.0,3232.0,3503.0,135918,131762,137595.0,148155.0,155529,1933.0,2125.0,2364.0,2337.0,2427.0,23807.0,24495.0,25878.0,30977.0,31028.0,24688,24946.0,25444.0,26062.0,26471.0,,89.0,77.0,123.0,,0.0,0.0,0.09,0.14,0.09,68,68,68,68,67,0.0,0.0,1.64,1.6,1.67
0.0,28147,Walthall County,75.0,73.0,58.0,51.0,54.0,13.0,13.0,13.0,10.0,,15.0,16.0,19.0,10.0,12.0,185.0,229.0,173.0,199.0,194.0,72.0,47.0,70.0,70.0,75.0,20.0,22.0,23.0,21.0,20.0,60,61.0,61.0,58.0,59.0,16.0,17.0,15.0,20.0,18.0,15.0,18.0,20.0,21.0,25.0,,,,,,,,2.0,36.0,39.0,0.0,35.0,40.0,,0.0,483,560,541.0,550.0,556,,,,,,206.0,157.0,152.0,162.0,164.0,96,95.0,89.0,106.0,107.0,,,,,,6.0,5.0,6.0,4.0,6.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,19.0,19.0,18.0,18.0,17.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,19,17.0,16.0,16.0,16.0,5.0,9.0,7.0,7.0,8.0,10.0,9.0,12.0,14.0,13.0,,,,,,,,3.0,5.0,5.0,3.0,3.0,3.0,,3.0,17,17,16.0,17.0,18,,,,,,18.0,14.0,18.0,17.0,15.0,28,24.0,24.0,24.0,25.0,,,,,,1047.48,1047.48,1047.46,1047.45,1047.5,31.12,31.12,31.12,31.12,31.12,-90.12,-90.12,-90.12,-90.12,-90.12,2499.0,2594.0,2418.0,1764.0,1888.0,497.0,544.0,569.0,712.0,,499.0,502.0,550.0,501.0,579.0,7332.0,8028.0,7653.0,8002.0,8763.0,1518.0,1268.0,1317.0,1529.0,1790.0,939.0,1005.0,1113.0,1056.0,1181.0,2252,2122.0,2181.0,2117.0,2128.0,535.0,582.0,260.0,240.0,318.0,464.0,588.0,825.0,856.0,1127.0,,,,,,,,50.0,1366.0,1538.0,0.0,661.0,733.0,,150.0,21717,23734,24184.0,19370.0,19868,,,,,,2412.0,1691.0,2033.0,2044.0,2482.0,1405,1186.0,1389.0,1592.0,1575.0,,,,,,0.0,0.0,0.0,0.0,0.0,15,15,14,14,14,0.0,0.0,0.0,0.0,0.0
0.0,28095,Monroe County,3.0,3.0,,,2.0,86.0,106.0,129.0,56.0,23.0,54.0,54.0,53.0,54.0,57.0,610.0,562.0,585.0,622.0,615.0,250.0,273.0,256.0,207.0,210.0,47.0,50.0,52.0,47.0,48.0,198,188.0,182.0,176.0,194.0,45.0,40.0,31.0,25.0,27.0,77.0,74.0,71.0,66.0,69.0,,,,,,174.0,374.0,396.0,437.0,549.0,,,,23.0,23.0,1407,1341,1554.0,1319.0,1262,16.0,17.0,18.0,17.0,40.0,633.0,649.0,603.0,719.0,704.0,333,328.0,331.0,285.0,270.0,10.0,5.0,7.0,8.0,3.0,3.0,3.0,,,3.0,8.0,8.0,6.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,49.0,55.0,52.0,50.0,55.0,23.0,23.0,23.0,22.0,19.0,9.0,9.0,9.0,9.0,8.0,54,52.0,52.0,54.0,59.0,15.0,16.0,13.0,14.0,13.0,30.0,29.0,29.0,30.0,29.0,,,,,,20.0,19.0,20.0,19.0,22.0,,,,3.0,3.0,73,72,61.0,65.0,66,7.0,6.0,5.0,5.0,6.0,51.0,44.0,43.0,45.0,49.0,83,80.0,76.0,74.0,75.0,5.0,3.0,3.0,5.0,4.0,1999.38,1999.38,1999.33,1999.38,1999.43,38.27,38.27,38.27,38.27,38.27,-90.18,-90.18,-90.18,-90.18,-90.18,118.0,112.0,,,344.0,3692.0,5894.0,5691.0,1976.0,1398.0,2318.0,2400.0,2534.0,2720.0,2859.0,29051.0,29936.0,32381.0,35059.0,36340.0,12402.0,13232.0,13115.0,11812.0,12656.0,2382.0,2548.0,2617.0,2701.0,2379.0,7639,7883.0,7979.0,7853.0,8603.0,1292.0,1188.0,1061.0,1285.0,1614.0,3190.0,3231.0,3129.0,2449.0,2697.0,,,,,,6565.0,13761.0,14714.0,17460.0,23041.0,,,,494.0,539.0,48894,53676,62456.0,48950.0,54627,287.0,274.0,281.0,307.0,487.0,7100.0,7798.0,7900.0,9405.0,10019.0,6362,6275.0,7080.0,5636.0,6499.0,107.0,23.0,49.0,51.0,40.0,0.0,0.0,0.0,0.0,0.0,36,36,36,36,34,0.0,0.0,0.0,0.0,0.0
0.0,28051,Holmes County,17.0,12.0,10.0,9.0,10.0,,,,,,17.0,16.0,16.0,16.0,16.0,63.0,154.0,55.0,58.0,54.0,40.0,35.0,39.0,32.0,31.0,16.0,26.0,20.0,15.0,14.0,68,67.0,66.0,66.0,68.0,30.0,28.0,27.0,29.0,22.0,41.0,39.0,35.0,49.0,52.0,,,,,,7.0,4.0,2.0,24.0,28.0,,,,,,422,607,690.0,603.0,575,5.0,7.0,6.0,3.0,8.0,158.0,153.0,139.0,143.0,139.0,224,149.0,135.0,140.0,105.0,,,,,,5.0,5.0,5.0,4.0,4.0,,,,,,8.0,8.0,8.0,8.0,8.0,5.0,6.0,5.0,3.0,5.0,10.0,8.0,8.0,7.0,7.0,10.0,11.0,9.0,9.0,9.0,15,15.0,14.0,13.0,13.0,14.0,14.0,14.0,14.0,12.0,12.0,12.0,12.0,13.0,12.0,,,,,,4.0,3.0,5.0,5.0,4.0,,,,,,29,36,38.0,35.0,31,3.0,3.0,3.0,3.0,3.0,18.0,18.0,18.0,17.0,17.0,29,31.0,27.0,29.0,26.0,,,,,,1980.62,1980.61,1980.61,1980.44,1980.65,30.89,30.89,30.89,30.89,30.89,-85.81,-85.81,-85.81,-85.81,-85.81,436.0,406.0,321.0,347.0,293.0,,,,,,832.0,831.0,749.0,922.0,982.0,2709.0,5543.0,3172.0,3118.0,3417.0,2616.0,2704.0,2882.0,2852.0,2764.0,678.0,582.0,502.0,491.0,453.0,2813,2798.0,3045.0,3112.0,2954.0,520.0,571.0,574.0,495.0,486.0,1808.0,2510.0,1956.0,1923.0,2402.0,,,,,,62.0,49.0,91.0,324.0,242.0,,,,,,11267,21822,23255.0,22275.0,24639,52.0,55.0,68.0,65.0,79.0,1703.0,1680.0,1517.0,1570.0,1797.0,5297,3862.0,3845.0,3049.0,3208.0,,,,,,0.0,0.0,0.0,0.0,0.0,18,18,18,17,17,0.0,0.0,0.0,0.0,0.0
1.0,28115,Pontotoc County,0.0,38.0,33.0,43.0,41.0,,,,,,76.0,80.0,84.0,88.0,86.0,101.0,136.0,135.0,120.0,142.0,176.0,138.0,131.0,120.0,117.0,24.0,26.0,28.0,25.0,23.0,203,204.0,200.0,200.0,192.0,32.0,28.0,35.0,30.0,40.0,87.0,86.0,81.0,92.0,103.0,,,,,,198.0,198.0,228.0,305.0,273.0,0.0,78.0,89.0,86.0,86.0,741,741,852.0,887.0,914,16.0,13.0,19.0,22.0,21.0,582.0,670.0,579.0,703.0,696.0,327,299.0,351.0,295.0,293.0,,,,,,3.0,3.0,3.0,3.0,3.0,,,,,,6.0,6.0,6.0,6.0,6.0,24.0,25.0,27.0,27.0,31.0,20.0,19.0,19.0,18.0,20.0,4.0,4.0,4.0,3.0,4.0,40,38.0,35.0,37.0,36.0,9.0,13.0,15.0,16.0,18.0,22.0,22.0,24.0,26.0,26.0,,,,,,17.0,19.0,19.0,20.0,16.0,4.0,5.0,6.0,6.0,6.0,46,45,44.0,41.0,44,3.0,3.0,3.0,4.0,4.0,38.0,44.0,46.0,42.0,42.0,60,59.0,61.0,57.0,59.0,,,,,,1297.54,1297.5,1297.68,1297.57,1297.55,34.21,34.21,34.21,34.21,34.21,-89.04,-89.04,-89.04,-89.04,-89.04,0.0,1664.0,1740.0,1708.0,1784.0,,,,,,3818.0,3932.0,4207.0,4556.0,4525.0,3487.0,4142.0,4589.0,4868.0,5060.0,5435.0,5082.0,5174.0,5598.0,5476.0,1312.0,1440.0,1906.0,1382.0,1572.0,7988,8193.0,9152.0,8806.0,9255.0,576.0,548.0,586.0,672.0,870.0,3754.0,3645.0,3863.0,4278.0,4880.0,,,,,,5194.0,5503.0,6137.0,6523.0,6562.0,0.0,2276.0,2755.0,2985.0,4472.0,25217,25420,28553.0,29898.0,34663,148.0,126.0,246.0,288.0,381.0,6433.0,7735.0,6780.0,7858.0,8718.0,8153,8829.0,9869.0,9169.0,9845.0,,,,,,0.0,0.0,0.0,0.0,0.0,31,31,32,32,31,0.0,0.0,0.0,0.0,0.0
1.0,28005,Amite County,142.0,166.0,182.0,156.0,171.0,0.0,21.0,22.0,,31.0,20.0,20.0,18.0,22.0,22.0,29.0,40.0,55.0,71.0,73.0,21.0,30.0,22.0,27.0,23.0,,,,,,33,32.0,33.0,33.0,31.0,6.0,6.0,4.0,6.0,4.0,25.0,34.0,19.0,21.0,19.0,,,,,,10.0,10.0,7.0,10.0,8.0,,,,,43.0,187,259,242.0,254.0,194,,,,,,45.0,42.0,45.0,58.0,53.0,82,79.0,80.0,72.0,71.0,,,,,,21.0,22.0,22.0,19.0,20.0,3.0,3.0,3.0,,3.0,5.0,5.0,5.0,5.0,5.0,12.0,14.0,15.0,13.0,16.0,5.0,5.0,5.0,5.0,5.0,,,,,,9,10.0,9.0,9.0,10.0,3.0,3.0,3.0,3.0,5.0,6.0,7.0,8.0,6.0,7.0,,,,,,4.0,4.0,4.0,6.0,4.0,,,,,3.0,12,16,15.0,15.0,14,,,,,,7.0,6.0,8.0,8.0,7.0,25,24.0,24.0,25.0,23.0,,,,,,1894.64,1894.64,1894.57,1894.56,1894.58,31.17,31.17,31.17,31.17,31.17,-90.82,-90.82,-90.82,-90.82,-90.82,5502.0,6572.0,7119.0,6800.0,6836.0,0.0,2594.0,2794.0,,3252.0,1078.0,974.0,1031.0,1278.0,1296.0,1033.0,1198.0,2568.0,3581.0,3506.0,1375.0,2703.0,1155.0,1183.0,1146.0,,,,,,1070,1088.0,1166.0,1113.0,1138.0,97.0,92.0,100.0,100.0,190.0,692.0,724.0,682.0,724.0,716.0,,,,,,308.0,268.0,246.0,296.0,308.0,,,,,902.0,5015,7221,7600.0,7684.0,6958,,,,,,588.0,578.0,654.0,856.0,1042.0,1353,1368.0,1412.0,1269.0,1209.0,,,,,,0.0,0.0,0.0,0.0,0.0,13,12,12,12,13,0.0,0.0,0.0,0.0,0.0
