target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,5099,Nevada County,83.0,58.0,48.0,41.0,44.0,,,,,,,,,,,14,11,16,13,14,7.0,5.0,14.0,5.0,13.0,,,,,,59.0,72,65.0,40.0,37.0,16.0,18.0,19.0,15.0,15.0,27.0,22.0,23.0,22.0,20.0,,,,,,,,,,,,,6.0,10.0,6.0,393,387,394,323,353,,,,,,86.0,81,83,76,72,66,47,47,60,59,,,,,,9.0,9.0,7.0,8.0,7.0,,,,,,,,,,,6,8,6,8,7,4.0,4.0,5.0,5.0,6.0,,,,,,8.0,9,8.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,6.0,7.0,7.0,6.0,6.0,,,,,,,,,,,,,3.0,3.0,3.0,15,13,13,14,14,,,,,,9.0,9,8,8,8,19,17,17,19,18,,,,,,1607.52,1607.5,1607.5,1607.44,1607.3,39.35,39.35,39.35,39.35,39.35,-120.81,-120.81,-120.81,-120.81,-120.81,3385.0,2824.0,2599.0,2412.0,2420.0,,,,,,,,,,,437,412,378,318,346,238.0,169.0,1075.0,208.0,292.0,,,,,,2648.0,3213,2963.0,2158.0,2048.0,202.0,193.0,142.0,174.0,146.0,384.0,432.0,378.0,403.0,431.0,,,,,,,,,,,,,129.0,149.0,180.0,10123,10279,9620,9866,7825,,,,,,1115.0,1100,1206,1062,1061,1095,1103,1095,1320,1498,,,,,,0.0,0.0,0.0,0.0,0.0,9,8,8,8,8,0.0,0.0,0.0,0.0,0.0
1.0,5021,Clay County,36.0,33.0,39.0,39.0,42.0,,,,,,0.0,56.0,58.0,58.0,54.0,120,112,104,84,109,266.0,217.0,213.0,227.0,242.0,81.0,81.0,68.0,61.0,66.0,86.0,82,72.0,75.0,74.0,15.0,21.0,14.0,26.0,18.0,48.0,45.0,40.0,46.0,51.0,,,,,,48.0,47.0,45.0,36.0,39.0,,,,,,674,693,776,783,712,,,,,,224.0,237,213,178,181,125,109,110,113,110,,,,,,7.0,6.0,6.0,7.0,6.0,,,,,,4.0,4.0,5.0,4.0,4.0,30,31,32,34,33,15.0,13.0,14.0,14.0,15.0,7.0,9.0,9.0,10.0,10.0,15.0,13,13.0,12.0,11.0,6.0,8.0,6.0,6.0,9.0,14.0,14.0,13.0,13.0,12.0,,,,,,8.0,7.0,7.0,6.0,7.0,,,,,,28,31,31,32,33,,,,,,22.0,20,20,17,19,45,43,42,43,45,,,,,,1662.23,1662.15,1662.23,1662.02,1662.69,33.69,33.69,33.69,33.69,33.69,-98.21,-98.21,-98.21,-98.21,-98.21,2319.0,2551.0,2388.0,2925.0,3215.0,,,,,,0.0,3135.0,3372.0,3600.0,3892.0,4698,4792,3587,4172,4538,8278.0,8109.0,8625.0,9588.0,10864.0,2478.0,2492.0,2348.0,2364.0,2193.0,3699.0,3450,3172.0,3052.0,3030.0,309.0,269.0,297.0,381.0,391.0,1261.0,1316.0,1396.0,1818.0,1645.0,,,,,,2347.0,2486.0,2536.0,1900.0,1842.0,,,,,,20049,21025,24470,26874,27034,,,,,,2482.0,2656,2470,2405,2718,2598,2476,2648,2683,2746,,,,,,0.0,0.0,0.0,0.0,0.0,15,15,15,15,15,0.0,0.0,0.0,0.0,0.0
0.0,5037,Cross County,33.0,29.0,33.0,31.0,30.0,,,,,,,,,,,82,73,69,82,89,278.0,277.0,274.0,262.0,264.0,45.0,49.0,42.0,44.0,38.0,199.0,214,247.0,212.0,185.0,80.0,72.0,72.0,73.0,64.0,77.0,104.0,107.0,119.0,60.0,112.0,109.0,118.0,98.0,79.0,81.0,82.0,77.0,75.0,72.0,,,,,,966,929,906,942,906,24.0,19.0,16.0,13.0,12.0,336.0,292,238,330,351,187,214,200,186,161,,,,,,9.0,8.0,7.0,9.0,8.0,,,,,,,,,,,22,21,20,18,24,20.0,21.0,18.0,17.0,17.0,6.0,6.0,6.0,6.0,6.0,26.0,25,26.0,29.0,25.0,19.0,18.0,18.0,20.0,19.0,25.0,23.0,26.0,29.0,28.0,6.0,6.0,6.0,6.0,5.0,9.0,9.0,9.0,9.0,8.0,,,,,,44,45,46,44,44,5.0,6.0,6.0,6.0,5.0,23.0,22,25,30,30,45,49,46,44,45,,,,,,1611.61,1611.67,1611.54,1611.46,1611.24,35.3,35.3,35.3,35.3,35.3,-90.78,-90.78,-90.78,-90.78,-90.78,1840.0,1774.0,1766.0,2163.0,1320.0,,,,,,,,,,,2499,2519,2573,3711,3616,13189.0,14198.0,13968.0,16239.0,15582.0,1364.0,1521.0,1311.0,1321.0,1239.0,8930.0,9094,7821.0,10826.0,10099.0,1810.0,1931.0,1950.0,1738.0,1543.0,3015.0,3048.0,3038.0,3055.0,2282.0,5157.0,5378.0,6316.0,4827.0,4886.0,3670.0,3533.0,3591.0,3402.0,3572.0,,,,,,27091,27648,27051,24193,27794,511.0,224.0,220.0,230.0,176.0,4260.0,4231,3986,4971,6533,4099,4753,4306,4396,4061,,,,,,0.03,0.0,0.03,0.0,0.0,17,17,17,17,17,1.62,0.0,1.73,0.0,0.0
0.0,5039,Dallas County,121.0,133.0,124.0,118.0,116.0,,,,,,,,,,,74,65,77,61,61,20.0,30.0,20.0,9.0,8.0,21.0,24.0,17.0,18.0,18.0,65.0,56,64.0,52.0,54.0,11.0,11.0,9.0,9.0,6.0,35.0,17.0,15.0,18.0,14.0,,,,,,,,,,,,,,,,698,770,748,631,540,,,,,,121.0,126,124,117,155,76,84,85,83,82,,,,,,23.0,21.0,22.0,21.0,21.0,,,,,,,,,,,12,11,11,12,12,5.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,10.0,9,10.0,8.0,9.0,5.0,5.0,4.0,4.0,3.0,7.0,7.0,7.0,8.0,6.0,,,,,,,,,,,,,,,,18,17,16,17,15,,,,,,10.0,10,10,10,9,26,24,25,23,23,,,,,,1730.03,1730.05,1730.11,1729.62,1729.67,32.76,32.76,32.76,32.76,32.76,-96.78,-96.78,-96.78,-96.78,-96.78,4694.0,4761.0,5050.0,4990.0,5046.0,,,,,,,,,,,2227,2315,2795,2749,1763,594.0,549.0,431.0,413.0,492.0,649.0,629.0,620.0,611.0,759.0,3837.0,2671,2792.0,2930.0,3334.0,352.0,340.0,234.0,235.0,220.0,915.0,309.0,346.0,408.0,333.0,,,,,,,,,,,,,,,,15644,18767,19659,18032,22883,,,,,,1580.0,1656,1652,1769,1934,1514,1496,1579,1498,1448,,,,,,0.0,0.0,0.0,0.0,0.0,8,7,7,7,7,0.0,0.0,0.0,0.0,0.0
0.0,5043,Drew County,335.0,247.0,253.0,215.0,204.0,,,,,,32.0,33.0,32.0,33.0,46.0,134,158,153,173,192,136.0,125.0,139.0,161.0,176.0,67.0,64.0,63.0,50.0,33.0,157.0,155,148.0,145.0,147.0,59.0,58.0,64.0,59.0,63.0,94.0,72.0,79.0,97.0,97.0,,,,,,177.0,205.0,199.0,194.0,259.0,,,,,,1215,1299,1236,1176,1296,,,,,17.0,612.0,643,591,600,545,171,162,143,169,152,,,,,,39.0,35.0,39.0,34.0,33.0,,,,,,7.0,7.0,7.0,6.0,7.0,26,23,20,22,24,11.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,27.0,28,28.0,26.0,25.0,19.0,19.0,20.0,23.0,23.0,18.0,16.0,19.0,21.0,19.0,,,,,,9.0,12.0,14.0,16.0,15.0,,,,,,43,44,44,46,46,,,,,4.0,36.0,39,38,37,38,35,33,38,39,41,,,,,,2164.5,2164.55,2164.57,2165.06,2164.9,33.57,33.57,33.57,33.57,33.57,-91.72,-91.72,-91.72,-91.72,-91.72,13131.0,12043.0,13077.0,10407.0,10150.0,,,,,,2027.0,1704.0,1885.0,1881.0,1888.0,6858,7105,6948,7481,9731,9321.0,9687.0,10525.0,9569.0,9974.0,2900.0,2867.0,2718.0,2242.0,1945.0,8571.0,9089,8453.0,9009.0,10789.0,1856.0,2062.0,2141.0,2272.0,2597.0,3467.0,2802.0,3111.0,3325.0,3661.0,,,,,,7610.0,8147.0,7197.0,8165.0,10166.0,,,,,,33486,33067,33228,35908,39978,,,,,252.0,8481.0,8702,8835,8453,9819,4340,4207,4639,4959,4692,,,,,,0.0,0.0,0.0,0.0,0.0,19,19,18,18,18,0.0,0.0,0.0,0.0,0.0
1.0,5027,Columbia County,57.0,47.0,32.0,47.0,66.0,190.0,178.0,212.0,191.0,163.0,38.0,38.0,38.0,39.0,42.0,171,163,166,145,135,316.0,341.0,506.0,546.0,419.0,58.0,53.0,50.0,50.0,39.0,250.0,279,280.0,265.0,292.0,111.0,83.0,65.0,63.0,58.0,291.0,216.0,403.0,531.0,467.0,11.0,5.0,,,,151.0,165.0,133.0,220.0,220.0,0.0,75.0,76.0,73.0,74.0,1259,1088,1132,1015,985,33.0,46.0,36.0,31.0,,719.0,714,744,745,755,271,271,259,252,243,,8.0,,,13.0,10.0,10.0,10.0,12.0,15.0,19.0,19.0,20.0,18.0,20.0,6.0,6.0,6.0,6.0,6.0,34,31,29,27,28,24.0,25.0,30.0,29.0,29.0,9.0,10.0,9.0,9.0,9.0,39.0,37,36.0,38.0,37.0,26.0,26.0,23.0,24.0,23.0,32.0,34.0,32.0,31.0,31.0,3.0,3.0,,,,15.0,14.0,15.0,14.0,14.0,4.0,4.0,3.0,3.0,4.0,68,66,67,64,60,5.0,5.0,4.0,3.0,,41.0,47,48,42,46,62,60,55,55,55,,3.0,,,3.0,1986.17,1986.17,1986.34,1986.4,1986.45,41.04,41.04,41.04,41.04,41.04,-76.42,-76.42,-76.42,-76.42,-76.42,2763.0,1812.0,1822.0,2431.0,3980.0,14980.0,15334.0,16051.0,12867.0,16309.0,2627.0,2715.0,2709.0,2938.0,2978.0,5897,6075,5946,5066,5530,16686.0,18600.0,25598.0,23816.0,22509.0,1721.0,1815.0,1784.0,1608.0,1434.0,14481.0,15037,12847.0,14202.0,19035.0,5248.0,4353.0,3399.0,2815.0,3037.0,12943.0,9136.0,15998.0,17716.0,15506.0,828.0,6644.0,,,,3713.0,3928.0,4625.0,5514.0,6392.0,0.0,1412.0,1436.0,1436.0,1428.0,32942,33649,31165,31105,34084,659.0,645.0,576.0,533.0,,10641.0,11650,12378,12231,13638,5733,5637,5752,5777,6152,,107.0,,,145.0,0.0,0.0,0.0,0.0,0.0,24,24,24,24,23,0.0,0.0,0.0,0.0,0.0
1.0,5121,Randolph County,,,,,,,,,,,,,,,,118,108,94,83,81,255.0,246.0,261.0,221.0,134.0,37.0,27.0,28.0,23.0,21.0,135.0,129,129.0,157.0,111.0,41.0,41.0,38.0,37.0,34.0,63.0,68.0,63.0,63.0,72.0,,,,,,0.0,377.0,407.0,653.0,724.0,,,,,,895,899,890,970,984,9.0,10.0,13.0,,,391.0,364,345,367,318,72,70,73,62,68,,,,,,,,,,,,,,,,,,,,,30,27,23,25,29,10.0,11.0,11.0,10.0,10.0,8.0,7.0,6.0,6.0,6.0,19.0,21,21.0,21.0,16.0,15.0,13.0,13.0,18.0,16.0,22.0,22.0,21.0,19.0,21.0,,,,,,6.0,10.0,9.0,9.0,7.0,,,,,,43,44,41,41,44,4.0,3.0,3.0,,,24.0,23,22,24,27,25,24,24,23,25,,,,,,1699.1,1699.11,1699.11,1698.89,1698.95,38.05,38.05,38.05,38.05,38.05,-89.81,-89.81,-89.81,-89.81,-89.81,,,,,,,,,,,,,,,,3681,2772,2475,2642,2665,10633.0,8884.0,10967.0,9988.0,4293.0,1488.0,1086.0,874.0,962.0,798.0,5363.0,5410,4868.0,6184.0,5213.0,869.0,896.0,928.0,982.0,1130.0,2609.0,2799.0,2610.0,2555.0,3150.0,,,,,,0.0,9879.0,9615.0,15978.0,17283.0,,,,,,25421,26436,28470,31451,34685,238.0,238.0,235.0,,,4725.0,4746,4597,4588,4978,1370,1383,1425,1417,1627,,,,,,0.0,0.0,0.0,0.0,0.0,18,18,18,18,18,0.0,0.0,0.0,0.0,0.0
0.0,5125,Saline County,31.0,33.0,34.0,27.0,29.0,29.0,,,31.0,27.0,0.0,48.0,47.0,48.0,59.0,2144,2185,2283,2241,2413,558.0,924.0,861.0,844.0,773.0,200.0,223.0,208.0,196.0,189.0,519.0,507,516.0,533.0,565.0,291.0,267.0,266.0,277.0,305.0,798.0,804.0,770.0,820.0,908.0,237.0,199.0,193.0,193.0,171.0,1020.0,1060.0,1020.0,1087.0,1005.0,138.0,138.0,147.0,147.0,154.0,4383,4652,4773,4775,4776,92.0,108.0,169.0,254.0,237.0,3075.0,3379,3431,3294,3290,1812,1748,1738,1670,1614,,,6.0,8.0,,7.0,8.0,6.0,6.0,6.0,4.0,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,283,299,296,305,320,88.0,87.0,87.0,83.0,83.0,21.0,22.0,22.0,25.0,27.0,119.0,122,122.0,128.0,139.0,87.0,85.0,97.0,104.0,123.0,167.0,172.0,173.0,171.0,187.0,8.0,8.0,7.0,7.0,7.0,94.0,91.0,105.0,107.0,105.0,18.0,17.0,19.0,19.0,18.0,245,260,282,293,298,22.0,25.0,25.0,27.0,28.0,159.0,155,161,167,175,208,196,204,207,209,,,3.0,3.0,,1891.65,1891.63,1891.7,1892.01,1892.03,37.75,37.75,37.75,37.75,37.75,-88.53,-88.53,-88.53,-88.53,-88.53,1274.0,1300.0,1296.0,1458.0,1462.0,1323.0,,,1772.0,1555.0,0.0,3324.0,3400.0,3581.0,3714.0,95206,99581,103642,110858,116036,25237.0,42498.0,44037.0,42412.0,38440.0,9446.0,10454.0,9378.0,10161.0,10051.0,25762.0,24518,26578.0,30669.0,32949.0,9811.0,9544.0,9297.0,10768.0,12886.0,37519.0,39322.0,40867.0,42535.0,49058.0,6744.0,5462.0,4739.0,5433.0,5554.0,30223.0,30741.0,32262.0,31960.0,33513.0,1852.0,1888.0,2183.0,2264.0,2839.0,152749,160349,166759,168022,184426,1232.0,2354.0,3430.0,3506.0,3841.0,47635.0,51305,53255,51843,59605,45702,46638,45636,45802,47767,,,82.0,79.0,,0.0,0.0,0.0,0.0,0.0,116,118,119,121,122,0.0,0.0,0.0,0.0,0.0
0.0,5141,Van Buren County,,,,111.0,89.0,0.0,381.0,348.0,189.0,187.0,65.0,61.0,57.0,60.0,60.0,210,161,115,105,122,84.0,76.0,81.0,78.0,62.0,35.0,34.0,31.0,34.0,30.0,91.0,115,101.0,105.0,118.0,6.0,10.0,29.0,20.0,18.0,56.0,67.0,73.0,85.0,85.0,16.0,11.0,,,,58.0,47.0,48.0,48.0,43.0,,,,,,774,776,737,664,663,22.0,17.0,17.0,16.0,18.0,284.0,307,338,367,353,201,206,206,205,223,,,,,,,,,5.0,3.0,5.0,6.0,6.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,36,34,32,27,32,14.0,13.0,13.0,13.0,12.0,7.0,6.0,6.0,6.0,5.0,24.0,24,23.0,26.0,29.0,6.0,7.0,7.0,10.0,9.0,17.0,19.0,20.0,17.0,21.0,3.0,3.0,,,,11.0,12.0,9.0,8.0,8.0,,,,,,30,29,31,31,35,5.0,4.0,5.0,4.0,4.0,20.0,19,19,21,20,35,33,35,37,40,,,,,,1875.75,1875.72,1875.77,1875.06,1875.08,40.75,40.75,40.75,40.75,40.75,-91.97,-91.97,-91.97,-91.97,-91.97,,,,1931.0,1655.0,0.0,32467.0,31519.0,16132.0,16362.0,3862.0,3798.0,4062.0,4388.0,4451.0,6325,4502,3867,3890,4173,3200.0,3138.0,3386.0,3603.0,3230.0,1265.0,1316.0,1442.0,1503.0,1503.0,4787.0,5332,5477.0,5241.0,6502.0,286.0,813.0,1076.0,688.0,889.0,2425.0,2790.0,3088.0,3787.0,3096.0,585.0,608.0,,,,1568.0,1426.0,1342.0,1437.0,1393.0,,,,,,24808,24075,21030,21519,24528,357.0,276.0,286.0,267.0,314.0,4472.0,4790,6137,5900,7471,4326,4377,4525,5064,5646,,,,,,0.0,0.0,0.0,0.0,0.0,17,17,17,17,16,0.0,0.0,0.0,0.0,0.0
1.0,5009,Boone County,,,,,,,,,,,71.0,69.0,78.0,66.0,69.0,511,559,512,489,545,372.0,331.0,333.0,326.0,327.0,273.0,242.0,234.0,292.0,275.0,409.0,298,335.0,376.0,339.0,97.0,80.0,109.0,108.0,106.0,235.0,209.0,224.0,207.0,216.0,0.0,790.0,830.0,733.0,1319.0,919.0,811.0,730.0,590.0,579.0,7.0,11.0,11.0,13.0,17.0,2584,2629,2409,2483,2411,22.0,27.0,44.0,40.0,42.0,1146.0,1145,1202,1117,1191,428,420,433,424,384,,,,1.0,,,,,,,,,,,,10.0,9.0,9.0,8.0,8.0,58,57,56,57,64,37.0,37.0,38.0,39.0,40.0,15.0,14.0,13.0,13.0,13.0,64.0,61,57.0,59.0,57.0,41.0,40.0,38.0,40.0,37.0,52.0,50.0,52.0,51.0,55.0,20.0,22.0,20.0,21.0,22.0,30.0,29.0,31.0,31.0,35.0,3.0,3.0,3.0,4.0,3.0,128,130,127,130,120,7.0,8.0,10.0,10.0,11.0,72.0,69,69,66,71,91,93,88,90,89,,,,3.0,,1559.28,1559.29,1559.31,1559.27,1559.2,42.32,42.32,42.32,42.32,42.32,-88.82,-88.82,-88.82,-88.82,-88.82,,,,,,,,,,,5175.0,5085.0,5855.0,5581.0,5714.0,21073,23060,22669,22291,27206,13714.0,12705.0,12909.0,14196.0,15647.0,11685.0,10573.0,10991.0,12188.0,10383.0,20992.0,18214,18597.0,19147.0,21555.0,2610.0,2618.0,3071.0,3275.0,3475.0,6949.0,7757.0,9017.0,8269.0,9153.0,0.0,42734.0,45792.0,36411.0,99651.0,28185.0,26357.0,22329.0,19693.0,19942.0,78.0,88.0,105.0,197.0,140.0,93455,93180,96397,101264,105561,589.0,585.0,825.0,848.0,996.0,17099.0,17152,18369,17957,22691,10451,11104,11547,11970,12696,,,,65.0,,0.0,0.0,0.0,0.0,0.0,37,37,37,38,37,0.0,0.0,0.0,0.0,0.0
