target,Fips,County,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
1.0,13187,Lumpkin County,,,,,,,,,,,26.0,24.0,24.0,23.0,28.0,356.0,273.0,397.0,425.0,435.0,253.0,255.0,269.0,274.0,270.0,20.0,21.0,21.0,22.0,22.0,115.0,99.0,97.0,103.0,96.0,93.0,102.0,98.0,109.0,99.0,210.0,252.0,207.0,230.0,281.0,,,,,,49.0,64.0,76.0,76.0,79.0,0.0,33.0,37.0,48.0,37.0,718.0,789.0,661.0,853.0,879.0,43.0,52.0,38.0,41.0,43.0,1204.0,1225.0,1223.0,1231.0,1165.0,169.0,187.0,186.0,178,230.0,,,7.0,10.0,,,,,,,,,,,,4.0,3.0,3.0,3.0,3.0,61.0,59.0,56.0,62.0,62.0,19.0,19.0,20.0,21.0,18.0,6.0,6.0,6.0,7.0,8.0,31.0,29.0,30.0,31.0,24.0,30.0,33.0,31.0,36.0,36.0,64.0,59.0,59.0,64.0,63.0,,,,,,14.0,16.0,19.0,20.0,23.0,4.0,5.0,5.0,6.0,6.0,57.0,57.0,55.0,61.0,63.0,5.0,4.0,5.0,6.0,6.0,63.0,57.0,63.0,56.0,63.0,43.0,46.0,46.0,45,48.0,,,3.0,3.0,,736.15,736.22,736.23,736.17,736.13,34.55,34.55,34.55,34.55,34.55,-83.99,-83.99,-83.99,-83.99,-83.99,,,,,,,,,,,1127.0,1320.0,1354.0,1595.0,1681.0,12247.0,13733.0,17884.0,19067.0,21794.0,16172.0,16996.0,18470.0,20383.0,25958.0,687.0,654.0,635.0,785.0,960.0,5567.0,5498.0,5580.0,6388.0,5678.0,2560.0,2845.0,2789.0,2950.0,3214.0,8064.0,8508.0,8384.0,9586.0,11524.0,,,,,,1396.0,2671.0,2799.0,2976.0,3827.0,0.0,708.0,809.0,730.0,759.0,25919.0,27043.0,30568.0,36425.0,49025.0,662.0,701.0,685.0,904.0,868.0,19743.0,20533.0,20579.0,19101.0,23386.0,4368.0,5005.0,5138.0,4955,6067.0,,,226.0,234.0,,0.0,0.0,0.0,0.0,0.0,32,32,32,33,33,0.0,0.0,0.0,0.0,0.0
1.0,13001,Appling County,66.0,65.0,84.0,91.0,98.0,,,,,,0.0,1132.0,1133.0,1029.0,956.0,459.0,448.0,441.0,492.0,468.0,247.0,203.0,241.0,238.0,254.0,30.0,40.0,39.0,35.0,37.0,141.0,137.0,142.0,148.0,139.0,29.0,27.0,19.0,20.0,19.0,37.0,37.0,37.0,38.0,37.0,,,,,,45.0,50.0,48.0,55.0,42.0,38.0,44.0,33.0,,,959.0,940.0,937.0,990.0,952.0,,,,,,522.0,502.0,493.0,531.0,591.0,145.0,139.0,144.0,126,164.0,,,2.0,3.0,3.0,11.0,13.0,14.0,15.0,16.0,,,,,,7.0,7.0,7.0,7.0,7.0,35.0,36.0,37.0,39.0,39.0,20.0,20.0,21.0,19.0,19.0,5.0,6.0,6.0,6.0,6.0,23.0,22.0,23.0,22.0,23.0,10.0,10.0,10.0,10.0,11.0,16.0,17.0,19.0,16.0,17.0,,,,,,9.0,8.0,10.0,9.0,8.0,3.0,3.0,3.0,,,37.0,36.0,40.0,41.0,41.0,,,,,,34.0,33.0,32.0,35.0,40.0,45.0,43.0,45.0,45,51.0,,,3.0,3.0,3.0,1326.4,1326.37,1326.41,1326.6,1326.4,31.78,31.78,31.78,31.78,31.78,-82.3,-82.3,-82.3,-82.3,-82.3,3459.0,3790.0,4202.0,4788.0,4930.0,,,,,,0.0,127224.0,131191.0,131538.0,130297.0,17475.0,18661.0,18893.0,20249.0,20030.0,8197.0,8922.0,9829.0,9805.0,11233.0,1495.0,2374.0,2162.0,2040.0,1978.0,6441.0,6350.0,6885.0,7450.0,8269.0,526.0,504.0,336.0,426.0,512.0,1297.0,1436.0,1538.0,1452.0,2174.0,,,,,,746.0,856.0,970.0,911.0,1010.0,534.0,524.0,476.0,,,32040.0,32340.0,36643.0,40531.0,43616.0,,,,,,6637.0,7012.0,7350.0,7578.0,9872.0,3529.0,3620.0,3708.0,3617,4649.0,,,43.0,38.0,689.0,0.0,0.0,0.0,0.0,0.0,18,18,18,18,19,0.0,0.0,0.0,0.0,0.0
0.0,13201,Miller County,16.0,20.0,22.0,19.0,17.0,,,,,,,,,,,67.0,57.0,66.0,66.0,63.0,88.0,100.0,171.0,166.0,151.0,8.0,14.0,12.0,13.0,12.0,72.0,74.0,47.0,42.0,43.0,0.0,6.0,5.0,6.0,5.0,40.0,36.0,45.0,47.0,54.0,,,,,,,,,,,,,,,,599.0,593.0,593.0,608.0,601.0,0.0,8.0,7.0,9.0,9.0,60.0,65.0,72.0,68.0,75.0,34.0,62.0,49.0,41,57.0,,,,,,5.0,5.0,7.0,6.0,5.0,,,,,,,,,,,10.0,10.0,13.0,13.0,14.0,9.0,9.0,8.0,8.0,7.0,3.0,3.0,3.0,3.0,3.0,10.0,10.0,9.0,9.0,10.0,3.0,4.0,3.0,3.0,3.0,8.0,11.0,13.0,13.0,14.0,,,,,,,,,,,,,,,,15.0,15.0,17.0,15.0,14.0,3.0,3.0,3.0,3.0,3.0,8.0,7.0,8.0,9.0,10.0,12.0,11.0,13.0,13,16.0,,,,,,734.27,734.24,734.33,734.61,734.36,31.16,31.16,31.16,31.16,31.16,-84.74,-84.74,-84.74,-84.74,-84.74,889.0,788.0,925.0,795.0,861.0,,,,,,,,,,,2051.0,1797.0,2554.0,2557.0,2505.0,3926.0,4200.0,7059.0,7207.0,7604.0,405.0,514.0,503.0,462.0,480.0,3664.0,3824.0,2220.0,2482.0,2511.0,0.0,86.0,123.0,85.0,92.0,1110.0,1127.0,1130.0,1270.0,1347.0,,,,,,,,,,,,,,,,23525.0,24577.0,25125.0,26225.0,27566.0,0.0,135.0,271.0,294.0,302.0,826.0,752.0,867.0,704.0,1078.0,1127.0,1395.0,1328.0,1244,1558.0,,,,,,0.0,0.0,0.0,0.0,0.0,6,6,6,6,6,0.0,0.0,0.0,0.0,0.0
1.0,13211,Morgan County,48.0,56.0,78.0,80.0,78.0,,,,,,,,,,,230.0,273.0,286.0,261.0,314.0,155.0,156.0,161.0,182.0,170.0,57.0,72.0,60.0,46.0,34.0,253.0,187.0,180.0,194.0,201.0,43.0,47.0,45.0,64.0,78.0,286.0,288.0,239.0,224.0,203.0,88.0,114.0,,,,561.0,626.0,706.0,745.0,697.0,46.0,67.0,53.0,58.0,52.0,559.0,528.0,529.0,482.0,531.0,47.0,65.0,62.0,61.0,44.0,902.0,1018.0,1064.0,994.0,992.0,267.0,268.0,298.0,285,318.0,,,,,,10.0,11.0,10.0,10.0,11.0,,,,,,,,,,,55.0,55.0,61.0,65.0,75.0,21.0,19.0,18.0,21.0,20.0,8.0,9.0,9.0,8.0,8.0,32.0,31.0,29.0,31.0,32.0,18.0,20.0,25.0,28.0,29.0,45.0,48.0,48.0,42.0,42.0,3.0,3.0,,,,29.0,28.0,30.0,32.0,37.0,7.0,5.0,3.0,3.0,3.0,39.0,40.0,42.0,37.0,41.0,13.0,13.0,13.0,13.0,11.0,57.0,54.0,52.0,53.0,53.0,50.0,47.0,49.0,52,56.0,,,,,,917.68,918.66,917.69,918.48,918.15,39.71,39.71,39.71,39.71,39.71,-90.19,-90.19,-90.19,-90.19,-90.19,2116.0,2598.0,5633.0,5998.0,5451.0,,,,,,,,,,,10432.0,12835.0,14039.0,15284.0,17860.0,6705.0,7195.0,7715.0,10574.0,10673.0,3228.0,3431.0,2961.0,2446.0,2205.0,17108.0,12968.0,12596.0,14820.0,17505.0,1444.0,1592.0,2287.0,2461.0,3156.0,16339.0,15601.0,13700.0,12614.0,10567.0,1974.0,4499.0,,,,18260.0,23362.0,25392.0,27910.0,23748.0,540.0,795.0,727.0,645.0,690.0,14377.0,15070.0,16202.0,17870.0,20329.0,1307.0,1600.0,1603.0,1452.0,1481.0,14831.0,14515.0,15957.0,15775.0,18185.0,5538.0,5771.0,6683.0,7318,9388.0,,,,,,0.0,0.0,0.0,0.0,0.0,18,18,19,19,20,0.0,0.0,0.0,0.0,0.0
1.0,13209,Montgomery County,55.0,44.0,28.0,27.0,23.0,,,,,,,,,,,109.0,112.0,106.0,87.0,94.0,,,,83.0,89.0,,,,,,49.0,48.0,47.0,49.0,46.0,,,,,,17.0,18.0,20.0,21.0,27.0,,,,,,0.0,25.0,3.0,24.0,26.0,,,,,,120.0,113.0,118.0,108.0,86.0,,,,,,83.0,73.0,88.0,87.0,100.0,47.0,30.0,50.0,30,32.0,,,,,,6.0,6.0,5.0,5.0,5.0,,,,,,,,,,,10.0,11.0,10.0,11.0,10.0,,,,3.0,3.0,,,,,,8.0,7.0,7.0,7.0,6.0,,,,,,5.0,4.0,5.0,7.0,6.0,,,,,,5.0,4.0,6.0,4.0,4.0,,,,,,7.0,7.0,7.0,7.0,7.0,,,,,,9.0,8.0,8.0,8.0,7.0,10.0,10.0,10.0,11,11.0,,,,,,634.05,634.05,634.05,633.95,634.09,30.3,30.3,30.3,30.3,30.3,-95.51,-95.51,-95.51,-95.51,-95.51,2157.0,1300.0,1226.0,1295.0,1354.0,,,,,,,,,,,5553.0,4831.0,5342.0,5965.0,3821.0,,,,13081.0,14746.0,,,,,,1527.0,1564.0,1619.0,1710.0,1769.0,,,,,,494.0,527.0,527.0,598.0,604.0,,,,,,0.0,648.0,865.0,1090.0,1373.0,,,,,,3353.0,3438.0,3724.0,3052.0,2737.0,,,,,,917.0,953.0,1029.0,925.0,1103.0,855.0,1152.0,1181.0,828,861.0,,,,,,0.0,0.0,0.0,0.0,0.0,9,9,9,9,9,0.0,0.0,0.0,0.0,0.0
1.0,13149,Heard County,10.0,5.0,2.0,8.0,13.0,,,,,,67.0,118.0,135.0,134.0,130.0,72.0,181.0,234.0,185.0,179.0,,,,,,,,,7.0,7.0,19.0,18.0,17.0,16.0,14.0,4.0,5.0,3.0,4.0,3.0,35.0,18.0,16.0,17.0,15.0,,,,,,27.0,39.0,34.0,20.0,41.0,,,,,,0.0,,,89.0,72.0,,,,,,61.0,42.0,45.0,66.0,52.0,37.0,42.0,41.0,34,34.0,,,,,,5.0,4.0,3.0,4.0,4.0,,,,,,8.0,9.0,9.0,9.0,8.0,17.0,16.0,15.0,16.0,15.0,,,,,,,,,3.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,9.0,9.0,7.0,7.0,6.0,,,,,,9.0,6.0,4.0,5.0,7.0,,,,,,5.0,,,3.0,3.0,,,,,,8.0,5.0,6.0,6.0,7.0,16.0,15.0,15.0,16,15.0,,,,,,780.08,780.08,780.08,780.14,780.09,33.28,33.28,33.28,33.28,33.28,-85.11,-85.11,-85.11,-85.11,-85.11,596.0,173.0,182.0,418.0,854.0,,,,,,8475.0,13644.0,15051.0,16411.0,16658.0,3730.0,13439.0,17898.0,11756.0,10765.0,,,,,,,,,500.0,532.0,846.0,620.0,651.0,639.0,625.0,56.0,62.0,50.0,53.0,53.0,2061.0,868.0,995.0,670.0,688.0,,,,,,1055.0,1282.0,1280.0,1482.0,1828.0,,,,,,0.0,,,2970.0,2924.0,,,,,,786.0,573.0,538.0,517.0,733.0,885.0,911.0,874.0,1011,962.0,,,,,,0.0,0.0,0.0,0.0,0.0,12,12,12,12,11,0.0,0.0,0.0,0.0,0.0
1.0,13219,Oconee County,43.0,16.0,18.0,24.0,24.0,,,,16.0,20.0,,,,,,669.0,784.0,867.0,824.0,886.0,308.0,245.0,245.0,219.0,214.0,258.0,239.0,246.0,205.0,141.0,503.0,496.0,477.0,509.0,482.0,505.0,551.0,553.0,594.0,600.0,872.0,945.0,1018.0,1034.0,970.0,138.0,40.0,101.0,,50.0,1316.0,1316.0,844.0,851.0,905.0,465.0,460.0,497.0,473.0,433.0,1921.0,1942.0,1973.0,2119.0,2505.0,124.0,125.0,127.0,160.0,220.0,1624.0,1889.0,1899.0,1712.0,1493.0,794.0,852.0,897.0,897,836.0,,0.0,,,,7.0,6.0,6.0,8.0,8.0,,,,3.0,3.0,,,,,,134.0,141.0,143.0,134.0,161.0,41.0,41.0,41.0,33.0,37.0,17.0,19.0,21.0,19.0,19.0,93.0,93.0,100.0,104.0,102.0,88.0,91.0,96.0,104.0,107.0,165.0,179.0,176.0,179.0,197.0,6.0,5.0,4.0,,4.0,87.0,94.0,89.0,98.0,97.0,22.0,23.0,25.0,25.0,25.0,163.0,172.0,172.0,182.0,197.0,16.0,18.0,17.0,21.0,22.0,79.0,80.0,77.0,70.0,72.0,90.0,89.0,94.0,94,102.0,,3.0,,,,482.64,482.65,482.64,482.67,482.63,33.83,33.83,33.83,33.83,33.83,-83.43,-83.43,-83.43,-83.43,-83.43,4536.0,1385.0,1695.0,1933.0,2155.0,,,,850.0,1101.0,,,,,,35464.0,41803.0,44751.0,43160.0,51220.0,18333.0,15346.0,16892.0,13836.0,15353.0,10758.0,9325.0,8734.0,6785.0,5882.0,35606.0,32891.0,35944.0,39699.0,41607.0,31160.0,31914.0,33373.0,53691.0,50137.0,44383.0,47765.0,54775.0,56197.0,55075.0,8576.0,4142.0,7064.0,,5588.0,39240.0,42918.0,36795.0,39608.0,44585.0,12153.0,11859.0,12640.0,12221.0,12511.0,82183.0,88158.0,96045.0,95982.0,118164.0,3587.0,3825.0,3202.0,3556.0,4447.0,21061.0,26124.0,24777.0,22285.0,26286.0,21601.0,23666.0,25736.0,23178,26335.0,,166.0,,,,0.0,0.0,0.0,0.0,0.0,36,37,38,39,41,0.0,0.0,0.0,0.0,0.0
0.0,13151,Henry County,,,,,,,,,,,0.0,750.0,748.0,679.0,632.0,2043.0,2093.0,2332.0,2386.0,2237.0,2247.0,2317.0,2650.0,2603.0,2809.0,718.0,836.0,730.0,817.0,1026.0,1177.0,1097.0,1180.0,1327.0,1322.0,536.0,639.0,679.0,726.0,717.0,1423.0,1612.0,1961.0,2098.0,2259.0,460.0,454.0,406.0,406.0,386.0,4583.0,4305.0,4035.0,3654.0,4665.0,672.0,696.0,684.0,693.0,673.0,8841.0,8438.0,9091.0,9452.0,9141.0,527.0,643.0,605.0,979.0,956.0,7247.0,8258.0,8499.0,8577.0,8498.0,2469.0,2539.0,2578.0,2556,2419.0,,,5.0,8.0,23.0,,,,,,,,,,,6.0,6.0,6.0,6.0,5.0,334.0,351.0,361.0,358.0,373.0,148.0,151.0,147.0,149.0,154.0,51.0,58.0,57.0,66.0,80.0,232.0,227.0,230.0,232.0,242.0,175.0,190.0,203.0,216.0,236.0,313.0,321.0,332.0,356.0,387.0,18.0,15.0,16.0,14.0,14.0,290.0,286.0,298.0,313.0,336.0,45.0,44.0,44.0,46.0,47.0,484.0,482.0,489.0,524.0,582.0,54.0,49.0,54.0,66.0,70.0,379.0,405.0,420.0,443.0,481.0,375.0,383.0,391.0,386,419.0,,,3.0,11.0,13.0,845.62,845.51,845.55,845.65,845.73,41.34,41.34,41.34,41.34,41.34,-90.12,-90.12,-90.12,-90.12,-90.12,,,,,,,,,,,0.0,47399.0,48884.0,48974.0,48496.0,99730.0,119780.0,132611.0,140449.0,136969.0,145668.0,158978.0,172878.0,183850.0,196725.0,32023.0,34350.0,32889.0,33248.0,40566.0,64556.0,64977.0,71577.0,87792.0,91876.0,26199.0,27189.0,31414.0,34325.0,43106.0,72759.0,85273.0,107679.0,124630.0,141621.0,32147.0,33957.0,28967.0,29150.0,28731.0,120028.0,121440.0,123532.0,117880.0,169700.0,17093.0,17720.0,18743.0,18546.0,19490.0,391166.0,395274.0,436361.0,444247.0,475966.0,14985.0,14886.0,14927.0,17312.0,21723.0,107219.0,116619.0,128868.0,122666.0,148508.0,61523.0,64126.0,67061.0,66516,76071.0,,,75.0,332.0,1586.0,0.56,0.56,0.56,0.81,0.91,218,221,225,230,237,2.04,1.86,1.67,2.17,2.1
0.0,13095,Dougherty County,215.0,193.0,193.0,252.0,244.0,,,,,,96.0,115.0,102.0,167.0,159.0,1859.0,1702.0,1634.0,1628.0,1637.0,2168.0,2025.0,2082.0,2171.0,2093.0,839.0,855.0,808.0,740.0,560.0,1039.0,924.0,843.0,968.0,781.0,472.0,486.0,452.0,441.0,396.0,2183.0,2291.0,2256.0,1960.0,1708.0,348.0,426.0,528.0,577.0,396.0,2569.0,2426.0,2244.0,2114.0,1877.0,229.0,229.0,222.0,216.0,207.0,8288.0,8432.0,8526.0,8693.0,7598.0,312.0,319.0,314.0,328.0,257.0,4516.0,4714.0,4631.0,4731.0,4379.0,1640.0,1456.0,1452.0,1363,1242.0,,,,,,14.0,14.0,16.0,17.0,16.0,,,,,,7.0,11.0,12.0,12.0,13.0,107.0,105.0,105.0,102.0,99.0,124.0,122.0,122.0,116.0,116.0,34.0,38.0,32.0,34.0,33.0,161.0,148.0,142.0,146.0,143.0,114.0,108.0,112.0,113.0,109.0,214.0,213.0,204.0,205.0,203.0,20.0,20.0,18.0,19.0,16.0,98.0,98.0,104.0,98.0,109.0,17.0,17.0,17.0,19.0,21.0,304.0,318.0,319.0,327.0,321.0,27.0,28.0,29.0,29.0,27.0,220.0,218.0,222.0,220.0,237.0,222.0,208.0,205.0,199,206.0,,,,,,867.11,867.11,867.11,866.99,867.18,31.54,31.54,31.54,31.54,31.54,-84.2,-84.2,-84.2,-84.2,-84.2,10722.0,11210.0,10422.0,12696.0,12656.0,,,,,,8017.0,10054.0,10877.0,14855.0,14209.0,86270.0,92966.0,88701.0,93361.0,95273.0,101242.0,101781.0,107906.0,113671.0,114240.0,34435.0,36253.0,29330.0,28808.0,24910.0,60833.0,58395.0,55158.0,64470.0,59180.0,16268.0,16992.0,17481.0,16577.0,16767.0,105409.0,113807.0,109815.0,108833.0,109784.0,29777.0,31748.0,35178.0,40777.0,34033.0,60568.0,58835.0,59461.0,52889.0,57993.0,6729.0,6488.0,6547.0,6603.0,6456.0,448776.0,396145.0,405681.0,412313.0,425725.0,5702.0,5793.0,6151.0,5525.0,4466.0,64873.0,69205.0,71570.0,64261.0,75975.0,38433.0,37525.0,38227.0,36986,39554.0,,,,,,0.31,0.25,0.16,0.27,0.27,92,91,90,89,87,1.8,1.85,1.95,1.79,1.82
1.0,13093,Dooly County,51.0,70.0,70.0,88.0,78.0,,,,,,,,,,,,,,3.0,7.0,92.0,98.0,107.0,124.0,125.0,,,,,,55.0,57.0,54.0,55.0,48.0,4.0,4.0,4.0,5.0,9.0,10.0,12.0,17.0,15.0,17.0,,,,,,167.0,182.0,256.0,248.0,260.0,,,,,,47.0,57.0,44.0,43.0,28.0,,,,,,150.0,140.0,142.0,125.0,115.0,65.0,54.0,65.0,67,62.0,,,,,,9.0,10.0,10.0,10.0,12.0,,,,,,,,,,,,,,3.0,3.0,13.0,12.0,12.0,12.0,11.0,,,,,,12.0,11.0,11.0,11.0,11.0,3.0,3.0,3.0,4.0,4.0,7.0,7.0,9.0,8.0,8.0,,,,,,7.0,7.0,7.0,7.0,7.0,,,,,,11.0,9.0,8.0,8.0,7.0,,,,,,13.0,15.0,18.0,17.0,17.0,20.0,19.0,17.0,17,15.0,,,,,,1028.82,1028.85,1028.84,1028.86,1028.89,32.15,32.15,32.15,32.15,32.15,-83.83,-83.83,-83.83,-83.83,-83.83,2123.0,2230.0,2416.0,2450.0,2448.0,,,,,,,,,,,,,,166.0,201.0,4008.0,4649.0,5374.0,5928.0,5711.0,,,,,,2275.0,2263.0,2266.0,2083.0,2088.0,51.0,50.0,65.0,74.0,56.0,335.0,385.0,481.0,471.0,498.0,,,,,,3584.0,3858.0,4419.0,4880.0,5169.0,,,,,,1651.0,1526.0,1374.0,1040.0,722.0,,,,,,1691.0,1758.0,1660.0,1562.0,1623.0,1293.0,1557.0,1911.0,1687,2055.0,,,,,,0.0,0.0,0.0,0.0,0.0,14,14,14,14,12,0.0,0.0,0.0,0.0,0.0
